-0.102152-0j -0.0103606-0j -0.010468-0j 0.571917-0j -0.000857974-0j 0.707711-0j -0.00106169-0j 0.412832-0j -0.000619319-0j -0.00417687-0j 0.0710419-0j -0.00487302-0j -6.15311e-05-0j -0.0029841-0j 0.0828822-0j -0.00426389-0j 0.0507548-0j -7.17863e-05-0j -0.00175877-0j -4.396e-05-0j 0.0725219-0j -6.2813e-05-0j 0.0299138-0j -2.59091e-05-0j -0.00321513-0j -0.000535854-0j -0.00363187-0j 0.0634719-0j 0.00644459-0j -0.00296541-0j -3.94694e-06-0j -0.00299614-0j -0.000605312-0j 0.0716992-0j -0.00259473-0j -0.000494235-0j 0.00727993-0j -0.00214055-0j 0.0585421-0j -0.000499357-0j -4.45854e-06-0j -0.000683915-0j 0.00594404-0j -0.000432456-0j 0.0591488-0j 0.0512244-0j 0.00600564-0j -3.64039e-06-0j -0.000356758-0j 0.00520104-0j 0.0422579-0j -0.000113986-0j -3.67811e-06-0j 0.0135016-0j 0.00429064-0j -3.18534e-06-0j -2.62777e-06-0j 0.00137088-0j -8.39585e-07-0j 
-0.00510549-0j 0.000532986-0j -0.000538291-0j -0.0591488-0j 4.41373e-05-0j 0.0711093-0j -5.30623e-05-0j -0.0391014-0j 2.91778e-05-0j 0.000214874-0j -0.00734729-0j -0.000243549-0j 3.16539e-06-0j 0.000153513-0j 0.00832782-0j -0.000219261-0j -0.00524916-0j -3.58782e-06-0j 0.000432001-0j 2.26146e-06-0j 0.00749732-0j -3.23002e-06-0j -0.0147716-0j 6.36398e-06-0j 0.000165398-0j 2.75663e-05-0j -0.000181518-0j 0.312519-0j -0.000666512-0j 0.000152552-0j 2.03045e-07-0j -0.00015407-0j -3.0253e-05-0j -0.342978-0j -0.000129683-0j 2.54253e-05-0j 0.000731472-0j 0.000100847-0j 0.288246-0j -2.56783e-05-0j -2.22834e-07-0j 0.000372133-0j -0.000614744-0j -2.16138e-05-0j -0.291115-0j -0.245036-0j 0.000620863-0j 1.87275e-07-0j 1.68078e-05-0j 0.000522589-0j 0.190551-0j 6.20221e-05-0j -1.89139e-07-0j 0.703145-0j -0.000406388-0j -1.592e-07-0j 1.23801e-07-0j -0.0014996-0j 4.56836e-07-0j 
0.00104215-0j 0.0104014-0j -0.0105049-0j 0.00600564-0j -0.040309-0j -0.00722004-0j 0.0484599-0j 0.00397014-0j -0.026647-0j -4.38609e-05-0j -0.0713217-0j 4.97143e-05-0j -0.00885846-0j -3.13357e-05-0j 0.0808399-0j 4.47565e-05-0j -0.0509547-0j 0.0100407-0j -8.81818e-05-0j -0.00632879-0j 0.072778-0j 0.00903935-0j -0.143391-0j -0.0178098-0j -3.37617e-05-0j 0.000537965-0j 3.70522e-05-0j 0.000666512-0j 0.302777-0j -3.11395e-05-0j -0.00114443-0j 3.14494e-05-0j -0.000590396-0j -0.000731472-0j 2.64714e-05-0j 0.000496182-0j -0.332287-0j -2.05853e-05-0j 0.000614744-0j -0.00050112-0j 0.00125596-0j -7.59613e-05-0j 0.279261-0j -0.000421799-0j -0.000620863-0j -0.000522589-0j -0.28204-0j -0.00105554-0j 0.00032801-0j -0.237397-0j 0.000406388-0j 0.00121038-0j 0.00106605-0j 0.0014996-0j 0.18461-0j 0.000897305-0j -0.000697784-0j 0.681226-0j -0.00257487-0j 
-6.25606e-05-0j -0.00120002-0j 0.00123223-0j -3.64039e-06-0j -0.0145087-0j 4.43249e-06-0j 0.0176656-0j -2.62777e-06-0j -0.0104729-0j -2.55802e-06-0j 8.69171e-05-0j -2.98435e-06-0j 0.0987788-0j 5.42398e-06-0j 0.000101403-0j 2.56942e-06-0j -0.000184297-0j 0.115242-0j -1.07711e-06-0j -0.209449-0j -8.73045e-05-0j -0.0992192-0j 3.65984e-05-0j 0.041593-0j -1.96902e-06-0j 6.30777e-05-0j -2.22425e-06-0j -2.00962e-07-0j -0.00113269-0j 1.78696e-06-0j -0.290047-0j -1.83491e-06-0j 7.12538e-05-0j -2.27011e-07-0j 4.71625e-06-0j -5.72452e-05-0j -0.00127951-0j 1.28989e-06-0j 1.82381e-07-0j 5.87814e-05-0j -0.327643-0j -4.18846e-07-0j 0.00102795-0j -0.000151085-0j -1.87275e-07-0j 4.81351e-07-0j -0.00105554-0j 0.263228-0j -4.13218e-05-0j 0.00271305-0j 1.31649e-07-0j 1.34177e-05-0j -0.270292-0j -4.27483e-08-0j 0.000742017-0j 0.694729-0j 0.190008-0j -0.000240943-0j -0.0616982-0j 
-6.14095e-05-0j -0.00123223-0j 0.00124449-0j 3.67811e-06-0j 0.014659-0j -4.42186e-06-0j -0.0176232-0j 2.43148e-06-0j 0.00969062-0j 2.58453e-06-0j -8.78178e-05-0j -2.92944e-06-0j -0.0998025-0j 1.84648e-06-0j 9.95374e-05-0j -2.6373e-06-0j -6.274e-05-0j 0.113122-0j 5.19616e-06-0j -0.0713023-0j 8.9611e-05-0j 0.10184-0j -0.000176557-0j -0.200652-0j 1.98943e-06-0j -6.37313e-05-0j -2.18332e-06-0j 2.03045e-07-0j 0.00114443-0j 1.83491e-06-0j 0.293053-0j -1.85317e-06-0j 6.99428e-05-0j -2.22834e-07-0j -1.55984e-06-0j -5.87814e-05-0j -0.00125596-0j 1.213e-06-0j 1.87275e-07-0j 5.93665e-05-0j -0.321614-0j 4.47606e-06-0j 0.00105554-0j 4.99695e-05-0j -1.89139e-07-0j -1.592e-07-0j -0.00106605-0j 0.270292-0j -3.88585e-05-0j -0.000897305-0j 1.23801e-07-0j -0.000143391-0j -0.272982-0j 4.56836e-07-0j 0.000697784-0j -0.229772-0j 0.178681-0j 0.00257487-0j 0.659347-0j 
0.0369836-0j 0.00375098-0j 0.00378985-0j -0.00429272-0j -0.0006196-0j 0.00266305-0j 0.000384377-0j 0.00155344-0j 0.00022422-0j 0.00151221-0j 0.000267323-0j -0.00351913-0j 2.22769e-05-0j 0.00108037-0j -0.0006221-0j 0.00154371-0j 0.000190985-0j -5.18417e-05-0j 0.000636749-0j 1.59154e-05-0j 0.000272892-0j 2.2741e-05-0j 0.000112562-0j 9.3802e-06-0j 0.00116402-0j 0.000194003-0j 0.00131489-0j 0.000118802-0j 2.42503e-05-0j -0.00214152-0j 1.42896e-06-0j -0.00216371-0j 0.000219149-0j 0.000134201-0j 0.000939406-0j -0.00035692-0j 2.73936e-05-0j 0.000774971-0j -0.000218568-0j -0.000360619-0j 1.61419e-06-0j 0.000247607-0j -4.4615e-05-0j 0.000156568-0j -0.000220833-0j 9.58777e-05-0j -4.50773e-05-0j -2.62896e-06-0j 0.000129162-0j 1.9571e-05-0j 7.90951e-05-0j 4.12678e-05-0j -2.65621e-06-0j 2.52713e-05-0j 1.61452e-05-0j 1.15323e-06-0j 9.51366e-07-0j 5.15848e-06-0j 3.03966e-07-0j 
-0.000651409-0j 0.00456715-0j 0.0045562-0j -0.00266305-0j -0.000384377-0j 4.6153e-05-0j 6.66162e-06-0j 0.00376249-0j 0.000543069-0j -0.00187126-0j -0.000330796-0j -3.10744e-05-0j -2.75663e-05-0j 0.00396779-0j -5.49324e-06-0j -0.0018261-0j 0.000701413-0j -4.5777e-07-0j 0.00231895-0j 5.84511e-05-0j -0.000322811-0j -2.69009e-05-0j 0.000409936-0j 3.41613e-05-0j -0.0014404-0j -0.000240066-0j -2.31599e-05-0j -0.00014701-0j -3.00082e-05-0j 0.00130721-0j -1.76825e-06-0j 0.00130408-0j -3.85998e-06-0j -2.36374e-06-0j 4.91078e-05-0j 0.000217868-0j -4.82497e-07-0j -0.0018469-0j 0.000133417-0j 0.000217346-0j -2.84314e-08-0j 0.00120379-0j 2.72335e-05-0j 8.18463e-06-0j 0.000133097-0j 5.01204e-06-0j 2.71683e-05-0j 1.60475e-06-0j -0.000307816-0j 1.02308e-06-0j -0.000188498-0j 0.000200631-0j 1.60091e-06-0j 0.000122861-0j -3.8477e-05-0j 6.02855e-08-0j -2.26728e-06-0j 2.50789e-05-0j 1.47779e-06-0j 
-0.0522524-0j 0.0027076-0j 0.00250535-0j 0.00155344-0j 0.00022422-0j -0.00376249-0j -0.000543069-0j 0.00434171-0j 0.000626672-0j 0.00109157-0j 0.000192964-0j -0.00249262-0j 1.60803e-05-0j 0.000779855-0j -0.000440636-0j 0.0010205-0j 0.00013786-0j -3.67197e-05-0j 0.000534817-0j 1.14884e-05-0j 0.000180401-0j 1.50334e-05-0j 9.45431e-05-0j 7.87859e-06-0j 0.00084023-0j 0.000140038-0j -0.00185775-0j 8.57557e-05-0j 1.75048e-05-0j 0.000774971-0j 1.03148e-06-0j 0.000717083-0j -0.000309625-0j -0.000189606-0j -0.00132724-0j 0.000129162-0j -3.87032e-05-0j 0.00216596-0j 7.90951e-05-0j 0.000119514-0j -2.28061e-06-0j -0.00231576-0j 1.61452e-05-0j -0.000221207-0j 7.3187e-05-0j -0.000135461-0j 1.49392e-05-0j 9.51366e-07-0j 0.000360994-0j -2.76509e-05-0j 0.000221062-0j -0.00038596-0j 8.80302e-07-0j -0.000236351-0j 4.51242e-05-0j -1.62934e-06-0j 2.65897e-06-0j -4.8245e-05-0j -2.84286e-06-0j 
-0.0059682-0j 0.0286328-0j 0.0289295-0j 0.000692734-0j -0.00955932-0j -0.000429747-0j 0.00593025-0j -0.000250686-0j 0.00345931-0j -0.000244032-0j 0.00204059-0j 0.000567897-0j 0.000517337-0j -0.000174345-0j -0.00474875-0j -0.000249116-0j 0.00145787-0j -0.00120392-0j -0.000102755-0j 0.000369604-0j 0.0020831-0j 0.000528115-0j 0.000859236-0j 0.000217836-0j 0.0367958-0j 0.0014809-0j 0.0415652-0j -1.91716e-05-0j 0.000374139-0j -0.0676957-0j 4.43233e-05-0j -0.0683972-0j 0.00167286-0j -2.16566e-05-0j 0.0296956-0j -0.00272452-0j 0.000422635-0j 0.0244976-0j 3.52712e-05-0j -0.00275275-0j 5.00685e-05-0j 0.00782712-0j -0.000688329-0j 0.00119515-0j 3.56368e-05-0j -1.54722e-05-0j -0.000695462-0j -8.15446e-05-0j 0.000985945-0j 0.000301945-0j -1.27639e-05-0j 0.000315014-0j -8.23897e-05-0j -4.07813e-06-0j 0.000249092-0j 3.57706e-05-0j 2.95093e-05-0j 7.9586e-05-0j 9.42835e-06-0j 
-0.00487302-0j -0.000494235-0j -0.000499357-0j -0.0544201-0j 8.16395e-05-0j 0.0337602-0j -5.06462e-05-0j 0.0196935-0j -2.95436e-05-0j 0.0290389-0j 0.00338894-0j -0.0675776-0j -2.93524e-06-0j 0.0207464-0j -0.00788655-0j 0.0296438-0j 0.00242117-0j 6.83074e-06-0j 0.0122275-0j -2.09704e-06-0j 0.00345954-0j -2.9964e-06-0j 0.00142699-0j -1.23595e-06-0j -0.000153372-0j 0.00372542-0j -0.000173253-0j 0.00302783-0j 0.000307429-0j 0.00028217-0j -1.88282e-07-0j 0.000285094-0j 0.00420831-0j 0.00342029-0j -0.000123778-0j -0.00685391-0j 0.000347278-0j -0.000102111-0j -0.0055705-0j -0.00692494-0j -2.12688e-07-0j -3.26251e-05-0j -0.000565598-0j 0.00300656-0j -0.00562823-0j 0.00244358-0j -0.000571459-0j 3.46396e-07-0j 0.00248029-0j 0.000248107-0j 0.00201585-0j 0.000792463-0j 3.49986e-07-0j 0.000644073-0j 0.000204678-0j -1.51951e-07-0j -1.25354e-07-0j 6.53956e-05-0j -4.00511e-08-0j 
0.000105121-0j 0.0348629-0j 0.0347793-0j 0.000429747-0j -0.00593025-0j -7.44791e-06-0j 0.000102777-0j -0.000607169-0j 0.00837858-0j 0.000301974-0j -0.0025251-0j 5.01462e-06-0j -0.000640172-0j -0.0006403-0j -4.19322e-05-0j 0.000294685-0j 0.00535418-0j -1.06308e-05-0j -0.000374219-0j 0.00135741-0j -0.00246415-0j -0.000624721-0j 0.00312921-0j 0.000793329-0j -0.0455324-0j -0.00183252-0j -0.000732108-0j 2.37236e-05-0j -0.000462973-0j 0.0413223-0j -5.48473e-05-0j 0.0412233-0j -2.94648e-05-0j 3.81447e-07-0j 0.00155235-0j 0.00166308-0j -7.44406e-06-0j -0.0583823-0j -2.153e-05-0j 0.00165909-0j -8.81879e-07-0j 0.0380529-0j 0.000420165-0j 6.24766e-05-0j -2.14784e-05-0j -8.08814e-07-0j 0.000419158-0j 4.97758e-05-0j -0.00234969-0j 1.57843e-05-0j 3.04187e-05-0j 0.0015315-0j 4.96565e-05-0j -1.98266e-05-0j -0.000593631-0j 1.86992e-06-0j -7.03259e-05-0j 0.000386922-0j 4.58376e-05-0j 
0.000703359-0j -0.00682015-0j -0.00689083-0j -8.16395e-05-0j -0.0527207-0j 5.06462e-05-0j 0.032706-0j 2.95436e-05-0j 0.0190785-0j -0.0041914-0j -0.000486055-0j 0.00975399-0j 0.00580846-0j -0.00299448-0j 0.00113112-0j -0.00427872-0j -0.000347255-0j -0.0135171-0j -0.00176488-0j 0.00414976-0j -0.000496182-0j 0.00592947-0j -0.000204664-0j 0.00244578-0j 2.21374e-05-0j 0.0514086-0j 2.50069e-05-0j 2.25939e-06-0j 0.00206342-0j -4.07277e-05-0j 0.000750396-0j -4.11498e-05-0j 0.0580721-0j 2.55225e-06-0j 1.78658e-05-0j -0.0945799-0j 0.00233088-0j 1.47385e-05-0j -4.15676e-06-0j -0.09556-0j 0.000847662-0j 4.70902e-06-0j -0.00379621-0j 0.0414887-0j -4.19983e-06-0j 1.82342e-06-0j -0.00383555-0j -0.00138056-0j 0.0342265-0j 0.00166526-0j 1.50424e-06-0j 0.0109355-0j -0.00139486-0j 4.80613e-07-0j 0.00137377-0j 0.000605599-0j 0.000499594-0j 0.000438926-0j 0.000159623-0j 
0.00843219-0j 0.0206682-0j 0.0191244-0j -0.000250686-0j 0.00345931-0j 0.000607169-0j -0.00837858-0j -0.00070064-0j 0.00966842-0j -0.000176151-0j 0.00147298-0j 0.000402244-0j 0.000373434-0j -0.000125849-0j -0.00336356-0j -0.000164682-0j 0.00105234-0j -0.000852741-0j -8.63057e-05-0j 0.000266794-0j 0.00137707-0j 0.00034912-0j 0.000721687-0j 0.000182965-0j 0.0265606-0j 0.00106897-0j -0.0587256-0j -1.38388e-05-0j 0.000270068-0j 0.0244976-0j 3.19942e-05-0j 0.0226678-0j -0.0023635-0j 3.05976e-05-0j -0.0419556-0j 0.000985945-0j -0.000597121-0j 0.0684683-0j -1.27639e-05-0j 0.000912298-0j -7.07394e-05-0j -0.0732037-0j 0.000249092-0j -0.00168857-0j -1.18105e-05-0j 2.18599e-05-0j 0.000230485-0j 2.95093e-05-0j 0.00275561-0j -0.000426604-0j -3.56738e-05-0j -0.00294619-0j 2.7305e-05-0j 3.8141e-05-0j 0.000696185-0j -5.05386e-05-0j 8.24753e-05-0j -0.000744334-0j -8.81793e-05-0j 
