-0.186366-0j -0.203385-0j -0.157541-0j -0.159174-0j 0.434047-0j 0.537105-0j -0.118641-0j 0.313311-0j -0.102746-0j -0.146811-0j -0.0734055-0j -0.0605564-0j -0.0741662-0j -0.0335118-0j -0.00738866-0j -0.0250047-0j -0.0270082-0j -0.0206279-0j -0.0208416-0j -0.0184501-0j 0.0888807-0j -0.0228309-0j -0.013318-0j 0.062902-0j 0.0385194-0j -0.0120329-0j 0.0550392-0j -0.0121576-0j 0.0227025-0j -0.01489-0j -0.00372249-0j -0.0122836-0j -0.00752214-0j -0.00392467-0j -0.00537408-0j -0.00198267-0j -0.000378572-0j 
0.00508589-0j -0.0218063-0j 0.00429926-0j 0.0459447-0j 0.00392467-0j -0.0190805-0j -0.0127203-0j -0.0367058-0j 0.00280392-0j 0.0423762-0j -0.0078703-0j -0.0308893-0j -0.0262239-0j 0.0464788-0j -0.00337306-0j -0.032278-0j 0.136976-0j -0.026628-0j -0.284564-0j -0.0238168-0j -0.0163062-0j 0.11579-0j 0.222748-0j 0.105701-0j -0.0164752-0j -0.015533-0j -0.248993-0j -0.165996-0j 0.181499-0j 0.0755164-0j -0.00480527-0j 0.205448-0j -0.102705-0j -0.257481-0j 0.129669-0j -0.365866-0j 0.506342-0j 
0.0153366-0j -0.0854153-0j 0.0129645-0j 0.0130988-0j 0.0118349-0j 0.0146449-0j 0.0097633-0j 0.00854289-0j 0.00845526-0j 0.0120815-0j 0.00604073-0j 0.00498335-0j 0.00610333-0j 0.00275778-0j 0.000608033-0j 0.00205771-0j 0.00222258-0j -0.00866306-0j -0.00875284-0j 0.00151831-0j 0.00103952-0j 0.00187881-0j 0.00109597-0j 0.00171511-0j 0.00105029-0j 0.000990221-0j 0.00150072-0j 0.00100048-0j 0.000619017-0j 0.00122534-0j 0.000306334-0j 0.00101085-0j 0.000619017-0j 0.000322972-0j 0.000442247-0j 0.000163159-0j 3.11537e-05-0j 
-0.00221365-0j 0.0123286-0j -0.00187126-0j -0.00189065-0j -0.00170822-0j -0.00211382-0j -0.00140921-0j -0.00123306-0j -0.00122041-0j -0.00174381-0j -0.000871905-0j -0.000719285-0j -0.00088094-0j -0.000398051-0j -8.7762e-05-0j 0.0283951-0j 0.0306703-0j -0.119545-0j -0.120784-0j 0.0209518-0j 0.0143447-0j 0.0259265-0j 0.0151238-0j 0.0236675-0j 0.0144934-0j 0.0136645-0j 0.0207091-0j 0.0138061-0j 0.00854207-0j 0.0169089-0j 0.00422723-0j 0.0139491-0j 0.00854207-0j 0.00445682-0j 0.00610275-0j 0.0022515-0j 0.000429903-0j 
-0.0169745-0j -0.000263675-0j 0.058175-0j -0.0571046-0j -0.0130988-0j -0.000230716-0j -0.000153811-0j 0.0185067-0j -0.00935826-0j 0.0129911-0j -9.51655e-05-0j 0.0162326-0j 0.0132218-0j 0.011992-0j 0.00397076-0j -0.00227746-0j -3.50144e-05-0j -0.00187881-0j 0.00184424-0j 0.00681305-0j -0.00115053-0j 0.000120001-0j -0.00962584-0j -2.70198e-05-0j -0.00116246-0j -0.00109597-0j 0.00161371-0j 0.00107581-0j 0.00201637-0j -1.93039e-05-0j -0.00033905-0j 0.00218984-0j 0.000665622-0j 0.00140442-0j 0.00144057-0j 0.000887499-0j 0.00023744-0j 
0.00245006-0j 3.80583e-05-0j -0.00839684-0j 0.00824234-0j 0.00189065-0j 3.3301e-05-0j 2.22007e-05-0j -0.00267122-0j 0.00135075-0j -0.0018751-0j 1.3736e-05-0j -0.00234298-0j -0.00190841-0j -0.00173089-0j -0.00057313-0j -0.0314277-0j -0.000483178-0j -0.0259265-0j 0.0254495-0j 0.0940161-0j -0.0158767-0j 0.00165595-0j -0.132831-0j -0.000372858-0j -0.0160412-0j -0.0151238-0j 0.0222683-0j 0.0148455-0j 0.0278247-0j -0.000266382-0j -0.00467868-0j 0.0302185-0j 0.00918519-0j 0.0193801-0j 0.0198789-0j 0.012247-0j 0.00327653-0j 
-0.0134195-0j -0.0146449-0j 0.011162-0j -0.0114615-0j 0.031254-0j -0.0380545-0j -0.00854289-0j 0.0225603-0j 0.0219577-0j 0.0104017-0j 0.0261738-0j -0.00436043-0j 0.0158499-0j 0.00237435-0j -0.000532029-0j -0.00180049-0j -0.00194476-0j 0.00146151-0j -0.00150072-0j -0.00132852-0j 0.00639995-0j 0.00161759-0j -0.000958977-0j 0.00452933-0j -0.00823192-0j 0.000852545-0j -0.00389959-0j -0.000875422-0j 0.00163472-0j 0.00318211-0j 0.0018591-0j 0.000870306-0j 0.00268213-0j -0.0002826-0j 0.00114848-0j 0.000140474-0j -2.72595e-05-0j 
-0.00894635-0j -0.0097633-0j -0.00756262-0j -0.00764099-0j 0.0344452-0j -0.00854289-0j -0.0396254-0j -0.00498335-0j 0.0246089-0j 0.0351628-0j -0.00352376-0j 0.0145039-0j -0.00356028-0j -0.0016087-0j -0.000354686-0j -0.00120033-0j -0.0012965-0j -0.000990221-0j -0.00100048-0j 0.00441901-0j -0.000606384-0j -0.00109597-0j -0.000639318-0j 0.0049918-0j -0.000612668-0j -0.00401892-0j -0.000875422-0j -0.00406057-0j -0.000361093-0j 0.00356631-0j -0.000178695-0j 0.00294206-0j -0.000361093-0j 0.000940002-0j -0.000257978-0j -9.51763e-05-0j -1.8173e-05-0j 
0.00193694-0j 0.00211382-0j -0.00161109-0j 0.00165432-0j -0.00451113-0j 0.00549269-0j 0.00123306-0j -0.0032563-0j -0.00316932-0j -0.00150136-0j -0.00377787-0j 0.000629374-0j -0.00228774-0j -0.000342708-0j 7.67918e-05-0j -0.0248457-0j -0.0268365-0j 0.0201679-0j -0.0207091-0j -0.0183328-0j 0.0883155-0j 0.0223218-0j -0.0132333-0j 0.062502-0j -0.113596-0j 0.0117646-0j -0.053812-0j -0.0120803-0j 0.0225582-0j 0.0439112-0j 0.0256544-0j 0.0120097-0j 0.0370119-0j -0.00389971-0j 0.0158484-0j 0.00193846-0j -0.000376165-0j 
0.0135586-0j -0.0143755-0j 0.0114615-0j -0.0115756-0j -0.0315779-0j 0.0379633-0j -0.0083857-0j -0.0208751-0j 0.00747503-0j -0.0106765-0j -0.00518839-0j 0.0210355-0j 0.0049415-0j 0.0257875-0j 0.0150577-0j 0.00181915-0j -0.00190897-0j 0.00150072-0j -0.00151566-0j 0.00134229-0j -0.00646627-0j -0.00161371-0j 0.000887345-0j 0.00444599-0j -0.00280238-0j 0.000875422-0j 0.00400261-0j -0.000884136-0j -0.00788617-0j -0.00105244-0j 0.00027082-0j 0.000818425-0j -0.000547031-0j 0.00302005-0j 0.00186679-0j 0.00264296-0j 0.0010919-0j 
0.00129129-0j 0.00140921-0j 0.00109157-0j 0.00110288-0j -0.00497174-0j 0.00123306-0j 0.00571944-0j 0.000719285-0j -0.00355198-0j -0.00507532-0j 0.000508611-0j -0.00209346-0j 0.000513882-0j 0.000232196-0j 5.11945e-05-0j -0.0165638-0j -0.017891-0j -0.0136645-0j -0.0138061-0j 0.0609797-0j -0.00836774-0j -0.0151238-0j -0.00882221-0j 0.0688839-0j -0.00845445-0j -0.0554587-0j -0.0120803-0j -0.0560335-0j -0.00498287-0j 0.049213-0j -0.00246588-0j 0.0405987-0j -0.00498287-0j 0.0129715-0j -0.00355994-0j -0.00131338-0j -0.000250777-0j 
-0.00195701-0j 0.00207492-0j -0.00165432-0j 0.00167079-0j 0.00455788-0j -0.00547952-0j 0.00121037-0j 0.00301307-0j -0.00107893-0j 0.00154102-0j 0.000748879-0j -0.00303621-0j -0.000713245-0j -0.0037221-0j -0.00217339-0j 0.0251032-0j -0.0263427-0j 0.0207091-0j -0.0209152-0j 0.0185228-0j -0.0892307-0j -0.0222683-0j 0.0122448-0j 0.061352-0j -0.0386712-0j 0.0120803-0j 0.0552336-0j -0.0122006-0j -0.108824-0j -0.0145231-0j 0.00373715-0j 0.0112938-0j -0.00754871-0j 0.0416749-0j 0.0257606-0j 0.0364713-0j 0.0150676-0j 
0.0156561-0j 0.000243196-0j -0.0130223-0j -0.0129911-0j -0.0240988-0j -0.000209383-0j -0.000707816-0j -0.0170693-0j 0.0510988-0j -0.0235172-0j -0.000434646-0j 0.0298643-0j 0.0361935-0j 0.0108831-0j -0.00366236-0j 0.00210058-0j 3.22949e-05-0j -0.00170509-0j -0.001701-0j -0.00309166-0j 0.00106117-0j -2.68619e-05-0j -0.00218984-0j -4.97103e-05-0j -0.00318211-0j 0.00496263-0j 0.0014645-0j 0.00495073-0j -0.00185976-0j 0.000105405-0j -0.00216895-0j -0.00396417-0j 0.00304008-0j 0.0025838-0j 0.00394341-0j 0.000805437-0j -0.000218998-0j 
0.00553527-0j 0.00604073-0j -0.0231705-0j 0.00472762-0j 0.00427144-0j -0.0261738-0j 0.00352376-0j 0.00308329-0j 0.0387952-0j -0.0215923-0j 0.0155662-0j 0.00179859-0j 0.0280039-0j -0.00492878-0j 0.000219451-0j 0.000742666-0j 0.000802171-0j -0.00303386-0j 0.000619017-0j 0.000547987-0j 0.000375181-0j -0.00335786-0j 0.000395558-0j 0.000619017-0j 0.00481903-0j -0.00176975-0j -0.00268213-0j 0.000361093-0j 0.000223415-0j 0.0056222-0j -0.00757628-0j -0.00180662-0j 0.00159513-0j 0.000116567-0j 0.00202916-0j -0.000291603-0j 1.1244e-05-0j 
-0.00225976-0j -3.51023e-05-0j 0.0018796-0j 0.0018751-0j 0.00347837-0j 3.02218e-05-0j 0.000102165-0j 0.00246375-0j -0.00737547-0j 0.00339441-0j 6.27358e-05-0j -0.00431054-0j -0.00522408-0j -0.00157085-0j 0.000528616-0j 0.0289867-0j 0.00044565-0j -0.0235292-0j -0.0234728-0j -0.0426631-0j 0.0146435-0j -0.000370678-0j -0.0302185-0j -0.000685972-0j -0.0439112-0j 0.0684813-0j 0.0202093-0j 0.0683171-0j -0.0256636-0j 0.00145452-0j -0.0299302-0j -0.0547032-0j 0.0419513-0j 0.0356549-0j 0.0544167-0j 0.0111146-0j -0.00302204-0j 
-0.00913273-0j 0.0195078-0j -0.00772017-0j -0.0071435-0j 0.0140577-0j 0.0170693-0j -0.056777-0j -0.0196971-0j 0.0100433-0j 0.0131424-0j 0.00704074-0j 0.00688758-0j -0.0140723-0j 0.0212776-0j 0.0356362-0j -0.00122534-0j 0.00259051-0j -0.00101085-0j -0.000935343-0j 0.00180347-0j -0.000619017-0j 0.00218984-0j -0.00252695-0j -0.00398748-0j -0.000625432-0j 0.00294206-0j -0.000818425-0j 0.0027223-0j -0.000428915-0j -0.00284879-0j -0.000182418-0j 0.00464901-0j -0.000337583-0j -0.00497054-0j -0.000306432-0j 0.00429794-0j 0.00336271-0j 
-0.000798947-0j -0.000871905-0j 0.00334437-0j -0.000682373-0j -0.00061653-0j 0.00377787-0j -0.000508611-0j -0.000445035-0j -0.00559961-0j 0.00311658-0j -0.00224679-0j -0.000259604-0j -0.00404201-0j 0.000711408-0j -3.1675e-05-0j 0.0102483-0j 0.0110695-0j -0.0418654-0j 0.00854207-0j 0.00756189-0j 0.00517728-0j -0.0463365-0j 0.00545846-0j 0.00854207-0j 0.0664997-0j -0.0244215-0j -0.0370119-0j 0.00498287-0j 0.003083-0j 0.077583-0j -0.104548-0j -0.0249303-0j 0.0220119-0j 0.00160855-0j 0.0280012-0j -0.00402394-0j 0.00015516-0j 
-0.00968672-0j 0.0102703-0j 0.0243027-0j 0.00826998-0j -0.00747503-0j -0.0266713-0j 0.00599103-0j -0.0049415-0j -0.0050005-0j -0.0226383-0j 0.0471233-0j -0.0150285-0j -0.00330567-0j 0.0546793-0j -0.0107577-0j -0.00129967-0j 0.00136384-0j 0.00318211-0j 0.00108284-0j -0.000958977-0j -0.000656567-0j -0.00342169-0j -0.00063395-0j 0.00105244-0j -0.000621147-0j 0.00185623-0j -0.00281206-0j 0.000631657-0j -0.00186679-0j 0.000704042-0j -0.00626139-0j 0.00173538-0j 0.00496839-0j -0.00215763-0j -0.00124881-0j 0.00560409-0j -0.000780091-0j 
0.0013182-0j -0.00281571-0j 0.00111431-0j 0.00103108-0j -0.00202905-0j -0.00246375-0j 0.00819506-0j 0.00284303-0j -0.00144962-0j -0.00189694-0j -0.00101624-0j -0.000994136-0j 0.00203116-0j -0.00307115-0j -0.00514365-0j -0.0169089-0j 0.0357475-0j -0.0139491-0j -0.0129072-0j 0.0248868-0j -0.00854207-0j 0.0302185-0j -0.0348705-0j -0.0550248-0j -0.00863059-0j 0.0405987-0j -0.0112938-0j 0.0375661-0j -0.00591877-0j -0.0393116-0j -0.00251726-0j 0.0641536-0j -0.00465845-0j -0.0685905-0j -0.00422857-0j 0.059309-0j 0.0464034-0j 
0.00139816-0j -0.0014824-0j -0.0035078-0j -0.00119367-0j 0.00107893-0j 0.00384968-0j -0.000864731-0j 0.000713245-0j 0.00072176-0j 0.00326755-0j -0.00680167-0j 0.00216917-0j 0.000477133-0j -0.00789228-0j 0.00155275-0j -0.0179346-0j 0.0188201-0j 0.0439112-0j 0.0149426-0j -0.0132333-0j -0.00906023-0j -0.0472173-0j -0.00874813-0j 0.0145231-0j -0.00857146-0j 0.0256149-0j -0.0388048-0j 0.00871649-0j -0.0257606-0j 0.00971536-0j -0.0864035-0j 0.0239471-0j 0.0685609-0j -0.029774-0j -0.0172328-0j 0.077333-0j -0.0107648-0j 
0.00565059-0j -0.0181486-0j -0.00469999-0j 0.0230432-0j 0.00436043-0j 0.0156253-0j -0.0105867-0j 0.0036624-0j -0.00924578-0j -0.0209125-0j 0.0324357-0j -0.025895-0j -0.0077657-0j 0.0186874-0j 0.046333-0j 0.000758138-0j -0.00241002-0j -0.000615399-0j 0.00301719-0j 0.000559403-0j 0.000382997-0j 0.00200459-0j 0.000469853-0j -0.00185976-0j -0.00114848-0j -0.000358983-0j -0.00259769-0j 0.00176003-0j -0.00321661-0j 0.00394341-0j -0.000782814-0j -0.000426408-0j -0.0053924-0j -0.00222422-0j 0.00682044-0j -0.00191628-0j 0.00682849-0j 
-0.000815592-0j 0.00261953-0j 0.000678385-0j -0.003326-0j -0.000629374-0j -0.00225532-0j 0.00152806-0j -0.000528622-0j 0.00133451-0j 0.00301846-0j -0.0046817-0j 0.00373763-0j 0.00112088-0j -0.0026973-0j -0.00668759-0j 0.0104619-0j -0.0332569-0j -0.00849214-0j 0.0416354-0j 0.00771943-0j 0.00528513-0j 0.0276621-0j 0.00648369-0j -0.0256636-0j -0.0158484-0j -0.00495375-0j -0.0358466-0j 0.0242873-0j -0.0443873-0j 0.0544167-0j -0.0108024-0j -0.00588418-0j -0.074412-0j -0.0306929-0j 0.094118-0j -0.0264435-0j 0.0942291-0j 
-0.00147409-0j 0.00790613-0j -0.0012461-0j -0.0230687-0j -0.00113753-0j 0.00691787-0j 0.00461191-0j 0.0363226-0j -0.000812688-0j -0.0212769-0j 0.00285347-0j -0.0155175-0j 0.0259502-0j -0.0378916-0j 0.0586254-0j -0.000197779-0j 0.00104988-0j -0.000163159-0j -0.00302052-0j -0.000145934-0j -9.99143e-05-0j 0.000887499-0j 0.00465986-0j 0.000810172-0j -0.00010095-0j -9.51763e-05-0j -0.00264296-0j -0.00176197-0j -0.00192754-0j 0.000578815-0j -2.94437e-05-0j 0.00429794-0j -0.00109017-0j -0.0044376-0j -0.0013771-0j 0.00247222-0j 0.00270751-0j 
0.000212767-0j -0.00114115-0j 0.000179859-0j 0.00332967-0j 0.000164188-0j -0.000998508-0j -0.000665672-0j -0.00524272-0j 0.000117301-0j 0.00307106-0j -0.000411864-0j 0.00223976-0j -0.00374558-0j 0.00546918-0j -0.00846185-0j -0.00272923-0j 0.0144878-0j -0.0022515-0j -0.0416814-0j -0.0020138-0j -0.00137876-0j 0.012247-0j 0.0643033-0j 0.0111799-0j -0.00139305-0j -0.00131338-0j -0.0364713-0j -0.0243142-0j -0.026599-0j 0.0079873-0j -0.000406305-0j 0.059309-0j -0.0150436-0j -0.0612362-0j -0.0190032-0j 0.0341152-0j 0.0373621-0j 
-0.0710309-0j 0.0125728-0j 0.00973885-0j 0.00983977-0j 0.00889031-0j 0.0110012-0j 0.00733413-0j 0.00641737-0j 0.00635155-0j 0.00907553-0j 0.00453776-0j 0.00374346-0j 0.00458479-0j 0.00207163-0j 0.000456751-0j 0.00154574-0j -0.0102938-0j 0.00127517-0j 0.00128838-0j 0.00114055-0j 0.000780878-0j 0.00141135-0j 0.000823289-0j 0.00128838-0j 0.00078897-0j 0.000743848-0j 0.00112734-0j 0.000751557-0j 0.000465002-0j 0.000920465-0j 0.000230116-0j 0.000759345-0j 0.000465002-0j 0.000242614-0j 0.000332214-0j 0.000122564-0j 2.34025e-05-0j 
0.0125566-0j -0.00222258-0j -0.0017216-0j -0.00173944-0j -0.0015716-0j -0.00194476-0j -0.0012965-0j -0.00113444-0j -0.00112281-0j -0.00160434-0j -0.000802171-0j -0.000661757-0j -0.000810484-0j -0.000366215-0j -8.07429e-05-0j 0.0129254-0j -0.0860765-0j 0.0106629-0j 0.0107734-0j 0.00953723-0j 0.00652969-0j 0.0118017-0j 0.00688433-0j 0.0107734-0j 0.00659736-0j 0.00622005-0j 0.00942676-0j 0.00628451-0j 0.00388834-0j 0.00769692-0j 0.00192423-0j 0.00634963-0j 0.00388834-0j 0.00202874-0j 0.00277797-0j 0.00102488-0j 0.000195692-0j 
-0.00104638-0j 0.000185215-0j 0.000143467-0j 0.000144954-0j 0.000130967-0j 0.000162063-0j 0.000108042-0j 9.45367e-05-0j 9.35671e-05-0j 0.000133695-0j 6.68476e-05-0j 5.51464e-05-0j 6.75403e-05-0j 3.0518e-05-0j 6.72858e-06-0j -0.0032769-0j 0.0218224-0j -0.00270331-0j -0.00273132-0j -0.00241791-0j -0.00165543-0j -0.00299201-0j -0.00174534-0j -0.00273132-0j -0.00167259-0j -0.00157693-0j -0.00238991-0j -0.00159327-0j -0.000985786-0j -0.00195135-0j -0.000487837-0j -0.00160978-0j -0.000985786-0j -0.000514333-0j -0.000704279-0j -0.000259831-0j -4.96124e-05-0j 
-0.0125728-0j 0.000996691-0j -0.0106282-0j 0.0104326-0j -0.00970215-0j -0.000170888-0j -0.000113926-0j 0.0137077-0j -0.00693155-0j 0.00962232-0j -7.04879e-05-0j 0.0120233-0j 0.00979326-0j 0.00888231-0j 0.00294109-0j -0.00168689-0j -2.59347e-05-0j 0.0071019-0j -0.00697123-0j -0.0012447-0j -0.000852185-0j -2.19234e-05-0j 0.00175857-0j -2.00132e-05-0j -0.000861017-0j -0.000811774-0j 0.00119526-0j 0.000796838-0j 0.0014935-0j -1.42982e-05-0j -0.00025113-0j 0.00162199-0j 0.000493018-0j 0.00104023-0j 0.00106701-0j 0.000657359-0j 0.000175869-0j 
0.00222258-0j -0.000176192-0j 0.00187881-0j -0.00184424-0j 0.00171511-0j 3.02091e-05-0j 2.01394e-05-0j -0.0024232-0j 0.00122534-0j -0.001701-0j 1.24606e-05-0j -0.00212544-0j -0.00173122-0j -0.00157018-0j -0.000519917-0j -0.0141057-0j -0.000216866-0j 0.059386-0j -0.0582933-0j -0.0104081-0j -0.00712596-0j -0.000183323-0j 0.0147052-0j -0.000167351-0j -0.00719981-0j -0.00678804-0j 0.00999472-0j 0.00666315-0j 0.0124886-0j -0.000119561-0j -0.00209994-0j 0.013563-0j 0.00412261-0j 0.00869842-0j 0.00892231-0j 0.00549683-0j 0.00147061-0j 
-0.000185215-0j 1.46826e-05-0j -0.000156568-0j 0.000153687-0j -0.000142926-0j -2.51742e-06-0j -1.67828e-06-0j 0.000201934-0j -0.000102111-0j 0.00014175-0j -1.03838e-06-0j 0.00017712-0j 0.000144268-0j 0.000130849-0j 4.33264e-05-0j 0.00357614-0j 5.49806e-05-0j -0.0150557-0j 0.0147787-0j 0.00263871-0j 0.0018066-0j 4.64768e-05-0j -0.0037281-0j 4.24273e-05-0j 0.00182532-0j 0.00172093-0j -0.0025339-0j -0.00168926-0j -0.00316616-0j 3.03115e-05-0j 0.000532385-0j -0.00343854-0j -0.00104518-0j -0.00220525-0j -0.00226202-0j -0.00139358-0j -0.000372834-0j 
-0.00973885-0j -0.0106282-0j -0.0328416-0j 0.0337229-0j -0.00751525-0j 0.00915047-0j -0.00619976-0j -0.00542479-0j 0.0159352-0j 0.00754875-0j 0.0189949-0j -0.00316446-0j 0.0115026-0j 0.00172312-0j -0.000386105-0j -0.00130666-0j -0.00141135-0j 0.00106065-0j -0.00108911-0j 0.00390888-0j -0.0006601-0j -0.0047594-0j 0.00282158-0j -0.00108911-0j 0.00197942-0j 0.000618711-0j 0.000937684-0j -0.000635314-0j -0.00039308-0j 0.00230933-0j 0.00134919-0j 0.000631601-0j 0.00194649-0j -0.000205089-0j 0.000833481-0j 0.000101945-0j -1.97829e-05-0j 
