-0.00316222-0j -0.000510301-0j -0.000416659-0j -6.01395e-05-0j -5.20824e-05-0j -6.13796e-06-0j -2.80158e-07-0j -0.00289834-0j -0.000458268-0j -0.000362293-0j -0.000241529-0j -5.22925e-05-0j -6.03822e-05-0j -2.13483e-05-0j -5.03185e-06-0j -5.33708e-06-0j -4.44757e-07-0j -1.65751e-08-0j -0.00188553-0j -0.00190507-0j -0.000293958-0j -0.000297004-0j -0.000227699-0j -3.28655e-05-0j -0.000230059-0j -0.00020786-0j -3.32061e-05-0j -0.000210014-0j -3.67448e-05-0j -2.44965e-05-0j -3.06206e-06-0j -3.71256e-05-0j -2.12146e-05-0j -2.47504e-05-0j -3.0938e-06-0j -2.14345e-05-0j -4.33041e-06-0j -2.16521e-06-0j -4.37529e-06-0j -2.55172e-07-0j -2.18764e-06-0j -3.12521e-07-0j -2.57816e-07-0j -2.01731e-08-0j -3.15759e-07-0j -2.03822e-08-0j -6.35394e-10-0j -6.41978e-10-0j 
6.7238e-06-0j 0.0203205-0j -8.52397e-05-0j 0.000572117-0j 0.00204793-0j -0.0172156-0j 2.75098e-05-0j 6.16273e-06-0j -9.31588e-05-0j 0.0145186-0j 5.13561e-07-0j -0.0974472-0j 0.001181-0j -1.3193e-05-0j 0.000146686-0j -0.00982083-0j -0.00251238-0j 2.44644e-06-0j 4.00918e-06-0j 4.05073e-06-0j -5.97571e-05-0j -6.03764e-05-0j -4.65825e-05-0j 0.000312655-0j -4.70652e-05-0j -8.65762e-05-0j 0.000315895-0j -8.74734e-05-0j -0.140781-0j -4.97976e-06-0j -0.0174856-0j -0.142239-0j -8.72524e-06-0j -5.03137e-06-0j -0.0176668-0j -8.81566e-06-0j -0.00396363-0j 0.000127927-0j -0.0040047-0j 1.49816e-05-0j 0.000129253-0j -0.00176221-0j 1.51368e-05-0j -0.000190588-0j -0.00178048-0j -0.000192563-0j 1.31478e-07-0j 1.3284e-07-0j 
4.48254e-06-0j -6.91575e-05-0j -0.000172746-0j -0.111555-0j -7.05836e-06-0j 0.000119287-0j 1.83399e-05-0j 4.10849e-06-0j -6.21059e-05-0j 5.13561e-07-0j 0.0145438-0j 0.000331645-0j 0.00239341-0j 3.02619e-08-0j -0.0286018-0j 3.38483e-05-0j 1.74083e-05-0j 1.63096e-06-0j 2.67279e-06-0j 2.70049e-06-0j -3.98381e-05-0j -4.02509e-05-0j 3.2277e-07-0j 0.000208437-0j 3.26115e-07-0j -8.61785e-05-0j 0.000210597-0j -8.70715e-05-0j -4.97976e-06-0j -0.141025-0j 5.95091e-05-0j -5.03137e-06-0j -8.79555e-06-0j -0.142486-0j 6.01258e-05-0j -8.8867e-06-0j -0.00803266-0j -2.93435e-07-0j -0.0081159-0j -0.00292121-0j -2.96476e-07-0j 6.07363e-06-0j -0.00295148-0j 1.32058e-06-0j 6.13657e-06-0j 1.33427e-06-0j 8.76518e-08-0j 8.85602e-08-0j 
-3.96204e-07-0j -0.00240732-0j -5.22045e-08-0j -0.00020806-0j 1.25428e-06-0j 0.00201589-0j -0.0219897-0j -3.63142e-07-0j 1.10363e-05-0j 8.89184e-06-0j -3.02619e-08-0j 0.0354382-0j 1.45416e-06-0j -2.6748e-09-0j 0.00165261-0j -1.84643e-05-0j -0.00668659-0j -0.00395826-0j -2.36243e-07-0j -2.38692e-07-0j 7.07928e-06-0j 7.15264e-06-0j -2.85291e-08-0j -0.000113702-0j -2.88247e-08-0j 5.10155e-06-0j -0.00011488-0j 5.15442e-06-0j -0.000173342-0j 5.8994e-07-0j -0.196998-0j -0.000175138-0j -2.65804e-09-0j 5.96053e-07-0j -0.19904-0j -2.68559e-09-0j -1.49816e-05-0j 5.21438e-08-0j -1.51368e-05-0j -0.00383633-0j 5.26842e-08-0j 0.000102641-0j -0.00387608-0j -0.0015834-0j 0.000103705-0j -0.0015998-0j -0.000356534-0j -0.000360228-0j 
5.48996e-06-0j -4.19072e-05-0j 0.0203918-0j 0.00145478-0j -0.0791837-0j 0.000296623-0j -1.16982e-07-0j 5.03185e-06-0j -3.76341e-05-0j -0.000121662-0j -0.000122643-0j -8.67956e-06-0j -0.139788-0j 0.00208002-0j 0.000183218-0j -0.0164-0j 2.87075e-05-0j -8.31101e-09-0j 3.27348e-06-0j 3.30741e-06-0j -2.41406e-05-0j -2.43907e-05-0j -7.64642e-05-0j -5.45505e-06-0j -7.72566e-05-0j -5.25929e-05-0j -5.51158e-06-0j -5.31379e-05-0j 0.000583683-0j 0.000588387-0j -7.65025e-07-0j 0.000589731-0j -0.0993744-0j 0.000594484-0j -7.72953e-07-0j -0.100404-0j -0.0202622-0j -0.00997901-0j -0.0204722-0j 1.24098e-05-0j -0.0100824-0j -0.00144552-0j 1.25384e-05-0j 1.62933e-06-0j -0.0014605-0j 1.64621e-06-0j -3.71879e-10-0j -3.75733e-10-0j 
1.37249e-06-0j 2.21485e-07-0j -7.01405e-05-0j 2.61022e-08-0j 0.00254602-0j -1.03327e-06-0j 1.21597e-10-0j 1.25796e-06-0j 1.98901e-07-0j -6.09885e-05-0j 1.0483e-07-0j 2.26964e-08-0j -1.01647e-05-0j -0.201163-0j 2.18396e-09-0j 0.000260901-0j -7.48704e-08-0j 7.19405e-12-0j 8.18371e-07-0j 8.26852e-07-0j 1.27586e-07-0j 1.28908e-07-0j -3.83309e-05-0j 1.42646e-08-0j -3.87281e-05-0j 9.02169e-08-0j 1.44124e-08-0j 9.11519e-08-0j -6.18562e-06-0j 1.06322e-08-0j 1.32902e-09-0j -6.24973e-06-0j 0.00103707-0j 1.07423e-08-0j 1.34279e-09-0j 0.00104781-0j -7.28983e-07-0j -0.0204025-0j -7.36537e-07-0j 1.10752e-10-0j -0.020614-0j 1.52774e-05-0j 1.11899e-10-0j -3.39595e-09-0j 1.54357e-05-0j -3.43114e-09-0j 2.75778e-13-0j 2.78636e-13-0j 
-6.46998e-07-0j 1.50252e-05-0j -0.00119539-0j 0.024586-0j -0.000296623-0j -0.0766804-0j 0.00037961-0j -5.93009e-07-0j 1.34932e-05-0j 7.13197e-06-0j 1.44536e-05-0j -0.000146686-0j 0.0249299-0j 1.2695e-06-0j -0.0952201-0j 0.00289582-0j -0.0229503-0j 4.51534e-05-0j -3.85784e-07-0j -3.89782e-07-0j 8.65527e-06-0j 8.74496e-06-0j 4.4824e-06-0j -9.21911e-05-0j 4.52885e-06-0j 6.19813e-06-0j -9.31465e-05-0j 6.26236e-06-0j -0.000104095-0j -0.000210958-0j 0.000397591-0j -0.000105173-0j -0.000122361-0j -0.000213144-0j 0.000401711-0j -0.000123629-0j -0.170332-0j -1.8529e-05-0j -0.172097-0j -0.0199453-0j -1.8721e-05-0j -0.0078491-0j -0.020152-0j -0.00262994-0j -0.00793044-0j -0.00265719-0j 3.0386e-06-0j 3.07009e-06-0j 
-3.96204e-07-0j 6.11272e-06-0j 1.51728e-05-0j -3.37123e-05-0j 0.0350126-0j 0.00306441-0j -1.62103e-06-0j -3.63142e-07-0j 5.48944e-06-0j 1.3193e-05-0j -3.02619e-08-0j -2.93135e-05-0j -0.00021022-0j 0.0142918-0j -8.64354e-06-0j -0.167903-0j 0.000447207-0j -1.44158e-07-0j -2.36243e-07-0j -2.38692e-07-0j 3.52122e-06-0j 3.55771e-06-0j 8.29175e-06-0j -1.84234e-05-0j 8.37768e-06-0j -2.60434e-08-0j -1.86143e-05-0j -2.63133e-08-0j -0.000127927-0j 2.93435e-07-0j -5.25991e-06-0j -0.000129253-0j -0.000149172-0j 2.96476e-07-0j -5.31442e-06-0j -0.000150718-0j 0.000705532-0j -0.138581-0j 0.000712843-0j -8.82797e-07-0j -0.140017-0j -0.0301279-0j -8.91946e-07-0j 3.39249e-05-0j -0.0304401-0j 3.42765e-05-0j -7.7474e-09-0j -7.82769e-09-0j 
2.95313e-08-0j -1.14619e-06-0j -5.67088e-07-0j -0.00377998-0j -1.16982e-07-0j -0.00037961-0j -0.0741821-0j 2.7067e-08-0j -1.02932e-06-0j 3.38338e-09-0j -6.59714e-07-0j 2.25523e-05-0j 1.97659e-05-0j 1.99367e-10-0j 0.0453545-0j 2.30173e-06-0j 0.00260197-0j -0.0278083-0j 1.76085e-08-0j 1.7791e-08-0j -6.60259e-07-0j -6.67101e-07-0j 2.12643e-09-0j 1.4174e-05-0j 2.14847e-09-0j -2.82905e-07-0j 1.43209e-05-0j -2.85836e-07-0j -8.25324e-08-0j 1.60927e-05-0j -0.000189377-0j -8.33876e-08-0j -2.88738e-08-0j 1.62595e-05-0j -0.00019134-0j -2.91731e-08-0j -0.000272182-0j -4.86327e-09-0j -0.000275003-0j -0.217567-0j -4.91366e-09-0j -1.93282e-05-0j -0.219821-0j -0.00534156-0j -1.95285e-05-0j -0.00539691-0j -0.00379747-0j -0.00383682-0j 
4.04374e-08-0j -1.25428e-06-0j -1.0306e-06-0j 2.1235e-05-0j -0.00236996-0j 0.0397971-0j 0.00224432-0j 3.70631e-08-0j -1.12639e-06-0j -8.96129e-07-0j 3.08859e-09-0j 1.84643e-05-0j 2.87075e-05-0j 1.53208e-05-0j -0.000168669-0j 0.0348882-0j -0.132004-0j 0.000403988-0j 2.41115e-08-0j 2.43614e-08-0j -7.22526e-07-0j -7.30013e-07-0j -5.63212e-07-0j 1.16047e-05-0j -5.69048e-07-0j 2.65804e-09-0j 1.17249e-05-0j 2.68559e-09-0j 1.74696e-05-0j -6.02105e-08-0j -0.000102641-0j 1.76506e-05-0j 5.02238e-06-0j -6.08344e-08-0j -0.000103705-0j 5.07442e-06-0j -0.000295761-0j -0.000298671-0j -0.000298826-0j 0.000391543-0j -0.000301766-0j -0.193941-0j 0.000395601-0j -0.0312589-0j -0.195951-0j -0.0315828-0j 3.63885e-05-0j 3.67656e-05-0j 
-2.13124e-09-0j 9.93314e-08-0j 2.70184e-08-0j -2.81356e-06-0j -1.96097e-06-0j -0.00529939-0j 0.0339212-0j -1.95339e-09-0j 8.92031e-08-0j 2.3493e-08-0j -1.62783e-10-0j -2.44644e-06-0j -1.13086e-06-0j 4.18179e-09-0j 4.51534e-05-0j 4.82969e-05-0j 0.0549695-0j -0.0897887-0j -1.27079e-09-0j -1.28396e-09-0j 5.72197e-08-0j 5.78127e-08-0j 1.47652e-08-0j -1.53758e-06-0j 1.49182e-08-0j -1.40091e-10-0j -1.55351e-06-0j -1.41543e-10-0j -6.88167e-07-0j 4.76831e-09-0j 2.74775e-05-0j -6.95299e-07-0j 2.76563e-09-0j 4.81772e-09-0j 2.77623e-05-0j 2.79429e-09-0j 1.94923e-05-0j -1.22495e-07-0j 1.96943e-05-0j -0.000327789-0j -1.23764e-07-0j -0.000542452-0j -0.000331186-0j -0.235006-0j -0.000548073-0j -0.237441-0j -0.0257382-0j -0.0260049-0j 
5.81343e-11-0j -3.61577e-09-0j 7.65986e-12-0j 1.436e-07-0j -3.69033e-10-0j -4.22872e-06-0j -0.0088669-0j 5.32832e-11-0j -3.24709e-09-0j 6.6604e-12-0j 4.44027e-12-0j 1.24863e-07-0j -4.27842e-10-0j 3.92468e-13-0j -3.46666e-06-0j 1.27438e-08-0j 7.35422e-05-0j 0.0748313-0j 3.46636e-11-0j 3.50228e-11-0j -2.08286e-09-0j -2.10445e-09-0j 4.18602e-12-0j 7.84758e-08-0j 4.2294e-12-0j 3.8213e-12-0j 7.9289e-08-0j 3.8609e-12-0j -2.60358e-10-0j -1.73572e-10-0j -2.10959e-06-0j -2.63056e-10-0j 3.9001e-13-0j -1.75371e-10-0j -2.13145e-06-0j 3.94051e-13-0j 1.03401e-08-0j -1.53417e-11-0j 1.04472e-08-0j 4.21937e-05-0j -1.55007e-11-0j -2.15309e-07-0j 4.26309e-05-0j -0.000638471-0j -2.17541e-07-0j -0.000645087-0j -0.268424-0j -0.271206-0j 
0.0029934-0j 0.000483057-0j 0.000394415-0j 5.69289e-05-0j 4.93018e-05-0j 5.81028e-06-0j 2.65202e-07-0j 3.90521e-05-0j 6.17467e-06-0j 4.88151e-06-0j 3.25434e-06-0j 7.04585e-07-0j 8.13585e-07-0j 2.87646e-07-0j 6.77987e-08-0j 7.19114e-08-0j 5.99262e-09-0j 2.23332e-10-0j 0.00178486-0j -0.00175202-0j 0.000278265-0j -0.000273145-0j 0.000215543-0j 3.11109e-05-0j -0.000211577-0j 0.000196763-0j -3.05385e-05-0j -0.000193142-0j 3.47831e-05-0j 2.31887e-05-0j 2.89859e-06-0j -3.41431e-05-0j 2.0082e-05-0j -2.27621e-05-0j -2.84526e-06-0j -1.97125e-05-0j 4.09922e-06-0j 2.04961e-06-0j -4.0238e-06-0j 2.41549e-07-0j -2.0119e-06-0j 2.95836e-07-0j -2.37105e-07-0j 1.90961e-08-0j -2.90393e-07-0j -1.87448e-08-0j 6.01472e-10-0j -5.90405e-10-0j 
-0.000458268-0j 0.00349815-0j -6.03822e-05-0j 0.000833238-0j 0.000357029-0j 0.000128008-0j 9.76495e-06-0j -5.9786e-06-0j 4.47151e-05-0j -7.47325e-07-0j -4.98217e-07-0j 1.03126e-05-0j 5.89173e-06-0j -4.40366e-08-0j 1.49369e-06-0j 1.05253e-06-0j 1.76339e-07-0j 9.87475e-09-0j -0.00027325-0j 0.000268223-0j 0.00201511-0j -0.00197803-0j -3.29981e-05-0j 0.000455354-0j 3.2391e-05-0j -3.0123e-05-0j -0.000446976-0j 2.95688e-05-0j 0.000251888-0j 0.000167926-0j 6.38596e-05-0j -0.000247254-0j -3.07442e-06-0j -0.000164836-0j -6.26846e-05-0j 3.01785e-06-0j 5.99982e-05-0j 1.48427e-05-0j -5.88943e-05-0j 7.10784e-06-0j -1.45696e-05-0j 6.51764e-06-0j -6.97706e-06-0j 7.03136e-07-0j -6.39772e-06-0j -6.90198e-07-0j 3.10422e-08-0j -3.0471e-08-0j 
-0.000346418-0j -5.5903e-05-0j 0.00439165-0j -6.58823e-06-0j 0.00110362-0j 6.46951e-05-0j -3.06911e-08-0j -4.5194e-06-0j -7.1458e-07-0j 5.43537e-05-0j -3.76617e-07-0j -8.15399e-08-0j 9.05895e-06-0j 9.67504e-06-0j -7.84618e-09-0j 1.60973e-06-0j 6.67254e-08-0j -2.58456e-11-0j 0.0723175-0j -0.0709869-0j -3.22029e-05-0j 3.16103e-05-0j 0.00239998-0j -3.60039e-06-0j -0.00235583-0j -2.27709e-05-0j 3.53414e-06-0j 2.23519e-05-0j 0.000387296-0j -2.68357e-06-0j -3.35447e-07-0j -0.00038017-0j 0.000449535-0j 2.6342e-06-0j 3.29274e-07-0j -0.000441263-0j 4.56432e-05-0j 6.89393e-05-0j -4.48034e-05-0j -2.79539e-08-0j -6.76708e-05-0j 6.62227e-06-0j 2.74395e-08-0j 2.12628e-07-0j -6.50042e-06-0j -2.08716e-07-0j -6.96068e-11-0j 6.83261e-11-0j 
5.00012e-05-0j -0.000771428-0j 6.58823e-06-0j 0.00425452-0j -7.87336e-05-0j 0.00133061-0j 0.000204575-0j 6.52319e-07-0j -9.86078e-06-0j 8.15399e-08-0j 5.43599e-08-0j 5.26564e-05-0j -1.29927e-06-0j 4.80478e-09-0j 1.55266e-05-0j 5.37422e-06-0j 2.76397e-06-0j 2.58954e-07-0j -0.0104381-0j 0.0102461-0j -0.00044438-0j 0.000436204-0j 3.60039e-06-0j 0.00232504-0j -3.53414e-06-0j 3.28669e-06-0j -0.00228226-0j -3.22622e-06-0j -5.55476e-05-0j -3.70317e-05-0j 0.000663804-0j 5.45255e-05-0j 3.35447e-07-0j 3.63503e-05-0j -0.000651591-0j -3.29274e-07-0j 0.000306351-0j -3.27317e-06-0j -0.000300714-0j 0.00011141-0j 3.21295e-06-0j 6.77493e-05-0j -0.00010936-0j 1.47306e-05-0j -6.65027e-05-0j -1.44596e-05-0j 9.77727e-07-0j -9.59737e-07-0j 
-0.000305512-0j -4.93018e-05-0j 0.00586673-0j 0.00084679-0j -5.03185e-06-0j -5.93009e-07-0j -2.7067e-08-0j 0.00118801-0j -6.302e-07-0j -4.98217e-07-0j 9.71457e-05-0j -7.19114e-08-0j 1.21017e-05-0j -2.93577e-08-0j 1.00847e-06-0j -7.33943e-09-0j -6.11619e-10-0j -2.27937e-11-0j -0.000182167-0j 0.000178815-0j 0.00846511-0j -0.00830936-0j -2.19987e-05-0j -3.17525e-06-0j 2.1594e-05-0j 0.00292675-0j 3.11682e-06-0j -0.0028729-0j -3.55003e-06-0j 0.000692209-0j -2.95836e-07-0j 3.48471e-06-0j 0.000298711-0j -0.000679473-0j 2.90393e-07-0j -0.000293214-0j 6.09741e-05-0j -2.09188e-07-0j -5.98522e-05-0j 3.59293e-06-0j 2.05339e-07-0j -3.01936e-08-0j -3.52682e-06-0j -1.94899e-09-0j 2.96381e-08-0j 1.91313e-09-0j -6.13875e-11-0j 6.02579e-11-0j 
