-0.0038034-0j -0.000633899-0j -0.000388183-0j -7.92374e-05-0j -4.66911e-06-0j -0.00341559-0j -0.000551188-0j -0.000450043-0j -6.49581e-05-0j -5.62554e-05-0j -6.62976e-06-0j -3.02606e-07-0j -0.00219094-0j -0.00221365-0j -0.000346418-0j -0.000350008-0j -0.000273868-0j -0.000182579-0j -3.95294e-05-0j -0.000276706-0j -0.000184471-0j -3.9939e-05-0j -4.56446e-05-0j -1.61378e-05-0j -3.80372e-06-0j -4.61176e-05-0j -1.6305e-05-0j -4.03445e-06-0j -3.84314e-06-0j -4.07626e-06-0j -3.36204e-07-0j -1.25296e-08-0j -3.39689e-07-0j -1.26594e-08-0j 0.576216-0j 0.71303-0j 0.415934-0j -0.000256588-0j -0.000317511-0j -0.000185215-0j -0.000198752-0j -2.86874e-05-0j -0.000181435-0j -0.000245943-0j -3.54988e-05-0j -0.000143467-0j -3.20735e-05-0j -0.000224514-0j -2.07076e-05-0j -2.13823e-05-0j -2.67279e-06-0j -0.000130967-0j -1.85176e-05-0j -3.96889e-05-0j -2.64593e-05-0j -3.77989e-06-0j -2.31519e-05-0j -3.30741e-06-0j -1.88995e-06-0j -2.29144e-05-0j -1.54346e-05-0j -2.22732e-07-0j -1.92932e-06-0j -1.33667e-05-0j -2.7279e-07-0j -4.67738e-06-0j -2.33869e-06-0j -1.76085e-08-0j -2.75617e-07-0j -2.72847e-06-0j -1.36424e-06-0j -3.37561e-07-0j -5.54617e-10-0j -1.60777e-07-0j -1.96911e-07-0j -2.17895e-08-0j -1.27105e-08-0j -6.86303e-10-0j -4.00344e-10-0j 
-5.14721e-07-0j -0.00240312-0j -5.25335e-08-0j -0.000296095-0j -0.0758211-0j -4.62238e-07-0j 1.43376e-05-0j 8.87633e-06-0j 0.0353764-0j 1.46332e-06-0j 0.00235188-0j -0.0256547-0j -2.96504e-07-0j -2.99577e-07-0j 9.01109e-06-0j 9.10448e-06-0j -3.70631e-08-0j 7.22681e-06-0j -0.000147714-0j -3.74471e-08-0j 7.3017e-06-0j -0.000149245-0j -0.00017304-0j -2.18396e-09-0j -0.196655-0j -0.000174833-0j -2.20659e-09-0j -1.5076e-05-0j -0.198693-0j -1.52322e-05-0j -0.00545958-0j -0.00323191-0j -0.00551616-0j -0.0032654-0j -2.22732e-07-0j -2.75617e-07-0j -1.60777e-07-0j 6.6744e-06-0j 8.25915e-06-0j 4.81784e-06-0j -2.68975e-08-0j -0.000107199-0j 3.57849e-06-0j -3.3284e-08-0j -0.000132652-0j -1.94156e-08-0j 8.34301e-07-0j 4.42816e-06-0j -7.73806e-05-0j -0.000162678-0j 0.00094816-0j 2.58309e-06-0j 3.65228e-07-0j 1.03239e-06-0j -0.000201303-0j 0.00205854-0j 6.0223e-07-0j 0.00117329-0j 4.91616e-08-0j 4.51947e-07-0j -0.000117427-0j 0.527131-0j 0.000684418-0j 2.63636e-07-0j 9.67711e-05-0j 0.00254732-0j 6.08344e-08-0j -0.00149284-0j 0.652291-0j 0.00148594-0j 3.54867e-08-0j 0.000119748-0j -0.000336143-0j 0.380503-0j 6.98531e-05-0j -0.0018473-0j -0.00107759-0j -0.000415956-0j -0.000242641-0j 
-6.30402e-07-0j 1.51199e-05-0j -0.00119115-0j 0.0348284-0j 0.0020286-0j -5.66124e-07-0j 1.31471e-05-0j 1.44284e-05-0j -0.00014761-0j 0.0248414-0j -0.134888-0j 0.000332159-0j -3.63142e-07-0j -3.66906e-07-0j 8.26286e-06-0j 8.34849e-06-0j 8.78023e-06-0j -3.02619e-08-0j -8.98263e-05-0j 8.87122e-06-0j -3.05755e-08-0j -9.07572e-05-0j -0.00021059-0j -0.000150112-0j 0.000400097-0j -0.000212773-0j -0.000151668-0j -0.169727-0j 0.000404243-0j -0.171486-0j -0.0282543-0j 2.76507e-05-0j -0.0285471-0j 2.79373e-05-0j -2.7279e-07-0j -3.37561e-07-0j -1.96911e-07-0j 6.1202e-06-0j 7.57336e-06-0j 4.41779e-06-0j 6.37201e-06-0j -6.5189e-05-0j -3.00723e-08-0j 7.88496e-06-0j -8.06673e-05-0j 4.59956e-06-0j -0.000147977-0j -3.72126e-08-0j -4.70559e-05-0j 5.10017e-07-0j 0.000281139-0j -2.17073e-08-0j -5.68217e-05-0j -0.000183112-0j 6.31113e-07-0j 0.00166143-0j -0.000106816-0j 0.000347892-0j 0.00252991-0j -7.03133e-05-0j 3.6815e-07-0j 9.67711e-05-0j 0.000202937-0j -4.10161e-05-0j 0.531213-0j 0.00205592-0j 0.00313061-0j -0.00373862-0j 0.000119748-0j 0.00119928-0j 0.00182619-0j 0.657342-0j 2.14862e-06-0j 6.98531e-05-0j 0.38345-0j -0.00462631-0j -0.00269868-0j 2.65878e-06-0j 1.55095e-06-0j 
4.06923e-08-0j -1.63117e-06-0j -8.03333e-07-0j -0.00376677-0j 0.0312942-0j 3.65431e-08-0j -1.41833e-06-0j -4.63268e-07-0j 3.20948e-05-0j 2.80002e-05-0j 0.0451959-0j -0.0917956-0j 2.34407e-08-0j 2.36836e-08-0j -8.91414e-07-0j -9.00651e-07-0j -2.81916e-07-0j 1.95339e-09-0j 1.95308e-05-0j -2.84837e-07-0j 1.97364e-09-0j 1.97332e-05-0j 1.13007e-05-0j -5.01815e-08-0j -0.000269508-0j 1.14178e-05-0j -5.07015e-08-0j -0.000385571-0j -0.000272301-0j -0.000389567-0j -0.216806-0j -0.0240827-0j -0.219053-0j -0.0243323-0j 1.76085e-08-0j 2.17895e-08-0j 1.27105e-08-0j -6.60259e-07-0j -8.17029e-07-0j -4.766e-07-0j -2.04593e-07-0j 1.4174e-05-0j 1.94116e-09-0j -2.5317e-07-0j 1.75394e-05-0j -1.47683e-07-0j 7.94077e-06-0j 2.40206e-09-0j 1.02313e-05-0j -5.50216e-08-0j -0.000189377-0j 1.4012e-09-0j -3.83217e-08-0j 9.8262e-06-0j -6.80857e-08-0j -0.000179688-0j 5.73195e-06-0j -0.000234343-0j 1.41347e-06-0j -4.74207e-08-0j -3.97167e-08-0j 0.00149284-0j -0.0001367-0j -2.76621e-08-0j 0.00373862-0j -0.000222352-0j 1.74908e-06-0j 0.513933-0j 0.0018473-0j -0.000129705-0j 1.0203e-06-0j 0.00462631-0j -0.00379747-0j 0.00107759-0j 0.00269868-0j 0.635959-0j 0.370976-0j -0.00469913-0j -0.00274116-0j 
-1.28169e-09-0j 7.20132e-08-0j -1.30812e-10-0j -2.59852e-06-0j -0.00704652-0j -1.151e-09-0j 6.26169e-08-0j -1.51658e-10-0j -2.13025e-06-0j 6.39081e-09-0j 5.22189e-05-0j 0.0652601-0j -7.38314e-10-0j -7.45965e-10-0j 3.93543e-08-0j 3.97622e-08-0j -9.22892e-11-0j -6.15261e-11-0j -1.29633e-06-0j -9.32456e-11-0j -6.21637e-11-0j -1.30977e-06-0j 5.18539e-09-0j -5.43819e-12-0j 2.99597e-05-0j 5.23913e-09-0j -5.49455e-12-0j -1.32306e-07-0j 3.02702e-05-0j -1.33678e-07-0j -0.000507393-0j -0.253771-0j -0.000512651-0j -0.256401-0j -5.54617e-10-0j -6.86303e-10-0j -4.00344e-10-0j 2.91493e-08-0j 3.60704e-08-0j 2.10411e-08-0j -6.69764e-11-0j -9.40778e-07-0j -6.11408e-11-0j -8.2879e-11-0j -1.16415e-06-0j -4.83461e-11-0j 3.64366e-09-0j -7.56578e-11-0j -6.7909e-07-0j 2.42911e-09-0j 2.1052e-05-0j -4.41337e-11-0j -6.24015e-12-0j 4.5088e-09-0j 3.00586e-09-0j -1.23958e-07-0j 2.63013e-09-0j 2.60506e-05-0j 2.14705e-10-0j -7.7218e-12-0j 1.75342e-09-0j -0.000336143-0j 1.51962e-05-0j -4.50438e-12-0j 2.14862e-06-0j -1.53391e-07-0j 2.65683e-10-0j 0.00379747-0j -0.000415956-0j -8.94779e-08-0j 1.54982e-10-0j 2.65878e-06-0j 0.496689-0j -0.000242641-0j 1.55095e-06-0j 0.00469913-0j 0.00274116-0j 0.614621-0j 0.358529-0j 
0.00357211-0j 0.000595351-0j 0.000364577-0j 7.44189e-05-0j 4.38517e-06-0j 4.56604e-05-0j 7.36842e-06-0j 6.01629e-06-0j 8.68376e-07-0j 7.52036e-07-0j 8.86283e-08-0j 4.04531e-09-0j 0.00205771-0j -0.00201985-0j 0.000325352-0j -0.000319366-0j 0.000257213-0j 0.000171476-0j 3.71256e-05-0j -0.000252481-0j -0.000168321-0j -3.64425e-05-0j 4.28689e-05-0j 1.51564e-05-0j 3.57241e-06-0j -4.20801e-05-0j -1.48776e-05-0j 3.78911e-06-0j -3.50668e-06-0j -3.71939e-06-0j 3.15759e-07-0j 1.17677e-08-0j -3.09949e-07-0j -1.15511e-08-0j 0.00154574-0j 2.72258e-05-0j -0.0021839-0j 0.000240984-0j 4.24457e-06-0j -0.000340475-0j 0.000186666-0j 2.69429e-05-0j 0.000170402-0j 3.28783e-06-0j 4.74557e-07-0j -0.000263731-0j 3.0123e-05-0j 3.00136e-06-0j -3.80663e-05-0j 2.0082e-05-0j 2.51025e-06-0j -0.000240752-0j 1.73915e-05-0j 5.30571e-07-0j 3.53714e-07-0j 3.55003e-06-0j -4.25594e-05-0j 4.42142e-08-0j 1.77502e-06-0j 3.06325e-07-0j -2.83729e-05-0j 2.09188e-07-0j -3.54662e-06-0j -2.45717e-05-0j 2.56202e-07-0j 6.25284e-08-0j 3.12642e-08-0j 1.65377e-08-0j 3.68452e-09-0j -5.01567e-06-0j -2.50784e-06-0j 4.5126e-09-0j 5.2089e-10-0j -2.95551e-07-0j -3.61975e-07-0j 2.91287e-10-0j -2.33654e-08-0j 9.17467e-12-0j -7.35941e-10-0j 
-0.000551188-0j 0.00434543-0j -5.62554e-05-0j 0.00109784-0j 0.000130058-0j -7.04555e-06-0j 5.37816e-05-0j -9.28333e-07-0j 1.28104e-05-0j 5.48906e-06-0j 1.96803e-06-0j 1.50129e-07-0j -0.000317511-0j 0.000311669-0j 0.00237473-0j -0.00233103-0j -3.96889e-05-0j -2.64593e-05-0j 0.000547683-0j 3.89586e-05-0j 2.59724e-05-0j -0.000537606-0j 0.000312898-0j -2.33869e-06-0j 7.93269e-05-0j -0.00030714-0j 2.29566e-06-0j 5.58977e-05-0j -7.78673e-05-0j -5.48692e-05-0j 9.365e-06-0j 5.24427e-07-0j -9.19269e-06-0j -5.14778e-07-0j 0.0835051-0j 0.00147081-0j -0.11798-0j 0.00175893-0j 3.09808e-05-0j -0.00248511-0j -2.88031e-05-0j 0.000397466-0j -2.62935e-05-0j -5.07323e-07-0j 7.00075e-06-0j 4.06946e-05-0j 0.000219866-0j -4.6312e-07-0j -0.000561561-0j 0.000146577-0j 5.57412e-05-0j 3.71489e-05-0j -2.68357e-06-0j 3.87261e-06-0j 2.58174e-06-0j 5.23707e-05-0j -0.000310639-0j 9.81796e-07-0j 1.29557e-05-0j -4.7267e-08-0j -0.000207092-0j 6.20423e-06-0j -7.87541e-05-0j 3.79149e-06-0j 5.68907e-06-0j 9.2243e-07-0j 2.28195e-07-0j 6.13747e-07-0j 1.09278e-07-0j -7.39921e-05-0j -1.83046e-05-0j 1.00204e-07-0j 2.70959e-08-0j -8.76566e-06-0j -8.03781e-06-0j 1.08102e-08-0j -8.67134e-07-0j 4.77252e-10-0j -3.82825e-08-0j 
-0.000420977-0j -7.01628e-05-0j 0.00831078-0j 0.00084383-0j -5.16798e-07-0j -5.38113e-06-0j -8.68376e-07-0j 6.82182e-05-0j -1.02339e-07-0j 1.71432e-05-0j 1.00495e-06-0j -4.76744e-10-0j 0.0722816-0j -0.0709516-0j -3.83431e-05-0j 3.76376e-05-0j 0.00291652-0j -2.02086e-05-0j -4.37529e-06-0j -0.00286286-0j 1.98368e-05-0j 4.29478e-06-0j 0.000486087-0j 0.000519146-0j -4.21012e-07-0j -0.000477143-0j -0.000509594-0j 8.63755e-05-0j 4.13266e-07-0j -8.47862e-05-0j 3.58037e-06-0j -1.38683e-09-0j -3.51449e-06-0j 1.36131e-09-0j -0.000182167-0j -3.20859e-06-0j 0.000257375-0j 0.00846511-0j 0.0001491-0j -0.01196-0j 0.00211659-0j -3.17525e-06-0j -2.0082e-05-0j 3.72804e-05-0j -5.59271e-08-0j -0.00299043-0j 0.000341563-0j -3.53714e-07-0j 4.48615e-06-0j -2.36669e-06-0j -2.95836e-07-0j 2.83729e-05-0j 0.000396452-0j 6.0161e-06-0j -4.16856e-08-0j 4.02536e-05-0j -0.000482578-0j -5.2107e-09-0j 6.07987e-05-0j 6.9829e-06-0j 3.34378e-06-0j -2.4653e-08-0j 4.17973e-07-0j -0.000560129-0j 5.84029e-06-0j 7.09005e-07-0j 1.07088e-06-0j 1.8752e-07-0j -4.34225e-10-0j -5.68724e-05-0j -8.58996e-05-0j 1.02868e-07-0j -6.13875e-11-0j 3.48311e-08-0j -8.25148e-06-0j 3.30288e-09-0j -2.64938e-07-0j -1.08125e-12-0j 8.67314e-11-0j 
6.07628e-05-0j -0.000968205-0j 6.20157e-06-0j 0.00566367-0j 0.00205969-0j 7.76699e-07-0j -1.19831e-05-0j 1.02339e-07-0j 6.6088e-05-0j -1.22302e-06-0j 2.06692e-05-0j 3.17779e-06-0j -0.0104329-0j 0.010241-0j -0.000529112-0j 0.000519377-0j 4.37529e-06-0j 2.91686e-06-0j 0.00282545-0j -4.29478e-06-0j -2.86319e-06-0j -0.00277347-0j -6.97166e-05-0j 2.57816e-07-0j 0.000833128-0j 6.84339e-05-0j -2.53073e-07-0j 0.000288372-0j -0.000817799-0j -0.000283066-0j 0.00014831-0j 1.3895e-05-0j -0.000145581-0j -1.36394e-05-0j 2.62935e-05-0j 4.6312e-07-0j -3.71489e-05-0j 0.116814-0j 0.00205749-0j -0.16504-0j 3.17525e-06-0j 0.00205049-0j 2.89859e-06-0j 5.59271e-08-0j 3.61163e-05-0j -4.48615e-06-0j -4.89883e-05-0j 5.10542e-08-0j -0.00289705-0j -3.26589e-05-0j 0.00058542-0j -4.09528e-06-0j 2.95836e-07-0j -8.62854e-07-0j -5.75236e-07-0j 0.000270176-0j 6.92133e-05-0j 1.03113e-05-0j -2.88667e-06-0j 5.2107e-09-0j 4.61422e-05-0j 9.8254e-05-0j -0.000827113-0j -4.17973e-07-0j 5.97492e-05-0j 4.75874e-06-0j -5.08442e-08-0j 1.29912e-05-0j 1.73059e-06-0j -0.000381719-0j 4.07843e-06-0j 1.05239e-06-0j 8.62274e-07-0j -0.000138818-0j -8.44169e-05-0j 2.2882e-07-0j -1.83547e-05-0j 1.51876e-08-0j -1.21827e-06-0j 
-0.000376533-0j 0.00914599-0j -3.84297e-05-0j -7.84444e-06-0j -4.62238e-07-0j 0.00118718-0j -7.76699e-07-0j 9.24243e-05-0j 1.33403e-05-0j -7.92715e-08-0j -9.34224e-09-0j -4.26413e-10-0j -0.000216901-0j 0.00021291-0j 0.00845922-0j -0.00830357-0j -2.71127e-05-0j 0.00528661-0j -3.91338e-06-0j 2.66138e-05-0j -0.00518934-0j 3.84137e-06-0j 0.000658567-0j -1.59763e-06-0j 5.48806e-05-0j -0.00064645-0j 1.56823e-06-0j -3.99407e-07-0j -5.38708e-05-0j 3.92058e-07-0j -3.3284e-08-0j -1.24042e-09-0j 3.26715e-08-0j 1.2176e-09-0j -0.000162935-0j -2.86985e-06-0j 0.000230203-0j -2.5402e-05-0j -4.47417e-07-0j 3.58892e-05-0j 0.00485334-0j 0.000700519-0j 0.00261777-0j 8.54842e-05-0j 1.23386e-05-0j -0.00685706-0j -3.17525e-06-0j 4.6108e-05-0j -0.000989731-0j 0.000619131-0j -2.64604e-07-0j -0.00369852-0j 0.000267175-0j -5.59271e-08-0j 1.0905e-05-0j 5.45369e-05-0j 4.48615e-06-0j -4.66059e-09-0j -1.87103e-07-0j 4.70588e-06-0j -0.000874741-0j 3.21362e-06-0j 3.73846e-07-0j -0.000377479-0j -2.7006e-08-0j 9.60583e-07-0j -3.29553e-09-0j -1.74323e-09-0j 5.66029e-08-0j -7.70525e-05-0j 2.64349e-07-0j -4.75669e-10-0j -5.49066e-11-0j -4.54037e-06-0j 3.81555e-08-0j -3.07043e-11-0j 2.46293e-09-0j -9.67096e-13-0j 7.7575e-11-0j 
0.101255-0j -4.29658e-05-0j -2.6311e-05-0j -5.37072e-06-0j -3.16473e-07-0j -3.29526e-06-0j 0.000208865-0j -4.34188e-07-0j -6.26696e-08-0j -5.42735e-08-0j -6.39619e-09-0j -2.91945e-10-0j -0.000148502-0j 0.00014577-0j -2.34803e-05-0j 2.30482e-05-0j 0.00729096-0j -1.23752e-05-0j 0.00105236-0j -0.00715681-0j 1.21475e-05-0j -0.001033-0j -3.0938e-06-0j -1.09382e-06-0j -2.57816e-07-0j 3.03687e-06-0j 1.0737e-06-0j -2.73456e-07-0j 2.53073e-07-0j 2.68424e-07-0j -2.2788e-08-0j -8.49257e-10-0j 2.23687e-08-0j 8.33631e-10-0j -0.000111554-0j -1.96485e-06-0j 0.000157609-0j -1.73915e-05-0j -3.06325e-07-0j 2.45717e-05-0j -1.34714e-05-0j -1.94443e-06-0j 0.0048302-0j -2.37279e-07-0j -3.42482e-08-0j 1.90331e-05-0j 0.000853866-0j 8.50765e-05-0j 2.7472e-06-0j -1.44929e-06-0j 7.11555e-05-0j -0.00682436-0j -1.25513e-06-0j 1.50395e-05-0j -2.55271e-08-0j -2.56202e-07-0j -0.00120639-0j 1.2533e-06-0j -1.28101e-07-0j -2.21071e-08-0j 2.04764e-06-0j -1.50968e-08-0j -0.000100532-0j 1.77331e-06-0j -1.84898e-08-0j -4.5126e-09-0j -2.2563e-09-0j -1.19351e-09-0j -2.65907e-10-0j 3.61975e-07-0j 1.80988e-07-0j -3.25669e-10-0j -3.7592e-11-0j 2.13296e-08-0j 2.61233e-08-0j -2.10218e-11-0j 1.68625e-09-0j -6.62125e-13-0j 5.31119e-11-0j 
6.65623e-05-0j -0.000524761-0j -0.00131405-0j 0.0127558-0j -1.5706e-05-0j -0.000209866-0j -6.49475e-06-0j -1.07862e-05-0j -1.54701e-06-0j 0.000128217-0j 2.28664e-05-0j -1.81298e-08-0j 3.83431e-05-0j -3.76376e-05-0j 0.0707359-0j -0.0694344-0j -0.000461143-0j 3.19526e-06-0j -6.6139e-05-0j 0.000452658-0j -3.13647e-06-0j 6.49221e-05-0j 0.00363554-0j -8.20842e-05-0j -9.57963e-06-0j -0.00356865-0j 8.05738e-05-0j 0.00130569-0j 9.40337e-06-0j -0.00128167-0j 0.000108811-0j -6.33306e-08-0j -0.000106809-0j 6.21654e-08-0j 2.88031e-05-0j 5.07323e-07-0j -4.06946e-05-0j -0.000212411-0j -3.74129e-06-0j 0.000300105-0j 0.0825475-0j 0.0118393-0j 3.17525e-06-0j 0.00145395-0j 0.000208531-0j -0.116627-0j 0.00255461-0j 5.59271e-08-0j -0.0167272-0j -1.77009e-05-0j -6.73139e-06-0j -4.48615e-06-0j -6.26846e-05-0j 4.49956e-05-0j -3.11774e-07-0j 0.000608493-0j -0.00360929-0j -1.18563e-07-0j 0.000454725-0j -1.10409e-06-0j 2.50088e-05-0j -7.49232e-07-0j 9.51047e-06-0j 8.85641e-05-0j 0.000132889-0j 1.07177e-05-0j 8.00928e-06-0j 7.13109e-06-0j -1.31966e-08-0j -0.00085971-0j -0.00064246-0j 2.34063e-06-0j -3.27214e-09-0j 1.05855e-06-0j -0.000187752-0j 1.25603e-07-0j -1.00752e-05-0j -5.76336e-11-0j 4.62305e-09-0j 
-5.54685e-06-0j 0.000133039-0j -5.66124e-07-0j -0.00158432-0j 0.0178495-0j 1.74888e-05-0j 1.64657e-06-0j -9.34224e-09-0j -1.84871e-05-0j 1.68052e-07-0j 8.73384e-05-0j 4.16004e-05-0j -3.19526e-06-0j 3.13647e-06-0j -0.0179332-0j 0.0176032-0j -3.99407e-07-0j -2.66272e-07-0j -0.000790374-0j 3.92058e-07-0j 2.61372e-07-0j 0.000775832-0j 9.57963e-06-0j -2.35353e-08-0j 0.00352042-0j -9.40337e-06-0j 2.31023e-08-0j -8.06673e-05-0j -0.00345564-0j 7.9183e-05-0j 0.00128527-0j 0.000243296-0j -0.00126162-0j -0.00023882-0j -2.40026e-06-0j -4.22769e-08-0j 3.39121e-06-0j 5.38511e-05-0j 9.48505e-07-0j -7.60837e-05-0j 7.14965e-05-0j 0.141482-0j -2.64604e-07-0j 1.2593e-06-0j 0.00249199-0j -0.000101014-0j 6.73139e-06-0j -4.66059e-09-0j -0.199893-0j 4.4876e-06-0j 0.00247372-0j 3.73846e-07-0j -2.7006e-08-0j 1.18563e-07-0j 7.90421e-08-0j -7.55775e-05-0j -9.51047e-06-0j 4.35708e-05-0j 3.96651e-07-0j -4.75669e-10-0j -6.34031e-06-0j 0.000851481-0j -0.003495-0j 3.81555e-08-0j 0.000252473-0j -1.33118e-06-0j 6.9864e-09-0j 0.000170068-0j 1.49975e-05-0j 0.00010678-0j -5.6041e-07-0j 4.44692e-06-0j 1.89055e-05-0j -0.00120302-0j -0.000356707-0j 2.99548e-06-0j -0.000240281-0j 3.32991e-07-0j -2.67107e-05-0j 
-0.0119026-0j 0.0698151-0j 6.20157e-06-0j -0.000121026-0j -1.43376e-05-0j 7.76699e-07-0j 0.00116139-0j -1.49149e-05-0j 0.000205817-0j -6.05112e-07-0j -2.16955e-07-0j -1.65502e-08-0j 3.50023e-05-0j -3.43583e-05-0j -0.000261789-0j 0.000256972-0j -0.000857061-0j -0.000853123-0j 0.0118269-0j 0.000841291-0j 0.000837426-0j -0.0116093-0j 0.00502712-0j 2.57816e-07-0j 0.00127449-0j -0.00493462-0j -2.53073e-07-0j -6.16214e-06-0j -0.00125104-0j 6.04876e-06-0j -1.03239e-06-0j -5.78127e-08-0j 1.0134e-06-0j 5.67489e-08-0j 2.62935e-05-0j 4.6312e-07-0j -3.71489e-05-0j -0.000193904-0j -3.41532e-06-0j 0.000273957-0j 3.17525e-06-0j -4.38165e-05-0j 0.0827505-0j 5.59271e-08-0j -7.7176e-07-0j -4.48615e-06-0j 0.00474789-0j 0.00145752-0j 6.19063e-05-0j 0.00472608-0j 0.0012037-0j -0.116914-0j -4.31152e-05-0j 8.36269e-05-0j 8.32427e-05-0j 0.000841406-0j -0.00670808-0j 2.12014e-05-0j -1.42824e-06-0j -7.59408e-07-0j -0.00667726-0j 9.96792e-05-0j -0.00170065-0j 6.09154e-05-0j -6.2716e-07-0j 1.48201e-05-0j -2.51562e-08-0j -6.76593e-08-0j 1.7557e-06-0j -0.00118878-0j 2.01789e-06-0j -1.10465e-08-0j -2.98704e-09-0j -0.000140832-0j 8.86085e-07-0j -1.19171e-09-0j 9.55926e-08-0j -5.26121e-11-0j 4.22024e-09-0j 
-0.00728883-0j 6.20157e-06-0j 0.0703073-0j -0.000149945-0j 4.56789e-08-0j 4.75629e-07-0j -1.50351e-05-0j -1.21221e-05-0j 9.04558e-09-0j 0.000145027-0j -1.78575e-07-0j 4.21386e-11-0j 2.14345e-05-0j -2.10401e-05-0j 3.38908e-06-0j -3.32673e-06-0j 0.101519-0j 1.7862e-06-0j -7.57542e-05-0j -0.0996509-0j -1.75334e-06-0j 7.43603e-05-0j -8.63755e-05-0j 0.00886037-0j 3.72126e-08-0j 8.47862e-05-0j -0.00869735-0j 0.000730717-0j -3.65279e-08-0j -0.000717272-0j -6.36215e-07-0j 1.2258e-10-0j 6.24509e-07-0j -1.20324e-10-0j 1.61014e-05-0j 2.83602e-07-0j -2.2749e-05-0j 2.51025e-06-0j 4.42142e-08-0j -3.54662e-06-0j -0.000376108-0j 2.80655e-07-0j -0.000347702-0j -6.62456e-06-0j 4.9433e-09-0j 0.000531385-0j 0.0118892-0j -6.12424e-06-0j -3.96524e-07-0j 2.09188e-07-0j -5.12213e-06-0j 0.000491252-0j 0.0033539-0j 0.000209409-0j 3.68452e-09-0j -7.15287e-06-0j -0.0167976-0j -9.02185e-08-0j 0.00103766-0j 5.90737e-05-0j -2.95551e-07-0j 2.17904e-09-0j 7.23682e-06-0j -0.00473856-0j 4.94076e-05-0j -1.25987e-07-0j 1.82769e-05-0j -3.33215e-08-0j 3.83804e-11-0j 1.0106e-05-0j -0.00146607-0j 8.70238e-07-0j 5.42594e-12-0j -3.07866e-09-0j -6.98056e-05-0j -5.86907e-10-0j 4.70783e-08-0j 9.55695e-14-0j -7.66605e-12-0j 
3.50814e-05-0j -0.0017101-0j -0.000692565-0j -7.03192e-05-0j 4.30665e-08-0j 4.48427e-07-0j 7.23647e-08-0j 0.00166271-0j -2.49435e-06-0j -1.4286e-06-0j -8.37458e-08-0j 3.97287e-11-0j 2.02086e-05-0j -1.98368e-05-0j 3.19526e-06-0j -3.13647e-06-0j -0.000243044-0j 0.0715373-0j 3.64607e-07-0j 0.000238572-0j -0.070221-0j -3.57899e-07-0j 0.0118476-0j -4.32622e-05-0j -1.02615e-05-0j -0.0116296-0j 4.24661e-05-0j -7.19796e-06-0j 1.00727e-05-0j 7.06552e-06-0j -2.98364e-07-0j 1.15569e-10-0j 2.92874e-07-0j -1.13443e-10-0j 1.51806e-05-0j 2.67383e-07-0j -2.14479e-05-0j 2.36669e-06-0j 4.16856e-08-0j -3.34378e-06-0j -0.000176382-0j 2.64604e-07-0j -0.000489466-0j -3.1067e-06-0j 4.66059e-09-0j 0.000249202-0j -2.84636e-05-0j -8.62119e-06-0j -3.73846e-07-0j 0.00837795-0j 2.4653e-08-0j 0.000691543-0j 0.00966287-0j -5.01342e-07-0j 0.000147565-0j 0.000981114-0j 4.02148e-05-0j 4.34225e-10-0j -5.06656e-06-0j 0.000170197-0j -0.0118368-0j -6.00876e-07-0j -3.48311e-08-0j -0.0136522-0j -4.86691e-07-0j 1.72808e-05-0j -8.92397e-08-0j -1.56267e-08-0j -1.05835e-08-0j -0.00138617-0j 7.1583e-06-0j -8.57232e-09-0j 5.11562e-12-0j 8.4895e-07-0j 6.87623e-07-0j -2.7524e-10-0j 2.20782e-08-0j 9.01038e-14-0j -7.22762e-12-0j 
0.00148783-0j 0.000121026-0j 0.000149945-0j 0.0681156-0j -0.000257461-0j -9.70874e-08-0j -0.000293415-0j 1.23081e-06-0j -8.26101e-06-0j -2.95707e-05-0j 0.000248583-0j -3.97224e-07-0j -4.37529e-06-0j 4.29478e-06-0j 6.6139e-05-0j -6.49221e-05-0j -0.0103077-0j -3.64607e-07-0j 0.0691836-0j 0.010118-0j 3.57899e-07-0j -0.0679106-0j -0.000838465-0j 9.36653e-06-0j -0.000104141-0j 0.000823037-0j -9.19419e-06-0j 0.00697239-0j 0.000102225-0j -0.0068441-0j 0.00178369-0j -1.73688e-06-0j -0.00175087-0j 1.70492e-06-0j -3.28669e-06-0j -5.789e-08-0j 4.64361e-06-0j 4.89883e-05-0j 8.62854e-07-0j -6.92133e-05-0j 3.81879e-05-0j -0.000256312-0j 7.09744e-05-0j 6.72621e-07-0j -4.51454e-06-0j -5.39539e-05-0j 0.115411-0j 1.2501e-06-0j 0.000362131-0j 4.08236e-06-0j 0.0143345-0j -0.000100276-0j 7.15287e-06-0j 0.00203278-0j 7.19045e-08-0j 0.00324934-0j -0.163058-0j 0.00025248-0j -0.000104873-0j 1.25987e-07-0j -5.76778e-06-0j -1.22818e-05-0j -0.0202525-0j -1.0106e-05-0j 0.00144465-0j 5.72322e-05-0j -1.84718e-06-0j 0.000156242-0j -2.16324e-07-0j -0.00459084-0j 0.00014817-0j 2.54452e-05-0j -1.07784e-07-0j 1.73523e-05-0j -0.00204107-0j 2.75196e-06-0j -0.000220747-0j -1.89845e-09-0j 1.52283e-07-0j 
