-0.0147175-0j 0.201936-0j -0.0121337-0j 0.100878-0j 0.0255769-0j -0.00742568-0j -0.00750263-0j 0.0582052-0j -0.00075788-0j 0.0588083-0j -0.000765734-0j 0.014706-0j 0.0148584-0j 0.00174223-0j 0.00176029-0j -0.00541954-0j -0.00670634-0j -0.00391203-0j 0.0411314-0j -0.000714087-0j 0.0508975-0j 0.00979783-0j 0.0296902-0j -0.000883638-0j 0.00419796-0j 0.0121242-0j -0.000515456-0j 0.00150524-0j 0.00519471-0j 0.000114828-0j 0.00707245-0j 0.00186264-0j 0.00303025-0j 0.00108654-0j 0.000142092-0j 8.2887e-05-0j 
-0.000714087-0j 0.00979783-0j 0.0843472-0j 0.00489454-0j 0.00124098-0j -0.000360291-0j -0.000364024-0j -0.404612-0j -3.6772e-05-0j -0.408805-0j -3.71531e-05-0j 0.000713528-0j 0.000720923-0j 8.45324e-05-0j 8.54084e-05-0j 0.000511266-0j -0.000325389-0j -0.00018981-0j -0.00388024-0j -0.00965154-0j 0.00246953-0j 0.132427-0j 0.00144056-0j 0.00614259-0j -0.000396025-0j -0.0842812-0j 0.00358318-0j -0.000142001-0j 0.000252045-0j -1.08326e-05-0j -0.049164-0j 9.03745e-05-0j 0.000147026-0j 5.27185e-05-0j 6.89424e-06-0j 4.02164e-06-0j 
0.00309273-0j 0.000446398-0j -0.00494815-0j -0.000874717-0j -7.28931e-05-0j -0.298796-0j -0.266751-0j 0.000260072-0j 0.000159261-0j 0.000232179-0j 0.00014218-0j 3.25089e-05-0j 2.90224e-05-0j 1.91561e-06-0j 1.71016e-06-0j 0.00113886-0j -0.00273486-0j 0.00314189-0j -0.0351913-0j 0.000150058-0j 0.0845084-0j 2.1659e-05-0j -0.0970859-0j -0.000360349-0j 1.87573e-05-0j -5.20119e-05-0j 0.000413981-0j 2.21056e-06-0j -4.50436e-05-0j 1.00898e-07-0j 5.9753e-05-0j -5.30844e-06-0j 5.17476e-05-0j 6.09851e-06-0j -2.42296e-07-0j 2.78358e-07-0j 
0.0836275-0j -6.3117e-05-0j -0.000360517-0j 0.012188-0j -5.31092e-06-0j -0.000220632-0j -0.000222918-0j -3.6772e-05-0j -0.407464-0j -3.71531e-05-0j -0.411687-0j 0.000879042-0j 0.000888151-0j -2.70851e-07-0j -2.73658e-07-0j 0.000313086-0j -0.000199259-0j -0.000116234-0j 5.0524e-05-0j -0.00788921-0j -3.21553e-05-0j 5.95431e-06-0j -1.87573e-05-0j 0.00502099-0j 0.0933078-0j -3.78954e-06-0j 0.00292891-0j -0.000116219-0j -0.0593845-0j 2.7738e-08-0j -2.21056e-06-0j 7.39661e-05-0j -0.034641-0j 4.31469e-05-0j -1.76535e-08-0j -1.02979e-08-0j 
0.000883638-0j -0.0121242-0j -0.00206583-0j -0.000119877-0j -3.0394e-05-0j -0.000428738-0j -0.000432626-0j -0.481479-0j -4.37579e-05-0j -0.485845-0j -4.41547e-05-0j 0.000849083-0j 0.000856783-0j 0.000100592-0j 0.000101504-0j 0.000325389-0j -7.66375e-06-0j -0.00045581-0j -0.00246953-0j -0.00614259-0j 5.81638e-05-0j 0.0842812-0j 0.00345935-0j 0.000144674-0j -0.000252045-0j -0.00198504-0j 0.00860464-0j -9.03745e-05-0j 5.93631e-06-0j -6.89424e-06-0j -0.118062-0j 2.12855e-06-0j 0.000353068-0j 0.000126598-0j 1.62377e-07-0j 9.65756e-06-0j 
-0.00849056-0j 0.0569804-0j 7.35903e-05-0j 0.11763-0j 0.0146939-0j 4.50363e-05-0j 4.5503e-05-0j -0.000713528-0j -0.000879042-0j -0.000720923-0j -0.000888151-0j -0.394713-0j -0.398804-0j 0.00150932-0j 0.00152496-0j -6.39083e-05-0j 4.06736e-05-0j 2.37263e-05-0j 0.000980372-0j 0.000800979-0j -0.000623945-0j -0.00537539-0j -0.000363968-0j -0.000509773-0j -0.0191354-0j 0.0034211-0j -0.000297367-0j 0.159933-0j 0.0121785-0j -0.000258519-0j 0.00199564-0j -0.101787-0j 0.00710411-0j -0.059376-0j 0.000164531-0j 9.59764e-05-0j 
-0.103484-0j 7.81033e-05-0j 8.82976e-06-0j -0.000298508-0j 1.30075e-07-0j -0.000262547-0j -0.000264928-0j -4.37579e-05-0j -0.484873-0j -4.41547e-05-0j -0.48927-0j 0.00104604-0j 0.00105553-0j -3.22307e-07-0j -3.2523e-07-0j 0.000199259-0j -4.69307e-06-0j -0.000279125-0j 3.21553e-05-0j -0.00502099-0j -7.57341e-07-0j 3.78954e-06-0j -4.50436e-05-0j 0.000118257-0j 0.0593845-0j -8.92535e-08-0j 0.00703347-0j -7.39661e-05-0j -0.00139866-0j 1.76535e-08-0j -5.30844e-06-0j 1.74209e-06-0j -0.0831867-0j 0.000103613-0j -4.15785e-10-0j -2.47293e-08-0j 
-5.25975e-06-0j -0.0207252-0j -4.33635e-06-0j 0.000146506-0j 0.164603-0j -2.65379e-06-0j -2.68129e-06-0j 8.45324e-05-0j -2.70851e-07-0j 8.54084e-05-0j -2.73658e-07-0j -0.00150932-0j -0.00152496-0j -0.381985-0j -0.385943-0j 3.76583e-06-0j -2.39671e-06-0j -1.39808e-06-0j -0.000116146-0j 4.96192e-07-0j 7.39194e-05-0j 0.00195517-0j 4.31196e-05-0j -3.15795e-07-0j -1.18541e-05-0j -0.00124434-0j -1.84214e-07-0j -0.018835-0j 7.54437e-06-0j 0.204284-0j -0.000725866-0j 0.0119873-0j 4.40088e-06-0j 0.00699257-0j -0.130014-0j -0.0758415-0j 
-0.000515456-0j 0.00707245-0j -0.118155-0j -0.00685635-0j -0.00173838-0j -0.000260072-0j -0.000232179-0j -0.292064-0j -2.65434e-05-0j -0.260741-0j -2.36967e-05-0j 0.000515052-0j 0.000459814-0j 6.10187e-05-0j 5.44746e-05-0j -0.00018981-0j 0.00045581-0j -0.000523649-0j 0.00144056-0j 0.00358318-0j -0.00345935-0j -0.049164-0j 0.00397421-0j -0.00860464-0j 0.000147026-0j 0.118062-0j 0.00988529-0j 5.27185e-05-0j -0.000353068-0j 4.02164e-06-0j -0.135634-0j -0.000126598-0j 0.000405616-0j 0.00014544-0j -9.65756e-06-0j 1.10949e-05-0j 
0.0105065-0j -0.0705097-0j -1.80237e-06-0j -0.002881-0j -0.000359883-0j 5.35922e-05-0j 5.40782e-05-0j -0.000849083-0j -0.00104604-0j -0.000856783-0j -0.00105553-0j -0.4697-0j -0.47396-0j 0.00179605-0j 0.00181234-0j -4.06736e-05-0j 9.57969e-07-0j 5.69762e-05-0j 0.000623945-0j 0.000509773-0j -1.46955e-05-0j -0.0034211-0j -0.000874032-0j -1.20065e-05-0j -0.0121785-0j 8.05758e-05-0j -0.000714097-0j 0.101787-0j 0.000286835-0j -0.000164531-0j 0.00479233-0j -0.00239736-0j 0.0170598-0j -0.142585-0j 3.87513e-06-0j 0.000230477-0j 
0.0603655-0j -4.55603e-05-0j 0.000505018-0j -0.0170732-0j 7.43962e-06-0j -0.000159261-0j -0.00014218-0j -2.65434e-05-0j -0.294123-0j -2.36967e-05-0j -0.262579-0j 0.000634526-0j 0.000566474-0j -1.95511e-07-0j -1.74543e-07-0j -0.000116234-0j 0.000279125-0j -0.000320668-0j -1.87573e-05-0j 0.00292891-0j 4.50436e-05-0j -2.21056e-06-0j -5.17476e-05-0j -0.00703347-0j -0.034641-0j 5.30844e-06-0j 0.00808028-0j 4.31469e-05-0j 0.0831867-0j -1.02979e-08-0j -6.09851e-06-0j -0.000103613-0j -0.0955676-0j 0.000119034-0j 2.47293e-08-0j -2.84098e-08-0j 
6.50861e-06-0j 0.0256462-0j 1.06206e-07-0j -3.58823e-06-0j -0.00403146-0j -3.15795e-06-0j -3.18659e-06-0j 0.000100592-0j -3.22307e-07-0j 0.000101504-0j -3.2523e-07-0j -0.00179605-0j -0.00181234-0j -0.454553-0j -0.458675-0j 2.39671e-06-0j -5.64489e-08-0j -3.35736e-06-0j -7.39194e-05-0j 3.15795e-07-0j 1.74099e-06-0j 0.00124434-0j 0.000103547-0j -7.43779e-09-0j -7.54437e-06-0j -2.93075e-05-0j -4.4237e-07-0j -0.0119873-0j 1.77689e-07-0j 0.130014-0j -0.00174309-0j 0.000282331-0j 1.05683e-05-0j 0.0167919-0j -0.00306217-0j -0.182126-0j 
-0.00612881-0j 0.0411306-0j -0.000103086-0j -0.164779-0j -0.0205835-0j 3.25089e-05-0j 2.90224e-05-0j -0.000515052-0j -0.000634526-0j -0.000459814-0j -0.000566474-0j -0.284919-0j -0.254362-0j 0.00108948-0j 0.000972639-0j 2.37263e-05-0j -5.69762e-05-0j 6.54561e-05-0j -0.000363968-0j -0.000297367-0j 0.000874032-0j 0.00199564-0j -0.00100412-0j 0.000714097-0j 0.00710411-0j -0.00479233-0j -0.000820378-0j -0.059376-0j -0.0170598-0j 9.59764e-05-0j 0.00550558-0j 0.142585-0j 0.0195988-0j -0.163807-0j -0.000230477-0j 0.00026478-0j 
-3.79669e-06-0j -0.0149603-0j 6.07442e-06-0j -0.000205228-0j -0.230579-0j -1.91561e-06-0j -1.71016e-06-0j 6.10187e-05-0j -1.95511e-07-0j 5.44746e-05-0j -1.74543e-07-0j -0.00108948-0j -0.000972639-0j -0.275731-0j -0.24616-0j -1.39808e-06-0j 3.35736e-06-0j -3.85704e-06-0j 4.31196e-05-0j -1.84214e-07-0j -0.000103547-0j -0.000725866-0j 0.000118959-0j 4.4237e-07-0j 4.40088e-06-0j 0.00174309-0j -5.08209e-07-0j 0.00699257-0j -1.05683e-05-0j -0.0758415-0j -0.00200252-0j -0.0167919-0j 1.21412e-05-0j 0.0192911-0j 0.182126-0j -0.209232-0j 
