0.0825516-0j 0.0145932-0j 0.0012161-0j 0.0717802-0j 0.0119634-0j 0.00732604-0j 0.00149542-0j 8.81186e-05-0j 0.0451135-0j 0.045581-0j 0.00728015-0j 0.0073556-0j 0.00594422-0j 0.000857974-0j 0.00600582-0j 0.000743028-0j 0.000866866-0j 8.75666e-05-0j 0.000750728-0j 3.99685e-06-0j 8.84741e-05-0j 4.03827e-06-0j 0.033415-0j 0.0413489-0j 0.0241202-0j 0.00528337-0j 0.00653784-0j 0.00417687-0j 0.00381374-0j 0.00278458-0j 0.00060288-0j 0.00516862-0j 0.000696145-0j 0.00344574-0j 0.000746025-0j 0.00301503-0j 0.000246125-0j 0.00201002-0j 5.80121e-05-0j 0.000435181-0j 6.15311e-05-0j 0.000861436-0j 0.000304564-0j 5.12759e-06-0j 0.000502504-0j 7.17863e-05-0j 7.61409e-05-0j 0.000177662-0j 1.91094e-07-0j 4.18754e-05-0j 4.44155e-05-0j 6.34507e-06-0j 3.70129e-06-0j 2.36467e-07-0j 1.37939e-07-0j 
0.000861436-0j 0.69306-0j -0.00182621-0j 1.06616e-05-0j -8.40538e-05-0j -0.000210478-0j 0.00204316-0j -2.51572e-06-0j -0.000463213-0j -0.000462102-0j 0.00353589-0j 0.00352742-0j 0.00587229-0j 0.000842228-0j 0.00585821-0j -0.0698044-0j 0.000840209-0j -0.012449-0j -0.0696371-0j 9.8703e-06-0j -0.0124192-0j 9.84664e-06-0j 0.000348689-0j -6.04311e-06-0j -0.000492647-0j -0.00260791-0j 4.51975e-05-0j -0.0041936-0j 0.0036846-0j 2.90574e-05-0j -0.000601463-0j 7.26789e-05-0j 0.0330613-0j -5.03592e-07-0j 1.04239e-05-0j 0.00592494-0j -0.000746467-0j -4.10539e-05-0j -8.71164e-05-0j 0.000849779-0j 0.0118739-0j -0.000572983-0j 1.2937e-05-0j 0.000989522-0j -0.0467108-0j 1.50981e-06-0j -0.000205785-0j 0.00105465-0j -5.75924e-07-0j 0.000123083-0j -0.016776-0j -1.71493e-05-0j -0.00139805-0j 9.98129e-09-0j 8.13695e-07-0j 
-7.17863e-05-0j 0.00182621-0j 0.671114-0j -8.8847e-07-0j 2.13096e-05-0j -9.06791e-08-0j -0.000253769-0j 0.00285905-0j 3.86011e-05-0j 3.85085e-05-0j -0.000896432-0j -0.000894283-0j 5.08614e-06-0j 0.0100648-0j 5.07394e-06-0j -9.14917e-05-0j 0.0100407-0j -0.0475491-0j -9.12724e-05-0j -0.0226482-0j -0.0474351-0j -0.0225939-0j -2.90574e-05-0j 5.03592e-07-0j 4.10539e-05-0j 0.000661167-0j -1.14586e-05-0j -3.63218e-06-0j -0.000934131-0j -2.42145e-06-0j -0.0071876-0j 6.2949e-08-0j 8.71164e-05-0j 4.1966e-08-0j 0.000124568-0j 5.13173e-06-0j -2.14028e-07-0j 3.42116e-06-0j 0.0320144-0j 0.010155-0j -0.000733582-0j -1.50981e-06-0j 3.70931e-09-0j 0.0116882-0j -0.000123083-0j -0.000554839-0j 1.27136e-05-0j 3.0239e-07-0j 0.00221252-0j -0.0452316-0j 0.00103644-0j -0.000202567-0j -0.0165137-0j -3.8345e-05-0j -0.00312596-0j 
-0.000502504-0j -0.404285-0j 0.00106529-0j 0.000855217-0j -0.00674232-0j -0.0168834-0j 0.163891-0j -0.000201797-0j -0.000274613-0j -0.0002541-0j 0.00209623-0j 0.00193965-0j 0.00348135-0j 0.000499309-0j 0.0032213-0j -0.0413831-0j 0.000462012-0j -0.00738031-0j -0.0382919-0j 5.85154e-06-0j -0.00682903-0j 5.41445e-06-0j -0.000203402-0j 0.000492647-0j -0.000568487-0j 0.00152128-0j -0.0036846-0j 0.00244627-0j 0.00425182-0j -1.69502e-05-0j 0.000350853-0j -0.00592494-0j -0.0192858-0j 4.10539e-05-0j -0.000849779-0j 0.00683705-0j 0.000435439-0j -4.73739e-05-0j 5.08179e-05-0j 0.000980598-0j -0.00692643-0j 0.0467108-0j -0.00105465-0j -0.000577221-0j -0.0539017-0j -0.000123083-0j 0.016776-0j 0.00121701-0j 3.35955e-07-0j 0.000142031-0j -0.0193586-0j 0.00139805-0j -0.00161327-0j -8.13695e-07-0j 9.3896e-07-0j 
4.18754e-05-0j -0.00106529-0j -0.391483-0j -7.12681e-05-0j 0.00170934-0j -7.27377e-06-0j -0.0203559-0j 0.229337-0j 2.28844e-05-0j 2.1175e-05-0j -0.000531444-0j -0.000491747-0j 3.01528e-06-0j 0.00596684-0j 2.79005e-06-0j -5.42402e-05-0j 0.00552114-0j -0.0281892-0j -5.01887e-05-0j -0.0134268-0j -0.0260835-0j -0.0124239-0j 1.69502e-05-0j -4.10539e-05-0j 4.73739e-05-0j -0.000385681-0j 0.000934131-0j 2.11877e-06-0j -0.00107794-0j 1.41251e-06-0j 0.00419277-0j -5.13173e-06-0j -5.08179e-05-0j -3.42116e-06-0j -0.010155-0j 5.92174e-06-0j 1.2485e-07-0j 3.94783e-06-0j -0.0186751-0j 0.0117183-0j 0.000427923-0j 0.000123083-0j -3.0239e-07-0j -0.0068181-0j -0.000142031-0j 0.0452316-0j -0.00103644-0j 3.48942e-07-0j -0.00129064-0j -0.0521949-0j 0.001196-0j 0.0165137-0j -0.0190559-0j 0.00312596-0j -0.00360719-0j 
0.002935-0j 0.000518839-0j 4.32366e-05-0j -0.49991-0j 0.000425339-0j 0.000260466-0j 5.31674e-05-0j 3.13292e-06-0j 0.00160394-0j 0.00162056-0j -0.0507022-0j -0.0512277-0j 0.000211338-0j 3.0504e-05-0j 0.000213528-0j 2.64172e-05-0j 3.08201e-05-0j 3.1133e-06-0j 2.6691e-05-0j 1.42102e-07-0j 3.14556e-06-0j 1.43574e-07-0j 0.00118802-0j 0.0014701-0j 0.000857557-0j 0.000187842-0j 0.000232443-0j -0.0290896-0j 0.000135592-0j 9.90015e-05-0j -0.00419872-0j -0.0359965-0j 2.47504e-05-0j 0.000122508-0j -0.00519565-0j -0.020998-0j 8.75058e-06-0j 7.14631e-05-0j 2.06253e-06-0j -0.0030308-0j 2.18764e-06-0j 3.0627e-05-0j 1.08283e-05-0j 1.82304e-07-0j 1.78658e-05-0j 2.55225e-06-0j 2.70707e-06-0j 6.3165e-06-0j 6.79406e-09-0j 1.48881e-06-0j 1.57913e-06-0j 2.25589e-07-0j 1.31594e-07-0j 8.40722e-09-0j 4.90421e-09-0j 
0.0712911-0j 0.0040904-0j 0.00103701-0j -0.000425339-0j -0.488706-0j -4.3411e-05-0j 0.000847179-0j 0.000100363-0j -0.000267323-0j -0.000270094-0j 0.00204059-0j 0.00206174-0j 0.00513339-0j -0.0708378-0j 0.00518659-0j 0.000208267-0j -0.0715719-0j 7.46712e-05-0j 0.000210425-0j 5.69622e-06-0j 7.5445e-05-0j 5.75525e-06-0j -0.000198003-0j -0.000245016-0j -0.000142926-0j 0.0014809-0j 0.00183252-0j -2.47504e-05-0j 0.00106897-0j 0.004826-0j 0.00034154-0j -3.0627e-05-0j -0.0284377-0j 0.00597186-0j 0.000422635-0j -1.78658e-05-0j -1.45843e-06-0j 0.00348359-0j -0.00720961-0j 0.000246537-0j 3.48583e-05-0j -0.0351898-0j -1.80471e-06-0j 5.8401e-06-0j -0.0205274-0j -0.00892144-0j 4.3135e-05-0j -1.05275e-06-0j 3.27038e-07-0j -0.00520417-0j 2.51621e-05-0j 7.22676e-06-0j 4.21561e-06-0j 4.04689e-07-0j 2.36068e-07-0j 
-0.00342416-0j -0.000605312-0j -5.04427e-05-0j 0.00830157-0j -7.06324e-06-0j -4.32533e-06-0j -8.82905e-07-0j -5.20257e-08-0j -0.00187126-0j 0.00183683-0j 0.0591526-0j -0.0580642-0j -0.000246561-0j -3.55879e-05-0j 0.000242024-0j -3.08201e-05-0j 3.49331e-05-0j -3.63218e-06-0j 3.0253e-05-0j -1.65786e-07-0j 3.56535e-06-0j 1.62735e-07-0j 0.00276469-0j -2.44126e-05-0j 0.00195824-0j 0.000437136-0j -3.85998e-06-0j -0.0676957-0j 0.000309625-0j 0.000230391-0j -0.00977103-0j 0.000597763-0j 5.75977e-05-0j -2.03439e-06-0j 8.62797e-05-0j -0.0479492-0j 2.03639e-05-0j 0.000163187-0j 4.79981e-06-0j -0.00692087-0j 5.09097e-06-0j -5.08596e-07-0j -1.79816e-07-0j 4.24247e-07-0j 4.07967e-05-0j -4.2383e-08-0j -4.4954e-08-0j 1.44238e-05-0j 1.58108e-08-0j 3.39973e-06-0j 3.60596e-06-0j -3.74617e-09-0j 3.00496e-07-0j -1.39611e-10-0j 1.11988e-08-0j 
-0.000299552-0j 0.0102427-0j -4.41281e-06-0j -0.000260466-0j -4.3411e-05-0j -0.492151-0j 0.00104961-0j -3.19752e-07-0j -0.000163701-0j -0.000165398-0j -2.64172e-05-0j -2.6691e-05-0j 0.00417215-0j -3.1133e-06-0j 0.00421539-0j -0.0499153-0j -3.14556e-06-0j 6.14616e-05-0j -0.0504326-0j -1.45032e-08-0j 6.20986e-05-0j -1.46535e-08-0j -0.000121252-0j -0.000150041-0j -8.7524e-05-0j -1.91716e-05-0j -2.37236e-05-0j 0.00293168-0j -1.38388e-05-0j -1.01043e-05-0j -2.18764e-06-0j 0.00362777-0j 0.000488613-0j -1.25034e-05-0j -2.70707e-06-0j 0.0021162-0j -0.0501218-0j -7.29367e-06-0j -2.10506e-07-0j -1.57913e-06-0j -0.00413356-0j 0.000604628-0j -0.0620226-0j 3.59898e-06-0j 0.0003527-0j -2.60488e-07-0j -0.00511502-0j -0.0361799-0j -6.93416e-10-0j -1.51951e-07-0j -0.00298376-0j 4.45351e-06-0j 2.59788e-06-0j -8.58058e-10-0j -5.00534e-10-0j 
-0.00209686-0j -0.000370676-0j -3.08897e-05-0j 0.357153-0j -0.000303877-0j -0.000186086-0j -3.79846e-05-0j -2.23827e-06-0j 0.00340097-0j -0.00115778-0j -0.107508-0j 0.0365988-0j 0.000448117-0j 6.46801e-05-0j -0.000152552-0j 5.60146e-05-0j -2.20189e-05-0j 6.60138e-06-0j -1.90689e-05-0j 3.0131e-07-0j -2.2473e-06-0j -1.02575e-07-0j -0.000848761-0j 0.00311717-0j -0.000612668-0j -0.000134201-0j 0.000492868-0j 0.0207826-0j -9.68713e-05-0j -7.07301e-05-0j 0.00299971-0j -0.0763265-0j -1.76825e-05-0j 0.000259764-0j -0.0110168-0j 0.0150017-0j -6.25171e-06-0j -5.10557e-05-0j -1.47354e-06-0j 0.00216531-0j -1.56293e-06-0j 6.4941e-05-0j 2.29601e-05-0j -1.30244e-07-0j -1.27639e-05-0j 5.41175e-06-0j 5.74003e-06-0j -4.51273e-06-0j -4.85391e-09-0j -1.06366e-06-0j -1.12818e-06-0j 4.78336e-07-0j -9.40151e-08-0j 1.78265e-08-0j -3.50374e-09-0j 
6.11457e-05-0j 0.0994284-0j 0.0123494-0j 5.31674e-05-0j -0.000847179-0j -0.00104961-0j -0.476809-0j 0.00180223-0j 3.34154e-05-0j 3.37617e-05-0j -0.00051554-0j -0.000520882-0j -0.000423617-0j 0.00284326-0j -0.000428007-0j 0.0101776-0j 0.00287273-0j -0.0855569-0j 0.0102831-0j 0.000136716-0j -0.0864435-0j 0.000138133-0j 2.47504e-05-0j 3.0627e-05-0j 1.78658e-05-0j -0.000374139-0j -0.000462973-0j -0.000297666-0j -0.000270068-0j 2.06253e-06-0j 0.0019979-0j -0.000368343-0j 0.00474307-0j 2.55225e-06-0j 0.00247227-0j -0.000214867-0j -5.29851e-05-0j 1.48881e-06-0j 0.00058911-0j 0.00144216-0j -0.0394418-0j 0.00586925-0j -6.55657e-05-0j -0.0100901-0j 0.00342373-0j 0.000728987-0j -0.0488067-0j -3.82467e-05-0j 9.82526e-06-0j 0.000425242-0j -0.0284706-0j -0.0124858-0j -0.00728339-0j 1.21581e-05-0j 7.09225e-06-0j 
0.00299614-0j 0.000529648-0j 4.41373e-05-0j 0.495797-0j -0.00042184-0j -0.000258323-0j -5.273e-05-0j -3.10714e-06-0j -0.00161109-0j -0.00165365-0j 0.0509283-0j 0.0522737-0j -0.00021228-0j -3.06399e-05-0j -0.000217888-0j -2.6535e-05-0j -3.14494e-05-0j -3.12718e-06-0j -2.7236e-05-0j -1.42735e-07-0j -3.20979e-06-0j -1.46506e-07-0j 0.00121277-0j 0.00143461-0j 0.000801723-0j 0.000191755-0j 0.000226832-0j -0.0296956-0j 0.000126764-0j 0.000101064-0j -0.0042862-0j -0.0351277-0j 2.5266e-05-0j 0.000119551-0j -0.00507025-0j -0.0196308-0j 8.93288e-06-0j 6.68102e-05-0j 2.1055e-06-0j -0.00283347-0j 2.23322e-06-0j 2.98878e-05-0j 1.05669e-05-0j 1.86102e-07-0j 1.67026e-05-0j 2.49065e-06-0j 2.64173e-06-0j 5.90525e-06-0j 6.9356e-09-0j 1.39188e-06-0j 1.47631e-06-0j 2.20144e-07-0j 1.23026e-07-0j 8.2043e-09-0j 4.58491e-09-0j 
-0.0831729-0j -0.00477213-0j -0.00120985-0j 7.06324e-06-0j 0.00811552-0j 7.20889e-07-0j -1.40684e-05-0j -1.66664e-06-0j 0.000311877-0j -0.000306139-0j -0.00238069-0j 0.00233688-0j -0.00598896-0j 0.0826441-0j 0.00587876-0j -0.000242978-0j -0.0811234-0j -8.71164e-05-0j 0.000238507-0j -6.64559e-06-0j 8.55135e-05-0j 6.52331e-06-0j -0.000460782-0j 4.06877e-06-0j -0.000326374-0j 0.00344627-0j -3.04311e-05-0j -5.75977e-05-0j 0.00244101-0j 0.0112308-0j 0.000794814-0j 5.08596e-07-0j -0.0661786-0j -9.91696e-05-0j -7.01833e-06-0j -4.07967e-05-0j -3.39398e-06-0j 0.00795482-0j -0.0167778-0j 0.000562971-0j 8.11204e-05-0j 0.000584367-0j 2.99693e-08-0j 1.35908e-05-0j -0.0468746-0j 0.000148151-0j -7.16305e-07-0j -2.40397e-06-0j 7.61065e-07-0j -0.0118838-0j 5.7458e-05-0j -1.20009e-07-0j 9.62641e-06-0j -6.72032e-09-0j 5.39066e-07-0j 
-3.60305e-06-0j 0.000122425-0j 0.139133-0j -3.13292e-06-0j 0.000100363-0j -3.19752e-07-0j -0.00180223-0j -0.461495-0j -1.96902e-06-0j -1.98943e-06-0j 6.10747e-05-0j 6.17076e-05-0j -2.59441e-07-0j -0.001034-0j -2.6213e-07-0j 6.23341e-06-0j -0.00104471-0j 0.0100184-0j 6.29801e-06-0j -0.109283-0j 0.0101222-0j -0.110415-0j -1.45843e-06-0j -1.80471e-06-0j -1.05275e-06-0j 4.43233e-05-0j 5.48473e-05-0j -1.82304e-07-0j 3.19942e-05-0j -1.21536e-07-0j -0.000726568-0j -2.25589e-07-0j 5.8401e-06-0j -1.50393e-07-0j -0.000899081-0j -1.31594e-07-0j -1.07423e-08-0j -8.77292e-08-0j 0.00663712-0j -0.000524464-0j -7.4155e-05-0j 7.22676e-06-0j -1.3293e-08-0j -0.0268543-0j 4.21561e-06-0j 0.00821301-0j -9.17621e-05-0j -7.75424e-09-0j -0.0158969-0j 0.00479093-0j -5.35279e-05-0j -0.0332305-0j -0.0193844-0j -0.0196714-0j -0.011475-0j 
