-0.0471077-0j -0.00477779-0j -0.00482731-0j -0.00274118-0j -0.000395656-0j -0.00339204-0j -0.00197869-0j -0.000489599-0j -0.000285599-0j -0.00192617-0j -0.000340502-0j -0.0022472-0j -2.83751e-05-0j -0.00137612-0j -0.0019663-0j -0.000397252-0j -0.000243266-0j -0.000811056-0j -3.31043e-05-0j -0.000347595-0j -2.02722e-05-0j -0.000143376-0j -2.89663e-05-0j -1.1948e-05-0j -0.00148266-0j -0.00024711-0j -0.00167484-0j -0.000151323-0j -3.08887e-05-0j -0.0013675-0j -1.82014e-06-0j -0.00027914-0j -0.00138167-0j -0.00119656-0j -0.000170938-0j -0.000227917-0j -0.000987115-0j -3.48925e-05-0j -0.00013957-0j -0.000230279-0j -0.000315388-0j -2.05606e-06-0j -0.000141016-0j -0.000199427-0j -2.84896e-05-0j -0.000122124-0j -0.000164519-0j -2.87849e-05-0j -1.67877e-06-0j -2.49284e-05-0j -0.000100747-0j -5.25647e-05-0j -1.69616e-06-0j -2.05649e-05-0j -3.21892e-05-0j -1.46892e-06-0j -6.57058e-06-0j -1.2118e-06-0j -3.87175e-07-0j 
9.50246e-05-0j -0.00092141-0j -0.000930958-0j -0.000532011-0j 0.00357079-0j -0.00065833-0j -0.000384026-0j 0.00441862-0j 0.00257753-0j 3.88543e-06-0j 0.00631805-0j 4.533e-06-0j 0.000784729-0j 2.77588e-06-0j 3.96637e-06-0j 0.00737106-0j 0.00451383-0j 1.63605e-06-0j 0.000915517-0j 0.00644967-0j 0.000560638-0j 0.00266035-0j 0.000801078-0j 0.000330428-0j 2.99079e-06-0j -4.76557e-05-0j 3.37845e-06-0j -5.90431e-05-0j -0.0268216-0j 2.7585e-06-0j 0.000101379-0j -5.38329e-05-0j 2.78708e-06-0j 2.41368e-06-0j -6.66963e-05-0j -4.39544e-05-0j 1.99119e-06-0j -0.0302982-0j -5.44573e-05-0j -4.44099e-05-0j 6.36194e-07-0j 0.00011452-0j -5.50216e-05-0j -3.84601e-05-0j -0.0247384-0j -4.76501e-05-0j -3.17279e-05-0j -0.0249947-0j 9.35052e-05-0j -0.0216461-0j -3.93093e-05-0j -1.01372e-05-0j 9.44742e-05-0j -0.0178571-0j -1.25595e-05-0j 8.18171e-05-0j -0.00570543-0j 6.74957e-05-0j 2.15652e-05-0j 
-0.000600989-0j -6.09539e-05-0j -6.15856e-05-0j 0.00336473-0j -5.04768e-06-0j 0.00416364-0j 0.00242879-0j -6.24619e-06-0j -3.64361e-06-0j 0.00358136-0j 0.000417957-0j 0.00417825-0j -3.62003e-07-0j 0.00255865-0j 0.00365597-0j 0.000487617-0j 0.000298603-0j 0.00150801-0j -4.22337e-07-0j 0.000426665-0j -2.58628e-07-0j 0.00017599-0j -3.69545e-07-0j -1.5243e-07-0j 0.00370527-0j 0.000459455-0j 0.00418555-0j 0.000373421-0j 3.79151e-05-0j 0.00341749-0j -2.32208e-08-0j 0.00051901-0j 0.0034529-0j 0.0029903-0j 0.000421824-0j 0.00042377-0j 0.00246687-0j 4.28297e-05-0j 0.000344418-0j 0.000428161-0j 0.000788178-0j -2.62307e-08-0j 0.000347987-0j 0.000370799-0j 3.49703e-05-0j 0.000301366-0j 0.000305893-0j 3.53327e-05-0j -2.14173e-08-0j 3.0599e-05-0j 0.000248614-0j 9.77344e-05-0j -2.16393e-08-0j 2.52429e-05-0j 7.94334e-05-0j -1.87401e-08-0j 8.06523e-06-0j -1.54598e-08-0j -4.93949e-09-0j 
-5.59938e-06-0j 0.000109157-0j 0.000110288-0j -3.25826e-07-0j -0.00129857-0j -4.0319e-07-0j -2.35194e-07-0j -0.0016069-0j -0.00093736-0j -2.28951e-07-0j 7.77936e-06-0j -2.67109e-07-0j 0.00884103-0j -1.6357e-07-0j -2.33721e-07-0j 9.07592e-06-0j 5.55784e-06-0j -9.64049e-08-0j 0.0103145-0j 7.94143e-06-0j 0.00631634-0j 3.27567e-06-0j 0.00902522-0j 0.00372271-0j -1.76234e-07-0j 5.64566e-06-0j -1.99077e-07-0j -1.79868e-08-0j -0.000101379-0j -1.62546e-07-0j -0.0259602-0j 6.37745e-06-0j -1.6423e-07-0j -1.42228e-07-0j -2.03182e-08-0j 5.20716e-06-0j -1.17332e-07-0j -0.00011452-0j -1.65898e-08-0j 5.26113e-06-0j -3.74881e-08-0j -0.0293251-0j -1.67617e-08-0j 4.55627e-06-0j -9.35052e-05-0j -1.45161e-08-0j 3.75873e-06-0j -9.44742e-05-0j -0.0239439-0j -8.18171e-05-0j -1.19751e-08-0j 1.20093e-06-0j -0.024192-0j -6.74957e-05-0j -3.82611e-09-0j -0.0209509-0j -2.15652e-05-0j -0.0172836-0j -0.00552219-0j 
-0.000231321-0j -2.34612e-05-0j -2.37043e-05-0j -1.34605e-05-0j -1.94285e-06-0j -1.66565e-05-0j -9.71629e-06-0j -2.40416e-06-0j -1.40243e-06-0j 0.00415431-0j -1.67202e-06-0j 0.0048467-0j -1.39335e-07-0j 0.00296798-0j 0.00424086-0j -1.95069e-06-0j -1.19455e-06-0j 0.00174927-0j -1.62558e-07-0j -1.70686e-06-0j -9.95458e-08-0j -7.04042e-07-0j -1.42238e-07-0j -5.86701e-08-0j -7.28054e-06-0j 0.00053296-0j -8.22425e-06-0j -7.43067e-07-0j -1.51678e-07-0j -6.71507e-06-0j -8.93771e-09-0j 0.000602043-0j -6.78466e-06-0j -5.87569e-06-0j -8.39384e-07-0j 0.000491566-0j -4.84719e-06-0j -1.71338e-07-0j -6.85354e-07-0j 0.00049666-0j -1.5487e-06-0j -1.00962e-08-0j -6.92456e-07-0j 0.00043012-0j -1.39897e-07-0j -5.99685e-07-0j 0.000354831-0j -1.41347e-07-0j -8.24353e-09-0j -1.2241e-07-0j -4.94715e-07-0j 0.00011337-0j -8.32895e-09-0j -1.00983e-07-0j -1.58064e-07-0j -7.21308e-09-0j -3.22646e-08-0j -5.95049e-09-0j -1.90121e-09-0j 
8.67452e-05-0j -0.000841128-0j -0.000849845-0j 5.04768e-06-0j 0.00325967-0j 6.24619e-06-0j 3.64361e-06-0j 0.00403363-0j 0.00235295-0j -0.000516924-0j -5.99452e-05-0j -0.000603079-0j 0.000716357-0j -0.000369309-0j -0.000527694-0j -6.9936e-05-0j -4.28269e-05-0j -0.000217663-0j 0.000835749-0j -6.1194e-05-0j 0.00051179-0j -2.52412e-05-0j 0.000731281-0j 0.000301638-0j -0.00053481-0j 0.00634021-0j -0.000604132-0j 2.7865e-07-0j 0.000254481-0j -0.000493272-0j 9.25462e-05-0j 0.00716203-0j -0.000498384-0j -0.000431613-0j 3.14769e-07-0j 0.00584777-0j -0.000356063-0j 0.000287467-0j 2.57008e-07-0j 0.00590837-0j -0.000113764-0j 0.000104542-0j 2.59671e-07-0j 0.0051168-0j 0.000234716-0j 2.24882e-07-0j 0.00422115-0j 0.000237148-0j 8.53582e-05-0j 0.000205376-0j 1.85518e-07-0j 0.00134868-0j 8.62428e-05-0j 0.000169427-0j 5.92739e-08-0j 7.46884e-05-0j 5.41327e-05-0j 6.16148e-05-0j 1.96862e-05-0j 
7.51236e-05-0j -0.00036041-0j -0.000364144-0j -0.000845555-0j -6.0323e-05-0j -0.00104632-0j -0.000610354-0j -7.46459e-05-0j -4.35434e-05-0j 3.0717e-06-0j 0.0049683-0j 3.58365e-06-0j -6.51188e-06-0j 2.19453e-06-0j 3.13569e-06-0j 0.00579635-0j 0.00354952-0j 1.29341e-06-0j -7.59719e-06-0j 0.0050718-0j -4.65231e-06-0j 0.00209201-0j -6.64754e-06-0j -2.74197e-06-0j -0.000463159-0j -1.86406e-05-0j -0.000523194-0j 0.00446759-0j 0.000910929-0j -0.000427186-0j -5.5791e-07-0j -2.10567e-05-0j -0.000431613-0j -0.000373788-0j 0.00504667-0j -1.71928e-05-0j -0.000308359-0j 0.001029-0j 0.00412059-0j -1.73709e-05-0j -9.85223e-05-0j -6.30227e-07-0j 0.00416329-0j -1.50437e-05-0j 0.000840178-0j 0.00360552-0j -1.24104e-05-0j 0.000848885-0j -5.14578e-07-0j 0.000735156-0j 0.0029744-0j -3.96518e-06-0j -5.19911e-07-0j 0.000606473-0j 0.000950335-0j -4.50256e-07-0j 0.000193771-0j -3.71442e-07-0j -1.18678e-07-0j 
7.08272e-05-0j -0.000339797-0j -0.000343319-0j -0.000396538-0j -5.68731e-05-0j -0.00049069-0j -0.000286236-0j -7.03768e-05-0j -4.10531e-05-0j -0.00084703-0j 0.00232997-0j -0.000988202-0j -6.13946e-06-0j -0.000605148-0j -0.000864677-0j 0.0027183-0j 0.00166461-0j -0.000356661-0j -7.1627e-06-0j 0.00237851-0j -4.38624e-06-0j 0.000981085-0j -6.26736e-06-0j -2.58516e-06-0j 2.2292e-06-0j 0.00514019-0j 2.51815e-06-0j -4.40081e-05-0j 0.000427196-0j 2.05606e-06-0j -5.26003e-07-0j 0.00580646-0j 2.07737e-06-0j 1.79905e-06-0j -4.97125e-05-0j 0.00474095-0j 1.48414e-06-0j 0.000482569-0j -4.05901e-05-0j 0.00479008-0j 4.74191e-07-0j -5.94184e-07-0j -4.10107e-05-0j 0.00414833-0j 0.000394016-0j -3.55163e-05-0j 0.0034222-0j 0.000398099-0j -4.85149e-07-0j 0.000344764-0j -2.92995e-05-0j 0.00109341-0j -4.90176e-07-0j 0.000284416-0j -9.36132e-06-0j -4.24505e-07-0j 9.08723e-05-0j -3.50199e-07-0j -1.1189e-07-0j 
-8.8534e-06-0j 0.00012922-0j 0.000130559-0j 4.95672e-05-0j -0.00101947-0j 6.13363e-05-0j 3.57795e-05-0j -0.00126153-0j -0.00073589-0j -3.62003e-07-0j -0.000886053-0j -4.22337e-07-0j 0.00338429-0j -2.58628e-07-0j -3.69545e-07-0j -0.00103373-0j -0.000633026-0j -1.5243e-07-0j 0.00394833-0j -0.000904512-0j 0.00241785-0j -0.000373092-0j 0.00345479-0j 0.00142503-0j 5.45838e-05-0j 6.68331e-06-0j 6.1659e-05-0j 5.50102e-06-0j 0.00765762-0j 5.03444e-05-0j 0.000896682-0j 7.54961e-06-0j 5.08661e-05-0j 4.40513e-05-0j 6.21406e-06-0j 6.16423e-06-0j 3.63405e-05-0j 0.0086502-0j 5.07376e-06-0j 6.22811e-06-0j 1.1611e-05-0j 0.00101291-0j 5.12634e-06-0j 5.3937e-06-0j 0.00706286-0j 4.43954e-06-0j 4.44957e-06-0j 0.00713605-0j 0.000827037-0j 0.00618-0j 3.66243e-06-0j 1.42166e-06-0j 0.000835608-0j 0.00509824-0j 1.17016e-06-0j 0.000723658-0j 0.00162891-0j 0.000596987-0j 0.00019074-0j 
3.54136e-05-0j 3.59175e-06-0j 3.62897e-06-0j -0.000598928-0j 2.97437e-07-0j -0.000741135-0j -0.000432329-0j 3.6806e-07-0j 2.14702e-07-0j -0.000211034-0j -7.43971e-05-0j -0.000246206-0j 2.13312e-08-0j -0.00015077-0j -0.00021543-0j -8.67966e-05-0j -5.31518e-05-0j -8.88604e-05-0j 2.48865e-08-0j -7.5947e-05-0j 1.52398e-08-0j -3.13265e-05-0j 2.17756e-08-0j 8.982e-09-0j 1.1146e-06-0j -2.70737e-05-0j 1.25908e-06-0j 0.00638425-0j -6.74895e-06-0j 1.02803e-06-0j 1.3683e-09-0j -3.0583e-05-0j 1.03868e-06-0j 8.99527e-07-0j 0.00721177-0j -2.49709e-05-0j 7.42072e-07-0j -7.62375e-06-0j 0.00588839-0j -2.52297e-05-0j 2.37096e-07-0j 1.54566e-09-0j 0.00594941-0j -2.18495e-05-0j -6.22477e-06-0j 0.00515234-0j -1.80249e-05-0j -6.28928e-06-0j 1.26203e-09-0j -5.44667e-06-0j 0.00425046-0j -5.75905e-06-0j 1.27511e-09-0j -4.49328e-06-0j 0.00135804-0j 1.10427e-09-0j -1.43562e-06-0j 9.10979e-10-0j 2.91062e-10-0j 
-5.90226e-06-0j 8.61466e-05-0j 8.70393e-05-0j -3.43451e-07-0j -0.000679644-0j -4.24999e-07-0j -2.47916e-07-0j -0.000841017-0j -0.000490593-0j 7.05858e-05-0j 6.13946e-06-0j 8.23501e-05-0j 0.00225619-0j 5.0429e-05-0j 7.20564e-05-0j 7.1627e-06-0j 4.38624e-06-0j 2.97217e-05-0j 0.00263222-0j 6.26736e-06-0j 0.0016119-0j 2.58516e-06-0j 0.00230319-0j 0.000950019-0j -1.85767e-07-0j -0.00130316-0j -2.09846e-07-0j -1.89597e-08-0j -5.30596e-05-0j -1.71338e-07-0j 0.000597788-0j -0.00147207-0j -1.73114e-07-0j -1.49921e-07-0j -2.14173e-08-0j -0.00120194-0j -1.23679e-07-0j -5.99372e-05-0j -1.74872e-08-0j -0.0012144-0j -3.95159e-08-0j 0.000675273-0j -1.76684e-08-0j -0.0010517-0j -4.89385e-05-0j -1.53013e-08-0j -0.000867608-0j -4.94457e-05-0j 0.000551358-0j -4.28212e-05-0j -1.26229e-08-0j -0.000277205-0j 0.000557072-0j -3.53257e-05-0j -4.03308e-09-0j 0.000482439-0j -1.12867e-05-0j 0.000397991-0j 0.00012716-0j 
4.041e-07-0j -9.85741e-06-0j -9.95957e-06-0j 2.35145e-08-0j 0.000156738-0j 2.90977e-08-0j 1.69737e-08-0j 0.000193954-0j 0.00011314-0j 1.65231e-08-0j -7.02514e-07-0j 1.9277e-08-0j -0.00161198-0j 1.18047e-08-0j 1.68673e-08-0j -8.19599e-07-0j -5.019e-07-0j 6.95742e-09-0j -0.00188064-0j -7.1715e-07-0j -0.00115165-0j -2.95809e-07-0j -0.00164556-0j -0.000678759-0j -2.4914e-06-0j -5.0983e-07-0j -2.81434e-06-0j 1.29808e-09-0j 1.22365e-05-0j -2.2979e-06-0j 0.00978117-0j -5.75914e-07-0j -2.32171e-06-0j -2.01066e-06-0j 1.46634e-09-0j -4.70232e-07-0j -1.65871e-06-0j 1.38226e-05-0j 1.19726e-09-0j -4.75105e-07-0j -5.29965e-07-0j 0.011049-0j 1.20967e-09-0j -4.11453e-07-0j 1.12861e-05-0j 1.04761e-09-0j -3.39431e-07-0j 1.14031e-05-0j 0.00902147-0j 9.87535e-06-0j 8.64231e-10-0j -1.0845e-07-0j 0.00911496-0j 8.14675e-06-0j 2.76126e-10-0j 0.00789379-0j 2.60293e-06-0j 0.00651204-0j 0.00208063-0j 
