-0.0308392-0j -0.0381616-0j -0.0222609-0j -0.00383076-0j -0.00446922-0j -0.00273683-0j -0.00391056-0j -0.00161303-0j -0.00240761-0j -0.000347508-0j -0.00271968-0j -0.000392552-0j -0.00222061-0j -0.00224362-0j -0.000320518-0j -0.00194304-0j -0.000323839-0j -0.00160292-0j -0.000280453-0j -0.000512141-0j -0.000231362-0j -7.39213e-05-0j -0.00178329-0j -0.000315243-0j -2.62703e-05-0j -0.00197374-0j -0.00034891-0j -0.00156037-0j -2.90759e-05-0j -0.00104025-0j -0.00157654-0j -0.000275838-0j -0.00182044-0j -0.000183892-0j -0.000278696-0j -2.29865e-05-0j -0.000643622-0j -1.53243e-05-0j -0.00106192-0j -2.32247e-05-0j -0.00112634-0j -0.000321811-0j -0.000113777-0j -0.000657031-0j -2.68176e-05-0j -0.000187723-0j -0.00019911-0j -9.48144e-06-0j -0.000171403-0j -1.56436e-05-0j -1.65925e-05-0j -0.000116148-0j -9.67897e-06-0j -3.03e-05-0j -2.525e-06-0j 
-5.11151e-06-0j -6.32517e-06-0j -3.68968e-06-0j 9.13723e-05-0j 0.000106601-0j 6.52795e-05-0j 9.32759e-05-0j 3.84743e-05-0j 7.71882e-05-0j -0.000789675-0j 8.71934e-05-0j -0.000892033-0j 7.11931e-05-0j 7.19309e-05-0j -0.000728342-0j 6.2294e-05-0j -0.00073589-0j 5.13899e-05-0j -0.000637299-0j 1.64193e-05-0j -0.000525745-0j -0.000167978-0j -2.95574e-07-0j -0.00145444-0j 0.00276326-0j -3.27141e-07-0j -0.00160977-0j -2.58628e-07-0j 0.00305837-0j -1.72418e-07-0j -2.61308e-07-0j -0.00127263-0j -3.01732e-07-0j -0.000848422-0j -0.00128582-0j 0.00241785-0j -1.06678e-07-0j 0.0016119-0j -1.7601e-07-0j 0.00244291-0j -1.86687e-07-0j -0.00148474-0j -0.000524934-0j -1.08901e-07-0j 0.00282083-0j -0.000866097-0j -0.000918635-0j 0.000997312-0j -2.84095e-08-0j 0.00164548-0j 0.0017453-0j -0.00053587-0j 0.00101809-0j -0.000139795-0j 0.000265594-0j 
3.29947e-07-0j 4.08288e-07-0j 2.38168e-07-0j -9.85741e-06-0j -1.15003e-05-0j -7.04248e-06-0j -1.00628e-05-0j -4.15068e-06-0j -2.47836e-06-0j 0.000171698-0j -2.79961e-06-0j 0.000193954-0j -2.28587e-06-0j -2.30956e-06-0j 0.000158363-0j -2.00013e-06-0j 0.000160004-0j -1.65003e-06-0j 0.000138567-0j -5.27192e-07-0j 0.000114312-0j 3.65233e-05-0j 1.90792e-08-0j 7.80481e-05-0j -0.00186135-0j 2.11169e-08-0j 8.63834e-05-0j 1.66943e-08-0j -0.00206014-0j 1.11296e-08-0j 1.68673e-08-0j 6.82921e-05-0j 1.94767e-08-0j 4.55281e-05-0j 6.89998e-05-0j -0.00162868-0j 6.88606e-09-0j -0.00108579-0j 1.13614e-08-0j -0.00164556-0j 1.20506e-08-0j 7.96741e-05-0j 2.81691e-05-0j 7.02952e-09-0j -0.00190013-0j 4.64766e-05-0j 4.92958e-05-0j -0.000671797-0j 1.83382e-09-0j -0.00110841-0j -0.00117564-0j 2.87559e-05-0j -0.000685793-0j 7.50169e-06-0j -0.000178906-0j 
-1.03923e-08-0j -1.28599e-08-0j -7.50159e-09-0j 4.35187e-07-0j 5.07719e-07-0j 3.10913e-07-0j 4.44254e-07-0j 1.83245e-07-0j -8.11327e-10-0j -1.13962e-05-0j -9.16491e-10-0j -1.28734e-05-0j -7.48312e-10-0j -7.56067e-10-0j -1.05111e-05-0j -6.54773e-10-0j -1.062e-05-0j -5.4016e-10-0j -9.19722e-06-0j -1.72584e-10-0j -7.58732e-06-0j -2.42418e-06-0j -6.0094e-10-0j 3.58127e-08-0j 0.000206916-0j -6.65118e-10-0j 3.96374e-08-0j -5.25822e-10-0j 0.000229014-0j -3.50548e-10-0j -5.31271e-10-0j 3.13362e-08-0j -6.13459e-10-0j 2.08908e-08-0j 3.16609e-08-0j 0.000181052-0j -2.16891e-10-0j 0.000120701-0j -3.57851e-10-0j 0.000182928-0j -3.79559e-10-0j 3.65588e-08-0j 1.29255e-08-0j -2.21409e-10-0j 0.000211227-0j 2.1326e-08-0j 2.26196e-08-0j 7.468e-05-0j -5.776e-11-0j 0.000123216-0j 0.00013069-0j 1.31948e-08-0j 7.62358e-05-0j 3.44218e-09-0j 1.9888e-05-0j 
0.0289638-0j 0.000510154-0j -0.0409216-0j 0.0035978-0j 5.97456e-05-0j 0.00257039-0j -0.0035682-0j -0.00445855-0j 0.0022612-0j 0.000326376-0j 3.63574e-05-0j 5.24774e-06-0j 0.00208557-0j -0.0020472-0j 0.000301027-0j 2.5975e-05-0j -0.000295488-0j -0.00294661-0j 3.74917e-06-0j -0.00188976-0j -0.000425306-0j -0.000272763-0j 0.00167484-0j 0.000296073-0j 2.46727e-05-0j 2.63854e-05-0j 4.66432e-06-0j 0.00146549-0j 3.88693e-07-0j 0.000976991-0j -0.00143852-0j 0.000259064-0j 2.43361e-05-0j 0.000172709-0j -0.000254297-0j 2.15886e-05-0j 0.000604482-0j 1.43924e-05-0j -0.0019521-0j -2.11914e-05-0j -0.00102773-0j 4.30205e-06-0j 0.000106858-0j -0.00181609-0j 3.58504e-07-0j -0.000345086-0j -0.000181679-0j 8.90486e-06-0j -0.000791148-0j -2.87572e-05-0j -1.51399e-05-0j -0.000321043-0j -2.67536e-05-0j -0.000139857-0j -1.16547e-05-0j 
-0.00446922-0j -7.87184e-05-0j 0.00631435-0j 0.0262601-0j 0.00043608-0j 0.0187612-0j -0.0260441-0j -0.0325427-0j -0.00034891-0j 0.00481476-0j -5.61007e-06-0j 7.74156e-05-0j -0.000321811-0j 0.00031589-0j 0.0044408-0j -4.00803e-06-0j -0.00435909-0j 0.000454671-0j 5.53084e-05-0j 0.000291596-0j -0.0062742-0j -0.00402385-0j -0.000258434-0j 0.00216102-0j 0.000547869-0j -4.07135e-06-0j 3.40446e-05-0j -0.000226129-0j 8.6311e-06-0j -0.000150753-0j 0.000221969-0j 0.00189089-0j -3.75513e-06-0j 0.00126059-0j -0.0018561-0j 0.000479385-0j -9.32736e-05-0j 0.00031959-0j 0.000301216-0j -0.000470565-0j 0.000158582-0j 3.14004e-05-0j 0.000779953-0j 0.000280229-0j 7.96073e-06-0j -0.00251876-0j -0.00132606-0j 0.000197736-0j 0.000122077-0j -0.000638565-0j -0.000336188-0j -0.00234327-0j -0.000594075-0j -0.00102081-0j -0.000258798-0j 
-0.00341342-0j -6.01222e-05-0j 0.00482266-0j -0.000424005-0j -7.04109e-06-0j -0.000302924-0j 0.000420517-0j 0.000525445-0j 0.0256396-0j -3.84638e-05-0j 0.000412254-0j -6.18452e-07-0j 0.0236482-0j -0.023213-0j -3.54763e-05-0j 0.000294528-0j 3.48236e-05-0j -0.0334114-0j -4.41843e-07-0j -0.0214278-0j 5.01228e-05-0j 3.21454e-05-0j -0.000197382-0j 0.00335715-0j -2.90771e-06-0j -3.10955e-06-0j 5.28884e-05-0j -0.000172709-0j -4.5808e-08-0j -0.000115139-0j 0.000169531-0j 0.0029375-0j -2.86803e-06-0j 0.00195834-0j -0.00288346-0j -2.54425e-06-0j -7.12389e-05-0j -1.69616e-06-0j 0.000230057-0j 2.49743e-06-0j 0.000121119-0j 4.87806e-05-0j 0.00121166-0j 0.000214029-0j -4.22501e-08-0j -0.0039129-0j -0.00206004-0j -1.04945e-06-0j 9.32377e-05-0j 3.38906e-06-0j 1.78425e-06-0j -0.00364028-0j 3.15294e-06-0j -0.00158582-0j 1.37352e-06-0j 
0.000492685-0j 8.67789e-06-0j -0.000696091-0j -0.00585102-0j -9.71628e-05-0j -0.00418017-0j 0.00580288-0j 0.00725083-0j 3.84638e-05-0j 0.0248389-0j 6.18452e-07-0j 0.000399381-0j 3.54763e-05-0j -3.48236e-05-0j 0.0229097-0j 4.41843e-07-0j -0.0224882-0j -5.01228e-05-0j 0.000285331-0j -3.21454e-05-0j -0.0323681-0j -0.0207587-0j 2.84896e-05-0j -0.000481496-0j 0.00575397-0j 4.48824e-07-0j -7.58547e-06-0j 2.49284e-05-0j 9.06479e-05-0j 1.66189e-05-0j -2.44697e-05-0j -0.000421309-0j 4.13965e-07-0j -0.000280873-0j 0.000413557-0j 0.00503473-0j 1.02824e-05-0j 0.00335648-0j -3.32059e-05-0j -0.00494209-0j -1.7482e-05-0j -6.99631e-06-0j -0.000173781-0j -3.08924e-05-0j 8.36074e-05-0j 0.000561205-0j 0.000295459-0j 0.00207672-0j -1.34577e-05-0j -0.00670651-0j -0.0035308-0j 0.000522104-0j -0.00623925-0j 0.000227445-0j -0.00271802-0j 
-0.00305306-0j -5.37749e-05-0j 0.00431352-0j -0.000379242-0j -6.29774e-06-0j -0.000270943-0j 0.000376122-0j 0.000469973-0j -0.000238351-0j -3.4403e-05-0j -3.83241e-06-0j -5.5316e-07-0j -0.000219839-0j 0.000215794-0j -3.1731e-05-0j -2.738e-06-0j 3.11471e-05-0j 0.0003106-0j -3.95197e-07-0j 0.000199198-0j 4.48312e-05-0j 2.87517e-05-0j 0.0257295-0j -3.12088e-05-0j -2.60073e-06-0j 0.000405342-0j -4.91663e-07-0j 0.0225133-0j -4.09719e-08-0j 0.0150089-0j -0.0220991-0j -2.73077e-05-0j 0.000373859-0j -1.82051e-05-0j 2.68053e-05-0j -2.27564e-06-0j 0.00928627-0j -1.5171e-06-0j -0.0299889-0j 2.23377e-06-0j -0.0157883-0j -4.53476e-07-0j -1.12639e-05-0j -0.0278995-0j -3.77896e-08-0j 3.63753e-05-0j 1.91506e-05-0j -9.38655e-07-0j -0.0121539-0j 3.03127e-06-0j 1.59588e-06-0j 3.38409e-05-0j 2.82007e-06-0j 1.47422e-05-0j 1.22852e-06-0j 
-0.00209028-0j -3.68172e-05-0j 0.00295326-0j -0.000259649-0j -4.31177e-06-0j -0.000185502-0j 0.000257513-0j 0.000321768-0j -0.000163188-0j -2.35541e-05-0j -2.62387e-06-0j -3.78723e-07-0j -0.000150513-0j 0.000147744-0j -2.17247e-05-0j -1.87458e-06-0j 2.1325e-05-0j 0.000212653-0j -2.70573e-07-0j 0.000136381-0j 3.06938e-05-0j 1.9685e-05-0j -0.000120871-0j -2.13672e-05-0j -1.7806e-06-0j -1.9042e-06-0j -3.36618e-07-0j -0.000105762-0j -2.80515e-08-0j -7.05082e-05-0j 0.000103816-0j -1.86963e-05-0j -1.7563e-06-0j -1.24642e-05-0j 1.83523e-05-0j -1.55803e-06-0j -4.36247e-05-0j -1.03868e-06-0j 0.000140881-0j 1.52936e-06-0j 7.417e-05-0j -3.10474e-07-0j -7.71184e-06-0j 0.000131065-0j -2.58728e-08-0j 2.49044e-05-0j 1.31115e-05-0j -6.42653e-07-0j 5.70962e-05-0j 2.07537e-06-0j 1.09263e-06-0j 2.31693e-05-0j 1.93077e-06-0j 1.00933e-05-0j 8.41107e-07-0j 
0.000539709-0j 9.50615e-06-0j -0.00076253-0j -0.00317121-0j -5.26616e-05-0j -0.00226562-0j 0.00314512-0j 0.0039299-0j -0.00405397-0j -0.000581437-0j -6.51831e-05-0j -9.34882e-06-0j -0.0037391-0j 0.0036703-0j -0.000536277-0j -4.6569e-05-0j 0.00052641-0j 0.0052828-0j -6.67912e-06-0j 0.00338804-0j 0.000757681-0j 0.000485926-0j 3.12088e-05-0j 0.0251087-0j -6.61614e-05-0j 4.91663e-07-0j 0.000395562-0j 2.73077e-05-0j -1.0423e-06-0j 1.82051e-05-0j -2.68053e-05-0j 0.0219702-0j 4.53476e-07-0j 0.0146468-0j -0.0215659-0j -5.78913e-05-0j 1.12639e-05-0j -3.85942e-05-0j -3.63753e-05-0j 5.68261e-05-0j -1.91506e-05-0j 0.000364839-0j 0.00906223-0j -3.38409e-05-0j -9.6135e-07-0j -0.0292654-0j -0.0154074-0j -2.38789e-05-0j -1.47422e-05-0j 7.71141e-05-0j 4.05985e-05-0j -0.0272264-0j 7.17413e-05-0j -0.0118607-0j 3.12528e-05-0j 
-4.49758e-05-0j -7.92179e-07-0j 6.35441e-05-0j 0.000803977-0j 1.3351e-05-0j 0.000574389-0j -0.000797362-0j -0.000996323-0j -3.51124e-06-0j -0.00694829-0j -5.64567e-08-0j -0.00011172-0j -3.23853e-06-0j 3.17894e-06-0j -0.00640862-0j -4.03346e-08-0j 0.00629071-0j 4.57557e-06-0j -7.98168e-05-0j 2.93446e-06-0j 0.00905444-0j 0.00580691-0j -2.60073e-06-0j 6.61614e-05-0j 0.0243137-0j -4.09719e-08-0j 1.0423e-06-0j -2.27564e-06-0j 0.000383037-0j -1.5171e-06-0j 2.23377e-06-0j 5.78913e-05-0j -3.77896e-08-0j 3.85942e-05-0j -5.68261e-05-0j 0.0212745-0j -9.38655e-07-0j 0.014183-0j 3.03127e-06-0j -0.020883-0j 1.59588e-06-0j 9.6135e-07-0j 2.38789e-05-0j 2.82007e-06-0j 0.000353287-0j -7.71141e-05-0j -4.05985e-05-0j 0.00877527-0j 1.22852e-06-0j -0.0283387-0j -0.0149196-0j -7.17413e-05-0j -0.0263642-0j -3.12528e-05-0j -0.0114851-0j 
0.000492685-0j 8.67789e-06-0j -0.000696091-0j -0.00289491-0j -4.80733e-05-0j -0.00206822-0j 0.00287109-0j 0.0035875-0j 3.84638e-05-0j -0.000530777-0j 6.18452e-07-0j -8.53427e-06-0j 3.54763e-05-0j -3.48236e-05-0j -0.000489552-0j 4.41843e-07-0j 0.000480544-0j -5.01228e-05-0j -6.09718e-06-0j -3.21454e-05-0j 0.000691665-0j 0.000443588-0j -0.00415208-0j -0.00023823-0j -6.03969e-05-0j -6.54117e-05-0j -3.75306e-06-0j -0.00363307-0j -9.5149e-07-0j -0.00242205-0j 0.00356622-0j -0.000208451-0j -6.03312e-05-0j -0.000138967-0j 0.000204616-0j -5.28472e-05-0j -0.00149856-0j -3.52315e-05-0j 0.00483943-0j 5.18749e-05-0j 0.00254783-0j -3.46157e-06-0j -8.59817e-05-0j 0.00450226-0j -8.77588e-07-0j 0.000277667-0j 0.000146185-0j -2.17984e-05-0j 0.00196133-0j 7.03952e-05-0j 3.70612e-05-0j 0.000258322-0j 6.54906e-05-0j 0.000112533-0j 2.85298e-05-0j 
