0.0362002-0.0411315j -0.00846857+0.0590719j -0.0909631+0.0241685j -0.0431189+0.0135485j 0.0136816+0.0286404j 0.00353048+0.0742418j 0.0013442-0.0735855j -0.0971483-0.029711j -0.021202-0.00982536j -0.0584029+0.0341668j -0.0288577-0.0254167j 0.00762016-0.0122519j -0.0177945-0.0296178j -0.012548-0.00812982j 0.035784+0.0134999j 0.0377284+0.012695j 0.0334197-0.0446952j -0.089107-0.0720719j 
0.00461008-0.0380487j -0.0632587-0.0632169j 0.0830946-0.243891j -0.0904412-0.354326j -0.049952+0.00437351j 0.0921274-0.195566j -0.000627147+0.147537j -0.0783145+0.130357j -0.133846-0.0209266j -0.00159537-0.187311j 0.0233418-0.00916726j 0.00160715+0.0321121j -0.00986789+0.00371859j -0.0247315-0.0278833j -0.012616-0.0127723j 0.0376938+0.0173209j -0.00148717+0.00716061j 0.0190945-0.000695054j 
-0.0516958-0.128644j 0.193198+0.00306277j -0.239783+0.237939j -0.319635+0.063016j -0.0570146-0.26823j -0.123305-0.0329034j -0.0896648+0.0266941j 0.0232643+0.126658j 0.120617-0.0749344j -0.0706072+0.0752785j -0.0154671+0.0842824j -0.0277717-0.0686996j 0.0172498+0.0209125j 0.036701-0.0312191j 0.00621181-0.0356446j -0.000266085-0.00565463j 0.0404257+0.017062j -0.0232949+0.0236978j 
0.207584-0.0130479j -0.0651112+0.0427464j 0.00531344-0.135889j 0.0399561+0.0209607j 0.232329-0.16873j -0.113062+0.0177436j 0.138417-0.0414519j 0.103617-0.13279j 0.103501-0.0418807j -0.0309332-0.0626738j 0.0173389+0.0547221j -0.0243446+0.0201542j 0.00453734-0.00208482j 0.00245652+0.00811114j -0.0408694-0.00952385j 0.0219683+0.0394218j 0.0196868-0.010476j 0.00565828-0.00634522j 
0.235754-0.0742847j 0.0321623+0.31791j -0.242216-0.0742525j 0.0904424+0.218689j 0.350094+0.00549519j 0.106124+0.108892j 0.000787733-0.257799j -0.176374-0.0300893j 0.123002+0.148671j -0.0771468+0.0992414j -0.0215046+0.0470585j -0.05188+0.0243863j -0.00680612+0.00990076j -0.00524477-0.0010574j 0.0174906-0.016082j 0.0120037-0.0184827j -0.0235687+0.0140308j -0.0341161-0.00133794j 
-0.038813-0.0745443j 0.0382049+0.0193641j -0.0786319-0.330458j 0.089553+0.125042j -0.156847-0.208069j -0.0262629+0.0304661j -0.00921737+0.00810814j 0.115276+0.0901077j 0.0758083-0.00726007j -0.0963974-0.0711243j 0.0221185+0.0832854j -0.00555778+0.0273905j 0.0165481+0.0066058j -0.00270272-0.00989351j -0.0187261+0.0146678j -0.000882721-0.00832328j 0.045923+0.0040022j 0.018141+0.013757j 
-0.0804874-0.229932j -0.0402772-0.0363354j -0.162791-0.13631j 0.0414793-0.251968j -0.0860102+0.0321023j -0.19876-0.0725754j -0.0463925-0.0162042j -0.0858134+0.0575558j -0.0348239-0.0970432j -0.0999934-0.0491091j 0.0151389+0.0198252j 0.0203628-0.00497043j -0.0103945+0.000690722j -0.00889032-0.00432173j 0.0156078+0.0034856j 0.0225556-0.00537564j 0.0549187+0.0214018j -0.0295027+0.00874494j 
-0.10982+0.00837691j 0.129681+0.106181j -0.357028-0.0463808j 0.20332-0.132325j -0.0932912+0.160893j 0.00645512-0.0887685j -0.0315765+0.00919123j 0.0867101-0.0315922j 0.0312432+0.0678239j -0.0660437+0.0363189j 0.0955596-0.0198094j -0.00247481+0.00817289j 0.00702187+0.0228055j 0.0274966-0.00767639j 0.0156055+0.0173515j 0.0119349-0.022116j 0.0141809-0.00500927j -0.00240056-0.00213546j 
0.209154+0.194633j 0.194723-0.255595j -0.166705+0.00252246j 0.0379349+0.0242233j 0.00586212+0.138363j 0.0474543+0.153016j 0.0507966+0.13303j -0.0161776-0.0427599j 0.185838-0.105423j -0.0613097-0.012639j 0.00793779-0.0249562j 0.016389+0.00690334j 0.0388926-0.0286585j 0.0245034-0.00770789j -0.0127326+0.0224164j -0.00317442+0.0153814j 0.0433635-0.0278251j 0.0132813+0.00797132j 
-0.142283+0.275498j 0.204746+0.154476j 0.0211806-0.00374098j -0.0458541-0.0791975j -0.0264005-0.0369172j -0.00664543+0.0907664j -0.121009+0.0494385j 0.05693-0.0840881j 0.0687709+0.163091j 0.0845608-0.0158242j 0.0187473-0.0510835j -0.0115112+0.0218793j 0.0201516+0.0313394j 0.0123167-0.00214421j -0.0163322+0.0102773j -0.0381143+0.0100523j -0.0181129+0.00254446j 0.0284472-0.0170763j 
-0.062435-0.0966078j -0.192881+0.0850299j -0.0434588-0.010437j -0.029501-0.0540965j -0.0112595-0.0141263j 0.0260129+0.032849j 0.0458614-0.011112j 0.00523159-0.0310547j -0.0587654-0.0769825j -0.043186-0.0227595j 0.0235937-0.00660429j 0.000271918-0.00013381j -0.00784187-0.00503616j -0.00221299-0.00374209j -0.0179585+0.00842238j -0.00576894+0.0104857j -0.0277153-0.0153886j 0.00821813-0.00609235j 
0.16811-0.0987473j -0.0315326-0.103386j -0.058905-0.040912j -0.0717781-0.0136859j -0.0410123-0.0157764j 0.0139863-0.0685121j 0.0370689+0.0500062j -0.0175585-0.0267039j 0.0389942+0.00526941j -0.0105396-0.0659477j 0.00338294+0.00612077j 0.00169288+0.0161192j -0.00420359+0.0210719j -0.00872988+0.00453812j 0.00647951+0.00888993j 0.0292642+0.00558316j -0.00882109+0.0108355j -0.0258045-0.0141726j 
