0.157189+0.223415j -0.00355831-0.0962869j -0.00264884+0.141332j -0.0308662-0.0450087j -0.0109071-0.0357911j 0.0069245-0.0458301j 0.0195844-0.10463j 0.0192849+0.0318054j 0.00242713-0.0704958j 0.01074+0.010323j -0.0101638-0.0370102j -0.021894-0.0235294j 0.0205359+0.0844508j -0.0142812+0.0176617j 0.0137455+0.0167806j 0.00206661-0.0181742j -0.0041299+0.021541j -0.0109737-0.0118272j 0.0223498-0.0138807j 0.0149936+0.0202475j -0.0149381-0.0195528j 0.0208924-0.00917531j 0.0771095-0.033775j -0.0168178-0.0931295j 
0.0511505+0.0749951j -0.0767765+0.0147078j 0.0213987+0.222472j -0.102056-0.0914522j -0.0779646+0.0223126j 0.0160801+0.0717558j 0.0985186+0.117545j -0.00781038-0.115816j -0.0622733+0.147684j 0.0472652+0.0943485j 0.0473569-0.0264913j 0.0154055+0.0620823j -0.0706245-0.0145145j 0.0266591+0.0404779j -0.00673396+0.0031187j 0.023958+0.00166378j -0.0170409-0.0148538j 0.01063+0.00907388j 0.00787456-0.0363564j 0.00557954-0.00872268j 0.0162431-0.0177496j 0.00202419-0.0448249j -0.00278673+0.020755j -0.0297773+0.0632499j 
-0.00134835-0.0325248j 0.01973+0.307574j -0.0417642-0.0932817j -0.062209+0.068991j 0.00943014+0.159159j 0.0498557+0.0369712j 0.0479705-0.0875928j 0.0035411-0.00641097j -0.0814858-0.0740901j 0.011644+0.112008j 0.00816008+0.0382921j -0.00860292+0.00550031j -0.00938507+0.00810993j 0.00663748+0.000395931j -0.00784075+0.00178088j 0.00574242+0.0164402j -0.0193021-0.0411161j -0.00571642-0.0302249j -0.00376798-0.0110822j -0.00216725-0.0302241j 0.0417128-0.00610737j -0.000474372-0.0168002j 0.0887133-0.00969791j -0.0677428-0.0606739j 
-0.0110636-0.0563601j -0.100548+0.07986j -0.113758-0.0707416j -0.0470695+0.137781j 0.133935-0.001208j 0.0241582+0.186374j 0.254354-0.251751j 0.226392+0.0863276j -0.106267+0.0400587j 0.0466825-0.09158j -0.0540025-0.0149598j 0.0416686-0.0754584j -0.0440174+0.0139444j 0.0286725-0.0447029j -0.00103143+0.0127742j -0.0301691+0.00769016j 0.00925762+0.0254544j 0.0223957-0.030625j 0.017067-0.00191537j -0.00311061+0.0272439j -0.0590768+0.0118396j 0.063439-0.00359698j -0.0250477-0.0755816j -0.0176346+0.002916j 
-0.0191298-0.0288024j 0.0292859-0.102192j 0.18625+0.00794053j 0.0994973-0.101155j 0.092716-0.108104j -0.121015+0.198606j -0.0950701+0.122927j 0.0413099+0.0286569j 0.172139-0.299278j -0.0435838+0.0745424j -0.0405944-0.0165451j 0.0401836-0.0549405j 0.0743547-0.0811989j -0.00153208+0.0425465j 0.0188435-0.0426829j 0.0062477+0.00945489j -0.0593376-0.0394755j -0.0266938+0.0169822j -0.00298787+0.0188197j -0.0401971-0.0325215j 0.0425576+0.106331j 0.0229963+0.0752399j 0.0212406+0.064928j 0.0111371-0.0253927j 
-0.0126035+0.0248249j 0.0828518-0.0578024j 0.159288+0.00898304j 0.196838+0.0528606j -0.229276+0.0494278j -0.0879423-0.0760305j 0.105422-0.177646j -0.00903337+0.0276461j 0.174393+0.135462j -0.216314+0.00689331j 0.0969439-0.0181299j 0.00378994-0.0122745j -0.0341796+0.00737278j -0.0212315-0.0349685j 0.00536104+0.0157623j -0.011517+0.00730202j 0.041264+0.0805658j 0.00118443+0.0100234j -0.00443701+0.0157802j 0.0151713+0.0744444j -0.0793129-0.032184j -0.0295032-0.0372387j -0.0627175+0.00151477j 0.0746432-0.101694j 
-0.00493056-0.00776929j -0.0255844-0.0859705j -0.0816848+0.0543691j 0.0736353+0.016665j -0.126611+0.188158j 0.226351+0.0524617j -0.135621+0.191492j 0.0363138+0.313578j -0.0333212+0.0929195j -0.0865689+0.0262889j -0.00318511-0.111132j -0.106111+0.0406508j -0.0215102-0.0356188j -0.0311399-0.022177j 0.00775932+0.0162607j -0.0821985-0.0747529j 0.0485159+0.0377349j 0.000239688+0.0103258j 0.00632168-0.0574177j -0.0474153-0.0215328j -0.0110051-0.0593581j 0.0456164-0.0131683j -0.0216265+0.0326852j 0.00769588+0.00646702j 
-0.024502-0.0122493j 0.023378+0.0716794j -0.104365-0.0460529j -0.130422+0.0735171j -0.081427+0.0811552j -0.0684622+0.068742j -0.0785554+0.0326225j -0.312601+0.238542j -0.0510562+0.0614047j 0.0879718-0.0576664j 0.103366-0.0534333j -0.00326328+0.00387396j -0.0255894+0.0311967j -0.0150079+0.0242291j 0.012377+0.00372389j -0.00569403-0.050952j 0.0370635-0.0033599j -0.0180437+0.027502j 0.00333509+0.0152824j -0.00101908-0.0401262j -0.0120325-0.0568651j -0.0315933+0.0581014j 0.030712-0.045981j -0.00224947+0.0158117j 
-0.0228293+0.0347979j -0.0156972-0.0610856j -0.00382317+0.0887209j 0.0142842-0.133483j -0.0181719+0.0970278j -0.0518513+0.451556j 0.0512265+0.0939007j 0.00291427-0.310749j 0.0320166+0.522427j -0.00893258+0.102365j 0.00230605-0.0586698j 0.0127892-0.047172j -0.0133917-0.0660429j 0.0138234+0.000175649j -0.00780104-0.0324167j -0.00199843+0.0229436j 0.00542452-0.00981427j 0.0234558-0.018171j 0.00483772+0.00580314j 0.00327279+0.00748455j 0.00424985-0.0740996j -0.0113037-0.000262523j 0.0212203+0.0730483j 0.0181171+0.0723183j 
-0.00733167-0.0116622j -0.013067+0.0365688j -0.00622789+0.00696358j 0.00762596-0.171705j 0.104422-0.0716462j 0.0474468-0.305471j 0.199686+0.253596j 0.214081+0.151753j -0.102886+0.162312j 0.0204809+0.0373623j -0.0462325+0.158005j 0.0704023+0.0787635j -0.0394827-0.0533512j 0.0899729-0.0145962j -0.0176223+0.0437153j -0.0133406-0.0218896j 0.00551026-0.0287152j 0.0819455-0.0192437j 0.0195045-0.0278881j 0.031927-0.0362219j -0.0066439+0.00692946j 0.0264734-0.0137687j 0.0348046+0.0357828j 0.0158095+0.0601262j 
-0.0328059-0.0441945j 0.0241433-0.0382692j 0.00309376-0.025146j -0.0556051+0.277152j -0.0959431+0.00289828j -0.188222-0.131751j 0.164952+0.239239j -0.136532-0.254385j 0.0246348-0.0461044j -0.0149035-0.18678j 0.0847985-0.067078j 0.0676751+0.0665153j -0.089893-0.0126542j 0.0372694-0.0153698j -0.0124049-0.0322186j 0.0127782+0.0407532j 0.027604-0.0510073j 0.0608564+0.00105593j 0.0362706+0.0185034j 0.00827978-0.0188457j -0.0225704-0.0512747j -0.0213459-0.0183374j 0.0174146-0.024284j 0.00124663-0.0419886j 
-0.0181311+0.0819725j 0.0490328-0.180953j -0.0272544-0.0171593j 0.00394429+0.190278j 0.0235968+0.0780987j 0.291723+0.146789j -0.10245+0.138448j 0.0834326-0.415093j -0.186848-0.122504j 0.0233244-0.150945j -0.0234791-0.123337j -0.0619854+0.0825153j -0.00258555-0.038674j 0.016483+0.0399221j -0.00255795-0.00591774j -0.0210504+0.014422j 0.0229769-0.0535053j -0.00845201+0.00399515j 0.000455712+0.00060428j 0.0151178-0.053109j 0.015338-0.0196615j 0.0355753-0.0151197j 0.00677675+0.0179147j -0.00711209-0.00648764j 
-0.0132522-0.0184384j -0.0640715+0.0571537j -0.0377689+0.0738894j 0.00449665-0.127536j 0.102429+0.221365j 0.00160683-0.22976j -0.175205-0.151983j 0.0372211-0.157699j 0.106101+0.0677277j 0.0424378+0.16487j -0.0724011-0.0500436j 0.0312071+0.0867239j 0.176776+0.015192j -0.000859571-0.054884j 0.0435069+0.0232721j 0.00866475+0.0223728j -0.0665627+0.0620198j -0.0457889+0.00243302j -0.0171746+0.025403j -0.0207927-0.00127433j -0.0150883+0.00510113j -0.010949+0.00345915j -0.0420534-0.00676733j -0.0406382-0.0297226j 
0.0228206+0.0221617j -0.103776-0.0923642j -0.0478413+0.100023j 0.154265+0.149192j -0.0611553+0.219797j -0.0579458+0.0458706j 0.197312+0.167867j 0.195022-0.073169j 0.122214-0.16796j -0.0926226+0.0757767j -0.0264551-0.17387j -0.0119211+0.10539j 0.0247992+0.00989623j 0.00838065-0.0111835j -0.0128924+0.0181885j -0.0357634-0.0158132j -0.051026+0.0553204j 0.0123165-0.00304561j -0.0279115-0.00885312j -0.0146255+0.0084016j -0.0597002-0.0751648j -0.02262+0.0116069j -0.0124238+0.0120103j 0.00956478-0.0684886j 
0.0354156-0.00653542j -0.123242+0.0279354j 0.00486872-0.0608602j 0.129508+0.162795j -0.0924767-0.202308j 0.170295-0.0440284j -0.137445-0.1438j 0.107507+0.00854353j 0.0433301+0.0748463j -0.115078-0.0569085j 0.0196003+0.0299978j -0.0807786-0.0517979j -0.0428843+0.0369391j 0.0139588-0.0205118j 0.00831739+0.00739041j -0.0370781-0.033357j 0.0198236+0.0265738j -0.000302228+0.0214422j -0.0169271-0.00278405j 0.0177347-0.0112771j -0.00555425-0.0158912j -0.0200183-0.0496229j -0.0255763-0.0211552j -0.0132437-0.0305905j 
-0.0173045+0.0211925j 0.0331399-0.00757343j 0.0812973+0.000161612j -0.0712094+0.008666j 0.110497+0.0352823j -0.116839-0.0526921j 0.0844325-0.13468j 0.0257137+0.0651151j 0.0110178-0.0179266j 0.0230509-0.00715405j -0.020357-0.0285781j 0.114972-0.0358129j 0.0109119+0.00766614j 0.0130102+0.00622073j 0.0219149-0.013782j 0.0196091-0.00564703j -0.0141526-0.00842788j -0.00107508+0.0268907j -0.00654434-0.00159993j -0.00561909-0.00150578j -0.0110372+0.0214443j -0.0217389-0.0182155j -0.0182392-0.0222994j -0.0287746-0.0121867j 
-0.00504791-0.0544455j -0.0340399+0.0578887j -0.0402491+0.00363311j 0.00923421+0.0598751j -0.0760242-0.0815127j 0.0915459-0.297482j -0.0609879-0.109513j 0.00715078-0.069175j -0.0322834-0.072048j -0.0247421-0.0239326j -0.0142212+0.0450487j -0.0483101-0.0156019j -0.0297176+0.0633159j 0.0239777-0.0440809j -0.0141784-0.00680871j -0.0242752+0.0129361j -0.00196586+0.0227246j 0.0373837-0.000974273j 0.000798688+0.0106337j -0.0195151+0.0191522j -0.00100733+0.00405722j -0.0255823-0.0120383j -0.027917-0.018134j -4.78533e-05-0.0130431j 
0.0160619+0.0468936j -0.0245593-0.206566j 0.139479+0.030884j -0.112173+0.226959j 0.262161+0.158227j -0.0763442-0.0431734j -0.142552+0.0351304j 0.0337673+0.0380774j 0.0336331+0.128035j 0.0807705-0.105315j -0.101012-0.121383j 0.0455487+0.0307933j 0.095361+0.0170057j -0.00515312+0.00165159j 0.0169972+0.00296402j 0.00214307-0.0150366j -0.00769025-0.0136454j -0.00909951+0.00560593j -0.0123364-0.0178001j -0.00408758+0.00251304j -0.0182599-0.0403264j 0.00567638-0.0226438j -0.00592754-0.0102299j -0.0431773-0.00500337j 
-0.0101296+0.00801615j 0.0368716+0.0537453j -0.0243504+0.0576841j -0.0268304-0.145526j -0.0427379+0.128562j 0.0452627+0.0205725j 0.0175827+0.0105334j -0.0037071-0.00802257j 0.0033927+0.0230589j -0.0828034+0.100296j 0.017033+0.0512987j -0.0131451+0.000388182j 0.0414132-0.0613769j -0.00145326+0.0404319j 0.0109485-0.0125443j -0.0195208-0.00106403j 0.0031922-0.0189639j -0.00994424+0.00957013j -0.009335-0.00502252j 0.00093031-0.0201496j -0.0326213+0.00262077j -0.00341539-0.00352924j 0.019586+0.0253962j -0.00958812-0.000911811j 
-0.0106233+0.0448232j -0.000554116-0.173939j 0.00974289+0.0330484j 0.00223084+0.187097j 0.0388624+0.0990791j -0.0131953+0.000345545j 0.0150977-0.0100898j -0.027286-0.0107988j -0.0363215+0.00627905j -0.0398303-0.00557568j 0.0547987-0.13926j -0.0311408+0.0216482j -0.0505519+0.00839649j 0.0227297-0.0139929j -0.0228227-0.00611773j -0.00929844+0.00439339j -0.0145506+0.00474984j 0.00789952+0.0138983j -0.00109256+0.00655478j -0.0164835-0.0055312j -0.0374584-0.00901178j -0.00215004+0.00345561j -0.0265713-0.0292274j -0.00977707-0.0280151j 
