-0.0723462-0j -0.0120577-0j -0.00738381-0j -0.00150721-0j -8.88134e-05-0j -0.00112919-0j -0.000182223-0j -0.000148784-0j -2.14752e-05-0j -1.8598e-05-0j -2.1918e-06-0j -1.00042e-07-0j -0.0419376-0j 0.040904-0j -0.00663092-0j 0.00646748-0j -0.0052422-0j -0.0034948-0j -0.000756647-0j 0.005113-0j 0.00340866-0j 0.000737997-0j -0.000873701-0j -0.0003089-0j -7.28084e-05-0j 0.000852166-0j 0.000301286-0j -7.7225e-05-0j 7.10138e-05-0j 7.53215e-05-0j -6.43541e-06-0j 6.27679e-06-0j -2.39834e-07-0j 2.33922e-07-0j -0.0316024-0j -0.000677545-0j 0.044438-0j -0.00492689-0j -0.000105631-0j 0.00692799-0j -0.00381636-0j -0.000550844-0j -0.00348384-0j -8.18213e-05-0j -1.18099e-05-0j 0.0053664-0j -0.000615862-0j -7.46923e-05-0j 0.000774573-0j -0.000410575-0j -5.13218e-05-0j 0.00489883-0j -0.000355568-0j -1.32039e-05-0j -8.80257e-06-0j -7.258e-05-0j -1.10032e-06-0j 0.000865998-0j -3.629e-05-0j -7.62325e-06-0j -4.27682e-06-0j 0.000577332-0j 7.21665e-05-0j -1.55609e-06-0j 0.000499984-0j -5.23801e-06-0j -7.78045e-07-0j -9.16934e-08-0j 0.000102059-0j -3.38112e-07-0j 5.10294e-05-0j -1.12301e-07-0j 6.01388e-06-0j -1.06495e-08-0j 7.36547e-06-0j -7.249e-09-0j -2.28322e-10-0j 4.75439e-07-0j 1.49749e-08-0j 
-0.00348384-0j 0.0838233-0j -0.000355568-0j -7.258e-05-0j -4.27682e-06-0j -5.43764e-05-0j -8.77496e-06-0j 0.00103433-0j 0.000149292-0j -8.95591e-07-0j -1.05546e-07-0j -4.81751e-09-0j -0.00201951-0j 0.00196973-0j -0.000319313-0j 0.000311442-0j -0.000252439-0j 0.0487589-0j -3.64364e-05-0j 0.000246217-0j -0.0475571-0j 3.55383e-05-0j 0.00607383-0j -1.48751e-05-0j 0.000506153-0j -0.00592412-0j 1.45085e-05-0j -3.71878e-06-0j -0.000493677-0j 3.62712e-06-0j -3.09898e-07-0j 3.0226e-07-0j -1.15492e-08-0j 1.12646e-08-0j 0.00299281-0j -3.26272e-05-0j 0.00213992-0j 0.000466587-0j -5.08667e-06-0j 0.000333618-0j 0.000361417-0j 5.2166e-05-0j -0.0476294-0j -3.94011e-06-0j -5.68707e-07-0j 0.000258419-0j 5.83234e-05-0j 0.000519249-0j 3.72996e-05-0j -0.0112652-0j 4.86028e-06-0j -0.0340559-0j -0.00486116-0j -6.35833e-07-0j 0.000122812-0j -0.000992279-0j -5.29861e-08-0j 4.17023e-05-0j 3.43674e-06-0j 5.29957e-05-0j -5.84706e-05-0j -0.00805485-0j 3.47519e-06-0j 1.08177e-05-0j -0.00347581-0j 4.9605e-07-0j -3.74668e-08-0j 6.37439e-07-0j -0.000709498-0j 3.20199e-08-0j 2.45733e-06-0j -5.40787e-09-0j -4.18075e-05-0j 1.00853e-09-0j 3.54685e-07-0j -3.49077e-10-0j -1.09949e-11-0j 2.28948e-08-0j 7.21119e-10-0j 
4.39901e-05-0j -0.00105175-0j 4.48972e-06-0j 0.0124852-0j -0.140216-0j 3.9629e-05-0j -0.000917398-0j 5.22158e-06-0j 0.0102674-0j -9.36315e-05-0j -0.0483476-0j -0.0230317-0j 2.55002e-05-0j 2.57644e-05-0j -0.000578393-0j -0.000584387-0j 3.18752e-06-0j 2.12502e-06-0j 0.00626776-0j 3.22056e-06-0j 2.14704e-06-0j 0.00633272-0j -7.621e-05-0j 1.87827e-07-0j -0.0278259-0j -7.69998e-05-0j 1.89773e-07-0j 0.000639701-0j -0.0281143-0j 0.00064633-0j -0.0101601-0j -0.0102653-0j -0.00192335-0j -0.00194328-0j 1.92159e-05-0j 2.37784e-05-0j 1.38707e-05-0j -0.000429757-0j -0.000531797-0j -0.000310215-0j 2.32054e-06-0j 0.00456297-0j 2.11835e-06-0j 2.87152e-06-0j 0.00564639-0j 1.67505e-06-0j -5.37196e-05-0j 2.62132e-06-0j 0.00329373-0j -3.58131e-05-0j -0.0196142-0j 1.52911e-06-0j 2.16203e-07-0j -6.64746e-05-0j -4.43164e-05-0j 0.000601224-0j -0.0242713-0j -3.87768e-05-0j -3.16546e-06-0j 2.67538e-07-0j -0.00675212-0j -2.58512e-05-0j -0.0141583-0j 0.000743977-0j 1.56064e-07-0j -0.00200187-0j -3.91705e-06-0j -0.00835533-0j 0.000433987-0j -0.00134866-0j -2.28495e-06-0j -0.00247718-0j -0.00487394-0j -0.000149927-0j -0.00144502-0j -0.00166888-0j -0.000185525-0j -0.000973512-0j -0.000108223-0j 
-0.00213341-0j 0.0513311-0j -0.00021774-0j -4.4446e-05-0j -2.61901e-06-0j -0.00192191-0j -0.000310146-0j 0.0365577-0j 0.00527664-0j -3.16542e-05-0j -3.73048e-06-0j -1.70272e-07-0j 0.00363967-0j -0.00124951-0j 0.000575482-0j -0.000197565-0j 0.000454958-0j -0.0878759-0j 6.56676e-05-0j -0.000156189-0j 0.0301681-0j -2.25439e-05-0j -0.0109466-0j 2.68087e-05-0j -0.000912214-0j 0.00375799-0j -9.2035e-06-0j 6.70217e-06-0j 0.000313166-0j -2.30088e-06-0j 5.58514e-07-0j -1.9174e-07-0j 2.08146e-08-0j -7.14571e-09-0j -0.00093192-0j 0.00339392-0j -0.000672695-0j -0.000145289-0j 0.00052912-0j -0.000104875-0j -0.00011254-0j -1.62438e-05-0j 0.0148311-0j 0.000409855-0j 5.91574e-05-0j -8.12357e-05-0j -1.81611e-05-0j -0.0540128-0j -1.17254e-05-0j 0.00350784-0j -1.51342e-06-0j 0.0107057-0j 0.00151369-0j 6.614e-05-0j -0.012775-0j 0.000308982-0j 5.51167e-06-0j -1.31094e-05-0j -1.07015e-06-0j -0.00551266-0j 1.82069e-05-0j 0.00253209-0j -1.09245e-06-0j -0.00112527-0j 0.00109264-0j -1.54463e-07-0j 3.89734e-06-0j -6.6307e-05-0j 0.000223035-0j -9.97054e-09-0j -7.72476e-07-0j 5.62532e-07-0j 1.31425e-05-0j -3.14043e-10-0j -1.11497e-07-0j 3.63113e-08-0j 1.1437e-09-0j -7.19712e-09-0j -2.26688e-10-0j 
0.000615862-0j -0.00483975-0j -0.0120816-0j 0.116903-0j -0.000144861-0j 9.61249e-06-0j -7.31411e-05-0j -0.000121089-0j -1.74223e-05-0j 0.00143484-0j 0.000255893-0j -2.04181e-07-0j 0.000357003-0j -0.000348203-0j -0.00266154-0j 0.00259594-0j -0.00426641-0j 2.97502e-05-0j -0.000613851-0j 0.00416125-0j -2.90169e-05-0j 0.000598721-0j 0.0335276-0j -0.000759461-0j -8.89117e-05-0j -0.0327012-0j 0.000740742-0j 0.0120421-0j 8.67202e-05-0j -0.0117453-0j 0.00100353-0j -0.000978794-0j -5.87799e-07-0j 5.73311e-07-0j -0.00052906-0j 5.76774e-06-0j -0.000378287-0j 0.0038891-0j -4.23984e-05-0j 0.00278077-0j 0.00610821-0j 0.00087885-0j -5.83234e-05-0j -6.65909e-05-0j -9.5811e-06-0j 0.00436748-0j -0.0464772-0j 6.35833e-07-0j 0.000628394-0j 0.000324091-0j 0.000123253-0j -4.17023e-05-0j 0.00114415-0j 0.000506688-0j -3.5332e-06-0j -0.0110709-0j -1.34368e-06-0j -0.033232-0j -0.00827337-0j -1.24734e-05-0j 1.37186e-05-0j 0.000231731-0j 8.81279e-05-0j 0.000120694-0j 0.000818088-0j -0.00241789-0j 9.01952e-05-0j -1.49558e-07-0j -0.00791592-0j -0.000129746-0j -0.00591561-0j 2.63595e-05-0j 9.80905e-06-0j 5.9914e-08-0j -0.00172884-0j 1.41447e-06-0j -6.53174e-10-0j -9.27707e-05-0j 4.28396e-08-0j 
0.00304836-0j -0.0733454-0j 0.000311122-0j 6.35075e-05-0j 3.74222e-06-0j -0.00265099-0j -0.000427802-0j 0.050426-0j 0.00727837-0j -4.36624e-05-0j -5.14566e-06-0j -2.34866e-07-0j -0.00171677-0j -0.00178431-0j -0.000271445-0j -0.000282125-0j -0.000214596-0j 0.0414495-0j -3.09743e-05-0j -0.000223039-0j 0.0430803-0j -3.21929e-05-0j 0.00516331-0j -1.26452e-05-0j 0.000430276-0j 0.00536645-0j -1.31427e-05-0j -3.1613e-06-0j 0.000447204-0j -3.28568e-06-0j -2.63441e-07-0j -2.73806e-07-0j -9.81788e-09-0j -1.02042e-08-0j 0.00133159-0j 0.00154538-0j 0.000863004-0j 0.000207598-0j 0.000240928-0j 0.000134544-0j 0.000160805-0j 2.32102e-05-0j -0.0211917-0j 0.000186622-0j 2.69366e-05-0j 0.000104218-0j 2.59498e-05-0j -0.0245941-0j 1.50425e-05-0j -0.00501224-0j 2.16248e-06-0j -0.0137344-0j -0.00216287-0j 3.01161e-05-0j -0.00581696-0j -0.000441494-0j 2.50967e-06-0j 1.6818e-05-0j 1.52911e-06-0j -0.00251012-0j -2.60153e-05-0j -0.00324843-0j 1.4015e-06-0j -0.000512377-0j -0.00140176-0j 2.20707e-07-0j 1.77461e-06-0j -3.01921e-05-0j -0.000286132-0j 1.42466e-08-0j 9.91013e-07-0j 2.56142e-07-0j -1.68605e-05-0j 4.48726e-10-0j 1.4304e-07-0j 1.65339e-08-0j 5.20769e-10-0j 9.23322e-09-0j 2.90819e-10-0j 
0.000377137-0j -0.00296373-0j -0.00739843-0j 0.0715881-0j -8.87087e-05-0j 0.000339748-0j -0.00258513-0j -0.00427983-0j -0.000615783-0j 0.0507135-0j 0.00904441-0j -7.21667e-06-0j -0.000643408-0j 0.000220884-0j 0.00479676-0j -0.00164674-0j 0.00768914-0j -5.36174e-05-0j 0.00110631-0j -0.00263971-0j 1.8407e-05-0j -0.000379801-0j -0.0604252-0j 0.00136874-0j 0.000160241-0j 0.0207441-0j -0.000469892-0j -0.021703-0j -5.50113e-05-0j 0.0074507-0j -0.00180861-0j 0.000620902-0j 1.05936e-06-0j -3.63682e-07-0j 0.000164742-0j -0.000599966-0j 0.000118917-0j -0.00121101-0j 0.00441032-0j -0.000874153-0j -0.00190201-0j -0.000273661-0j 1.81611e-05-0j 0.00692685-0j 0.000996636-0j -0.00137294-0j 0.0144723-0j -6.614e-05-0j -0.000197539-0j -0.000100917-0j -3.83791e-05-0j 1.31094e-05-0j -0.000356272-0j -0.0527062-0j 0.000367527-0j 0.00344733-0j 0.000139771-0j 0.0104467-0j 0.00257621-0j 0.00129749-0j -4.27178e-06-0j -7.28461e-05-0j -2.77035e-05-0j -0.0125547-0j -0.000257171-0j 0.000752897-0j -0.00938219-0j 1.55572e-05-0j 0.00248842-0j 4.04011e-05-0j 0.00185961-0j -0.00274194-0j -3.08353e-06-0j -1.86564e-08-0j 0.00054347-0j -0.000147135-0j 6.79438e-08-0j 2.9163e-05-0j -1.34669e-08-0j 
-5.13218e-05-0j 0.00122705-0j -5.23801e-06-0j -0.014566-0j 0.163585-0j -8.01041e-07-0j 1.85438e-05-0j -1.05546e-07-0j -0.00020754-0j 1.89262e-06-0j 0.000977273-0j 0.000465552-0j -2.97502e-05-0j 2.90169e-05-0j 0.000674792-0j -0.00065816-0j -3.71878e-06-0j -2.47918e-06-0j -0.00731239-0j 3.62712e-06-0j 2.41808e-06-0j 0.00713216-0j 8.89117e-05-0j -2.19131e-07-0j 0.0324636-0j -8.67202e-05-0j 2.1373e-07-0j -0.000746318-0j -0.0316634-0j 0.000727923-0j 0.0118534-0j -0.0115612-0j 0.00224391-0j -0.0021886-0j 4.40883e-05-0j -4.80645e-07-0j 3.15239e-05-0j -0.000986021-0j 1.07495e-05-0j -0.000705023-0j 5.32417e-06-0j 0.0104691-0j 4.86028e-06-0j -5.80434e-08-0j -0.000114133-0j 3.80688e-06-0j -0.000123253-0j -5.29861e-08-0j 0.00748563-0j -8.21684e-05-0j -0.0450022-0j 3.47519e-06-0j 4.9605e-07-0j 1.34368e-06-0j 8.95789e-07-0j 0.00137943-0j 0.000490608-0j -8.81279e-05-0j -7.26273e-06-0j -5.40787e-09-0j -0.0154919-0j -5.87519e-05-0j -0.0321774-0j -1.50384e-05-0j 3.54685e-07-0j -0.00459302-0j 7.91773e-08-0j 0.00016889-0j 0.000986318-0j -0.00309432-0j -5.19298e-06-0j 5.00725e-05-0j -0.011077-0j -0.000343988-0j -0.00328409-0j 3.37339e-05-0j 3.75011e-06-0j -0.00221249-0j -0.000245957-0j 
-0.00125738-0j 0.0302534-0j -0.000128331-0j -2.61955e-05-0j -1.54359e-06-0j 0.00331969-0j 0.000535712-0j -0.0631457-0j -0.00911429-0j 5.46759e-05-0j 6.44361e-06-0j 2.94109e-07-0j -0.00072888-0j -0.00348067-0j -0.000115246-0j -0.000550342-0j -9.111e-05-0j 0.017598-0j -1.31506e-05-0j -0.000435084-0j 0.0840371-0j -6.2799e-05-0j 0.00219216-0j -5.36871e-06-0j 0.00018268-0j 0.0104684-0j -2.56376e-05-0j -1.34218e-06-0j 0.000872365-0j -6.40939e-06-0j -1.11848e-07-0j -5.34116e-07-0j -4.16833e-09-0j -1.99053e-08-0j -0.000549253-0j 0.0019919-0j -0.000474668-0j -8.56299e-05-0j 0.000310541-0j -7.40018e-05-0j -6.63287e-05-0j -9.57372e-06-0j 0.00874114-0j 0.000240544-0j 3.47196e-05-0j -5.73216e-05-0j -1.07037e-05-0j -0.0317002-0j -8.27365e-06-0j 0.00206744-0j -8.91978e-07-0j 0.00755414-0j 0.000892139-0j 3.88177e-05-0j -0.00749769-0j 0.000182107-0j 3.23481e-06-0j -9.25023e-06-0j -6.30724e-07-0j -0.00323539-0j 1.07308e-05-0j 0.00178669-0j -7.70852e-07-0j -0.000660421-0j 0.000770991-0j -9.10372e-08-0j 2.28735e-06-0j -3.89157e-05-0j 0.000157378-0j -5.87642e-09-0j -5.45075e-07-0j 3.30151e-07-0j 9.27358e-06-0j -1.8509e-10-0j -7.86748e-08-0j 2.13112e-08-0j 6.71238e-10-0j -5.07844e-09-0j -1.59956e-10-0j 
-3.14281e-05-0j 0.000751409-0j -3.20761e-06-0j -0.00891983-0j 0.100175-0j -2.83123e-05-0j 0.000655421-0j -3.73048e-06-0j -0.0073354-0j 6.68936e-05-0j 0.0345412-0j 0.0164547-0j 5.36174e-05-0j -1.8407e-05-0j -0.00121615-0j 0.000417506-0j 6.70217e-06-0j 4.46811e-06-0j 0.0131788-0j -2.30088e-06-0j -1.53392e-06-0j -0.00452431-0j -0.000160241-0j 3.94929e-07-0j -0.0585076-0j 5.50113e-05-0j -1.3558e-07-0j 0.00134505-0j 0.0200858-0j -0.000461761-0j -0.0213628-0j 0.00733392-0j -0.00404409-0j 0.00138835-0j -1.37285e-05-0j 4.99971e-05-0j -9.90974e-06-0j 0.000307033-0j -0.00111817-0j 0.000221628-0j -1.65787e-06-0j -0.00325994-0j -1.51342e-06-0j 6.03773e-06-0j 0.0118722-0j -1.19671e-06-0j 3.83791e-05-0j 5.51167e-06-0j -0.00235315-0j 2.55861e-05-0j 0.0140131-0j -1.09245e-06-0j -1.54463e-07-0j -0.000139771-0j -9.31808e-05-0j -0.000429535-0j -0.0510335-0j 2.77035e-05-0j 2.26151e-06-0j 5.62532e-07-0j 0.00482395-0j 1.8469e-05-0j 0.0101152-0j 0.00156431-0j -1.11497e-07-0j 0.0014302-0j -8.2361e-06-0j -0.0175681-0j -0.000310055-0j 0.000963527-0j 1.63245e-06-0j -0.00520859-0j 0.00348211-0j 0.000107113-0j 0.00103237-0j -0.00350903-0j -0.00039009-0j 0.000695511-0j 7.73182e-05-0j 
-0.000538879-0j 0.00423478-0j 0.0105714-0j -0.10229-0j 0.000126753-0j 0.000468634-0j -0.00356582-0j -0.00590341-0j -0.000849384-0j 0.0699519-0j 0.0124755-0j -9.95436e-06-0j 0.000303485-0j 0.000315425-0j -0.00226255-0j -0.00235157-0j -0.00362683-0j 2.52904e-05-0j -0.000521829-0j -0.00376953-0j 2.62854e-05-0j -0.00054236-0j 0.0285015-0j -0.00064561-0j -7.5583e-05-0j 0.0296229-0j -0.000671011-0j 0.0102369-0j -7.85567e-05-0j 0.0106397-0j 0.00085309-0j 0.000886654-0j -4.99682e-07-0j -5.19342e-07-0j -0.000235394-0j -0.000273187-0j -0.000152559-0j 0.00173037-0j 0.00200819-0j 0.00112145-0j 0.00271772-0j 0.000391026-0j -2.59498e-05-0j 0.00315406-0j 0.000453806-0j 0.00176136-0j -0.0206791-0j -3.01161e-05-0j 0.000253424-0j 0.000144198-0j 5.48387e-05-0j -1.6818e-05-0j 0.000509066-0j -0.0239991-0j 0.000167349-0j -0.00492579-0j 6.36432e-05-0j -0.0134021-0j -0.00368107-0j 0.000590798-0j 6.10381e-06-0j 9.34546e-05-0j 3.5541e-05-0j -0.00571663-0j 0.000329926-0j -0.00107579-0j -0.00427207-0j 7.08379e-06-0j -0.0031924-0j -5.77278e-05-0j -0.0023857-0j -0.00124851-0j 3.95588e-06-0j 2.66575e-08-0j -0.00069722-0j -6.69961e-05-0j 3.09374e-08-0j -3.74134e-05-0j 1.72767e-08-0j 
0.000222276-0j -0.00174676-0j -0.00436048-0j 0.0421925-0j -5.2283e-05-0j -0.000586843-0j 0.00446527-0j 0.00739251-0j 0.00106363-0j -0.0875968-0j -0.0156223-0j 1.24653e-05-0j 0.000128849-0j 0.000615302-0j -0.0009606-0j -0.00458722-0j -0.00153983-0j 1.07374e-05-0j -0.000221551-0j -0.00735325-0j 5.12751e-05-0j -0.00105799-0j 0.0121007-0j -0.000274104-0j -3.20899e-05-0j 0.0577855-0j -0.00130895-0j 0.00434624-0j -0.000153241-0j 0.0207549-0j 0.000362193-0j 0.0017296-0j -2.12148e-07-0j -1.01308e-06-0j 9.70952e-05-0j -0.000352121-0j 8.39102e-05-0j -0.000713743-0j 0.00258843-0j -0.00061682-0j -0.001121-0j -0.00016129-0j 1.07037e-05-0j 0.00406538-0j 0.000584927-0j -0.000968777-0j 0.00852968-0j -3.88177e-05-0j -0.000139388-0j -5.94786e-05-0j -2.26198e-05-0j 9.25023e-06-0j -0.000209979-0j -0.0309333-0j 0.000215702-0j 0.00203178-0j 8.2032e-05-0j 0.00737139-0j 0.00151836-0j 0.000761501-0j -2.51769e-06-0j -5.14017e-05-0j -1.95482e-05-0j -0.00736837-0j -0.000181465-0j 0.000443741-0j -0.00550642-0j 9.13055e-06-0j 0.00175588-0j 2.38115e-05-0j 0.00131218-0j -0.00160925-0j -2.1758e-06-0j -1.09957e-08-0j 0.000383484-0j -8.63537e-05-0j 3.98763e-08-0j 2.0578e-05-0j -9.5025e-09-0j 
4.49066e-05-0j -0.00107366-0j 4.58326e-06-0j 0.0127453-0j -0.143137-0j -3.90528e-05-0j 0.000904058-0j -5.14566e-06-0j -0.0101181-0j 9.22701e-05-0j 0.0476446-0j 0.0226968-0j -2.52904e-05-0j -2.62854e-05-0j 0.000573635-0j 0.000596204-0j -3.1613e-06-0j -2.10753e-06-0j -0.0062162-0j -3.28568e-06-0j -2.19045e-06-0j -0.00646077-0j 7.5583e-05-0j -1.86281e-07-0j 0.027597-0j 7.85567e-05-0j -1.9361e-07-0j -0.000634438-0j 0.0286828-0j -0.000659399-0j 0.0100765-0j 0.0104729-0j 0.00190753-0j 0.00198258-0j 1.96162e-05-0j 2.27656e-05-0j 1.27132e-05-0j -0.00043871-0j -0.000509145-0j -0.000284328-0j 2.36888e-06-0j 0.00465803-0j 2.16248e-06-0j 2.74921e-06-0j 0.00540589-0j 1.53527e-06-0j -5.48387e-05-0j 2.50967e-06-0j 0.00301887-0j -3.65592e-05-0j -0.0200228-0j 1.4015e-06-0j 2.20707e-07-0j -6.36432e-05-0j -4.24288e-05-0j 0.00061375-0j -0.0232375-0j -3.5541e-05-0j -3.2314e-06-0j 2.56142e-07-0j -0.00689279-0j -2.3694e-05-0j -0.0129768-0j 0.000712288-0j 1.4304e-07-0j -0.00204357-0j -3.75021e-06-0j -0.00799944-0j 0.000397771-0j -0.00137675-0j -2.09427e-06-0j -0.00237167-0j -0.00446722-0j -0.00015305-0j -0.00132444-0j -0.00159779-0j -0.000177623-0j -0.000892274-0j -9.91918e-05-0j 
-1.8523e-05-0j 0.000442864-0j -1.8905e-06-0j -0.00525715-0j 0.0590411-0j 4.89036e-05-0j -0.0011321-0j 6.44361e-06-0j 0.0126704-0j -0.000115545-0j -0.0596626-0j -0.028422-0j -1.07374e-05-0j -5.12751e-05-0j 0.000243545-0j 0.00116302-0j -1.34218e-06-0j -8.94785e-07-0j -0.00263918-0j -6.40939e-06-0j -4.27293e-06-0j -0.0126031-0j 3.20899e-05-0j -7.90886e-08-0j 0.0117167-0j 0.000153241-0j -3.77677e-07-0j -0.00026936-0j 0.0559517-0j -0.00128629-0j 0.00427812-0j 0.0204296-0j 0.000809869-0j 0.00386742-0j -8.09127e-06-0j 2.93434e-05-0j -6.99251e-06-0j 0.000180959-0j -0.000656256-0j 0.000156385-0j -9.77113e-07-0j -0.00192134-0j -8.91978e-07-0j 3.54355e-06-0j 0.00696784-0j -8.44426e-07-0j 2.26198e-05-0j 3.23481e-06-0j -0.00166043-0j 1.50799e-05-0j 0.00825899-0j -7.70852e-07-0j -9.10372e-08-0j -8.2032e-05-0j -5.4688e-05-0j -0.000253159-0j -0.0299517-0j 1.95482e-05-0j 1.33289e-06-0j 3.30151e-07-0j 0.00284313-0j 1.30321e-05-0j 0.00713746-0j 0.000918094-0j -7.86748e-08-0j 0.00084293-0j -4.83378e-06-0j -0.0103108-0j -0.000218781-0j 0.000567882-0j 1.15189e-06-0j -0.00305693-0j 0.00245705-0j 6.313e-05-0j 0.000728464-0j -0.00205945-0j -0.000228944-0j 0.000490767-0j 5.45573e-05-0j 
-0.446007-0j 0.000384301-0j 0.000235335-0j 4.80376e-05-0j 2.83064e-06-0j 0.00207721-0j -0.0648387-0j 0.000273697-0j 3.95047e-05-0j 3.42121e-05-0j 4.03193e-06-0j 1.84032e-07-0j 0.00133663-0j 0.00135048-0j 0.00021134-0j 0.00021353-0j -0.0323177-0j 0.000111386-0j -0.00466465-0j -0.0326526-0j 0.00011254-0j -0.00471299-0j 2.78464e-05-0j 9.8452e-06-0j 2.32054e-06-0j 2.8135e-05-0j 9.94723e-06-0j 2.4613e-06-0j 2.34458e-06-0j 2.48681e-06-0j 2.05108e-07-0j 2.07234e-07-0j 7.64394e-09-0j 7.72315e-09-0j 0.00100723-0j 0.00124638-0j 0.000727055-0j 0.000157029-0j 0.000194314-0j 0.00011335-0j 0.000121634-0j 1.75564e-05-0j -0.0214775-0j 0.000150515-0j 2.17249e-05-0j 8.78002e-05-0j -0.00379673-0j -0.0265771-0j 1.26729e-05-0j 1.30858e-05-0j -0.000316394-0j -0.0155033-0j 1.13326e-05-0j -0.00469821-0j 1.61928e-05-0j 2.31326e-06-0j -0.000391518-0j -0.00274062-0j 1.15663e-06-0j 1.40234e-05-0j 1.3631e-07-0j 9.4458e-06-0j -0.000228385-0j 2.86251e-06-0j 8.1803e-06-0j 1.66945e-07-0j 1.43125e-06-0j 1.68675e-07-0j 1.6698e-06-0j 1.07763e-08-0j 8.34899e-07-0j 2.06584e-07-0j 9.83938e-08-0j 3.3942e-10-0j 1.20507e-07-0j 1.33349e-08-0j 4.20011e-10-0j 7.77871e-09-0j 2.45006e-10-0j 
-0.000384301-0j -0.435983-0j -3.92226e-05-0j 0.000763014-0j 9.03939e-05-0j -0.000346202-0j 0.00263424-0j 0.00658531-0j -0.0905853-0j 0.000268856-0j 9.63989e-05-0j 7.35376e-06-0j -0.000222771-0j -0.00022508-0j 0.00166081-0j 0.00167802-0j -2.78464e-05-0j 0.00537858-0j 0.000383046-0j -2.8135e-05-0j 0.00543432-0j 0.000387016-0j -0.0315913-0j -1.64087e-06-0j -0.00800949-0j -0.0319187-0j -1.65787e-06-0j 3.90945e-05-0j -0.00809249-0j 3.94996e-05-0j 6.54993e-06-0j 6.61781e-06-0j 3.66789e-07-0j 3.7059e-07-0j -0.000167871-0j -0.00020773-0j -0.000121176-0j 0.00123401-0j 0.00152701-0j 0.000890758-0j -2.02724e-05-0j 0.00027886-0j 0.0026716-0j -2.50858e-05-0j 0.000345072-0j -1.46334e-05-0j 0.000154252-0j 0.00330594-0j 0.000201292-0j -0.029794-0j 3.91082e-05-0j 0.00192846-0j 0.000272669-0j 0.000190877-0j -0.0368681-0j -0.00530436-0j 4.83939e-05-0j 0.000111345-0j 9.08937e-06-0j 0.000337411-0j -0.000628404-0j -0.0215064-0j 2.82298e-05-0j -0.00656381-0j 0.000196823-0j 3.99146e-06-0j 1.12475e-05-0j -0.00077761-0j -0.00382889-0j 4.3061e-07-0j 6.56106e-06-0j 4.93918e-06-0j -0.000453606-0j 1.90108e-08-0j 2.88119e-06-0j 5.32853e-07-0j 2.35246e-08-0j 3.10831e-07-0j 1.37227e-08-0j 
0.503819-0j -0.000434114-0j -0.00026584-0j -5.42643e-05-0j -3.19755e-06-0j -4.06544e-05-0j 0.001269-0j -5.35669e-06-0j -7.73171e-07-0j -6.69586e-07-0j -7.89115e-08-0j -3.6018e-09-0j -0.00150988-0j 0.00147267-0j -0.000238733-0j 0.000232849-0j 0.0365067-0j -0.000125824-0j 0.00526929-0j -0.0356069-0j 0.000122722-0j -0.00513941-0j -3.14559e-05-0j -1.11213e-05-0j -2.62132e-06-0j 3.06806e-05-0j 1.08472e-05-0j -2.78033e-06-0j 2.55671e-06-0j 2.7118e-06-0j -2.31695e-07-0j 2.25984e-07-0j -8.63474e-09-0j 8.42192e-09-0j -0.00113778-0j -2.43937e-05-0j 0.0015999-0j -0.000177383-0j -3.80303e-06-0j 0.000249429-0j -0.0001374-0j -1.9832e-05-0j 0.0242615-0j -2.94582e-06-0j -4.25192e-07-0j 0.000193207-0j 0.00428886-0j 0.000520157-0j 2.7887e-05-0j -1.47819e-05-0j 0.000357405-0j -0.0341154-0j -1.28015e-05-0j 9.19516e-05-0j -3.16919e-07-0j -2.6131e-06-0j 7.66263e-06-0j -0.00603081-0j -1.30655e-06-0j -2.7446e-07-0j -1.53979e-07-0j 2.07857e-05-0j -0.000502568-0j -5.6024e-08-0j 1.8001e-05-0j -1.88584e-07-0j -2.8012e-08-0j -3.30124e-09-0j 3.67443e-06-0j -1.21731e-08-0j 1.83722e-06-0j -4.04318e-09-0j 2.16518e-07-0j -3.83416e-10-0j 2.65179e-07-0j -2.60986e-10-0j -8.22029e-12-0j 1.71172e-08-0j 5.39143e-10-0j 
