0.175896-0.0667441j 0.0830704+0.201867j 0.0916103+0.047249j -0.0456239+0.137567j 0.087318+0.151536j -0.00963284+0.0139871j 0.0563254-0.0898418j 0.0279086-0.0404567j 0.0078756-0.131604j -0.0624515+0.0377551j 0.000964759+0.0433079j 0.0380218-0.012028j 0.00239852-0.0165774j -0.0491068+0.0694998j 0.0546286-0.0562128j -0.00428463+0.00696392j 0.0643249-0.0932063j 0.0837511-0.122398j -0.16285+0.0502489j -0.00258912+0.0446976j 0.105078+0.0818642j 0.163931+0.123132j -0.141031+0.0563437j -0.057737-0.165642j 0.0280656-0.0469743j 0.000893874+0.0203902j -0.130205-0.185161j 0.0956929-0.0154787j 0.0935639-0.210661j -0.0342213-0.176231j -0.0733309-0.121681j 0.330753-0.0911315j 0.0270003+0.253767j 0.177716-0.135908j 0.000748941+0.0269755j 0.208519+0.124554j 0.0146174-0.0211931j -0.0103666-0.00342747j 0.0743825-0.0253785j -0.0394702-0.0308455j 0.0373261-0.0132107j 0.0219739-0.01461j -0.0157784-0.0183838j 0.00562788+0.00186357j 0.0360514-0.0126604j -0.00732847-0.0219671j 0.0320885+0.0119602j 0.0491995-0.0136399j -0.126341+0.0136063j 0.0470422-0.00806962j -0.0815997+0.0224269j 0.0736501-0.00678134j -0.0478435-0.0273116j -0.0173347-0.00205586j -0.0138241+0.00889269j 0.0534263+0.0396557j 0.00187359+0.0328237j 0.0090828-0.00645086j 0.0509584-0.00187138j 0.029372-0.00537309j 0.00040026+0.00495646j 0.0111364-0.0127804j 0.0062703+0.00875945j 0.0390368-0.00461417j -0.0299455-0.0216476j -0.0334014-0.0288527j 0.00860065-0.00514514j 0.00490911-0.0179367j 0.0127663+0.0209386j 0.0093425+0.00837123j -0.000560731+0.00990971j 0.00441602+0.000220244j 0.00572546+0.0129475j -0.0127986-0.0106292j 0.000971258+0.0109085j -0.0129138-0.0192133j -0.00182785-0.00483973j -0.000168179+0.000344275j 0.00198678-0.0204404j -0.00459843+0.00461139j 0.000433759+0.0402794j 0.00118356+0.00398906j -0.0129648-0.024758j -0.0082205-0.0188745j 0.000975253+0.0223921j -0.018034-0.0124911j 0.00214727-0.0249454j -0.0346841+0.016035j 0.00379243+0.00836542j 0.00574024+0.00221998j 0.0165325+0.0115288j -0.00553414-0.0238741j -0.0064797-0.0328229j -0.0393577-0.00732891j -0.00640914+0.0372554j 
0.00211693-0.00417462j -0.0058216-0.00548599j -0.00277256+0.0120134j 0.0067175+0.00139833j 0.00236491-0.00245279j 0.00463529+0.00160081j -0.0144443-0.00297584j -0.00366573+0.00712032j 0.00159+0.00146758j -0.0105219+0.00164135j 0.0106964+0.00144212j 0.0068932-0.000910464j -0.00211604+0.00338512j 0.00399821+0.003086j 0.00808425-0.00530517j -0.00688263-0.00472316j 0.0105651+0.00487049j -0.000708079-0.0049615j 0.00978132-0.00453291j 0.00554643+0.00794073j -0.00477891-0.00263853j 0.00286637-0.00397098j -0.00215667-0.00219021j 0.0097547-0.00377898j 0.00600117+0.0103636j 0.00697878+0.0143815j -0.000173509+0.0106897j 0.00271155-0.00278429j -0.000976454+0.00369599j -0.00190571-0.00618373j 0.00037925-0.0150201j 0.000890964+0.00134451j 0.00603434+0.00179236j -0.00135194+0.0032232j -0.00142564+0.00405735j 0.00177413-0.00482709j 0.00654725+0.00595401j 0.0039784-0.00812236j 0.00395876-0.00575663j -0.00687684+0.00146442j -0.000104752-0.000324184j 0.000346662-0.000744319j 0.00400046-0.00220618j -0.0145868-0.00644068j 0.00749523-0.0118096j 0.00267509-0.00574799j -0.00809287-0.00247448j 0.0078376-0.00590072j 0.00632259-0.00527779j -0.00651986-0.00807264j -0.00242197-0.00460565j 0.00515875+0.0115441j 0.00564047+0.0066445j -0.00807303+0.00848254j -0.00150099-0.000417842j 0.00267537+0.00290507j -0.00940304-0.00973723j 0.01026-0.0132649j 2.82942e-06+0.00867369j -0.0156561-0.00744514j -0.00075163+0.00748068j 0.020293-0.00484769j 0.0126009-0.00372126j -0.00243017-0.00057979j 0.00677376-0.00615647j 0.00732254+0.00741822j -0.00504226+0.0037506j -0.00140377+0.00431065j 0.00428234-0.00089556j -0.000521615+0.0133019j -0.00290038-0.00802398j 0.00159901-0.00458263j -0.00895231+0.00926849j 0.000253756-0.0029521j 0.0117303+0.00583558j -0.00502087+0.00153064j -0.00375771+0.011546j 0.00735417-0.0053886j 0.00112503-0.000655542j 0.00458792+0.00301849j -0.00368961-0.00866007j -0.0111244+0.00153968j -0.00226578-0.0150117j -0.000726479-0.00257525j -0.00436731-0.0012982j -0.0094531+0.00355243j 0.000657348+0.00680967j -0.00463534+0.00457588j -0.00940184+0.0108886j 0.00717454+0.00876032j 0.0135676+0.00168104j -0.00512381-0.0127556j 0.00709018+0.00803412j -0.000201633+0.0024784j 0.00277323-0.000171527j 
-0.00560055+0.00406393j 0.000760362+0.00167576j -0.000304932-0.0063563j -0.0121398+7.47278e-05j -0.00102662-0.0030546j 0.00221338+0.00780485j 0.0035475+0.0102442j 0.00082696-0.00117434j -0.0047367-0.000793442j 0.00186603-0.0057654j -0.0107282+0.00687903j 0.00378819-0.00481233j -0.00422461-0.0113753j 0.00114584-0.00265545j -0.00501206-0.0159079j 0.00484768-0.00622185j 0.00439457+0.00275201j -0.00131372+0.00374126j 0.000940119+0.00355326j -0.00458139-0.000906265j -0.00313301+0.00437451j -0.00122147+0.00090456j -0.000327605+0.00414016j 0.00383882-0.0018283j 0.00432523+0.00216219j 0.00164347+0.00587397j 0.000140159-0.000944428j -3.03026e-05-0.00710047j -0.000397361+0.00456416j 0.00139543-0.00247114j -0.00111137+0.000285693j 0.000810726+0.00346431j 0.0052162+0.000859863j -0.000893624-0.00150386j -0.000860624+6.65747e-05j 0.00145275-0.00360573j -0.0137731-0.00849546j -0.0159898+0.000848263j 0.000911764+0.00174898j -0.000276901+0.00289565j -0.00229479+0.00216704j -0.0015216-0.00418798j -0.0303611-0.0189942j 0.0064624+0.00733865j 0.0198364-0.00809445j 0.00713309+0.00165765j -0.00126807+0.000843712j 0.00629187+0.00324678j 0.0100317+0.00201525j -0.00520439+0.0184377j 0.000507768+0.00746121j 0.0114904+0.00564911j -0.00140067+0.0108483j 0.017756-0.0194634j -0.00834742+0.00841341j -0.00333581+0.00722568j 0.0199246-0.0129318j 0.00746698-0.00440444j -0.00124162+0.00406809j -0.00705121-0.00783979j 0.00164861+0.00346114j 0.00346145-0.004883j -0.00295513-0.00756325j -0.000197963+0.00541741j -0.000591661+0.00136671j -0.00199395+0.00473191j 0.00645068-0.0132022j -0.00705506+0.000741989j -0.0049934+0.00277036j -0.00692377+0.0120291j -0.0146915+0.00833643j -0.00589345+0.00921267j 0.0203952-0.00179348j 0.0147407-0.0032985j -0.00286102+0.00170066j -0.00277689+0.00342793j -0.0058682-0.000981479j 0.00576017+0.010535j 0.00231233+0.00225501j 0.00826645+0.00899039j -0.00444475+0.000595216j 0.00673577+0.00259658j -0.00455925+0.00688267j -0.00259489+0.00484727j -0.00275207+0.000690338j -0.00542822-0.00134884j -0.00172805+0.00389025j 0.00269027+0.00830789j -0.00831718+0.00397293j -0.00625678-0.0313311j 0.00738517+0.0149556j -0.000545479+0.000776988j -0.000305924+0.00274101j -0.00193036+0.00281374j 0.00249669+0.000877018j 
-0.00682474+0.00304615j 0.0012619-0.0015948j -0.00251111-0.00213181j -0.00109281-0.00240742j -0.00501243-0.00173681j 0.00968169+0.00535588j 0.000498662+0.00291633j 0.00249462-0.00148202j -0.00526034+0.00208467j 0.00198345-0.000611707j -0.00224894+0.00149929j 0.0049743+0.00376849j 0.00337533-0.00400597j -0.00145369-0.000976827j 2.79347e-05-0.00481648j -0.00187086-0.00179931j -0.00409762-0.000405207j -0.00186157+0.00165866j -0.00344505-0.00479589j 0.0106555+0.00161052j 0.00739582-0.00503033j 0.00878159+0.00401975j -0.0083685-0.0106002j 0.000234441+0.00372366j -0.00882197-0.017152j 0.00200938-0.0115173j 0.00545814+0.00597282j -0.00141983-0.00115564j 0.00773164-0.00664622j -0.00895522+0.00786092j 0.00683786-0.0092203j -0.00820344+4.4472e-05j -0.00710646+0.00451443j -0.00148458+0.00264386j -0.0069754+0.00512764j -0.000721567-0.00120524j -0.00416631+0.000239674j -0.000479096+0.00127212j 0.000473919-0.00243969j -0.00116146-0.00014928j 0.00631322-0.00117219j 0.00343799+0.00621474j -0.00168181-0.00657564j 0.00473641-0.00232668j 0.00570524-0.00233949j -3.98589e-05-0.00037352j 0.0038785+0.000463407j 0.00366458-0.000789177j 0.000978316+0.000973273j -0.00121074+0.000302583j 0.00330628+0.00162847j 0.00464534-0.00222348j 0.000232522+0.0030618j 0.00512351-0.00443423j 0.00343234-0.000601158j 0.00143899-0.000155408j -0.00163061-0.00244902j -0.00107721-0.00294161j 0.00366886-0.00171152j -0.00479347-0.0030167j -0.000580337+0.00195346j -0.00204246-0.00349734j -0.000428726-0.000907548j -0.00375965-0.00362294j -0.00192772+0.00332378j -0.00362408-0.000783652j 0.00107645-0.00119783j 5.53785e-06-0.000510018j -0.00288928-0.0009089j -1.21884e-05-0.00477488j -0.00263228-0.000447764j -0.00182155+0.000249401j -0.000356873-0.00262789j -0.00128718-0.00179217j -0.00408915-0.00368967j 0.00179382-0.00330902j 0.000508086+0.00142561j -0.000658105+0.00185313j 0.0021349+0.000136837j 0.00167995-0.00304849j -0.000892919+0.000239925j 0.00309193-0.00260875j 0.000131912+7.24884e-05j -0.00184621-0.000380736j 0.00462847-3.1916e-05j -0.000429749-0.00138999j -0.0017044+0.000941891j 0.000204903+0.00566158j -0.00491433-0.000250409j 0.00166209-0.00269425j 0.00335145+0.000605878j 0.00213433+0.00106727j -0.000744589+0.0038878j 0.00207543+0.00260547j 0.00337735-0.000505493j 
0.000992595+0.000939834j -0.00154528-0.00240586j -0.00129392+0.00972934j -0.00311886-0.00151201j 0.00563919-0.00212488j 0.00402506+0.0109285j -0.00364806+0.00312109j -0.00205352+0.000453161j -0.00399577+0.00708333j -0.00843386+0.000779742j 0.00359588-0.00134006j 0.000104976-0.00127043j -0.00443694-0.00455249j -0.000201515+0.0047679j 0.00688766-0.00519341j -0.00888884+0.00129114j 0.00646613+0.00233812j 0.000253378-0.000982463j -0.00326979+0.00259162j 0.00597434+0.00144354j 0.00410349-0.00298474j -0.00795862-0.00101749j 7.62295e-05-0.0135243j -0.0168043-0.00461448j -0.00350633+0.0121885j -0.00937489+0.00184255j 0.00538112+0.000996988j -0.00239803-0.00230179j -0.00223557-0.00428668j 0.00131106+0.00594534j -6.64034e-05-0.00125683j -0.00457308-0.00915677j -0.00699324+0.0013836j 0.00246334+0.00687224j 0.000454292+0.00809109j -0.00116103+0.00751854j -0.0022069-0.00131759j -0.00428117-0.00160008j -0.00655948-0.00288092j 0.00661521-0.00125732j -0.00356892+0.00695011j 0.000793576-0.00512825j -0.00720712-0.00517624j -0.00108895+0.00385897j 0.0151584-0.00752825j 0.00715349+0.00116616j 0.0119532+0.00285833j -0.000789691-0.00206186j 0.00657432+0.000876626j 2.9941e-06-0.00019963j -0.00128498+0.0012831j 0.00214606+0.00731511j 0.000590205+0.00667186j 0.00527768-0.00550011j 0.00373469-0.0024737j 0.000875971-0.00402021j 0.000163516-0.00705125j 0.00288303-0.00742958j 0.00233526+0.00764668j -0.00885056-0.00700174j -0.00517916-0.000125575j 0.0101317-0.00878451j 0.00764882-0.00575443j 0.000254394+0.000637471j -0.00495057+0.00863568j -0.00532978+0.00413079j -0.00192708-0.00637723j 0.00212543+0.000534684j 0.00335305+0.00591221j -0.00375686+0.00147272j -0.00853642+0.00876234j -0.00221278-0.00404846j 0.00213169-0.00324096j 0.00424515+0.00139674j 0.00204725+0.00100711j 0.000820916+0.00512599j -0.00185164+0.00600314j -0.00550637-0.00113047j 0.000815765-0.00226032j -0.000895079+0.00087362j -0.00618423-0.00443606j 0.00399834-0.00237384j -0.00615729-0.00237598j -0.00386814-0.00531156j 0.00788669+0.0054568j -0.00204285-0.00411793j -0.000392743-0.00366935j -0.000946868+0.00453106j -0.012586+0.00441751j -0.0115292-0.00147375j -0.000907648+0.00564219j -0.00754559-0.00151493j 3.93313e-05+0.00777784j 0.0045623+0.00343878j 0.00435771-0.00164274j 
0.000970476-0.000144205j -0.00255852-0.000938694j -0.00198578+0.0077588j 0.000764288-0.0023191j -0.00143451+0.000321789j 0.00261774+0.00229702j -0.00499093-0.000242677j -0.000888066-0.000190006j -0.00223556+0.00178202j -0.00351073+0.0015821j 0.0016969+0.00030392j 0.00142302-0.00195212j -0.00155764-0.000348132j 0.00146035+0.00285103j 0.00443912-0.004029j -0.00523451-0.00106337j 0.00213522+0.0018953j -0.0017174-0.00196221j 0.00082216-0.00237614j 0.00670255+0.00255123j 0.00256125-0.00165751j 0.000670231-0.0017488j -0.00524749-0.000425311j -0.000141493+1.98986e-05j -0.00278421-9.12046e-05j 0.000182914+0.0018649j 0.000282838+0.00419148j 0.000184932-0.00172624j 0.00282079-0.00244632j -0.00196683+0.00285613j 0.000959734-0.00542538j -0.00131178-0.000370348j 0.00503993+0.000898969j -0.000478226+0.00223213j -0.00290089+0.00829195j -0.00436999-0.000429382j 0.00215221+0.0109231j 0.0113596-0.00222309j 0.0016958-0.00454098j -0.00258142-0.000437549j -0.00377914+0.00758955j 0.00365176-0.00471623j 0.00784594-0.00735263j 0.00122347-0.0102888j 0.000563937+0.00516727j 0.00315962-0.0037425j -0.000588673-0.00177809j -0.00166664-0.0055051j -0.000330408-0.0039543j -0.00331532-0.0078019j -0.00145094+0.000497567j 0.00369338-0.00408108j 0.00269908+0.000998071j -0.00327083+0.00102343j 0.00457977-0.0047868j -0.00490383+0.00960951j -0.01147-0.00328593j 0.000195386-0.00405391j 0.00191515-0.00228915j -0.0108129+0.00518618j 0.00616557-0.00506698j 0.00765098+0.000276129j -0.00375148+0.00571736j 0.00747156+0.00611662j -0.00553798+0.0007583j -0.00252101-0.00156096j 0.000663161+0.00945805j -0.00669279+0.00142757j -0.00222637-0.0030763j -0.00298152-0.00552273j 0.00176283-0.00622456j -0.000553029-0.00794469j -0.00916362+0.00254476j -0.0118783+0.0119582j -0.00118393+0.00426864j -0.00452711-0.00956426j 0.000614638-0.00140838j 0.00129064-0.0126234j 0.0104222+0.00837432j 0.00218505-0.0116321j -0.00234573-0.00743658j -0.000261883-0.00159884j 0.00869396-0.00227216j 0.00221073+0.00524786j 0.00843954-0.00761618j -0.000514043-0.0048727j -0.00129936+0.00299641j 0.00592896-0.000202175j -0.00687889+0.00926348j 0.00520995+0.00553247j -0.00919409+0.00121754j -0.00904392-0.00296785j 0.00341172+0.00134058j 0.000438166+0.00448513j 0.00504+0.00013718j 
-0.00210104-2.03528e-05j 0.0024848-0.000580805j 0.00108045-0.00147986j 0.000404575+0.00199703j -0.00469446+0.0047276j 0.00299971-0.000826959j 0.000410915-0.000401166j 0.000769313-0.000195004j -0.00292662-0.000646048j 0.000733615-0.00235861j 0.00027382+0.00327937j 0.00320993+0.00132717j 0.00167225-0.00211996j -5.28156e-05-6.06888e-05j 0.00257977-0.00275463j 0.000294008+8.5242e-05j 0.00287591+0.00177546j 0.00230386+0.000932529j 0.00671789-0.000757432j 0.00620678-0.00366077j 0.00364061-0.000940844j -0.00147663+0.000978863j -0.00820346+0.000494895j 0.00466417+0.00290318j -0.0046808-0.00496355j 0.00343255-0.00221616j -0.00179104+0.00260089j 0.000922608-0.000682249j 0.00343786-0.000352615j -0.000923569+0.00139187j 0.00578631-0.00619639j -0.00362007+0.00352798j 0.000982569+0.00251604j -0.00559241+0.00607795j 0.00317122+0.00140288j -0.000159152-0.00458595j 0.00076159-0.00822692j -0.00578662+0.00398979j 0.00382629-0.00937936j -0.00354125+0.00549642j 0.00259737-0.003249j 0.00661455+0.00116323j -0.00612174+0.00941051j 0.0020559+0.00295313j -0.00813277+0.00343348j 0.00176561-0.0116599j 0.0058721+0.000125017j -0.00256158+0.00647964j -0.00596705+0.00411878j 0.000321424+0.00531561j 0.00399001+0.00886259j -0.00318586-0.00485813j -0.00676276+0.0054367j -0.00221218+0.00151063j -0.00759617-0.00418433j 0.00535308+0.00437964j 0.0052684+0.00700015j -0.00131074+0.00728327j 0.00213472-0.00495408j 0.0147924+0.00595917j -0.00253697-0.00686236j -0.0038494-0.000270542j -0.0116717-0.00210235j 0.00336545-0.00170607j -0.00269765-0.00244234j 0.000847988-0.00176024j 0.00484949-0.00435708j 0.00544315-0.00320523j -0.00099626+0.0022157j 0.00304257+0.00217476j -0.0022305+0.00343444j 0.00243087+0.00584209j 0.00329349-0.00478397j 0.00548982-0.000113445j -0.00177198-0.00238319j 0.00504834+0.00677003j 0.00181448-0.00437729j -0.00383356+0.00661911j 0.00274466+0.000363122j -0.0051337+0.00351263j -6.21706e-05+0.00563591j 0.00371092+0.00275108j -0.00159736+0.00726608j -0.00141069-0.00657688j 0.00253318-0.00131342j 0.0052047-0.00231746j -0.0034442+0.00110254j 0.00118298-0.0107853j 0.00633394-0.00309841j -0.00571925-0.000769386j -0.00730602+0.00205124j 0.00815735+0.00555897j 0.0074008-0.00337108j 0.000725925-0.000378565j 0.00444791-0.00357362j 
-0.00711032+0.00680732j -0.00490251-0.00326065j -0.00588429-0.00303094j 0.000156064-0.00671516j -0.00351849+0.00689893j 0.00495074-0.0034279j -0.00169842-0.000231525j 0.00252523+0.00134237j 0.00127318-0.0016767j 0.00273552-0.000892261j 9.41121e-05+0.00124133j 0.00535555-0.00173302j 0.00531583-0.000313239j -6.02992e-05-0.00141296j -0.00471618-0.00264784j 0.00110264-0.00541248j -0.00390606-7.14288e-05j -0.00488761-0.000395026j -0.00695555-0.00481605j 0.00322303+0.00509839j 0.00304954-0.00358893j 0.0114608-0.00266467j -0.00612471+0.0118672j 0.00872404+0.00203477j -0.00870493-0.0134921j 0.00344135-0.00266363j 0.00143194+0.00581013j 0.00190129-0.00184596j 0.00558221-0.00519922j -0.00630237+0.00513423j -0.00162221-0.00464366j -0.00119021+0.00378674j 0.00646793-0.00338854j 0.00170553-0.00476853j -0.000892105+0.00800293j -0.00736739+0.00503156j -0.00185707+0.000547811j -0.00291964-0.000328202j 0.000352118+0.00828108j -0.00198989-0.00422473j -0.000289008+0.0110971j -0.00467793-0.00312407j -0.000200427+0.00188701j -0.000788145+0.000432332j -0.00116139-0.00402357j 0.00696099+0.00319724j -0.00627398+0.00234183j 0.00391985-0.00275203j -0.00119887+0.0017966j -0.00199812+0.00265895j 0.000745244-5.817e-05j -0.00145628+0.00137536j 0.00171823+0.00382437j 0.00187537+0.00133767j 0.00316139-0.00740745j -0.00967832+0.0117949j 0.00391418-0.0013032j 0.00143729-0.00135301j -0.00416258+0.000988457j 0.00103376-0.00216399j 0.00512785-0.00405906j -0.00205308-0.00413344j 0.00217403+0.0048699j 0.0102501+0.00823207j -0.00323916+0.00625737j 0.00428778+0.00538365j -0.00100842+0.00241083j -0.00380572+0.00115325j 0.000356969+0.00205035j 8.93098e-05+0.00872571j -0.00112543+0.00732552j 0.00231816-0.00149655j 0.0092772-0.00291087j -0.00303227+0.00743848j 0.00729357+0.00740038j 0.00262826+0.00090694j -0.00057617-0.00526844j -0.00124923+0.00182892j 0.00674692+0.00344163j -0.00102017+0.00334258j -0.0068054-0.00360609j 0.000549631+0.000107197j 0.00480733+0.00734858j 0.00276958+0.0113888j 0.00417031-0.00967116j 0.00287377-0.00220145j -0.00140521+0.0025765j 0.00348177+0.000252261j -0.00352583-0.000544187j -0.00572174-0.000428531j -0.00533861+0.00136331j -0.00576652+0.00115627j -0.00478444-0.000505024j 0.00062919+0.00097417j -0.000468871+1.12594e-05j 
0.000771386+0.00247224j -0.00198994+0.000696186j -0.000469937-0.000557489j -0.00339527-0.00263958j -0.00198114-0.00398225j -0.00143521-0.000806419j 0.000810177+0.000904947j -0.000479069+0.00163499j 0.00340846+0.000761931j 0.00192481+0.000303266j -0.000630052-0.00207344j 0.00231984-0.0023989j -2.75651e-05+0.00258141j -0.00115214-0.00109471j -0.00195282+0.00249679j 0.0013616-0.00157935j -0.00313399+0.00184812j -0.00300743+0.00192655j -0.00466189+0.00151737j -0.000248376+0.00282168j -0.00281-0.000713057j 0.0039471+0.000935143j 0.00371189+0.000710867j -0.00213038+0.00353037j 0.00436033-0.000648407j -0.00123538+0.00286347j 0.00224292-0.00121048j 0.000284971+0.0014786j -0.00259009+0.00103695j 0.000720815-0.000785463j -0.00270593+0.000150029j -0.000429013+6.14471e-06j 0.00280754+0.00201699j -0.00145572-0.00706733j 0.000888925+0.00280097j -0.0017345-0.00132887j -0.00226994+0.00424565j 0.00182797-0.0037929j -0.000789397+0.00803876j 0.000369715-0.00017955j -0.0016791-0.00388418j 0.00147376-0.0034335j 0.0012819-0.00795285j -0.000856431-0.00184853j 0.00666001-0.00435305j 0.00304169+0.000584613j -0.00122362-0.000826202j 0.00229265-0.00361494j 0.00280514-0.0019495j -0.00226394-0.00474538j -0.000655534-0.00371224j 0.00436998+0.00161062j 0.00426682-0.00376146j 0.00110753-0.00350645j 0.00413159-0.00304412j -0.000224414+0.000863755j -0.00403612-0.00601053j 0.00137701-0.00522951j 0.00570819+0.00603941j -0.00585331-0.0064105j 0.00429998-0.000716599j 0.00406386-0.00354479j 0.0101599+0.00350295j 0.00032988-0.00207812j 0.00490107-0.000203484j -0.00287144+0.00136731j -0.00223593+0.000613482j -0.000704185+0.00151138j -0.00041393-0.00176175j 0.00315467-0.00461259j -0.00206182-0.00341256j -0.00119704-0.00289072j -0.00242367+0.000795317j 0.000622368-0.00162066j 0.00326678-0.00173794j -0.00128171+0.00221646j -0.00180164+0.00504447j -0.00134071-0.00204873j 0.00289831-0.00136169j 8.67278e-06-0.00167657j -0.00100852-0.00191807j 1.46086e-05+0.000130499j 0.00354027+0.00247581j 0.000463849-0.000255744j 0.00254772+0.00128072j -0.00304016-0.00128427j -0.00164801-0.00189101j -0.000402759+0.00279269j -0.00486822-0.00042456j 0.00116857+0.00238236j 0.000231959+0.00187407j 0.000339122-0.000273195j -0.00723827+0.00860169j 0.0113972-0.00230229j -0.00376814-0.00697345j 
-0.00162938-0.00218981j -0.00092392-0.00185786j -0.0015487+0.000429106j 0.00490632-0.000140208j 0.000883381+0.0036913j 0.000387304+0.000777618j -0.00126596-4.78301e-05j 0.000370434-0.00128631j -0.000628581-0.00134351j -0.00392927+0.000128841j 0.00148321+0.00286906j -0.00127519+0.00364925j -0.00170671-0.00195967j 0.00122178+0.000126916j 0.00100136-0.00394569j 0.00104929+0.00169043j 0.00250334-0.00386689j 0.00255391-0.00124965j 0.0048223-0.00444595j -0.00576111-0.00138123j 0.00380741+0.00318772j -0.00259439-0.000848824j -0.00416375+0.00298179j 0.00432427+0.000514612j -0.00659755-0.00128658j -0.00277003+0.00114686j -0.00448722+0.000750726j -0.0007953-0.00259573j 0.000697969-0.00068553j 0.000250646+0.000534736j 0.000338788+0.00384437j -7.15564e-05+0.00112377j -1.02962e-05-0.00237586j 0.00445054+0.00597653j 0.000108771+0.00113118j -0.000845222+0.00270225j 0.001926-0.00528787j 0.000142778+0.00460791j -0.00595049-0.00946671j 0.00261164+0.000712182j 0.00141324+0.00688579j -0.00306836+0.00166955j -0.00049307+0.00969526j 0.00190032+0.00258095j -0.00557794+0.00625964j -0.00425628+0.00686636j -0.000463991+0.00268077j 0.00166672+0.00241048j -0.00360469+0.00526734j 0.00366073+0.00498056j 0.00212084+0.000756225j -0.00740049+0.00503693j -0.00184652-0.000966575j 0.00340192-0.00195889j -0.000761749+0.00595321j 0.000306873-0.00701378j 0.00573921+0.00679675j 0.00258207+0.00285145j -0.00534176-0.00602692j 0.00390107+0.00554308j 0.00108352+0.00182968j -0.0103966-0.000373172j -0.00345845-0.00022503j -0.00216543-0.000551637j -0.00518359+0.00356012j 0.00127505-0.000908537j 0.00251761-0.00244388j 0.00285805-0.00390155j 0.00037383+0.00144093j 0.000383164-0.000675501j 0.00357289+0.00097506j 0.00225137+0.00229063j 0.00187982-0.00106381j -9.05105e-05-0.00240799j -0.00172522+0.000591411j 0.000163123-0.000860608j -0.000363901-0.00303943j 0.000352201+0.000227137j 0.0032592+0.00179392j 0.000293415-0.00067712j -0.00218241-0.00652082j -0.00103357-0.000164494j -0.00260366-0.0049252j -0.00197242-0.00184584j 0.00269636-0.00045204j 0.0039241-0.00325565j -0.000914754+0.00377273j -0.000154879+0.000680041j -0.00213624+0.00447515j 0.000263898-0.00077111j 0.00800517-0.00106017j -0.00656673+0.00239213j 0.00796828-0.0053516j -0.00255147-0.000734913j -0.00166597+0.000666483j 
0.000542087+0.00233714j -0.00196237-0.00116472j -0.00152881-0.000153329j 0.000758935-0.00156606j -0.00237703-0.000960094j 0.000766599-0.00549918j -0.00155013-0.000618137j -0.00232134-0.00217146j 0.00158285+6.39544e-05j 0.00118926+0.00116441j 8.70117e-05+0.00186454j -0.000532526+0.00486713j -0.000489642+0.000127881j 0.00100557-0.00100001j -0.000886505-0.00359734j -0.000442893+5.66616e-05j -6.43034e-05+6.51239e-05j 0.00281581+0.00111704j 0.001252-0.00232875j -0.00242655-0.000800488j -0.00847597-0.000232238j -0.000958449+0.000768639j -0.00402539-0.00126259j -0.00190964-0.000334669j -0.000257493+0.000740866j -0.0038434-0.00091166j -0.00300377+0.0016401j -8.99172e-05+0.000202659j -0.00129058+4.68004e-05j 0.000523106-0.00105873j 0.00147832+0.00589756j -0.00433184-0.00134269j 0.000917352+0.00202789j -0.00160545+0.00301086j -0.000200954+0.00104974j 0.00379087-0.00192787j -0.00345546+0.00142601j -0.000307586+0.00257248j -0.00057348-0.00204712j 0.00594089+0.00455627j 0.000789088+0.00285196j -0.00564029+0.0022598j 0.002387-0.00102505j -0.00348458-0.00606514j 0.00492171-0.00126771j 0.00149715-0.00446269j -0.00263805+0.00519541j -0.00117368-0.00194171j -0.00483763-0.00132489j -0.000807025+0.00426179j 0.00275409-0.00499011j 0.00111481+0.00132812j -0.00100774+0.00593436j -0.000175335+0.00394377j -0.00354043+0.00345238j 0.00260582-0.00430461j -0.00113343-0.00354903j 0.00101083-0.00322331j 0.000220457-0.00323113j 0.000847139-0.000947704j 0.000693331+0.0026162j 0.000517412-0.00101078j -0.00235262+0.00456982j -0.00589197+0.00649263j -0.00418599+0.00653305j 0.00706307+0.00433219j -0.00604693+0.00508627j -0.00342552+6.44389e-05j -0.00571969-0.00451045j -0.00224042-0.0041908j 0.00509209+0.00123778j -0.00617841+0.00241975j 0.00186383-1.78139e-05j 0.0043318+0.000266905j 0.00306001-0.00684952j -0.00178318+0.00386048j -0.00368017-0.000797946j 0.00144288+0.00145606j 0.0021611+0.00729426j -0.00572+0.0026259j 0.00437446-0.000266119j 0.00243149+0.0055531j -0.000397996+0.00338241j 0.00922838-0.00677896j 0.00415896+0.00568537j -0.00190827-0.00225114j 0.000438039-0.0030836j -0.000490726-0.00186218j 0.00100578+0.00287378j 0.00108966-0.00126905j -0.00335963+0.00202896j -0.000540174+0.00128298j 4.47013e-05+0.000410712j 0.00411736+0.000718679j 0.000210969-0.00202887j 
