0.00060994+0.000259061j -0.000332953+0.00021192j -0.001095+0.000268874j 0.000139921+0.000901908j 0.000227036+0.000235021j 0.000161061-0.00181768j -0.00166907-0.00207936j -0.00200029-0.000837473j -0.00140203-0.00113759j -0.000179639+0.000369464j -0.00204642+0.000435899j 0.000343547-0.000743854j -0.00311915-7.48255e-06j -0.000380213-0.00053713j -0.00290112+0.00276315j 0.00407224+0.00284404j -0.00526468-0.00455643j -0.00475776+0.00533306j -0.00260268-0.0047321j 0.00206728-0.00214499j -0.00747763+0.00775444j 0.000912104+0.00217383j -0.0065362+0.00598653j -0.00407318+0.00356913j 0.000993631-0.0016972j 0.00408624+0.00441474j 0.000423187+0.00199796j 0.000279216+0.00140766j -0.00280687-0.00317325j -0.00697328-0.0134932j 0.000881971+0.00138941j 0.000574068+0.00249809j -7.95562e-06-0.000600524j 0.0135283-0.00175484j 0.00394736+1.37898e-06j -0.000831851+0.0070896j 
-0.00117296-0.000737415j 0.000532585-0.0012754j 0.00035909+0.00266554j 0.00413779+0.00022404j 0.000804687-0.00349902j 0.00471668-0.00383658j -0.00328785-0.00713851j -0.0028283-0.00705892j -0.00154952+0.000860772j 0.000111894-0.00068973j -0.0107342+0.00065526j 0.000239635+0.00023946j -0.00441124+0.00111247j 0.000670767-0.00532749j -0.000214983+0.00585703j -0.00653093+0.0054058j 0.0041696+0.00320844j -0.0127504-0.00785587j -0.000237271+0.0021583j 0.00147188+0.00297172j 0.00177767-0.00555217j -0.00920154+0.0144355j -0.000598177+0.000748934j 0.00282325-0.0010295j 0.00138814-0.00114356j -0.00770123+0.00783837j -0.00132955+0.000300273j -0.000134372-0.000724409j 0.00928956+0.00433765j 0.00138836-0.00607382j 0.000218996+0.000281075j -0.00990164-0.00716154j -7.48939e-05+0.00707014j 0.00975581+0.00659144j -0.00331255+0.00661766j -0.0043583+0.00528467j 
-0.000938142-0.00162398j -0.00158113-0.000988116j -0.00057719+0.00262701j -0.000778613-0.00335551j -0.00353523+0.00461389j 0.00199388-0.00590434j -0.00123347-0.000787394j -0.00168947+0.00300382j 8.66925e-06+0.00174957j 0.000915458+0.0024355j 0.0019365-0.00365517j -0.00300423-0.00352738j 0.00354844-0.00740819j 0.000779283-0.000436294j -0.0107064+0.00117111j -0.00360313-0.00623414j 0.00299632+0.0101704j 0.00292152+0.00164167j 0.00132459+0.00815222j -0.00114189+0.00117883j 0.00674569-0.000609682j 0.000675573-0.000893026j 0.00303657-0.0038254j 0.00460348-0.00112959j -0.00368331-0.00151257j -0.0003167+0.000304321j 0.00553544+0.00137303j 0.00700409+0.0047069j 0.000277784-0.00117389j 0.00429425-0.0106052j 0.00195814-0.00896069j 0.00666787-0.00121061j -0.00318761-0.000385405j 0.0214294-0.00125852j 0.00388725-0.00643116j 0.00446817+0.0172981j 
0.0019214-0.000150755j 0.000291167-0.00254515j -0.00345882+0.000740051j 0.000756072+0.000628155j -0.00302227+0.000435148j 0.000560365+0.00162597j -0.000623584-0.00503127j 0.000366457-0.00104968j -0.00131015+0.000257629j -0.00200127-0.00236538j -0.003214+0.00428961j 8.27853e-05+0.00054429j -0.00194268-0.00096395j -0.00509711+0.000389963j 0.000122465-0.00230913j 0.00651962+0.0107017j 3.75169e-05-0.00870638j -0.00832674+0.00490519j 0.00450021+0.0023347j -0.00406131-0.00412513j -0.0104665+0.00481173j 2.33034e-05-0.00322438j 0.00230924+0.00189657j -0.0031844-0.00550331j 0.00565619+0.000559509j 0.00548188-0.00610215j -0.00139431+0.0054975j 0.000751961-0.00591822j 0.00092281+0.000219611j -0.00265431-0.00115346j -0.0033914+0.00341397j 0.0132698-0.00367343j -0.00617683+0.00429991j -0.0115201+0.00415299j -0.00981878-0.011332j -0.00348774-0.0143654j 
-0.00853048-0.00243288j -0.00337197+0.00989413j 0.0139528-0.00437249j -0.00267656+0.00172923j 0.01519-0.00492115j -0.00352052+0.00503776j -0.00248196+0.00717163j 0.0063628-0.00496963j 0.00514224+0.00206729j -0.000102764+0.00116091j 0.00191436-0.000510768j 0.00170029+0.00509303j -0.00530075+0.00583256j 0.00414467+0.00534798j 0.00957777+0.00517078j 0.00207177-0.00217217j 0.000217018+0.00176544j 0.00446269+0.000793218j -0.00421298-0.00967915j -0.000122946+0.00330078j 0.00560592-0.00318537j 0.000668186-0.00091247j -0.00609621+0.00172502j -0.00182095+0.00362002j -0.004055-0.00266377j -0.00483887+0.00332228j -0.000225951-0.00592335j -0.00383009+0.00107445j -0.00697502+0.00322326j -0.00117758+0.00352361j 0.00114124+0.00231277j -0.0126609-0.00268918j 0.00243158-0.00572541j -0.00078342-0.00258117j 0.000789425+0.0102292j -0.000614044+0.00191057j 
-0.00730542-0.00315818j -0.00370112+0.00817367j 0.0124855-0.00253878j -0.00213254+0.0022064j 0.0143551-0.00402392j -0.00412502+0.00448955j -0.00280249+0.00594536j 0.00569808-0.00874509j 0.00643263-2.67893e-06j 4.29708e-05-7.02945e-05j -0.00201391+0.00143432j 0.00278196+0.00765991j -0.0104217+0.00751489j 0.00392772+0.00446008j 0.0137475+0.00631171j 0.000968504+0.00743332j -0.00147668-0.0134911j -0.00190255-0.00458605j 0.00599273-0.00718519j 0.003691-0.000777858j -0.00993379+0.00106112j -0.00293835+0.00178327j -0.00540711-0.00186996j -0.00682615-0.00127796j 0.0045296+0.00379362j 0.00111909-0.00110967j -0.00267249-0.000143999j -0.00367394-0.00525624j 0.00440311-0.00354525j -0.00377555+0.000204682j -0.00395324+0.00547309j -0.00110478+0.000157947j 0.00404745+0.00599701j -0.0102578-0.00208857j -0.00449199+0.00246514j 0.000225646-0.0108487j 
0.00363636+0.00241668j 0.0026972-0.00335991j 0.0146784-0.00320104j -0.0036091+0.00182305j 0.0161058-0.00163416j -0.0118866+0.0183366j 0.00751791+0.00054428j 0.00951519+0.00495972j -0.00214357+0.00280419j -0.000935149-0.00944561j -0.00950664+0.00736973j 0.000112231+0.00338608j -0.00152295+0.00170927j -0.0138597-0.00629337j 0.0118731+0.00848313j 0.00327398+0.00704232j -0.00114899-0.00109023j -0.00209279-0.00103627j -0.00149651+0.0192937j 0.00184421-0.00241362j -0.00421494+0.00425669j -0.00291026+0.000742837j 0.0164514+0.00174401j 0.00770647-0.00120493j 0.00122684+0.00302427j 0.00567761-0.00168382j -0.000300621+0.0107816j 0.00531349+0.00426956j 0.0119523+0.00287141j 0.00576041-7.8901e-05j 0.00698082-0.00512833j 0.0157823+0.00730778j -0.00834561+0.00735984j 0.00737109+0.00967145j 0.00414968-0.015008j -0.00410979+0.00674764j 
0.00365709+0.00291383j 0.00315541-0.00378764j -0.0115669+0.0015657j 0.00182336+0.00038434j -0.0108828+0.00183151j -0.00266766-0.0005679j -0.0100584+0.0145869j 0.00786309-0.0104894j 0.0113854+0.00612277j 0.00103245+0.0053728j 0.0028878-0.00568446j 0.000334122+0.00861245j -0.0103827+0.00526724j 0.0145374+0.0111387j 0.00628864+0.0095378j 0.00105921+0.00295302j -0.00277844+0.000694283j -0.000453864-0.000419919j -0.0027109+0.0125395j 0.000176061-0.00158942j -0.00143016+0.0038685j -0.000761379+0.000227395j 0.012542+0.00117329j 0.00652794-3.25041e-05j 0.000275726+0.00183768j 0.00477898-0.000863599j -0.000485989+0.00779301j 0.00370976+0.0040621j 0.0082282+0.00144952j 0.00394747+0.00254977j 0.00665549-0.00363984j 0.0107404+0.00697588j -0.00428562+0.00578693j 0.00606558+0.00666426j 0.00521728-0.00948282j -0.00354076+0.00647584j 
0.0233187+0.0243484j 0.0258445-0.0234389j 0.00123578+0.00158885j 0.000753601-0.00035554j 0.000340472+0.00345594j -0.000280999+0.000417352j -0.00123614-3.54612e-05j 0.000381112+0.000918923j 0.000203157-0.000426265j -0.00030091-0.000273548j 5.11552e-05+0.00235767j -0.000343178+0.000847708j -0.00131183+7.91064e-05j -0.00158744+0.000223834j 0.0026287+0.0022175j -0.00202777-0.00453814j -0.00210612-0.00783824j 0.00707057-0.00487719j 0.00404049-0.00636794j 0.00462784+0.00276306j -0.00237684+0.000782364j -0.00441475+0.00151973j -0.00436898-0.00254608j -0.00588922+0.00215612j 0.000758457+0.00389138j -0.00125928-0.00106398j -0.000628108-0.0034915j -0.00412753-0.0032771j 0.00470412-0.00171319j -0.00573232+0.00156254j -0.00327997+0.00355917j -0.00816626-0.000149007j 0.00582402+0.00618831j -0.00493163-0.00594743j -0.00238655+0.00921068j 0.00239858-0.00377893j 
0.00355971+0.00479079j 0.00503959-0.00353201j 0.0117579+0.00144942j -0.00190008-0.000600881j 0.0108224+0.00230893j -0.00353991+0.00617202j 0.0116982-0.00910957j -0.0040955+0.00784564j -0.00942246-0.00450163j 0.000230009-0.00745882j -0.00772816+0.00379378j 0.00120852-0.00546738j 0.00830145-0.00121743j -0.0117852-0.0130715j -0.00149313-0.00628244j 0.00525772+0.00846388j 0.00479926+0.0104245j -0.0126866+0.00939158j -0.00311444-0.00339466j -0.00784155-0.00302537j 0.00644192-0.00370599j 0.0084575-0.000455633j -0.00433651+0.00310963j 0.00290615-0.00333659j -0.000772704-0.00888631j -0.00204415+0.00185059j 0.00192153-0.0015302j 0.00124172+0.000430637j -0.0146647+0.000768703j 0.00344044-0.00176052j -0.000199186-0.000772945j 0.000803131-0.00786578j -0.00334083-0.0146398j -0.000159256+0.00277695j -0.00304619-0.00454964j -0.00167776-0.00167235j 
-0.00249103-0.00378283j -0.0038184+0.00255377j 0.0167174+0.00240687j -0.00212559-0.000166047j 0.0181356+0.00213963j 0.00767147-0.0102382j 0.00331505-0.00487706j -0.0122422+0.00301774j -0.00313915-0.00543542j 0.000632582+0.00344806j 0.00607787+0.000151609j 0.00149775-0.00908034j 0.0131394-0.00283602j -0.00015002-0.00575156j -0.00878949-0.012513j -0.00488607-0.0178289j -0.0066332-0.00932468j 0.0156358-0.00715822j 0.00134933+0.00945962j 0.00979327+0.00373559j -0.00804333+0.00777173j -0.0108979+0.0016109j 0.00787929-0.000631668j -0.00317883+0.00503537j 0.000609023+0.0104251j 0.00398631-0.00182412j -0.00187379+0.00339485j -0.00101315+0.000237437j 0.0196114+0.000759714j -0.00520721-0.00137072j -0.00025063-0.000659352j -0.000889383+0.0103659j 0.00237316+0.0183872j 0.002682-0.0019455j 0.00419392+0.00591726j 0.00166239+0.00481844j 
0.00147601+0.00464906j 0.00553603-0.00166661j 0.0110392+0.00375969j -0.000951898+0.00095327j 0.0131932+0.00370292j 0.00967617-0.0109007j -0.00900048-0.00203191j 0.000829273-0.00896447j 0.00387521+0.00262276j -0.00246082+0.00768097j 0.00870639-0.00485758j 0.00027593-0.000334034j -0.000763699-0.00183156j 0.0084045+0.0121683j -0.00545911-0.00771063j 0.000410913+0.00544196j 0.00356143-4.08243e-05j -0.0102935+0.00423476j -0.00271391+0.00624887j -0.00228638-0.00382217j -0.0066275-0.0012725j 0.00370604+0.000925448j 0.00388062+0.00538469j 0.00340589-0.00344079j 0.00133687+1.3183e-05j 0.00532647+0.00314937j -0.00372354+0.00433074j 0.00328316-7.4525e-05j 0.00139253+0.00184353j 0.000750411-0.0024337j -0.000270108-0.00055217j 0.00661698+0.0049481j -0.00626935+1.45312e-06j -0.00265568+0.00269375j 0.00232315-0.00836238j 9.52395e-05-0.00354285j 
0.00137288+0.00854528j 0.0102031-0.0018041j 0.016607+0.005733j -0.00231203+0.000515551j 0.0184438+0.00663457j 0.00688539-0.00607001j -0.00858504+0.00173052j 0.00411198-0.00760176j 0.00476352+0.00352385j -0.00243483+0.00679909j 0.00967762-0.00298665j 0.000382597+0.00178127j -0.00281574+0.00123183j 0.00713409+0.0135105j 0.000752481-0.00178347j -0.00149667-0.00104981j -0.00103789+0.0113999j -0.00409004+0.000594779j 0.000391832-0.0032894j -0.00395148-0.00267914j 0.00946287-0.000214201j 0.00488685+0.000652175j -0.00255967-0.00269751j 0.00404159+0.00036138j -0.00030855-0.00590045j -0.0040854+0.0014078j 0.00347675-0.00178604j 0.00140294+0.00292978j -0.00948205-0.00485045j 0.00456684+8.05694e-05j 0.00159678-0.0029471j 0.000949684-0.00520575j 0.00421753-0.00874487j 0.00520414+0.000879723j 0.00143911-0.000494267j 0.000415407+0.00593925j 
0.000267724-0.00202287j -0.00247173-0.000116479j -0.00379573+0.000770728j 0.00100446+0.000590757j -0.00281767+0.000121905j 0.00813742-0.00443789j 0.00349498-0.00446016j -0.00471671-0.00435942j 0.000553072-0.00343311j -0.000497604+0.00154306j 0.000923417-0.0020153j 0.00224313-0.00306068j 0.00548738-0.00161066j 0.00297328-0.00178698j -0.0030248-0.0124881j -0.000828655+0.0049236j 0.00610204-0.00935423j -0.00630605-0.000726185j 0.00203591+0.00250885j 0.00111771-0.00200136j -0.01244-0.0039475j -0.00126499-0.000355798j -0.000887221+0.00346082j -0.00213409-0.00534283j 0.00245561+0.00570442j 0.00603109+0.000718874j -0.00519052+0.000587437j 0.00244994-0.00646267j 0.00461594+0.00316973j -0.0058135-0.00313831j -0.0073+0.0016613j 0.00338964+0.00313408j -0.00594671+0.00529982j -0.0121055-0.00769321j -0.0038644-0.0063653j 0.00747606-0.0136683j 
-0.00171011-0.0011727j -0.000155337+0.00195468j 0.000161408+0.00522763j -0.000447946+0.00149831j 0.00321894+0.00608874j 0.0127762-0.00517311j -0.00135546-0.00702782j 0.000911994-0.00472338j -0.000423747-0.000185053j -0.00412533+0.00416955j 0.00918208-0.00210075j 0.00104871-0.00248074j 0.0031825-0.00276887j 0.00155724+0.0100349j -0.00403374-0.0139652j -0.00246541+0.0077871j -0.000553965+0.00338207j -0.0145817-0.00132434j -0.00102804+0.00112054j -0.00226133-0.00940536j -0.00446142-0.000279925j 0.00695724+0.000543087j -0.00149257+0.00312031j 0.00462285-0.00239252j 0.00524787-0.00145084j 0.00362151+0.00183589j -0.00297892+0.00242182j 0.00342643+0.000183967j -0.00694001-0.00608784j 0.002511-0.000274853j -0.00178838-0.000350147j 0.0109928+0.00425902j -0.000105325-0.00858785j -0.00844588+0.000253604j 0.0039922-0.0110185j 0.00295123-0.00831628j 
-0.000186994+0.000403944j 0.000539254-0.000173113j 0.00223357+0.000434196j 0.000595963-0.000254174j 0.00204544-0.000734918j -0.000940362-0.00366439j -0.00301129-0.000115405j -0.00217011-0.000913786j -0.00014299+0.000347631j 0.000862136+0.00100815j -0.00168378-0.000971717j -0.000504426-0.000228719j -0.00141956-6.76472e-05j 0.00210887-0.000967637j -0.00331307+0.00260456j 0.00234965-0.000715213j 0.000238758+0.000458137j 0.000135955+0.00354816j -0.000106934+0.000320026j -0.00199821+0.0023976j 0.00101704+0.00130465j -0.00175359+0.000343655j 0.00136956+0.000133944j -0.00104181-0.000284914j -0.000804779-0.00190535j -0.00167316-0.000148214j 0.00102357+0.000904484j -0.00115692-0.000299653j 0.000912392+0.00258216j 0.000589199-0.000878014j 0.00110788+0.000811704j -0.00211386-0.00429004j -0.00143731+0.00229607j 0.00309497+0.00518385j -0.00357118+0.00259582j -0.00515131+0.00198547j 
