0.371569-0.451064j 0.295365+0.1469j 0.0161122+0.263233j -0.350331+0.169509j -0.39047-0.432894j -0.088102-0.0730084j 0.0293106-0.0889638j 0.0134139-0.000192533j -0.00741885+0.0298828j 0.0482897+0.0301105j 0.0129547-0.0897334j -0.0247992-0.0018822j 0.0877171+0.0384934j -0.0291962+0.0280329j -0.00325956-0.00732778j 0.0308169+0.048938j -0.00657079+0.0163098j -0.00125384-0.0110448j -0.00485549-0.0254681j 0.00321644-0.0186091j 0.000610135+0.0053352j 0.0225951+0.0110076j 0.00356644+0.0102217j 0.00254949-0.00955129j 0.0257667+0.00159551j 0.00308836+0.0363338j -0.00834311-0.000429627j -0.000651879-0.00949709j -0.0156845-0.0183974j -0.0114548-0.00178654j -0.0487961+0.0120848j 0.0159451+0.0271905j -0.0130552-0.00136115j 0.00352163-0.00367924j 
-0.000236279+0.00810598j 0.000957058-0.00440125j -0.00789074-0.00645939j 0.0104182+0.00792013j 0.0174463+0.00198098j 0.00784865+0.0169334j 0.0222725-0.00174413j 0.0258837+0.00879992j 0.0021359-0.00137474j -0.0393218+0.029436j 0.0130605+0.0258348j 0.00987694+0.0190583j 0.0150648-0.0234887j 0.0105074-0.0116906j -0.0277087-0.00165231j 0.0200392+0.00471257j 0.0408517+0.0021685j -0.00316841+0.0249836j 0.0339469-0.018159j -0.0084014-0.0320264j -0.0265819-0.00354882j -0.00513131+0.00849847j 0.00942501-0.0726966j 0.00251815-0.0113904j 0.0266996+0.0160137j 0.0153772-0.023549j 0.0846238+0.0165714j 0.0125712+0.025285j -0.0162158+0.0140454j -0.03994+0.0463505j 0.0221139-0.0298531j 0.0235094+0.0404871j -0.00789773-0.0565671j 0.0723094+0.0278835j 
-0.00640804-0.00111687j 0.00228154+0.00732252j 0.000158029+0.00239046j 0.000179651+0.00940744j 0.0130437-0.00486667j -0.00386325-0.00232074j 0.000183794+0.00228083j 0.000467864+0.000125741j 0.00275218-0.00785285j 0.00584684+0.00916477j 0.00449785-0.00298584j -0.00342006+0.00359738j -0.00696857-0.0064773j 0.00125464+0.00795334j -0.00033616+0.00318199j 0.00149813+0.00169694j -0.00297921+0.0145715j 0.0252583-0.0204088j -0.0236905+0.0391325j -0.00391625+0.0122362j -0.0310778+0.0381362j -0.000947465-0.00579712j -0.0485593+0.0699493j -0.00204471+0.00432781j 0.0081915+0.00162974j -0.00698596-0.000817474j 0.0903245+0.08267j 0.0240781+0.000175673j -0.0155124-0.000866169j -0.0322078-0.0223937j -0.00287998-0.00358934j 0.000551145-0.0141399j 0.00128807-0.00388596j 0.00290823+0.0082919j 
-0.00127547-0.00525027j -0.00214226-0.00370147j 0.00853189-0.00419561j 0.000640845-0.0212131j -0.0411301-0.00176925j -0.00436393+0.0117971j 0.010216+0.00870392j 0.00208953+0.0198398j 0.0125942-0.00463335j -0.0134468+0.0332616j -0.0156834+0.0123237j 0.00625101+0.0168922j 0.0132601+0.00147352j -0.00715221-0.0160476j 0.0065865-0.00757405j -0.00696791-0.0108413j -0.018736+0.0290325j -0.0222358-0.0418268j -0.00217541+0.00311631j -0.0278776+0.00585276j -0.0136131-0.0138804j 0.0113767+0.0208338j -0.0187086+0.0196182j 0.0416461-0.00289125j -0.00399289+0.00442068j 0.0242687-0.0272437j 0.003713-0.019211j -0.0387413+0.0331983j 0.00660943-0.0138977j 0.0274021-0.029629j 0.0299954+0.0133469j 0.00304526+0.0677599j -0.018709+0.000855222j -0.00952852-0.053384j 
0.000650625-0.0122867j 0.000824596+0.0289247j 0.00311445+0.0135958j -0.0179541-0.0139386j -0.0197943-0.028864j -0.00954979-0.0040008j 0.0178279+0.013979j 0.000518575+0.00141823j 0.00283625+0.00433625j 0.00319379+0.0050384j 0.0132757-0.00517618j 0.0101804+0.0296894j -0.0213601-0.00183416j -0.00785969+0.00711534j -0.0185866-0.00446502j -0.00828896-0.00384384j 0.0344065+0.0158856j -0.0225063+0.0338887j 0.0110535-0.00740617j 0.0129104-0.0455146j 0.0159602+0.0250797j -0.0157888+4.23703e-05j 0.0237785-0.0248709j -0.0337462-0.0195358j 0.0207968+0.0127391j -0.0145124-0.00812682j 0.025219+0.0451378j 0.0165708+0.00174406j 0.00799542-0.00626328j -0.0356651+0.024286j 0.00308065+0.0101294j -0.0183769-0.00428575j -0.0143665-0.0501208j 0.0492494-0.00297327j 
-0.00395553-0.0165677j 0.0131001-0.0163991j 0.00749472+0.00448111j 0.00807657+0.0286799j -0.000434605+0.00635668j -0.00562303-0.00940233j -0.0296258-0.0120843j -0.00747937-0.0252364j 0.0404862-0.0141722j -0.0126142-0.0072945j 0.0226103-0.0117344j -0.00640457+0.0261422j -0.00872258+0.00935736j -0.0190965+0.0251806j 0.00542809-0.00322341j 0.00298719-0.0213986j -0.00565819+0.0183492j -0.0155856+0.00359556j 0.00621415+0.0416663j 0.00660032+0.00173078j 0.0592137+0.0179848j 0.00754384+0.00848894j 0.0498574-0.0115962j 0.0069941+0.0239882j 0.0350532-0.00412096j -0.0136389-0.00822706j -0.0154792+0.0460315j -0.0208129+0.0194144j 0.0223931-0.020884j -0.00849127+0.0151631j -0.0320732-0.0026624j -0.0039574-0.0257022j -0.0302075+0.00809011j -0.0118363-0.0343446j 
-0.0152344-0.00682889j -0.0014509+0.0156552j 0.00100258+0.00687747j -0.00340306+0.0102616j 0.0140587-0.00419588j -0.000157195-0.00141043j -0.00379064-0.00258636j 0.00203221-0.00246643j -0.00184282-0.00212659j -0.00214947+0.00111135j -0.000500795-0.00313564j 0.00069096-0.00600696j -0.00430054+2.4e-05j 0.00147662-0.00108184j 0.00172886+0.00171192j -0.00116594+0.00196307j 0.0116024-0.0281418j -0.0438929+0.0402809j 0.0219025-0.0254314j 0.0152229-0.01621j 0.0146697-0.00766066j -0.0018877+0.00337869j 0.0273394-0.0215567j 0.0262919+0.0272967j -0.00455216-0.00542467j 0.009705+0.00989742j -0.0459392-0.0418327j -0.0194782-0.0137738j 0.0121046+0.00541923j 0.0118044+0.0279206j -0.0014764-0.00312399j 0.000509907+0.00104001j 0.000892906+0.00106143j 0.00120483+0.00626991j 
0.00308185+0.015118j -0.0156399+0.0184007j -0.00185722+0.00137225j -0.00647275-0.0191527j 0.0126993-0.0152125j 0.0147675+0.00104807j -0.0270762-0.0324474j 0.0118776-0.0153629j 0.0292348-0.0116949j -0.0326989-0.0157124j 0.00451378+0.0131915j -0.0145719-0.0208914j 0.033351+0.00921551j 0.00859337+0.0165845j 0.0173873+0.000526462j 0.0215388+0.00180985j -0.0293959-0.0173596j 0.0321541-0.0263335j -0.00517623+0.0341588j -0.0136622+0.0531204j 0.014604-0.0167964j 0.0243587+0.0167279j 0.0163794-0.004027j 0.0423656+0.0534999j 0.00312504-0.00707931j 0.0101712+0.0083121j -0.0101233-0.0142751j -0.0404066+0.0138604j -0.00349021-0.0009596j 0.0189789-0.00527229j -0.0211582-0.0383155j 0.0354074-0.0124816j -0.00093284+0.0464893j -0.0400728-0.00210509j 
0.0163663-0.0230106j 0.0210636-0.000154377j -0.00337012+0.0105796j -0.0115318+0.0330611j 0.00530624-0.010383j -0.00672606+0.00290755j 0.0148491-0.00573394j 0.00813608+0.0103237j -0.0116245+0.00208012j -0.00843523-0.00417839j -0.00757459+0.0105089j 0.00645055-0.0421195j 0.0276291-0.016572j 0.0215179+0.00132752j -0.00268812-0.0127742j 0.00417097+0.0233798j -0.000440542-0.0492371j 0.0615377+0.0015624j -0.0127536-0.0204527j -0.00457563+0.0191178j -0.0455239-0.0205392j 0.0241875-0.00220033j -0.0293388-0.0012245j 0.0103205+0.0314503j -0.0337432-0.00310105j 0.00668066+0.0225727j 0.015263-0.0586867j -0.0013769-0.00757405j -0.0317963+0.0181148j 0.0144039-0.0185683j 0.0069066-0.0171098j 0.0208036-0.000870965j 0.0401421+0.00494369j 0.00572917+0.0432521j 
-0.00530372+0.00568276j 0.00073643+0.000504303j 0.00294027-0.00436587j 0.00261385-0.00384192j -0.00469998+7.22135e-05j -0.00582661+0.00782666j 0.00346176-0.0024761j 0.00415459+0.00103247j 0.0099799-0.0121841j 0.00754756+0.0120451j 0.00439045-0.00198918j -0.000687943-0.00484944j -0.00778868-0.00666179j -0.00237071+0.00816816j 0.00619613+0.00110926j 0.0030961+0.000801149j 0.0144795-0.0422283j -0.088251+0.0533444j 0.0236489-0.00817976j 0.0251826-0.0171574j -0.00708355+0.00352267j -0.00908114+0.0118006j 0.000109795-0.00333155j 0.0626013+0.0657178j -0.010041+0.00368834j 0.0253348+0.0211929j -0.0214124-0.017851j -0.0265396-0.0461615j 0.0143806+0.00656563j 0.00216011+0.0291205j -0.00468808-0.00724394j 0.000368119-0.00987949j -0.00358611+0.00234146j 0.00156344+0.00474132j 
0.0469575+0.00666241j 0.00289255-0.0326264j -0.0132587-0.00269229j 0.00368175-0.00571736j -0.00067482-0.000199179j -0.0139849-0.0209851j -0.0073581+0.00768767j -0.0181185-0.000146862j 0.0242492+0.0337729j -0.00312023+0.00582115j -0.00457879-0.00857936j -0.00348828-0.0292937j -8.52159e-05-0.000785617j -0.00301261-0.0132787j 0.00565329+0.00986547j -0.0249312+0.00145952j -0.00395763-0.00392254j -0.0303578+0.00758013j 0.0139316+0.0127106j 0.00400609-0.00299805j 0.00387319+0.00525933j 0.00178031-0.0102306j -0.00376218+0.0584735j 0.0151641-0.000912075j 0.0293284-0.059765j -0.000536516+0.000220711j -0.027793-0.0068337j 0.0167987+0.00486174j 0.00830879-0.00337927j 0.0400205+0.0357308j 0.00886664+0.0139647j -0.0112196+0.0172707j 0.00343598+0.0142112j -0.0185326+0.00653657j 
0.0212099+0.00252013j 0.0112258-0.000671216j -0.00441288-0.00138176j -0.0072838+0.0101146j 0.00163975-0.0014222j 0.0409083+0.0228629j -0.00876752-0.011898j 0.000268598+0.00792037j -0.0196839-0.0304342j -0.00708024+0.0128104j -0.0300954-0.00382733j -0.0287728+0.0225689j -0.00167667+0.0383397j 0.0190914+0.00230601j 0.00935316+0.0433038j 0.0142291+0.0093998j -0.0164588+0.0566198j -0.0801434-0.032902j 0.0162951+0.00269461j -0.00597778+0.0210056j 0.0280286-0.00270648j -0.0526565+0.0213812j 0.00336624-0.00890283j 0.0233641-0.0361345j 0.00745276+0.0207556j 0.0189105-0.00179633j -0.0167561+0.0383415j -0.0191947-0.0148114j 0.0239043-0.00450133j -0.00661086+0.0146566j 0.00911614-0.024633j 0.0234465+0.00531102j -0.0464701+0.0248824j -0.0333326-0.0381045j 
-0.0274286-0.019401j -0.0140172+0.0177624j 0.00680932+0.00739345j -0.00702154-0.00116271j -7.06089e-05+0.0064509j 0.00104732-0.0216919j -0.0185729+0.00378836j -0.0200641+0.00648622j -0.00211649+0.0318715j -0.0126812+0.0110524j -0.0266076-0.00426854j -0.00598057-0.0417781j 0.0215007+0.00588027j 0.0167955+0.0152774j 0.0178359+0.0137494j -0.0232918+0.0193558j -0.00319042+0.0146033j -0.00518096-0.0299218j 0.0223213+0.0262381j -0.00867595+0.0378378j -0.00372685-0.00306238j -0.0199493+0.0228748j -0.0222623+0.0556089j 0.0185717-0.0193492j 0.0314325-0.0704488j 0.00178276+0.0103564j -0.0117628-0.00897003j 0.00102388-0.0149569j 0.000297763-0.00530751j 0.0588867+0.0306436j 0.0195725-0.0102358j 0.0180597+0.0146094j 0.0167002+0.0229437j -0.0233691+0.0215474j 
-0.00468576-0.00459201j -0.000486461+0.00064433j 0.000837987+0.00339185j 0.00209642-0.00185927j -0.00701581+0.000760567j 0.0249958+0.00457331j 0.00217033-0.0166105j 0.00130763-0.0132755j -0.0271791+0.0189068j -0.0124594-0.0111657j 0.00252539-0.018944j -0.00721639-0.0227364j -0.0271685+0.00793503j 0.000508222+0.0165931j -0.0606932+0.0254552j -0.0109606+0.0104503j -0.0356337-0.0285822j -0.0509207+0.0470065j 0.0178293-0.0175592j 0.00168626-0.0326324j 0.00184125+0.0217134j 0.0305658-0.0683284j 0.0126206-0.0303986j 0.00816797-0.0101397j -0.0227833+0.0456204j -0.0117121-0.000101222j -0.013697+0.0162805j 0.024533+0.0153292j 0.000596151+0.00387416j -0.0499349-0.0194645j 0.0228231+0.000707416j 0.00231565+0.0124096j -0.0471631-0.0127574j -0.00204407-0.0411206j 
