0.0544303+0.0449248j -0.017929+8.81557e-05j 0.0025487+0.0263156j -0.0505506-0.00165005j 0.0659334+0.0265558j 0.043539+0.0326613j -0.0278115+0.0435289j 0.0236395-0.0609575j 0.0749509+0.00808329j -0.0513028+0.010242j 0.00346006-0.0196882j -0.083773-0.0405048j 0.0150931-9.46163e-05j 0.00988902-0.00379063j -0.0506298+0.0778546j -0.0152176+0.0473227j 0.00403067+0.0179538j -0.018814-0.0284353j 0.000696281-0.0174477j 0.0123306-0.0214643j 0.0636463+0.0180855j -0.0531159+0.0393624j -0.0539988+0.0195777j 0.0135574+0.00101082j 0.00504683-0.0734409j -0.0145355+0.0320163j -0.0094356-0.0155096j -0.0506364-0.0103709j -0.0385307-0.0351627j 0.0345022+0.00835306j 0.0742058+0.0493243j -0.0459848-0.0531371j -0.00371808-0.0528937j 0.047335-0.00363988j -0.0885384+0.0486549j -0.0517864+0.0512473j -0.0650966+0.003112j 0.0537274-0.0270207j -0.0639576-0.0134258j -0.0334806+0.0434168j 0.00399178-0.0598352j 0.0278006+0.0915049j -0.0144605-0.0373599j 0.0359678+0.00548949j 0.0909289+0.0512426j 0.10313-0.0237269j -0.0100272-0.00890721j -0.0574506+0.0296342j 0.0445323+0.0292018j -0.0156109-0.0269027j 0.0344166+0.0368416j -0.0373174+0.0359755j 0.0376373-0.0129565j 0.0398456-0.0384065j -0.0174717-0.0600465j 0.0178298-0.0344411j -0.0997344+0.0380994j 0.0216889+0.0125506j 0.0879492+0.095786j -0.0504345-0.0114242j -0.0489535-0.0934528j 0.00861119+0.0959271j -0.0182833+0.0850519j 0.023719-0.0447583j 0.00366415-0.00100367j 0.00516811-0.00768337j 0.0238321+0.0206479j 0.0762167+0.112017j 0.0671447-0.085284j -0.269533-0.22144j 
-0.0743959+0.04231j -0.0579255-0.0288938j 0.016952-0.0969968j 0.0493156+0.00778054j -0.0400086-0.0348797j 0.0842413+0.0102891j -0.0417336-0.0187493j 0.0431495+0.116477j -0.0654362-0.0913058j 0.0183321-0.073331j -0.0950006+0.129459j 0.0311487+0.0456886j 0.0274225-0.066266j -0.0326815-0.0578638j 0.0412255-0.165627j 0.0531633-0.0755313j -0.0481706-0.0838251j -0.0173082+0.0143062j 0.113324+0.046302j -0.121337+0.00266744j 0.0469611+0.0649526j -0.00689825-0.0196761j 0.164224+0.0198694j -0.0860175-0.0487149j 0.0171853-0.0466718j -0.0146215+0.0185959j -0.0147525-0.0309535j 0.0339905+0.0360676j 0.065187-0.0486834j -0.0260336+0.0584817j 0.0305515+0.0295289j 0.120432+0.0466429j 0.0678751-0.0264121j -0.0606058+0.0325189j 0.0367105+0.162479j -0.0529562-0.0903262j 0.088086+0.0299548j 0.0241829+0.100452j -0.0260763+0.0574589j 0.0516733+0.0294607j 0.0763027+0.0365437j -0.00433418-0.0927924j -0.0386598-0.0164969j 0.0827242+0.0311693j -0.0489266-0.12368j -0.0597786-0.0396956j 0.0276786+0.0495949j 0.0419635-0.0192256j -0.0200244+0.0116485j 0.0258368+0.0886833j -0.00439399+0.0142682j -0.048279+0.0599251j -0.0961091+0.0839531j 0.0355913+0.0796709j 0.0657439-0.0312963j -0.0312124-0.0364515j 0.134518-0.0333867j 0.065282-0.0146671j 0.0945875+0.0263725j 0.0390665-0.0170995j 0.0146174+0.0410951j 0.0663052+0.00223963j -0.0331839-0.0294481j -0.00343826+0.0155216j 0.0533123+0.000648468j 0.097531-0.00651538j -0.00889997+0.0121258j -0.0999814+0.0199248j -0.0748714-0.0565369j 0.0196157+0.00548243j 
-0.131967+0.100328j -0.047786-0.0772736j -0.167937-0.082129j 0.0036709-0.19284j 0.0590546+0.00603734j 0.170086-0.0442692j -0.0654916+0.0684856j -0.0120526+0.0007486j 0.0720288+0.0314931j 0.0723545-0.0951176j -0.0518541-0.0083179j -0.0418572+0.0604877j 0.153084-0.103508j -0.0122102+0.00214953j -0.0591467+0.030434j 0.104493+0.0158616j -0.0403827+0.130859j -0.119965-0.0453767j -0.0114746-0.00894705j -0.0110826-0.045829j 0.0742765+0.0783934j -0.0603192+0.134143j 0.00511682+0.0548172j -0.00363865+0.037561j -0.111252+0.0237228j 0.0574456+0.0679039j -0.0515419+0.0607912j -0.0606483-0.00822916j -0.140561-0.160235j -0.0960295+0.0295905j -0.00196551+0.0457702j -0.00258045+0.0549363j 0.0481981-0.0754117j 0.0553697-0.00663264j -0.0176189+0.184342j -0.0893828-0.00806742j -0.0231081+0.0806835j -0.0110629-0.0507066j -0.0193766-0.0182874j -0.0737326-0.0356537j -0.138576+0.0018816j 0.0562268+0.0324254j 0.10004+0.0807079j 0.0911857-0.0322083j 0.010607-0.0212407j 0.156901+0.0103958j 0.00997006-0.0479847j 0.0541717+0.0639447j -0.0582305+0.0224687j 0.0389987-0.0699987j -0.0914384-0.040632j -0.0147813+0.0736514j -0.0156481+0.0504361j -0.0603672+0.0540722j -0.0215006-0.0422466j 0.0474343-0.0898869j -0.024425+0.0073698j -0.032866+0.0713122j -0.0486023-0.0266476j -0.0355033-0.00838539j -0.0311063+0.0622854j -0.0156511+0.0148425j 0.0654048+0.0528272j 0.0111641+0.0315938j 0.0492081-0.00633012j -0.0160847-0.0402702j -0.0302543-0.00040993j -0.0176814+0.0109941j 0.00124716-0.0420094j 0.000381528-0.0579387j 
0.0931644-0.0285321j 0.0515606-0.040882j -0.105697+0.142338j -0.0367688-0.0704021j 0.0235347-0.000537375j 0.0962278-0.084564j 0.0170544+0.0266045j -0.0266999+0.0187556j -0.19872-0.130681j -0.150079-0.0558764j -0.170099+0.0461749j -0.128094-0.00905199j -0.0644049+0.0244558j -0.0650813-0.11887j -0.0536505-0.0590272j -0.00139115+0.0952312j -0.00486886+0.00922473j -0.102846-0.0692548j -0.030321+0.104597j -0.0449152+0.0388267j -0.0410294+0.0393282j -0.181195-0.0646123j 0.0504076-0.0948184j -0.22996-0.129914j 0.100684-0.117777j 0.0494396-0.0888658j -0.0194799-0.0412476j -0.0678896+0.0369802j 0.101584-0.0307744j 0.0474835+0.0540529j -0.0425457+0.0753851j -0.104678-0.0703791j 0.0214069-0.0805563j 0.0664364-0.040063j -0.0098846-0.0192058j 0.0141772-0.0204958j -0.122828-8.86038e-05j 0.0318249-0.0862979j 0.0759183-0.0477288j -0.0981644+0.0480375j -0.0497294+0.0579887j -0.00624359+0.0729624j -0.0426175-0.00318467j -0.0472645-0.0097389j 0.0539112+0.0600416j 0.0499095-0.109192j -0.037269+0.175433j -0.0251585+0.0234609j -0.0955568-0.0432797j 0.0496275+0.109757j 0.0888743-0.00980306j 0.0184044-0.103158j 0.0337809-0.108561j 0.0366917+0.0512956j 0.000396994-0.11781j -0.0372934-0.026449j 0.0667326+0.0311534j -0.00260111-0.0289687j 0.0589237-0.0462514j -0.0790251+0.0422862j -0.0249129-0.0341623j -0.0377939-0.00255812j -0.0204002+0.0387377j -0.0363227-0.0378312j 0.0379118-0.0407702j 0.0905475-0.00952167j -0.00983203-0.0166103j 0.0383171-0.00903842j 0.0505807+0.0159701j -0.0147222-0.0318619j 
-0.0109931+0.0204526j -0.0167755-0.0153377j 0.0116515+0.00640755j -0.0221652-0.0069617j -0.00381444+0.0117623j 0.0305059+0.0314891j -0.0616724+0.046257j 0.00919131-0.0345615j 0.0372091+0.0249554j 0.0198875-0.0498446j -0.0395861+0.00982169j 0.00128734-0.0180493j 0.0416121-0.0186131j 0.0132323+0.034963j -0.000398277+0.02945j 0.00521922-0.00105331j -0.0418511-0.00831956j -0.0107625+0.0156865j -0.00941536+0.0064573j -0.0418323+0.0243537j 0.0130028-0.0623369j -0.0241388+0.0242964j 0.0167319+0.031699j 0.0274686+0.0144201j 0.0669686+0.04457j -0.000939634-0.0178187j -0.0128577+0.0913403j 0.0112218-0.0136281j 0.0346502+0.0259485j -0.00688023-0.0266022j -0.0740387+0.0276594j -0.00290467-0.0824676j -0.0296683-0.019403j -0.06196-0.00151759j -0.0453542-0.0430426j 0.0130811-0.0517397j -0.135019+0.0532551j -0.0199561-0.0380849j -0.0302733-0.0714003j 0.0845805-0.0337822j -0.0521496-0.0272149j 0.0317805+0.0201835j -0.0238684+0.0610316j 0.11347+0.053251j -0.00915346+0.0316388j 0.0267184+0.0200283j 0.0186918-0.0300487j 0.0210561-0.0366126j 0.0077658+0.0167218j 0.0135561+0.0276114j -0.00166792+0.083757j -0.0106021+0.0558233j 0.0302805-0.0528444j 0.0406216+0.0159453j 0.0793446+0.0149953j 0.0478052-0.0240015j -0.0293112-0.0284477j -0.0189009+0.067678j -0.0622533+0.0191439j -0.0383391-0.0675907j -0.0907112+0.0220792j -0.0491708-0.0516282j -0.0540123-0.101094j -0.0213093-0.0389557j -0.0107831+0.0209717j -0.0359141-0.000652163j 0.0421368+0.000770836j -0.000704429-0.0759545j -0.0981486-0.134332j -0.0194003+0.0268978j 
-0.0837842+0.0326903j -0.0265869-0.0353793j -0.059917-0.0312568j 0.0101371-0.105078j 0.0158655+0.0428873j 0.0864212-0.0709913j -0.0058167-0.011578j -0.0178252-0.00125033j -0.0740323+0.0332871j 0.0612054-0.0984188j -0.0761848-0.00925153j 0.0115344+0.0429289j -0.00650242-0.115572j 0.0251414+0.0211991j 0.121027-0.0415308j 0.0357165-0.00206196j 0.00124401+0.0504353j -0.0751891-0.0038515j -0.0179485+0.0299942j -0.0148109-0.030172j -0.0164706+0.0566884j 0.0451146+0.00703484j 0.0423974-0.0339675j -0.0168092+0.0236948j -0.0892383+0.048345j 0.0884228+0.00864879j -0.0322176+0.0280246j 0.0251263-0.000792337j 0.00521545-0.0309575j -0.0760495-0.0524531j -0.0440494-0.0458048j -0.010459+0.0314547j -0.0148597-0.057688j -0.00572812+0.00558377j -0.0154289-0.0196799j 0.0568782+0.01298j -0.0141293-0.016292j -0.00726084-0.00421261j -0.00468522-0.00255774j 0.0147638+0.0107515j -0.0150685+0.0333739j 0.00377642+0.00985023j 0.00517796+0.0813463j -0.0282568+0.044119j 0.0236385+0.0110462j 0.0183491+0.0941223j 0.0122064+0.0835829j -0.0220663-0.0306325j -0.0542001+0.0261604j 0.0432272+0.00751975j -0.102653-0.00108515j 0.0531962-0.0507951j -0.040735-0.0935585j -0.0829693+0.0301849j -0.0167313+0.0381884j -0.00758166-0.0526625j 0.0501298+0.0579038j -0.0456057+0.0296386j -0.0586486-0.0881706j -0.0312924+0.0593344j -0.0047014+0.0829575j 0.002872-0.0420607j 0.0685862-0.0211745j -0.0277885+0.000867083j 0.0213068-0.0107793j 0.00248078-0.0251568j 0.0311909+0.0231688j 0.049945-0.0202066j 0.0163604+0.050635j 0.164207+0.0867012j 
-0.0340711+0.055344j 0.0412966+0.00234554j -0.0427173+0.0218088j 0.00944864-0.00761795j 0.0524449-0.0208617j 0.0648967-0.0175862j 0.0369164+0.0848091j 0.0501289-0.0187387j 0.00757738-0.00761124j 0.050396+0.0273239j 0.0488259-0.0456374j 0.00271745+0.0619891j -0.0380444+0.0203663j 0.00198276+0.051074j -0.0278903+0.00808502j 0.0320059-0.0670531j -0.0355963-0.0364225j -0.0109717+0.0314152j 0.0492652-0.0473292j 0.0456305-0.0203109j 0.138681+0.0345769j 0.0243327+0.0245777j -0.0104119+0.0137576j -0.0511993-0.00991189j -0.06613+0.00509794j 0.00591088+0.0548571j 0.0113488-0.00463875j 0.073376-0.0341247j 0.0317193-0.0386375j -0.0330874-0.0181718j 0.00252448-0.0381926j 0.0579978+0.0584287j -0.0412881-0.0455816j -0.0493513-0.0172711j -0.0902064+0.0231732j -0.00381474-0.00948083j 0.0320704-0.0256952j 0.11383-0.0115899j 0.0139879+0.028593j -0.0250003+0.0426294j 0.030336-0.0216417j -0.058164-0.0371524j -0.0420315+0.0278632j 0.0196841-0.0682939j 0.00664355+0.0500332j 0.0112765-0.0806502j -0.00827503+0.0405831j 0.0549622+0.0797337j -0.0011708+0.0349722j 0.0169208+0.0613038j -0.0451726+0.0052894j -0.022584-0.00258109j -0.00936857+0.049659j 0.0221051-0.0152937j -0.0392154-0.0286211j 0.0427441+0.0950222j -0.0727751-0.0530357j 0.00923664+0.00361655j 0.0765391-0.080981j -0.00402135+0.0476184j 0.00836387-0.00974949j -0.0147204-0.0230897j -0.0769296+0.0331335j 0.0271888+0.0371204j 0.00167792+0.0225848j 0.000706697+0.04526j 0.0366+0.0319797j -0.0486116+0.051402j 0.0689318+0.0410336j -0.0989187-0.0596942j 
-0.0237522-0.0155286j 0.00140462+0.0144732j -0.00215567+0.0180573j -0.0425366-0.0196822j 0.0142483+0.0288334j 0.0370742+0.0206765j -0.0247197+0.0170733j 0.0346429+0.0231167j 0.0401363+0.0248413j 0.00392726-0.0265076j 0.00245665-0.0270001j -0.0154995-0.0388854j -0.0202984+0.022961j -0.0164389-0.0128022j 0.0147+0.0245645j 0.00416727-0.00819727j 0.0141145+0.0315971j -0.025148-0.00899348j -0.0379687+0.0466922j -0.0377254+0.019181j -0.000103757-0.0571993j -0.0364751+0.00691109j -0.0189565+0.0139509j 0.053961-0.0131668j 0.0274509-0.0502953j -0.036512-0.00337993j 0.0190941+0.0444776j 0.0165323-0.00241332j -0.00156055+0.0392798j -0.0028433-0.0513454j 0.01065-0.00597924j 0.0281778-0.0747008j -0.018358-0.00059791j -0.00724617+0.0270338j -0.0362422+0.017465j 0.0537675+0.000469983j 0.0162666+0.0416959j -0.0103393-0.00981154j -0.0495353+0.0418741j 0.0555439-0.00331651j -0.0439485+0.0128897j -0.00481067+0.0262522j 0.0473458-0.0178841j 0.0122062+0.00837933j 0.112415+0.00898071j 0.00900419+0.0227231j -0.0136793-0.0145021j -0.0701435-0.00705831j 0.0408654+0.00637091j -0.0283243-0.0117528j 0.0277175+0.023808j -0.0125796+0.0509198j -0.00278844+0.00535158j 0.0207027+0.0232159j -0.0133616+0.0228038j -0.0206639+0.0202706j -0.0273953-0.0272936j 0.039226-0.0181783j 0.0424787+0.0494726j -0.0106746-0.0580438j -0.043525-0.0448944j 0.0797129+0.0595547j -0.00452823-0.00534647j -0.00112833+0.00278685j -0.0314369-0.0143379j 0.0167775+0.014044j 0.0261141-0.0448673j -0.0378911-0.0153089j 0.0706749-0.0078923j -0.0488092-0.0589564j 
0.00964624-0.00976805j -0.0108476+0.0263525j 0.0116707+0.0129169j -0.031236-0.0239535j -0.0164771-0.00140115j -0.025819-0.0571283j 0.0176514+0.0377223j 0.0168267-0.00822085j 0.00830693+0.0477247j -0.0152613-0.00960953j 0.0744255+0.0261951j -0.0477427-0.00805498j 0.0171435-0.0562213j -0.0691319+0.0268463j -0.0153533-0.0162578j 0.0125138+0.015274j -0.0074222+0.0308591j -0.0205768+0.00307266j -0.0180828+0.00956414j -0.0374942-0.0152889j 0.0297754-0.00117976j -0.0312609-0.00770372j -0.0234064+0.00149914j 0.0511465-0.0556388j 0.148547-0.00973607j 0.0214614-0.00230006j -0.0804724+0.0259533j 0.00946839+0.0063214j 0.00538181+0.00594098j 0.0128509-0.0192263j -0.0446583-0.032895j 0.0509261-0.0188652j 0.13373+0.0474071j -0.0506703-0.0320491j 0.0817655+0.0532298j 0.0173173+0.0577448j -0.02123-0.0639278j -0.00734658-0.0472661j 0.0416998+0.0113926j -0.0362719+0.0948897j 0.0203324-0.0163885j 0.0468379-0.0210918j 0.00732403-0.0496031j -0.0284193-0.00267385j -0.157874-0.103446j -0.0383647+0.0510076j -0.063754-0.0564523j 0.0156448-0.0265212j -0.0303207-0.0160144j -0.015351-0.00020315j 0.00063121-0.00898001j 0.0146817+0.0148386j 0.0204655+0.0314973j 0.0149919+0.0243092j 0.00480508+0.0340764j -0.0261865-0.0187723j 0.0199448+0.00355098j -0.0389622+0.0561171j -0.065547-0.0029413j -0.0331998+0.0529574j 0.110454-0.0358388j 9.61404e-05+0.0556999j 0.0610616+0.075053j -0.0070161+0.00922073j -0.00604793-0.00261622j -0.0177652-0.018843j 0.0348865-0.151382j 0.0431762+0.0577902j -0.0122008+0.0411094j 0.0756147+0.0641711j 
-0.0219892+0.00306651j 0.0110637+0.0068348j 0.0253933+0.0529181j 0.0307752-0.0176808j 0.0515263+0.0550579j 0.0843742-0.00677275j 0.0914557-0.0303939j 0.00781089+0.00265252j -0.0261894-0.0363689j 0.0469387+0.017568j 0.0262087+0.0105326j -0.046877-0.0113081j -0.0383621+0.0262373j 0.0230084+0.0516824j -0.00465067+0.0129981j -0.0569871+0.0359022j -0.0457397-0.0243727j 0.00360999+0.0440301j 0.0395787-0.0546953j 0.0492273-0.0299943j -0.0115277-0.0258781j 0.0142078+0.0645195j 0.00757497-0.0456337j 0.0231742+0.0293483j 0.0150002-0.0221376j -0.0542539-0.0078147j 0.0417775+0.0176094j 0.0136476-0.0651471j -0.0294674+0.0213467j -0.0929521-0.0883276j 0.0496054+0.00124801j -0.0696187-0.0270059j 0.00639284-0.00532653j -0.0468535-0.0411298j -0.0266571+0.0118112j 0.0785892-0.103175j 0.017846-0.0345501j 0.0568015-2.9494e-05j -0.0383912-0.0449574j 0.0746376+0.0198337j -0.0815451+0.0645108j -0.0756408-0.0299106j -0.0292295+0.0621132j -0.0110357+0.0883338j -0.0149348+0.0237924j 0.00459051-0.0255373j 0.0184523+0.0368655j -0.033318+0.00994565j 0.0111092+0.0219533j 0.0310671+0.0318787j 0.0436322-0.0335884j 0.0555419-0.062498j -0.0239349-0.0349792j 0.0181558-0.0572519j 0.00862959+0.179287j 0.0176394+0.0388062j -0.0973714-0.00802608j -0.0338394-0.067328j 0.00853441-0.107402j -0.0118697+0.14588j -0.0352999+0.0328037j -0.0478644-0.114923j -0.0575389-0.123144j 0.0286413+0.0245612j -0.121981+0.00368326j -0.00395852+0.0547982j 0.00496054+0.0437623j -0.0124188-0.0198827j 0.00827795+0.0703944j 0.079148+0.103674j 
0.0592953-0.00792842j 0.0234754+0.0324251j 0.0782214-0.00580053j -0.0203647+0.0469228j 0.00309577+0.0260493j -0.0357717+0.00450686j -0.0638309-0.0674735j 0.048351-0.0131061j 0.0154008+0.0420818j -0.0489581+0.0199034j 0.0419587-0.00730978j -0.00538305+0.0294379j -0.0264266-0.0326013j 0.0279349-0.0271318j 0.0151066+0.0281833j -0.0145088-0.0265952j -0.0227474-0.0500662j 0.0423366-0.00899074j 0.0373726-0.0885124j 0.0194903-0.0540195j 0.0295767+0.0459973j 0.0333941-0.023227j -0.0412593-0.00456831j 0.0417843-0.00216372j 0.0428838+0.0104357j 0.00297077+0.0103086j 0.0175229-0.00420679j -0.00202626+0.0300879j 0.0244004-0.0246786j 0.0540621-0.0207501j 0.0224771-0.0715419j 0.0130922-0.0174106j 0.0408982+0.0050347j 0.0674612-0.0328832j -0.0215953+0.0533062j -0.0170201-0.00420136j 0.0294712-0.026883j -0.011449+0.00762089j -0.052421+0.0248777j -0.0896904+0.0130228j -0.0735849+0.0291821j 0.0200038-0.0161445j 0.0377887-0.0135257j 0.0265608-0.08135j -0.0261336+0.00786069j -0.0187416-0.0406224j 0.0130223+0.00267746j 0.0510347+0.0177488j 0.0367975+0.0608767j 0.027487+0.000380102j 0.00469998+0.00100146j -0.00248898-0.0378098j -0.00770439-0.0575272j -0.0395527+0.0339752j 0.046198-0.00785445j -0.0522628-0.024899j -0.0468788+0.0786824j 0.00111708+0.000369673j -0.000264805-0.0705646j 0.0190078-0.0540338j -0.00871512-0.0305301j 0.0150986-0.0225734j -0.0278995+0.0614015j 0.0051001+0.0038812j -0.0275859+0.000362531j 0.0110169-0.0291475j 0.0155053-0.0244012j 0.000749046+0.0110906j 0.00819948+0.0207225j -0.0606684-0.0895945j 
0.0134017+0.0222765j -0.00631975-0.0369583j 0.00299957+0.0102837j 0.0664201-0.00151182j -0.0370001-0.00773919j -0.0201958+0.0265972j -0.00982716-0.0524754j -0.0345605-0.0131565j 0.00799861-0.0614716j -0.0709506+0.00151817j 0.0244697+0.0065799j -0.0203983-0.0261375j -0.0041306+0.052917j 0.0676675+0.0209851j -0.0632381-0.0426288j -0.00150331+0.0767794j -0.0406104+0.0320692j -0.0557218-0.00376586j -0.0856801+0.0419909j 0.0278504-0.00873833j 0.112383-0.0158713j -0.0128792-0.0671411j -0.0273631+0.0668231j -0.061095+0.10265j -0.0556947+0.0130706j 0.00249823+0.0187176j 0.0243709+0.00968829j -0.0398868-0.0343723j -0.0383388-0.0321267j 0.0395143+0.0352298j -0.00595314+0.0590571j -0.0608061+0.0962787j 0.0902234+0.00636636j 0.0940408+0.0314193j 0.137013-0.0156308j -0.102382+0.043202j 0.0604492+0.00890099j -0.0647599-0.0353379j 0.0650599-0.0769279j -0.028576+0.00822186j -0.0796421+0.0346044j -0.024551+0.0400648j 0.0469063+0.0424362j -0.0421367-0.00944824j -0.0421409-0.0458141j -0.00748729+0.0321324j 0.0535572-0.0481376j 0.016526+0.0393616j 0.0715397-0.0656872j -0.0143791+0.018415j 0.0295797+0.01955j 0.0564422-0.134499j 0.0286853+0.0259954j -0.00917771-0.0186344j -0.0100278-0.0349669j -0.103574+0.00630627j -0.0314161-0.0508236j 0.0143084+0.0115053j 0.00663677+0.0846414j 0.0473735-0.0098664j 0.0137368+0.118804j -0.000505061+0.0800331j 0.0845414+0.00539668j -0.0018306-0.0252411j 0.239071+0.0154665j -0.00794541+0.00773653j -0.0537955+0.0221978j 0.0320289-0.00220235j -0.00539613-0.0170756j 0.049462+0.0337665j 
-0.0139464-0.0132758j 0.00965545+0.0473896j 0.0102205+0.0100146j -0.0646137+0.0336682j -0.0274314+0.0447908j -0.00378762+0.0366836j 0.0970312-0.0549403j 0.0152215+0.00649456j -0.0075783-0.0140072j 0.078172+0.0834271j 0.0458842-0.051214j 0.00189195+0.0144771j -0.0254181-0.0438344j 0.0186975+0.0127653j -0.00766191+0.0874785j 0.0301879-0.00718021j 0.00659102-0.0351268j 0.0546862+0.0167184j 0.0853952-0.100956j 0.0507083-0.0586283j 0.0605764-0.0169296j -0.01949+0.000808074j 0.00540996-0.0712177j -0.0258402-0.123045j 0.113277+0.0170301j 0.0418817-0.0331258j -0.0829522+0.0409998j 0.0303636-0.0963064j 0.0315687-0.0191697j 0.0563913-0.114529j -0.0146859+0.0274882j -0.0110754+0.0124453j 0.0332333+0.14008j 0.0811824-0.0236797j -0.00578647+0.142136j 0.0698359-0.0653464j 0.0306422-0.00333048j 0.0145862+0.086213j 0.0452813+0.0681989j 0.00284686+0.00734837j -0.0517458+0.0151447j 0.0560622-0.068149j 0.0245314-0.0379379j 0.0191873-0.0300544j 0.023076-0.0456029j 0.00917135+0.0243481j -0.0701231-0.0523195j -0.0213275+0.137754j -0.0240487+0.0551933j 0.0676901-0.0484013j -0.00758133-0.027101j 0.0231515-0.0565271j -0.0497935-0.117562j 0.0294606-0.0051204j -0.050188+0.165953j 0.0282293+0.0358027j -0.0234752+0.10075j 0.0276379-0.0132242j 0.0164352-0.154474j 0.0421456+0.158778j 0.074053+0.0231201j 0.0436398-0.0425869j -0.00708246-0.00260306j 0.0208539+0.0752659j 0.075187+0.0129044j 0.00355297+0.00543244j -0.0239917-0.194887j -0.0318819+0.0281571j 0.0819092+0.220343j 0.0474986-0.0433475j 
0.00160024+0.00470905j 0.00403467-0.00400791j -0.0205906-0.032976j -0.0651555+0.00264961j -0.0219877+0.0127524j -0.0125095+0.00995874j -0.0232721+0.0717919j -0.00667483-0.0114483j -0.0306569+0.0120448j 0.0912752+0.0241132j 0.0186192-0.0633369j 0.0704721+0.0441887j -0.051999+0.00950021j -0.0186725-0.0418127j 0.106963-0.0201496j -0.00778418-0.0289106j 0.0297734-0.05074j 0.0683509+0.0410744j -0.00286743+0.0247507j -0.0741257-0.000191095j -0.0219362+0.0633867j 0.0876202-0.0350997j 0.102317-0.0344988j -0.0555235-0.0564267j -0.0240509+0.0326003j 0.0758309+0.046854j -0.0163475-0.0527919j 0.0064752+0.04864j 0.0676359+0.0042316j 0.04718+0.0323051j -0.00277445-0.039454j 0.089264+0.0519496j -0.0886016-0.0689425j 0.046769+0.0856309j -0.040626+0.0228174j -0.0309328+0.0331127j 0.0187103+0.038334j 0.0324342+0.0901293j -0.0144039+0.108346j -0.0446568+0.0557734j 0.133681-0.0221539j 0.00646156+0.0006835j -0.0710961-0.0104991j -0.055796-0.066867j 0.107353+0.0897149j 0.0368601-0.020831j 0.0751187+0.0939628j -0.0712133+0.0851445j -0.00366968+0.0436148j 0.0373582-0.010147j -0.0365065+0.0544934j -0.00727428+0.055811j -0.0136085-0.0537579j 0.0328496-0.0120783j -0.0482367-0.0679803j 0.0726702-0.0398064j 0.0553171+0.0994145j 0.0648873-0.0302192j 0.0305433-0.0290664j 0.0779042+0.0214005j -0.0264475-0.0172839j 0.040711+0.0999179j 0.0670234+0.0651184j 0.0499614-0.00607329j 0.0756341-0.0118979j -0.0263616-0.0350723j 0.0479926+0.235548j 0.032191+0.0351034j 0.0828875+0.0897422j -0.030627-0.120531j 
-0.0240149+0.0210391j -0.0344445-0.00693818j 0.0273718+0.0192879j -0.00766001+0.00677811j -0.047795+0.0324045j 0.0435309+0.0609952j 0.115155+0.127772j 0.0212644-0.0349823j 0.0177374-0.0344521j 0.0647365-0.0657159j -0.0382457+0.00394557j 0.0152778-0.00151414j 0.0228009-0.0232679j 0.0325205+0.0420147j -0.0143293-0.0332988j -0.041307-0.022911j -0.0337484-0.0327475j 0.0147281-0.0192742j 0.0742233-0.00250747j -0.0222513+0.022801j 0.0473817-0.0573293j 0.0367729-0.0343928j 0.0551591+0.0537081j 0.0190806-0.0370217j -0.0377472+0.0213987j 0.0230967-0.0275099j -0.0376038+0.064544j 0.00260667-0.0661115j 0.0357072-0.0029396j -0.0552892-0.0130819j -0.0662694+0.0211408j 0.107324+0.0653935j -0.0506039-0.055785j -0.114248+0.0444614j -0.0668982-0.0121724j 0.149385+0.0187437j -0.0420794+0.0808461j -0.0493098-0.0219237j -0.00204426+0.0263404j 0.142173-0.0306446j 0.0425468+0.00905871j -0.0532056+0.000625908j -0.0364602+0.0446858j -0.0308072+0.0521963j 0.0882541+0.0472689j 0.0260638+0.0190512j -0.0084296+0.0319516j 0.00199874+0.0620468j -0.0680744+0.0174237j -0.0102144+0.0467116j -0.0745223+0.0282479j 0.0104275+0.012856j -0.0316492+0.0348358j 0.0659914-0.0128202j -0.0530894+0.00393391j 0.0856594+0.0347274j 0.0301347+0.000564012j 0.0251595+0.0306101j -0.0121587+0.0824393j -0.0318706+0.124143j 0.00890878-0.0489584j 0.0173495-0.0950062j -0.02847-0.0217296j -0.0236119-0.0375075j 0.151805+0.0333299j -0.0121889+0.0281506j 0.107206-0.0439917j 0.00234191-0.0647413j 0.00570666-0.00819232j 0.0203991-0.0211967j 
