-0.0512479+0.0879501j -0.0960342-0.0604307j 0.493284-0.120747j -0.0929232-0.682943j -0.481283+0.0145015j 0.0987384+0.076528j 0.0675119-0.073396j 0.0723541-0.112677j 0.0176719-0.0268951j 0.00902889+0.00561932j -0.0680685-0.0826892j -0.00449197+0.00780355j -0.0695132-0.0499375j 0.0456626+0.00129936j -0.0616189+0.0340991j -0.0109082-0.0148271j -0.0298795+0.00312788j 0.00686414-0.0224846j -0.020062-0.0149033j -0.000862489-0.0136354j 0.00763251+0.0322933j -0.0373334-0.00495962j -0.0105566+0.0356803j -0.000690499+0.0242136j 0.0109448+0.00435557j -0.00848777-0.00470033j -0.005818+0.00269196j 0.0128904-0.00402888j -0.0212148+0.0191413j -0.0372626-0.0224142j -8.43803e-05+0.00753529j 0.0164878-0.0279146j -0.0186088+0.00237903j 0.0166035-0.0119774j -0.0112524-0.0169659j 0.00518239+0.00175488j 
-0.0213879-0.0114629j 0.00857968-0.0213415j -0.00453556-0.0201716j -0.00127345+0.00749449j -0.0152065-0.0214249j 0.0125623+0.00643134j 0.0223078+0.00772408j 0.00144328-0.00208611j -0.0070196+0.00945052j -0.023485+0.0132578j 0.00859551+0.0147428j -0.0133769-0.00333515j 0.00119696-0.00586287j 0.0149698-0.0140715j 0.00996621+0.0113353j -0.0230196+0.0259909j 0.0307241-0.00504638j -0.00289968+0.0139941j -0.00552092+0.00859594j -0.000748474-0.00189841j -0.0176015+0.0374229j -0.0044936-0.00798603j -5.01615e-05-0.002547j -0.00519395+0.00916842j 0.00599766-0.0212065j 0.000729762-0.0463451j -0.0285033+0.0176023j 0.00563236-0.0106211j 0.00472779-0.00994878j -1.63594e-05+0.0157265j -0.0166216+0.00473266j -0.00916173-0.0225662j -0.0159806-0.0151964j -0.00809831+0.0284096j 0.0186296+0.0345058j 0.045537+0.0319963j 
0.0222967-0.010645j 0.00783584+0.0221918j -0.000489574-0.000753117j -0.000813317+0.0122779j -0.012466-0.00715283j 0.00465374+0.00558535j -0.00932002-0.00211845j -0.000912841-0.00502367j -0.00151235-0.00786994j -0.00088506+0.00318773j 0.00450933-0.000627362j -0.00243031+0.011091j 0.0078529-0.00559212j 0.0070817-0.000867212j -0.00227036+0.00526518j 0.00990306+0.0162346j 0.00148087-0.015477j -0.0169771-0.0156192j 0.0039216+0.00203268j 0.00897838+0.0341327j -0.00686357+0.00250328j 0.0100638-0.0151232j -0.00306094-0.00386348j 0.0170938+0.00475212j 0.0270852-0.0222119j 0.00718902-0.0340778j -0.0439279+0.0144559j 0.0134563-0.0172998j 0.000552425+0.0051297j 0.00291597+0.0184373j -0.0116424+0.00497916j 0.0168373-0.00508238j -0.00837887-0.0167514j -0.0106748-0.0182235j -0.00380533+0.0365975j -0.000543798+0.0567787j 
-0.00111396+0.000819545j 0.00175705+0.00136816j -0.000693746+0.0219583j -0.000874908-0.00463656j 0.00194051+0.0213229j -0.00976888-0.00660103j 0.0289785+0.018884j -0.0170829-0.0268299j -0.0329931+0.0287629j -0.0574163+0.00494288j 0.0172999+0.0243669j -0.0573598-0.000579846j -0.0204379-0.0303182j 0.040553-0.0229484j 0.0188837-0.00256515j 0.00458934+0.0006042j -0.0113054-0.00208124j -0.00441829+0.0020162j 0.0156599-0.000537055j 0.00195942+0.00794655j 0.00629828-0.0103657j -0.00147608-0.0146949j -0.000355871+0.0173565j 0.0063294+0.000227029j 0.0106872-0.00304261j -0.00170866+0.00774589j 0.012243-0.00321443j 0.000769773+0.00536161j 0.00678349+0.0200903j -0.000431578-0.00208943j -0.00981899+0.00748164j 0.00894609+0.0155802j 0.0238716-0.00706798j 0.00147912+0.00301614j -0.00973855+0.000722287j 0.00145081+0.00353884j 
-0.00497375+0.0251636j -0.0258167-0.00411763j -0.0122105-0.00504127j 0.00175091-0.00476555j 0.00252647-0.00210748j 0.0195717+0.0167295j 0.0086966+0.0121024j -0.00198273+0.00945384j -0.00720708+0.0022317j 0.00801467+0.0178078j -0.00550238+0.0117065j -0.016682-0.00978586j 0.000616405+0.000849848j 0.00478233-0.00395924j -5.42151e-05+0.00515472j -0.0260865+0.0143924j 0.0194516+0.0181705j -0.00702556+0.0158434j 0.00103009+0.0107452j 0.00144932-0.00315013j -0.031968+0.0141843j -0.00746553-0.00746445j 0.00626708-0.000125795j -0.0239752-0.000986398j 0.0219479+0.000167192j 0.00598256-0.0112164j 0.00647957-0.0261064j -0.0438979+0.0116291j -0.00265583+0.000139306j -0.0153916-0.00231057j 0.0291878-0.0399437j -0.000866789-0.0139798j -0.00447894-0.00356281j -0.019338+0.0186224j 0.00360046+0.0131855j 0.023793+0.0160191j 
0.0133587+0.0168316j -0.0151363+0.0111321j 0.0164819-0.0134191j -0.00784287+0.0121291j 0.00453264-0.021555j -0.00380002-0.0157287j 0.0163572+0.00463743j 0.00302743-0.0064972j -0.00959364+0.00733845j -0.0273185-0.00592222j 0.00910801+0.00410953j -0.00793792-0.000703756j -0.00163276-0.0139014j 0.00756346-0.0076278j 0.0234592-0.000360366j -0.00955156-0.0136165j 0.0036198+0.00261467j 0.0163629+0.0252376j -0.0149958-0.00919581j -0.0010249-0.0194514j 0.0234955+0.0269682j -0.00375126+0.00493984j -0.0142731-0.00604586j 0.015684+0.00156039j -0.0439799-0.0111378j -0.0101539-0.000250923j -0.0280649+0.0369736j 0.0485864-0.0191745j 0.00889639-0.0173024j 0.015314-0.00687743j -0.0364236+0.0367693j -0.0219651-0.011309j 0.0024084+0.019684j 0.0139728+0.0274787j 0.0277088-0.0129916j 0.0226912-0.0369196j 
0.000415772-0.00335211j 0.00167731-0.000209093j 0.028304+0.00496416j -0.00484569+0.0207739j -0.00140937+0.000851762j 0.00348318+0.00498053j -0.00910643+0.00145431j 0.0187133+0.0128145j -0.0201436-0.0368381j 0.00432076+0.0415804j -0.0193996+0.0284648j -0.00522393+0.0415057j 0.0219236-0.0182142j 0.0172977-0.00147165j 0.00277496+0.000453915j -0.0010859+0.00452157j -0.00895736-0.00733336j -0.00901663-0.00299912j 0.0109926+0.0286829j -0.0114759-0.00125333j 0.0049222-0.00622091j 0.00661546+0.00421543j -0.0122176-0.00256932j -0.0109131+0.0233069j -0.0233855+0.00467374j -0.00215359-0.0115152j -0.0200813+0.00585214j -0.0114265-0.0191722j -0.013168+0.0116882j 0.000533599-0.00860077j 0.0141395-0.0152943j -0.00144922+0.00794647j 0.0155326-0.00269212j -0.00513903-0.00236994j -0.0111957-0.00218169j -0.00291964+0.00779224j 
-0.00325641+0.00119601j 0.00117588-0.00266816j -0.00289623+0.00448869j 0.00213996-0.0135628j 0.0160712+0.00954251j 0.00583688+0.0170125j -0.00667859-0.0134806j -0.00455259-0.00600343j 0.00633008+0.000527658j 0.0177454-0.0113777j 0.0259949-0.0205821j -0.00690935+0.00153425j 0.00762019-0.00329398j -0.0188786-0.0194919j 0.0207899+0.0145181j -0.00795712+0.0285325j 0.00830265+0.00361791j -0.0261174+0.00762398j -0.00553882-0.00212633j -0.0211893+0.0542832j 0.00127056+0.0363993j 0.019978-0.0693041j -0.0341274+0.013732j 0.0597997-0.0311378j 0.06018-0.0147211j -0.00658771-0.022974j -0.0274049+0.0102765j 0.0183841-0.0133997j -0.0109079+0.0078139j 0.0120988+0.00904779j -0.009591+0.00976725j 0.0135826+0.00953499j 0.00743195+0.06067j -0.0115624-0.00487869j 0.0179462+0.062505j 0.0191228+0.0406698j 
0.0136698-0.00231379j 0.00353013+0.0154074j -0.0360261-0.0123736j 0.0116151-0.0196823j -0.00159051-0.00128013j 0.0230807+0.0125147j 0.000535221+0.0153755j -0.00121583+0.0163185j -0.00644889-0.00573836j 0.00499401+0.0288775j -0.00849849+0.0103607j -0.0125807+0.00433865j 0.00834336-0.00238625j 0.00792026+0.00151313j 0.00798403+0.0109675j -0.0368136-0.0254027j 0.00839617+0.0481881j -0.0100087+0.0430784j -0.00203809-0.0145221j 0.00415893-0.0101385j -0.0381784+0.0114455j -0.0101442-0.000338534j 0.0253609+0.0055555j -0.033171-0.00974567j 0.0376206+0.0216848j 0.00696137+0.0166915j 0.0130314-0.0368924j -0.0290115+0.0197679j 0.00952566-0.00216389j -0.00903028-0.013591j 0.0117358-0.0266018j 0.00139989-0.0271196j -0.00678497+0.00130947j -0.0206627+0.0322611j 0.0183326+0.00191723j 0.0339829-0.00550869j 
-0.000717392+0.00440477j -0.000964864-0.0011087j 0.00362481-0.00975617j -0.0013013-0.0136649j 0.0224044-0.0111091j -0.0159856+0.00416412j 0.0095274-0.0102264j 0.0056602-0.0092358j -0.00327082+0.0035953j -0.0188982-0.0332052j 0.0109536+0.0247677j 0.000738232+0.0128494j -0.000815761+0.00621071j 0.0241954-0.0142127j -0.0308911+0.00680112j 0.0248708+0.0192259j 0.032724+0.0341234j -0.0462508-0.0641174j -0.00189602-0.00911064j -0.0693027-0.0141096j -0.0371786+0.0107651j 0.00810101-0.0198409j 0.0300914-0.0123718j -0.0453259+0.0209126j -0.0069367+0.0365265j 0.0105409-0.0102121j 0.02143-0.0289137j -0.0260283+0.0212424j -0.0287041-0.023507j -0.00242744+0.0206889j 0.0177749-0.0204231j 0.0132084+0.0384696j -0.0367808+0.0346971j -0.0119743-0.0287596j -0.0276768+0.0527211j -0.00903166+0.0451301j 
-0.000800114-0.00301398j 0.00134489-0.000499076j 0.00981811+0.0168248j -0.0097867+0.0116589j -0.0101869+0.00265933j 0.0159906-0.00768489j 0.00116799+0.0201861j 0.00509488+0.00254877j 0.00246632+0.005502j 0.0235355-0.0205353j 0.0192552-0.00500559j -0.00977935+0.00876111j 0.00787638+0.00948418j -0.0129947-0.00304777j 0.0152546+0.0384058j -0.0296005-0.139354j -0.00077646-0.0386253j -0.0617062+0.0487688j -0.0024437+0.000565201j -0.0589241-0.0553467j -0.0248208-0.0238147j -0.00561677+0.0489391j 0.00924513-0.00729215j -0.0192539+0.0195491j -0.00350167+0.0229762j -0.00225675+0.0186344j 0.00501341-0.0165977j -0.00588706+0.00341601j -0.0129191+0.0258698j 0.00898776-0.0188259j 0.00605396-0.00978087j 0.0241922-0.0345259j 0.0180008+0.000753862j -0.0253245+0.0268342j 0.0294651-0.0105261j 0.0293409-0.00821278j 
