0.00519516-0.00588373j 0.00645538-0.00703802j 0.0153216-0.0148898j 0.00327844+0.00562733j 0.00455797+0.0139444j 2.99494e-05+0.00186834j -0.00416557-0.0174528j -0.00535732-0.0595593j -0.00436052+0.00313903j -0.00198745-0.00366616j 0.0163891-0.000824822j 0.002636+0.00841944j -0.00353326-0.00171282j 0.0188976+0.00765772j 0.00405899+0.000487912j -0.000116603-0.00306316j 0.0071181-0.00646844j 0.00478288+0.000226392j 0.028856+0.0200578j -0.0194985+0.0051078j -0.0717303-0.147065j -0.177713-0.0136351j 
0.000329455-0.000490772j -0.00216722-0.0251155j -0.00414221+0.0384598j -0.00314766+0.00140642j -0.00223763-0.00269715j 0.000348602-0.00172354j 0.000789746+0.00510443j -0.00091813+0.0044777j 0.0048632+0.00375016j 0.00213732+0.00237109j -0.0123591-0.0174472j -0.0175725+0.0128351j 0.00890687+0.00554469j -0.00902776-0.0125873j 0.00402103-0.00608679j -0.0029314-0.00507983j 0.0146868-0.00756277j -0.000767904+0.00599207j 0.0249647+0.00591065j 0.0018456-0.0240536j -0.0088109-0.0038641j 0.00390086-0.00841976j 
-0.000274049-0.00151414j -0.0023965-0.0172752j -0.00745657+0.0294551j -0.00116527+7.47821e-05j -0.00116374+0.00437302j -0.00112972+0.00570149j -0.000201281-0.00624172j 0.000405952+0.000578508j -0.00162755-0.00470766j -0.00568216+0.00744739j -0.00243836-0.000110635j 0.00518047+0.00883641j 0.0258739+0.0325135j 0.0211111+0.0229349j 0.0453768-0.0308385j 0.0279319+0.0194843j -0.0264485+0.0258519j 0.010704-0.0312819j -0.0276105-0.00791588j -0.00786473+0.0241886j 0.00522481+0.00398845j -0.00505546+0.00576406j 
0.00465348+0.0179936j -0.00236148-0.00305221j 0.00148385-0.0206366j -0.0024494+0.00644044j -0.00175551+0.00621257j -2.4904e-05-0.000965148j 0.00079753-0.00540716j 0.0014594-0.00489089j 0.0016707-0.00210149j -0.00950046+0.0133982j 0.00396115+0.00651337j 0.013459-0.0165267j -0.00910466-0.00887682j 0.00341712-0.00191106j -0.0118391+0.00712034j -0.0124685-0.00782901j -0.00261448+0.00526402j -0.00822828+0.0106021j -0.0112168-0.00771182j -0.0123614+0.0145916j 0.00829614+0.000188347j -0.010136+0.00913914j 
-0.00595355-0.0284662j 0.00102581+0.0196771j -0.000150001+0.000149854j 0.000985472-0.00102984j 0.000504314+0.00768467j -0.000881084+0.00505351j 1.78066e-05-0.00297091j -0.000171496+0.0014058j -0.00361942-0.00350352j -0.00531358+0.00436515j 0.00878523+0.0223107j 0.0284621-0.0114944j 0.0109514+0.0324662j -0.0261374-0.0212657j 0.0302569-0.0190066j 0.0413326+0.0255261j 0.0188953-0.0236919j 0.0303431-0.0388288j -0.0065892+0.00514131j 0.00343025+0.00298739j 0.00594996+0.000781069j -0.00594874+0.00567943j 
0.00502014+0.0346024j 0.000189609-0.029403j 0.00160003+0.00180727j 0.00157407+0.00649104j -0.00122397+0.00479863j -0.000402878+0.00147985j -3.66333e-05-0.00185781j 0.00116015+0.00106766j -0.00380018-0.00690705j -0.00820075+0.0033728j 0.00470266+0.0224223j 0.0247977-0.00453526j 0.00223906+0.00749924j -0.017771-0.00973895j 0.00310461-0.00476344j -0.00521775-0.00776636j 0.00521049-0.0107955j -0.00625124+0.00365044j -0.0192972-0.0119548j -0.0115777+0.0194649j 0.00195246+0.00400845j -0.00119925+0.00152263j 
0.00138804-0.0220832j 0.00642534-0.0159087j -0.00233463+0.00550407j 0.00600658-0.00334062j 0.00108558-0.00412513j 0.000931555-0.0018613j 6.97005e-05-0.000163036j -0.000598187+0.00132928j -0.00850656-0.00941757j -0.00505681-0.00165387j -0.00582082-0.0145116j -0.0199586+0.00521637j -0.0114117-0.029702j 0.00863949+0.00952441j -0.023879+0.0116914j 0.0221215+0.0239012j -0.0190214+0.0037092j 0.0342949-0.0284844j 0.00127997+0.00610469j 0.0143024-0.00705883j -1.41639e-05+0.000941055j 0.0023142-0.000360364j 
0.00520385-0.00813899j -0.0034219+0.0229686j 0.00223743+0.00984797j 0.000567863-0.0179893j 0.00127034-0.00821346j -0.000733643+0.00147177j 0.000211371+0.00342868j 0.000329057-0.000732154j 0.00967573+0.0150185j 0.0299607-0.0276526j -0.00498805-0.0086234j -0.0129298+0.0115098j 0.0117653+0.0214924j 0.0115124+0.0251142j 0.0268298-0.00747211j -0.0171444-0.00907991j -0.0250059+0.0218361j -0.021658+0.0175898j 0.0184806+0.00203946j 0.0175198-0.0193973j -0.0109045-0.000181499j 0.0158037-0.0112613j 
-0.00103087-0.00899324j 0.00814101-0.0269013j 0.00703327-0.0200841j 8.92119e-07-0.0222611j 0.000181522+0.0055184j -0.00142209+0.00328127j 0.000331863-0.00334615j 0.000441299-0.00546556j 0.0117037+0.0338273j 0.0428944-0.0164567j 0.0183987+0.0325969j 0.0327398-0.00070354j -0.000338283+0.039138j 0.00036181+0.0128276j 0.0505909-0.0181678j -0.0087655-0.00419578j -0.00744593+0.00767124j -0.0154991+0.0110629j 0.00787885+0.00407776j 0.0021848-0.00445955j 0.000522379-0.0028502j -0.000664335+0.000817501j 
0.0100363-0.0370296j 0.000380225-0.00814225j -0.000431566-0.00157835j 0.000430649+0.0132073j 0.0076278-0.00885078j -0.000192312+0.000380448j -0.00355791+0.00339733j -0.00343819+0.00445386j -0.0110193-0.0232706j -0.0320706+0.00395928j 0.0247097-0.0378381j -0.054028+0.0154926j 0.00858006-0.000757865j -0.000222671-0.00649332j 0.00236704-0.00236303j 0.00386075-0.00174098j 0.0228743-0.0122778j 2.08085e-05+0.000349045j -0.0103255+0.00163767j -0.0217245+0.0124195j 0.00623777-0.00145759j -0.0106495+0.00522098j 
-0.00911328+0.0102598j -0.00317179+0.00473803j -0.00284525+0.00428645j 0.032792-0.0318514j 0.00742237-0.00735199j 0.00141123-0.00113733j -0.00574519+0.00537526j -0.00517037+0.00412625j -0.0552432+0.0441894j 0.078885-0.0192991j 0.0106622-0.011283j -0.0227738+0.00597128j 0.00272825-0.000419001j 0.000889202-0.00234267j -0.00180153+0.000336583j 0.00287669-0.00125104j 0.0129927-0.00501263j -0.00145074+0.000496543j -0.005081+0.000446773j -0.00974281+0.00421765j 0.00226346-0.000232198j -0.00288594+0.000925212j 
