0.0134702+0.0666583j 0.0925772+0.0415961j -0.0477788+0.0996553j 0.0309054+0.193931j 0.0331893+0.472174j 0.108916-0.00144986j 0.668547+0.0207135j -0.125558+0.113163j -0.0413015+0.458035j 0.0638576-0.0262538j -0.0851969+0.00747555j -0.00500452+0.0503882j 0.0109567+0.0118365j -0.0913438-0.0475102j 0.00843651+0.0785203j -0.0142973-0.0213456j 0.00473571+0.00346307j -0.00467127-0.110729j 0.063574-0.0353748j -0.0190302-0.000809606j -0.0112213-0.00164608j -0.0960036+0.0278119j -0.00379863-0.0381258j 0.0193253+0.0494585j 
0.00532835-0.00181103j -0.00322454+0.0196566j -0.0168269-0.000233545j 0.0160042+0.000946588j 0.0120027-0.0105322j 0.00774007+0.000278851j -0.00515808+0.00452258j 0.000885588+0.0147901j -0.0157977+0.0115622j 0.0232591-0.00114165j -0.0122415-1.21617e-05j -0.0112562+0.0105974j -0.022131-0.00482219j -0.00900724+0.00970937j -0.0067098+0.011026j 0.00896207+2.60335e-05j 0.0337219+0.0124234j 0.0132086+0.0157632j -0.0279598+0.00755593j -0.0104701-0.0209553j 0.010612-0.00426318j 0.00407682+0.00326809j -0.0296147-0.0197641j 0.00994765-0.00153738j 
-0.00699956+0.0016976j -0.00583714-0.00810881j 0.00735343-0.00852475j 0.0104913-0.00266626j -0.00886157+0.00309945j 0.0294252+0.000140116j 0.000741912+0.00906915j 0.013542+0.0354201j 0.00596346-0.0153232j 0.00577609-0.00576068j -0.000726038-0.00443619j -0.0136341+0.0036162j -0.0126086+0.0135592j -0.000630292-0.0176268j -0.00994842-0.00280625j 0.00550041+0.0067926j 0.0096155-0.0125721j -0.0222516+0.0216066j -0.0170132-0.0141867j -0.0290385+0.0115694j 0.00163024+0.00670769j -0.0150971-0.00912068j 8.96395e-05+0.00190789j -0.00282092-0.00517747j 
0.0365965-0.000907142j -0.00567348-0.00439127j 0.00532307-0.00517088j -0.00254889-0.00428109j 0.0020551+0.00270213j -0.00671018+0.00287515j -0.00411753+0.000474467j -0.00126927-0.00664168j 0.000652145+0.000937053j -0.0107585-0.0087209j -3.1735e-05-0.00177986j -0.000654261-0.0027228j -0.00955949+0.00423292j -0.00987995-0.0016972j 0.00729744-0.00861396j 0.00349974+0.00396829j -0.00560386+0.00217217j -0.00365965+0.00204315j 0.00545948+0.00796097j -0.00990398+0.00354504j 0.00112035-0.00606828j -0.00784598-0.00629141j 0.00588799-0.00720874j 0.00668709-0.00295094j 
0.0167741-0.0050872j 0.00307424+0.00707951j -0.00672015+0.00610113j 0.0197649-0.00882017j -0.0132394-0.0113295j -0.00905583+0.00187402j 0.00890828-7.61667e-05j 0.0204365-0.0121164j 0.00254126+0.00570906j 0.0136635-0.0147458j -0.00413739+0.0125426j -0.00860745-0.00586856j 0.00623219+0.028039j 0.0224078-0.017221j -0.0146534-0.00595146j -0.00646082+0.00123971j 0.0127299-0.0410676j -0.0265186-0.00483689j -0.000175226-0.0182596j 0.0108061+0.0289532j 0.00432375+0.0117261j 0.0117296-0.0198643j 0.0170323+0.0170059j 0.00456956+0.0199227j 
0.0177369-0.00537271j 0.0166383-0.00287256j 0.00755632+0.0145098j -0.0117962+0.00667278j -0.00566533-0.0223036j -0.00548251+0.00251473j 0.0193971-0.00147673j -0.0143243+0.000741747j 0.0125589-0.0190504j 0.00935695-0.00271317j -0.00512719+0.00276853j -0.0101468+0.0129094j -0.0244398-0.00494961j -0.0123315+0.0120159j -0.000853601+0.00285917j 0.0180456+0.00261706j 0.0100202-0.00706631j 0.0122533+0.0183051j -0.0204466+0.000429525j -0.00649832-0.0318951j 0.000392005-0.0131815j -0.00508658+0.00923468j -0.0156032-0.0159778j -0.00450407-0.00705436j 
-0.00551301+0.00105499j 0.00149223+0.0168387j -0.0163739+0.00016523j 0.0113686-0.00571063j -0.00739424+0.00705754j 0.0019539+0.000453309j 0.0263471-0.00179873j 0.00825347-0.0205223j 0.00690682-0.0315897j 0.00573098-0.00190148j 0.00108108-0.012936j -0.0147531+0.0020936j -0.0222383-0.00219942j -0.0039513-0.00512122j 0.0187545-0.0175174j 0.0183845+0.0188963j -0.032232-0.0127606j -0.0129901-0.00236659j 0.0164585-0.00444088j -0.00523064+0.012852j -0.00672539-0.014228j -0.00536683-0.00888953j 0.00540029+0.010723j 0.00135292-0.00313766j 
-0.000432807-0.00159491j 0.00453647+0.00282006j -0.000713718+0.00414804j -0.00691592-0.00178244j -0.000907536-0.00368411j -0.00153887+0.00458361j 0.00517649+0.00334641j -0.00794875+0.00206733j 0.0108001-0.00117344j -0.00438859-0.0108299j 0.000626592-0.00279271j -0.00271358-0.00804544j 0.00352804+0.0246357j 0.00206642-0.00677745j -0.000992325+0.00221331j -0.0102119+0.00254992j 0.00185467-0.00826992j -0.0100107-0.0035496j -0.000878373-0.00415398j -0.00508265+0.00917717j 0.00792922+0.00921821j 0.00491255-0.00618707j 0.0151756+0.00309989j 0.00257325+0.0091943j 
0.00377239+0.00104796j -0.0170283+0.000942869j -0.00103847-0.0166854j 0.00338828+0.0318659j -0.0148141-0.0267778j -0.0230596-0.00284623j 0.012044+0.000379794j 0.00928004+0.002405j 0.0086149+0.00854177j -0.00391026+0.00233608j -0.011165+0.00760487j -0.00130059+0.0163469j -0.0024067-0.0100791j 0.004076-0.0130091j -0.0212837-0.0010482j 0.0139999-0.0114661j 0.0260568-0.0186563j -0.0110845+0.0219897j -0.0237784-0.0149208j -0.0198322+0.000343677j -0.0047188-0.00519728j -0.0126044-0.00133246j -0.00839401-0.00693363j -0.00235555-0.00686651j 
-0.00302959-0.000582839j 0.00547718-0.0115105j 0.00937915+0.00777813j 0.0135693+0.0177333j 0.0185063-0.00270848j -0.0185899+0.00169187j 0.00667898-0.00565232j -0.00586998-0.00976498j -0.0270929-0.0135619j 0.0116308-0.0182327j 0.0186377-0.0250017j -0.0173677-0.0135829j -0.0139075+0.0460506j -0.00617112-0.00412084j 0.014525+0.0111606j -0.0164821+0.0175345j 0.00218144+0.0252484j -0.0177717+0.0060893j -0.0126317+0.00676405j -0.0271519+0.0142766j 0.0123419+0.0237889j -0.00334574-0.0151903j -0.000752887-0.00122698j 0.000199838+0.00565416j 
0.0262703+0.0048896j 0.00109708+0.0139876j -0.0139375-0.00196846j -0.00384479+0.00313949j 0.00805407+0.00796465j 0.0175815+0.00448322j -0.0110666+0.00133361j -0.0176304+0.0143987j -0.000542213+0.00204045j 0.0025038+0.00317282j 0.0133755-0.00735809j 0.00350311-0.00413773j 0.0116504+0.0224085j 0.00269231-0.000634341j -0.000377434+0.0160343j -0.0166918+0.000982701j 0.00589946+0.0163866j -0.000547723-0.00369971j -0.0104442-0.00267113j 0.00146085+0.00265257j 0.00495408+0.0243387j 0.00747255+0.0026862j 0.00802924+0.00089966j -0.00727311+0.0106542j 
-0.0330684-7.39094e-05j 0.0051029+0.0061666j -0.00667526+0.00447649j 0.00138352-0.00647545j -0.00144407-0.0113712j 0.00480826+0.00117421j 0.00442128+0.000806308j -0.00208323+0.00637664j 0.000192236-0.00117585j 0.0162202-0.00434989j 0.00846034+0.00687089j -0.00767481+0.00563125j -0.0139278+0.010974j 0.00144747+0.00273944j -0.00181507+0.000986912j 0.00926545+0.00463384j 0.0172228-0.00626035j -0.00248387+0.00870987j -0.0168572-0.0033867j -0.00225592-0.00808636j -0.00208555+0.00349677j -0.00216485-0.00117381j -0.00711831-0.00818583j -0.00782676+0.0034127j 
0.00539321-0.000546831j 0.00694099+0.00529589j -0.00885322+0.00718853j 0.00306517+0.0180447j -0.0185913+0.0361266j -0.0053787-0.0015838j -0.028855-0.00989685j 0.0130524+0.00601103j 0.00342506+0.00407574j 0.0067382+0.0010065j 0.00336558-0.00998644j -0.0165509+0.013115j -0.0299466-0.00854681j -0.00688554-0.0048755j 0.0143174-0.0108204j 0.0275632+0.017806j -0.01808-0.0107123j -0.00962655+0.00868892j -0.00282833-0.00517917j -0.0156853-0.00422281j -0.00458897-0.019457j -0.0117758-0.00496011j -0.00767365-0.00353555j 1.96047e-05-0.0113992j 
0.00710664-0.00136959j 0.0197564+5.02171e-06j -0.0027476+0.0164001j 0.00949264+0.0184221j 0.000402577-0.0103983j -0.00438745-0.00894426j -0.000875407+0.00449683j 0.0165861+0.013753j -0.00432294+0.000695116j -0.0136421+0.0153954j -0.00676849+0.0149463j 0.0132255+0.0128071j 0.0280767-0.0235014j 0.0103407-0.000689963j -0.0182497-0.00381792j 0.00427521-0.0137398j 0.0196746-0.00878337j 0.0066237+0.000477802j 0.00517241-0.0115382j 0.0162107-0.00244296j -0.00861484-3.06678e-06j -0.00297117+0.0112386j 0.00688839+0.00763656j -0.0137791-0.00283708j 
-0.00237284-0.00236361j 3.00925e-05-0.00257175j 0.00103473+0.00213534j 0.00812981+0.00538384j 0.00211328-0.000233115j -0.00787887-0.00399453j 0.0016718-0.00142806j 0.00988088-0.00819611j -0.00867185+0.001298j -0.015073+0.00727276j 0.00257736-0.00874078j -0.00637546+0.0188259j -0.00689519-0.0200237j -0.00483004-0.00497314j 0.01123+0.00720002j 0.0250217+0.0184564j -0.00315993+0.00901699j 0.0013617+0.00240034j -0.0163187-0.00661865j -0.00451621+0.00755342j 0.016904-0.017379j 0.00676265+0.00581025j 0.00926123-0.0236816j -0.00415203+0.0174207j 
0.0121197+0.00539807j 0.00460688-0.013311j 0.0128176+0.000101565j 0.0139194-0.0256761j -0.0101549+0.00605014j 0.019484+0.0113557j -0.00467522+0.000987282j 0.00678037+0.0115131j 0.000957168+0.000369647j -0.00934879-0.00322876j 0.0108115+0.00781983j -0.000648426+0.00198288j -0.017326-0.0121254j -0.00408424+0.0010858j 0.0105883-0.00887745j 0.0137798+0.0107503j -0.00547551-0.0125289j -0.00571454+0.00477959j 0.0065786-0.00120747j -0.00481603-0.0040427j -0.0033556-0.016123j -0.0156846-0.00168435j 0.00465128-0.00506493j -0.016914-0.00429665j 
0.000498686+0.000457216j 0.004735+0.00488297j -0.00604877-0.000525707j -0.000774736+0.0123578j -0.000591413+0.00172191j 0.0112233-0.00933169j 0.00328948-0.00174766j 0.00521602+0.0160678j -0.00680676-0.0117845j -0.00569327+0.0167286j -0.00951201-0.00598095j 0.0222469+0.0138587j 0.0472943-0.0165298j 0.00277753-0.00216248j 0.00513899-0.00481778j 0.00872346-0.0282361j -0.0144676+0.00352897j 0.00115313-0.00485247j -0.00755968+0.0179372j -0.00378097+0.00184113j -0.0211274-0.00957131j 0.00781977-0.0092649j -0.0188025-0.00488447j 0.0156996-0.000631104j 
-0.00106185+0.000835462j 0.00650549-0.000262037j -0.0018684+0.000217065j 0.0279314-0.00752021j -0.000674245-0.00262729j 0.018303+0.0101194j 0.00522588+0.00397641j 0.00441624+0.0139776j -0.00443473-0.0117667j 0.0372641+0.0127034j 0.00434545-0.00270358j -0.0179329+0.0109034j -0.00966451-0.0251561j -0.00219266-0.00371398j -0.000304614+0.00283375j 0.0269708+0.00970698j 0.00477963+0.00795343j 0.00774698+0.00294877j -0.0192256-0.00825548j 0.00592326+0.00676229j -0.00515039-0.00941522j 0.015436+0.00886362j -0.0108687-0.0135115j 0.00994407+0.0130047j 
