-0.2382+0.112079j -0.236132-0.112919j -0.124702-0.146581j 0.000377485-0.227177j -0.124327+0.145266j -0.0778749+0.064659j 0.0417153-0.0578623j -0.131734-0.0770643j -0.063244+0.0987685j 0.0147804-0.062084j 0.0175548+0.0651225j 0.0616241+0.0961141j -0.132434+0.0753948j 0.040373+0.0573255j -0.0772351-0.0644934j -0.0255931-0.0360231j -0.0109101-0.0310802j 0.0741279-0.058009j -0.0392559-0.0569591j -0.0789621+0.0091034j -0.0482946-0.074768j 0.0775614+0.0144582j 0.0182502-0.0176473j -0.0562968+0.0731258j -0.00101667-0.0066094j 0.000903093-0.099952j -0.00116009+0.00676359j -0.0540622-0.0730464j 0.0245159+0.0180392j -0.07717+0.0148262j -0.0475117+0.0722396j 0.0798336+0.00907456j -0.0388078+0.0566501j 0.0723555+0.0580652j -0.0101574+0.0319432j -0.0251738+0.0353159j 
-0.0731414-0.103905j -0.120488-0.0339066j 0.203533+0.281608j -0.0176174+0.0185757j 0.33359+0.101987j -0.154119+0.0191981j -0.0438332-0.125118j 0.0288887-0.0162076j 0.0608526-0.0280709j -0.00639259+0.0269758j 0.0225526-0.0169423j 0.00319135-0.0645763j -0.00569547+0.0319335j -0.132106+0.00157458j -0.0312721-0.151183j -0.0397089-0.0076406j -0.0171465+0.0266685j 0.0631624-0.0556j -0.0393543-0.071534j -0.0310065+0.0158195j 0.0959084+0.0407823j -0.128541+0.0769647j -0.113431+0.0256731j 0.0520008-0.0320327j 0.123864+0.101837j 0.0339779-0.0517608j 0.137512+0.0808928j -0.0142621+0.0591751j -0.0132091-0.127865j -0.0314362+0.136511j 0.0711051+0.0770231j -0.00467331+0.035301j -0.079444-0.0141456j -0.0331769+0.0794578j 0.0191239-0.0249013j -0.0201807-0.0331134j 
-0.059225-0.118192j -0.162022-0.0760439j 0.0761982+0.0772355j 0.0590899+0.253578j 0.0239629+0.00464094j 0.117036-0.120128j 0.146882+0.0561868j 0.0386124+0.0340831j 0.0276647+0.0246596j -0.120938-0.056772j 0.0917538-0.0962421j 0.0275936+0.0424303j -0.046344+0.0651504j 0.0438002-0.0796374j 0.0382802+0.00125377j 0.099778-0.0432462j 0.0624605+0.0886087j 0.0395419+0.0916628j -0.0408928+0.0846364j 0.0179706-0.0544054j -0.0949116-0.00623913j -0.132999-0.0595052j -0.00623766-0.070651j -0.0246985+0.0244715j -0.0709075+0.0344157j -0.0484705-0.0768148j -0.091492-0.0614174j -0.0524174+0.0771398j 0.0486494+0.0930675j -0.0172997-0.0121572j -0.0469495-0.00575186j 0.0290295-0.00522875j -0.0482325-0.0254383j -0.0100615-0.0105003j 0.00670052+0.0144255j 0.0124764-0.00979687j 
0.27025+0.245225j -0.228216+0.00016055j 0.0104941+0.302669j 0.0760822+0.35581j 0.0235417-0.0271409j -0.019732+0.112546j -0.241074+0.0998492j 0.035268-0.0399946j -0.16144-0.1306j 0.0135502+0.0572408j 0.0331743-0.0446993j 0.0558774+0.101024j -0.0594005+0.111683j 0.070741-0.0891415j 0.035989+0.0126046j -0.0657973+0.128695j 0.0523689-0.00523511j 0.129815-0.0162828j -0.0950313+0.0206342j 0.0811164-0.105818j 0.0245514-0.0235208j 0.0142469+0.019374j -0.0723515-0.0228514j 0.0709581-0.0466271j -0.0887878+0.00889334j 0.0769927+0.0160105j 0.0647172+0.0163962j -0.0421013+0.0862374j -0.020174+0.016756j -0.025863+0.137425j -0.0459579-0.0137211j 0.0272032-0.0348457j -0.074252-0.0213855j -0.0165632+0.0162989j -0.00197371+0.0490866j 0.0208522+0.00976228j 
0.26245-0.103685j -0.0438337+0.0377967j 0.00238425-0.549437j -0.023772-0.0182389j 0.00590574-0.010182j -0.0833835+0.0694151j -0.0482793-0.102719j 0.0786674-0.0729034j 0.0863045-0.133755j -0.0520878+0.0606833j -0.00666917-0.0509753j -0.00136025+0.0503494j -0.0507833+0.0167259j 0.040795-0.00561242j -0.000276105+0.0112738j -0.104052-0.140948j 0.226037+0.0470359j 0.0120176+0.0172713j -0.120578+0.0365874j 0.0213337+0.13528j 0.0326773+0.0134459j -0.135408+0.218929j 0.0311529+0.0308162j -0.0208924-0.036432j 0.0421143+0.0319337j -0.128685-0.0504461j 0.0256607-0.0524688j -0.0533449+0.0018179j -0.01509+0.0033301j 0.0212702+0.0213782j -0.0122803-0.0270512j 0.0148232-0.00469887j -0.0370868-0.035066j 0.0127362-0.00143974j -0.0109316+0.00252807j -0.000850622+0.00466194j 
0.0225343-0.0373514j -0.0556831+0.109207j -0.00969003+0.0107163j 0.00116815-0.11253j -0.149589-0.326184j 0.00280756-0.00185979j -0.00787813+0.00693828j 0.0048015-0.00092159j 0.000888529-0.0193886j -0.00421063-0.00553455j 0.0103319+0.00466031j -0.0298909+0.0052923j 0.0610273+0.00419632j 0.108545+0.0586267j -0.161179+0.342958j 0.00228858+0.00406229j 0.0106291+0.00148759j -0.00273274-0.00131772j 0.0147288-0.0173928j 0.00338909-0.000725843j 0.00833375-0.00508639j 0.0135563+0.0226996j -0.0254346-0.0398458j 0.0182285+0.023647j 0.00873109+0.0275254j -0.0802673-0.0414753j -0.0275265+0.00420657j 0.0142337+0.0414846j -0.0223178+0.108368j 0.00960544+0.0211998j -0.032686-0.00201766j 0.0128655+0.0826809j -0.0792843-0.212129j 0.0426115-0.131519j 0.0856321+0.0122366j -0.0846387+0.0815082j 
-0.00872455-0.0860586j 0.0733214+0.0980349j 0.0168648+0.0639757j -0.199409-0.207216j -0.20706+0.0749334j -0.000969079+0.0139269j -0.0116055+0.00457318j 0.000123271-0.0133841j 0.0162069-0.0399619j 0.03171+0.010876j -0.0437667+0.00425581j -0.0903064-0.0160469j 0.0395074-0.0988126j -0.133873+0.198147j -0.0256895-0.244318j -0.013713+0.0100245j 0.00640882+0.0303772j -0.00840986+0.00145897j 0.068167+0.0150947j -0.0341116-0.00786779j 0.0100703+0.0147032j 0.0530722+0.0401244j 0.0197248-0.0838849j -0.0150664+0.0517765j 0.0177912+0.0738354j 0.0123471-0.0648453j 0.0033127-0.0154303j 0.0495094+0.0213708j 0.0242193+0.102638j 0.0125214+0.10909j 0.0604833-0.021179j -0.117783+0.0359313j 0.152967+0.0286546j 0.0887523+0.126997j -0.108337-0.108893j 0.0438531-0.0445512j 
0.00849712+0.0453326j 0.0967355+0.0470726j -0.0670002-0.0645311j 0.189988+0.0917763j -0.0616195+0.0625928j -6.69746e-05-0.0101692j -0.00303016+0.00438635j 0.0197015+0.00826668j -0.00657674-0.00882246j -0.0146062-0.0107884j 0.0342653+0.007356j 0.0264853+0.064124j -0.119551+0.177235j 0.0709046+0.166336j -0.292027-0.036553j 0.0155174+0.00601292j 0.0238161-0.0320741j 0.0180616+0.010394j -0.0516132-0.0464804j 0.00216113+0.013246j -0.00318787-0.0179732j 0.0102496-0.0738471j 0.00966526+0.0691086j 0.00914018-0.0161844j -0.0375691-0.00185167j -0.0218675+0.0259393j 0.00909317-0.0113097j 0.112708+0.0663606j 0.0463995-0.108044j 0.0314919-0.0284274j 0.0676326+0.0961699j -0.0195583+0.0286247j 0.0319653-0.0164086j 0.0748485+0.0366768j -0.132238+0.00911049j 0.0290121+0.0507497j 
0.0879054+0.00936702j -0.132729-0.0770564j -0.0919568-0.00895838j 0.109519-0.147579j 0.00789898-0.0455387j -0.0024412-0.0153994j -0.0176051+0.0435931j 0.0410138-0.0321693j -0.00270131-0.0845491j -0.0487295+0.0209633j 0.0213525-0.0266005j -0.0763913+0.153024j -0.0902574-0.191002j -0.139586+0.154963j 0.0420512-0.126289j 0.0197378+0.0170938j 0.0550794-0.0366888j 0.0445761-0.00425037j -0.0427215-0.0753101j 0.0824448+0.0576515j 0.0306278-0.0128691j -0.0675703-0.0655369j -0.0563108+0.0358826j 0.0273924+0.0418932j -0.059285-0.0699169j -0.105385-0.0348804j 0.000388206+0.0233471j -0.0432437-0.0867491j 0.0988027+0.129936j 0.147104+0.0107478j -0.000871293-0.0638048j -0.0557632+0.0592954j -0.214659-0.188252j 0.174984+0.0247369j 0.0841776+0.0770079j 0.0366964-0.0462492j 
0.10339+0.0105824j -0.0220511+0.0944648j 0.113809+0.0167591j -0.159187-0.0669402j 0.0343368+0.156257j 0.0151681+0.0244162j 0.0301598+0.0179398j -0.065798-0.0338912j -0.0480821+0.0571491j 0.131501+0.0238902j -0.116796+0.174785j 0.119923-0.0185823j -0.330763+0.100173j -0.130385-0.00928925j -0.156716+0.0858444j -0.00694205-0.0188643j -0.0558935+0.0138408j -0.0139099-0.016712j 0.0264686+0.0667868j -0.00275336+0.0208906j -0.0125891+0.0213221j -0.0498952+0.0641957j -0.0360424-0.0988786j 0.0215728+0.0102432j -0.0170131-0.0119938j 0.0042389+0.0699912j -0.015525+0.00182707j -0.00270022-0.0439876j -0.0568936+0.0502732j -0.0207378-0.00507757j 0.000554957+0.0139783j 0.0914523+0.0464335j -0.11783-0.0523493j -0.0349655-0.131066j 0.0961727+0.121342j 0.00103504+0.0024805j 
0.148412+0.0170431j 0.0906857-0.0485728j 0.0449294-0.0262169j -0.0250728-0.0670933j 0.108101-0.156521j 0.0111481+0.0182189j 0.0163132+0.0210604j -0.0230336-0.0326326j 0.046695-0.0181403j 0.105488+0.0148981j -0.115387+0.207336j 0.180333+0.0888024j 0.182281+0.037642j 0.343855+0.0553334j 0.0778285-0.158454j 0.000163032+0.00383951j -0.000656637-0.00226914j 0.0203983-0.00356936j 0.0101435+0.0025426j -0.00171473+0.0536304j 0.00181964+0.0184896j -0.046792-0.0102463j -0.0322543-0.0936847j 0.00161782+0.0553587j -0.0325166-0.0375447j 0.0201238+0.0729787j 0.0237712+0.00551665j 0.0205606-0.09496j 0.0971325+0.0388929j 0.0619923+0.0395673j 0.0917807+0.00354171j -0.109697-0.0224703j 0.018461+0.0906049j 0.136782+0.174619j -0.101129-0.0436229j 0.0647852-0.0324553j 
0.0391116+0.0552835j 0.154558-0.0756991j -0.135128-0.0968713j 0.00659109-0.0428531j 0.0285321-0.0144655j -0.0310463-0.0149704j -0.0719878-0.0370289j 0.107792+0.0338266j 0.140586-0.103091j 0.096137+0.089518j -0.115009+0.119901j -0.0189029-0.149904j -0.210468+0.00585605j -0.277716-0.0910455j 0.0206639+0.273411j 0.00468886+0.0238869j 0.0646891-0.00939063j 0.00688127+0.00886211j -0.0321178-0.102861j -0.00860218-0.0524099j 0.00658009-0.0365405j 0.0076624+0.0142661j -0.0317679+0.00465845j -0.000580667+0.0225715j 0.0235378-0.0207547j -0.0789217+0.0551017j -0.040734+0.014943j -0.145857+0.145324j -0.0433254+0.0480331j -0.047315+0.0198945j -0.201822+0.0378484j -0.0449171+0.0206888j -0.0156599-0.147682j -0.0328742-0.0978543j 0.078232-0.0322646j -0.146996+0.122971j 
-0.00578963+0.084404j 0.0130948+0.0494326j -0.14504-0.106399j 0.00976926-0.0322302j -0.000630311+0.0031249j -0.0344776-0.0177354j -0.0582416-0.0111343j 0.0991127+0.00967409j 0.184793-0.153088j 0.0519888+0.0728646j -0.0720427+0.0860647j 0.0340278-0.0416918j 0.23085-0.0846766j 0.123541+0.068232j 0.0484459-0.246915j -0.000107485+0.0256388j 0.0582147-0.0126582j 0.00308605+0.00221017j 0.00241856-0.096386j -0.0192425-0.0351787j -0.000678218-0.0289836j 0.00827949-0.0773924j 0.00958601+0.0298914j -0.0111162-0.00443631j 0.0590543+0.0868821j 0.00151355+0.108217j -0.0179199+0.0241692j 0.154101-0.136434j 0.00120356+0.0087564j 0.016235+0.0488103j 0.163193-0.0692657j 0.0511017-0.00418616j 0.0202255+0.125527j -0.0383016+0.0645214j -0.0589813+0.0158857j 0.129255-0.132107j 
0.0543854-0.0704417j 0.121799-0.0904701j -0.0514657-0.0340855j 0.0133932-0.0484873j -0.0224827-0.176874j -0.0177752-0.0114288j -0.0140555+0.0113522j 0.0747467+0.00170142j -0.0884069+0.0627111j 0.0316279+0.156512j -0.176974-0.114817j -0.254124+0.0882275j -0.217641-0.0303214j 0.00452826-0.0344512j -0.0371196+0.00852823j -0.00493228-0.0234905j -0.054094-0.00954227j -0.0574077-0.0132525j 0.0265323+0.0337514j -0.117187-0.0811103j -0.0638211-0.0431198j -0.0411317-0.0750808j 0.0361987+0.042607j 0.00167874-0.0823767j 0.0833039+0.0260782j -0.0235481+0.0273596j 0.132821+0.0140272j 0.0547978+0.059145j -0.129893-0.224284j -0.0544273-0.090944j -0.0580427+0.0602077j 0.166839+0.0256754j 0.0560115+0.149122j -0.10751-0.0754799j -0.0193789-0.0212684j -0.0153582+0.0176904j 
0.0632907-0.154729j 0.0452231-0.0890266j 0.0150352-0.00408971j -0.0628591+0.193311j 0.0107816+0.102876j -0.0167413-0.0120378j -0.00324976+0.0307122j -0.0624642-0.0163687j 0.137198+0.0734195j -0.00224775+0.210092j 0.22572-0.0937443j 0.256224+0.172168j 0.237889-0.0979627j -0.0139125+0.128279j 0.0294171-0.0147614j 0.00314073-0.017991j -0.0164284-0.0275914j -0.0157275-0.0365408j 0.0346502+0.031477j -0.0159343-0.0553304j -0.0192292-0.0424446j -0.153882-0.0165584j -0.0121785+0.0015767j -0.0256025+0.015718j -0.0366609+0.0810084j -0.155724-0.123817j 0.147529+0.0415852j -0.0466501-0.0211213j -0.125695+0.0596483j 0.0744844+0.033584j -0.0280802-0.0995399j 0.0539415+0.0866596j -0.0600623-0.125883j 0.12001+0.0127819j 0.0574781-0.0127312j -0.00230846-0.0207499j 
0.0803102-0.0320157j 0.079148+0.029299j 0.11078+0.0301393j -0.000601635+0.0640523j 0.109012-0.0293341j 0.229944+0.0479561j -0.184385+0.115213j 0.0564084+0.18639j 0.0856193-0.085383j -0.00884733+0.0841473j -0.0135001-0.085986j -0.0842958-0.0826248j 0.060635-0.183294j -0.18325-0.114286j 0.228166-0.0453492j 0.0622617-0.0389364j -0.0239265-0.0466297j 0.0441265+0.0832021j -0.0243966+0.0610934j 0.0288782+0.065124j 0.0439226+0.0160203j -0.0061864+0.0126755j -0.0653171+0.0204246j 0.0312441-0.00269711j -0.0412613+0.0559356j -0.000535164-0.0130327j -0.0384982-0.0581975j 0.0272267+0.00414752j -0.0643073-0.0224659j 0.00109359+0.00963792j 0.0420095-0.0132235j -0.0307923+0.0644692j -0.0250792-0.0597895j 0.0476696-0.0831491j -0.0216924+0.045127j 0.059612+0.0401226j 
-0.0140856+0.0721433j -0.00444527+0.071976j -0.127365+0.00564325j -0.10377-0.0138429j 0.118799+0.0377725j -0.212968-0.0720754j 0.150073-0.14192j 0.0180496-0.111793j -0.0335885+0.0501006j -0.00680869-0.0264907j 0.0126395-0.0286569j -0.0224296-0.0608229j 0.0165474-0.112509j -0.110297-0.176789j 0.225644-0.0136216j -0.0762918+0.0410944j 0.034705+0.0840558j -0.0232663-0.0801253j 0.0370164-0.0408617j 0.0162175-0.0447881j -0.03517+0.0141948j -0.0041498+0.00444879j 0.0162175-0.0426178j -0.0337585-0.00142875j -0.00231764-0.0119342j -0.024967-0.00370584j 0.0046389-0.0114262j 0.0316017+0.0070294j -0.00450715-0.0455586j -0.00366926-0.00849578j 0.0299238+0.0240632j 0.00250483+0.0459217j -0.0251311-0.0473695j 0.0443046-0.0714365j -0.0537677+0.0708802j 0.0612096+0.0588612j 
-0.0326997-0.134652j -0.0312927+0.137995j 0.0627611-0.0516208j -4.19351e-05+0.147814j 0.0632151+0.0518376j 0.0597474+0.00894447j -0.0569665+0.0985993j 0.00515761-0.0339772j 0.062278-0.127297j -0.175877-0.0935685j -0.17845+0.088552j -0.0551584-0.133118j 0.00438375+0.0363219j -0.055223-0.0990715j 0.0595667-0.00967864j 0.0325327-0.0428915j -0.113121-0.0849559j -0.0425039-0.0228594j -0.0476141+0.00702106j -0.0719048+0.00560639j -0.0584396-0.0805145j 0.0693134-0.0672697j 0.124964+0.00358648j 0.131495+0.00230441j 0.108291-0.0786733j 0.00213946+0.216043j 0.105124+0.0821716j 0.13922-0.0056513j 0.125921-0.000523631j -0.0625956-0.0657053j -0.0529753+0.0814746j 0.0746443+0.00499524j -0.0463064-0.00456055j -0.0452681+0.021184j -0.114937+0.0859624j 0.0344397+0.0409466j 
0.111026-0.119194j -0.11809-0.114562j -0.0121823+0.05662j -0.01677+0.00158977j 0.0146882+0.0560424j 0.0371008+0.0410846j -0.00726623-0.198179j 0.0833998+0.178649j -0.135519+0.167341j 0.0956041-0.0148618j -0.0986011-0.0189745j -0.132164-0.163304j -0.0745461+0.183657j 0.00625051-0.194589j -0.0340078+0.0366095j -0.0241482+0.0424592j 0.112304+0.102703j 0.125276+0.0797915j -0.0174493+0.0278859j -0.026459+0.0599329j 0.0317269+0.0883119j 0.153774-0.102562j -0.0207136-0.177646j -0.121486-0.00085333j 0.18333-0.0403534j -0.0063193-0.00264675j -0.188815-0.0354256j 0.122801-0.0115106j 0.00547072-0.182111j 0.159583+0.0886531j -0.0250423+0.0846595j -0.032824-0.0595823j 0.0165458+0.0260074j -0.117806+0.0860486j -0.11154+0.106383j 0.0289503+0.038318j 
-0.0521481-0.0339433j -0.0515408+0.0362557j 0.062805-0.0309448j -0.000313481-0.167437j 0.0634522+0.0285253j -0.00143359+0.010952j -0.0457663+0.0484099j 0.0375302+0.0116587j 0.0522451+0.0675077j 0.450317+0.0743564j 0.446047-0.0715688j -0.0689174+0.0692656j 0.0374104-0.0112229j -0.0433954-0.0497173j -0.000974032-0.011992j 0.00339789-0.0226236j -0.0396649-0.0168902j -0.0447994+0.0134888j 0.0117374-0.00217573j -0.133199+0.0122012j -0.0621884-0.0303087j -0.0403748-0.0659525j -0.0334105+0.171676j 0.0315926-0.0838953j 0.130786-0.0224786j 0.000460089-0.0956085j 0.127246+0.0178301j 0.0355269+0.082088j -0.0373368-0.167721j 0.0360717-0.0784252j -0.058466+0.0324389j 0.133585+0.00903431j 0.0133308+0.00498913j -0.0471116-0.0128066j -0.0420376+0.0165197j 0.00470568+0.0220159j 
