-0.00113617+0.00986722j -0.00329366-0.0314734j 0.00716103+0.0452884j -0.000289884+0.0202574j 0.00530334+0.0214306j 0.00254678-0.00336993j 0.014385+0.00549515j 0.00115009+0.0588313j -0.00734813+0.027792j 0.00117772-0.0154433j 0.0101655-0.0388889j -0.00116458-0.0230638j 0.0137125-0.0385594j 0.0122483+0.0852658j -0.000275389-0.0948322j -0.00545811+0.0565257j 0.00217158-0.00963617j -0.0327243-0.040855j -0.0409002-0.0567433j 0.00141848-0.0155716j 0.0108981-0.000822229j 0.000379079-0.0217334j 0.00664278-0.0502252j 0.00895747-0.0314765j -0.00350825+0.0359403j -0.00776991+0.00230206j 0.0049477+0.0199589j -0.02677-0.0385426j -0.00229341+0.0301558j -0.00943887-0.0328413j -0.0110752-0.0043294j 0.0200104+0.0653497j -0.00443009-0.041508j -0.0155783-0.00493893j 0.0115867-0.0354708j -0.00318351-0.015129j 0.00515581-0.0205623j 0.0125667+0.0438752j 0.0179959+0.0193753j -0.0217932-0.0351337j -0.0147469-0.03717j 0.0381433+0.0540105j 0.0137118+0.0657357j 0.0613056-0.130366j 0.0192772-0.174234j 0.00660766+0.305287j -0.0148702+0.0101217j 0.0243962-0.00367709j 0.0621179+0.0383j 0.0935699+0.228691j -0.00719302-0.0505735j -0.0104685-0.000594496j -0.026783+0.00945833j -0.00187576+0.0698316j 0.0165226-0.0820768j 0.00996693-0.0264826j -0.00909159+0.0106824j 0.00707631-0.0523482j 0.0195758+0.032564j 0.000269056-0.0134695j 0.00291796-0.0250154j 0.0011938-0.00300953j -0.0238308-0.0183799j 0.00187161+0.0572436j 0.0157682+0.00189938j 0.0201281+0.0102254j -0.00489756-0.0482577j -0.00498363+0.0463249j -0.00267434-0.358228j 
-0.00752418-0.0113659j -0.00212981+0.00188371j 0.00145656-0.0185521j -0.00734029+0.000674425j 0.00400752+0.00785089j -0.0012285-0.0175075j 0.0224002-0.0144632j 0.00262433-0.00501034j -0.00910577+0.0061648j -0.0191995+0.0217699j 0.0228838-0.0227803j -0.0177622-0.0130428j 0.00129273-0.0496175j 0.0176747+0.000131793j 0.00249398-0.0173956j -0.0100729-0.0172169j 0.00798067-0.0419511j 0.0433639-0.1159j -0.0207874-0.0386321j -0.011019+0.00934499j -0.0190443-0.00885137j -0.00639971-0.012387j -0.0274139-0.00757682j 0.00153466-0.0755818j 0.0234289+0.0547921j -0.00749897-0.0285897j 0.00591827+0.0182725j -0.00612601+0.00317569j -0.0145221+0.0119574j -0.00674699+0.012944j 0.00235873-0.0201064j 0.0440292-0.000796928j 0.0146153-0.0305384j 0.0436998+0.0117107j 0.0130334-0.0359279j 0.0313787+0.0559918j -0.0604083+0.0291514j 0.0048316-0.070085j 0.00139404+0.0409203j 0.00614738+0.00251883j 0.00296952-0.00774091j 0.000862437-0.0395106j 0.0102364+0.0182975j 0.0447073-0.0307667j 0.0174749+0.0410822j -0.0382826-1.35213e-05j 0.0130587-0.016162j 0.0265747-0.0203641j 0.0257104-0.00684007j 0.00807926-0.0524078j -0.00704383+0.0329956j -0.0038361-0.0315865j -0.0183311+0.00301116j -0.0270559-0.0494691j 0.0330843+0.0397396j 0.01983+0.0349085j -0.000324015+0.00465477j 0.0221453+0.0209147j -0.0064599-0.0618744j -0.00901627+0.0168551j 0.0160206+0.00213894j 0.00807558-0.000910921j -0.0131556+0.030004j -0.0124068-0.0165545j 0.00506127+0.0393513j 0.00867835-0.00359614j 0.0140188-0.0548362j 0.00969309-0.010673j 0.00556079+0.0357391j 
0.000869755+0.0118705j 0.00522624-0.00410476j -0.0047959+0.00870241j -0.00558898+0.0128782j -0.00688266+0.00677929j -0.00537083-0.0291391j 0.00306127-0.00968551j -0.00708139-0.0491708j -0.00864991-0.0508974j -0.00306233-0.045018j 0.0109822-0.0206529j 0.0151312-0.0291066j 0.0206029-0.0797605j -0.0178403-0.0850314j -0.0050924+0.0266052j 0.00309694-0.0562269j -0.00162872+0.0405978j -0.0195747-0.0849289j 9.59086e-05-0.0148273j 0.00298986+0.0228079j -0.00309744-0.0475526j -0.00367719+0.0150258j 0.0149831+0.046733j 0.0176692-0.0319283j -0.00927307+0.0227821j -0.00835256+0.011617j 0.0170819-0.0155115j -0.00522962+0.0298487j -0.0159611-0.00119364j 0.0121795-0.0276551j 0.0186196+0.0174573j -0.012334-0.01078j 0.0334765-0.0448334j 0.0104985+0.0145422j -0.0196826-0.0142142j -0.0365106+0.0287219j 0.0232202-0.0144586j 0.0296435+0.00865998j -0.0467148+0.0182989j 0.0143406-0.0109996j -0.00892964-0.0191042j -0.00293896-0.0298722j 0.00182956+0.0166229j 0.0144202-0.0193812j 0.00758531+0.0123172j -0.0109572+0.0203684j 0.00650156+0.00246957j 0.0126771-0.0147773j -0.00170713+0.00772049j -0.0135823+0.0219519j 0.00376976+0.000145074j 0.00546975+0.0222171j 0.00640677-0.0115942j -0.0153844-0.0310133j 0.00829048+0.0107703j 0.00444347-0.034549j 0.00786501-0.00104933j 0.00673697-0.0109364j 0.00316478-0.0133515j 0.00322867+0.0332664j 0.00443674-0.0100503j 0.00233038-0.0124037j -0.00348301+0.0225671j -0.0125517+0.000430085j -0.00359031+0.00422276j -0.00225287-0.000610268j 0.00430139+0.00315598j -0.000870518+0.009898j 0.00333185-0.0132309j 
0.00352083+0.0179062j 0.00283843-0.00352256j 0.000331899+0.0071452j 0.00919105+0.0106732j -0.00432508+0.0164402j 0.00185427-0.00439969j -0.00845975-0.00722121j -0.00454798-0.00760955j 0.00985765+0.00414682j -0.0329144+0.00810087j -0.0138881-0.00466991j 0.0471261+0.00960618j 0.00697299-0.0203256j 0.0370478-0.0123284j -0.0195849+0.0275941j 0.00134869+0.0104721j -0.00921919-0.0134606j 0.0330199-0.00457344j -0.0159983+0.00397658j -0.0195086-0.0137968j -0.00158708+0.0170251j 0.0114071-0.0197498j -0.0129048+0.00924059j 0.0192486+0.0180262j 0.0193153+0.000790915j 0.0257065-0.00489778j -0.00956429-0.0190474j -0.00227421+0.020216j 0.0232144+0.00786432j -0.0337221+0.00605679j 0.00444026+0.0175712j -0.00963782-0.0089981j 0.0097858+0.0266297j -0.0217969-0.0239754j -0.00144723-0.0124636j 0.0395545+0.00889826j 0.0169497+0.0258099j -0.0198552-0.0337111j 0.0127081-0.00565418j 0.00658933-0.00607385j -0.0127299-0.0265796j -0.000751737+0.0348306j 0.00721304+0.0287019j -0.0290499+0.0103046j -0.00813086-0.0449623j 0.0246077+0.0131782j 0.00163556-0.0270443j -0.0109469-0.0221955j -0.040136+0.0313349j -0.0221453+0.0112284j -0.0101661+0.00757131j 0.00118125-0.0264059j 0.0136752+0.0159122j 0.0150601+0.0374734j -0.0201342+0.0128948j -0.00944031+0.0296551j 0.00367198-0.00286327j -0.00613127-0.0542692j -0.00129366+0.00754345j 0.00650303+0.0204408j 0.000497572+0.000297261j -0.00715418-0.00530385j 0.00780601-0.00520183j 0.00674702-0.0199482j -0.00857285+0.0236716j -0.0111694+0.0136708j -0.00860005+0.0249588j -0.00667488-0.00378943j -0.00171298-0.0282471j 
-0.00343643-0.00799409j -0.000472063+0.0082794j 0.00494007-0.00726896j -0.0130092-0.0242619j 0.00520225+0.00325657j -0.0148489-0.00258737j -0.00174331+0.0222197j 0.00154053-0.01418j -0.0318453-0.0120952j 0.00653933+0.0022233j -0.0187325+0.0210855j 0.0551999+0.0261557j 0.0106401-0.0261342j -0.0322718-0.00240855j -0.00258346-0.0156585j -0.017402+0.0395327j 0.020576+0.0357331j -0.0276398+0.0191255j 0.0175395+0.0200949j -0.0154522+0.0149692j -0.00178803+0.000722752j 5.25664e-05+0.01484j 0.0350263+0.0108558j -0.0106082-0.0158014j 0.0165698+0.00885433j 0.00899143+0.00470827j 0.00847439+0.0114888j 0.00110862-0.0114657j 0.00704296+0.00204873j -0.00142924-0.0218427j 0.0153724+0.000642582j -0.016915-0.0277276j -0.0394948-0.0448135j -0.005589+0.0591573j 0.0371961+0.0174246j 0.00261762-0.0236929j -0.0302245-0.0241014j 0.0123812+0.00307726j -0.00895097-0.0298953j -0.0301682-0.0305607j -0.0022566-0.0239732j 0.0117662-0.0212664j -0.0184969-0.00120708j 0.01824+0.00246518j 0.0160576-0.0159114j -0.0273778-0.0494969j -0.00486805+0.0036115j -0.0026995-0.00475194j 0.0473307-0.0119722j 0.024714+0.0121013j 0.00210569-0.0141233j -0.00685677+0.00555417j -0.0281506+0.0364735j -0.0111559-0.0205738j 0.0200849+0.00359805j 0.013234-0.00987938j -0.00803582+0.00341144j 0.00512825-0.00976571j 0.00101413-0.0179971j -0.000392927+0.0403771j -0.000924184+0.0174823j -0.00062207+0.000332221j -0.00278655-0.0188302j 0.000333246-0.00711044j 0.0120262+0.0183673j 0.0154293-0.016297j 0.00939347-0.0135001j 0.00582357+0.00707485j 0.00226049+0.0176392j 
-0.000222311-0.0137217j -0.00558291-0.00590442j -0.00264256+0.00795952j 0.0117853+0.0288196j 0.00454579+0.00416709j 0.0243565+0.0312981j -0.00843815+0.00842952j 0.0127948+0.00793529j 0.0245184+0.0189279j -0.00854912-0.0403665j -0.0115035+0.00267852j 0.00589461+0.00275981j 0.0107104+0.0439282j -0.0166736-0.0290216j 0.00626814+0.00964801j 0.000739258-0.00253542j 0.00796378-0.0152469j -0.00584453+0.0302339j -0.0127517-0.00685764j -0.0277595+0.0245989j -0.0148507-0.015065j -0.0127798+0.00128729j -0.0201253-0.0319179j 0.0432821+0.0654055j 0.033676-0.0239223j 0.0126978-0.026651j 0.0644755+0.0206985j -0.0144515-0.00316026j -0.0158189+0.00863621j -0.000286662-0.0442554j 0.0233155-0.0299952j 0.0185959+0.0216264j 0.0496182+0.0258897j 0.0453111-0.0334836j -0.0375649-0.0256787j -0.00284629+0.0208697j -0.0442435+0.0241594j -0.0134421+0.0722391j 0.0106714-0.000215809j 0.0352965+0.0126094j -0.00996446+0.0300989j -0.00205763-0.0371322j 0.0210631+0.00772256j 0.00418659+0.0236335j -0.00428711-0.0239319j 0.00357876-0.0132925j 0.0216803+0.0133462j -0.00010407+0.0057282j 0.00508592-0.0228377j 0.00755464+0.0100881j 0.00369148-0.00737904j 0.0113827+0.0328235j 0.0129845+0.00497101j 0.00189933-0.0128102j -0.00503425-0.00780333j 0.00531383-0.0182761j 0.00475208+0.00144671j -0.00863325-0.0105184j 0.00311495+0.0396407j -0.0163353-0.0268935j 0.00202925+0.0115594j 0.000850969+0.0123481j -0.0110641+0.015782j 0.00130561-0.0051543j 0.0061807-0.0699124j -0.00478798-0.00445182j -0.0028974-0.0182604j 0.00085528-0.00146592j -0.00317111+0.00185125j 
0.00230107-0.0152951j -0.0102617-0.00766003j 0.00351344-0.004656j 0.00753567+0.00442765j 0.016971-0.0152625j 0.0121211+0.0208831j -0.00805722-0.00963554j 0.0216894+0.0167253j 0.0140493-0.000447338j 0.000285327+0.0257261j -0.0188961-0.0093325j 0.0111925-0.00567299j 0.00930106-0.00707628j -0.00991623+0.0371537j -0.00402653+0.0119155j 0.00545226-0.0836432j 0.0180528-0.0321488j -0.0266856-0.0355391j -0.03102-0.0184725j 0.0168308-0.0156014j 0.00799367-0.00244684j -0.0120752+0.0115636j -0.034447+0.000981596j -0.0224009-0.0111403j -0.0248716-0.00436212j 7.65805e-05+0.0270506j -0.017732-0.00454493j 0.00915228-0.0145054j 0.033716+0.00767802j -0.0324044-0.0115082j -0.029501+0.0198094j 0.0465209-0.0151749j 0.0101608-0.0154846j 0.00843638-0.0300158j -0.00742123-0.00281263j -0.00127616+0.0220469j 0.00714054-0.0389733j 0.0113112-0.00200316j 0.023444+0.0111978j 0.00706264-0.00329828j 0.00358624+0.0135661j 0.00289861-0.0354799j 0.0288074-0.0457911j 0.0037221+0.011802j -0.018108-0.0086799j 0.0438048-0.0659351j -0.000292012-0.000961368j 0.0117239-0.00384467j 0.00165146+0.00449517j 0.0715255+0.00884539j -0.00431586-0.00452631j -0.010546-0.00440109j 0.00387633+0.00474905j 0.00469787-0.0227581j -0.00435573+0.0153236j -0.00254193+0.00952837j 0.00362881-0.0325384j -0.00316748-0.000964816j 0.00719684-0.0154932j -0.000839919-0.0086227j 0.0029412-0.0171281j 0.00736342-0.00708686j -0.0126782+0.0156942j 0.00745742+0.0364328j -0.00494196-0.0110103j 0.0143353-0.00163569j -0.0147742+0.0220646j 0.00691043+0.00904763j -0.00885693+0.0409156j 
-0.00363225+0.014093j 0.00411908+0.0187462j -0.00178407-0.0202668j 0.00246616+0.00350266j -0.00595449+0.022387j -0.00176387-0.0140324j -0.00196084+0.0457365j 0.0212743-0.0190587j 0.0305707+0.00269614j -0.00867318+0.00481655j 0.0136566-0.00393944j -0.000717359+0.0174344j 0.0133988+0.00865566j -0.0701528-0.0191237j 0.0057203+0.0440452j 0.0388064-0.0589292j 0.00457073-0.0134201j 0.0498494+0.00605354j 0.0228767-0.0170051j 0.0156906-0.00646481j 0.0124292-0.0106751j -0.0171561+0.019888j -0.0149689+0.00654393j 0.0552719+0.0579964j -0.0182335-0.0275695j 0.0112248+0.0103817j -0.0395281-0.00302416j 0.0221772+0.0218502j 0.0171087-0.00378802j -0.00928608-0.00299797j -0.0124741+0.0246881j 0.0155635+0.0188692j 0.0208303-0.00862845j 0.00303579-0.0144735j -0.00600909+0.0804462j 0.0173908-0.00605481j 0.000387409-0.0271251j -0.00431987-0.00426264j -0.0164663-0.0433075j 0.00736938-0.0547647j -0.00930214-0.0151897j 0.00861718-0.000992199j -0.00541983-0.0359562j 0.00391115-0.0430411j 0.00424833-0.048859j -0.0197844+0.0361157j 0.00676564+0.003809j 0.00228411+0.0549425j -0.0347676-0.000118768j -0.0504807-0.00977817j 0.00772406-0.019527j 0.0018058+0.00290464j 0.0102921-0.0160393j 0.00880842+0.0325662j -0.00498767-0.012681j -0.00915173-0.00517927j 0.00389076-0.0169885j -0.0097769-0.0247607j 0.00174016+0.00531368j 0.00152845-0.00306414j -0.00544202+0.000771845j -0.00183938+0.00674406j 0.00802145-0.0320369j -0.00548003+0.0380345j -0.00335922-0.00131507j -0.0129061+0.0616598j 0.00570282+0.00304014j -0.00415265-0.0220124j 0.00503342-0.0125998j 
0.00499393+0.0024862j -0.00196257-0.00303144j 0.0046824+0.00602246j -0.00619022-0.0046966j 0.00399848-0.0150148j -0.0161971-0.044452j 0.00339999-0.0229018j 0.0196614-0.0055613j -0.0351148-0.0258205j -0.0105546+0.0292874j -0.0114762-0.0191501j -0.0204769+0.00480094j 0.0152011-0.00398882j -0.0117535+0.0609834j -0.0560194+0.0269165j 0.0277986-0.0759321j -0.00804826-0.0135652j -0.00815777-0.0291671j 0.0232718-0.00716428j 0.00227085+0.00946002j -0.0141054+0.027581j 0.0156598+0.012528j 0.0246245-5.70804e-05j 0.0128581-0.0256318j 0.00907743+0.00121652j 0.0188204-0.0258204j 0.0543879+0.0153523j -0.0445204-0.00152754j -0.0206022-0.0127156j -0.00452693+0.0250811j 0.0120957+0.0348021j -0.00806333-0.0347959j -0.00816283-0.00389335j -0.0278945-0.00950001j 0.00723788+0.0651161j 0.0158908-0.0113566j 0.0617357-0.0614555j -0.00184847-0.0610788j 0.023075+0.0197093j -0.0345948-0.0670973j 0.00609596-0.0161704j -0.00550632+0.0303658j 0.000455925-0.0353305j -0.0113497-0.0192496j -0.0229357-0.000326196j 0.0467169-0.0291438j -0.00932362-0.00221915j 0.00285143-0.00135531j -0.00331747+0.0472681j 0.0279408-0.019023j -0.00368498-5.10759e-05j -0.00867589+0.0393432j 0.0100567-0.0215639j 0.0143717-0.00277488j -0.0181981+0.00238476j -0.0151003+0.00118895j 0.00963469-0.00228816j -0.00490078+0.00427367j 0.00906072-0.0128606j 0.00830259+0.000535287j -7.08721e-05-0.0310557j -0.00433119-0.00561463j 0.00326546-0.0218827j 0.00733425+0.0523564j -0.0138196+0.0339031j 0.00553444+0.0415548j -0.0151378+0.0538771j 0.0011337+0.00419743j -0.0059455+0.0239316j 
-0.00504585+0.0271711j 0.0069907+0.00244226j 0.0127283-0.0201337j -0.00353161+0.00318916j -0.00491254-0.0132644j -0.00657603+0.0154857j 0.00815517-0.00127392j 0.0287576-0.0208889j 0.00329222+0.0185919j -0.0151131+0.0166544j -0.0204547-0.0262147j -0.00593559+0.0248845j 0.0197789+0.0688203j -0.00775232+0.0501055j -0.0132128-0.0234192j 0.0262526+0.0550603j -0.0141847+0.0275591j 0.0034066+0.0790358j -0.00999992+0.073317j 0.00688421-0.00372447j 0.000819157-0.050162j -0.0122571-0.0117871j -0.0117186-0.026474j 0.0203417-0.0174456j -0.00767421+0.00387687j 0.00113819+0.0203199j -0.00700103-0.0168837j -0.0168952+0.0290822j -0.00772135+0.0187766j -0.00505134-0.00425129j 0.00827295+0.0191006j -0.00937374-0.0417044j 0.00871659+0.0371453j -0.00368246+0.0108225j -0.0156599-0.123876j 0.00596405+0.0122469j 0.0351951-0.0299453j 0.00716828+0.0431036j -0.0139575-0.0233791j 0.00296877+0.0473801j -0.00641708-0.0131013j -0.00768243+0.0149094j 0.00449191+0.0281148j 0.0113103-0.00568162j 0.0138544+0.0126482j -0.0154295+0.00107014j -0.00245708+0.0168316j 0.00873204-0.0327471j -0.0245279-0.00959372j -0.0284144+0.042014j 0.00618701-0.00610854j -0.00398024+0.00336324j 0.00681202+0.019687j -0.0118351-0.000988509j 0.00825079+0.0136586j -0.00544676+0.00295846j -0.00267201-0.00541999j 0.00777658+0.00949211j -0.00692805+0.0364327j 0.00609619+0.0146747j 0.00594067+0.0158684j -0.000425763-0.0121511j 0.00428992+0.00833251j -0.00786211-0.0346809j -0.000166748-0.00965783j -0.0028787-0.112668j 0.0064225-0.00232344j -0.00391806-0.0263157j 0.0048005-0.0261694j 
0.0078149+0.000805355j -0.00254396-0.0248966j -0.00679031-0.0136602j -0.00999742+0.0320498j -0.0136062-0.0428398j -0.00277893+0.00615891j -0.0173164+0.0110397j 0.0202968+0.0152868j -0.0289224-0.0178172j -0.0188117-0.0339828j 0.00178219-0.00817679j -0.0324425-0.00195126j 0.0153514+0.0345981j 0.00885034-0.000103012j -0.0390613-0.0116331j -0.0168773+0.0390483j 0.0442684+0.0263408j 0.000274681+0.0471477j 0.0034725-0.0137556j 0.0156646-0.00779852j -0.0229069-0.0357777j 0.0126062+0.0413583j -0.0247231-0.00491717j -0.0106999+0.048676j 0.0112658-0.0129245j -0.00152615+0.00453091j -0.0167797-0.00215442j 0.0247927-0.0405232j 0.0031862+0.00528792j -0.0271127-0.0518423j -0.0334223-0.0379363j 0.00320025+0.018397j 0.0340537+0.0234375j 0.0356449-0.00630517j -0.0168804+0.0143806j -0.0090769-0.0366273j -0.0220496+0.0206532j -0.0186805+0.0545998j 0.00386948-0.0248128j 0.0374158-0.00388152j 0.00957258+0.00923385j -0.0130975-0.0165558j -0.000298245-0.00570748j -0.016545+0.0566503j -0.0245029-0.0105204j 0.0276479+0.0150202j 0.0203892-7.14705e-05j -0.017898+0.0222315j -0.0116247-0.0246278j 0.0182695-0.00305216j -0.000970416-0.0181877j 0.00544916-0.0120749j 0.00939597+0.00607111j 0.0144132+0.0150361j -0.0140921-0.024609j -0.00370439-0.0123889j 0.00749632+0.00420222j -0.0108897-0.0250425j 0.000368479+0.0296783j -0.0101559-0.0251887j -0.00437813+0.0207466j -0.000293688+0.0105183j -0.00342325-0.00830496j 0.00795063-0.0109451j 0.000858618-0.0506327j -0.00878859+0.0219322j -0.00943956-0.0126299j -0.00128621+0.00640244j -0.00638549-0.0129072j 
0.00851543-0.00425942j -0.00518933+0.0046193j -0.00231431+0.00249408j 0.00599393-0.0137662j 0.00449832-0.00600545j 0.014838+0.0373372j 0.000451688+0.0177587j -0.0242394-0.0436892j 0.00648452-0.05143j 0.00455168-0.0312535j 0.00532751-0.00118353j 0.00613829+0.0579973j -0.0236498+0.00268485j 0.0198019+0.0546565j -0.00172941+0.0179925j 0.0235875-0.0416242j 0.0183784+0.0452693j 0.0202351+0.170627j 0.0208793+0.0784189j -0.00901685-0.0513073j -0.00897332-0.00786881j 5.16815e-07+0.032846j 7.69529e-05+0.00987045j -0.00883851+0.0326064j 0.00872649+0.0340997j 0.00786824+0.0100114j 0.00285957-0.0242859j 0.0180828+0.0223902j 0.00325108+0.00377695j -0.0107513-0.0307862j 0.00749085+0.0548193j -0.00754399-0.0465357j 0.00466935-0.048726j 0.0110409+0.0216694j -0.0470784+0.0417089j -0.00772924-0.0485473j -0.0224689-0.140674j 0.00253827+0.0972855j 0.00129532-0.0936203j 0.0183993+0.0170906j -0.00978026+0.0281169j 0.0121096-0.0201022j 0.0141339-0.0545541j -0.011967+0.0423134j 0.00416105+0.024388j 0.0353888-0.0335339j 0.00789812+0.0347895j -0.0247544+0.000650196j 0.0182107+0.0362989j 0.0532642+0.00603671j -0.00939204-0.0358432j 0.00390648-0.000984604j 0.0112458-0.0365517j 0.0195451+0.0583578j -0.0150142+0.00637597j 0.00219045+0.0327253j 0.0101104+0.0494833j -0.0153919-0.0128254j 0.0138912+0.0378058j -0.0210118+0.0373446j -0.013443+0.0372102j 0.00387232+0.0046633j -0.00520726-0.0689564j 0.0121872+0.0847235j 0.011674-0.0655248j 0.00524601-0.0795178j -0.0114336+0.0560053j 0.00242084+0.000466119j -0.00939033+0.0473404j 
0.00432985-0.00965218j -0.019796-0.00300631j 0.0262548+0.00192408j 0.0113107+0.00116655j 0.00999257+0.0252732j -0.0138275+0.0123546j 0.00742954+0.011335j 0.0246318-0.0689084j 0.0199664-0.0549037j -0.023649-0.0490269j -0.0144842-0.040324j -0.0107022+0.0247077j -0.0290984-0.00292579j 0.0471943+0.0215974j -0.0705832-0.0347024j 0.0488725+0.0697811j 0.00205396+0.0459724j -0.0288584+0.0256369j -0.0454714-0.00778075j -0.0143071-0.0148803j -9.52175e-05-0.0135826j -0.0110645-0.0227895j -0.0355354+0.00207531j -0.0142431+0.032186j 0.0246955+0.0035362j 0.00690417+0.0234504j 0.0138017-0.0284952j -0.0114629+0.0106098j 0.0142596-0.00994714j -0.0199426-0.0354699j -0.000452729+0.0230366j 0.0277277-0.00265268j -0.0264567+0.0607742j -0.0114093+0.0470015j -0.00646851+0.060788j -0.00826558-0.039516j -0.0104636+0.0901134j 0.0129219-0.0437984j 0.004164-0.101434j -0.0193086-0.0606873j -0.0323268-0.0913175j 0.0312443+0.0538278j 0.037753+0.0129289j -0.0365802+0.0147917j -0.0610846+0.0132909j 0.138971+0.0109505j 0.000991506-0.0108331j 0.00409102+0.0815121j 0.0364556+0.00997787j 0.144598-0.001521j -0.0227041-0.0225144j -0.00228269-0.00414947j -0.00144967-0.0165366j 0.0313845+0.0170649j -0.0341625-0.00214926j -0.00696402+0.000580035j 0.00697828+0.000499248j -0.0209566+0.011544j 0.0155941+0.0151485j -0.00623376+0.0137239j 0.000781756+0.0567085j 0.00611313+0.0155687j -0.0291012-0.0626831j 0.0479815-0.0687854j -0.0103132+0.0418161j 0.0183214+0.0402466j -0.0397601-0.0748225j 0.0107584+0.0179249j -0.0244178+0.00164082j 
0.00321389+0.0222725j -0.00594139+0.00609532j 0.0241523+0.00345419j -0.00432728-0.0273607j -0.015683-0.000723725j -0.00242528+0.0105395j 0.00865841+0.00554464j 0.00167884+0.00102616j 0.0176913+0.0235357j 0.0236404+0.0221273j -0.00357041+0.0207527j 0.0069381+0.0189727j 0.00161642-0.0394702j 0.0364352-0.0792501j -0.0139158+0.0451844j 0.0153641+0.0610205j -0.00617645-0.0317178j -0.10026-0.0169371j -0.0635051+0.00250372j 0.00525199+0.0080941j 0.0377687+0.0432061j 0.0106729-0.0121523j 0.0072931+0.0300978j 0.0337113+0.0467439j 0.0163377-0.0435572j -0.0132483+0.0160819j -0.0359965+0.000176303j -0.0302472+0.0203603j 0.00564836+0.027329j -0.00850872+0.00307302j 0.00964939-0.0103512j -0.0262023-0.032244j -0.0283947-0.0338771j -0.0317904+0.0432651j -0.0434653-0.0744678j -0.00336124+0.0521946j -0.0163273+0.0457451j 0.000659205+0.00346143j 0.0130532+0.0045738j -0.0103376+0.0215386j -0.0579564-0.0320829j 0.0683867-0.0154635j 0.0156437+0.0213479j 0.0332444+0.0395155j 0.0354271+0.0939735j 0.0476625-0.064439j -0.0106072-0.0013559j -0.0311062-0.0288866j 0.07601+0.00269789j 0.141687+0.0410458j -0.00989828+0.012126j -0.00680716+0.00697008j -0.0210081-0.000457993j 0.0183608+0.073642j -0.00915439-0.0288943j 0.0075066-0.0203196j -0.00192473+0.0020837j -0.0176864-0.0198106j 0.0268176+0.0152978j -0.00618912+0.0315453j -0.023072+0.0131761j -0.00491812-0.00240242j -0.0238104+0.0318295j 0.0269881-0.0759882j 0.0315943-0.00234619j 0.0375777-0.0373744j -0.0134664+0.0584527j 0.01174+0.0168969j -0.0118535+0.0390411j 
0.00403135+0.0088808j -0.00992015+0.00269829j -0.00626283-0.0332773j 0.0240772-0.0114749j -0.00708647-0.0170794j -0.00466023+0.0334724j -0.0227472-0.0512612j -0.00859231+0.0208373j 0.0450305+0.0517499j 0.000278282+0.0460189j -0.0166484-0.00178944j -0.0104444+0.0484525j -0.029009-0.0737549j -0.0131893-0.0489776j -0.0173942+0.111843j 0.0293907-0.0114686j -0.0070632-0.0530557j 0.0481406+0.0594025j 0.0432687+0.0977241j -0.0126477-0.00604838j -0.0140811-0.00268741j -0.0228304-0.0514225j -0.0202152+0.0096732j -0.045642-0.0289711j 0.0134003+0.0300722j 0.0113957+0.0222289j 0.0028973-0.0389814j 0.0158618+0.0399717j 0.0144868+0.028723j 0.00919369+0.0101849j 0.0117045+0.0759689j -0.00706994-0.00068775j -0.00692792-0.00699024j 0.0149922-0.0253328j -0.0212023-0.0148803j -0.00205473+0.0345444j 0.00474875-0.0480945j -0.00161931-0.0289792j -0.0134733-0.0756157j 0.00174298-0.0205626j 0.000660792-0.0990083j -0.0202899+0.0695104j 0.0102373+0.0131955j -0.0562304-0.0660193j -0.0235734+0.00837636j 0.0257602+0.0311199j 0.00783764+0.007824j -0.00973286-0.00297717j -0.0301886+0.00967786j -0.0256302+0.0366494j -0.0016475-0.0102276j 0.00123334+0.0120359j 0.0233033+0.00469616j -0.00412342+0.0150986j -0.0104545+0.0395777j -0.00483721+0.00497487j 0.00778815-0.0259058j -2.8945e-05+0.0431736j -0.0123975-0.00693081j -0.00170994+0.0644855j 0.00824387+0.0170001j 0.00838761-0.00420329j 0.00263519-0.0464234j 0.00793452+0.00321413j -0.0156754+0.0803747j -0.0184925-0.0627073j -0.00694354-0.0224383j -0.00442739-0.0315359j -0.00327222-0.00101168j 
