0.0019921+0.00894126j 0.00909509+0.00116988j 0.0049641-0.00834746j 0.00348792-0.000178145j -0.000437289-0.0168265j -0.0037456-0.000876142j 0.00962014-0.00954353j 0.0107928-0.0148386j -0.00279218-0.0107431j -0.0103729-0.0154299j -0.0156782-0.000937079j 0.019312+0.00964764j -0.00703817+0.00617787j -7.02998e-05+0.0073347j 0.014878-0.00037006j 0.00247471+0.000128033j 0.0165945+0.0107038j -0.00194403+0.00295319j -0.00132611+0.012958j 0.0168297+0.000272892j -0.00251255+0.00408767j 0.00776732-0.0148634j -0.014705+0.00043704j 0.00312513+0.0142086j 0.0101595-0.00947399j -0.00232203-0.00754059j 0.00504693-0.00558886j -0.00906906+0.0114174j 0.0059157-0.011749j -0.00432547+0.0107035j -0.00137246+0.0111004j -0.0174073-0.0156176j 0.00448285+0.00873383j -0.00408326-0.0196256j 0.0112695-0.0226903j 0.00394165+0.00856189j 0.0125816-0.0134343j -0.0077299+0.0102087j 0.000980122-0.00249562j -0.0055314-0.00586997j 0.00244188+0.0045708j 0.000213911-0.00898601j 0.00701386+0.0043833j 0.00871114-0.00358016j -0.00312198+0.00124923j 0.00340963+0.0105466j -0.0117911-0.00877115j 0.0014153+0.00326849j -0.0112485-0.000930789j -0.000404762+0.013342j -0.000385958+0.00133097j 0.0031377-0.00449894j -0.0014864+0.00299878j -0.0069091+0.00679809j 0.00138081+0.00564858j -0.00239762+0.0135724j 0.00859841-0.00163122j 0.00258989-0.0056197j -0.022805+0.0124962j -0.00931825-0.000265384j 0.00591522-0.0137018j 0.0039135+0.0221561j 0.0123455+0.00526465j -0.0155929+0.00715958j 0.00352436+0.00716717j 0.00743154-0.0449239j 0.0147429-0.00977756j -0.0076012+0.00873248j -0.00638527+0.00882307j -0.00797661-0.00176313j 
0.0108681-0.00831046j -0.0139866-0.012984j -8.07826e-05+0.00497208j -0.0100019-0.00310788j 0.0284881+0.0747595j -0.0284927+0.0555047j -0.0299247+0.0166491j -0.0342083-0.00394768j -0.0268882-0.0563674j 0.0280435+0.0638679j -0.069519+0.0283443j -0.0621391-0.00476784j 0.0522888-0.0802199j -0.0411333+0.0211759j -0.028672+0.00315145j 0.0114634-0.0892691j 0.0241925+0.0113557j -0.0740148+0.0378958j -0.0172226-0.0207926j -0.0125192+0.0626844j 0.0259278+0.0303008j -0.000342944-0.010351j -0.00458986+0.0360851j 0.00173429+0.00729751j -0.0864224-0.0112999j 0.024054-0.098042j -0.0280458+0.0222164j 0.0218424+0.0131804j -0.00970232+0.0676757j -0.0104024+0.0472016j 0.0586382-0.00542605j 0.0420682-0.038751j 0.0403999+0.0218736j 0.0362673+0.0504673j -0.0201388+0.0814082j 0.0277161+0.00280251j 0.00946761+0.0862425j -0.00154854-0.0134922j 0.00941868+0.00441293j 0.00845589+0.0766933j 0.00104202+0.0110605j 0.020669+0.0328983j -0.00707734-0.0591376j 0.0408927+0.00341132j 0.0214978+0.0910738j -0.00870373-0.0350833j 0.0182279-0.00748802j 0.00969628-0.00554109j 0.0573157-0.0132201j -0.0193433-0.0415403j 0.0250294-0.0367553j 0.0752047+0.120549j -0.0961558+0.0583193j 0.0478801+0.0157667j 0.181484-0.0596177j -0.0160645-0.0495684j 0.042845+0.0265907j 0.0145235-0.0412233j 0.0277402+0.0209119j -0.0405401-0.00374207j -0.0170557-0.0214349j 2.41041e-05-0.08723j -0.0185076+0.00564042j 0.0587001+0.0126479j -0.0210386+0.021802j -0.0315142+0.0164651j -0.0115657+0.00924851j 0.00860644+0.00657386j 0.00860789-0.025554j 0.0261135-3.74865e-05j 
0.0113022+0.00841715j 0.0138071-0.0132918j -0.0262837-0.00717395j 0.0114805-0.0226766j 0.0337665+0.00880137j 0.0116872+0.0335827j -0.0654708+0.0381409j 0.0247061+0.0822986j 0.0656456+0.0232176j -0.0206713+0.0106009j -0.00436865+0.0151221j 0.115211-0.0177531j 0.0220973+0.0881298j 0.0559293+0.0892903j 0.0544787-0.0429081j 0.0023525+0.000456093j -0.0100789+0.123493j -0.129071+0.120037j -0.0370451-0.00555624j -0.029327+0.118686j -0.0555663-0.0764101j 0.0721481+0.0156982j -0.0545786+0.0228437j -0.108203-0.0545204j -0.0388339+0.0123064j -0.0239982+0.0226136j -0.109752+0.0788783j -0.0199542+0.00274721j -0.067498+0.0214163j 0.113641+0.0234412j 0.065006+0.0621428j -0.0838182+0.0509802j -0.0942735-0.106389j -0.00419811+0.0417839j 0.0122952-0.0165025j 0.00965364-0.0469705j -0.00315266+0.0662273j -0.0608095+0.0431736j 0.0228941-0.00989357j 0.0945034-0.0360379j -0.00961909+0.055328j -0.00023459-0.0771859j 0.0205272-0.137115j -0.0346712+0.0106966j 0.0181061+0.135874j -0.0112136+0.0116571j 0.0394419+0.0720639j 0.0348901+0.0394109j -0.0870473+0.0418226j 0.0830832+0.0383274j 0.0330143-0.0474638j -0.0499899+0.105375j 0.0480384+0.0236981j 0.0499054-0.190301j 0.0867971-0.018484j -0.00206113+0.114511j 0.0957768+0.0995404j 0.0112794+0.155244j -0.110932-0.00153141j 0.000159898+0.0642113j -0.147618+0.0359777j -0.0194281-0.0498787j -0.000110076-0.041287j 0.00418542-0.0529751j 0.0506743+0.0435188j 0.057083+3.67494e-05j -0.0072611-0.00344276j 0.00442537-0.002492j 0.0127472-0.00889947j 0.00286452+0.0099888j 
-0.0265261-0.00426058j 0.0162666+0.0335022j -0.00449018+0.0256634j -0.0396977+0.00565851j -0.0157112-0.06914j 0.0135193-0.0148494j -0.0533319-0.0342273j 0.0187697+0.0320803j 0.00192039-0.0400649j -0.031299-0.0138632j 0.00366878+0.00651943j -0.0101749+0.00763195j -0.0290415-0.0033464j -0.00313117+0.0398426j 0.0172089-0.0124106j -0.0231785+0.0151492j 0.0385862+0.0400948j -0.0273029-0.0445375j 0.0189289-0.00320724j -0.0118842-0.00976405j -0.0891452-0.0168627j -0.00469875-0.00741932j -0.0181793-0.0207461j 0.0364+0.112782j 0.0182325+0.0238468j 0.00951361-0.00231874j 0.00699003+0.0116072j -0.00222753-0.00681916j 0.0781101+0.0156029j -0.0578373-0.0473992j -0.0162168+0.0159538j -0.0361508-0.0923671j 0.027445+0.0721598j 0.0568295-0.00441622j 0.0145248-0.0839151j -0.0128969+0.0119928j 0.0573924-0.00834939j -0.0194804-0.00436007j -0.00711639+0.00301316j 0.0154983-0.0210072j -0.0565215+0.0414531j 0.01574-0.0264592j 0.0123645+0.0281572j 0.0187075+0.0118493j -0.023264-0.0570974j 0.0208949-0.00372923j 0.027712-0.044106j 0.0622907-0.0314964j 0.0196011-0.00585807j 0.0295051+0.0458597j 0.0464646+0.0167507j -0.0175514-0.0555624j 0.0215241+0.0102746j -0.00808137+0.0355978j 0.00217572-0.0110275j -0.00658139+0.0508017j -0.00433795-0.0182941j -0.0156984+0.0493138j 0.00922999+0.0334814j 0.0536576+0.0273738j -0.0569472+0.0170847j 0.0385703+0.011561j -0.00669133-0.00270449j 0.0704094+0.0383865j 0.0127877+0.0285919j -0.0740445-0.0426846j -0.038806+0.000211389j -0.0285691-0.0188448j -0.040107-0.00699409j 0.0258925-0.0405491j 
-0.0114359-0.0152414j -0.00531082+0.00552848j -0.00479675+0.0130133j -0.0205289+0.00233311j -0.0283297-0.0225396j 0.0315368+0.00516399j -0.0510595+0.0366154j -0.000195507+0.017884j -0.00129788+0.0230269j -0.0524548+0.0387673j -0.0072466+0.0155878j 0.026607-0.0192794j -0.00936272+0.0378253j 0.00882939+0.0153272j 0.031294-0.00934363j -0.0336334+0.0530884j 0.0339054+0.0490479j -0.0144923+0.0153486j 0.0138564-0.00661867j -0.0120016-0.0221633j -0.0280013-0.0249123j 0.0422618+0.0444984j 0.00332164-0.0372971j -0.0245481+0.0416681j 0.0103867+0.0162719j -0.0268771+0.00306357j 0.0222337+0.00946111j -0.0453256-0.0292319j 0.00790697-0.0234353j 0.0383147+0.0155493j -0.0118641-0.0287188j 0.00522629-0.0209142j -0.0188098-0.0339977j 0.0453929-0.013613j -0.000957126+0.0150533j -0.036263+0.0266161j -0.00749231+0.00665759j -0.0171492-0.0108631j 0.00309239+0.0518886j -0.00157755-0.0239087j -0.0440089-0.0143547j 0.0364784-0.0243721j 0.0226729-0.00527888j 0.0192016+0.0335453j -0.00890708-0.0136234j -0.0258568+0.0380931j -0.0260889+0.00448419j 0.0132644-0.0134835j -0.0282916-0.0235735j -0.00779103+0.0334567j -0.00536114-0.00325243j -0.0708392-0.0331078j 0.0126278-0.0113792j -0.0229482-0.026273j -0.0518833+0.0245044j -0.00846041+0.0288793j 0.0242171+0.000167117j -0.0162995+0.0683079j 0.0126691+0.0241613j 0.0605904+0.0311982j -0.0458633+0.0122691j 0.0322559+0.03055j 0.0100943-0.0207478j 0.013991-0.00449578j 0.00907958-0.00858276j -0.0280078-0.00619213j -0.0304887-0.00670626j 0.00467441-0.0193097j -0.0105047-0.0131644j 0.0145321-0.0214854j 
-0.0113689-0.0146882j 0.0225637+0.0144599j 0.00735195+0.0639421j -0.0725791+0.0201759j 0.0277159-0.0218124j -0.0333975+0.0750101j -0.0671545-0.0297318j -0.0640875-0.00656127j -0.0472959-0.0897405j -0.0447997+0.0285538j -0.0519787-0.00625217j -0.103971-0.052288j 0.0710949-0.0938101j -0.0775768+0.0253689j -0.0151516-0.00728792j 0.0137587+0.0113694j 0.0534321-0.0395169j 0.0035095-0.0183823j 0.010159+0.00843937j 0.00770583+0.0175864j 0.0295165+0.0194277j 0.0525635-0.0418735j -0.00631294+0.0938423j 0.0438423-0.0332209j -0.0512326+0.0223542j 0.0221945-0.0860189j -0.0104758+0.0318602j 0.0624837-0.021177j -0.0195387+0.066222j -0.0143106+0.0166131j 0.0422973+0.0746233j 0.0310645-0.0727986j 0.0265141+0.0355051j 0.0669288+0.043265j -0.0220427+0.0905095j 0.0844516+0.0576568j 0.0166451+0.050965j -0.0673925-0.0791005j 0.0122911+0.0513868j 0.00219295+0.0788727j -0.0332735+0.00975662j -0.00961675-0.00563686j -0.0255864+0.00754436j 0.015923+0.0264554j 0.030351+0.0277249j -0.00184671-0.0621984j 0.0729583-0.0491559j 0.0122339+0.00910589j 0.0815984+0.0043182j -0.00672687+0.0320385j 0.00957758+0.0557075j 0.0452795+0.134179j -0.0664874+0.0594498j 0.100136+0.0339878j 0.0985144-0.0870113j -0.0217354-0.0517405j -0.0709542+0.00287893j 0.0338698-0.0501948j -0.0212279+0.0754836j -0.00629534-0.0222355j 0.0234242+0.024286j -0.0582181-0.0274542j -0.0463298+0.110794j 0.158862+0.0430892j -0.0335441+0.020082j -0.0540513+0.0325357j -0.0161994+0.0343316j -0.0348092-0.0100976j 0.00763505-0.0282348j 0.0416241-0.0230637j 
-0.0127612+0.0104115j 0.0167465+0.00808056j -0.0328386-0.0113726j 0.0425692-0.0377119j 0.00770063+0.0307691j -0.0326222-0.0197676j -0.0133988-0.0592489j -0.0142627+0.0621639j 0.0795409-0.0283669j 0.114344-0.0539381j 0.0969354+0.0371015j -0.0203555-0.00424002j -0.0187306-0.0138738j 0.135772+0.0406588j -0.0399183+0.0112742j 0.00930401-0.111472j -0.102748-0.0610489j -0.0160091-0.0858477j 0.0545772+0.0298972j -0.0818632+0.0395645j -0.0960913+0.0126926j -0.15706+0.0299181j -0.0107594-0.0339268j 0.0372801-0.0121135j -0.0287805+0.0413754j 0.0136903+0.0889715j -0.0760129+0.01235j 0.00993733+0.115853j 0.059439+0.0712867j -0.0634497-0.128927j -0.0385387+0.0144245j -0.0296212+0.0517598j 0.0975593+0.0962295j -0.0536681+0.0408847j -0.0400692-0.0511139j -0.0198392-0.036808j 0.0496683+0.072463j 0.0790419+0.0784418j -0.0209426-0.133879j 0.0103736-0.0128631j 0.0332333+0.00987392j 0.000945056+0.0264842j 0.0190603+0.0317027j -0.0391953-0.0762337j -0.015956-9.5091e-05j 0.00312546-0.0254961j 0.0139981-0.0642334j -0.00495691-0.0381292j 0.0114031-0.0248924j 0.0390981-0.0604174j 0.0546571-0.0555177j 0.110565-0.170209j 0.0134874-0.0472769j -0.0468336+0.0636197j 0.0352119+0.0677713j 0.0350283-0.00725291j 0.052182+0.039849j -0.00720413+0.0215587j 0.020863-0.08489j 0.0233007+0.0145848j -0.0258044+0.0218705j -0.0136127-0.0703652j 0.0133632-0.0179554j 0.0163629+0.00944102j 0.0032238+0.0200892j 0.0668548+0.0527855j -0.0457321+0.0178229j 0.0136526-0.0281944j 0.0337224+0.0044837j -0.0133801+0.0169045j 
-0.0206074+0.0105279j 0.0114943+0.0308211j -0.0141528-0.0154853j 0.0112029-0.0268367j 0.00666577+0.0184047j -0.0210681-0.0108737j -0.0203322-0.0522235j 0.0148187+0.0259108j 0.0225784-0.0836151j 0.0557657-0.0519051j 0.0134944+0.0327619j -0.0367971+0.0373023j -0.0418842-0.0510244j 0.0933378+0.0673163j -0.00119864+0.00382666j -0.00550517-0.122243j -0.0043532-0.00309788j -0.0542235-0.0964812j 0.0586545+0.0448078j -0.0502431+0.0381226j -0.103466+0.0333003j -0.13642-0.02492j -0.050947-0.0467095j 0.0556218+0.0823569j -0.0393881-0.00327143j 0.0257949+0.0106201j -0.05333+0.0197615j -0.0183542+0.112798j 0.0965102+0.0344308j -0.11495-0.113869j -0.0401353-0.00110119j -0.0497593-0.0446815j 0.112067+0.127362j -0.0012669-0.0344979j -0.023907-0.0803265j -0.00820857+0.0171889j 0.108694+0.079174j 0.0303073+0.0937096j -0.0182252-0.0983894j -0.0215266-0.00821053j -0.000948043+0.0298769j 0.02206+0.0288632j 0.0519713+0.0674786j 0.0314183-0.0710346j -0.0427897+0.00422793j 0.0127675+0.00841352j 0.0254405-0.101167j 0.00926541-0.072225j 0.00400582-0.0332931j 0.0549922-0.0478765j 0.0381038-0.0796275j 0.13831-0.133057j -0.0295331+0.00221475j -0.0265883+0.104513j 0.0854862+0.046399j 0.0331461-0.0216388j 0.0788607+0.0150969j -0.0365405-0.016215j 0.0232536-0.0379346j 0.0195271+0.0408243j -0.0370655+0.00437712j 0.0251443-0.030905j 0.000557768-0.013856j 0.0306862+0.0500116j -0.00668388+0.0359813j -0.00651751-0.0474012j -0.0132925+0.00457838j -0.00132678-0.0217485j -0.0182758+0.0161304j -0.00982115-0.0151051j 
-0.00375141-0.00479221j 0.00540867-0.000199357j 0.00804972+0.0258329j -0.0304707+0.0104386j -0.0350399-0.0471209j 0.0295643-0.0258276j 0.0145506+0.0159071j -0.020031-0.0133083j -0.0137985+0.0361995j -0.059671+0.00689815j -0.000363198-0.0185394j 0.0159544-0.0340897j 0.000530231+0.0341927j -0.0535769-0.0224427j -0.00710879+0.009952j -0.0229326+0.0821767j 0.006204-0.0154126j 0.0693862-0.00694716j -0.0274201-0.0464487j 0.021969-0.0603419j 0.0425128-0.0249031j 0.0750263+0.0202531j 0.0321648+0.0122354j -0.0173557-0.0165959j 0.0619406+0.00245958j -0.0221733+0.0180625j 0.0404499-0.0164421j -0.0122659-0.0673737j -0.0183241-0.0303755j 0.0246554+0.0439197j 0.00824999+0.00537475j 0.00631288+0.0228501j -0.0520611-0.0556933j 0.00850181-0.00744411j -0.00761033+0.00223481j 0.00275642+0.0134797j -0.0342481-0.0531912j -0.019724-0.017468j -0.00571331+0.063725j -0.00895032-0.00461829j 0.0220615-0.0217697j 0.0141747-0.0409913j -0.0552304-0.00924699j -0.0159916+0.0315939j 0.00856601-0.0339545j 0.00881541+0.0218176j 0.0190196+0.00240906j -0.0477265+0.0416008j -0.0352141-0.0195052j -0.0121557+0.0384714j -0.0219053+0.0595243j -0.079378+0.0166678j 0.0334838+0.00246062j -0.0068885-0.00176379j -0.0832996-0.00267853j -0.0419533+0.0121701j -0.0550389-0.0279342j -0.00537443+0.00621237j -0.0143601+0.0288722j 0.0329406-0.0191832j 0.0289497+0.0233841j -0.00023068+0.0549242j 0.019964+0.0208872j -0.00863108-0.0197378j -0.00282314-0.028109j -0.0246195+0.00510876j -0.0150702+0.0109328j 0.00318208-0.0117371j 0.00498954-0.00558103j 0.0075658-0.00936034j 
-0.00149919-0.00957928j -0.00548124-0.00708212j 0.00391676+0.0265028j -0.0183366-0.00361576j -0.021662+0.000823115j 0.0081158-0.00167141j -0.00807923+0.0128229j -0.0315855-0.000393951j -0.0345738+0.00202843j -0.00574653+0.0177853j -0.00825187+0.0141218j -0.0183937-0.0177876j -0.00264446-0.00804737j -0.0158127+0.00371725j -0.0230766-0.0307633j -0.00531288+0.00343264j 0.00355426-0.00360417j -0.000152206+0.0297973j -0.0185935-0.0148179j 0.0025752-0.00777155j 0.0475397+0.00412895j 0.0316886+0.0295925j -0.0116663+0.012214j -0.0209704-0.024191j -4.41443e-05-0.0143992j -0.0289764-0.00341094j -0.00359896-0.00693101j -0.00333863-0.0205245j -0.0204274-0.00861704j 0.0345477+0.0266631j -0.00383531-0.00137552j 0.00793668+0.0102645j -0.0226762-0.0429335j 0.00583471+0.0368384j -0.0188405+0.0401504j -0.0177926+0.0135666j -0.0105733+0.00889899j -0.0157902-0.00811518j 0.0332009+0.038545j -0.00596276+0.0203064j 0.0045331+0.0147807j -0.0181308-0.0263107j -0.0177268+0.00534389j -0.000751334+0.000944514j -0.00533396+0.0219381j -0.00729592+0.00769803j 0.0255437-0.00137135j -0.0163592+0.00848357j -0.00513323+0.0047192j -0.0169704+0.0116421j 0.0107804+0.0325101j -0.0348571+0.0606921j -0.0212965+0.0253598j -0.000446259-0.0243974j 0.0163874-0.0153213j -0.0039607-0.00548717j -0.00527149-0.0103231j -0.0152391+0.00795635j 0.0127156+0.0230667j 0.011739+0.0153763j 0.000457632+0.00615421j -0.0193353-0.0028271j 0.0213301+0.026777j 0.00278627-0.00543209j -0.00132614-0.0198403j -0.00114593+0.00215067j -0.0136443+0.0153801j 0.000617659-0.0130996j 0.00837564-0.00796012j 0.00298611-0.00549442j 
-0.0106324-0.00911461j -0.00391737+0.00613936j -0.0143643+0.0071239j -0.00899492-0.0059874j -0.0191874-0.0195589j 0.0226398-0.0152211j -0.0483901+0.0256891j 0.0300247+0.0384974j 0.0137059+0.0144768j -0.0222204+0.00745109j -0.00479388+0.0174567j 0.0488549-0.00618254j -0.00233891+0.0465044j 0.0255479+0.0460415j 0.0231558+0.00585564j -0.0355682+0.0266446j 0.0250929+0.057785j -0.0474276+0.0277391j -0.00662861-0.0209601j -0.0105029+0.0186947j -0.0622313-0.0576292j 0.0355867+0.00575305j -0.0169319-0.0352581j -0.0298454+0.00844809j -0.00898568+0.00558264j -0.00559067+0.0387983j -0.01551-0.0005547j -0.00127712-0.0151279j -0.0110305+0.0212037j 0.00120334+0.000174475j -0.0127243-0.0220822j -0.0419996-0.00450573j -0.00484044-0.00184212j 0.0286102-0.0165121j 0.0209638-0.0396301j 0.00380832+0.00897246j 0.00626971+0.0130429j -0.0204803+0.0280907j -0.010528+0.0082388j 0.0301587-0.0229167j -0.0385319+0.0101312j 0.0416909-0.0266903j 0.00759059-0.0236471j -0.00717206+0.0314924j -0.00663937+0.00381591j 0.0226116+0.0304692j 0.0019507-0.00462993j 0.0414359-0.0144635j -0.0194527-0.0153745j 0.0260673+0.0162122j 0.0300993-0.000222651j -0.0443942-0.0250916j 0.0166269+0.00143557j 0.00430935-0.0393338j -0.0105384+0.0112424j 0.000800771+0.0530083j 0.0421182+0.0035599j -0.0146456+0.0769214j -0.0114595+0.00257767j 0.032238+0.0335194j -0.0761591+0.0177385j 0.0281586-0.00197946j 0.00885867-0.0343958j 0.00758324-0.0089714j 0.0157853+0.00357901j -0.0116032-0.0182265j -0.0218387-0.0155093j 0.00113964-0.0136288j -0.0184623-0.00952344j 0.00925443-0.0164424j 
-0.0119388+0.00362404j 0.0133501+0.0210832j 0.0060814+0.00315288j -0.00550304+0.00681182j -0.0022148-0.0507253j -0.0116865-0.00233414j -0.00194751-0.0398533j 0.00406568-0.0291888j 0.00944624-0.00713928j -0.0279064-0.044506j -0.01531-0.00550247j 0.0228771+0.00382239j -0.00455431+0.0129316j 0.0169481-0.0223116j -0.00368517+0.0207789j -0.0026245+0.0306705j -0.0107429-0.00416115j 0.0305261-0.0427893j 1.10354e-06+0.00565938j 0.021776-0.00164582j -0.000487661+0.00895786j 0.033032+0.00241849j 0.0135745-0.0254494j 0.0212408+0.0118332j 0.0316147+0.0329186j -0.00940669+0.00928428j 0.0233815-0.0196282j -0.0301666+0.0136304j 0.0379534-0.00768973j -0.0219899-0.00951683j -0.0465864+0.0332842j -0.0260935-0.0300812j 0.0123421-0.00201783j 0.0102186-0.0529039j 0.00841383-0.00521059j 0.0128808+0.0150885j -0.00122733-0.0363254j -0.0210361+0.00390806j 0.0288902+0.00134509j -0.0168799+0.0015526j 0.00722555+0.000493009j 0.00221618-0.0263668j -0.0102241+0.0413602j -0.00517523-0.0105219j 0.0165905-0.0338913j -0.00405452+0.0271525j -0.00741265-0.028368j -0.0186503-0.00554145j -0.00883504+0.0028169j -0.00135688-0.000677551j -0.019697+0.0118342j -0.0212772-0.00683284j 0.0184448+0.00441018j 0.00267119+0.0118072j -0.0510116+0.0293726j -0.004701+0.0128058j -0.0176503-0.0133978j 0.00421078-0.0206636j -0.00858502+0.0195717j 0.0128333+0.000825733j 0.020199+0.0115371j 0.00868324+0.0479444j 0.0111333+0.00529217j 0.0157469+0.0214102j -0.00262234+0.00482348j -0.0181775-0.012164j -0.0035308-0.0144928j -0.00229258-0.00261356j -0.0141087+0.0107173j -0.00301925-0.00942294j 
-0.00235744-0.00562007j -0.0166588-0.00661625j 0.00172754-0.00780541j 0.0156112-0.00915901j -0.0376021+0.0151415j 0.00327361-0.00357039j -0.0115685+0.0222595j 0.0096129-0.0113805j -0.0187228+0.0135912j 0.0114302+0.00274405j 0.0102643+0.00544059j 0.00760369-0.000800517j -0.00779089+0.00950839j 0.00649677-0.0117j 0.00439053+5.70054e-06j -0.0206197+0.00335859j -0.0115792+0.00645306j -0.00993069+0.0177651j -0.00241391-0.00915974j -0.00620495-0.00269261j 0.0255849-0.0100475j -0.00295479+0.0127577j -0.000897137-0.00939279j -0.0114613-0.0080793j -0.0124808-0.0196461j 0.0210038+0.023968j 0.0133956-0.0187469j 0.00856887-0.0131659j -0.0249015-0.0236151j 0.00405457-0.00731858j -0.0253896-0.0457497j 0.0111138+0.0040395j -0.0039561-0.0195453j -0.0231741-0.00148153j -0.00793009+0.00126846j -0.0238653-0.0069049j -0.000125701-1.20346e-05j 0.00996987+0.0133712j 0.000441804+0.00216263j 0.0139957-0.00729015j -0.0108307-0.0180665j 0.00952991+0.00768151j 0.00120398-0.00403816j 0.00880099+0.00656763j -0.00519666+0.000160574j -0.00260327+0.0167868j -0.0254637+0.0155804j -0.0103628-0.00457249j 0.0045873-0.0153209j 0.00292101-0.0267484j -0.00382369-0.00504017j -0.00221229+0.0123445j -0.00231991+0.0101289j -0.0104505-0.0380106j 0.00439024+0.00352191j 0.0136113+0.00574286j 0.0239748+0.00470494j -0.0152332+0.00352012j 0.0124207-0.0236844j -0.00209326+0.0110913j -0.00623069-0.00783961j 0.00026551+0.0108422j -0.00978995-0.00967944j -0.036129-0.0087084j -0.00116966-0.0264349j 0.0193696+0.00582013j -0.00528916+0.00155674j 0.0184958+0.0102948j 0.00356742+0.00411506j -0.00635096+0.00671866j 
0.00572214+0.00904785j 0.00470351+0.000629437j -0.00275461-0.0149976j 0.0142616-0.00619231j 0.00335955-0.0247672j 0.00297161-0.0337208j 0.0262-0.0166185j 0.0234286-0.0012012j 0.020795+0.012009j -0.000820096-0.0101826j -0.00490603-0.0130171j 0.028945+0.0211643j -0.0201066+0.017919j 0.0316125+0.00662847j 0.0166739+0.0104665j -0.0154925+0.00878476j 0.00252517-0.00993695j -0.00462711+0.0306173j -0.000386515+0.00721418j 0.0123467+0.00399253j -0.00606962-0.0120346j 0.0191548+0.00581716j -0.0175023-0.00480351j -0.00326445-0.00302914j 0.0328801+0.000301304j 0.00850735+0.0178315j -0.0118064-0.0105062j -0.0113309+0.00715532j 0.000723137-0.0229765j 0.00664569+0.00666651j -0.0131852+0.00306972j -0.0332812+0.0195728j -0.0277177-0.0168476j -0.0160402-0.0268759j 0.0162841-0.0333953j -0.0225266+0.00699569j -0.00574644-0.00165706j -0.0102895+0.029009j 0.00123463-0.000604004j 0.00985902-0.0227832j 0.0298549+0.0158569j -0.00771999-0.0128658j 0.013267+0.00820957j -0.0187095-0.00692821j -0.010803+0.00225028j 0.00193189+0.000819186j -0.0108556+0.00600203j -0.00779267+0.00919462j -0.0287216+0.00534241j -0.000612351+0.0295769j 0.000537378+0.0024973j -0.00597867-0.0167907j 0.0105461-0.0129574j -0.019538-0.0164197j -0.00907123+0.0105786j -0.00297905+0.0288151j 0.0198066+0.0170304j -0.00766872+0.00993243j -0.0286691-0.00461761j -0.00490495-0.00833971j 0.0123873-0.0176262j 0.0167413+0.0250352j 0.0130563-0.00200736j -0.0428044-0.007239j 0.0286516-0.00889991j 0.00460455-0.0238273j 0.00197832-0.00761536j -0.000383174-0.0108903j -0.0101964+0.0151114j -0.0138051-0.000498112j 
0.00884592+0.0174241j -0.0054245-0.00465896j 0.012941-0.0183051j 0.00484465-0.00803017j -0.00944412+0.0175939j -0.00672774-0.027364j 0.0544511+0.00944874j 0.0353733-0.0235228j -0.012077+0.00951324j 0.0170369-0.0557897j -0.00660938-0.0211735j 0.0182547+0.0604858j -0.0295756-0.0199084j 0.00149834-0.00512032j 0.0078107+0.0256485j 0.0147089-0.0144105j 0.0153422-0.0213933j 0.00629935-0.00573066j -0.00564834+0.0344603j 0.00914286-0.000438427j -0.00102269+0.0165088j -0.0200687-0.0424788j -0.0398885-0.00108526j 0.0221113+0.00609601j 0.0222045-0.0295604j -0.0015704-0.01174j 0.0144885-0.0124998j 0.0118779+0.0238004j -0.0013973-0.0304811j -0.0386426-0.0139427j 0.00854164+4.63986e-05j 0.000823647+0.00189206j -0.0140639+0.0228944j -0.0514256-0.0133763j 0.00186684-0.0331115j 0.0100824+0.000209101j 0.0121518-0.0150138j 0.0063077+0.0280997j -0.00839923-0.000948622j 0.0177637-0.00354699j 0.00709194-0.0120861j 0.00227957+0.00560093j 0.00644111-0.00650576j -0.00719288-0.0260084j 0.0016466-0.000144754j 0.0169209-0.0193761j 0.00881496-0.00817064j -0.00255176-0.00246408j 0.00631272+0.0102599j -0.00189255-0.00276877j 0.00304573-0.00388363j 0.030443+0.00802893j -0.0140926-0.00536815j 0.00449764-0.0111253j 0.0156018-0.00237092j 0.0156973-0.00875728j -0.0146505-0.0204632j -0.00992483-0.0343187j 0.00532509-0.0297158j -0.0369958-0.0196675j 0.0370537-0.0412319j -0.0159506+0.0173009j -0.00374044-0.00304385j -0.0476864+0.00385385j 0.0144051-0.0153684j 0.001761-0.0618021j 0.0357871+0.00193263j -0.00381299+0.0275105j -0.0150604+0.0196801j -0.0186035+0.0118225j 
