-0.000855283-0j -6.29976e-06-0j -7.55971e-05-0j -7.12736e-05-0j -8.76442e-05-0j -0.000740697-0j -0.0051317-0j -0.000743685-0j -0.00649114-0j -5.16448e-06-0j -2.34778e-07-0j -0.000429367-0j -0.00342113-0j -0.00049579-0j -6.32517e-06-0j -6.19738e-05-0j -0.000302388-0j -4.38221e-05-0j -0.00420692-0j -4.08288e-07-0j -0.000665172-0j -0.00460845-0j -0.0410536-0j -0.00594948-0j -1.28599e-08-0j -0.0381616-0j 
0.00418989-0j 3.08614e-05-0j 0.000744524-0j -3.62897e-06-0j 0.000429354-0j -3.77133e-05-0j 0.0251393-0j 0.00364319-0j -0.000330503-0j -2.62955e-07-0j -1.1954e-08-0j 0.00422865-0j -0.00017419-0j -2.52437e-05-0j 6.2294e-05-0j -3.15546e-06-0j 0.00447484-0j 0.000648493-0j -0.0002142-0j 2.00013e-06-0j -3.38679e-05-0j 0.022576-0j -0.00209028-0j -0.000302924-0j -6.54773e-10-0j -0.00194304-0j 
0.000841128-0j -0.00178935-0j -0.00347919-0j -0.0100516-0j -0.00403363-0j -0.034089-0j -5.27877e-05-0j 0.000731377-0j 0.00638371-0j -0.0014669-0j -0.000167643-0j -4.41672e-06-0j -3.51918e-05-0j 0.000487585-0j -0.000892033-0j -0.0087401-0j -3.11054e-06-0j 4.30968e-05-0j -4.32748e-05-0j -0.000193954-0j -0.0306131-0j -4.74052e-05-0j -0.000422301-0j 0.00585102-0j -1.28734e-05-0j -0.000392552-0j 
-0.000600931-0j 0.00127838-0j 0.00248565-0j 0.00718125-0j 0.00288177-0j 0.0243543-0j 3.77133e-05-0j -0.000522521-0j -0.00456075-0j 0.001048-0j 0.00011977-0j 3.15546e-06-0j 2.51422e-05-0j -0.000348347-0j 0.000637299-0j 0.00624423-0j 2.22228e-06-0j -3.07899e-05-0j 3.0917e-05-0j 0.000138567-0j 0.0218711-0j 3.38679e-05-0j 0.000301707-0j -0.00418017-0j 9.19722e-06-0j 0.000280453-0j 
0.00246943-0j 1.81891e-05-0j 0.000438806-0j -2.13883e-06-0j -0.000744748-0j -2.22274e-05-0j 0.0148166-0j -0.0063194-0j -0.000194791-0j 4.56116e-07-0j -7.04541e-09-0j -0.00733493-0j -0.000102664-0j 4.37871e-05-0j -0.000108054-0j 5.47339e-06-0j 0.00263737-0j -0.00112486-0j 0.000371546-0j -3.46939e-06-0j 5.87466e-05-0j -0.0391599-0j -0.00123197-0j 0.000525445-0j 1.13576e-09-0j 0.00337035-0j 
0.0328252-0j 0.000982455-0j 0.0117891-0j -8.64942e-05-0j 0.00679855-0j -0.000597167-0j -0.00416364-0j 0.0285421-0j -0.00258929-0j -8.371e-06-0j -5.7181e-07-0j -0.000700361-0j 2.88499e-05-0j -0.000197768-0j 0.00148474-0j -7.52084e-05-0j -0.000741135-0j 0.00508054-0j 3.54763e-05-0j 7.96741e-05-0j -0.000536277-0j -0.0037391-0j 0.000346199-0j -0.00237322-0j -3.65588e-08-0j 0.000321811-0j 
0.0402025-0j 0.00120326-0j 0.0144386-0j -0.000105933-0j 0.000118518-0j -0.000731377-0j -0.0050994-0j 0.000497569-0j -0.00317121-0j -1.4593e-07-0j -7.00322e-07-0j -1.22093e-05-0j 3.53338e-05-0j -3.44766e-06-0j 2.58832e-05-0j -1.31109e-06-0j -0.000907702-0j 8.85681e-05-0j 6.18452e-07-0j 1.38894e-06-0j -9.34882e-06-0j -6.51831e-05-0j 0.000424005-0j -4.13719e-05-0j -6.37323e-10-0j 5.61007e-06-0j 
-0.028722-0j -0.000859648-0j -0.0103154-0j 7.56824e-05-0j -8.46733e-05-0j 0.000522521-0j 0.00364319-0j -0.000355481-0j 0.00226562-0j 1.04257e-07-0j 5.00334e-07-0j 8.72272e-06-0j -2.52437e-05-0j 2.46313e-06-0j -1.84918e-05-0j 9.3669e-07-0j 0.000648493-0j -6.32761e-05-0j -4.41843e-07-0j -9.92309e-07-0j 6.67912e-06-0j 4.6569e-05-0j -0.000302924-0j 2.95575e-05-0j 4.55326e-10-0j -4.00803e-06-0j 
-0.0331653-0j -0.000992636-0j -0.0119112-0j 8.73905e-05-0j 0.00667346-0j 0.000603355-0j 0.00420679-0j 0.028017-0j 0.00261612-0j -8.21698e-06-0j 5.77736e-07-0j -0.000687475-0j -2.91489e-05-0j -0.000194129-0j 0.00145742-0j -7.38245e-05-0j 0.000748816-0j 0.00498706-0j 3.48236e-05-0j 7.82081e-05-0j -0.00052641-0j -0.0036703-0j -0.000349786-0j -0.00232955-0j -3.58862e-08-0j 0.00031589-0j 
0.0236945-0j 0.000709173-0j 0.0085098-0j -6.24348e-05-0j -0.00960535-0j -0.000431058-0j -0.00300548-0j -0.0403258-0j -0.00186905-0j 1.1827e-05-0j -4.12754e-07-0j 0.000989507-0j 2.0825e-05-0j 0.000279418-0j -0.00209772-0j 0.000106258-0j -0.00053498-0j -0.00717806-0j -5.01228e-05-0j -0.000112568-0j 0.000757681-0j 0.0052828-0j 0.000249899-0j 0.00335301-0j 5.16523e-08-0j -0.000454671-0j 
-7.56824e-05-0j -0.0101541-0j 0.000637299-0j -0.0278125-0j 1.05168e-05-0j 0.00624423-0j 3.15546e-06-0j -9.3669e-07-0j -0.000574389-0j -0.000118486-0j -0.00192213-0j 3.75795e-09-0j 2.10364e-06-0j -6.2446e-07-0j -3.51322e-05-0j -0.000344224-0j 1.85937e-07-0j -5.5195e-08-0j 3.68203e-08-0j -2.36653e-05-0j 7.98168e-05-0j 4.03346e-08-0j 2.52437e-05-0j -7.49352e-06-0j -2.63075e-06-0j 3.34002e-07-0j 
-8.73905e-05-0j -0.0117249-0j 0.00073589-0j -0.0321151-0j -0.000828873-0j 0.00721022-0j 3.64361e-06-0j 7.38245e-05-0j -0.000663247-0j 0.00933837-0j -0.00221948-0j -2.9618e-07-0j 2.42907e-06-0j 4.92164e-05-0j 0.00276892-0j 0.0271298-0j 2.14702e-07-0j 4.35015e-06-0j -2.90196e-06-0j 0.00186517-0j -0.00629071-0j -3.17894e-06-0j 2.91489e-05-0j 0.000590596-0j 0.00020734-0j -2.63241e-05-0j 
-0.0355894-0j -0.00106519-0j -0.0127818-0j 9.37778e-05-0j -0.00737106-0j 0.000647454-0j 0.00451426-0j -0.0309456-0j 0.00280733-0j 9.07592e-06-0j 6.19962e-07-0j 0.000759338-0j -3.12793e-05-0j 0.000214422-0j -0.00160977-0j 8.15416e-05-0j 0.000803546-0j -0.00550837-0j -3.84638e-05-0j -8.63834e-05-0j 0.000581437-0j 0.00405397-0j -0.000375352-0j 0.00257307-0j 3.96374e-08-0j -0.00034891-0j 
6.24348e-05-0j 0.0083767-0j -0.000525745-0j 0.0229442-0j 0.00119303-0j -0.00515123-0j -2.60312e-06-0j -0.000106258-0j 0.000473847-0j -0.0134411-0j 0.00158567-0j 4.26303e-07-0j -1.73541e-06-0j -7.08389e-05-0j -0.00398541-0j -0.0390489-0j -1.5339e-07-0j -6.26133e-06-0j 4.1769e-06-0j -0.0026846-0j 0.00905444-0j 4.57557e-06-0j -2.0825e-05-0j -0.000850067-0j -0.000298432-0j 3.78893e-05-0j 
8.64942e-05-0j 0.0116047-0j -0.000728342-0j 0.0317857-0j -0.00084441-0j -0.00713627-0j -3.60624e-06-0j 7.52084e-05-0j 0.000656445-0j 0.00951341-0j 0.00219672-0j -3.01732e-07-0j -2.40416e-06-0j 5.01389e-05-0j 0.00282083-0j 0.0276383-0j -2.125e-07-0j 4.43169e-06-0j -2.95636e-06-0j 0.00190013-0j -0.00640862-0j -3.23853e-06-0j -2.88499e-05-0j 0.000601667-0j 0.000211227-0j -2.68176e-05-0j 
0.000105933-0j 0.0142128-0j -0.000892033-0j 0.0389294-0j -1.47204e-05-0j -0.0087401-0j -4.41672e-06-0j 1.31109e-06-0j 0.000803977-0j 0.000165846-0j 0.00269042-0j -5.26004e-09-0j -2.94448e-06-0j 8.74062e-07-0j 4.91749e-05-0j 0.000481814-0j -2.60258e-07-0j 7.72569e-08-0j -5.15377e-08-0j 3.31246e-05-0j -0.00011172-0j -5.64567e-08-0j -3.53338e-05-0j 1.04887e-05-0j 3.68228e-06-0j -4.67506e-07-0j 
-0.00757049-0j -0.000226584-0j -0.00271892-0j 1.99482e-05-0j 0.00616023-0j 0.000137725-0j 0.000960265-0j 0.0258623-0j 0.000597169-0j -7.58504e-06-0j 1.31877e-07-0j -0.000634604-0j -6.65367e-06-0j -0.0001792-0j 0.00134533-0j -6.8147e-05-0j 0.000170929-0j 0.00460353-0j 3.21454e-05-0j 7.21935e-05-0j -0.000485926-0j -0.00338804-0j -7.98441e-05-0j -0.0021504-0j -3.31263e-08-0j 0.000291596-0j 
0.00594618-0j -3.0052e-07-0j -3.60624e-06-0j 0.000495515-0j 0.000609328-0j -3.53338e-05-0j -0.000244799-0j -3.54763e-05-0j -0.00030965-0j 3.5905e-05-0j -1.11997e-08-0j 0.00298509-0j 0.0477327-0j 0.00691741-0j -3.01732e-07-0j -2.95636e-06-0j -1.44249e-05-0j -2.09046e-06-0j 0.0292478-0j -1.94767e-08-0j -3.1731e-05-0j -0.000219839-0j -0.0019584-0j -0.000283811-0j -6.13459e-10-0j -0.00182044-0j 
0.00728256-0j -3.6806e-07-0j -4.41672e-06-0j 0.00060688-0j 1.06223e-05-0j -4.32748e-05-0j -0.000299817-0j -6.18452e-07-0j -0.000379242-0j 6.25925e-07-0j -1.37168e-08-0j 5.20384e-05-0j 0.0584603-0j 0.00012059-0j -5.26004e-09-0j -5.15377e-08-0j -1.76669e-05-0j -3.64426e-08-0j 0.000509871-0j -3.39534e-10-0j -5.5316e-07-0j -3.83241e-06-0j -0.00239854-0j -4.94761e-06-0j -1.06943e-11-0j -3.17353e-05-0j 
-0.00520291-0j 2.62955e-07-0j 3.15546e-06-0j -0.000433576-0j -7.58894e-06-0j 3.0917e-05-0j 0.0002142-0j 4.41843e-07-0j 0.000270943-0j -4.47183e-07-0j 9.79975e-09-0j -3.71781e-05-0j -0.0417661-0j -8.61536e-05-0j 3.75795e-09-0j 3.68203e-08-0j 1.26218e-05-0j 2.60359e-08-0j -0.000364269-0j 2.42575e-10-0j 3.95197e-07-0j 2.738e-06-0j 0.0017136-0j 3.53475e-06-0j 7.64039e-12-0j 2.26728e-05-0j 
-0.0060078-0j 3.03634e-07-0j 3.64361e-06-0j -0.00050065-0j 0.000598117-0j 3.56999e-05-0j 0.000247336-0j -3.48236e-05-0j 0.000312858-0j 3.52444e-05-0j 1.13158e-08-0j 0.00293016-0j -0.0482273-0j 0.00679013-0j -2.9618e-07-0j -2.90196e-06-0j 1.45744e-05-0j -2.052e-06-0j 0.0287096-0j -1.91184e-08-0j -3.11471e-05-0j -0.000215794-0j 0.00197869-0j -0.000278589-0j -6.02172e-10-0j -0.00178694-0j 
0.00429218-0j -2.16927e-07-0j -2.60312e-06-0j 0.000357682-0j -0.000860891-0j -2.55053e-05-0j -0.000176706-0j 5.01228e-05-0j -0.000223517-0j -5.07285e-05-0j -8.08438e-09-0j -0.00421749-0j 0.0344553-0j -0.00977329-0j 4.26303e-07-0j 4.1769e-06-0j -1.04125e-05-0j 2.95352e-06-0j -0.0413228-0j 2.75178e-08-0j 4.48312e-05-0j 0.0003106-0j -0.00141364-0j 0.000400983-0j 8.66728e-10-0j 0.00257201-0j 
-0.00644691-0j 3.25826e-07-0j 3.90992e-06-0j -0.000537242-0j -0.000660639-0j 3.83092e-05-0j 0.000265414-0j 3.84638e-05-0j 0.000335725-0j -3.89286e-05-0j 1.21428e-08-0j -0.00323646-0j -0.0517522-0j -0.00749992-0j 3.27141e-07-0j 3.20531e-06-0j 1.56397e-05-0j 2.2665e-06-0j -0.0317107-0j 2.11169e-08-0j 3.4403e-05-0j 0.000238351-0j 0.00212331-0j 0.00030771-0j 6.65118e-10-0j 0.00197374-0j 
-9.37778e-05-0j -0.0125819-0j 0.000789675-0j -0.0344624-0j 0.000915517-0j 0.00773721-0j 3.90992e-06-0j -8.15416e-05-0j -0.000711723-0j -0.0103145-0j -0.0023817-0j 3.27141e-07-0j 2.60661e-06-0j -5.43611e-05-0j -0.00305837-0j -0.0299657-0j 2.30394e-07-0j -4.80489e-06-0j 3.20531e-06-0j -0.00206014-0j 0.00694829-0j 3.51124e-06-0j 3.12793e-05-0j -0.000652333-0j -0.000229014-0j 2.90759e-05-0j 
-1.99482e-05-0j -0.0026764-0j 0.000167978-0j -0.00733077-0j -0.000765128-0j 0.00164584-0j 8.31709e-07-0j 6.8147e-05-0j -0.000151396-0j 0.00862019-0j -0.00050663-0j -2.73402e-07-0j 5.54473e-07-0j 4.54313e-05-0j 0.00255598-0j 0.0250433-0j 4.90089e-08-0j 4.0156e-06-0j -2.67879e-06-0j 0.00172172-0j -0.00580691-0j -2.93446e-06-0j 6.65367e-06-0j 0.000545176-0j 0.000191395-0j -2.42997e-05-0j 
-0.00137137-0j 6.93091e-08-0j 8.31709e-07-0j -0.000114281-0j 0.000552118-0j 8.14905e-06-0j 5.64583e-05-0j -3.21454e-05-0j 7.14147e-05-0j 3.25339e-05-0j 2.583e-09-0j 0.00270481-0j -0.0110086-0j 0.00626793-0j -2.73402e-07-0j -2.67879e-06-0j 3.32684e-06-0j -1.89419e-06-0j 0.0265017-0j -1.7648e-08-0j -2.87517e-05-0j -0.000199198-0j 0.000451666-0j -0.000257163-0j -5.55861e-10-0j -0.00164952-0j 
