-0.260151-0.143156j 0.081676-0.252395j 0.140697+0.0081385j -0.0454815+0.161183j -0.100013-0.103206j 0.0316693+0.02237j -0.00284672+0.0688234j -0.0450339-0.0214357j -0.0385232-0.0347233j 0.0116928+0.0209143j -0.0161684-0.0717319j 0.00813343-0.0578564j 0.0448473-0.0150395j 0.00652041+0.0419695j -0.00126204-0.0478634j -0.0931849-0.063755j 0.00580422-0.00470386j -0.0317235-0.0819273j 0.00676778+0.009447j 0.014887+0.0213169j 0.0246836+0.0341078j 0.0228623+0.0596228j 0.000555878-0.0214624j 0.0285877+0.0213692j -0.0132021-0.000559567j -0.0238061+0.0153016j -0.0211965-0.0148183j 0.0104858-0.0346421j 0.00750628+0.000130371j -0.00608683+0.0117084j -0.0127498+0.0190687j -0.0395268-0.0304558j 0.0277349+0.0129258j -0.00172385-0.0434682j 0.0348917+0.0590876j -0.0593818+0.00131013j 
-0.0013716-0.0269084j 0.0373367-0.0209219j 0.0663966+0.0545106j -0.00816047-0.0716324j -0.0156634+0.0590748j 0.0824015-0.0521125j -0.00538237-0.0119503j -0.0426724-0.0162867j 0.178589+0.0122855j 0.111029-0.0275938j 0.0708363-0.0830897j 0.00780068-0.126395j 0.0905014+0.134323j 0.128397+0.137866j -0.0657828+0.0311137j -0.228271-0.241856j -0.0250857-0.0417867j -0.0624691-0.0554859j 0.038875+0.0446684j 0.0258444-0.0346947j 0.0170254+0.0133751j -0.0078851+0.0754489j -0.0348829+0.00437912j 0.0510337-0.0864348j 0.0164507+0.0130622j -0.0095288+0.0449664j 0.000919152-0.0588378j -0.0109781-0.00518947j 0.0469852-0.0058168j 0.0391956-0.0248933j 0.0204639-0.046792j -0.0202724-0.0719087j 0.0691811+0.00457367j -0.00709147+0.0173949j 0.0130284-0.027872j 0.0274877-0.0199489j 
0.113614+0.0540799j 0.0139331-0.0201422j 0.0833578-0.011662j 0.00350248-0.0890938j -0.0486944+0.0494381j 0.0978407-0.0198932j 0.00489695+0.0319797j 0.0972711-0.0107454j -0.128268+0.11076j 0.0474048-0.202316j -0.135984-0.0859588j -0.0348235+0.182177j -0.000529428-0.025031j -0.25039-0.291929j -0.0520659+0.100308j -0.0592814-0.124551j 0.126463-0.0118288j -0.000121648-0.000611893j 0.0776152-0.0313072j 0.0961311-0.073734j -0.0170736+0.0210992j 0.0142335+0.0029002j -0.00845521-0.000954546j 0.00525686-0.0439128j -0.0216582+0.0564758j 0.029408+0.0111164j 0.0388013-0.00501153j -0.0229121+0.0167697j -0.0254549-0.0176945j 0.0360142+0.0237964j -0.0118149-0.0529757j -0.0049433-0.0218842j 0.0527159-0.00319465j 0.0129207-0.0106683j -0.00475037-0.00430823j 0.00678642-0.0139345j 
0.00201493+0.0249583j 0.00275693+0.0867735j 0.0682238+0.0765637j 0.0136258+0.054098j 0.0859026-0.083121j 0.140132-0.0666602j -0.0161025+0.115495j -0.26546-0.11987j 0.253999+0.0258582j 0.153028+0.14952j -0.094968+0.16909j -0.284324+0.177313j 0.216483+0.0181429j -0.118988+0.0262285j -0.162895+0.0305864j 0.0983929-0.0605346j -0.114706+0.039301j 0.0639938+0.0364856j -0.260469-0.0553486j 0.132424+0.0174174j -0.00633474-0.0239716j 0.0696945-0.0926277j 0.00834811+0.0041843j -0.00803508+0.074827j -0.0559442+0.00742765j 0.0430343-0.0509356j 0.0411079+0.0179606j 0.00372082-0.00406783j 0.0506011-0.02205j 0.0464324-0.0262571j -0.0593357+0.035551j -0.0811695+0.018167j -0.0680362-0.0042472j 0.0560868+0.0414797j 0.00412699-0.0785234j 0.0910773-0.0545171j 
0.0974496+0.069401j -0.0452239+0.0113416j 0.140427+0.0726088j 0.0698786-0.11362j 0.0222076-0.0270622j 0.0822635-0.0390033j 0.0260866+0.0897183j 0.00847029-0.00431515j 0.0759183-0.116368j -0.193991+0.0979949j -0.000687203-0.142658j 0.256907-0.167807j 0.00415507+0.166361j 0.180873+0.0706235j -0.203934+0.103646j -0.281965-0.110175j 0.0149172+0.0575231j 0.0818207+0.0929125j 0.00138387+0.0244445j -0.0714776+0.0944974j 0.00571948-0.026231j -0.089952-0.00504061j 0.0526254+0.0109683j 0.00749983+0.0612936j 0.0103015+0.0189008j 0.0284747-0.00793859j 0.0636325+0.0226934j 0.0330868+0.0198614j 0.031671+0.0148224j 0.00897445+0.0437845j -0.0505599-0.0400628j 0.00758679-0.00747301j 0.0630941+0.00338556j 0.0507805-0.0497384j -0.0501741+0.0083381j -0.0170627-0.0445747j 
-0.104146-0.0633155j -0.00288418+0.0663352j -0.155559-0.120581j 0.00713161+0.0486197j -0.106192+0.062878j -0.0900414+0.0206895j -0.0307227-0.0900334j 0.0601791-0.189554j 0.166942-0.144219j 0.24396+0.0537555j 0.216256+0.0531365j -0.031937-0.124758j -0.0438838+0.0746054j -0.0262139+0.0779219j 0.144183+0.0534073j -0.00194075-0.0248014j -0.106673+0.0366285j -0.205648-0.0615711j 0.0278094-0.186164j 0.063519-0.0707797j -0.00593934+0.0336881j 0.0487991+0.029703j -0.068883+0.0088161j 0.133722-0.00799757j 0.0107971-0.0101391j -0.109382+0.0136553j -0.0164695+0.0295447j -0.0265123-0.0125365j -0.0157628+0.0180149j -0.00860802+0.0217026j 0.08953+0.0109381j 0.00080658+0.0458642j -0.00718951+0.0233333j -0.0424403+0.0229941j 0.0230047+0.059832j -0.0817583+0.0517274j 
-0.0758409+0.0265348j -0.0584331+0.0519971j -0.0540219+0.0267268j -0.0710594+0.0623942j 0.0493767+0.0123422j 0.0512442-0.0155055j 0.0274513-0.0439376j -0.086105-0.0077629j 0.333962-0.246446j -0.158154+0.129633j 0.0269668+0.170351j 0.0379209+0.156965j 0.0227197-0.12561j 0.201158-0.0319958j -0.0268741-0.017848j 0.0120158+0.0901115j -0.183829+0.215929j -0.00760572-0.0122j -0.00161679-0.074192j -0.0904766-0.0672438j 0.0282137+0.0347071j 0.00533557-0.0126751j -0.0107469+0.00404801j -0.0739359+0.000832612j -0.0223688+0.0279413j 0.0180888-0.0262556j -0.0261583-0.0366331j -0.00648023+0.0108682j 0.00366498-0.0151873j -0.0298299-0.0116099j 0.0271255+0.0157815j -0.00377538-0.0263196j 0.0380033+0.00579689j -0.00603952+0.0359991j 0.0127525-0.0540907j 0.0322901-0.00203273j 
-0.0723573+0.00223211j 0.033018-0.0271296j 0.0545909-0.0272532j 0.118153-0.069812j -0.0542949-0.0259174j 0.0673094-0.0367205j -0.0558204+0.041893j 0.0590538-0.208357j 0.227071-0.202504j 0.110145+0.115215j 0.101337+0.059556j 0.0607405+0.0706849j -0.0164595+0.0568833j -0.0971918-0.048658j -0.150034+0.259801j -0.154228+0.0111241j 0.0405336+0.0165967j -0.0996273+0.123396j 0.060068-0.0658044j 0.0949671+0.0189088j 0.0231688-0.0534873j -0.0190905-0.0713087j -0.0317555+0.0201586j 0.025578+0.0719591j 0.0348235-0.00835307j -0.0112568+0.0154002j -0.0403868+0.0216536j -0.0137156-0.00880705j -0.00328517+0.0100589j 0.0014104+0.00640929j 0.0117717+0.0302314j -0.0620052+0.0152345j 0.00468097+0.00816406j 0.00709116+0.0626096j 0.0233101-0.0133571j -0.0526271-0.00594016j 
-0.037502-0.0254854j 0.0351022-0.0438739j -0.0467412-0.0857157j 0.0233026-0.0276816j -0.0860513+0.027861j -0.0507986+0.0677729j -0.00879803-0.0521125j 0.0772117+0.0312997j 0.0459246+0.0850002j 0.132294-0.293342j -0.0225188-0.00195505j -0.166831+0.241619j 0.0216386-0.120205j -0.0378595-0.0600839j -0.0494476+0.0502411j -0.022592-0.0398555j -0.127065-0.0174888j -0.0794828+0.01139j 0.0824752+0.0343114j 0.0737547-0.0249446j -0.0472195+0.00706343j 0.0317536-0.02074j -0.0301197+0.0269181j 0.0469897-0.00877586j -0.000600685+0.00336127j -0.0206976+0.0216932j 0.013436+0.00572083j 0.00839604+0.00659707j 0.0125494+0.013803j 0.0187849-0.00670607j -0.0116261+0.0333594j -0.0469367+0.0317957j -0.0207925+0.00795292j -0.0458859+0.0288667j 0.0304197+0.0174016j -0.0288057+0.00395771j 
0.0998722-0.0196151j 0.0585166-0.0428656j 0.14699-0.0121432j 0.145275-0.12955j 0.0451027-0.116345j 0.0495766+0.0423191j -0.00204883+0.0222375j 0.0300729+0.257483j -0.12379+0.129429j -0.031318+0.173641j -0.0598387+0.0973348j -0.0139888+0.0460742j 0.000975923-0.108598j -0.0691971+0.102652j -0.177998+0.078701j -0.0968608+0.168299j 0.118396-0.0934287j -0.101487+0.0738859j -0.0357117+0.144675j -0.045591+0.0127534j 0.0306119-0.0113502j 0.0595331+0.0183416j -0.000748582-0.0352658j -0.0543983+0.0225424j 0.0012589+0.00930005j -0.00311437-0.0263919j -0.000164009-0.0338822j 0.00368703-0.0239714j -0.0108841-0.0190117j -0.00116032-0.0152691j -0.0199031-0.0399794j -0.0116316-0.00851563j 0.0218659+0.0179718j 0.0331934-0.00719879j 0.061541-0.0787064j 0.047326-0.0396844j 
-0.0635629-0.0869874j -0.0331289+0.0759037j -0.156798-0.0481124j -0.115621+0.265516j 0.026805-0.0171932j -0.177917+0.113759j 0.0332682-0.187141j -0.15396+0.129002j -0.034396-0.071897j -0.160531+0.102509j -0.0224971+0.121641j -0.0407144-0.0690844j 0.00981889-0.0823514j 0.00870707+1.20538e-05j -2.32189e-05-0.14472j 0.00254871-0.0162302j -0.0590108+0.0543888j -0.0228197-0.169447j -0.0575174-0.0513253j -0.0190929-0.0264546j -0.0110939+0.0411198j -0.040826+0.069481j 0.0419748-0.00784433j -0.00533761-0.020028j -0.00172903-0.00156722j 0.0464057-0.0112009j 0.0373957-0.00721166j 0.0066644-0.00516128j 0.0103814-0.0073479j 0.0129997-0.00787111j -0.0218344+0.0389835j 0.0164679-0.00135599j 0.000608503-0.00429815j 0.00593774-0.0399418j 0.00802584+0.0295813j 0.0442488-0.0057096j 
