0.0446367+0.0248877j -0.122563-0.119443j 0.0301701+0.0839488j -0.0250439-0.161836j -0.0165383-0.0229123j -0.0213392-0.162049j 0.0541266-0.00667865j 0.0331892-0.0969463j -0.0407812-0.0861294j 0.109326+0.00412406j -0.0472817-0.0575612j 0.316109+0.254941j 0.121941-0.333987j 0.126852+0.0241007j -0.207697-0.16838j 
0.0785698+0.1117j -0.0564535+5.60125e-06j 0.0195257-0.0942492j 0.20334-0.126448j -0.0296265+0.134793j -0.404346-0.0437925j 0.106543-0.054667j -0.028005-0.0985786j 0.058503+0.0250897j -0.219749-0.0166239j -0.171305-0.0891722j 0.193945+0.0787477j 0.114124+0.0550528j -0.00231796-0.0952367j -0.0487204+0.0672985j 
-0.0164702+0.0233387j -0.0561469+0.0326385j -0.0707698-0.0592319j 0.00648902+0.164087j -0.28497+0.10549j -0.178151+0.104934j 0.0163775+0.27781j 0.200365-0.152137j 0.160539-0.204163j 0.271928+0.144417j -0.167833+0.173821j -0.0129507+0.0314099j -0.0728516+0.003275j 0.00454045+0.0174085j -0.00507785+0.0436319j 
0.0214158+0.0444008j 0.136729-0.194781j 0.238671-0.155792j -0.183262-0.143354j 0.0688127+0.0772027j -0.173673+0.142339j 0.0651492-0.00200842j -0.0456888-0.00167324j -0.0712678-0.110381j -0.100671-0.0293695j -0.0594125+0.083385j -0.0615748+0.200686j -0.0112073+0.12929j -0.168778-0.0770216j 0.0870914-0.021025j 
0.0471084-0.0482688j 0.0262712+0.126764j 0.0335897-0.0785133j 0.22344+0.0396949j -0.0187892+0.271219j -0.0604484-0.284489j 0.275806-0.152876j -0.122301-0.0935921j -0.154462-0.0167074j 0.0348061-0.0276642j -0.0438771+0.0782882j 0.00514844-0.067001j 0.11853-0.0355868j 0.104994+0.0631967j -0.0118485-0.00199432j 
-0.303099-0.114374j 0.0594963-0.330338j -0.105705+0.303983j 0.107761+0.0611765j -0.110115+0.178438j 0.16823+0.133537j 0.227931+0.0264923j -0.0579178+0.0466625j 0.0288326-0.0748836j -0.177315+0.134091j 0.0813265-0.0204034j 0.0764687-0.0501868j -0.122116-0.0333204j -0.0729626-0.0721775j -0.038225+0.00729313j 
-0.0136496-0.295792j 0.104594+0.0795221j 0.250107-0.0982466j -0.0103894-0.0879616j -0.0630448+0.105655j 0.110832-0.154062j 0.0471476-0.0453066j 0.0614686+0.077314j 0.0829833+0.0491388j -0.00132499+0.180248j -0.0755383-0.0453431j 0.119877-0.0418296j 0.083117+0.0224371j 0.136915+0.0574057j -0.0954048-0.0409441j 
0.176414-0.163996j 0.372847+0.209427j 0.0984048+0.0154213j -0.108583+0.0608404j -0.136541+0.0111664j 0.0284149-0.243021j -0.0199657+0.0949595j -0.0054112+0.00392313j 0.0354117+0.167263j 0.0264978-0.00628682j 0.117812-0.0574215j -0.176743+0.0509407j -0.0823545-0.0392744j -0.0389771-0.0832448j 0.064172+0.0108506j 
0.104707-0.0894847j -0.110334-0.0931493j 0.0923045+0.021878j -0.0542274-0.0498561j -0.0422024-0.178577j -0.00390013+0.0964479j -0.0378504+0.0786301j -0.172399+0.217267j -0.0810236-0.0155149j -0.132475-0.0713122j -0.0514543+0.0571846j -0.0442792+0.139329j -0.139551+0.0791497j -0.129234+0.0299174j -0.162373-0.00201579j 
0.16245+0.224428j -0.0683733+0.000113933j -0.340927+0.174463j 0.125194+0.274001j -0.00676971-0.0077065j -0.243832+0.0484526j -0.0435071-0.00929155j -0.0307106-0.111007j 0.05125+0.0931483j 0.0836336-0.0440274j 0.0303015-0.0297782j -0.0193847-0.0654969j 0.00100481-0.0277997j -0.125067-0.000917867j 0.0758779-0.0178314j 
0.217087-0.233964j 0.177653-0.0904938j 0.288959-0.120993j -0.137313+0.335782j 0.0798496+0.0421663j -0.0805047+0.0825754j -0.0182519-0.0657517j -0.0823344-0.0451887j 0.00679793+0.0816528j 0.0237423-0.134707j -0.00797653-0.0105906j -0.0114879-0.196719j -0.0218659-0.0337942j -0.136657+0.113296j 0.00640924-0.0370258j 
-0.169744+0.0962684j 0.225891-0.21542j 0.0189803+0.383978j -0.312425+0.0216295j -0.0231263-0.0297145j -0.00540479-0.109602j 0.0528995-0.0689419j 0.162895+0.0531651j -0.0521711-0.0621857j 0.0100423-0.0722279j 0.0535774-0.0408761j 0.00793552-0.00158913j 0.073003-0.154956j 0.0137665-0.0427704j 0.127643-0.112606j 
