0.0829416-0j 0.0146621-0j 0.00122184-0j 0.0723462-0j 0.0120577-0j 0.00738381-0j 0.00150721-0j 8.88134e-05-0j 0.0456122-0j 0.0460849-0j 0.00736065-0j 0.00743692-0j 0.00600994-0j 0.00086746-0j 0.00607222-0j 0.000751243-0j 0.00087645-0j 0.000759028-0j 8.85348e-05-0j 8.94523e-05-0j 4.04104e-06-0j 4.08292e-06-0j 0.0338907-0j 0.0419376-0j 0.0244636-0j 0.00535859-0j 0.00663092-0j 0.00423634-0j 0.00386804-0j 0.00282423-0j 0.000611463-0j 0.0052422-0j 0.000706057-0j 0.0034948-0j 0.000756647-0j 0.00305795-0j 0.000249629-0j 0.00203863-0j 5.88381e-05-0j 0.000441377-0j 6.24072e-05-0j 0.000873701-0j 0.0003089-0j 0.000509659-0j 5.2006e-06-0j 7.28084e-05-0j 7.7225e-05-0j 0.000180192-0j 4.24716e-05-0j 1.93815e-07-0j 6.43541e-06-0j 4.50479e-05-0j 2.39834e-07-0j 3.75399e-06-0j 1.39903e-07-0j 
0.000873701-0j 0.696241-0j -0.00184636-0j 1.32039e-05-0j -0.000103763-0j -0.000259025-0j 0.00250636-0j -3.10576e-06-0j -0.000466798-0j -0.000468634-0j 0.00355185-0j 0.00356582-0j 0.00588029-0j 0.000846057-0j 0.00590341-0j -0.069678-0j 0.000849384-0j -0.0699519-0j -0.0124266-0j -0.0124755-0j 9.91537e-06-0j 9.95436e-06-0j 0.000357003-0j -7.43611e-06-0j -0.000502002-0j -0.00266154-0j 5.5438e-05-0j -0.00426641-0j 0.00374254-0j 2.97502e-05-0j -0.000613851-0j 8.88663e-05-0j 0.0335276-0j -6.19676e-07-0j 1.27861e-05-0j 0.00599924-0j -0.000759461-0j -4.18335e-05-0j -8.89117e-05-0j 0.000863171-0j 0.0120421-0j -0.000698356-0j 1.5819e-05-0j -0.0471451-0j 0.00100353-0j 1.85197e-06-0j -0.000250829-0j 0.00106792-0j 0.000125024-0j -5.87799e-07-0j -2.09028e-05-0j -0.0169331-0j 1.22434e-08-0j -0.00141112-0j 8.26537e-07-0j 
-7.28084e-05-0j 0.00184636-0j 0.674146-0j -1.10032e-06-0j 2.63074e-05-0j -1.12301e-07-0j -0.00031229-0j 0.00350721-0j 3.88999e-05-0j 3.90528e-05-0j -0.000900518-0j -0.000904058-0j 5.12551e-06-0j 0.0100785-0j 5.14566e-06-0j -9.19087e-05-0j 0.0101181-0j -9.22701e-05-0j -0.047458-0j -0.0476446-0j -0.022608-0j -0.0226968-0j -2.97502e-05-0j 6.19676e-07-0j 4.18335e-05-0j 0.000674792-0j -1.40555e-05-0j -3.71878e-06-0j -0.000948864-0j -2.47918e-06-0j -0.00731239-0j 7.74595e-08-0j 8.89117e-05-0j 5.16397e-08-0j 0.000152312-0j 5.22918e-06-0j -2.19131e-07-0j 3.48612e-06-0j 0.0324636-0j 0.0102824-0j -0.000746318-0j -1.85197e-06-0j 4.56435e-09-0j -0.000125024-0j 0.0118534-0j -0.000676194-0j 1.55453e-05-0j 3.08133e-07-0j -0.0456489-0j 0.00224391-0j -0.000246898-0j 0.00104944-0j -4.67391e-05-0j -0.0166677-0j -0.00315529-0j 
-0.000509659-0j -0.406141-0j 0.00107704-0j 0.000865998-0j -0.00680545-0j -0.0169886-0j 0.164384-0j -0.000203697-0j -0.000280278-0j -0.000254254-0j 0.00213262-0j 0.00193461-0j 0.00353068-0j 0.000507995-0j 0.00320286-0j -0.0418365-0j 0.000460828-0j -0.037952-0j -0.00746126-0j -0.00676849-0j 5.95345e-06-0j 5.40067e-06-0j -0.000208251-0j 0.000502002-0j -0.00057786-0j 0.00155256-0j -0.00374254-0j 0.00248874-0j 0.00430808-0j -1.73543e-05-0j 0.00035808-0j -0.00599924-0j -0.0195578-0j 4.18335e-05-0j -0.000863171-0j 0.00690579-0j 0.000443019-0j -4.8155e-05-0j 5.18651e-05-0j 0.000993606-0j -0.00702458-0j 0.0471451-0j -0.00106792-0j -0.0542692-0j -0.000585392-0j -0.000125024-0j 0.0169331-0j 0.0012293-0j 0.000143916-0j 3.42883e-07-0j 0.00141112-0j -0.0194919-0j -8.26537e-07-0j -0.00162435-0j 9.51436e-07-0j 
4.24716e-05-0j -0.00107704-0j -0.393252-0j -7.21665e-05-0j 0.00172542-0j -7.36547e-06-0j -0.0204821-0j 0.230027-0j 2.33565e-05-0j 2.11878e-05-0j -0.000540694-0j -0.000490491-0j 3.07749e-06-0j 0.0060514-0j 2.79174e-06-0j -5.51844e-05-0j 0.00548953-0j -5.00605e-05-0j -0.028495-0j -0.0258493-0j -0.0135744-0j -0.012314-0j 1.73543e-05-0j -4.18335e-05-0j 4.8155e-05-0j -0.000393629-0j 0.000948864-0j 2.16929e-06-0j -0.00109225-0j 1.44619e-06-0j 0.00426556-0j -5.22918e-06-0j -5.18651e-05-0j -3.48612e-06-0j -0.0102824-0j 6.01937e-06-0j 1.27826e-07-0j 4.01292e-06-0j -0.0189371-0j 0.0118362-0j 0.000435352-0j 0.000125024-0j -3.08133e-07-0j -0.000143916-0j -0.00691448-0j 0.0456489-0j -0.00104944-0j 3.54695e-07-0j -0.052547-0j -0.00130895-0j 0.0166677-0j 0.00120802-0j 0.00315529-0j -0.0191864-0j -0.00363209-0j 
0.00298615-0j 0.000527882-0j 4.39901e-05-0j -0.503819-0j 0.000434114-0j 0.00026584-0j 5.42643e-05-0j 3.19755e-06-0j 0.00164218-0j 0.0016592-0j -0.0512595-0j -0.0517907-0j 0.000216376-0j 3.12312e-05-0j 0.000218619-0j 2.7047e-05-0j 3.15549e-05-0j 2.73273e-05-0j 3.18752e-06-0j 3.22056e-06-0j 1.4549e-07-0j 1.46998e-07-0j 0.00122017-0j 0.00150988-0j 0.000880765-0j 0.000192926-0j 0.000238733-0j -0.0295019-0j 0.000139261-0j 0.000101681-0j -0.00425823-0j -0.0365067-0j 2.54202e-05-0j 0.000125824-0j -0.00526929-0j -0.0212956-0j 8.9874e-06-0j 7.33971e-05-0j 2.11835e-06-0j -0.00307375-0j 2.24685e-06-0j 3.14559e-05-0j 1.11213e-05-0j 1.83493e-05-0j 1.87237e-07-0j 2.62132e-06-0j 2.78033e-06-0j 6.48745e-06-0j 1.52911e-06-0j 6.97793e-09-0j 2.31695e-07-0j 1.62186e-06-0j 8.63474e-09-0j 1.35155e-07-0j 5.03693e-09-0j 
0.0718485-0j 0.00414836-0j 0.00105175-0j -0.000434114-0j -0.492495-0j -4.43066e-05-0j 0.000861916-0j 0.000102111-0j -0.000273697-0j -0.000276533-0j 0.00208255-0j 0.00210413-0j 0.00520614-0j -0.071614-0j 0.00526009-0j 0.000212549-0j -0.0723561-0j 0.000214752-0j 7.621e-05-0j 7.69998e-05-0j 5.81366e-06-0j 5.8739e-06-0j -0.000203362-0j -0.000251647-0j -0.000146794-0j 0.00151611-0j 0.00187609-0j -2.54202e-05-0j 0.00109438-0j 0.00490995-0j 0.000349672-0j -3.14559e-05-0j -0.0288388-0j 0.00607575-0j 0.000432697-0j -1.83493e-05-0j -1.4979e-06-0j 0.00354419-0j -0.00731163-0j 0.000252406-0j 3.56882e-05-0j -0.0356861-0j -1.85356e-06-0j -0.0208169-0j 5.97924e-06-0j -0.00904768-0j 4.41619e-05-0j -1.08124e-06-0j -0.00527781-0j 3.34831e-07-0j 7.39894e-06-0j 2.57611e-05-0j 4.14333e-07-0j 4.31605e-06-0j 2.41694e-07-0j 
-0.00348384-0j -0.000615862-0j -5.13218e-05-0j 0.0101839-0j -8.77496e-06-0j -5.37354e-06-0j -1.09687e-06-0j -6.46337e-08-0j -0.00191588-0j 0.00186865-0j 0.0598028-0j -0.0583288-0j -0.000252439-0j -3.64364e-05-0j 0.000246217-0j -3.15549e-05-0j 3.55383e-05-0j 3.07771e-05-0j -3.71878e-06-0j 3.62712e-06-0j -1.69738e-07-0j 1.65554e-07-0j 0.00279952-0j -3.052e-05-0j 0.00200171-0j 0.000442643-0j -4.82563e-06-0j -0.0676882-0j 0.000316498-0j 0.000233293-0j -0.00976995-0j 0.000737928-0j 5.83234e-05-0j -2.54333e-06-0j 0.000106511-0j -0.0483983-0j 2.06204e-05-0j 0.000166809-0j 4.86028e-06-0j -0.00698569-0j 5.15511e-06-0j -6.35833e-07-0j -2.24801e-07-0j 4.17023e-05-0j 4.29592e-07-0j -5.29861e-08-0j -5.62002e-08-0j 1.4744e-05-0j 3.47519e-06-0j 1.601e-08-0j -4.68335e-09-0j 3.68599e-06-0j -1.74538e-10-0j 3.07166e-07-0j 1.14474e-08-0j 
-0.000304773-0j 0.0103556-0j -4.48972e-06-0j -0.00026584-0j -4.43066e-05-0j -0.495966-0j 0.00106452-0j -3.26349e-07-0j -0.000167604-0j -0.000169341-0j -2.7047e-05-0j -2.73273e-05-0j 0.00424473-0j -3.18752e-06-0j 0.00428872-0j -0.0504606-0j -3.22056e-06-0j -0.0509835-0j 6.25308e-05-0j 6.31788e-05-0j -1.4849e-08-0j -1.50029e-08-0j -0.000124533-0j -0.000154102-0j -8.98927e-05-0j -1.96904e-05-0j -2.43656e-05-0j 0.00299206-0j -1.42133e-05-0j -1.03778e-05-0j -2.24685e-06-0j 0.00370249-0j 0.000498677-0j -1.28418e-05-0j -2.78033e-06-0j 0.00215979-0j -0.0508321-0j -7.49106e-06-0j -2.16203e-07-0j -1.62186e-06-0j -0.00419186-0j 0.000617082-0j -0.0629016-0j 0.000359964-0j 3.67311e-06-0j -2.67538e-07-0j -0.00518716-0j -0.0366926-0j -1.56064e-07-0j -7.12182e-10-0j 4.54524e-06-0j -0.00302584-0j -8.8128e-10-0j 2.65139e-06-0j -5.1408e-10-0j 
-0.00213341-0j -0.000377137-0j -3.14281e-05-0j 0.359946-0j -0.000310146-0j -0.000189925-0j -3.87683e-05-0j -2.28444e-06-0j 0.00345289-0j -0.00118539-0j -0.10778-0j 0.0370011-0j 0.000454958-0j 6.56676e-05-0j -0.000156189-0j 5.68698e-05-0j -2.25439e-05-0j -1.95236e-05-0j 6.70217e-06-0j -2.30088e-06-0j 3.05911e-07-0j -1.0502e-07-0j -0.000871731-0j 0.00317472-0j -0.000629249-0j -0.000137833-0j 0.000501967-0j 0.0210771-0j -9.9493e-05-0j -7.26443e-05-0j 0.00304222-0j -0.07676-0j -1.81611e-05-0j 0.00026456-0j -0.0110793-0j 0.0152143-0j -6.42091e-06-0j -5.24374e-05-0j -1.51342e-06-0j 0.00219599-0j -1.60523e-06-0j 6.614e-05-0j 2.3384e-05-0j -1.31094e-05-0j -1.33769e-07-0j 5.51167e-06-0j 5.84601e-06-0j -4.63486e-06-0j -1.09245e-06-0j -4.98527e-09-0j 4.87167e-07-0j -1.15871e-06-0j 1.81556e-08-0j -9.65595e-08-0j -3.59856e-09-0j 
6.22114e-05-0j 0.100203-0j 0.0124852-0j 5.42643e-05-0j -0.000861916-0j -0.00106452-0j -0.480472-0j 0.0018278-0j 3.42121e-05-0j 3.45666e-05-0j -0.000526158-0j -0.000531611-0j -0.000430972-0j 0.00289243-0j -0.000435438-0j 0.0103218-0j 0.0029224-0j 0.0104288-0j -0.0864914-0j -0.0873877-0j 0.000139094-0j 0.000140536-0j 2.54202e-05-0j 3.14559e-05-0j 1.83493e-05-0j -0.000383046-0j -0.000473996-0j -0.000303788-0j -0.000276497-0j 2.11835e-06-0j 0.00203884-0j -0.000375918-0j 0.00482526-0j 2.62132e-06-0j 0.00252294-0j -0.000219285-0j -5.4077e-05-0j 1.52911e-06-0j 0.000601224-0j 0.00147171-0j -0.0399967-0j 0.00597096-0j -6.69169e-05-0j 0.00348306-0j -0.0102326-0j 0.000743977-0j -0.0494934-0j -3.90349e-05-0j 0.000433987-0j 1.00277e-05-0j -0.0126622-0j -0.0288711-0j 1.24086e-05-0j -0.00738628-0j 7.23837e-06-0j 
0.00304836-0j 0.000538879-0j 4.49066e-05-0j 0.496493-0j -0.000427802-0j -0.000261974-0j -5.34752e-05-0j -3.15106e-06-0j -0.00162867-0j -0.00169275-0j 0.0508378-0j 0.0528379-0j -0.000214596-0j -3.09743e-05-0j -0.000223039-0j -2.68245e-05-0j -3.21929e-05-0j -2.78799e-05-0j -3.1613e-06-0j -3.28568e-06-0j -1.44293e-07-0j -1.4997e-07-0j 0.00124559-0j 0.00144557-0j 0.000807266-0j 0.000196945-0j 0.000228565-0j -0.0301165-0j 0.00012764-0j 0.000103799-0j -0.00434694-0j -0.0349517-0j 2.59498e-05-0j 0.000120464-0j -0.00504485-0j -0.0195185-0j 9.17463e-06-0j 6.72722e-05-0j 2.16248e-06-0j -0.00281725-0j 2.29366e-06-0j 3.01161e-05-0j 1.06476e-05-0j 1.6818e-05-0j 1.91138e-07-0j 2.50967e-06-0j 2.66191e-06-0j 5.94608e-06-0j 1.4015e-06-0j 7.1233e-09-0j 2.21826e-07-0j 1.48652e-06-0j 8.26696e-09-0j 1.23877e-07-0j 4.61661e-09-0j 
-0.0838233-0j -0.00483975-0j -0.00122705-0j 8.77496e-06-0j 0.00995503-0j 8.95591e-07-0j -1.74223e-05-0j -2.06401e-06-0j 0.000319313-0j -0.000311442-0j -0.00242964-0j 0.00236975-0j -0.00607383-0j 0.0835496-0j 0.00592412-0j -0.000247974-0j -0.0814903-0j 0.000241862-0j -8.89117e-05-0j 8.67202e-05-0j -6.7826e-06-0j 6.61542e-06-0j -0.000466587-0j 5.08667e-06-0j -0.000333618-0j 0.00347851-0j -3.79223e-05-0j -5.83234e-05-0j 0.0024872-0j 0.0112652-0j 0.000802277-0j 6.35833e-07-0j -0.0661668-0j -0.000122812-0j -8.74631e-06-0j -4.17023e-05-0j -3.43674e-06-0j 0.00805485-0j -0.0167756-0j 0.000573642-0j 8.1882e-05-0j 0.000721341-0j 3.74668e-08-0j -0.0473105-0j 1.37186e-05-0j 0.000182885-0j -8.92667e-07-0j -2.45733e-06-0j -0.0119948-0j 7.68228e-07-0j -1.49558e-07-0j 5.85471e-05-0j -8.37511e-09-0j 9.80905e-06-0j 5.49296e-07-0j 
-3.66584e-06-0j 0.000124166-0j 0.140216-0j -3.19755e-06-0j 0.000102111-0j -3.26349e-07-0j -0.0018278-0j -0.465006-0j -2.01597e-06-0j -2.03686e-06-0j 6.23337e-05-0j 6.29796e-05-0j -2.65627e-07-0j -0.00105197-0j -2.6838e-07-0j 6.3619e-06-0j -0.00106288-0j 6.42783e-06-0j 0.0101601-0j 0.0102653-0j -0.110476-0j -0.111621-0j -1.4979e-06-0j -1.85356e-06-0j -1.08124e-06-0j 4.53793e-05-0j 5.6154e-05-0j -1.87237e-07-0j 3.27565e-05-0j -1.24825e-07-0j -0.000741524-0j -2.31695e-07-0j 5.97924e-06-0j -1.54463e-07-0j -0.00091759-0j -1.35155e-07-0j -1.10331e-08-0j -9.01034e-08-0j 0.00675212-0j -0.000535261-0j -7.56815e-05-0j 7.39894e-06-0j -1.36527e-08-0j 4.31605e-06-0j -0.0272291-0j 0.00835533-0j -9.36511e-05-0j -7.96409e-09-0j 0.00487394-0j -0.0161218-0j -0.0336943-0j -5.46298e-05-0j -0.0199498-0j -0.019655-0j -0.0116374-0j 
