-0.0486638-0j -0.0521507-0j 0.116022-0j -0.0398307-0j 0.173467-0j -0.032983-0j -0.631741-0j 0.125215-0j -0.0384801-0j -0.0263456-0j -0.0209191-0j 0.0990934-0j 0.0895316-0j -0.0138882-0j -0.0117091-0j -0.0307365-0j -0.0236306-0j 0.0738598-0j 0.0646274-0j -0.156757-0j -0.0146395-0j -0.00701607-0j -0.0194943-0j -0.247439-0j 0.0376993-0j -0.113153-0j -0.00334168-0j -0.00444987-0j 0.0045998-0j -0.000263188-0j 
-0.0753897-0j -0.00139978-0j -0.0610726-0j 0.0595673-0j -0.053861-0j -0.602892-0j -0.00115476-0j 0.075737-0j 0.00410609-0j 0.00490463-0j 0.145128-0j -0.200183-0j 0.139873-0j -0.250677-0j -0.0181397-0j -0.136426-0j 0.00212049-0j -0.00067361-0j -0.196684-0j -0.0194395-0j 0.0441799-0j -0.126242-0j 0.0328402-0j -0.000208387-0j 0.058158-0j 0.0273349-0j 0.0253464-0j 0.0303888-0j 0.014234-0j 0.00319825-0j 
0.0695342-0j -0.0719344-0j -0.0547256-0j -0.0568787-0j -0.247861-0j 0.0471284-0j -0.287656-0j -0.160639-0j -0.0530778-0j -0.0363399-0j -0.0990934-0j 0.0467126-0j -0.0422305-0j 0.0937926-0j 0.0167308-0j -0.043892-0j 0.108059-0j 0.0336312-0j -0.0273696-0j -0.0881168-0j 0.018781-0j 0.105125-0j 0.0922886-0j 0.0737434-0j -0.0840451-0j -0.0571085-0j 0.0867938-0j -0.221039-0j -0.0603157-0j 0.0198705-0j 
-0.0286814-0j 0.0900793-0j -0.0232346-0j -0.110954-0j 0.102238-0j -0.0194395-0j -0.37077-0j 0.0883542-0j 0.0664663-0j 0.0455064-0j -0.0138882-0j -0.0937926-0j -0.0179296-0j 0.113882-0j -0.00690111-0j -0.0856205-0j 0.045978-0j 0.0433485-0j -0.0154949-0j -0.00739559-0j -0.0103299-0j 0.0769906-0j -0.0611702-0j 0.0134102-0j 0.105037-0j -0.00639131-0j -0.0619289-0j 0.0550047-0j -0.187012-0j -0.200035-0j 
-0.0615554-0j -0.065966-0j 0.048446-0j -0.0503823-0j 0.0864859-0j 0.16586-0j 0.05287-0j -0.0317445-0j -0.380545-0j -0.0333248-0j -0.348742-0j -0.164496-0j -0.0735209-0j 0.0698391-0j 0.117004-0j 0.0764594-0j 0.0990934-0j -0.152144-0j 0.0269857-0j -0.153406-0j 0.0913513-0j -0.00887471-0j -0.160766-0j 0.0676249-0j -0.0309576-0j 0.0563075-0j 0.0083127-0j 0.0186602-0j 0.00192069-0j -0.000332909-0j 
-0.0421441-0j -0.0451638-0j 0.0331687-0j -0.0344944-0j -0.0301092-0j 0.198116-0j 0.0361976-0j -0.021734-0j -0.0333248-0j -0.379134-0j 0.0600596-0j 0.0283291-0j -0.177527-0j -0.0120276-0j -0.0101404-0j 0.184622-0j -0.470559-0j 0.0211153-0j -0.128145-0j 0.0534069-0j -0.0126782-0j 0.0421428-0j 0.0559689-0j 0.0462996-0j 0.0107776-0j 0.0385511-0j -0.00289398-0j 0.0127758-0j 0.001315-0j -0.000227927-0j 
0.0621933-0j -0.06434-0j 0.0503823-0j -0.0508739-0j -0.0873822-0j -0.167579-0j -0.0530778-0j 0.028797-0j -0.371165-0j -0.0325034-0j -0.119724-0j 0.170967-0j -0.0764594-0j -0.333507-0j -0.118217-0j 0.0772054-0j -0.0328402-0j 0.152742-0j 0.0251974-0j -0.0315379-0j -0.0828694-0j 0.0940266-0j 0.0551582-0j -0.0095784-0j -0.152166-0j 0.0103934-0j -0.152669-0j 0.0671758-0j 0.0555288-0j 0.0177727-0j 
-0.0397338-0j -0.0425808-0j -0.0321881-0j -0.0325217-0j 0.14004-0j 0.0799275-0j -0.0351274-0j -0.020491-0j 0.154996-0j 0.149197-0j -0.0192401-0j -0.0274915-0j -0.363674-0j -0.0113397-0j -0.344223-0j -0.367443-0j 0.0645046-0j -0.138008-0j 0.0532136-0j 0.0505431-0j -0.0805047-0j 0.017002-0j 0.0884505-0j -0.00633908-0j 0.0515961-0j -0.00739559-0j 0.0134601-0j -0.00409271-0j -0.00127613-0j -0.000214892-0j 
0.0425808-0j -0.0440506-0j 0.0344944-0j -0.034831-0j 0.0304212-0j -0.200169-0j -0.0363399-0j 0.019716-0j -0.0325034-0j -0.369789-0j 0.0206187-0j -0.0294437-0j -0.184622-0j 0.057436-0j 0.0102455-0j 0.186423-0j 0.155947-0j -0.0211983-0j -0.119653-0j 0.0109796-0j 0.011501-0j -0.446499-0j -0.0192028-0j -0.00655788-0j 0.052975-0j 0.00711587-0j 0.0531501-0j 0.0459922-0j 0.038018-0j 0.0121681-0j 
0.053861-0j 0.00100005-0j -0.128413-0j -0.0425569-0j 0.0384801-0j -0.145128-0j -0.00242803-0j -0.0541091-0j -0.00293354-0j 0.000505208-0j -0.0920457-0j -0.42091-0j -0.0990934-0j 0.179093-0j 0.0129596-0j -0.0328402-0j 0.000453146-0j -0.00141635-0j 0.139341-0j 0.173498-0j -0.0315637-0j -0.0303888-0j -0.0208286-0j 0.00474493-0j 0.122285-0j -0.243965-0j -0.0181083-0j -0.0192737-0j 0.0299288-0j -0.00228494-0j 
