0.0116896+0.0413745j -0.0204104-0.0345095j -0.0146801-0.0410627j -0.00939463+0.0135106j -0.00023467+0.0334007j 0.00028752-0.0432484j 0.0106897+0.000284311j 0.00523235-0.0309654j -0.0054246-0.0178195j 0.0183669-0.0304026j 0.0332864+0.0357677j 0.00648091-0.0360724j 0.022266+0.0103923j -0.0251349+0.0160946j 0.0213516-0.0206852j 0.0379666+0.00265072j -0.0232328-0.00704791j 0.0347701-0.00516174j -0.00205125-0.0276623j -0.00565988-0.00127059j 0.0330947-0.019694j 0.024512-0.0187935j 0.0100891+0.018113j -0.0164111-0.00653145j 0.0388417-0.00120917j 0.00252399-0.0322187j -0.0294833+0.0313456j 0.00581319+0.00404587j 0.0289705+0.0106671j -0.00459314+0.0028929j -0.0208311-0.000495839j 0.00616423-0.0143494j -0.0156117-0.00852721j -0.00430724-0.00133175j -0.0046956-0.0156629j 0.0214714-0.0216943j -3.56139e-05-0.00457882j -0.00105617+0.0271025j -0.0048172+0.0298928j 0.00811086+0.00167633j -0.0277949+0.00914858j 0.00911333+0.00726921j -0.000823686-0.0168736j 0.0142732+0.0138579j 0.0282517-0.00166636j -0.0121104-0.000495411j 0.0104486-0.0438561j 0.0295623+0.00121749j 0.021428-0.00507705j 0.0133077-0.0235744j 0.00428742+0.0509236j 0.00657939-0.0457031j 0.00559334-0.0306191j -0.045079+0.0519261j 0.012179+0.00916902j 0.132763-0.104093j -0.0164842-0.075395j 0.110953-0.0523075j -0.168333+0.195318j 0.0439685+0.0200459j -0.120956+0.095805j 0.0190507-0.018645j -0.0334958+0.0468625j 0.0437481-0.0663963j -0.0120001+0.0356385j 0.0349031-0.0608797j 0.0506086-0.0445405j -0.083718+0.188743j -0.172631+0.103418j 
-0.00458608+0.0600791j -0.0108951-0.00051177j 0.00215483+0.00458509j -0.0143496+0.0115049j -0.0037585+0.0067327j 0.00799629-0.00559232j -0.0019473-0.0144945j 0.0038893+0.0142634j 0.000358598-0.043566j 0.00511094-0.0647483j 0.00993713+0.0175658j 0.0406761-0.061514j 0.010099-0.0116467j 0.0102073-0.0523479j 0.0140854-0.0341925j 0.00754633-0.0239866j 0.0240802+0.0055286j 0.0114834+0.00238766j -0.0189522+0.00283184j 0.0182643+0.0246097j -0.00178674-0.00988176j -0.00251393+0.0110876j 0.0205956+0.0158234j 0.0217236+0.00266276j 0.0128483-0.00751181j 0.0329305+0.0310186j -0.00791458-0.0616793j 0.0258653+0.012311j 0.00199457+0.00409407j 0.00769937+0.00556518j 0.0479304-0.0489912j -0.0276421-0.00461284j 0.0482678-0.00353499j -0.0330359-0.0119886j -0.00566714-0.026211j 0.0442284-0.0379371j 0.0324335-0.0414388j -0.0529508+0.00481278j -0.0111854+0.0327074j 0.0229014+0.0497056j 0.01518-0.0178372j -0.068261-0.00331958j -0.0291747+0.028643j 0.0219779+0.0504291j 0.00544876-0.0931699j 0.0454645-0.0470391j 0.108609+0.00123925j 0.0396195-0.0452114j 0.0107343-0.00301531j 0.0124885-0.0517838j -0.0695089+0.0554349j -0.00455589+0.0191478j -0.0477225-0.0605484j -0.00141755+0.0559368j 0.00407167-0.00710957j -0.0814418+0.0685739j 0.0554659+0.0045353j -0.0311869+0.0179607j -0.0157041+0.0271793j -0.00621262-0.0556712j 0.0429131-0.0594082j -0.0494836-0.0125212j 0.0648632+0.0325656j 0.0242127-0.0809533j 0.00220479+0.00843802j 0.00862402-0.00591471j 0.0061032-0.0561441j 0.0114279+0.0115927j 0.0195888-0.0591713j 
-0.00887967+0.0113884j -0.00694312-0.0354285j 0.0191425+0.0157004j 0.00237197+0.0156442j -0.00223459-0.00943955j -0.00405645-0.0112313j 0.00794294+0.0195413j 0.00250688-0.033049j 0.00600486-0.0290326j 0.0157455+0.00993863j 0.0068769+0.0405032j 0.0281083+0.00269976j -0.0112546+0.0352709j 0.0108569-0.0153172j 0.0020731-0.0370328j 0.00303034-0.0388669j 0.0135634-0.0125197j 0.000398946-0.0148292j -0.0162165-0.0138016j 0.0480552+0.000973001j -0.0208977-0.0225673j -0.0157621-0.0109203j -0.0147794-0.0170545j 0.0224225+0.0178696j 0.0100678+0.0222391j -0.00248856-0.0278712j -0.0184623-0.0309964j -0.0273284+0.0291599j -0.00521369+0.017266j -0.00337771-0.00348788j 0.0692526+0.0265854j 0.00204462+0.0058839j -0.00252626-0.0201035j -0.0263766+0.00629325j 0.0196358-0.0259519j -0.00276355-0.0286603j -0.0129586-0.0280534j -0.0422716-0.00321561j 0.0620423+0.0808673j 0.0386621-0.00023313j 0.016119+0.0130734j -0.0923128-0.00681863j -0.0619003+0.0315291j 0.0148235+0.0785839j -0.0288014-0.0480258j 0.0233475+0.0382603j 0.0634867-0.0397617j 0.0320052-0.0536531j 0.00214945+0.103717j 0.00330416-0.0549947j -0.0644493+0.0760665j -0.0111774+0.085264j -0.0445484+0.00296317j 0.0239924-0.0664398j -0.032695+0.0013685j -0.00447091-0.0102122j 0.0281346-0.0216593j -0.00520416+0.0205058j 0.00535467+0.0381493j -0.0507713-0.0031435j -0.00925064-0.0264305j -0.0462568-0.0647433j 0.0412042-0.0477487j 0.0255956-0.0646097j -0.0303837-0.030323j -0.0143595+0.0649067j 0.0102388+0.033073j 0.00757026+0.0412008j 0.0105171-0.0072296j 
-0.0109386-0.00658598j -0.0121027-0.0502642j -0.0137408+0.00624026j 0.0176302-0.00140882j -0.0104511-0.00917683j 0.0342817-0.0371928j 0.0202345+0.0293438j -0.0108715-0.00670763j 0.0121964-0.0385657j 0.0140415+0.0243504j 0.0182539+0.0471987j 0.0133526+0.0183566j 0.0169674+0.03494j -0.018895+0.0147574j -0.0157003-0.0341972j 0.0131083+6.22139e-05j -0.0377082-0.0229261j 0.00979782-0.00727684j -0.030923-0.00283173j -0.0606804+0.0403495j 0.00223577-0.0266796j 0.026797-0.0167975j -7.55138e-05+0.00311406j 0.0143831-0.0209177j -0.0222594+0.0257097j -0.0126107-0.00407374j 0.00476695+0.00237655j -0.000526825+0.0179322j 0.0197155+0.00923947j -0.0473754-0.0146428j 0.0388031-0.0326616j 0.0551174-0.00912153j 0.027612-0.0376818j 0.0229242-0.0151853j -0.0336514-0.00638533j -0.00410006+0.0176468j -0.00312588+0.021359j 0.0191985+0.0527931j -0.0105794-0.0496828j 0.107557+0.0103408j -0.00807346-0.127172j -0.045715+0.0318614j 0.0733001+0.0973466j -0.0451707+0.0767535j -0.0492133+0.00250361j -0.027889-0.0781448j -0.0108007-0.018508j 0.0611519-0.143262j -0.0165958-0.0159193j -0.0888577-0.0572196j -0.0802704+0.0918781j 0.0041545+0.00431475j 0.0033135+0.0202907j 0.0295559+0.034111j -0.0484955+0.0782404j -0.0203565-0.105321j 0.0717353+0.0111688j -0.00166002-0.0509997j -0.119042+0.108718j -0.0736436-0.0274903j 0.0525901+0.0174377j 0.0237183+0.0123231j -0.0174872-0.029326j -0.0590399-0.0752085j 0.0357297+0.00545562j -0.00792928-0.00371706j -0.0116271-0.0663688j -0.0570137+0.0515583j 0.0247558+0.0767531j 
-0.00358115-0.0131209j 0.00505797+0.0106256j 8.99194e-05+0.0140839j 0.0229807-0.0192928j -0.0409508+0.00282259j -0.0124091+0.0119523j -0.0530129+0.0346575j 0.0621115+0.016973j -0.0103237-0.0175979j 0.0200339-0.0190635j -0.00846109+0.000393743j -0.0164133-0.0141474j 0.0316626-0.0128504j 0.000843936+0.0237184j -0.0381226-0.012139j -0.0303703-0.00410221j 0.0324523-0.0278279j -0.0353762-0.0149623j -0.0479386+0.0428252j -0.0207025+0.00961243j -0.00502105-0.0324837j 0.105044-0.0609913j -0.00903652-0.016344j -0.0233428-0.0116003j 0.00475616+0.00864708j 0.0738378+0.0489908j 0.0851594-0.00190605j -0.116762+0.0209047j -0.0167404-0.018207j 0.0122248+0.00496351j 0.0469583+0.0122377j -0.032717+0.0402896j -0.00505124+0.0275775j 0.0191571-0.0116794j -0.132768+0.0497413j 0.0128758-0.0689298j -0.00122887-0.0345461j 0.0849675+0.0405056j 0.100772+0.0197999j 0.000120335-0.158971j 0.0243896-0.0700656j -0.131165-0.0857456j 0.126785-0.00858223j -0.0744767+0.0236151j -0.0118505+0.0375678j -0.0271921-0.0374811j 0.0266723+0.00465831j -0.0461245-0.145349j -0.0527893-0.0278816j 0.0954323+0.0412169j -0.0986992-0.0312656j 0.0289853+0.0153088j -0.00550398+0.0925287j -0.00310352-0.00618711j -0.0379911-0.0526913j 0.040426-0.105222j 0.0202524+0.0540446j -0.0757158-0.114818j -0.14213+0.100326j -0.179709-0.110912j -0.0138814-0.0313984j 0.0249391-0.00539972j -0.0844134-0.0281497j 0.0527596-0.0018068j -0.0339388-0.00589923j 0.0130316-0.0338869j -0.0813045-0.0326141j -0.107215-0.0342837j -0.0218933+0.0858315j 
0.00286252+0.0337569j -0.0122173-0.0440845j -0.0140823-0.0218781j -0.00489572-0.00860011j -0.0193083+0.0488929j -0.0189404-0.0266335j 0.0113336-0.00937445j 0.0685823-0.0378697j 0.00473199+0.00695947j -0.013545-0.0087985j 0.0232683+0.0206088j -0.0205897-0.0357769j -0.0224639+0.0755409j 0.0216202-0.0316874j -0.000823881+0.022656j -0.012125+0.0311838j 0.002819-0.000237184j -0.0132744+0.0476566j -0.00993746-0.0262026j 0.0175592+0.0171949j 0.0137716-0.0072386j 0.0316637+0.006646j -0.0521128+0.0347912j -0.0536185-0.00260555j -0.0478044-0.00988928j 0.0437084-0.00901853j -0.0430445-0.0098468j -0.0773725+0.0303031j -0.076758+0.0684315j -0.00973551+0.0339878j -0.0707318-0.0630685j -0.0968049+0.0218054j -0.0221719-0.0841652j -0.0343627-0.0177803j 0.0175519-0.165801j 0.0554967-0.0267899j 0.0523799+0.0612035j 0.110218+0.0261634j -0.0146406-0.0264451j -0.00680307+0.104096j 0.107427+0.0341972j 0.0338688-0.0710459j 0.0204466+0.12734j -0.0990655-0.0424792j -0.0469752+0.00981646j 0.0754135+0.0230017j 0.079199+0.0150199j 0.0207482+0.15096j -0.0709488-0.0599472j 0.102629+0.0790171j -0.0695745-0.0805932j 0.0146373-0.0267763j -0.0346846-0.0573431j 0.0392009-0.0256089j -0.0823483-0.150918j -0.047855-0.0397042j -0.0239744-0.241903j -0.135637+0.130795j 0.20057+0.0193317j -0.0507515+0.0631087j 0.192148+0.0449644j 0.0373853-0.0300014j 0.0438596+0.0315659j 0.00769171-0.00266513j -0.0484638-0.0295614j -0.0672927-0.0953396j -0.0877263+0.003846j 0.0440991+0.0942323j 0.0965644-0.0577765j 
-0.0124487-0.0220599j -0.00914758-0.00267632j 0.00365463-0.0423158j -0.00991222+0.00276129j 0.00904217-0.0323142j 0.00933211+0.0069516j -0.0187613+0.0308003j -0.0255854+0.040379j -0.00363437+0.00532008j 0.0376685-0.0486081j -0.0122807-0.0203385j 0.0133247+0.0402724j -0.010478+0.0242122j -0.0188683+0.0515167j 0.0105724-0.00853404j -0.00598578+0.00821118j 0.0198908-0.0555679j 0.0245102+0.0100066j -0.0178379+0.024394j -0.0254445-0.0354286j -0.0168989+0.0118967j -0.0135117+0.0514215j 0.0188067-0.0587228j 0.0018429-0.00295107j -0.0407073+0.0227873j -0.0565425+0.0445679j -0.000497186-0.0198591j 0.0138548+0.0123727j 0.0528769-0.0589862j 0.0193058-0.0949413j -0.00190436-0.0137127j 0.0310566-0.0341481j -0.0644007+0.0140498j 0.000603094+0.00935434j -0.0391865-0.0489797j -0.00486631+0.079824j 0.0619257+0.0376343j -0.0101207+0.0868707j -0.109281+0.0510918j 0.147675+0.0376163j 0.0647342-0.0693005j 0.0418123-0.0455001j 0.0524+0.0541659j 0.00856561-0.083838j -0.0262447-0.040046j 0.0470789-0.0629882j -0.0560424-0.0480371j 0.134079-0.113206j -0.0297517-0.0644445j 0.0295833-0.0346683j 0.0587319-0.0647949j -0.104379-0.0457917j -0.0999681-0.019067j 0.163077+0.0767418j 0.141661-0.0933852j 0.0540533-0.0931929j 0.0957509-0.0827554j -0.117176+0.0224306j -0.0755021+0.115814j -0.0589976-0.0446257j 0.0681139+0.0499581j -0.0499005+0.0891501j -8.42727e-05+0.0097746j -0.0198759-0.056957j 0.133686-0.0465698j 0.0402672-0.0767698j -0.0408111-0.0394101j -0.0411781+0.0442498j 0.0471032+0.0403574j 
0.00265668-0.0211685j 0.00248113+0.00760986j 0.0446119+0.00292599j 0.00652272-0.0269684j -0.0237962+0.0606595j -0.0218331-0.0135354j 0.0183037-0.00695695j 0.0245183-0.0292456j 0.0101369+0.0529722j -0.0315705+0.0390949j -0.0211433-0.0318739j 0.016899-0.0163081j 0.0207216-0.013244j -0.053742+0.0334711j -0.0232633+0.00664416j -0.0536308+0.0108153j 0.00716554+0.0424849j 0.00392858+0.0110151j -0.0337578+0.0154523j 0.0186566+0.00587046j -0.0446496+0.0234151j 0.00275273-0.0602041j -0.0356576+0.0507954j -0.00208624-0.065708j 0.013244-0.0348946j 0.0352004-0.0420681j -0.0523836+0.0886456j 0.0792119-0.0283531j -0.0782319+0.0304634j -0.0377245+0.0387777j -0.007936+0.16233j 0.0275534+0.0555325j -0.0147121+0.0247968j -0.0148417-0.012241j -0.0781775+0.00996344j -0.0890962-0.092483j -0.0216512-0.0611287j 0.0105891-0.0564842j -0.0406187-0.0308781j -0.0538389+0.100584j 0.0788249-0.0478679j -0.155462-0.0255514j 0.109907-0.0363126j 0.0225982+0.0663601j -0.035599-0.0176526j 0.0281473+0.00627745j 0.0818365+0.0525021j 0.00804792+0.0692705j -0.00719632-0.00697111j 0.0877387-0.0540334j -0.0669011-0.00889361j 0.0604363-0.0545022j -0.00721033-0.0341583j -0.0289155-0.00861973j -0.14002+0.031645j -0.0396693-0.175488j 0.00474159+0.0178403j -0.0675898-0.00528945j -0.00651704+0.00355269j -0.136073+0.0313986j -0.00308193+0.0698929j -0.0651773-0.0335968j 0.030169+0.0382849j -0.00275508-0.0264666j -0.0203645+0.0552203j -0.0191412-0.0329302j -0.053788+0.0761601j -0.0441782+0.0266672j 0.0317547+0.0475874j 
0.0294039-0.00448428j 0.0178951+0.0175427j -0.00256066+0.0256547j 0.0274746-0.0573242j -0.00651315+0.0408582j -0.039212+0.0213533j -0.00598442+0.0207667j 0.0128843+0.00908391j -0.013786+0.00115205j -0.0321655-0.00319277j -0.00567942+0.0311834j -0.0372398-0.0186841j -0.0217527-0.00583307j -0.0335771+0.00643326j 0.0105677+0.0442422j 0.0738534+0.0493462j -0.0404479+0.0176287j -0.000353699+0.0131815j -0.0204063+0.0704877j 0.0430916+0.0438402j 0.00222964+0.016315j 0.0463112-0.0605794j -0.0086397+0.0600227j 0.011511-0.0349797j 0.0366439-0.0220532j -0.00999843+0.0463109j 0.0447036-0.024819j 0.0498948+0.0471634j 0.0151016+0.0250974j -0.00897163+0.0620454j -0.039115-0.0599616j -0.00716925+0.0365652j -0.0725445+0.00285822j 0.0157116-0.0723172j -0.00536373+0.0604501j 0.00333422-0.045051j -0.0633245-0.00292536j -0.00562832-0.0145013j 0.0037676-0.137474j 0.0834384-0.0686682j -0.108-0.137094j -0.0740176+0.00716248j -0.0319648-0.00854498j -0.0284115+0.0134653j 0.0290371+0.0485946j -0.0884895-0.0467832j 0.00945651+0.072156j -0.0460243-0.0752456j -0.0201404-0.0185071j 0.0662747+0.0839106j 0.0621952-0.0572032j -0.0351904+0.0210088j -0.0534438+0.0858023j 0.0122313-0.0882561j 0.0278295-0.0638587j 0.0728337-0.0924922j 0.0455441+0.0886828j 0.0968857-0.0204678j -0.139205+0.0568959j -0.0408127-0.0617988j -0.10732-0.00761367j 0.0844449+0.0266015j 0.00436024-0.0313446j 0.050262+0.0131198j -0.0282578-0.028401j 0.00967538-0.0414037j -0.0339531+0.0016161j -0.0459997-0.0505861j -0.0788921+0.0537423j 
-0.00772991+0.0113478j 0.00244003+0.0195819j -0.00595081+0.0245388j -0.00333179-0.0020702j 0.00570804+0.0063724j -0.0283011-0.0022303j -0.00496839-0.0190211j -0.0164685-0.0240505j 0.00613178-0.0159508j -0.0150677-0.00507335j -0.0379525-0.0343532j 0.00658728+0.00494398j 0.0245594-0.0568737j -0.0170511-0.0546744j 0.0450633+0.0159663j 0.0145256-0.00253166j -0.00950061+0.00544981j -0.00698291-0.0110164j -0.00274688-0.0232622j -0.00853159+0.0194239j -0.00483078-0.060191j 4.89569e-05-0.0337068j 0.0664748+0.025725j -0.0313204+0.0223365j 0.0158555-0.0124269j 0.00458401-0.00880708j 0.0497861-0.00152823j 0.10895+0.0671654j 0.0209769+0.0307259j -0.0246739-0.00980486j 0.00175906-0.0537669j 0.0291819+0.0699524j 0.0134275-0.0236048j 0.0574561+0.0280761j -0.0316415+0.0930035j 0.000876265-0.00340242j 0.00788912-0.0679756j -0.0111192-0.0186437j -0.0488419-0.114171j 0.000388023+0.060233j 0.00195151+0.0202357j -0.120581+0.019091j -0.0339255+0.0274297j 0.0831559-0.0470688j -0.0270531+0.0875395j 0.122274-0.00636315j 0.0515457-0.0505289j -0.0257957+0.0826111j 0.108885-0.104262j 0.0467717+0.0442766j 0.0685711+0.0401027j -0.02656-0.109882j -0.0591985-0.0437938j -0.0404596+0.199344j 0.0862566+0.0243068j 0.00700676+0.046757j -0.042377+0.107813j 0.0393393-0.0718849j -0.0466651-0.0354961j 0.00092539-0.0620328j -0.065185-0.00366892j -0.0580023-0.00922997j -0.000830186+0.0343491j 0.00657791+0.00696937j -0.00475884+0.072404j 0.06347-0.0058742j 0.00456246-0.0644891j 0.00745164-0.0434914j -0.0263586+0.0167721j 
-0.00926721-0.0189881j 0.00403369-0.0253174j 0.00584751-0.0175541j 0.00982013-0.0426608j 0.0152711+0.00873213j -0.0179312-0.0542172j 0.00782265-0.00125928j -0.0381661+0.00604309j -0.0147722-0.0188962j 0.00281647-3.49682e-05j -0.0162124-0.00791714j -0.0333416+0.0425289j -0.0157341+0.0243621j 0.0020747+0.0049873j -0.019314+0.0763952j 0.024486+0.0149651j -0.0149428-0.0078541j -0.0186088+0.0192429j 0.00387911+0.00913061j 0.0287239+0.0162814j 0.00239415-0.00657366j -0.0258039-0.0294548j -0.0180171+0.044096j -0.00399397-0.0591763j -0.00608498+0.0267398j -0.0352823+0.0145101j 0.0658114+0.0417688j -0.00322779+0.0183649j 0.0923112+0.0109j 0.0211829-0.0712645j 0.024772+0.0255018j 0.0243671+0.0405629j 0.0553969-0.129677j 0.0442211+0.0582298j -0.0646593-0.0375577j 0.0106093-0.0392034j 0.0516512+0.0326625j 0.0484383-0.0106798j -0.0388277+0.101968j 0.129449+0.0379422j 0.050805+0.020919j -0.0479941-0.069486j 0.0050528+0.0807492j -0.0272897+0.00867133j -0.0908824+0.0974134j 0.116173+0.0487282j 0.0257952-0.130437j 0.0319547+0.0206353j 0.0140626-0.00495232j 0.0735763+0.0174134j 0.0329448+0.0456943j -0.0135291-0.0242832j -0.0229562-0.0295076j -0.0252592+0.0690477j 0.0533307-0.0297446j -0.020909-0.0887515j 0.0701586-0.140715j -0.0692527+0.0363484j -0.109581+0.0748517j -0.103678+0.0406572j 0.0843048-0.000966668j -0.0396093-0.0338469j -0.0216378+0.0149741j -0.0149827+0.0189966j 0.021862+0.0343758j 0.0626028-0.0145206j 0.00318245-0.0455359j -0.0453083+0.0890959j 0.0452599+0.0266316j 
0.00916536+0.0306246j -0.0463409-0.0263474j -0.0243424+0.0154447j 0.0332949+0.0107577j -0.0158608-0.0185612j -0.00505033+0.0426586j -0.0162167+0.0121951j -0.00529865+0.0418152j 0.00749143-0.0302296j 0.0481899+0.0146433j 0.0528045+0.0937957j 0.0162147-0.0237822j 0.0391414+0.0145206j 0.00159247-0.00238932j -0.0206401-0.0452566j 0.0291665-0.00408805j -0.0325634+0.0063071j 0.00674719+0.0315839j -0.0759184-0.00337621j -0.000614631-0.0264206j -0.0219258-0.0231716j 0.022289+0.0221202j -0.0166033-0.0262718j 0.0387081+0.00400203j -0.0139602-0.0190196j -0.011863+0.0525399j 0.0340724-0.146562j -0.0362848-0.0316665j 0.0368918-0.00662958j 0.016694+0.0791411j -0.0110705-0.0153884j -0.0255613+0.030906j 0.0628088+0.0232455j -0.00954491-0.0477344j 0.0230113+0.0336959j -0.015583+0.0483302j -0.0912652-0.0284438j 0.0594744+0.092183j -0.00656175+0.105953j -0.0482466-0.135285j 0.0250273+0.128053j -0.132561+0.0236581j -0.177457+0.018676j -0.00982603-0.0105551j -0.0314195+0.0374294j 0.0283618+0.117366j 0.135172-0.0149365j 0.0350418+0.0160057j 0.0102086+0.0173045j 0.0736858+0.0567452j -0.0213381-0.0108148j -0.0683555+0.0685825j -0.0576201+0.0710151j -0.0225843-0.0197747j -0.0381814-0.102499j 0.0444555+0.122336j -0.0248554-0.0237715j 0.0493668+0.0142411j -0.00133847-0.0313431j -0.0125869+0.00781921j -0.0394483-0.0176869j 0.00132202+0.00987525j 0.0623053-0.0423691j 0.0351239+0.0151829j -0.0386486-0.0338372j 0.0180735-0.0475313j -0.0551033-0.0396761j 0.0228023-0.0268039j -0.0532666-0.0462857j 
0.00700402-0.0137807j 0.0286844+0.0264491j 0.0201911+0.00474815j -0.0181073+0.00248643j -0.000541267-0.00997717j 0.0165367-0.00335934j 0.00638086-0.0035227j 0.0143116+0.0267412j -0.0206049+0.00783844j -0.0213191-0.0057751j 0.0022553-0.00402784j 0.0118398-0.0142553j -0.0500977+0.00365053j -0.000464046+0.0343863j 0.00625844-0.0366305j -0.0261047-0.0170974j 0.0163678+0.0216374j -0.00421174-0.0539666j 0.0142586+0.00225703j -0.00729613-0.00193938j -0.0149483+0.0170784j -0.0123467+0.0383778j 0.0145971-0.0239643j -0.0470194-0.00653856j -0.0141081+0.0452872j 0.0549971+0.0812688j -0.0662583+0.0852352j 0.00624608-0.0621115j 0.0300909-0.069564j -0.00527971+0.028375j 0.0498084+0.061569j 0.108748+0.0286219j -0.0146861+0.0825311j -0.0563633+0.0228416j 0.0944295-0.0872142j 0.029825+0.0352005j -0.0272957-0.0232001j 0.10956-0.0694101j -0.070586+0.125008j 0.102725-0.127957j -0.0558826+0.0347102j -0.102399+0.132549j 0.0707281-0.00908359j 0.063309-0.0887548j -0.0192915+0.24004j 0.0747576+0.0587952j 0.119822+0.0309933j 0.0414007+0.0899821j -0.0699485-0.0492042j -0.00412848+0.0250528j -0.0498235-0.0854209j -0.0194494+0.0807005j -0.0345992+0.0572321j 0.0194019-0.0300519j -0.137505+0.0281987j -0.104486-0.0113473j 0.0052534-0.0479732j 0.0203363-0.0594251j 0.0155159-0.0249916j 0.0243319+0.069525j 0.0235711-0.00236017j -0.0293921+0.0324402j 0.0616114-0.051729j 0.0337407+0.105307j -0.0369693+0.0153144j -0.0466896+0.0113835j 0.0117841+0.0615255j -8.9504e-05-0.0101337j 0.0136874+0.00120278j 
0.0280881+0.0286641j 0.0121317+0.00185978j 0.0309964-0.0189184j -0.0201387-0.0375799j 0.0295734+0.0101463j -0.0214226-0.0121242j -0.0202552-0.0277544j -0.0134233+0.028782j -0.0420616-0.0044495j -0.0418073-0.0300169j -0.0421674+0.0479004j -0.0212338-0.0291133j -0.028352+0.0198352j -0.0584596-0.0499837j 0.00263868+0.0360108j -0.0104645-0.00590888j 0.0346942+0.0237559j 0.0409205-0.00422936j -0.011591+0.0194511j 0.030246+0.00789983j 0.00993899+0.0527835j -0.0635793+0.0595136j 0.0572311+0.0557081j 0.0165767-0.0647468j 0.0206497+0.0415175j 0.0224542+0.00358076j -0.0279536-0.000498431j 0.0315221-0.061563j -0.0323656+0.0136136j -0.0674716-0.0241684j -0.0230357-0.0757986j -0.0689789-0.000699144j -0.0461032+0.0847361j -0.0504424-0.0545409j 0.0262981-0.0419658j -0.0500065-0.0611456j -0.014283-0.0197117j -0.0844174+0.0865276j -0.152682-0.103505j -0.0392596-0.0105575j 0.0446119-0.0462062j 0.0851061+0.0193649j 0.132889-0.0210176j 0.0973451+0.0374132j 0.00273261-0.0828399j -0.0794485-0.0648912j 0.0637817+0.103005j 0.0096118+0.0212151j 0.00499852-0.0505989j -0.0014851-0.0611949j -0.0185712-0.0969483j 0.0736028-0.0379781j 0.0428289+0.0390956j -0.0765435-0.0643901j -0.0256642-0.0357561j -0.0655228+0.0407045j 0.0434264-0.0197663j -0.0221986+0.0509551j 0.0137927-0.0586176j 0.0626183+0.0135085j 0.0136386-0.0369223j -0.0501732+0.0215312j 0.00614729+0.0105334j -0.0140507-0.0136011j 0.00822868+0.0189841j -0.0265622-0.0453028j 0.0102133+0.039108j 5.70248e-05-0.0100106j 0.00350949-0.0418862j 
-0.00489486-0.0177126j 0.0151226+0.0020847j 0.00425144+0.00264347j -0.0103317-0.0286477j -0.0019478+0.0205117j -0.0213738-0.00181435j 0.00311866-0.00504951j 0.0125701+0.0168795j -0.0263321-0.034027j -0.0452071-0.0085122j 0.00543283-0.0296896j -0.0249135+0.0147874j -0.0048237+0.0280841j 0.0151244+0.0545416j -0.000478341-0.00339897j -0.0301126-0.00982332j 0.0340748+0.0265181j -0.00431696+0.0156358j 0.0234527+0.0499532j -0.015445-0.00073551j 0.022888+0.0251633j -0.000230024-0.0109576j -0.0238919-0.00328488j -0.02633+0.0151192j 0.0966775+0.0249023j 0.0472391+0.0763514j -0.0208051-0.0648228j 0.0440707-0.0622683j 0.0263965+0.0581093j -0.00583948-0.0224948j -0.0273113+0.0797278j -0.0582061+0.00293165j 0.00985259+0.0418529j -0.0347399+0.000963088j -0.18623-0.0388407j -0.0485771+0.0522854j 0.0435291+0.0546074j 0.0376261+0.0171653j 0.0078681+0.152993j -0.0862417-0.0150009j 0.138471+0.0695416j 0.117001-0.0668818j 0.105421-0.0764472j 0.0200342+0.0619405j 0.0472627-0.0681513j 0.11986+0.0916598j 0.0792589-0.0354891j 0.000354536-0.10311j 0.0503028+0.03461j 0.0339488-0.0621186j -0.0729345+0.0558069j 0.0936038-0.0319266j 0.060091-0.0459533j -0.0950835+0.0757949j 0.000235549+0.0542496j -0.0125414+0.0290556j -0.0373219-0.0318822j -0.0540882-0.0403608j -0.0318999+0.0639079j 0.00361626-0.0419718j 0.0214593-0.0512276j -0.0497742-0.000647102j -0.0308608+0.013014j 0.0172277-0.00576416j -0.0201396+0.0368582j 0.0216941+0.0443272j 0.0343885-0.0195386j -0.0115156+0.0251968j 0.0228753+0.0224442j 
