-0.413493-0j -0.417778-0j 0.0955332-0j -0.0601119-0j -0.0350653-0j -0.0296544-0j -0.00428024-0j 0.0680382-0j -0.0211861-0j 0.00982046-0j -0.0302722-0j -0.00305795-0j -0.00436941-0j -0.0124866-0j -0.00180229-0j -0.0215886-0j -0.00381636-0j -0.00031803-0j -0.0243869-0j 0.0391586-0j -0.00431103-0j 0.0395644-0j -0.000359253-0j -0.0174228-0j 0.00692233-0j 0.00699407-0j 0.000576861-0j -0.0143731-0j -0.00307995-0j 0.000582839-0j -0.00459228-0j -0.000256663-0j -0.00254083-0j -0.000211736-0j -0.000811807-0j -6.76506e-05-0j -0.0170137-0j -0.00283562-0j -0.00173646-0j -0.0188307-0j -0.000354453-0j -2.08863e-05-0j -0.014887-0j -0.00313846-0j 0.0489605-0j -0.0150413-0j -0.00192191-0j -0.000392307-0j 0.0341563-0j -0.00248117-0j -2.31169e-05-0j 0.00816008-0j -0.00614058-0j -0.0015194-0j 0.0199245-0j -0.00250688-0j 0.00499701-0j -0.010746-0j -0.00153514-0j -0.000310146-0j 0.00102001-0j 0.00569272-0j -0.00031336-0j -1.82755e-05-0j -0.00626851-0j 0.00348607-0j -0.00102343-0j 6.01047e-05-0j 0.00332075-0j -1.84649e-05-0j -0.00163529-0j -0.00062672-0j 0.00071159-0j -0.001791-0j 0.00203354-0j -0.000127929-0j -0.00109676-0j 4.19309e-05-0j -0.00104475-0j 0.000415094-0j -0.000223875-0j -0.000639777-0j -7.53827e-06-0j 2.44597e-05-0j -0.000272549-0j -0.000130594-0j -0.000166902-0j -1.3192e-05-0j -3.40686e-05-0j -7.69532e-06-0j -2.00751e-06-0j 
0.00529653-0j -0.00516598-0j -0.0593011-0j -0.0012714-0j 0.0833867-0j -0.00112736-0j -0.723366-0j 7.67809e-06-0j 0.000271378-0j 0.0049266-0j -0.000374327-0j 0.174128-0j -0.240185-0j -0.000468748-0j -0.300769-0j 0.000276533-0j -0.0046588-0j 0.0554972-0j -1.6063e-05-0j 0.000255055-0j 0.000270616-0j -0.000248768-0j -0.00322366-0j 3.86666e-06-0j -0.00429696-0j 0.00419105-0j 0.0511867-0j -0.000358647-0j -6.51424e-05-0j -0.0499251-0j -0.000230198-0j 0.000775997-0j 0.0060422-0j -0.0719766-0j 0.00387819-0j -0.0461983-0j 0.000217933-0j -0.00346157-0j 2.22427e-05-0j 4.17912e-06-0j 0.0201835-0j 0.00734072-0j -0.000565956-0j -6.63798e-05-0j 0.000127127-0j 0.000552006-0j 4.2653e-07-0j 0.000387042-0j 3.85453e-06-0j 0.00898946-0j 0.000140767-0j -0.00201925-0j 7.86561e-05-0j -5.77626e-05-0j -0.000252806-0j -0.00876789-0j 1.29749e-05-0j -0.000132878-0j 5.63389e-05-0j -0.0524151-0j 0.0117737-0j -6.12242e-05-0j 0.0511231-0j -0.0190633-0j -0.00023532-0j 3.93402e-07-0j -0.00124935-0j 0.00428208-0j 0.0040155-0j 0.0185934-0j -0.000102557-0j 8.02781e-06-0j 0.000356981-0j 0.0021106-0j -2.5802e-05-0j 0.0072846-0j -1.35618e-05-0j 0.000129834-0j 0.00373774-0j -0.0234132-0j -0.0123063-0j -2.40172e-05-0j 0.0026494-0j -0.00851538-0j 0.00162898-0j -0.0217937-0j -1.04672e-05-0j -0.0044758-0j -0.00949813-0j -0.00792636-0j -0.00345446-0j 
0.0291088-0j -0.0302722-0j 0.00692233-0j 0.00423171-0j -0.00254083-0j 0.205432-0j -0.000310146-0j -0.471337-0j -0.431947-0j 0.00071159-0j -0.203742-0j 0.000652122-0j 0.000307594-0j 0.0865017-0j -0.000130594-0j -0.00156431-0j 0.026438-0j -2.30444e-05-0j -0.00176707-0j -0.00275666-0j 0.0298649-0j 0.00286684-0j -2.60314e-05-0j 0.00371549-0j 0.0465896-0j -0.0484517-0j -4.06094e-05-0j 0.00101183-0j -0.0627946-0j 4.22325e-05-0j -0.000332756-0j 5.47344e-05-0j -0.0171006-0j 1.49056e-05-0j 0.00562383-0j -4.90196e-06-0j -0.00123281-0j -0.000205469-0j 0.0241846-0j -0.00136448-0j 0.00245549-0j -1.51342e-06-0j 0.001048-0j -0.000227413-0j 0.00354767-0j -0.00108989-0j 0.0267674-0j 0.00271772-0j -0.00240451-0j 0.000174667-0j -1.67505e-06-0j 0.000591279-0j 0.00218673-0j -0.0205591-0j 0.00144373-0j -0.000181648-0j -0.069596-0j 0.00229163-0j 0.0213808-0j -0.00208739-0j -0.00706616-0j -0.000400752-0j 0.00217081-0j 1.28655e-06-0j 0.000441285-0j 0.0471702-0j 0.000364455-0j 4.35518e-06-0j 0.000240622-0j -1.33797e-06-0j -0.000118493-0j -0.0428979-0j 0.00478924-0j 0.000381939-0j -0.0283222-0j -0.00435547-0j -0.0449558-0j -2.95181e-06-0j 7.35476e-05-0j -0.00287558-0j -0.00456441-0j -0.00865686-0j 2.68447e-06-0j 1.77235e-06-0j -1.97489e-05-0j -0.00087894-0j 0.00232453-0j 2.81325e-06-0j 0.000236012-0j 5.41729e-07-0j -1.45464e-07-0j 
0.0302722-0j -0.0305675-0j -0.00699407-0j -0.00424835-0j 0.00230491-0j -0.207561-0j 0.00031336-0j -0.45972-0j -0.148289-0j 0.000694051-0j 0.211758-0j 0.000223875-0j -0.000319696-0j -0.413077-0j 0.000623634-0j 0.00158052-0j -0.0267119-0j 2.32832e-05-0j -0.00172352-0j -0.00286684-0j 0.0291287-0j 0.00289481-0j -2.53898e-05-0j -0.00123134-0j 0.0484517-0j -0.0489244-0j -4.22325e-05-0j 0.000944774-0j 0.0208106-0j 4.26445e-05-0j 0.00352552-0j -1.81394e-05-0j -0.0159674-0j 1.39178e-05-0j -0.0595839-0j 5.19358e-05-0j 0.00124559-0j 0.000207598-0j -0.0244352-0j -0.00133084-0j -0.00248093-0j 1.52911e-06-0j 0.00108989-0j -0.000221807-0j -0.00358444-0j -0.00110052-0j 0.0261077-0j 0.00265074-0j 0.00241396-0j 0.000181648-0j -1.63377e-06-0j -0.000597406-0j 0.000449557-0j -0.0213808-0j -0.00130968-0j -0.000183421-0j 0.0703173-0j -0.000786253-0j 0.0215894-0j -0.00217081-0j 0.00713939-0j 0.000402327-0j 0.00219199-0j 1.33797e-06-0j 0.00216905-0j -0.0473556-0j 7.49262e-05-0j -4.40031e-06-0j -0.00021828-0j -1.35102e-06-0j 0.00217622-0j -0.00881913-0j -0.00480807-0j -0.000131042-0j 0.0256925-0j -0.000895415-0j 0.0154242-0j 2.96342e-06-0j 0.000361508-0j 0.00260859-0j 0.00156604-0j -0.042551-0j 5.51883e-07-0j -1.60778e-06-0j 0.000362703-0j -0.00432025-0j -0.0426917-0j -9.65216e-07-0j -0.00433453-0j 2.66276e-06-0j 2.67156e-06-0j 
-0.00420149-0j 0.00436941-0j 0.0952213-0j 0.05821-0j -0.0349508-0j 0.000310146-0j 0.199003-0j -0.00071159-0j -0.000652122-0j -0.456588-0j -0.000307594-0j -0.41843-0j -0.197366-0j 0.000130594-0j 0.0837948-0j 0.000225788-0j -0.0038039-0j 0.0453132-0j 0.000255055-0j 0.000397889-0j -0.00429696-0j -0.000413792-0j 0.0511867-0j -0.000536285-0j -0.00670331-0j 0.00697124-0j 0.079852-0j -0.000146045-0j 0.0090349-0j -0.0830436-0j 4.80292e-05-0j -0.107627-0j 0.00246044-0j -0.0293095-0j -0.000809157-0j 0.00963894-0j 0.000177941-0j -0.00282636-0j 1.81611e-05-0j 0.000196945-0j 0.0164797-0j 0.00599367-0j -0.000151266-0j -0.00312821-0j -0.000512063-0j 0.000157312-0j 2.01006e-05-0j 0.0182397-0j 0.000347061-0j 0.00240267-0j 0.00663378-0j 0.00813344-0j -0.000315627-0j -1.54386e-05-0j -0.000208385-0j -0.0024987-0j -5.22622e-05-0j -0.000330769-0j 1.60556e-05-0j -0.0140093-0j -0.0474238-0j -0.00551261-0j 0.0145692-0j -0.00509516-0j -6.36941e-05-0j 3.54218e-05-0j 0.00501332-0j -0.017248-0j 0.00330991-0j 0.00529881-0j 1.7103e-05-0j -3.22136e-05-0j 0.0321425-0j 0.00525383-0j -2.12682e-05-0j -0.0292313-0j -3.3759e-05-0j 0.0116902-0j 0.0010117-0j -0.0192992-0j -0.0306336-0j -6.50075e-06-0j -0.0106314-0j -0.0070191-0j -0.000271659-0j -0.00589892-0j 1.74557e-06-0j -0.0111414-0j 0.00158397-0j -0.00214543-0j 0.000576089-0j 
-0.0771568-0j -0.0255703-0j 0.00307995-0j -0.000194339-0j -0.00433089-0j -0.179753-0j 0.000271378-0j -0.00363343-0j -0.114006-0j 5.48549e-06-0j -0.521332-0j 0.000172119-0j 0.00078707-0j 0.221821-0j -0.00033489-0j 0.00136877-0j -0.0231332-0j 2.01639e-05-0j 2.6789e-05-0j -0.00371549-0j -0.000452755-0j -0.00123134-0j 3.9464e-07-0j 1.69907e-05-0j 0.0627946-0j 0.0208106-0j -5.47344e-05-0j 0.00522457-0j -0.000287155-0j -1.81394e-05-0j -0.00113942-0j 2.50296e-07-0j -0.0882991-0j 7.69652e-05-0j 0.0192571-0j -1.67853e-05-0j 0.00107871-0j 0.000179785-0j -0.0211615-0j 2.06856e-05-0j -0.00214855-0j 1.32424e-06-0j -0.00277788-0j 3.4476e-06-0j 0.000629249-0j -0.000920609-0j -0.000405797-0j -4.1201e-05-0j -5.61506e-05-0j -0.00046298-0j 2.5394e-08-0j 0.000104875-0j 0.00486366-0j 0.0544947-0j -0.00125133-0j -0.000153435-0j -0.0123442-0j -0.000583886-0j 0.0180599-0j 0.00553291-0j -0.00125332-0j -9.35844e-06-0j 0.00183364-0j -3.41017e-06-0j 0.003428-0j 0.00110153-0j 0.000810609-0j 7.72476e-07-0j -0.000208555-0j -1.13015e-06-0j -0.00050763-0j -0.0954121-0j 0.000111839-0j -9.73144e-05-0j 0.0245478-0j -0.0096873-0j 0.0114543-0j -6.89314e-08-0j 0.000571334-0j 0.00249236-0j 0.00116297-0j -0.0672484-0j 5.9707e-06-0j -1.53615e-06-0j -8.4605e-05-0j -0.0068278-0j 0.00995837-0j -7.16788e-07-0j 0.00101108-0j 4.20827e-06-0j -6.23175e-07-0j 
-0.00436941-0j 0.00441204-0j -0.0962081-0j -0.0584389-0j 0.0317056-0j -0.00031336-0j -0.201066-0j -0.000694051-0j -0.000223875-0j -0.445334-0j 0.000319696-0j -0.143648-0j 0.205131-0j -0.000623634-0j -0.400151-0j -0.000228128-0j 0.00384332-0j -0.0457828-0j 0.000248768-0j 0.000413792-0j -0.00419105-0j -0.000417829-0j 0.0499251-0j 0.000177729-0j -0.00697124-0j 0.00703925-0j 0.0830436-0j -0.000136366-0j -0.00299423-0j -0.0838538-0j -0.000508864-0j 0.0356682-0j 0.00229739-0j -0.0273672-0j 0.00857293-0j -0.102124-0j -0.000179785-0j 0.00285565-0j -1.83493e-05-0j 0.000192091-0j -0.0166505-0j -0.00605578-0j -0.000157312-0j -0.00305111-0j 0.000517369-0j 0.000158847-0j 1.96052e-05-0j 0.0177902-0j -0.000348426-0j 0.0024987-0j 0.00647027-0j -0.00821773-0j -6.4888e-05-0j -1.60556e-05-0j 0.000189036-0j -0.00252307-0j 5.28038e-05-0j 0.000113486-0j 1.62123e-05-0j -0.0145692-0j 0.0479153-0j 0.00553428-0j 0.0147114-0j -0.00529881-0j -0.000313075-0j -3.5561e-05-0j 0.00103066-0j 0.0174268-0j -0.00300259-0j 0.00535051-0j -0.00031411-0j -6.6226e-06-0j -0.0322689-0j -0.00180257-0j 1.92934e-05-0j -0.00600949-0j 1.15826e-05-0j -0.0117362-0j 0.00497278-0j 0.0175073-0j 0.0105103-0j -3.19531e-05-0j -0.00218565-0j 0.00636738-0j 0.00498922-0j -0.0289949-0j -3.20587e-05-0j 0.00382259-0j -0.0290908-0j -0.0105454-0j -0.0105803-0j 
0.0111366-0j 0.00369076-0j 0.0423668-0j -0.00267327-0j -0.0595743-0j -0.000271378-0j -0.174128-0j -5.48549e-06-0j -0.000172119-0j -0.00351973-0j -0.00078707-0j -0.110439-0j -0.505018-0j 0.00033489-0j 0.21488-0j -0.000197565-0j 0.00332841-0j -0.0396491-0j -3.86666e-06-0j 0.000536285-0j 6.51424e-05-0j 0.000177729-0j -0.000775997-0j -2.45239e-06-0j -0.0090349-0j -0.00299423-0j 0.107627-0j -0.000754101-0j 4.13159e-05-0j 0.0356682-0j 0.000164462-0j -0.000492168-0j 0.0127045-0j -0.15134-0j -0.00277071-0j 0.0330056-0j -0.000155699-0j 0.00247307-0j -1.58909e-05-0j -2.98571e-06-0j -0.0144198-0j -0.00524446-0j 0.000400952-0j 4.7424e-05-0j -9.08242e-05-0j 0.000132878-0j -3.04728e-07-0j -0.000276516-0j 8.10465e-06-0j -0.0063686-0j -0.000100569-0j 0.00144262-0j -0.000702008-0j 4.0922e-05-0j 0.000180614-0j -0.0021106-0j -9.26971e-06-0j 8.42767e-05-0j 1.35618e-05-0j 0.0371335-0j -0.00841154-0j -0.000128732-0j 0.0123063-0j 0.0135054-0j -0.000494789-0j 8.27177e-07-0j 0.0111505-0j -0.00305927-0j -0.00286881-0j 0.0044758-0j 7.32701e-05-0j -7.16484e-05-0j 0.000750598-0j -0.00133862-0j 1.84338e-05-0j -0.0650153-0j 8.60146e-06-0j 0.000272992-0j 0.00785908-0j 0.0167272-0j 0.00780515-0j -5.04992e-05-0j -0.023646-0j 0.00608368-0j -0.0011638-0j -0.0458241-0j 7.4781e-06-0j 0.00283873-0j 0.00678579-0j -0.0166662-0j 0.00246799-0j 
0.0210118-0j -0.0196194-0j -0.00254083-0j -0.00595045-0j -0.00705034-0j 0.148289-0j -0.000223875-0j -0.337014-0j -0.311796-0j 0.0005088-0j -0.132045-0j 0.000470726-0j 0.000199352-0j 0.0747552-0j -0.00011286-0j -0.00112918-0j 0.0190839-0j -1.66343e-05-0j 0.00248478-0j 0.00101183-0j -0.0419947-0j -0.000944774-0j 3.66043e-05-0j -0.00522457-0j -0.0171006-0j 0.0159674-0j 1.49056e-05-0j 0.00280763-0j 0.0882991-0j -1.39178e-05-0j 0.0030592-0j -7.69652e-05-0j -0.0474511-0j 4.13603e-05-0j -0.0517028-0j 4.50663e-05-0j -0.000889892-0j -0.000148315-0j 0.0174573-0j 0.00191867-0j 0.00177246-0j -1.09245e-06-0j 0.000756489-0j 0.000319778-0j -0.000519104-0j -0.000706358-0j -0.0376392-0j -0.00382155-0j -0.00171927-0j 0.000126082-0j 2.35539e-06-0j -8.65173e-05-0j 0.00157847-0j -0.0148403-0j -0.00203706-0j -0.000117726-0j 0.0101835-0j 0.00148521-0j 0.0138569-0j -0.00150675-0j 0.00103394-0j -0.000286545-0j 0.0014069-0j 9.28678e-07-0j 0.000381361-0j 0.0337275-0j 0.000263078-0j -6.3726e-07-0j -0.00033951-0j -8.67136e-07-0j 0.00373351-0j -0.0309653-0j 0.00342439-0j 0.000247535-0j 0.0399617-0j -0.00314395-0j -0.0291359-0j -2.1106e-06-0j 6.35602e-05-0j 0.00405736-0j -0.00295819-0j -0.0074813-0j 1.93775e-06-0j -2.50073e-06-0j 0.000622252-0j -0.000759585-0j -0.0732416-0j 1.82326e-06-0j -0.0074363-0j 4.68165e-07-0j 4.58332e-06-0j 
-0.00303279-0j 0.00283181-0j -0.0349508-0j -0.0818524-0j -0.0969821-0j 0.000223875-0j 0.143648-0j -0.0005088-0j -0.000470726-0j -0.326468-0j -0.000199352-0j -0.302039-0j -0.127913-0j 0.00011286-0j 0.0724159-0j 0.000162983-0j -0.0027458-0j 0.0327088-0j -0.000358647-0j -0.000146045-0j 0.0060422-0j 0.000136366-0j -0.0719766-0j 0.000754101-0j 0.00246044-0j -0.00229739-0j -0.0293095-0j -0.000405247-0j -0.0127045-0j 0.0273672-0j -0.000441558-0j 0.15134-0j 0.00682727-0j -0.0813286-0j 0.00743901-0j -0.0886158-0j 0.000128445-0j -0.00204018-0j 1.31094e-05-0j -0.000276936-0j 0.0118957-0j 0.00432646-0j -0.00010919-0j 0.00439876-0j 7.49262e-05-0j 0.000101954-0j -2.82646e-05-0j -0.0256479-0j 0.000248155-0j 0.00173434-0j -0.00932813-0j -0.0011901-0j -0.000227832-0j -1.11441e-05-0j 0.000294024-0j -0.0016194-0j 7.64712e-06-0j -0.000214371-0j 1.04056e-05-0j -0.0101124-0j 0.00693916-0j -0.00394161-0j 0.0094423-0j -0.00367788-0j -5.50447e-05-0j 2.53272e-05-0j 0.00361881-0j 0.00252377-0j -0.00467018-0j 0.00343416-0j -0.000538886-0j -2.3253e-05-0j 0.0229825-0j 0.003405-0j 3.00087e-05-0j -0.0211003-0j -2.18792e-05-0j 0.0083587-0j 0.000874313-0j 0.0272306-0j -0.0198536-0j -5.61798e-06-0j -0.00767415-0j 0.00990373-0j 0.00855949-0j -0.00509788-0j -5.49998e-05-0j -0.00722075-0j -0.049908-0j -0.00185409-0j -0.0181515-0j 
0.00691009-0j 0.0732117-0j 0.000811807-0j -0.00393122-0j -0.00746337-0j -0.0473789-0j 7.15292e-05-0j 0.216313-0j -0.0338491-0j -0.000326574-0j -0.507177-0j 5.1103e-05-0j 0.000765698-0j 0.371442-0j -0.000560776-0j 0.000360777-0j -0.00609741-0j 5.31475e-06-0j -0.00159486-0j 0.000332756-0j 0.0269543-0j 0.00352552-0j -2.34945e-05-0j -0.00113942-0j -0.00562383-0j -0.0595839-0j 4.90196e-06-0j -0.0030592-0j 0.0192571-0j 5.19358e-05-0j 0.00381722-0j -1.67853e-05-0j 0.0517028-0j -4.50663e-05-0j -0.0645139-0j 5.6233e-05-0j 0.000284325-0j 4.73875e-05-0j -0.00557771-0j -0.0012315-0j -0.00056631-0j 3.49042e-07-0j 0.000248784-0j -0.00020525-0j 0.000165856-0j 0.00263584-0j 0.0241588-0j 0.00245286-0j -0.00113585-0j 4.1464e-05-0j -1.51181e-06-0j 2.76427e-05-0j 0.000102618-0j -0.00488049-0j -0.0021564-0j 0.000439307-0j -0.00325366-0j 0.00188314-0j -0.0517083-0j -0.000495522-0j -0.000330348-0j -0.000189308-0j -0.00525-0j 3.05412e-07-0j -0.00195042-0j 0.0222824-0j 1.7103e-05-0j 2.03608e-07-0j -0.0003594-0j 3.2358e-06-0j 0.0038593-0j -0.0020131-0j 0.00226235-0j 0.000313856-0j 0.0423028-0j -0.000204392-0j -0.0369422-0j -1.39439e-06-0j -0.000325071-0j 0.00429505-0j -0.00375078-0j 0.0382622-0j 1.25976e-07-0j -2.64723e-06-0j 0.000643217-0j 0.0038848-0j -0.0757094-0j 2.31177e-06-0j -0.00768685-0j -2.39437e-06-0j 4.73774e-06-0j 
-0.000997385-0j -0.0105672-0j 0.011167-0j -0.0540765-0j -0.102664-0j -7.15292e-05-0j -0.0458963-0j 0.000326574-0j -5.1103e-05-0j 0.209544-0j -0.000765698-0j -0.0327899-0j -0.491306-0j 0.000560776-0j 0.359819-0j -5.20737e-05-0j 0.000877296-0j -0.0104506-0j 0.000230198-0j -4.80292e-05-0j -0.00387819-0j -0.000508864-0j 0.0461983-0j 0.000164462-0j 0.000809157-0j 0.00857293-0j -0.00963894-0j 0.000441558-0j -0.00277071-0j -0.102124-0j -0.000550969-0j 0.0330056-0j -0.00743901-0j 0.0886158-0j 0.00928227-0j -0.110573-0j -4.10388e-05-0j 0.000651846-0j -4.1885e-06-0j 0.000177751-0j -0.00380074-0j -0.00138232-0j -3.59089e-05-0j -0.00282335-0j -2.39393e-05-0j -0.000380451-0j 1.81417e-05-0j 0.0164622-0j 0.000163946-0j 0.000570366-0j 0.00598727-0j 0.000380244-0j -1.48117e-05-0j -3.66494e-06-0j 0.000311249-0j 0.00604297-0j -2.44329e-06-0j -0.000271808-0j -3.88296e-05-0j -0.00332564-0j -0.0022171-0j -0.00260406-0j -0.0352349-0j -0.00120953-0j 0.000281519-0j 1.67326e-05-0j 0.000235264-0j -0.000806356-0j -0.00494378-0j -0.0128149-0j -0.000557042-0j -1.51171e-06-0j 0.0151836-0j 0.0043173-0j 3.17667e-05-0j -0.00137176-0j -2.77412e-05-0j 0.00552225-0j -0.00447156-0j 0.0288258-0j -0.025173-0j 2.87324e-05-0j -0.000498907-0j 0.0104839-0j 0.00884788-0j 0.0260724-0j -5.68529e-05-0j -0.0091554-0j -0.0515895-0j 0.00948253-0j -0.0187631-0j 
0.0241368-0j 0.0243869-0j 0.00283562-0j 0.0035089-0j 0.00204686-0j 0.00173101-0j 0.00024985-0j 0.00201951-0j 0.00123669-0j 0.000291491-0j 0.00176707-0j 0.000178501-0j 0.000255055-0j 0.00072888-0j 0.000105205-0j -0.181925-0j 0.000222771-0j 1.85643e-05-0j -0.205506-0j -0.167795-0j 0.000251647-0j -0.169534-0j 2.09706e-05-0j -0.146821-0j 0.000205469-0j 0.000207598-0j 1.71224e-05-0j -0.121121-0j 0.000179785-0j 1.72999e-05-0j -0.0386987-0j 1.49821e-05-0j 0.000148315-0j 1.23596e-05-0j 4.73875e-05-0j 3.94896e-06-0j -0.00495516-0j 0.119224-0j -0.000505734-0j 0.0010992-0j -0.000103233-0j -6.08303e-06-0j 0.000868997-0j -0.0264475-0j 0.000579331-0j 0.000878002-0j 0.000112187-0j 2.29001e-05-0j 0.00101383-0j -0.0209086-0j 1.3494e-06-0j -0.0139391-0j 0.000358443-0j 8.86916e-05-0j 0.000591401-0j -0.0211253-0j 5.91277e-05-0j 0.000627275-0j 8.96107e-05-0j 1.81041e-05-0j 1.20694e-05-0j -0.0243933-0j 1.82917e-05-0j 1.06679e-06-0j 0.00036591-0j 0.000103474-0j -0.00862435-0j 7.11196e-07-0j -0.0142295-0j 1.07785e-06-0j 9.54567e-05-0j 3.65834e-05-0j 2.11215e-05-0j -0.0150926-0j 6.03596e-05-0j 7.46756e-06-0j 6.4021e-05-0j 1.24459e-06-0j -0.00880402-0j 1.23208e-05-0j 1.30682e-05-0j 3.73456e-05-0j 4.4003e-07-0j 7.26013e-07-0j -0.00229675-0j 7.62314e-06-0j 9.74251e-06-0j 7.70053e-07-0j 1.98868e-06-0j 4.49198e-07-0j 1.17184e-07-0j 
-0.00426682-0j -0.00431103-0j 0.0236355-0j 0.0292474-0j 0.017061-0j 0.0292554-0j 0.00420926-0j 0.0341313-0j 0.020901-0j 0.00491081-0j 0.0298649-0j 0.00300724-0j 0.00429696-0j 0.0123186-0j 0.0017724-0j -0.000222771-0j -0.177524-0j 0.000470775-0j -0.000251647-0j -0.000205469-0j -0.200535-0j -0.000207598-0j 0.000531797-0j -0.000179785-0j -0.163736-0j -0.165433-0j 0.00043421-0j -0.000148315-0j -0.143269-0j 0.00043871-0j -4.73875e-05-0j 0.000379934-0j -0.118191-0j 0.00031343-0j -0.0377625-0j 0.000100142-0j 0.000875957-0j -0.00688371-0j -0.017184-0j -0.000194314-0j 0.166274-0j -0.000206039-0j -0.000153618-0j 0.00152701-0j -0.000102412-0j -0.00015521-0j 0.00381192-0j -0.0368846-0j -0.000179221-0j 0.00120721-0j 4.57057e-05-0j 0.000804807-0j -6.33644e-05-0j 0.00301359-0j -0.000104546-0j 0.00121972-0j 0.00200906-0j -0.000110888-0j 0.00304482-0j -0.0291599-0j -0.0194399-0j 0.00140841-0j -0.029462-0j 3.61335e-05-0j -6.46844e-05-0j 0.00351585-0j 0.000497949-0j 2.4089e-05-0j 0.000821574-0j 3.6508e-05-0j -1.68745e-05-0j 0.00124304-0j -0.0340198-0j 0.000871411-0j 0.00205091-0j -0.0120278-0j 0.00217532-0j 4.21558e-05-0j 0.000508323-0j -0.0198449-0j -0.0210487-0j 0.00126894-0j 1.49043e-05-0j 2.45909e-05-0j 0.000132609-0j -0.0122784-0j 0.000331034-0j 2.60826e-05-0j -0.00320312-0j 1.52148e-05-0j 3.96916e-06-0j 
0.000355568-0j 0.000359253-0j -0.00599242-0j -0.00741524-0j -0.00432555-0j 2.55002e-05-0j 0.0501421-0j 2.97502e-05-0j 1.82182e-05-0j 0.0584991-0j 2.60314e-05-0j 0.0358233-0j 0.0511867-0j 1.07374e-05-0j 0.0211135-0j 1.85643e-05-0j -0.000470775-0j -0.17189-0j 2.09706e-05-0j 1.71224e-05-0j -0.000531797-0j 1.72999e-05-0j -0.194171-0j 1.49821e-05-0j -0.00043421-0j -0.00043871-0j -0.15854-0j 1.23596e-05-0j -0.000379934-0j -0.160183-0j 3.94896e-06-0j -0.138722-0j -0.00031343-0j -0.11444-0j -0.000100142-0j -0.0365641-0j -7.29964e-05-0j 0.00174526-0j -7.45016e-06-0j 1.61928e-05-0j -0.0207176-0j 0.232672-0j 1.28015e-05-0j -0.000387151-0j 8.53436e-06-0j 1.29342e-05-0j 1.65267e-06-0j 0.0045958-0j 1.49351e-05-0j -0.00030607-0j -0.0516137-0j -0.000204047-0j 5.28036e-06-0j 1.30655e-06-0j 8.71215e-06-0j -0.000309242-0j 8.71034e-07-0j 9.24064e-06-0j 1.32009e-06-0j 0.0036333-0j 0.0024222-0j -0.000357082-0j 0.00367095-0j -0.0408042-0j 5.39037e-06-0j 1.52431e-06-0j -0.000126247-0j -0.0272028-0j -0.000208298-0j -0.041227-0j 1.40621e-06-0j 5.38925e-07-0j 0.00423884-0j -0.000220933-0j 8.89181e-07-0j 0.00149866-0j 9.43118e-07-0j -0.0476049-0j -0.000128878-0j 0.00247266-0j 0.00262265-0j 5.50152e-07-0j -0.0168309-0j -0.0277695-0j -3.36209e-05-0j 0.00152988-0j 1.43521e-07-0j -0.029454-0j 0.000399107-0j -0.0171815-0j -0.00448222-0j 
-0.0267145-0j 0.026056-0j -0.00313846-0j -6.72874e-05-0j 0.00441316-0j -0.00191588-0j -0.000276533-0j -3.87266e-05-0j -0.00136877-0j -5.5897e-06-0j 0.00188802-0j -0.000197565-0j 0.000272512-0j 0.00236426-0j 0.000341251-0j -0.800483-0j 0.000980211-0j 8.16843e-05-0j 0.00394082-0j 0.185715-0j -4.82563e-06-0j -0.181138-0j -4.02136e-07-0j 0.00281546-0j -0.000227413-0j 0.000221807-0j -1.8951e-05-0j -0.261144-0j -3.4476e-06-0j 1.84839e-05-0j -0.167616-0j -2.873e-07-0j 0.000319778-0j 2.66481e-05-0j 0.00020525-0j 1.71041e-05-0j -0.0010992-0j 0.0264475-0j -0.000112187-0j 8.37978e-05-0j -2.29001e-05-0j -1.3494e-06-0j -0.000961803-0j -0.00201623-0j -0.000641202-0j 0.000938097-0j 8.55258e-06-0j 1.74579e-06-0j -1.94414e-05-0j 0.0231416-0j 1.02872e-07-0j 0.0154277-0j -0.000396724-0j -9.81636e-05-0j 0.0012751-0j -0.0225712-0j -6.54424e-05-0j 0.000670209-0j 9.57441e-05-0j -2.00376e-05-0j -1.33584e-05-0j 0.000467772-0j 1.95437e-05-0j -1.18073e-06-0j 0.0011869-0j -1.98423e-06-0j 0.00954541-0j -7.8715e-07-0j -0.0306796-0j 1.15162e-06-0j 0.000517273-0j -4.04904e-05-0j -4.05029e-07-0j -0.0161256-0j 0.000130139-0j -8.26508e-06-0j 6.84029e-05-0j -2.38666e-08-0j -0.0285575-0j 2.65646e-05-0j 1.39627e-05-0j 0.000121137-0j -4.87024e-07-0j 1.56533e-06-0j -0.0124459-0j 2.47271e-05-0j 5.2794e-05-0j 8.22759e-07-0j 1.07765e-05-0j 1.45706e-06-0j 6.35013e-07-0j 
