-0.0238056+0.0238947j -0.129606-0.00732717j 0.0109532-0.0285819j 0.0274413+0.00693551j -0.0384519-0.0223621j -0.00447624+0.0242258j 0.0201394-0.0288932j -0.0307273+0.00664128j -0.0191943-0.0201607j -0.012133+0.0400963j -0.0280832+0.00983915j -0.00477946-0.033004j 0.0283599+0.0075167j -0.0154695+0.0288319j 0.0273182+0.0126928j -0.0297158-0.024237j -0.0066843-0.00335522j 0.00427425+0.0108674j -0.00448292+0.00700944j 0.00455781+2.20447e-05j 0.0109364+0.0199295j 0.0049973+0.00490682j 0.00445125+0.0287351j 0.00361535+0.0112821j 0.0064846-0.00455963j 0.0107392+0.00631877j 0.0027681+0.00734732j 0.000844845-0.0255503j -0.0018331+0.0222384j 0.0022827+0.00566331j 0.00473498-0.0219176j -0.00601467-0.0134635j 0.00284293+0.0234032j -0.00391522+0.0150702j -0.00425691+0.0167136j 0.000761109+0.00307276j 
0.0635044+0.141178j -0.0220518+0.00696719j 0.026548-0.196212j 0.0231695+0.121437j -0.107283-0.268459j -0.0442869+0.10241j -0.0689668+0.00882623j -0.0521941-0.0795118j 0.000272185+0.00103387j 0.00407683-0.0648995j 0.00798069-0.0299079j 0.0560472-0.0104358j -0.0466119-0.00175633j 0.0528179+0.0212005j 0.0443014-0.0108611j -0.0320649-0.0305241j 0.0252471-0.00172056j -0.00676458-0.110117j -0.0224421-0.0301778j -0.0451618-0.0165047j -0.00248457+0.0177443j -0.0290014+0.0523697j 0.00963291+0.0167105j -0.000659332+0.00126346j 0.00777607+0.00362368j -0.0280628+0.00627567j 0.00282644+0.0111303j 0.0128576+0.00381568j 0.0033869-0.00334697j -0.0077293-0.0122759j -0.00274781+0.0334792j -0.00251327+0.0224092j -0.0169035+0.0471925j -0.00745004-0.0278617j 0.00569138+0.0439654j -0.00925474-0.017309j 
-0.103924-0.066068j -0.0700391-0.0546976j -0.0422944+0.0248861j -0.105247-0.152315j 0.15599-0.174096j 0.150776+0.141404j 0.00608715-0.0721496j -0.0211001-0.0623478j -0.067114-0.0475272j -0.0131023-0.00720349j -0.0126963-0.0205792j 0.0486537+0.0207185j -0.0497449+0.0181935j 0.0609636+0.00795927j -0.0500619-0.00841225j -0.0671508-0.00333531j -0.00662241+0.016369j -0.00138154+0.0163107j 0.00380076+0.0351344j -0.0388442-0.00538985j 0.0285635+0.00629905j -0.0349364-0.0255763j 0.0117908-0.00283008j 0.0188555+0.00473458j -0.00267449+0.00629718j -0.0128183+0.0275827j -0.0413243+0.0175566j -0.00548588-0.00490677j -0.0191227-0.018353j 0.00847482-0.0347378j -0.0114186+0.0171294j 0.0233238-0.0365373j -0.00922355+0.0268316j 0.0221376-0.034314j 0.00512998-0.0113118j -0.0127385-0.0464551j 
-0.026188-0.00163035j -0.03988-0.0408121j -0.113353-0.110857j -0.175523+0.0231665j 0.248961+0.148891j 0.201764+0.00900881j -0.0360816+0.0448758j -0.00848965+0.037977j -0.0396797-0.0584234j 0.0383292-0.0153029j 0.0208368+0.0275339j -0.0485726-0.00273108j 0.00526228+0.00534031j -0.0732265-0.015993j -0.0523312+0.012965j 0.0115834+0.0147042j -0.0352504+0.0107929j -0.00617648-0.0407407j 0.0113794+0.00497445j -0.0137065-0.0037671j 0.0255914+0.0084501j -0.0104049+0.0191092j -0.0281827+0.0160274j 0.0223193+0.00204039j -0.00720304+0.0110371j 0.0352796+0.00756187j 0.0121461-0.0257856j 0.00353907-0.00571929j 0.00163352-0.0103008j -0.0200297-0.00629575j 0.00670185-0.000740295j -0.00709403+0.0442791j 0.00203822-0.00840992j -0.0289918+0.00330295j -0.00449202+0.0127065j -0.000774717+0.0168288j 
-0.0165341-0.000229319j 0.108956+0.0284773j 0.0167423+0.000505392j -0.0334074+0.00985936j 0.0228373+0.0395093j -0.00376471-0.00732876j -0.00386878+0.0113091j 0.00920491-0.0218061j -0.000994467+0.00112503j -0.0194764-0.0299378j -0.0134931-0.0350871j 0.024706+0.0110224j -0.0390032+0.0374414j 0.0463827+0.0240138j 0.00445876-0.0327798j -0.0331242+0.0596319j 0.0109144-0.00574463j 0.000640393+0.0204637j 0.00834995-0.0380407j -0.0184283-0.0183491j -0.00170607+0.00325509j -0.034544-0.0212303j 0.0301514+0.0296037j -0.0237573-0.0365956j -0.0332142-0.0723662j -0.0280912+0.0136822j -0.0196958+0.0118197j 0.0238468+0.0117428j -0.0359804-0.0496404j -0.00480266+0.0119956j -0.00409242-0.00725804j -0.0122823-0.0305445j 0.0177456+0.018393j 0.0153587+0.0129676j 0.0166297+0.0153447j -0.0078995+0.0162914j 
0.002391-0.0359616j -0.0168228+0.0722839j 0.0151175-0.117353j -0.0289765+0.244524j -0.0314798-0.227562j 0.0153165-0.0572207j 0.0197716+0.278383j 0.103352+0.0111715j 0.061863-0.0127252j -0.0559143-0.0079903j -0.0826592-0.00461089j -0.102301+0.00176102j 0.0313897+0.0101053j 0.0119351-0.00984317j -0.0359562+0.00474541j 0.0396307-0.0336025j -0.0521014-0.0110408j 0.000997782+0.0127067j 0.12583-0.00691091j 0.0157039+0.032623j 0.0154982-0.00365044j 0.0421147+0.000928597j -0.0118516-0.0152512j 0.000481702+0.00451671j 0.000265224+0.0128354j 0.0210973-0.00605543j -0.0158802-0.00402079j 0.0224072+0.0227549j 0.000660338+0.0356049j 0.013547+0.00901689j -0.0339146+0.0334566j -0.00218343-0.0409733j 0.0234165-0.0123535j -0.0199807+0.000839509j 0.00915332+0.042527j 0.0125273+0.0380618j 
-0.0148312+0.00606448j -0.0415644-0.0176037j 0.0302891+0.0981027j 0.00933213+0.0334039j 0.0907661-0.0931128j -0.00758843-0.01327j -0.00617317+0.0111697j 0.0638444-0.0245788j -0.0531667+0.0282031j -0.012918-0.0114377j 0.00333759+0.0176353j 0.0122381-0.0276551j 0.0208503-0.0152394j -0.00812682-0.0252374j 0.000177778-0.0455304j -0.0025104-0.0421969j 0.0100085+0.0447409j 0.0235031+0.0401114j 0.0274234+0.00098845j -0.0331119+0.0501817j -0.0205511+0.0310287j 0.0209281-0.0358994j -0.0147528-0.00642182j -0.02734+0.0116134j 0.00268349+0.00689506j -0.0439627+0.044549j 0.0144153-0.0126976j -0.00613191-0.000370774j 0.0188221+0.00348261j 0.0137278-0.00303024j 0.0038412-0.0143436j 0.00492064-0.0250728j -0.00791832+0.00921979j 0.00660196+0.00746051j -0.00332533-0.00473863j 0.00430324-0.000492554j 
-0.023586-0.0164817j 0.0337258+0.0319721j 0.000741921-0.0115044j 0.0264782-0.00190183j -0.414896+0.166739j 0.0938104-0.00124237j 0.0340954+0.0387382j -0.062349+0.0193587j -0.0638118+0.0125875j -0.0658733-0.0278173j -0.0631682-0.0114718j 0.0275848+0.0140824j 0.0505178-0.0181361j 0.00657705+0.0474455j -0.00968841-0.0441216j 0.00844024-0.0044426j 0.0252927+0.0105147j 0.00417895+0.0234809j 0.0173511-0.0221778j -0.00771906+0.0132013j -0.00113343+0.00787366j 0.0191577-0.0174299j 0.0100003+0.0204041j -7.38523e-05-0.0312813j 0.0100958-0.000898836j -0.0449322+0.0400853j -0.0229205-0.0165124j 0.0054042-0.0161028j -0.0125712-0.00639883j 0.0228602+0.000182972j -0.00782778-0.00970225j -0.0239494+0.0219599j 0.0166609-0.0149357j -0.000687638+0.012463j 0.0242722-0.00377855j -0.0167529+0.0308998j 
0.0344209-0.084016j 0.0196339-0.0169338j 0.0161395-0.219415j 0.00615175-0.0553863j 0.142293+0.0532726j -0.0417037+0.233489j 0.0254098+0.1061j 0.130632-0.0154696j -0.0707848-0.0405234j -0.0574025-0.00803137j 0.0252388+0.0123608j -0.00660065-0.0203636j 0.0270667+0.0256162j -0.00391365-0.0312563j 0.0193438-0.0525594j 0.0147005-0.0255142j 0.0654079-0.0177083j 0.0371783-0.0177484j 0.0746619-0.00627107j -0.00903986+0.0277803j -0.0228911+0.00167532j 0.0190053+0.00364696j 0.0207075+0.0161274j -0.0570682-0.0418384j 0.00674039-0.00409371j 0.000829401+0.000376871j -0.00322579-0.0355944j -0.000609288-0.0190326j -0.0158029-0.0247765j -0.00879189-0.0239843j -0.0030734+0.0398495j 0.0253758-0.0197693j 0.00635751+0.00768228j -0.00482452-0.0263404j -0.000741316+0.0351929j 0.00879715-0.00345356j 
-0.146748+0.0138263j 0.0411234+0.108227j 0.00985352+0.0898366j -0.023833+0.260347j 0.0667784-0.202726j 0.0301347-0.190059j 0.0597926+0.0464993j -0.00738758+0.0236569j -0.000312666+0.0053074j 0.0287304-0.108063j 0.0218913-0.0200454j 0.00703359-0.0174363j -0.0158588+0.0122014j -0.005675+0.0121335j -0.00778496-0.0188833j -0.0194402-0.0185395j -0.0284194+0.0388018j -0.00777113-0.0417818j -0.0649992-0.0565912j 0.0251733+0.0344566j -0.00285117-0.00185969j -0.00331091+0.063187j 0.0102141+0.00261248j 0.00133114-0.046902j -0.00438762-0.0159498j -0.00573234+0.019675j 0.00628385+0.0184212j -0.00633977-0.0320635j -0.00416693+0.00628351j -0.00561748+0.0291949j 0.0266494+0.00235638j 0.00327342+0.00497624j -0.00302351-0.000572751j 0.000104694+0.0170672j 0.00863868+0.032244j 0.000585086+0.0258528j 
-0.0732538-0.0734548j -0.10198+0.0388984j -0.0308945-0.119003j -0.236271+0.0573942j 0.065056+0.0855095j 0.281498+0.0177692j -0.154188+0.0836847j -0.0507058+0.000602919j -0.047362-0.100523j -0.00286777-0.0338354j -0.023863-0.0138693j -0.0167875+0.0431014j 0.0190546+0.00293852j -0.0172739+0.0139443j -0.0535463-0.0166836j -0.0139994+0.000842302j -0.0224183-0.023993j -0.00516817-0.0472831j 0.00722879-0.0300355j -0.0395615-0.0444801j -0.00146642+0.010265j 0.00443908+0.016895j 0.00317174-0.008851j -0.0154907-0.0126351j -0.00107599-0.0110799j -0.0322107-0.00418284j -0.0150371+0.0152461j -0.0170784-0.00411809j -0.0166841+0.00968369j -0.00297426+0.00591957j 0.0127491+0.0130659j 0.00209548+0.00675962j 0.00501387-0.0156266j -0.0241996+0.00379587j 0.00239996+0.0302333j -0.0325474+0.0321863j 
-0.139714-0.0729791j 0.0587541-0.0664265j -0.0334991-0.160849j 0.109006-0.182308j -0.017118+0.0750744j -0.0140594+0.15349j 0.257823-0.00946839j 0.0398844+0.0441215j -0.0489573-0.0676378j -0.0031108+0.00725731j 0.0054447-0.0351354j 0.0109727-0.0152277j 0.0042745+0.0130644j -0.00691362-0.00432549j -0.00719967-0.00843444j -0.0116242+0.0217024j -0.0366604-0.0835801j 0.00415254-0.0425186j -0.0109456+0.0504975j 0.0328808-0.0263507j 0.00112131+0.00799801j 0.0163596+0.0122427j 0.0100507-0.028608j 0.01202+0.0412632j -0.00107095+0.00939482j 0.00511944-0.0185716j 0.0131461-0.0122603j 0.0201101-0.00977018j 0.00961082-0.0108984j 0.00197614-0.0148401j 0.00634761+0.0119703j -0.00100786+0.00755992j -0.00538094+0.00637003j 0.00399284-0.0281465j 0.0204758-0.00161893j 0.0256743-0.0312761j 
0.132748-0.253367j 0.00710458+0.0152242j 0.14837-0.244982j -0.00106034+0.0179087j -0.0798271+0.0769931j -0.21752+0.112775j -0.203709+0.126943j 0.0195979-0.0489802j 0.0489986-0.0775116j -0.0212728-0.00222366j -0.00427063-0.0140297j -0.010012+0.0289936j -0.0102437-0.00137001j 0.0174123+0.00603679j 0.0334934-0.00574572j 0.0263224+0.00529028j 0.0130006-0.060126j -0.0166403-0.118635j -0.0232337-0.0460728j -0.0118011-0.0141243j 0.00277766+0.0309729j -0.0167308+0.0345026j -0.0191652-0.0160843j 0.0260532-0.00984393j 0.00334041-0.0123219j 0.0104599+0.0056113j 0.0164693-0.0119826j -0.0163171-0.0174594j 0.00353837-0.00766999j 0.0115012-0.0181233j -0.0207936+0.0431358j 0.0166604-0.00820445j 0.00725481-0.0129998j 0.00157395-0.0229191j -0.0246676+0.0507038j -0.0179196+0.0224128j 
