1.98601e-13-0.184264j 4.70482e-14-0.375516j 2.81866e-16-0.0446537j 2.06646e-15-0.220818j -1.96052e-15+0.269751j -4.13288e-16-0.103299j 1.21949e-15-0.180519j 3.13457e-16-0.0221474j -1.18108e-16+0.0515219j -7.14795e-16+0.0420863j -2.71842e-16+0.087134j -4.11578e-16+0.0462736j -1.69282e-16-0.00377475j 1.90004e-16-0.018168j -3.59184e-16+0.0553892j 6.6731e-16-0.00801381j -4.92607e-17-0.0183873j -1.04764e-15-0.00834724j -3.94252e-16-0.012316j -1.73171e-16+0.0300074j 1.64875e-16+0.0143526j -3.92559e-17+0.00302205j -1.98223e-16+0.0226293j -5.17413e-16-0.00734466j 5.34817e-16-0.0147514j -1.99998e-16+0.00958412j -1.08537e-16-0.0113567j 6.92044e-17+0.016852j -6.54047e-16+0.0266439j -4.77139e-17-0.00423019j -1.46561e-16-0.00377421j -3.73347e-15+0.0116298j 4.87921e-16-0.0270147j 1.20544e-16+0.00471563j -3.34397e-16+0.0302944j -7.06688e-16+0.02025j 5.62251e-16-0.0257476j 9.83724e-15-0.0227045j -1.09168e-14-0.000601288j 1.7465e-14-0.00865124j 7.03243e-16-0.0394789j -5.00852e-16+0.0112329j 5.06322e-17+0.00933029j 2.5338e-16-0.00870922j 4.3431e-17-0.0107444j 2.52451e-16-0.00943858j -4.28791e-16+0.00763228j -2.15028e-16-0.000679035j -2.60609e-16+0.012675j -4.74027e-16+0.0242915j -3.59542e-17-0.0128657j -7.34037e-16+0.00968535j 1.38684e-16-0.0113393j -4.65671e-16-0.00645781j -3.69187e-17+0.0249141j 3.75499e-16-0.0421997j 7.03673e-17+0.00139794j 9.41826e-17+0.00343987j -4.43353e-16+0.018914j -5.16175e-16+0.0181289j 1.2459e-16-0.0105395j -7.24385e-16+0.0273736j -1.44536e-16+0.0417207j 5.14523e-17+0.00650909j 3.18009e-16-0.0148305j -6.97706e-17+0.0339338j -3.39297e-16+0.0616002j 5.71797e-17-0.00478885j 1.74887e-16-0.0231107j -4.23339e-17-0.0113012j 1.38293e-17-0.0466783j 1.83901e-16-0.0717646j 3.37465e-16+0.011911j -5.00304e-16+0.0701977j -1.19014e-16-0.0143283j -4.12622e-14-0.0322114j 1.88249e-13-0.0883505j 
-1.27479e-13+0.180695j -2.78787e-14-0.0328741j 2.03671e-16-0.120392j 4.11946e-16-0.0339805j -6.09867e-16+0.00326388j 5.56706e-16+0.0855458j 5.01096e-16-0.0395738j -5.66069e-16-0.0295258j -5.7731e-16+0.0370596j 1.03789e-16+0.135933j -9.40409e-17+0.0203305j 1.64771e-16-0.185568j -2.76418e-16-0.208334j -3.06999e-15-0.423856j -1.94432e-16-0.151801j 3.32653e-15-0.0900916j -7.57797e-17-0.112765j 4.04216e-15+0.0344108j 5.00998e-15+0.171788j -2.60839e-15-0.102876j 3.82138e-16-0.435422j -2.10263e-16+0.0833659j -1.53366e-16+0.0528349j 1.08762e-15+0.0344363j 1.2064e-15-0.00913237j -7.64466e-16+0.0914559j 1.05904e-15+0.0458336j -3.07857e-16+0.0234833j 5.94098e-17+0.197731j -5.927e-16+0.0133818j -1.18685e-15-0.0261783j -3.96285e-16-0.000803332j -3.81695e-16-0.0242899j 4.49175e-16+0.00282001j -5.07762e-16-0.0292975j -5.26389e-16-0.00946454j 1.9522e-15-0.0791772j -5.93006e-14+0.141557j 7.12476e-14+0.0253823j -1.24917e-13+0.0731824j 1.87258e-16-0.0508028j 2.00399e-15-0.066501j 5.64489e-16-0.0530648j 4.35309e-16+0.00278129j 4.63957e-18-0.00849372j 5.21383e-16-0.0153297j 4.92668e-16-0.0170494j -5.01344e-16-0.0187843j 8.56559e-17+0.0313755j -2.41802e-16+0.0415264j -3.20676e-16-0.00464406j -6.9237e-17-0.0025231j -3.76451e-16+0.0022572j 1.97714e-15+0.0224778j 1.55067e-16+0.00934944j -2.36654e-16-0.0953673j 2.31521e-16+0.0141994j 2.37733e-16+0.00261238j 6.24897e-16-0.0251562j 9.11567e-16-0.048985j 1.33233e-16-0.0570877j -1.47644e-15+0.0400209j 1.91602e-16+0.00308028j 1.09696e-16+0.00969084j 1.12733e-17+0.0233666j -1.9813e-16-0.0123891j 4.58513e-18+0.00115707j 1.03454e-16-0.0341957j -1.61155e-16-0.000867069j -1.35144e-16-0.0158889j 3.70198e-17-0.0529562j -3.4056e-16+0.00114813j -4.11378e-16+0.0192571j -2.7021e-16-0.0466882j -2.54569e-16-0.0542912j 3.60322e-14+0.00602844j -1.62479e-13+0.0716351j 
-3.43425e-13+0.379726j -7.62949e-14+0.379493j 1.72346e-15-0.0719927j -1.61988e-15+0.325681j 1.03704e-16-0.277307j 2.10012e-16+0.344806j 1.57358e-16+0.180599j 2.82319e-17+0.0214914j -4.26165e-16-0.16423j 6.51193e-16-0.0639201j -7.88061e-16-0.234434j 2.52858e-17-0.105857j 4.80529e-16-0.02743j -1.07336e-15+0.0304416j -5.54348e-16+0.0970492j 5.04644e-15-0.0906345j -7.27415e-16-0.0585143j -2.33664e-15-0.0123405j -2.95594e-15-0.177421j 5.49657e-16-0.0170645j 7.41996e-16-0.0864725j 5.1639e-16-0.0434142j 4.48176e-16-0.11889j 2.4761e-16+0.0156676j -1.15335e-15+0.0507301j 3.24132e-16-0.0573537j -1.10454e-16-0.0363508j -5.56865e-17-0.0502999j 4.14368e-16-0.0303596j 5.08211e-16-0.0208368j 9.00178e-16+0.065896j 5.3139e-16-0.00159412j 1.35513e-16+0.00630333j -5.7442e-15-0.0677623j 8.25806e-16-0.0105286j 1.95494e-15-0.105145j 9.91305e-17-0.0138293j -4.50176e-14+0.11115j 5.77377e-14+0.0343353j -1.08196e-13+0.069257j -6.59484e-16+0.0093443j -5.03874e-17+0.0247724j 1.2498e-16-0.0368267j -4.09643e-16+0.0175268j -4.42883e-16+0.0114524j -2.13987e-15+0.108066j -4.0327e-16-0.0212431j 4.05502e-16+0.0277727j 2.30238e-16-0.0108271j 1.28473e-16-0.0307494j -2.80411e-17-0.00237865j -7.74395e-16+0.0220439j -6.35496e-17+0.0375438j 2.90362e-16+0.00626522j 9.16217e-17-0.00682605j 1.2597e-16-0.020814j 6.98886e-17-0.0594765j 3.11045e-16-0.0400324j -1.5189e-17+0.0138973j 5.50268e-16-0.0428685j -2.32692e-16-0.00693398j 1.70589e-15-0.0568694j -4.98009e-17-0.0191171j -5.65565e-16-0.0336888j -4.00092e-17+0.00584502j -2.28e-16-0.0617115j -2.45815e-17-0.0591976j -7.36452e-17-0.0156792j -1.97946e-18-0.0151541j 3.24824e-17-0.000159022j 8.97702e-17+0.0771133j 1.75751e-17+0.0552028j -6.84983e-17-0.0107854j -1.11233e-16-0.0156752j -1.95858e-16+0.0812645j 3.05514e-14+0.00556471j -1.3768e-13+0.0607934j 
-2.55212e-13+0.415288j -5.6109e-14-0.317671j 2.11427e-15-0.354874j -8.49658e-16+0.0546544j -2.38164e-16+0.212479j -1.19227e-16+0.345441j 9.61032e-16-0.116854j -1.24518e-16-0.129259j -1.65574e-16+0.019515j -9.33381e-16+0.278927j -4.8927e-16-0.126835j -9.01213e-16+0.10649j -3.61453e-16+0.160603j -4.78826e-16-0.0705002j 1.97016e-16+0.0713167j -1.77148e-15+0.0335206j -1.09193e-15-0.0979987j -2.04976e-15-0.0218904j -1.7729e-15-0.0656482j 7.02403e-16-0.0688244j -1.07612e-15+0.173416j 6.07668e-16+0.096455j 6.12384e-16-0.0746389j 3.0413e-15+0.0729824j -1.65338e-15+0.0640923j -3.95179e-16-0.0260845j -1.79446e-15-0.0760622j 1.95165e-15+0.0946206j -8.25555e-16+0.0546149j -2.29717e-16-0.00779317j -1.21662e-15-0.0484107j 7.77261e-15-0.0340773j -8.36391e-16-0.0418453j -9.5335e-15-0.107969j 3.73357e-16+0.0445943j -1.79878e-16+0.00929851j -2.09111e-15+0.11394j 4.41443e-14-0.0425533j -5.90918e-14+0.0592253j 1.17777e-13-0.0517594j 1.10928e-15-0.0661968j -1.6915e-15+0.0508962j -4.26865e-17+0.0318679j -1.31317e-15-0.0846934j -3.94551e-16+0.00377231j -7.65689e-16+0.0538318j -1.48339e-15+0.0395745j 4.09986e-16+0.0200314j -2.79337e-17-0.0199344j 6.44022e-17+0.00719142j 9.73646e-17-0.0590007j 1.29644e-15-0.0204706j -2.83907e-17-0.0785547j -2.03362e-15-0.0261558j -2.57419e-16+0.0334813j -2.46248e-16+0.00253502j -2.08896e-16-0.0533469j 7.45189e-17-0.00421202j 3.49835e-17-0.018508j -1.65743e-16+0.0123727j -3.13458e-16+0.0252834j 7.34737e-16-0.0175205j -1.34437e-16+0.0509478j 3.81872e-17+0.00292283j -9.98217e-17-0.0882727j -1.51916e-16-0.0474455j 4.35794e-17+0.0544007j -9.18181e-17-0.087262j 1.71569e-16-0.00898373j 1.94539e-17+0.0350601j -2.16394e-16+0.000775436j -2.13159e-16-0.111829j 6.02074e-16-0.0353837j -2.86381e-16+0.0192178j -2.30656e-17+0.0012134j -1.4825e-14-0.0697351j 6.74845e-14-0.0446459j 
-3.82029e-14+0.0106748j -7.797e-15+0.189184j 5.80461e-16+0.234391j 1.22342e-15+0.165564j -1.55248e-18-0.00942149j 7.73933e-16-0.0468442j 1.22261e-15+0.267227j -4.34223e-17-0.0185569j -4.59213e-16-0.0282774j 3.45106e-16-0.0305472j -7.97513e-16-0.0693248j -7.28968e-16-0.157902j 9.53855e-16+0.0901779j -1.14545e-15-0.107446j -1.11428e-15-0.185708j 9.88573e-16-0.0523031j -2.05041e-16-0.021262j 2.25358e-14+0.192729j -8.40388e-16-0.035907j 6.70993e-16+0.161643j 1.13406e-15+0.0547351j 1.71505e-15+0.30532j -3.19521e-16+0.149785j 5.64807e-16+0.00314987j 1.37435e-15-0.0739944j -5.83423e-16-0.0145609j 1.9961e-15+0.0182162j -2.2329e-15-0.0883173j 6.98532e-16+0.0534068j -2.03174e-16-0.0698933j -1.65464e-15-0.0347193j -1.65422e-15-0.00082368j -6.48186e-16-0.0733319j -8.30218e-15-0.0886332j 6.92712e-16+0.0256444j -2.11911e-16+0.00117031j 3.39927e-17+0.023661j -4.81874e-14+0.0480956j 7.27045e-14-0.0492908j -1.56762e-13+0.0805974j -9.19844e-16+0.0634343j 2.43995e-15-0.0624168j 4.93542e-17-0.101217j 1.55129e-15+0.0303021j 7.75345e-16+0.0920208j -6.6553e-16-0.0124829j -7.90805e-16+0.0220636j 1.36091e-15+0.0668727j -1.27515e-15-0.0839591j -3.794e-16-0.0184446j 1.93446e-17+0.0541196j 3.13512e-16-0.0151833j 2.66883e-16+0.0552184j -3.30148e-15-0.0349249j -1.18952e-16-0.0354331j 1.05698e-17-0.00681643j -5.28485e-16+0.00884441j 4.2065e-16-0.0297611j 7.9046e-16-0.128996j 9.26477e-17+0.0401606j 4.28531e-16-0.0291858j 1.58642e-15-0.0613604j -2.17656e-16-0.00697782j -8.01888e-17-0.00967091j -1.78977e-16-0.0133213j -1.28977e-16+0.00429052j -2.09879e-16-0.054099j -3.76434e-16-0.0715358j 2.86069e-16+0.0320226j -8.11707e-18-0.015414j 2.47821e-16+0.0157771j 2.93176e-16+0.0174589j -1.96676e-16-0.0657534j -2.93036e-16-0.0481926j -3.52032e-16-0.0732734j 3.03834e-14-0.088664j -1.38884e-13+0.040411j 
-7.54801e-14+0.0682269j -1.52282e-14+0.15274j 5.38204e-17-0.0523545j 6.08005e-16+0.0691084j -1.11154e-15-0.129732j -4.17725e-16-0.0660084j 5.40629e-17-0.0304388j -1.36656e-15-0.157277j 2.09034e-15+0.187485j 1.59757e-16+0.0346355j -2.41199e-15-0.252054j -3.8722e-16-0.0554933j -7.32379e-16-0.0873946j -6.24861e-16-0.078614j 8.82919e-16-0.0694542j -1.4446e-14+0.324025j -7.20191e-16+0.0206566j -6.51504e-15-0.0453161j -4.6451e-15-0.15251j 1.09142e-15+0.0888635j 3.31388e-16+0.0608444j -9.16371e-16-0.113602j -3.6769e-16+0.0193352j -1.406e-14-0.286985j 2.56295e-16-0.0200158j 1.59196e-15+0.125246j 1.61771e-15+0.0351028j -2.41649e-15-0.0870497j -9.98172e-16-0.109889j 4.56103e-16+0.0687395j -5.12817e-15-0.171718j -2.45515e-15+0.0171528j 1.21632e-15+0.141075j -6.98194e-15-0.0630655j 1.41555e-15+0.121422j -5.54996e-16+0.105606j -6.79658e-16+0.0726564j 4.29033e-14-0.0510374j -6.89618e-14+0.0186576j 1.57036e-13-0.0919108j -1.22178e-16+0.0749938j -1.88293e-15+0.0729548j -4.738e-16+0.0411379j -7.94352e-17-0.0200194j 6.61823e-16+0.0346147j -2.83406e-16-0.0361091j -1.56716e-16+0.0150657j 8.9318e-16-0.000160993j -1.46052e-15-0.121471j 2.85598e-16+0.00644726j 1.60269e-16-0.00361717j 2.01009e-15-0.0465592j 9.17268e-16+0.0526993j -1.13507e-16-0.0015874j -1.58125e-17-0.0227115j 1.14516e-15+0.112005j -6.90159e-16-0.0404017j -3.1368e-16-0.0533941j -2.22003e-16-0.0836445j 4.88447e-16+0.0339533j 5.52671e-16+0.0666847j -3.02826e-16+0.0339127j 7.6181e-16+0.0572156j 5.12843e-16+0.0202177j -2.25663e-16-0.0146042j 3.57874e-16+0.0547446j -1.55173e-16-0.00774198j -4.79661e-16-0.049354j 5.36742e-17+0.00397115j 8.82817e-17+0.00942745j 3.91518e-16+0.0717632j -1.163e-16-0.0266233j 7.55092e-17-0.0192151j 5.66678e-17+0.00334531j -2.03426e-16-0.0284051j 5.1173e-15-0.00740632j -2.3054e-14+0.00830959j 
2.32625e-14-0.0238594j 4.72344e-15-0.0336309j 2.57011e-15+0.13996j 2.46141e-15+0.374817j 2.22062e-15+0.210818j -4.481e-16-0.0915839j 4.34106e-15+0.420751j 5.0014e-16+0.021596j -2.53205e-15-0.188927j -7.06225e-16-0.0693959j 7.2647e-16+0.0869408j 2.28255e-15+0.224909j 1.50397e-17+0.0194242j -4.83792e-16-0.0233895j 1.90656e-15+0.127191j -4.46357e-15+0.132791j -1.41402e-15-0.0849373j 1.59415e-14+0.136829j 4.82631e-15+0.102955j -1.79339e-15-0.115643j -7.22913e-16-0.0261323j -8.30769e-16-0.0443813j 4.94906e-16+0.0485899j 2.80057e-15+0.0468406j -8.74496e-16+0.0295j 1.09277e-15+0.0691076j 3.37855e-15+0.205597j -6.88908e-16+0.0739769j -1.44459e-17-0.0236691j -1.98948e-15-0.191728j -4.35928e-15-0.141012j 3.11889e-15-0.00768337j -2.1993e-16+0.0475944j -3.26632e-15-0.0169739j 8.48731e-16+0.121917j -2.88499e-15+0.185426j 2.99864e-15-0.145863j -4.92458e-14+0.0734537j 6.33355e-14-0.036486j -1.21323e-13+0.0583225j 3.26321e-16-0.0364996j 4.36736e-16+0.0220074j -4.67992e-16-0.0859932j 8.76625e-16-0.015015j 1.67136e-15+0.0814808j 7.63718e-16-0.0953835j 4.6217e-16-0.0164186j 1.44855e-15+0.0502608j -1.1279e-15-0.0350816j 1.15064e-16+0.0102219j 1.31242e-16+0.0317314j -2.9696e-15+0.0593183j 6.71213e-16+0.0624746j -2.83662e-15-0.0306695j -6.15169e-16-0.0233992j -1.83414e-16-0.019541j -7.31508e-16-0.0335789j 2.77106e-16+0.0147318j 7.1454e-17-0.092026j 4.0062e-16+0.0172394j 5.69745e-16+0.024474j -3.05237e-16+0.00023472j 2.06172e-16+0.0257001j -2.08052e-15-0.109765j -3.84773e-16-0.0257416j 5.79176e-16+0.0455237j -8.52952e-16-0.0869743j -2.88449e-16-0.0359206j 2.79655e-16+0.0202453j 6.37172e-16+0.0623685j 6.02804e-17-0.015825j -8.00774e-16-0.0460737j 4.06276e-16+0.0459045j 1.40775e-16+0.00629688j 4.9424e-16+0.0369827j -2.21799e-14+0.0063292j 9.96184e-14-0.0418144j 
1.13842e-13-0.148415j 2.49453e-14-0.0259236j 2.98756e-15-0.254869j -2.76687e-15+0.273329j 7.28471e-16+0.0339087j -2.48776e-16-0.0172001j 4.26771e-16+0.0613401j -5.62625e-16-0.508804j 1.49904e-15+0.110783j -1.886e-16+0.137441j -6.56523e-17+0.0565177j 1.89324e-15-0.170011j -7.05774e-16-0.550334j -5.19168e-16-0.0263628j 1.49097e-16+0.103582j -1.26534e-15+0.0518516j -2.25933e-15-0.260859j -2.55595e-15-0.00470823j -8.24213e-16-0.0366727j -7.73253e-16+0.0284597j 3.23186e-16-0.100713j -1.7008e-15-0.208915j -7.00347e-16-0.0773364j 7.29828e-15+0.164145j 1.41251e-15-0.0519873j -2.28427e-17-0.059472j -2.30572e-15-0.0914395j 2.08957e-15+0.0183606j -4.21263e-16+0.14193j 2.01562e-16+0.0365319j 5.32185e-15+0.157222j 1.81273e-16+0.0025701j 8.0346e-16+0.00694433j 7.40595e-15+0.0793796j -1.00579e-15+0.0271728j -6.40295e-16+0.0416305j 7.44539e-16-0.0116516j -1.93935e-15-0.0458652j 1.46402e-14-0.0453155j -5.55621e-14+0.0271728j 1.28136e-15-0.0513323j 6.72363e-16+0.00702342j -6.77722e-17-0.0623771j -4.68039e-16-0.0387325j 2.15025e-16+0.0690161j 9.62444e-16-0.0415j -5.16751e-16+0.0201857j 6.86767e-16+0.0472849j -5.67935e-16-0.0413161j 8.2008e-16-0.00987046j 1.17009e-16-0.0427615j -3.60264e-15+0.0735984j 7.75566e-18+0.0314633j 5.16906e-15+0.0508336j 4.98788e-16+0.0374791j 2.7947e-17-0.0081859j 2.57482e-16+0.0333618j 1.74573e-16+0.0430975j 6.44143e-16-0.0217884j 5.04824e-16-0.0549337j -1.48987e-16+0.00313202j -2.09517e-16-0.0140497j -5.62957e-16-0.00903674j 1.8423e-16+0.0137843j 6.66734e-17-0.00873735j 8.55646e-16+0.083328j 4.5681e-16-0.00933749j -2.07298e-16-0.0758053j 7.84501e-16+0.0362951j -1.09101e-16-0.0215019j 8.65277e-16-0.0075468j 8.16561e-16+0.10996j -4.28077e-16+0.028386j 1.27062e-16+0.0372588j -2.31651e-16-0.0141364j -2.55154e-15+0.0213114j 1.0501e-14+0.000300806j 
2.56204e-14-0.0243124j 5.49977e-15-0.0519744j -1.91854e-16+0.364868j 2.11828e-15-0.162211j 2.79397e-15+0.244716j -5.70691e-16-0.0354237j 6.29939e-16+0.126594j 3.07101e-16+0.285584j 3.2095e-15+0.184124j -5.32504e-16-0.128846j -1.2842e-15-0.114672j -8.56526e-17+0.205706j -1.89645e-15+0.0526403j -1.14278e-15-0.0878619j 6.10541e-16-0.0755009j -3.95226e-15+0.111497j -4.31416e-15-0.169849j -2.39289e-14-0.191348j -4.49245e-15-0.13963j -7.53046e-16-0.141162j -1.81631e-15-0.139317j -8.75472e-16-0.123123j -9.422e-16-0.19109j 6.3091e-15+0.120671j 1.41171e-15-0.0577396j 1.90755e-15+0.251105j -4.19882e-15-0.162727j 5.2385e-15+0.0885301j -1.42049e-15+0.0287312j 3.53521e-16+0.0420752j 3.68231e-15+0.103729j 1.89964e-14-0.060299j -1.74356e-16+0.0835362j 2.01418e-15+0.0187153j 5.02165e-16+0.0558786j 2.32114e-16-0.00231151j -1.11255e-15+0.00263544j 2.81219e-14-0.0609611j -3.8168e-14-0.0118378j 7.62048e-14-0.046756j -8.82716e-17+0.0695449j -1.39871e-15+0.0519711j -1.01073e-15-0.0851162j -4.678e-16-0.0137342j 1.6581e-17-0.0287613j -1.32157e-15+0.109455j -5.19188e-16-0.0655998j 1.03424e-15+0.00333559j -1.18302e-15-0.0847292j -1.01139e-16+0.0719281j -3.40418e-16+0.0244723j 5.30601e-16-0.0120777j 3.05056e-17-0.0206159j 4.38281e-15+0.0443048j 8.94064e-16+0.0517273j -2.79601e-16-0.0141322j -2.3049e-16-0.0596733j 4.47771e-16+0.0494394j -1.99305e-16+0.0288707j 2.83925e-16-0.0460574j -2.8696e-16+0.0212441j 1.08863e-15-0.0666658j -4.42777e-16-0.0432574j -7.68171e-16-0.0299082j -1.28918e-17+0.00718666j 9.66914e-16+0.0912497j 3.59263e-16+0.0393497j -4.0891e-16-0.0200483j 1.02391e-15+0.0874354j -3.42987e-16+0.00147318j 8.9533e-16+0.0861922j 6.07894e-16+0.0541446j 1.41446e-16+0.0475344j 2.4078e-16-0.00520022j -2.13495e-16+0.00948483j 1.18345e-14-0.0242893j -5.35015e-14+0.0177155j 
4.92115e-14-0.0729917j 1.16775e-14+0.019115j -3.33097e-16-0.0660071j -1.30041e-15-0.0570205j 3.59285e-15+0.0885714j -1.33429e-15-0.0436509j -7.32815e-15-0.288073j 2.76554e-15+0.0757242j 3.59968e-15+0.113538j -1.38155e-15-0.0500705j -3.02587e-15-0.08578j -6.64862e-15-0.266401j 4.23507e-15+0.128761j -9.14729e-16+0.00638981j 7.80885e-16+0.0154609j -1.41216e-15+0.0729977j -8.5682e-15-0.277632j 2.0807e-14+0.151852j -4.95858e-15-0.103152j -4.72715e-16+0.0451124j -5.25729e-15-0.20888j 5.75569e-15+0.199703j -2.96361e-15-0.0625572j 1.05868e-14+0.169035j -2.87213e-16-0.117457j 4.06152e-15+0.162437j 9.65865e-15+0.266233j 3.98764e-15+0.147707j 8.56632e-15+0.30919j -2.32508e-15-0.0305072j 2.99312e-15+0.0283825j -9.06119e-14+0.371919j 3.99217e-15-0.0903654j 9.76744e-15+0.0707488j 4.21793e-16+0.030182j -2.17113e-15-0.0908694j -1.45307e-15-0.0580385j -1.98595e-14-0.0203221j 4.73704e-14-0.0362372j -1.35609e-13+0.081393j 1.53482e-15+0.0941816j 1.09815e-15-0.223094j 1.25797e-15-0.0441425j 3.65764e-15+0.0714156j 3.36291e-15+0.139358j -4.33026e-16+0.0236349j 2.29805e-15+0.160627j 2.10599e-15+0.0482378j 2.67638e-16+0.0152469j -4.73837e-16-0.0339278j -5.98399e-16-0.00174116j 7.5457e-16-0.0313329j 9.2998e-16+0.0452784j 4.37091e-16+0.00519451j -1.18136e-15-0.0409452j -3.32349e-16+0.00442718j 9.42199e-16+0.0277706j -8.04617e-16-0.0379883j -7.28925e-16-0.0457787j 1.09757e-15+0.10239j 2.52243e-15+0.0719218j 4.81569e-16-0.0889545j 1.53417e-15+0.0753388j -4.29946e-17-0.0118158j -2.02181e-15-0.0591782j 3.63479e-16+0.0199965j 4.87935e-16+0.00761173j 2.43846e-15+0.0635951j -3.42223e-15-0.0952818j -1.63322e-15-0.0465258j 2.06518e-15+0.0734766j -1.52297e-15-0.067564j -1.42671e-15-0.0646591j 1.8832e-15+0.0543043j -3.10556e-16-0.021611j -1.99603e-14+0.0143156j 9.03664e-14-0.0363123j 
2.69754e-14-0.0547365j 5.03929e-15+0.0867924j 1.20696e-16-0.122535j 2.69288e-15-0.284804j 1.36548e-15-0.243669j 1.42104e-15-0.0988586j 3.44385e-15-0.339206j -1.03214e-15+0.0788173j -3.45518e-16+0.0374464j 1.77845e-16-0.0106805j 2.18712e-16-0.0212264j 2.63144e-15-0.166475j -2.32069e-15+0.183779j -1.04748e-15+0.248662j 1.32179e-15-0.121171j -1.58731e-15+0.0309807j 9.75918e-16-0.247036j -1.43277e-14-0.149487j 1.55053e-15+0.224797j -1.46787e-15+0.0552783j -1.86484e-15+0.175877j -2.02475e-15+0.0186778j -1.87797e-17+0.0467372j 3.50262e-15+0.114105j 5.01977e-15-0.122212j -2.47832e-15+0.102716j 2.94907e-16-0.0177131j -1.01819e-15-0.0834241j -2.08748e-15-0.0312206j 6.7024e-16-0.0124404j 4.79917e-16+0.0455272j 1.27441e-14-0.0446147j -1.74327e-16+0.0682921j -5.0411e-15-0.0531963j -1.40028e-15+0.162175j -6.30121e-15+0.242732j 1.17024e-15-0.0108719j -5.95944e-16-0.0987144j 8.33013e-14+0.0378114j -3.12929e-13+0.234247j -1.22381e-15+0.0522145j 3.18227e-15-0.0214591j 2.31186e-15-0.177775j 7.55569e-16-0.0463241j -1.3344e-15+0.0786694j 1.22328e-15-0.0627392j 1.07689e-17-0.0567772j -3.85431e-16-0.0588119j -7.45878e-16+0.00297702j -5.76446e-16+0.000464583j -1.69423e-15+0.146775j -1.60993e-15+0.0201377j -1.07091e-16+0.0514489j -3.03522e-16-0.00485761j -3.13978e-16+0.0780068j -5.80666e-17+0.0523187j -5.49871e-16+0.0104623j 8.58329e-16-0.0013197j 3.12264e-15-0.158761j -1.04709e-15+0.0669165j -1.92258e-16+0.00251424j 2.45357e-15-0.0365206j -9.42006e-16+0.0396652j -1.09854e-16-0.131921j -9.49681e-17+0.0431712j -3.83334e-16+0.0167402j 1.3451e-16-0.0620898j 7.82938e-16-0.108864j 5.95829e-17+0.0894096j 3.36499e-16+0.00552938j -7.04705e-16+0.0295226j 2.1506e-16-0.0377821j -1.43751e-17+0.0473427j 4.2187e-16-0.0733727j 5.92201e-16-0.0602111j 4.80463e-15+0.0200846j -2.32808e-14+0.0145302j 
-2.14909e-14+0.0516874j -3.91984e-15-0.104167j 6.99219e-16-0.0541173j 1.96401e-15-0.168337j -8.65335e-16+0.112588j -2.12978e-15+0.150105j 1.13221e-15+0.0409122j -6.00508e-16+0.160795j -3.68169e-16+0.228064j 3.0016e-16-0.0767039j 4.36606e-16-0.140928j -1.53762e-16+0.23939j 8.86346e-16-0.0859816j 4.72881e-16+0.0309251j -4.66684e-16+0.161462j 5.17215e-15-0.0745402j 1.67445e-15-0.122895j -7.55408e-15-0.0604603j -1.46869e-15-0.0759333j -1.74614e-15+0.265761j 3.35106e-15-0.0809166j 1.5378e-15-0.241775j -8.8991e-16+0.100385j -6.43207e-15-0.17648j -5.61978e-15+0.128968j 1.76893e-15-0.289429j 3.22684e-15+0.139716j -6.69404e-15-0.19981j 2.35043e-15+0.05793j -2.8992e-15+0.280689j -1.43329e-15-0.187938j -2.73639e-14+0.0939097j 1.9318e-16+0.025941j -5.00909e-15-0.0703798j 8.88893e-16+0.00321726j 1.75441e-15-0.0942247j 1.06821e-15-0.0975124j 5.89158e-14-0.208234j 1.74212e-14+0.0700274j -1.99708e-13+0.186j 4.85186e-16-0.0149277j 1.95447e-15-0.0594332j 1.24061e-15-0.0790062j 1.02436e-15+0.0578358j 2.21211e-16-0.00127664j -2.40553e-16+0.00279497j -7.7052e-16+0.0414504j -3.45456e-16+0.0436342j 8.86516e-17+0.0238988j -1.14314e-16-0.047876j -4.12714e-16+0.0144551j -3.34773e-15+0.0551889j -3.63309e-16+0.0830831j -1.21048e-15-0.0160906j -6.17522e-18+0.0283049j 6.88538e-16-0.0552362j 7.6895e-16-0.0820057j 7.92187e-16-0.086814j -1.28917e-15+0.046058j -2.02043e-15+0.0839418j 1.01443e-15-0.0528212j -1.34664e-16-0.00324114j 3.3985e-16-0.0113029j -6.70161e-16-0.0305962j -9.83738e-17+0.0183651j -5.7884e-16+0.0746088j -8.58256e-17+0.0371987j 7.5993e-16-0.0858073j 3.45011e-17+0.0390345j 2.96249e-16-0.027507j -7.48115e-16+0.0595745j -1.78891e-16-0.0283543j -2.55583e-16+0.0721783j -5.98982e-16+0.055937j 1.14308e-16-0.019531j -1.11946e-14-0.008783j 5.1729e-14-0.0242802j 
