-0.0395155+0.0166927j 0.0127543+0.0154845j -0.0216215-0.0136264j 0.0200989+0.0510445j -0.0119688+0.0732258j 0.0678685-0.00683089j -0.033738+0.023605j 0.0322893+0.0208809j 0.0481464+0.020263j 0.047255-0.0590381j -0.090834+0.0411928j -0.01108+0.0615472j -0.0484165+0.0683096j 0.0759953+0.0121631j -0.0420863+0.0554389j 0.0187322+0.016357j 0.0501185+0.0154189j -0.0197369+0.0637088j -0.0222317+0.0252715j 0.0171194+0.0379937j 0.0790745+0.00971791j -0.00133221-0.00212531j -0.0297473-0.0765437j 0.0401997-0.00968687j 0.032305+0.0120008j -0.0868831+0.0162904j -0.0156091+0.0115531j 0.00288031-0.0622817j -0.0325226+0.0113042j 0.0113589+0.000403434j -0.0182268+0.071718j -0.0479973-0.00392627j 0.0724172-0.0226032j 0.0209306-0.0258972j 0.0104664+0.0110775j 0.00552183+0.0234958j 0.171105-0.0397269j -0.059882-0.0267497j 0.0263349+0.0263226j -0.0269144+0.0373211j 0.0747287+0.0467633j 0.0189934-0.0226347j 0.0381366+0.0332653j -0.0246024+0.056213j 0.032998-0.0475671j 0.170155+0.0882143j -0.0059777-0.0362077j 0.0648136-0.041242j 0.0668096+0.000803582j 0.0773978-0.078164j -0.0601288-0.0335693j 0.0102067+0.00483053j 
0.0036149-0.0063956j 0.00355446-0.000845995j 0.0106904-0.0216484j 0.0574412+0.00409901j 0.0140707+0.000184j 0.00590747+0.0164497j -0.022071-0.0203317j -0.0138631+0.0179834j 0.0102584-0.00203917j -0.00742437+0.00851549j -0.010034+0.019922j -0.0133222-0.0106428j 0.002819+0.0160427j 0.0140261+0.0128897j -0.0429795+0.00632886j 0.00696596-0.00290379j -0.00707586+0.0157308j -0.00488559+0.0169993j 0.015263-0.000646591j 0.00100852-0.0231497j -0.0134331-0.0144739j -0.00124095+0.0183173j 0.00937358-0.00368346j -0.000410551+0.000201065j 0.00342204+0.0131047j 0.0136707-0.0247259j -0.0222224-0.00734735j -0.0426151+0.0361223j 0.0376795-0.0171716j -0.0289924-0.0315683j 0.00633632+0.00615035j 0.0317786+0.0420363j 0.00295074-0.0145513j -0.0102937-0.00789014j 0.00571411-0.00383007j 0.00588137+0.00461511j 0.0194255-0.0146377j -0.00254316+0.000201766j -0.0157315-0.000129754j -0.0130363+0.0188595j 0.00812789-0.0213288j 0.0171282-0.0205875j 0.0129253-0.00400153j 0.00467435+0.0345481j -0.0477285-0.0409414j -0.0539229+0.0245427j -0.00371773-0.0258185j -0.0107423+0.04449j 0.0649258+0.0119861j 0.00823796+0.0177343j -0.0639565+0.0322924j 0.0143104+0.0778891j 
4.4393e-05+0.00850498j 0.00766723-0.000491317j 0.0110875-0.0279599j 0.037503+0.00305886j 0.0506366+0.0034382j 0.00253141+0.0249608j -0.0113628-0.0226585j -0.0179878+0.00324089j 0.0118384+0.0115843j 0.00806461-0.0141737j -0.0164613+0.0161028j 0.0148307-0.0117988j 0.0172415+0.00918621j 0.0178399-0.00491236j -0.0123049-0.0135761j -0.0191184-0.0088199j 0.0126078+0.0270961j -0.00488327-0.00428481j -0.0082613+0.0141838j 0.0112486-0.0134008j -0.0308128+0.00437264j -0.0155298+0.0105513j 0.00325822-0.00165929j 0.0166313+0.0220792j 0.00168322-0.0185362j -0.00443017-0.0129814j -0.0211063+0.0198469j -0.0176247+0.0416442j 0.0484-0.0150747j 4.83442e-05-0.0200628j -0.00645555+0.0221535j 0.0514962+0.0411471j 0.0180449-0.0211908j -0.0147443-0.0252894j -0.047003+0.0141708j 0.00530222-0.00656505j 0.0292761+0.0087605j 0.0251548+0.0332412j -0.00856708+0.0293854j -0.021216+0.00449378j -0.0141213-0.0344388j 0.00135599-0.00780226j 0.000289721-0.00120788j -0.0372252+0.0484528j -0.0363062-0.0383297j -0.0249888+0.027681j 0.00193455-0.00150417j -0.00223034+0.0218578j 0.063154+0.007616j -0.0219412+0.0126383j -0.0617178+0.030903j 0.0187767+0.0833747j 
-0.00118254+0.0586469j 0.0216489-0.00271648j 0.0286968-0.0226577j 0.136013+0.00018541j 0.0639552+0.00429123j 0.0133086+0.0178516j -0.046319-0.0754032j -0.0728913+0.0508069j 0.059287+0.0328623j -0.0114831+0.00588749j -0.0186738+0.053955j -0.0257946-0.0629445j 0.0145067+0.0530598j 0.0346609+0.00326208j -0.0488192-0.00898507j -0.00411746+0.000689319j 0.00492549+0.00453205j -0.00752992+0.0086009j 0.0198777-0.00848887j 0.0234555-0.0315217j -0.0331868-0.0383604j -0.0178913+0.0485427j 0.0261153-0.0267814j -0.00425976+0.0437724j 0.0356893-0.0166751j 0.0136129-0.0613462j -0.104005-0.00425754j -0.0580576+0.126955j 0.137967-0.0339083j -0.00251926-0.00569692j 0.0261835+0.0279917j 0.157859+0.118969j -0.0196621-0.0499074j -0.0141451-0.0654884j 0.019819-0.0135649j -0.0162635-0.00473045j 0.0557897+0.00828285j 0.000261911-0.028181j -0.024811+0.0130221j -0.0583804+0.0388292j -0.0103679-0.0628844j 0.00962184+0.0318658j -0.0334445-0.0159866j -0.113707+0.147897j -0.104761-0.111106j -0.0822957+0.0877721j -0.00064115-0.000448678j -0.00778053+0.0537448j 0.185826+0.0230763j -0.0821806+0.0422334j -0.183002+0.0967149j 0.0567254+0.252247j 
-0.0071375-0.0127415j -0.00986428+0.00280717j 0.000302041+0.0103852j -0.0204724-0.0018235j -0.0205841+0.0050905j 0.000152503-0.0189869j -0.00936272+0.00807701j 0.0235239-0.0355384j 0.0234481-0.012176j 0.0218442+0.0239695j -0.00476997+0.0106623j 0.00619702+0.00204959j 0.00839531-0.0202691j -0.00218197-0.0170576j 0.0355592-0.0256315j 0.0179831-0.00704204j 0.0148765-0.0043953j -0.00314628+0.0118751j 0.0137882-0.0102075j 0.00967968+0.020027j -0.00366721+0.0246368j -0.0128942-0.00554107j -0.00823646+0.00400055j 0.0091213-0.00415583j -0.019809-0.00661658j -0.0204836+0.00978843j 0.00886838-0.0141719j 0.0188973-0.0262094j -0.0290685+0.0175892j -0.00184071-0.0142221j -0.0150964+0.00467911j -0.0248227-0.0214596j 0.00750369+0.0107919j -0.00259257+0.0303882j 0.020297-0.00508989j 0.00576056+0.00772079j 0.0109459+0.00398278j 0.00135878-0.00221646j -0.0167514-0.0261189j 0.0138197+0.00261976j -0.00357337+0.00560771j -0.00527081-0.0270339j 0.00468468+0.0102803j 0.0199403-0.0302812j 0.0226446+0.0318209j 0.0161343-0.0183955j -0.000766509-0.00701973j -0.00160381-0.0116662j -0.0338892-0.00222721j 0.0122272-0.0101931j 0.0356616-0.017019j -0.0106023-0.0461755j 
-0.00491834+0.00163527j -0.00730439-0.0089333j 0.00628282-0.00165195j 0.00356022+0.00126628j 0.00082887+0.000751275j 0.00907402-0.00982529j -0.0180258-0.00344122j -0.0055298+0.00163485j 0.00244424+0.00357245j -0.0114534-0.0261176j -0.00441773-0.00910539j 0.00849266-0.00333302j -0.00171032-0.0117049j -0.00796604-0.00727886j 0.00790353+0.01119j -0.00669749-0.00666991j -0.00702129+0.0071142j -0.0148038-0.0111653j -0.0167448-0.010097j 0.00570515-0.00788457j 0.000754245-0.00183776j -0.00736144+0.0041075j -0.0031906-0.000155933j -0.00821378-0.0146141j -0.00430781-0.000932137j 0.0151274-0.024032j -0.00995873+0.00869475j 0.0141443+0.0177555j -0.00234366+0.0318418j -0.0130885+0.00645227j 0.0066124+0.0195543j 0.0166438+0.00725913j -0.00541655+0.0078381j 0.00425195+0.00320747j 0.00196101-0.00459035j -0.00284866+0.000530951j 0.0471433-0.0054336j 0.00466519+0.000545477j -0.00306434-0.0124117j 0.0117958-0.0171396j 0.00977573-0.0115423j 0.00334981-0.00448122j -0.0125381+0.00730949j -0.00570992-0.00302338j -0.00108953+0.0342223j -0.0315239-0.0147118j 0.000815919-0.00343502j -0.0189231+0.00363285j 0.0112074-0.000234244j -0.0159624-0.000688957j 0.00197428+0.0149945j 0.00188696+0.0136622j 
0.0016914-0.0022074j -0.00371881-0.00437773j 0.00125174+0.00503826j -0.00227131-0.000643579j -0.00230612-0.00470574j 0.000220957-0.000110438j 0.00442777-0.00147554j -0.002759+0.00612963j -0.00611856+0.000391694j 0.000839713+0.00356863j 0.00640555-0.00236544j 0.00546589-0.00385419j 0.0046129-0.00370465j -0.00595936-0.00399704j -0.000175937-0.00594785j -0.0056835-0.00336861j -0.0107232-0.00115878j 0.0015153-0.00546138j -0.00223969+1.38881e-05j -0.00271595-0.00943079j 0.000680572-0.00481833j -0.00352208-0.0095426j -0.00290803+0.00752894j -0.00258743-0.00130431j 0.00621506-0.00519992j 0.00756695+0.00742379j 0.00484324-0.00597016j 0.00652113+0.00213803j 0.00510202-0.0111697j -0.0033378-0.0104156j -0.00233969-0.00934639j 0.0134377-0.00144929j 0.00111424-0.00700893j -0.00517814-0.00561218j 0.00722823-0.00230571j 0.00541519-0.0048209j -0.0237095+0.00339454j 0.00783461+0.00146108j -0.00216345-0.00680784j 0.00300675-0.00701367j 0.0035241-0.00823622j -0.00101166+0.00312159j -0.00357196-0.00580373j 0.00625246-0.010067j -0.00600211+0.0150097j -0.0286393-0.00383723j -0.00470489-0.00335099j -0.0202209+0.000336524j -0.0131607-0.00115738j -0.0223437+0.0117714j 0.00932884+0.00975411j -0.00410873+0.00318399j 
0.0023916+0.0127213j 0.0106524-0.00516344j 0.00250824-0.00430744j 0.0235862+0.00364746j 0.0199829+0.00374677j 0.00484932-0.00185042j -0.00373424-0.0017754j -0.0172641+0.00325133j 0.00870826+0.00798769j 0.000631338+0.00354664j -0.000465666+0.0168423j 0.00108577-0.0118967j 0.0123223+0.00775896j 0.00684323-0.00215857j -0.0130204-0.00244529j 0.0026463-0.0031599j -0.000458749-0.00478242j 0.00776302+0.00500617j 0.00324444-0.00394297j 0.0146685-0.0143878j 0.00732002-0.00649093j -0.000188366+0.00615461j -0.00994123-0.0139523j 0.00918621+0.00193584j 0.00452122+0.000243158j -0.00931955-0.0182115j -0.00486561+0.00626248j -0.0122186+0.0184781j 0.0260933-0.00125117j -0.00182123-0.00400873j 0.000631679-0.0171768j 0.0185567+0.0201568j 0.00389569-0.0101463j 0.00306301-0.0251484j 0.00227428+0.00675018j 0.00175488+0.00112242j 0.020392+0.0156951j -0.00941255+0.000281215j -0.00118053+0.0184111j -0.00988105+0.0293043j 0.00102702+0.0122393j -0.00996508-0.00327169j 0.0164671-0.00240043j -0.00720566+0.0113575j 0.00195391-0.022993j 0.00936828+0.0240276j 0.00132836-0.00698124j 0.00166179-0.00122588j 0.0151321+0.0279045j -0.0194351+0.00255635j -0.0128041+0.0287713j 0.00440152+0.0108305j 
0.00028118-0.000477033j -0.00174536+0.00260102j -0.00114631-0.0044045j -0.00613211-0.00112247j 0.000292299+0.00161677j -0.00450052-0.00199037j -0.000561358+0.00107424j 0.00757971+0.00438432j 0.00350172-0.00638482j 0.00368811+0.000156007j -0.01159-0.00205225j -0.00244032+0.00778262j -0.011492+0.00350519j -0.00251925+0.00846764j -4.5043e-05+0.00441879j 7.11937e-05+0.00908556j 0.012752+0.00417774j -0.00138198+0.00286186j -0.00640644-0.00130401j 0.00162745+0.00828921j 0.0011098+0.0134941j 0.00951317-0.000438086j 0.00252118-0.011698j 0.00412809-0.00595032j -0.00611197+0.0103546j 0.00200221+0.00228849j 0.004803+0.00361208j 0.00317765-0.00452514j -0.0108828-0.000992817j 0.00387572+0.0149642j -0.000646793+0.0111505j -0.0142828+9.09843e-05j 0.0155011+0.00900917j 0.00967271+0.00104635j 0.000599372+0.00605606j -0.00578395+0.00863457j 0.0107726-0.00550768j -0.0091384-0.000874312j -0.00204429-0.000619823j -0.00440028+0.0104897j 0.011101+0.00308628j -0.00391392-0.0109633j -0.00773647+0.00484495j -0.00802355+0.00442675j -0.00480827+0.00246278j 0.0104882+0.00159319j 0.00637414+0.000819944j 0.00547665+0.00183036j -0.00136917-0.00202756j 0.00647343-0.00292863j -0.000752449-0.0108293j 0.000429194+0.00892909j 
0.00299603-0.000458697j -0.00475465-0.00561849j -0.00350595+0.00212697j -0.00287788+0.00318254j 0.00794926+0.00529675j 0.005122-0.010342j 0.000233791+0.00397795j -0.00114121+0.000582553j -2.79826e-05+0.00442838j -0.00289617+0.010871j -0.000820748+0.00967874j 0.00651884+0.00417485j -0.000234329+0.0010687j -0.00258181-0.00584322j -0.000131721+0.00267495j -0.00798772+0.00366607j 0.000612936-0.00544875j 0.00733147+0.00603659j -0.00276519-0.00686576j 0.00499346-0.00399857j -0.00299279-0.00128675j 0.0065693+0.00665752j -0.00873619-0.00559077j -0.000666965-0.000894245j -0.012615+0.00392604j 0.00149409+0.000743003j 0.000369621+0.00785429j -0.00143527+0.00272832j 0.0110565-0.00616588j -0.00456308-0.00064262j 0.00432983-0.00904375j 0.00343632+0.00475314j 0.0107785+0.0111607j 0.0151116-0.00409109j -0.00258548+0.0122575j -0.00190268+0.00173066j 0.00740297-0.00599927j -0.0109513+0.00409561j 0.00331488+0.00151498j -0.00766368+0.0120543j 0.0103109+0.0217638j -0.000788928-0.0112139j 0.00167719-0.00256497j -0.0144882-0.00331249j -0.00934232-0.00200492j 0.0044382+0.00523428j 0.00136268-0.00643163j -0.00311066+0.00609002j -0.00748378+0.00134482j -0.0081671+0.000745848j -0.0071298+0.00632097j -0.00169849+0.0196268j 
0.00213704-0.00570567j -0.00876348-0.0046247j -0.0121577+0.0086858j -0.0270184+0.00497734j -0.0115433+0.000634946j 0.00149849-0.00143822j 0.00615914+0.0086488j 0.0180834+0.00260192j -0.0145619-0.00685013j 0.00114598-0.00774763j 0.00370276-0.00605863j 0.00392323+0.0197911j -0.00425133-0.00674442j -0.000148493-0.0118815j 0.00365032-0.00242484j -0.00150214-0.00628499j 0.000242444-0.0112098j -0.00256173-0.000703824j 0.000355301+0.00481584j -0.00466152+0.00486355j 0.0079378+0.00254354j -0.00555309-0.0181708j -0.00853658+0.00488104j -0.00325944-0.00896574j -0.00800494+0.000272633j 0.00112558+0.0154323j 0.0100661-0.00802881j 0.0185015-0.0149564j -0.0105555-0.0138019j 0.00166735-0.000501485j 0.00663405-0.0104249j -0.00285879-0.00404092j 0.00733723+0.0062158j 0.00691352+0.00895704j -0.000540108+0.00204952j 0.0058787+0.00555019j -0.00848779-0.00780637j -0.00228123-0.00112553j 0.00421218-0.00363525j 0.00392677-0.00567411j 0.00870106+0.00345708j -0.00142039-0.00772876j -0.00599751+0.0142965j -0.00809793-0.0224438j -0.0204071+0.0183264j 0.00933524+0.00278577j 0.00300645-0.00189126j -0.0118967-0.00532554j -0.0196228-0.0146693j -0.0108041+0.0120456j -0.00543925-0.0181068j -0.00503447+0.0328053j 
0.00759645-0.000131847j 0.0032758-0.00284425j -0.00330592+0.00744777j 0.00393489+0.00418933j 0.00236367+0.00247735j -0.00198498+0.00812226j -0.00142746+0.000552917j -0.00758932+0.000952499j -0.00102721+0.00672884j -0.00884397-0.00998157j 0.0099891-0.00457314j -0.0025283+0.00133767j 0.00257263-0.00435263j -0.00333856-0.00436085j -0.00693921-0.00136699j 0.00930471-0.00931691j 0.00754522-0.00460649j -0.00067404-0.00335101j 0.0047757+0.00938116j 0.000933948-4.84222e-05j 0.00267582-0.00432467j -0.00874727-0.00921601j 0.00442129-0.00357467j 0.00563661-0.0127644j -0.00319101+0.00342508j -0.00550633+0.00502129j 0.00197612-0.00609482j -0.00131955-0.00425383j 0.00139441-0.00276027j -0.00215065+0.0172359j 0.000845008-0.0200719j 0.0107056+0.00703675j -0.0058268+0.00751321j 0.000317833+0.00721482j 0.00495616-0.00751897j -0.000329886+0.013391j -0.00628508+0.00362053j 0.00704338+0.00380208j 0.00554524+0.0106418j -0.00507978+0.00341397j 0.00258323-0.0185783j -0.000626876-0.0115823j 0.00561436-0.0025494j 0.0073808-0.00216937j 0.00597161-0.000393356j 0.00550419-9.79739e-05j 0.0172868+0.00225325j -0.0110957-0.00192842j 0.00519684+0.000887957j 0.0006328-0.000555151j 0.00118679+0.0026084j -0.000544615-0.0054017j 
-0.00661773+0.00268836j -0.000701883-0.00671089j -0.0138443+0.00426946j 0.00163343+0.0105691j -0.00899936+0.0130946j 0.023334-0.00281384j -0.000525049+0.00142184j 0.00350604+0.000410778j -0.000636946+0.0102449j -0.00761189-0.00370358j 0.00687682+0.0140076j 0.0104003+0.00698172j 0.00811544-0.00408772j 0.0147644-0.0138008j 0.0054974-0.00459721j 0.00278143+0.000782929j -0.0202194-0.0100326j 0.00222912-0.00415607j 0.00202039+0.00194927j -0.00548489-0.0134232j 0.0052107-0.0175999j -0.00689381-0.00651776j -0.00584417+0.000397046j -0.00123227+0.0208815j 9.45872e-05-0.00287627j -0.00181848-0.00101212j 0.00200984-0.000320075j -0.00232206-0.0014466j 0.00407255-0.00125671j -0.00429718-0.0111442j 0.00555789+0.00530319j 0.000641129-0.00461804j 0.0012479-0.00546887j -0.00970689-0.00164335j 0.00424814-0.00403753j 0.0189361-0.00614007j 0.00568637-0.000621797j 0.00475305+0.0031345j -0.00144164-0.00296331j 0.00053623-0.000864347j -0.00104154+0.00409219j 0.00623621+0.00378145j 0.00341792+0.00246308j 0.000856678-0.000692452j -0.000985132-0.00181864j -0.000100352+0.00295275j -0.00914483+0.000539722j 0.00659738-0.00101778j -0.00264128-0.000419399j -0.000899824-0.000380747j -0.00345359-0.00174524j -2.36209e-05+0.00386229j 
-0.0030161-0.00473431j -0.00554026+0.00834233j 0.00296355-0.00293511j -0.00757956-0.00953693j 0.000398968-0.0015387j -0.0106338-0.00736381j 0.00209155+0.000794999j -0.00292696-0.0104936j -0.00455705-0.00626024j 0.00710072+0.013467j 0.000639211-6.04044e-05j -0.000557613-0.00273799j 0.00336163+0.00284216j 0.00145272-0.00339001j -0.00361272+0.00379115j -0.00101904-0.00364794j -0.00850431-0.00821861j -0.00141029+0.00575163j -0.00439914-0.00508168j -0.000369657+0.00795667j -0.00870899+0.00509759j 0.00212002+0.00275309j -0.00383727+0.00735851j -0.00900263-0.00444804j -0.00628937-0.00313677j 0.00108403+0.00656176j 0.00562939-0.0053318j 0.00140567-0.00234798j 0.0124633-0.0128923j 0.00646776-0.0171551j 0.00818527-0.00426725j 0.00383161+0.00201442j -0.00754105-0.00591298j 0.00250655-0.0109265j 0.000662529-0.00625543j -0.00458902-0.0134551j -0.00244789-0.00536212j 0.0069929+0.00622391j 0.00760641+0.000473477j 0.00412981-0.00678589j -0.00564318+0.021531j -0.0017217+0.00868676j 0.00182594-0.00169588j -0.00735852-0.00435679j -0.0137735+6.59009e-05j -0.00509804+0.00506931j -0.0127658-0.00336894j 0.00160894+0.00444606j -0.00906832-0.00347092j -0.0119747+0.00507424j -0.00959255+0.00111398j -0.00123294+0.0224592j 
-0.0037618+0.000827537j 0.00303382-0.00170665j 0.00298501-0.000493663j -0.000660944+7.02909e-05j 0.00261426-0.0104417j -0.00138333-0.00364131j -0.000872976-0.00359919j 0.00365944+0.0057227j -0.00615961-0.00936545j 0.0040273+0.0014292j 0.00549093-0.00515162j 0.00102892-0.00298582j -0.00578638-0.000556219j 0.00453045+0.00629609j 0.00859667-0.00301789j -0.00338179-0.000384094j -0.00722677+0.000590857j -0.00663947-0.00494029j 0.010142+0.00254542j 0.00276382-0.00356644j 0.00138926-0.0109678j -0.00295069-0.0050196j -0.00111329+0.00822504j 0.00711298+0.00232214j 0.0148167-0.0101552j -0.000728381-0.000775904j -0.010567-0.000565213j 0.00291201-0.00411775j -0.00595704+0.000792528j -0.00446491-0.00827228j -0.00773482+0.00641315j 0.00550332+0.000460676j 0.00324035-0.00591684j -0.00236078-0.00137897j -0.0108483+0.013656j 0.00396784-0.0118249j -0.0137348-0.00189339j -0.0134307-0.00838977j -0.00776327-0.00546113j 0.00246275+0.00287067j 0.00472725+0.0101003j -0.00663178+0.00596963j 0.0010083+0.000727575j 0.00446502-0.00254626j 0.00393623+0.00315183j -0.012136-0.00414327j -0.00687948+0.00107338j 0.000177326-0.00152516j -0.00285971+0.00198603j -0.00568267+0.000483215j 0.00769868+0.00328899j -0.000439197-0.0124313j 
-0.00397219+9.31782e-05j 0.00196741+0.00264081j -0.0022914+0.000445579j 0.00296916-0.00644117j 0.00510632-0.00253046j -0.00476578+0.0032467j -0.00328962-0.00206206j -0.00516059-0.00290364j -0.00440782-0.00531496j -0.00202385+0.00530155j 0.00154636-0.0151979j 0.000991411+0.00694301j -0.00276485+0.0044586j 0.00247129-0.00686158j -0.00179838-0.00286381j 0.00350999-0.00993489j -0.0173113+9.5726e-05j -0.010486-0.00260658j 0.00228819+0.0137894j 0.00058921-0.00127942j -0.00364242+0.00727804j -0.0043999-0.0140574j 0.00389756-0.00794775j 0.00515133-0.0156587j -0.000864844-0.00440904j 0.00187985+0.0119648j 0.00172897-0.0136289j -0.00188581-0.0106388j -0.0105411-0.0016784j 0.00370332+0.00540707j 0.00281366+0.0194456j 0.0086035-0.00562888j 0.00249683+0.00515603j 0.0025522-0.00505986j 0.00325106-0.0128303j -0.0108295-0.00390196j -0.00541029-0.00303861j 0.00623096+0.00658339j 0.00645194-0.00449134j -0.00592022+0.0110821j -0.00329037+0.00715371j -0.00512967+0.00610622j 0.00633556-0.00477042j 0.00108875+0.000611912j 0.00265769+0.00264973j -0.00208852+0.00013946j -0.00532647-0.0032376j 0.00938018-0.00213042j -0.00297919-0.00296181j -0.0022434-0.00156269j 0.0014061-0.00431526j 2.81474e-05-0.00230735j 
0.00574714-0.00138964j 0.00193869+0.00190217j -0.000549235+0.00135727j 0.00624244+0.000886821j 0.00410542+0.00670951j -4.75607e-05+0.00278086j 0.00102989+0.002286j -0.0155457-0.00554622j 0.00513818+0.00918424j -0.00325905+0.00233845j 0.000218058+0.00424697j -0.00114664-0.00297761j 0.011852-0.00207864j -0.00307232-0.00795028j -0.00993041+0.00618713j 0.00489478-0.00814913j 0.00397902-0.00413582j 0.00613149+0.00295019j -0.00289369+0.00292061j -0.00228101+0.00226279j 7.70511e-05+0.00376525j -0.00425745+0.00272238j -0.00266569-0.00271322j -0.00792655-0.0032533j -0.0075715+0.00671578j -0.000792311+0.00250627j 0.00177494-0.00489011j -0.00503776+0.00673075j 0.015573-0.00136648j -0.00023457+0.0020794j 0.00453949-0.0195128j 0.00827437+0.00243311j -0.00803711+0.00339892j -0.000522095+0.00189297j 0.000709667-0.0126825j 0.00189812+0.00951015j 0.0013539+0.00284051j 0.0157525+0.00391498j 0.00809432+0.00376075j -0.00153039-0.00392711j -0.00496449-0.00931632j 0.00538698-0.00140931j -0.00126056-0.00979275j 0.00119129+0.00278049j 0.00553331-0.00236476j -0.000366324+0.000531998j 0.00530381-0.00218047j -0.00742317-0.0013219j 0.000851494+0.0035882j -0.00530755+0.000111052j 0.000827508+0.00842052j -0.000238178-0.00190244j 
-0.00861917+0.000338564j -0.00209278+0.00280218j 0.00129232-0.00416059j 0.00288251-0.0118289j -0.00363089+0.00329921j 0.0030767+0.00211829j 0.00152927-0.0125185j -0.000622768-0.00588061j 0.00270765+0.000680412j -0.00197734+0.00587057j -0.00251721+0.0165532j 0.00167093+0.00068364j -0.00442065+0.00353507j -0.00198591+0.00117679j 0.00636192-0.000384962j -0.00290682+0.00706704j -0.0230054-0.00263865j -0.00869556-0.00350714j -0.0101351-0.00180356j 0.00248345-0.0120062j 0.00177635-0.00298996j 0.00412836-0.00171536j 0.000911863-0.000278786j 0.00347767+0.0123286j 0.00140858-0.00534888j 0.00446339+0.00535913j 0.0158554-0.0114879j 0.00570927-0.00320171j -0.0131323-0.00297919j -0.00330383-0.00448482j 0.0038698+0.0306697j 0.000205094-0.00329734j 0.0094681+0.00703909j -0.00406714-0.0113634j 0.0103593-0.0209892j 0.00388901-0.00882845j 0.00444144+0.000155648j 0.0135496+0.0124252j 0.00703823-0.0042196j -0.0145969+0.00884745j -0.00680304+0.0156285j 0.00304178+0.0102432j 0.00675797-0.00934727j -0.00295363+0.00225221j 0.00138461+0.00479351j -0.0074496+0.00092868j -0.0154188-0.0016541j 0.0120279-0.000729687j -0.00565508+0.0015493j -0.0046424-0.00292243j 0.00543774+0.000950681j 0.000305196-0.00575723j 
0.0025236+0.00878314j 0.000106656+0.00633498j 0.00728809-0.00478973j -0.000963175-0.0023999j -0.00189101+0.00932784j 0.00139101-0.00222364j 0.000887458+0.00341315j -0.00445644-0.00324122j 0.0136875+0.00124996j 0.000900222-0.000200438j -0.0073874+0.00652239j -0.00625234-0.00883833j 0.00727858-0.00122354j -0.00688284-0.00138769j -0.00899165+0.00529706j 0.00426165+0.00277846j 0.00906046+0.00596782j 0.00759787+0.00211783j -0.0128681-0.00168654j -0.00623482+0.011068j 0.00278383+0.0171999j 0.00478383+0.00493703j -0.00295268-0.00530597j -0.0076923+0.00955453j -0.0023309+0.00530224j -0.000190724-0.00455516j 0.00785228-0.00493377j -0.00362727+0.0106656j 0.00771032-0.00451687j 0.00664689-0.0019039j 0.00378664-0.00117384j -0.0131579-0.000914062j -0.00229691-0.00820216j -0.00682999-0.00673162j 0.00783032-0.0140353j -0.000973188+0.00129026j 0.01256+0.00337467j 0.0138842-0.00280963j -0.00053783+0.00494099j 0.00274365-0.00657048j -0.00744468-0.0151678j 0.00336859+0.00478653j -0.00651965+0.00628312j 0.00341307+0.00236625j -0.00944269-0.00218288j -0.00223776+0.00440436j -0.00121711+0.00559656j -0.00157684+0.00574293j 0.00299164+0.00082414j 0.00241098+0.00462989j -0.00768536-0.00184489j 0.00063757+0.0169772j 
-0.000858732-0.00473829j 0.00197463-0.00984208j -0.0262022+0.000891783j 0.00505511+0.0138348j 0.00963018+0.0163053j 0.0113524+0.00370508j -0.00300065-0.00133517j -0.00187692+0.000909724j 0.00042456+0.00361723j -0.0032071+0.0138366j -0.00635161-0.00978069j 0.00365553+0.0171438j -0.00294338+0.00633098j 0.00595409+7.21569e-05j -0.0045228-0.00453656j -0.00614898+0.00521634j -0.012548+0.00571693j 0.00453942+3.92853e-05j -0.00959268+0.00498604j 0.00411333-0.00889587j 0.00252751+0.00383913j 0.0118347-8.53495e-05j 0.00084905-0.0204735j 0.00737566-0.00755321j -0.0109582+0.00846248j 0.00100046+0.00639721j -0.0026175-0.00485202j -0.00018422+0.00198827j -0.000459004-0.000203067j 0.00597928+0.00261776j -0.00166572-0.00203625j 0.00227535+0.000769042j -0.00481275+0.00270347j 0.00968429-0.000994695j -5.62784e-05-0.0022041j -0.0170034-0.00105653j 0.00172059+0.000661513j 0.00185633+0.00239081j 0.0042643-0.00210899j -0.00332341+0.00350043j -0.00226824+0.00464454j -0.00367427+0.00106679j -0.00277082-0.000949934j 3.48604e-05+0.000127368j -0.000318365+0.00124731j -0.00258014-0.000383366j -6.20936e-05-0.00312617j -0.000680965+0.00283157j -0.00121945+0.0010029j -0.000619357-0.000284973j -0.000109627+0.00176929j -0.000222187+0.00101207j 
