0.000758773-0.0203067j -0.0509374-0.0324575j -0.0749338-0.106733j 0.0287009-0.0570733j 0.0252847+0.0274206j -0.0705526-0.0688498j 0.0749835-0.040159j -0.0715337-0.0906954j -0.0744711-0.108295j 0.0424796+0.0577299j -0.0599151-0.108801j 0.0170708-0.00495343j -0.141059-0.0104292j -0.0549053+0.0533214j 0.0745509+0.0694513j -0.143628+0.00624914j 0.0946994+0.017583j 0.0778363+0.00214834j 0.030397-0.00696285j -0.07583+0.0213674j -0.0805634-0.0405939j -0.00269251-0.138169j -0.0141158+0.0195047j -0.00973722+0.0712467j 0.0530496-0.040838j 0.0448499-0.015608j 0.0462862+0.0242082j -0.0248408-0.109251j 0.0274535+0.00558013j 0.00734251+0.0246478j -0.0391308-0.0279652j 0.0266725-0.0168484j -0.0148297+0.056492j 0.106939-0.0058538j 0.0658034-0.00482105j 0.184194-0.160743j 0.0234145-0.0072176j -0.000564598-0.0239353j 0.0796483-0.0164868j -0.0493488+0.0174521j 0.0167653+0.029541j -0.0512806-0.00692793j -0.056863-0.00130503j -0.00980442-0.0818742j 0.0785139-0.0485224j 0.0504562-0.12752j 0.0466852-0.00241709j 0.13041+0.0236197j 0.00606633-0.041302j -0.0482409+0.0215176j 0.0357912+0.0427923j -0.0608769+0.0656094j 0.0464684+0.0219773j 0.00544504+0.153421j 0.0217149+0.0335758j 0.074853-0.176921j 0.00730653+0.135064j -0.0790335-0.0899494j 0.0255242-0.0741055j -0.0738078+0.0273871j -0.0533158-0.0515519j -0.0772548-0.08263j 0.0134753-0.10155j -0.103005-0.0366808j 0.0913418-0.00966751j -0.137761-0.0189726j 0.0638811-0.00931636j 0.00354973-0.0155357j 0.00064452+0.0416897j -0.035262-0.00393899j 0.0285543+0.0303754j 0.06814+0.048912j -0.0116572+0.0162528j -0.000266885-0.0344356j 0.0277106-0.0281926j -0.00150181-0.127522j 0.00857058+0.0281807j -0.130658+0.172004j -0.136176-0.0775374j -0.0559542+0.025529j 0.0395718-0.0863447j 0.0462067-0.0379849j 0.0094241-0.0352154j 0.0417023+0.0320281j 0.00268965+0.0322499j -0.00388472+0.00953432j -0.00763476-0.00297593j 0.0212002+0.0277581j 0.0298394-0.0214582j 0.0358108-0.0266381j -0.0211086-0.0287568j 0.0100477+0.00165513j 
-0.0145749+0.00257792j -0.00828032-0.00713967j 0.00452994-0.000834297j -0.000708495-0.00156355j 2.8182e-05-0.00329344j -0.00833744-0.00267503j 0.00190083-0.00891911j -0.00297825-0.00199693j -0.00397271-0.00265277j -0.000225213-0.00752868j -0.00109439+0.0059559j 0.00163506+0.000218412j -0.0031945-0.00224286j 0.00704836+0.00635415j -0.00194602-8.05035e-05j -0.000506635-0.0018605j 0.00237491-0.000124726j 0.00293274-0.00290821j 0.00206314+0.00179404j 0.00713607-0.00622534j -0.000954922+0.00380354j 0.00148749-0.0123315j -0.00477816+0.00144221j -0.00258967-0.00512021j 0.00906288+0.00310327j -0.000145112-0.00290676j 0.00020622-0.0169638j 0.00205981-0.00369958j -0.0127075-0.00384091j 0.00916732-0.00158127j 0.000186608-0.00261432j -0.0144964-0.00492782j 0.0111762+0.000523883j 0.00648854-0.00106743j -0.00214607-0.00213676j 0.00117268-0.00092112j 0.00500962+0.00695806j -0.00266679+0.00352088j -0.00311027+0.000434386j -0.0135279-0.00343336j -0.00674573-0.00109969j -0.00449643+0.00800626j 0.00663151-0.00143827j 0.00448282+5.9776e-05j 0.0040201-0.0025614j -0.00797729+0.000602139j 0.0146896+0.0112061j -0.0149767+0.00481342j -0.00821518+0.00751407j 0.00280141-0.00785665j 0.00172477+0.00132798j 0.00228082+0.00522564j -0.0058056-6.38904e-06j -0.00154593+0.00230725j -0.00464873+0.000705134j -0.00124474+0.00767858j 0.0048284+0.00423237j 0.00355605-0.00299757j 0.000442226-0.0117462j 0.000345185+0.00136469j 0.00249231-0.000783135j 0.00637355+0.0116659j -0.00125512-0.0314556j -0.000947362-0.00543996j 0.00503312+0.00641155j -0.0129497+0.00645034j -0.00678466-0.000818713j 0.0044911+0.0171566j 0.00063799+0.0179621j 0.00850256+0.00336643j -0.0020426-0.00282723j 0.0019442-0.0133944j -0.0124751+0.0196497j -0.000863075+0.00197203j -0.00276036-0.0146013j 0.00910576+0.00843644j 0.00343702+0.00415158j 0.00163634-0.0106107j 0.00898537-0.0102407j 0.00814442+0.00217459j -0.00734679-0.00937589j -0.00206553+0.00205388j 0.0117743+0.00211765j -0.0112107-0.000573228j 0.0175279+0.00353625j 0.00682941-0.0060378j 0.0143848-0.000535678j 0.011519+0.00495213j -0.0075315-0.00208606j 0.00938891-0.00423903j -0.000131308+3.31672e-05j -0.00123157+0.00637102j 
0.0123388-0.00121799j -0.000713758+0.00306337j 0.0139001-0.00289761j 0.0170303+0.000108892j 0.00393435+0.00194614j 0.00491196-0.00759555j 0.00181445-0.00878288j 0.00245742-0.00116869j 0.00143347+0.000859791j -0.00334266+0.0076414j -0.00211057-0.0162263j -0.00665189+0.00583079j -0.000528229-0.0133123j 0.00384431+0.000341816j -0.0121146+0.00136729j 0.00982244+0.00407004j -0.00974566+0.0088994j 0.000415623-0.00475055j -0.00798548+0.00266841j -0.00302501+0.00651894j -0.00183173-0.00830025j 0.000432018+0.00510807j -0.000629496-0.00672227j -0.000362717-0.00611343j 0.0132054-0.000252794j -0.0118485-0.00389106j 0.000550943-0.00955672j 0.00013825-0.000844298j -0.00407191-0.00915448j -0.00350231-0.00214692j 0.00181704-0.00664726j -0.00884833+0.000665812j -0.00312086+0.000646939j 0.00504603-0.00236249j -0.00474422+0.00109509j 0.00503405-0.00257471j 3.97949e-05-0.00329552j -0.00262067-0.00580972j -0.0130077-0.000132778j -0.0155918-0.00237975j -0.00376463+0.000343417j -0.0043395-0.00619674j -0.00602539+0.00305323j -0.000891306+0.00173119j 0.000539562+0.00292066j 0.00508735+0.000571659j 0.00729623+0.00679736j -0.00254408+0.000465354j -0.00424563-0.00181858j 0.000862497-0.000811509j 0.00278536+0.00193465j 0.00394964-0.00141235j 0.000544999+0.00775278j 0.00991715+0.0011003j -0.00175828+0.00738775j -0.00224663+0.00446028j -0.00363206+0.000734562j 0.00259039+0.000635481j -0.00367731+0.00178519j -0.00157842-0.00328375j 0.000701741-0.000101327j 0.00171479+0.00998144j 0.00610936-0.0161044j -0.000605538+0.00113816j -0.00156371+0.0123152j -0.000987183+0.00482639j 0.00306551+0.00277956j -3.58822e-06+0.00397751j 0.000995253+0.011561j 0.00088866+0.00871134j 0.00234077-0.0058009j -0.00554981-0.00604024j 0.000178141+0.00824634j -0.00129768-0.00611211j -0.00048265-0.00970222j 0.000173771+0.00678555j 0.000378213+0.00530113j -0.000302855-0.00658303j 0.00390374-0.0103765j -0.0017994+0.00337686j 0.00208746-0.00388826j 0.000907193+0.00174589j 0.0036183+0.00145825j 0.000797073+0.00381662j 0.00746495-0.00343632j -0.00748728+0.00652485j 0.00983638+0.00643873j 0.00962665-0.0045056j -0.00407996+0.00313917j -0.00648326-0.00270279j 0.00199228+0.001871j -0.0029181+0.00121133j 
0.00618372-0.000799461j 0.00476016+0.000489044j -0.00318643+0.00295475j -0.000942832-0.0015965j 0.00121005+0.000661939j 0.000154923-0.0037694j -0.00112447-0.00969927j -0.00234149+0.00552273j 0.00681375-0.00271178j 0.00188565-0.00729318j 0.000279953+0.00205555j 0.00229359-0.00721001j 0.00405611-0.00311798j -0.00185749-0.00250831j 0.00271351-0.00250227j -0.00332799+0.00189784j 0.00130834-0.000791567j -0.00127266+0.00108921j -0.00024079+0.00285257j 0.000736013+0.000713914j 0.0018101+0.00144384j -0.000540617-0.00232583j -0.000216504-0.00379731j -0.00704504+0.000253316j -0.00648736-0.00287549j 0.00345562+0.00332048j 0.00305277+0.000878833j -0.00713944+0.00123455j -0.00531549-0.00394491j 0.00703938-0.00156582j -3.88533e-05-0.00377744j -0.000524307-0.000755499j 0.00119131-0.00200632j 0.001224+0.000986566j 0.0023941+0.00220176j -0.002833-0.00419724j -0.00640447-2.67304e-06j -0.00198558-0.00169271j 0.0032604+0.00217542j -0.00808347-0.00317115j -0.0068819-0.0034047j 0.00336936+0.0032529j 0.00681988+0.00379359j -0.00122502+0.000170426j 4.14239e-05-0.00204009j -0.00361478+0.00187972j 0.00106642+0.00234328j -0.00273088-0.00213303j 0.00090051-0.000724695j -0.00251527+0.00187655j 0.00101532+0.00430773j -0.000176304-0.0013349j -0.00296773+0.00175918j 0.00156356-0.00112298j -0.000871082+0.000185736j 0.00413124+0.00786448j 0.00330804-0.00128072j 0.0029519-0.00173269j -0.00282239-0.0050677j -0.00283938-0.000347054j -0.00123733+0.006857j -8.06145e-05-0.00224921j -0.00481684+0.00261588j 0.00212002-0.00536069j -0.00246019+0.00189318j 0.0018021-0.00113408j -0.00416029-0.00166146j -0.00838234+0.00524556j 4.15677e-05+0.00802348j -0.000610795+0.0104915j 0.0013679+0.000702441j 0.00528095-7.86218e-05j -0.000441686+0.00500676j 0.0030572-0.00400814j -0.00340735-0.00768146j 0.00579491-0.00601082j 0.00190388+0.00437149j -0.00162455-0.00411158j -0.00293135+0.000957409j -0.00145109+0.000756134j -0.00462811+0.00370573j -0.00498067+0.00338124j -0.00639075-0.00302252j -0.00422174-0.00115207j 0.00126232-0.000816503j 0.00462706+0.000333663j -0.0167366+0.00411848j 0.00607905+0.00021902j 0.00331449+0.00124934j 0.00471273-0.00111712j -0.00239042-0.00246632j 0.00248895+0.00107569j 
-0.00889628+0.00144197j -0.00441152-0.00278541j 0.00241233-0.00276019j -0.00103231-0.00215914j 0.00268711+0.00142253j -0.00478099+0.00698126j 0.00381231+0.00173721j 0.000409038+0.0015664j -0.00579855-0.00111305j 0.00475108-0.00215917j 0.000923509+0.00297838j -0.00455709+0.00216789j -0.000821174+0.000769147j 0.00117146-0.000353118j -0.00619892-0.00143562j 0.00187248+0.00189506j 0.00178115+0.00528409j -0.00302721-0.00379453j -0.00214875+0.00501083j -0.000626599-0.00196495j 0.000132561+0.00061548j 0.00125736-0.00405119j -0.0010341-0.00199647j 0.00716303-0.0085789j 0.00379568+0.00731338j 0.0024279-0.00242958j 0.000928138-0.00859256j 0.000681581-0.000500194j 0.00209879-0.000397112j -0.00664874-0.00433048j 0.000146097-0.00391632j 0.00249868-0.00133723j -0.00967469-0.00222605j -0.00146198+0.000323906j -0.00135419+0.000130563j -0.000848406-0.00150824j -0.0005333-0.000793211j -0.00630416+0.00156175j -0.000583633-0.000717236j 0.00365064+0.0025188j 0.00330265+0.00419135j 8.43779e-05-0.00170593j -0.00544604+0.0030061j 0.00199811-0.00403179j -0.000991248+0.00106854j 0.00422758+0.000469868j -0.00218805+0.00163299j 0.00392141+0.00570205j -0.0011378+0.0012738j 0.00594556-0.00156675j 0.00705484-0.00271276j -0.00121808-0.000466564j 6.2329e-05-0.001236j -0.00411579-0.00672475j -0.00585698+0.000432777j -0.00394751-0.00517479j 0.00136966+0.00441309j 0.00376531-0.00106439j -0.00149686+0.00805416j 0.00728785+0.00347975j 0.00672561+0.00249742j 0.00963642+0.00834271j -0.00284729-0.00198222j -0.000216014+0.0118652j 0.00327665+0.00126843j -0.0110185+0.00546492j 0.00741944+0.000863472j 0.00203549-0.00882261j 0.00610138+0.00508476j -0.00061749-0.00460796j -0.00689958+0.00435325j 0.000466683+0.00298514j -0.00560637-0.0126116j 0.000632303-0.00148472j -0.00160569+0.0110734j -0.00538879-0.0031509j -0.000824851+0.000265239j 0.00196686-0.00200865j 0.0127572-0.00592801j 0.00516476-0.000105194j 0.0053196-0.00696927j -6.69537e-05-0.00492641j 0.00903835-0.000412718j -0.00912197-0.00670394j 0.0196302+0.0159791j 0.00606862-0.00718244j 0.022837-0.00777748j 0.00959568+0.000539034j -0.00818507+0.00805817j 0.00690084-0.00541552j -0.000543391+3.52099e-05j -0.00351657+0.0135352j 
0.00203558-0.00446768j 0.000436649-0.000940305j 0.00620522+0.000957026j 0.00820884-0.000184122j -0.00350847+0.00208176j -0.00313292-0.00635214j -0.00838776+0.005072j -0.00461129-0.00111495j 0.0148372-0.00612588j 0.00506005+0.00197713j 0.000820462-0.00443044j -0.00638517+0.00158008j 0.00550521-0.00418509j 0.00102247+0.00387133j -0.0027451-0.00621157j 0.00071184+0.00407435j 0.00082206+0.00103538j 0.00298193-0.00380966j -0.00510617+0.000108173j -0.000977505-0.00453319j -0.00273399+0.0055144j -0.00469423+0.00490756j 0.00317747+0.00876122j -0.00581801-0.00083405j 9.05113e-05-0.00722557j 0.00628426+0.00256236j -0.0150426+0.00143043j 0.00113068+0.00235432j 0.00176255+0.00274702j -0.00125111-0.00184774j 0.000172451-0.00679456j 0.00362423-0.00225865j 0.0121872+0.0053426j -0.00215681-0.00756841j 0.00867164-0.00142586j -0.00929438+0.00724521j -0.00705804-0.000146678j 0.00542292+0.0044604j 0.0110133+0.00345355j 5.31055e-05+0.00227418j 0.00277207-0.00321464j 0.00599727+0.000109636j -0.00405813+0.00577184j -0.000183675+0.00554682j 0.00664893+0.00239639j 6.62692e-05-0.000406078j -0.00906994+0.0047838j -4.84282e-05+0.00389273j -0.00248853-0.00685649j -0.000632076-0.00314296j -0.00439633-0.00233123j -0.00135965+0.00428756j 0.00309572-0.00881916j -0.00465913-0.00310313j -0.00232628-0.00783599j -0.00089122+0.0047527j -0.00239592+0.0119889j -0.00345761+0.00472112j 0.00676655-0.000751531j -0.00262793-0.00365578j -5.77468e-05-0.0147755j 0.00190512+0.000119821j -0.00339056+0.00923689j 0.00124904+0.00688435j 0.000431176-0.00786526j 0.00840308-0.00256362j -0.00195262-0.0051444j 0.00481559-0.0015965j 0.00476573-0.0117025j 0.00270329-7.84439e-05j -0.00675729+0.00773446j 0.00491414-0.0021864j -0.00758238+0.00279453j 0.00104645+0.00305328j 0.00466537+0.00122261j -0.00316201-0.00510341j 0.00186457-0.00987245j -0.00378982+0.00381454j -0.000444631+0.0107493j 0.00710975-8.79684e-06j -0.0024599+0.00443489j -0.00585082-0.00722989j 0.0128728-0.00384671j 0.00764025-0.00485076j 0.00402683+0.00910796j -0.00294851-0.00446792j -0.0143231-0.00618177j -0.000926948+0.00468031j -0.00432875-0.00189525j 0.00303109+0.00564878j 0.00182093-0.00322343j -0.00265653+0.0036292j 
0.00253982+0.00209133j 0.00262341+0.0015601j 0.00101245-0.00252518j 0.00412427-0.00110725j 0.00247915-0.00114964j 0.000830263-0.00350438j -0.00285731-0.000375376j -0.00358279-0.0013112j 0.00577966-0.00211925j 0.00159451+0.00110646j 0.000535255-0.00135691j -0.00653786+0.0017855j -0.0017025-0.00410151j -0.00243161-0.00352397j -0.00669819-0.00281819j 0.00832506+0.00239003j 0.00226903+0.00222868j 0.00215779-0.00262393j 0.00275741+0.00183784j 0.000777467-0.00303168j 0.00509938+0.000352056j 0.00210455+0.0059018j -0.00061793+0.00308773j 0.00601034-0.00622886j -0.00819741-0.00986971j 0.00425712+1.26309e-05j -8.46797e-05-0.00256837j 0.000404556+0.00401738j -0.00112135+0.00089221j 0.00339698-0.00235203j 0.00204061-0.00106508j 0.00784143+0.00343236j 0.00357403-0.0035807j 0.00286739-0.00428892j 0.00446234+0.00187459j -0.00200761-0.000158005j -0.00662005-0.00446355j 0.000361724-0.00322432j 0.00103503+0.00561665j 0.00362721+0.00321751j 0.00223346-0.0029075j -0.00315274+0.00599242j -0.00568458+0.00485801j 0.00405833-0.000184582j -0.00106474+0.000211177j -0.00209205+0.00533696j -0.00412404+0.0012411j -0.0049603+0.00517118j -0.000892836-0.00233331j 0.000372387+0.0052195j -0.00127386+0.000388049j -0.00266682-0.00311409j -0.0024891-0.00084785j 0.00228645-0.00223878j -0.00217252-0.000377838j 0.00539944-0.00247052j 0.00495364-0.0012579j 0.00620079+0.00369802j -0.00307025-0.00228212j 0.0117782+0.0137027j -0.000988202+0.0137699j -0.00205035-0.00223829j -0.00107865+0.000262733j 0.000547239-0.00935182j 0.00440237-0.00616004j -0.0135544-0.000125474j 0.00211491-0.00155167j -0.00254255-0.0028712j -0.00521084+0.0100482j -0.00124538+0.00117791j -0.00011459-0.00557426j -0.0032772-0.000871699j -0.00104589-0.00569269j 0.00161591+0.00443814j -0.0125521+0.00354047j 0.00112721+0.0009345j -0.00652493+0.00106662j 0.00214823+0.00367621j 0.000628858-0.00250291j -0.00177807+0.00238081j -0.00396422-0.000405295j 0.00489934+0.00744545j -0.0144284+0.00669733j -0.0132358+0.00324566j 0.00346316-0.0023912j 0.00797189-7.26878e-05j -0.00122266+0.00313743j -3.22683e-05-0.00346396j 0.00392795+0.0051871j 0.00309579-0.00306891j -0.00364891+0.00112417j 0.00337919-0.000185055j 
-0.00748722-8.47203e-05j -0.00225711-0.00677985j -0.0046327-0.00025725j -0.004924-0.0028093j -0.00083124-0.00256423j -5.72032e-05+0.00519882j 0.00377571+0.00229573j 0.00226038+0.00682296j -0.00842914-0.00342176j 0.00270571-0.0093553j 0.00145994+0.00673658j -0.00344902+0.000605561j 0.0024377+0.00629638j -0.00392558+0.00267096j -0.00624491-0.00365183j 0.00098195+0.00273179j -0.000333373+9.53319e-05j -0.00536425+0.00129798j -0.00270797+0.000251258j 0.000100832+0.000559135j -0.00210497-0.00200457j -0.00314321+0.00680571j 0.00634668-0.000317129j 0.010222+0.00223858j -0.0067763+0.00623499j -0.000791822+0.00610649j -0.0043879+0.00507084j -0.000975575-0.00520415j -0.00388725-0.00494477j -0.00370717-0.00932778j 0.00318941-0.0035119j -0.00820041-0.00443971j 0.0018439-0.00447393j -0.000633157-0.00248826j -0.00578268-0.0016686j 0.00773012-0.00942354j -0.00161076-0.00238043j -0.000289474+0.0034646j -0.000642958+0.00141174j 0.00232654-0.00508247j -0.00561695-0.0032723j -0.00161324-0.0021476j -0.00299144+0.00181862j -0.00334182-0.00209426j -0.00100371-0.000217811j -0.00211155-0.00647466j 0.00351063+0.00214659j 0.00470614-0.00318114j 0.00180274+0.00536845j 0.0139725-0.00528238j 0.00117075+0.00876832j 0.00105415-0.0076936j -0.00142058-0.00173093j 0.00172437-0.00371766j -0.00323295+0.00117089j -0.0105722+0.00347017j 0.00217631+2.69614e-05j 0.00707703-0.0042606j -0.00161789-0.00136592j -0.000368503-0.0112479j 0.00672045-0.00700649j -0.000974395-0.0103742j 0.00103205+0.00187124j -0.00702415+0.00349207j 0.000655693+0.00169528j 0.00521775-0.00930688j -0.00208085-0.00341754j 0.00174342+0.0050797j -0.012276-0.00528088j -0.00166344+0.00288789j 0.000103485-0.00381126j -0.000357973-0.000448891j 0.00618078+0.00476425j -0.00265544-0.00458134j -0.000688427-0.00510838j 0.00161811-0.0064675j 0.00847608-0.0038841j 0.00335577+0.00333644j -0.00556632+0.00598402j 0.00509436+0.00511184j -0.000786153+0.00560973j 0.00916554+0.00201545j 0.0134058+0.00548721j 0.00805566+0.00430533j 0.0106582-0.00439392j -0.000931498+0.00496693j -0.0134684+0.0033125j -0.00147219-0.00741209j -0.00470523+0.00712948j -0.00685838+0.00214746j 0.00497521+0.00531139j -0.00927113-0.000302037j 
-0.0160581+0.00140409j -0.00504142-0.0031333j 0.00177458-0.00171027j 0.00251509-0.00183236j -0.0022876-0.00888363j -0.00276619-0.00099485j 0.00257836+0.00864211j -0.00660942+0.00677598j 0.000404006+0.00190355j 0.00128419-0.00365816j 0.00364308+0.008326j -0.00564539+0.00972006j 0.00549673+0.00991573j -0.0097752-0.000722299j -0.00706247+0.000173416j 0.00627829-0.00321674j -0.000301552+0.00329871j 0.000144285+0.00321161j -0.00188679-0.00495271j -0.00578152-0.00104677j 0.00295365-0.00409568j 0.00374266+0.00500452j -1.50449e-05-0.00842896j 0.00125777+0.00229748j -0.0014462-0.00230836j -0.00405475-0.0120418j -0.000615718-0.00217243j -0.00406259+0.00860923j -0.00343872-0.00322314j -0.00168946-0.00700559j 0.00541114+0.000814199j -0.00612744-0.00478263j 0.000409924-0.00141644j 0.00543074-0.00491038j -0.0003929+0.00507015j -0.00825965-0.0054336j -0.0182528-0.00353424j 0.000928816-0.00283418j 0.000355305+0.00874018j -0.00439846+0.00183733j -0.00389957-0.00545813j -0.00592004-0.00244356j 0.00124851+0.00119773j -0.000216163+0.00189232j 0.000653103-0.00297058j -0.0095438-0.00223413j -0.00109736-0.000411984j 0.00186914+0.00137721j 0.00335447-0.00594585j -0.00312631+0.00829358j -0.0020359+0.00690776j 0.000715089-0.00561523j 0.00513056-0.00671555j 0.00934085-0.00549442j -0.0043555-0.00214321j -0.0013513+0.00403989j 0.00312688+0.00560928j 0.00198314+0.00331962j -0.001112+0.0061911j -0.00655633-0.00189485j -0.000935157+0.00644779j 0.00248075+0.0033546j 0.000838933-0.009208j 3.52097e-05+0.000263124j 0.00302267+0.000170878j 0.000250414+0.00374287j 0.00393131-0.00232512j 0.00264679-0.000740444j -0.00270742-0.00247052j 5.73765e-05-0.00330273j -0.00271548+0.000279611j -0.00285795-0.0103432j -0.0036594+0.00109768j -0.00462896+0.00143945j -0.000316883-0.0041466j -0.00183564+0.00474875j -0.00167188+0.0027666j 0.00384886-0.000267136j 0.00135815-0.00288689j -0.00316553+0.00328097j -0.00202722-0.0039395j -0.00208762-0.00346355j -0.00473112+0.000269476j 0.000978747+0.000319299j -0.00590665+7.75823e-05j -0.00348749-0.00554411j 0.0123292-0.000114249j -0.00215233+0.00607495j 0.00517825-0.00665879j 0.00280191-0.000735015j 0.00137265+0.000406489j 0.00213386-0.000235726j 
-0.00312907-0.000895622j 0.00183339-0.00385674j -0.00304579+0.00123055j -0.00388793+0.000955981j 0.0063171-0.00404275j 0.00814399+0.00781421j 0.00317774+0.000718213j 0.00284534+0.00256732j -0.00850085+0.00330555j -0.00113012-0.00410374j 3.3853e-05-0.000166279j -0.00301987+0.00158861j -0.000552696+0.00187364j -0.000157497-0.00119187j -0.00327026-0.000485022j 0.00299965+0.0019809j -0.00144833-0.000648273j -0.00257315+0.000155145j 0.000770619+0.00301525j 0.00171636+0.00492912j 0.000704074-0.0028755j 0.00204678-0.00160966j 0.000910838-0.00334729j 0.00197407-0.00118931j -0.00134636-0.000539543j -0.00319877+0.00690414j 0.000203776-0.00231401j 0.00200277-7.32272e-05j -0.00413928-0.000538572j 0.0058327-0.00385952j -0.0092001+0.00533848j 0.00277713+0.00083324j -0.00347736-0.00518789j -0.00161472+0.00159294j -0.00266954-0.00237807j 0.000781154+0.000891213j -0.00374377-0.000242847j 0.00981455-0.00137426j 0.00475131+0.00229878j -0.000468299+0.0017822j -0.0040276+0.000721897j 0.00463651+0.00153232j 0.0035158+0.00226712j -0.000654121-0.00322688j -0.00140731-0.000336126j -0.00550175+0.0032474j -0.00310521-0.00301478j -0.00308694+0.00147284j 0.00213902+0.00142601j -0.000163875+0.00241256j 0.00360289-0.00141903j 0.000382494-0.000924642j -0.0042853+0.00173951j 0.00432536+0.000336817j -0.00137273+0.00189076j -0.00328118-8.09909e-05j -0.000538755+0.00106489j -0.00349281-0.00203558j -0.000167588+0.00272813j 0.00365812-0.00344941j 0.00433148+0.00372353j 0.00315524-0.00432872j -0.000807955+0.0166631j -0.00636417-0.00221415j 0.00119529-0.00299804j -0.00477069-0.00450135j -0.00353331-0.00355905j -0.00225152+0.00185346j -0.00434566+0.00228639j -0.00121837+0.00333966j 0.00634615-0.00112457j 0.000542284+0.00521976j 0.00705567-0.00684261j 0.00164722-0.000112063j 0.00159084+0.00169806j 0.00423827-0.0089262j 0.00353088+0.00412637j 0.00423949+0.00294826j 0.00145408+0.00601269j -0.00427187-0.00227503j -0.00297124+0.00672996j -0.00195495+0.00264347j -0.00676305-0.00625313j -0.00736387-0.00133708j -0.00670187-0.00302787j -0.00018945+0.00552698j -0.0168235+0.00173066j 0.00176268-0.00887981j -0.00872059+0.00420254j -0.00538387+0.0027989j -0.00161784-0.00138303j 0.00183761-0.00302439j 
-0.00434525+0.0025513j -0.00173582+0.000650425j 0.00154649-0.000202306j -0.000770144+0.000597001j 0.00291096-0.00080822j -0.0017525-0.00136535j 0.00128634-0.00514567j -0.00087047+0.000770917j -0.00100686-0.000966148j -0.00281127-0.00214397j -0.00083609+0.00214781j -0.000796993-0.00258669j -0.00201845-0.00249677j -0.0030561-0.000956113j -0.000510485-0.000690538j 0.0021612+0.000978486j -0.000295194+0.000787131j 0.000408376+0.000624933j 0.00275389-0.000780183j 0.000994555-3.93679e-05j 0.00542417-0.00266826j 0.00451394-8.17009e-05j -0.00622994+0.000786791j 0.00171413-0.00131793j 0.00155285-0.00479768j 0.00187928+0.00228376j 0.00335103+0.000261616j -0.00201048+0.00415201j -0.00130622-0.00238742j 0.00654888+0.00401916j -0.00249372+0.00236557j 0.00241372-0.00037494j -0.00703414-0.000586356j 0.000124685+0.000441606j 0.0014399+0.00289589j 0.00168895+0.000370242j -0.00305374-0.00168351j -0.000427952+0.00118309j -0.000582097+0.00637916j 0.00183586-0.0012619j 0.000728457+0.00140094j -0.00049943+0.0068076j -0.00044752+0.00257733j 0.00197172-0.00109019j -0.00029131-0.00145799j -0.00327363+0.00286459j -0.00308991-0.00297735j -0.000324984+8.334e-05j 0.00344545+0.00356993j 0.00342729-0.000104973j 0.000748142+0.00443394j -0.000519253-0.00107434j -0.00246579+0.00110818j 0.00376229-0.000214199j -0.00292031+0.000445276j 0.00310037-0.00225855j 0.00730542+0.00155616j 0.00554756+0.000313307j -0.000874138+0.00125243j 0.0192208+0.0034853j -0.00110752+0.00810774j 0.00920421+0.00486517j -0.000969676+0.0128068j 0.00517945-0.00482673j -0.000724216-0.00100459j -0.00701291-0.00210389j 0.000306312-0.00307928j 0.00392284+0.000121943j 0.000207111+0.0061461j -0.00296026-9.09202e-05j -0.00258562-0.000249813j 0.00204923+0.00290589j -0.00327379-0.00516423j -0.00852962+0.000121497j -0.00846933+0.000174282j -0.00393818-0.00482614j -0.0114504+0.000623975j 0.00270612+0.00419934j -0.00312869+0.00198268j -0.00770439-0.00155504j 0.00221128+0.000243706j 0.00817196-0.00393325j -0.0135581+0.00022411j -0.012031-0.000228496j 0.0105016+0.010027j -0.0104712-0.00216018j 7.97998e-05-0.00403425j 0.000465057+0.00133088j -0.00279804+0.0073076j -0.00860683+0.00831794j -0.00377115-0.00168811j 0.000357081-0.0131603j 
