-0.0454118+0.00901015j -0.017668+0.0343117j -0.0295683-0.0386746j 0.052297+0.0397197j 0.0158732+0.00238711j 0.037723+0.00315023j -0.0933291-0.0149803j -0.0268908-0.00227817j -0.0177302-0.00958684j 0.0101715+0.00240338j -0.0338529+0.0249274j 0.030549-0.0155178j -0.00308698+0.00559403j -0.0651825-0.00239239j -0.00116669+0.0157261j 0.0112144-0.00629771j 0.00873439+0.0143499j 0.0398761+0.00703679j -0.0191223+0.0397529j 0.0139721+0.0173516j 0.0127817+0.011477j -0.0276593-0.00524784j -0.026163+0.000598792j -0.0185477-0.00996309j 0.0164572+0.0102342j -0.0113584-0.0131995j -0.0113585-0.0120307j -0.0095979+0.00406219j -0.0153094+0.0225303j -0.0323718+0.0191395j 0.0122703-0.0141795j 0.0260238+0.0249531j -0.040739+0.0112502j -0.0094844-0.0088821j -0.0122778+0.00271022j 0.0147828-0.0072181j 0.0136695-0.0105411j 0.00306536+0.0104077j 0.0180378-0.00237823j 0.00184297-0.0201683j 0.0104022+0.0216632j 0.0293805+0.000979506j -0.0177552-0.000661466j -0.0209219+0.0106733j 0.0111893-0.0144206j 0.0128715-0.00285513j -0.00607703+0.024226j -0.0168951+0.00852447j -0.00644588-0.0081179j 0.0308259-0.0229547j -0.00205747-0.0173133j 0.000796472-0.0169749j 0.0067405-0.0115472j -0.00144811-0.0154813j 0.00403911+0.00521594j 0.0172698-0.00204843j 0.0186363-0.0265878j -0.0364673+0.00179895j 0.016372+0.0267539j -0.0334697+0.0515943j -0.00514052-0.0159593j -0.0111788-0.00480176j 0.004307+0.0441776j -0.00743505-0.00784487j -0.0296124+0.0233164j 0.0408628+0.0251634j -0.0549876+0.00458536j -0.0344138-0.0102494j 0.053706-0.0469436j 0.017262+0.00612953j -0.0309497+0.0118417j -0.00367336-0.0218306j 0.0674487+0.0174919j 0.00570053+0.0107378j -0.0247097-0.00446171j 0.0160357+0.0420785j -0.0104015+0.0584782j -0.0250436+0.146538j -0.080137-0.01558j 0.102355-0.029622j -0.0532353-0.03255j 0.0252578+0.0618055j -0.00175421-0.0501614j -0.0755159+0.0392423j 0.100037-0.00486031j 0.0376312+0.0253899j -0.0622885+0.0276761j 0.0244912-0.0772281j 0.0278567-0.0424182j -0.00143111+0.0580888j 0.0719533+0.0163365j -0.0808322+0.0440174j 0.0218851+0.00281272j -0.0261627+0.131549j 0.165144-0.0795445j -0.0422666+0.164205j -0.233003+0.133672j -0.0964829+0.173937j 
0.028829+0.000120338j 0.0114286-8.57046e-06j 0.0193455+0.0184778j -0.0104175-0.0166907j -0.0156741+0.0177617j -0.0459235-0.0414027j -0.0149041+0.0302751j -0.0166169+0.058256j 0.0193974-0.0135048j 0.0596773+0.0440142j 0.0343681+0.0213775j -0.0126572-0.00841287j 0.0114319-0.0917826j 0.0430993-0.0303756j 0.0214867-0.000150751j -0.0223886-0.0198409j -0.0538651-0.149076j -0.145446-0.00523291j -0.011583-0.0444622j -0.14742+0.0703508j -0.0697274+0.0101278j -0.048885-0.128227j 0.0165233+0.0351194j -0.0270296+0.0373959j -0.172706+0.0313353j -0.0916771-0.0630102j -0.00331425+0.164634j 0.0551073-0.0442093j 0.0433211+0.0406681j 0.045245+0.0647514j 0.0796414+0.0768605j 0.0559087+0.0665142j -0.00300951-0.0714275j 0.0770734+0.0189624j -0.0119091-0.0348843j 0.0506965-0.0159459j 0.0633286+0.1211j 0.00526542+0.0837673j 0.0664533-0.0571605j 0.0587381-0.0617647j -0.0527154+0.00215815j 0.0921081+0.00499703j -0.0818764-0.0656912j -0.0688856+0.039461j 0.0374633+0.0821021j -0.075142+0.0756446j -0.0152695-0.00735978j -0.0236242+0.0071731j -0.0246162-0.135246j 0.029124+0.0253697j 0.0224467+0.0830404j -0.0348969+0.0448729j 0.0734944+0.0113736j -0.0670331-0.0607484j -0.0383942+0.0364165j 0.0301416-0.0488173j 0.0421206-0.127216j -0.0445999-0.00362322j 0.0659351+0.011774j -0.0409378+0.040788j 0.0393628+0.00187866j 0.0254643+0.0327205j -0.05786+0.0410826j 0.0165006-0.0228067j -0.134265+0.0349986j 0.0663147+0.0026851j 0.0644782-0.0278672j -0.0653585+0.11887j -0.0309644-0.0866771j -0.0449108+0.0547233j 0.0143714+0.00760538j -0.00765291+0.0502796j -0.00802062-0.101043j 0.0627823+0.0221028j 0.0158238+0.107492j 0.00471028-0.0127394j -0.0445656-0.0125115j -0.0289141+0.00545919j -0.0709677+0.00280161j 0.163835-0.0228712j -0.0105559+0.0989139j 0.0782214+0.0362205j -0.0370913+0.0244363j 0.0295801+0.00487483j 0.0345112-0.0747737j 0.0298482-0.0717975j -0.00283901+0.0123241j 0.0562811+0.0611657j 0.00523161+0.0141339j 0.0161153-0.000812114j -0.0167122-0.0137309j -0.0164614+0.0230783j 0.00883367+0.0455876j 0.0122414-0.00880905j -0.0163619+0.0484499j -0.0457249+0.0209247j 0.0111215-0.0259894j 0.00588187+0.0216492j 
-0.0170865+0.00971128j -0.0110647+0.0196427j -0.0295898-0.0055769j -0.0216103-0.00955996j 0.0164331-0.0144284j -0.00326759+0.0043674j -0.0263557+0.0210344j 0.00233641+0.0448433j 0.00584975+0.0918471j -0.0898721+0.0161543j -0.00213324-0.0210716j -0.0609817-0.0620666j 0.0358082-0.0110332j -0.0216648-0.0344849j -0.0463417-0.0244613j -0.0305469-0.0551671j -0.024501+0.102003j 0.0921184+0.0906331j 0.000425804+0.135536j -0.0520529-0.0269812j 0.087781+0.0570175j -0.0219276-0.0298201j -0.00664381+0.012556j -0.0982867+0.054025j 0.00227365+0.0187371j -0.0608298-0.129848j -0.0909884-0.0879006j 0.10279-0.0514768j 0.0225689+0.0384033j -0.0854772-0.0550586j -0.0890895+0.0159088j 0.103783+0.0968986j -0.0621606-0.0227439j -0.0519637-0.0464848j 0.0011497+0.117962j 0.00830634-0.057425j -0.0129868+0.126942j 0.0449622+0.0967276j -0.0169124-0.023121j 0.00466316+0.00761428j -0.0270553+0.0117861j 0.0407701-0.0855386j -0.122549+0.142736j 0.0055841-0.0190526j 0.0693135-0.054916j -0.107521+0.00311777j 0.0289973-0.045667j -0.0472023-0.039269j 0.114736+0.0537467j 0.0179568+0.0165066j 0.121845+0.0728892j -0.124384+0.0166886j -0.0952808-0.0434793j -0.00760048-0.0734041j -0.0380724+0.0047616j -0.0337906+0.01581j -0.0512488-0.0551718j 0.0277295-0.0045159j -0.0101871-0.0509839j -0.0368259+0.0465628j 0.0487945-0.0369009j 0.048244+0.000212695j 0.0119204+0.0239827j -0.0209943-0.0702619j -0.0506009+0.0467092j 0.0297821+0.00535009j 0.0131745+0.00881143j 0.018561+0.0262426j 0.0295822-0.0549843j -0.0699499+0.0332254j -0.0528192+0.0234637j -0.0252433+0.121856j 0.00633899-0.00859572j -0.0708416+0.0741403j -0.0523379-0.0391932j 0.0125303-0.0371911j -0.0837621+0.12625j 0.04767-0.0556417j 0.00115921+0.0340831j 0.0697808-0.041392j -0.10317-0.10597j -0.102077+0.0197128j -0.00975668-0.0359506j -0.0483991+0.116953j 0.0723533-0.0752854j 0.0562853-0.0864766j 0.0206667-0.0576711j -0.0242565-0.0314374j -0.0579209+0.0185723j -0.00103028+0.0332155j 0.0335664-0.0400544j 0.0158091-0.00518342j -0.00449086+0.0430106j -0.0469905+0.0538401j 0.0446338+0.066157j -0.0779529+0.0693844j -0.00131448-0.0208796j -0.0658563+0.0569878j 
0.000915117-0.00323716j 0.00865619+0.0238726j 0.0141338-0.0147142j 0.0114815+0.0040075j -0.0425038+0.0288732j 0.0223511-0.0273977j -0.0560288-0.0692152j -0.0341005-0.0105267j 0.0469479-0.0266447j 0.0347935+0.0668185j -0.0416449-0.048373j 0.00839886+0.0559681j -0.0093616-0.00512052j -0.0459677+0.00801991j 0.0315909+0.00726913j -0.0289172+0.0172511j 0.0677031-0.0233314j 0.00577219-0.104357j -0.00165094-0.0941007j 0.0917639+0.111989j -0.138016+0.0510284j 0.00967495+0.053558j 0.0516743-0.0288937j -0.0476853+0.0391958j -0.177569-0.0256457j -0.0338204-0.127662j -0.0618664+0.0902631j -0.0222261+0.0267501j 0.0516678+0.0125732j -0.0966606+0.0817804j 0.0460351+0.00305396j 0.0504772+0.0996191j 0.0408106+0.0523986j 0.0186059+0.0171232j 0.00350072-0.0176839j -0.0268822-0.0518995j -0.0639912+0.128552j 0.0699886+0.0327333j 0.00484295-0.0782781j 0.00434563+0.0179994j -0.0214612-0.0457784j 0.0243297-0.00525816j 0.0700241+0.12421j 0.044905+0.00608375j 0.0448877-0.103681j -0.0846098-0.0773019j 0.0565202-0.0488595j 0.0878761+0.0467732j -0.0167063+0.0540998j -0.0816114-0.0511488j 0.0100449-0.0126505j -0.0735001-0.0289388j -0.0477039-0.00530353j 0.0231676+0.0465862j 0.0587599+0.0254942j 0.063402-0.0116152j -0.0247528+0.0300097j 0.0148365-0.00113116j 0.000504721-0.00115868j 0.0169117-0.0935354j 0.025764+0.05999j 0.0865937-0.0255005j 0.0295671-0.0185485j 0.0383433+0.00297292j -0.0218604-0.0383301j -0.0755861-0.0741282j -0.00343534+0.0500705j 0.0559045-0.0919234j 0.033188+0.123382j 0.0203294+0.126698j -0.00044131+0.0290809j 0.0217155-0.0545931j 0.0789875+0.0496016j 0.0316315-0.056464j 0.0223841-0.0971506j -0.0451176+0.0377681j 0.0822891-0.048004j -0.0887754-0.0239963j 0.0233941-0.133744j -0.0149921+0.0395199j 0.0207196+0.0116182j 0.0378592-0.0320918j 0.0330137-0.00827428j -0.10773-0.0716102j -0.0505279+0.0552576j 0.00856209+0.0411222j 0.0167898-0.00777709j -0.0131706-0.0605876j 0.035265-0.0395928j -0.0117992-0.0173869j 0.0236202-0.021593j -0.0209918-0.0725739j -0.048584-0.0647305j 0.0392626-0.00475726j 0.0161794-0.0792933j 0.0897742-0.0188701j -0.029806+0.0622553j 0.0211516-0.0393434j 
-0.00452849+0.0032786j 0.00872812+0.00566598j 0.000306631-0.01553j -0.0334208-0.0438369j -0.000152815+0.0071396j -0.0374026+0.00808239j 0.0314341+0.0158791j 0.00380547-0.0131632j 0.00619688-0.00150799j 0.0120629+0.057103j 0.00310224+0.00813067j -0.016958+0.0323106j 0.0165569-0.016572j 0.0495146+0.00308772j 0.0448547-0.00246518j 0.00146692-0.0156627j 0.0211048-0.0666805j -0.0322756-0.047654j 0.0529368-0.0736688j -0.0641081+0.0339976j -0.0233096+0.0410224j 0.0229392-0.0451823j 0.033146-0.00162961j 0.0148331-0.01619j -0.0750683-0.0250263j 0.00198278-0.0067844j 0.0540543+0.00217073j -0.00283643-0.0465027j 0.0718594+0.00475352j 0.0178586-0.0183047j 0.00896893+0.0859302j 0.0107376-0.0153717j 0.0493506-0.00509104j 0.0383356+0.0784814j -0.00127245+0.0122509j 0.00776474+0.047568j -0.0575966+0.0616593j -0.0234257+0.00441646j 0.0625633-0.0153481j 0.00613683-0.050885j 0.00135401-0.0404082j 0.0234583+0.0309319j 0.0250059-0.019943j -0.0202533-0.091976j 0.0662197-0.00734594j 0.068112+0.122029j 0.0221661+0.0433097j 0.0616401+0.00287092j -0.0343098+0.0195692j 0.076274-0.0412481j 0.0592885+0.0485064j 0.0246042+0.0328293j 0.0726748+0.00142952j -0.0296046+0.00591003j -0.0190029+0.0353096j -0.0446248+0.00480078j 0.012825+0.0425456j -0.00999645+0.026694j -0.0562369+0.0307952j 0.00232605+0.00189579j -0.0385407+0.012173j 0.0145248+0.0522759j 0.0686417+0.0224045j -0.0294647-0.0136598j 0.0805383+0.0137031j 0.0319712-0.0189136j -0.0642664+0.061697j 0.105988+0.0722013j 0.0521963-0.0480541j 0.0242552-0.123488j 0.0459665-0.11192j -0.0474555+0.0244426j 0.0678932+0.127044j 0.014663+0.0558566j -0.113531-0.0213961j 0.169355+0.0243491j -0.0654262+0.0312582j -0.00193812-0.0607066j 0.0939865+0.0863318j -0.186553-0.0807797j 0.0634698+0.166403j -0.00750755-0.0086208j -0.0128869+0.108032j 0.17563+0.00878925j -0.0332021+0.0189015j -0.00561947-0.0686472j -0.00146226-0.0443506j -0.0442671-0.0113014j -0.0291855+0.0410206j 0.0283771+0.0313183j -0.0104396-0.0534329j -0.0227056-0.0437173j -0.0328903+0.0677012j -0.0520109-0.0884491j -0.0951721+0.0878325j -0.0545107-0.0600313j 0.069899-0.0585514j 0.00282207-0.0280482j 
-0.00379546+0.0200396j 0.0384073+0.0434021j 0.00334092-0.0497887j 0.00556238-0.0523333j 0.00264112+0.00233785j 0.0285368+0.0577457j 0.0439977+0.0212667j 0.0168938-0.0438348j 0.0422679+0.0197469j -0.00567479+0.0274651j -0.053885-0.0456636j -0.0187167-0.0132821j -0.0358211+0.0192496j 0.0164873-0.0188985j 0.0200939+0.0582818j -0.000229861+0.0645461j 0.0384553+0.115285j 0.0886186-0.019978j 0.044679-0.0729463j 0.00722133+0.027579j -0.0125107-0.0136713j -0.0419768-0.080832j -0.0660399-0.119862j -0.015542-0.0829987j 0.0106206-0.016607j 0.102457+0.00785833j 0.0790782+0.0326655j -0.0573776-0.0727157j 0.000601707-0.0277572j -0.0820596+0.00422799j -0.00200174+0.0328511j 0.0406746+0.0340856j 0.00946434-0.0566476j -0.069138+0.0617543j -0.0571362-0.0423769j 0.00828854+0.0191806j -0.0311468+0.0197261j -0.138697-0.0807917j -0.0639274+0.0407726j -0.00357756+0.0339171j -0.0559156+0.112184j 0.00222437-0.0496065j 0.051315-0.119053j -0.0489563-0.0560619j -0.0891513+0.0327916j -0.0377743+0.0703783j -0.0389113-0.0241293j -0.0155705+0.0393903j 0.0683979+0.0687366j -0.0696076+0.0587557j 0.0248832+0.0745282j -0.0244768-0.0656303j 0.0621439-0.0187068j 0.0480816+0.0464214j -0.00159051+0.0458014j 0.0161587-0.0610814j 0.0125771-0.0782372j -0.0651925-0.0144148j -0.130365+0.0654986j -0.0468342+0.149626j 0.0606067+0.0222562j 0.0183579+0.00654245j -0.0102454+0.0348161j 0.0679179-0.0421307j -0.00342205+0.0711956j 0.168497-0.0812139j -0.00412938+0.122582j 0.0329761-0.00410969j -0.0595526+0.0364315j -0.0267323+0.0912592j -0.0298191-0.00575579j 0.0334344-0.0456121j 0.104964+0.0366829j 0.0724285-0.0425499j 0.00658864+0.0773206j 0.0223755-0.0694414j -0.0213238+0.0722259j -0.181907+0.132214j -0.0101205+0.00364828j 0.0772974-0.0449987j 0.077341+0.0942695j 0.0735432-0.0481073j -0.0304407-0.0500193j -0.154421+0.0384087j 0.0517962-0.0643749j 0.0247504-0.0341042j 0.0561307+0.0669516j 0.028895-0.0535179j 0.0167848-0.0192619j 0.023772-0.0223272j 0.0491925-0.0429944j -0.0157046-0.0176254j -0.0590733-0.0230338j 0.033095+0.0369911j 0.112195-0.00611056j 0.0106175+0.154806j -0.059261+0.0644351j -0.0417349+0.0681395j 
0.0148571+0.00689936j -0.0190609+0.00580584j 0.0103419-0.010603j 0.032033+0.0091024j 0.00428548-0.0402191j 0.041637+0.0137249j 0.0489556+0.0032765j 0.0492816-0.0483595j 0.052851+0.0381304j -0.0821711-0.0203768j -0.0250131-0.011434j -0.0177228-0.0303721j 0.021194+0.0667921j -0.0222751+0.0160653j -0.0925653+0.0138885j 0.0243422-0.0435339j 0.0109745+0.14387j 0.100306+0.0610454j 0.0251167+0.108904j 0.0225273-0.0472131j 0.113928+0.00193366j 0.0158701-0.0215958j -0.020823-0.052085j -0.0123988+0.00751244j 0.109081-0.0293637j 0.0293103+0.0743401j 0.0112201-0.0565049j -0.116562+0.0420562j -0.0566321-0.00441194j -0.035091-0.026337j -0.0352383+0.0374037j 0.0740623+0.0125172j -0.04304-0.0177206j 0.0143968-0.00259731j -0.00367799+0.013954j 0.00700511-0.0223221j 0.0576937+0.0100852j -0.11092-0.0540431j -0.00786257+0.0718314j 0.0124626+0.036879j 0.00271531+0.032562j -0.0466588+0.0269578j -0.0755011-0.0416758j -0.0481563-0.0758554j -0.0160726+0.0324269j 0.0668088-0.0138799j -7.10998e-05+0.0140058j 0.00329644-0.000652239j -0.0139393+0.0283312j 0.0349565+0.0253705j -0.0276387+0.0627709j 0.115308+0.0151145j -0.136243-0.0114635j -0.0203264-0.0410234j -0.00468499-0.0602105j 0.0177447-0.0221844j -0.0521602-0.0368803j -0.00433357-0.0275808j 0.0863218-0.0463908j 0.00158267-0.0866074j 0.0508592-0.000569788j -0.0132619+0.0312505j 0.0629914-0.00214138j 0.0130036+0.0448971j -0.00323983+0.094423j -0.0400964+0.020165j 0.034755-0.0146921j 0.0266858-0.0265802j 0.0332782-0.0399826j -0.0466285+0.0359115j -0.025119-0.0269829j -0.0161734+0.0175899j -0.024331+0.0368838j 0.0577809-0.00299249j 0.027402+0.0195902j -0.0130191+0.0234624j 0.00903034-0.0694642j -0.0286128+0.0731901j 0.0197929-0.0531429j 0.0313444+0.0336938j 0.117055+0.110553j 0.102095-0.0681261j 0.0292596+0.0278134j 0.0403786-0.0135587j -0.0274931+0.0326436j 0.00810108-0.0618184j -0.0114475+0.00627665j -0.0190744+0.0471745j 0.0395395+0.0236567j 0.0439593-0.000962944j 0.0346643-0.0251358j -0.0456337-0.00187808j -0.0477255+0.0115794j 0.0119985-0.0413326j -0.0144191-0.0345935j 0.0490859+0.00873697j 0.000208234+0.021746j 0.0231135-0.0309794j 
0.011098-0.0251632j 0.00593553+0.00167067j -0.00854524+0.012247j -0.000248176-0.0134579j -0.0264204-0.0107268j -0.0509029-0.0399253j -0.0155056-0.00367428j 0.0431852-0.0118083j 0.0103538+0.0243333j 0.0271008+0.0263738j -0.0524713-0.00713466j -0.0183351+0.00920194j 0.0632493+0.0327859j 0.0185503+0.0572019j -0.0586438-0.0147423j -0.0161488-0.0151133j 0.067067+0.0909274j 0.0673045-0.0473565j 0.0093455-0.0145772j -0.0210122+0.00508109j 0.00804263+0.00682168j 0.00718045-0.109679j 0.00137364-0.0201185j -0.0273062-0.00449471j -0.0766703+0.0570727j 0.032965-0.0785863j 0.116896+0.0148575j 0.023175-0.0483711j 0.0859971+0.0885863j -0.069253+0.0487168j 0.0164795-0.0612257j 0.0851295+0.0427877j 0.0490664+0.019063j -0.0125921+0.0336332j -0.0715055+0.0394842j 0.0403961+0.0321923j 0.0710485+0.0878123j 0.0613683-0.0137119j 0.0400481-0.049958j -0.0043534-0.0464563j -0.0397113+0.0289751j -0.0258737-0.026j -0.0629735-0.0124849j -0.0655002+0.0226644j -0.0905394-0.0738344j -0.000349893+0.00309651j -0.0463657-0.0527646j -0.01937-0.0429252j 0.00747588+0.0452078j -0.0107062-0.0326989j 0.0516082+0.0132976j 0.0378309+0.0984298j -0.0603056-0.03083j 0.0899268-0.0401217j 0.0533855+0.0306158j -0.0307413-0.0383542j -0.0700842+0.0475372j 0.0940692-0.0147939j -0.0291986-0.00615765j -0.0785889-0.0478416j -0.00716066-0.00291887j 0.00931171+0.0147919j 0.0435452-0.105143j 0.00638537-0.0858828j 0.0673596-0.00105045j -0.040838-0.00748652j 0.058105-0.0286427j -0.0154031+0.0465747j 0.134295+0.0942436j -0.00147612+0.0112994j -0.0528445+0.0896103j 0.0375567+0.0509451j -0.0115177+0.0310714j 0.00629734+0.0635457j -0.0498719-0.0767926j 0.109699-0.0325254j -0.0958134+0.00516718j -0.109133-0.165895j 0.0793563-0.0171531j -0.0456982-0.0119124j -0.0362274+0.0468324j -0.0107175+0.0137973j 0.0743273+0.0392478j 0.0215101+0.042179j -0.0553601+0.00755331j 0.0213147+0.01724j -0.00996342-0.0362193j -0.0460487-0.0634475j -0.0798575+0.0093722j -0.0288976+0.0239664j -0.0343647+0.00242878j -0.0125656+0.00874076j 0.0530106-0.0182494j 0.00306775-0.0475932j -0.0377166-0.0703344j 0.0272585-0.0633006j -0.00349145+0.00504336j 0.0431492-0.039804j 
-0.0181011-0.0293821j -0.00188906+0.0084929j -0.00860541-0.0271818j -0.0244883+0.0112556j 0.000352293+0.0117007j -0.00443954-0.00628862j -0.0317276-0.0068955j -0.0580655+0.00447599j 0.063367-0.0133637j 0.0166625+0.0686333j -0.0213369-0.0464957j 0.0205972-0.0214376j -0.0247147-0.0222787j 0.0579303-0.0338327j 0.0211643+0.0524659j -0.0260617+0.0110814j 0.0526464+0.0166403j 0.00853655-0.084576j 0.0119119-0.0933469j 0.0467209+0.0575586j -0.102541+0.0549926j -0.00760442+0.0684672j 0.069521-0.000770904j -0.0283734+0.00674996j -0.0780858-0.0444136j -0.0148396-0.063073j -0.0129198+0.141876j -0.00129314-0.065489j 0.00579891-0.0303393j -0.0110452+0.00812312j -0.00255241+0.056237j 0.115056+0.110282j -0.0174261-0.0602024j 0.0587998-0.0174368j 0.00293975-0.0155647j 0.0512603+0.0130563j -0.0848589+0.0493882j 0.0282813-0.00412923j -0.0120717+0.000285528j -0.00301754+0.0353953j -0.0507661-0.0336197j -0.0092258-0.00540417j -0.0373509+0.0207086j 0.0106128-0.0433973j 0.109777+0.125609j 0.0433169-0.0464961j 0.0369739-0.0485769j 0.0667061+0.0647614j -0.0688223+0.0897974j -0.0495555-0.00216727j -0.0533882-0.00179536j -0.000725426+0.0385067j -0.00349902+0.0744137j -0.00354513+0.0100851j -0.00159329+0.0161931j 0.0365184-0.0319865j -0.0813956-0.0633793j 0.0195738+0.0137992j -0.015389-0.0197654j -0.023777-0.00861136j -0.0213111-0.000236226j 0.0574907-0.0334499j -0.0323137+0.0481467j 0.0914957+0.00494143j 0.0625408+0.0264199j 0.0839249-0.0105461j 0.0425335-0.0160539j 0.00568528-0.0576271j -0.0212097-0.0466161j 0.000160965-0.0333998j 0.0262802-0.0389725j -0.0635071-0.0981213j -0.0178591+0.0522861j -0.0447639+0.042543j 0.0970723-0.00645184j 0.0252097-0.0883197j -0.0403187+0.00939998j 0.032928+0.0456948j 0.0381676+0.0470805j -0.00424795-0.075733j 0.00868823-0.000599576j 0.00347526-0.0275732j 0.0292634-0.0117541j 0.0300541+0.0585179j 0.0158025+0.000310355j -0.0149431-0.0406509j -0.0418333+0.00609793j -0.018214+0.0178331j 0.0273445+0.0131901j 0.0164669-0.0205309j 0.00673511-0.0266331j -0.0607345+0.0363999j -0.0570533+0.0447834j -0.0412598-0.0372665j -0.0174299+0.00293608j 0.000788436+0.0180116j 0.0141352-0.0225591j -0.00773089-0.0128577j 
0.00332753+0.022362j 0.00614839+0.0115991j 0.00630928-0.0158903j 0.0145234+0.00179182j 0.0143558+0.0314418j 0.0150711+0.0119389j 0.00388173+0.0369858j -0.00833138-0.00517891j 0.0204186+0.0115854j 0.000474795-0.0237084j -0.051512+0.0278266j 0.0272123-0.0512464j 0.00278214-0.0545239j 0.060499+0.062715j -0.0206721-0.0102188j -0.04446-0.0123274j 0.0188531+0.0950615j 0.0186002-0.0324503j -0.0190002+0.0266166j 0.0654926-0.0281982j -0.0170548-0.0103052j -0.0570286-0.0381272j 0.00461533-0.0100208j -0.0136986+0.0371289j -0.026405+0.0458575j -0.00233778-0.0490565j -0.00822594-0.0525633j -0.0363511+0.045245j 0.0104419-0.0823479j 0.00508023+0.0143596j -0.0155581+0.0105813j 0.0224751+0.0274469j -0.0365587-0.0100947j 0.00758783+0.0116883j -0.00555334+0.00671955j 0.0365353-0.0661963j 0.0225164+0.02083j 0.0211109-0.015045j 0.0180805+0.00420765j -0.0184691+0.0136437j 0.0306284-6.65668e-05j 0.0180747+0.0129832j -0.0335743-0.0256948j -0.0346588+0.070764j 0.0409032-0.0151783j -0.0343731-0.00908737j 0.023538+0.0468095j 0.0537144+0.02408j -0.063214+0.017406j -0.0196342+0.058583j -0.00968879-0.0171217j -0.0722575+0.104006j 0.00656174+0.00994293j 0.139188-0.0113415j 0.0295468+0.0750499j 0.0795135-0.0741559j 0.0633638+0.0144489j 0.045881+0.0408439j 0.0620326-0.0387717j -0.0936761-0.0291568j 0.0350806+0.0998243j 0.0253925-0.0722473j -0.0341157+0.0189515j -0.021808-0.00938013j -0.033051+0.0998111j -0.131615+0.0636233j -0.181698+0.00973655j 0.0514308+0.0267674j -0.0412909+0.0639585j 0.0743596-0.0728798j 0.0323863-0.0478088j -0.0290625+0.119023j 0.118186+0.101455j 0.027369-0.0657614j -0.0970317+0.11433j 0.0115837+0.0355558j 0.0830306+0.0163979j 0.129121+0.0374043j -0.103076+0.0245717j -0.0119871+0.0406461j 0.0117141+0.0741116j -0.0109586-0.0171987j -0.0848928-0.0153197j -0.00360365-0.00885887j 0.0465419-0.00197085j 0.0529945-0.0880376j -0.00730346+0.00120866j 0.00337377+0.0307731j 0.0301708-0.0326484j 0.0297953+0.0312311j 0.0640915-0.0259737j 0.0272353-0.0769837j -0.037404+0.0155938j -0.016238+0.0178528j 0.0290305+0.10846j -0.0702767+0.071313j 0.00111227-0.0366461j -0.0775349+0.0409703j 
0.0268559+0.0166756j -0.00200473-0.0211203j -0.0275494-0.0031186j 0.0315149+3.84039e-05j -0.00879125-0.0154853j 0.0109261-0.00288547j -0.00505313-0.0527365j -0.0442384-0.0450123j 0.0146591-0.06343j 0.042429+0.000933949j -0.00579461-0.00797095j 0.0479945+0.0236158j -0.0237561+0.039469j -0.0251122-0.0203353j 0.0671985+0.00306304j -0.000617264+0.0110847j 0.00199293+0.00168713j 0.00170901+0.0314957j 0.000600459-0.0406108j 0.0405642+0.0214721j -0.0122499+0.0169396j -0.0292239-0.0181357j 0.0127859+0.000920026j -0.0101606+0.00510919j 0.0444371+0.0115683j 0.000882341-0.0300284j -0.00368124+0.0647192j 0.0164296+0.0324701j 0.00475123-0.026772j 0.0332045+0.000732928j -0.0478622-0.0151218j 0.0284498+0.0141504j -0.0305277-1.89392e-05j -0.061231-0.0511863j -0.00286546-0.0207082j 0.0328576-0.0343745j -0.0364225-0.0882106j -0.0187086-0.00586301j -0.00966349+0.0292851j -0.00992621+0.053439j 0.00732141-0.00212529j -0.0189974+0.0308966j 0.016202+0.0237447j 0.0598694+0.00748841j 0.0251254+0.0501453j -0.0218133-0.0244606j 0.00605764+0.0555567j -0.00105302-0.0251652j -0.0190002+0.0217672j -0.0279905+0.0100237j -0.0156537-0.00962946j -0.067538-0.00159779j 0.0995916+0.0374605j 0.0153538+0.0386091j -0.0180034+0.0590023j 0.0207731-0.0425117j -0.0500341-0.11271j -0.0349-0.0225735j 0.00498345+0.0791939j -0.00387797+0.0787716j -0.0267828-0.0188149j 0.0880232+0.0598112j -0.0157575-0.053235j 0.0625652-0.0663259j -0.0399875-0.0561674j 0.12623-0.0122579j 0.00104856+0.0212035j 0.0267981+0.0277519j 0.0206115+0.00976668j -0.0221942+0.084569j 0.150168+0.00421631j 0.058152-0.0299689j 0.0385349-0.00519747j -0.0256934+0.0155833j 0.0142919-0.0553931j -0.00360967+0.00870626j 0.049082-0.0410776j -0.0209156-0.0958227j -0.1005+0.03614j 0.0272809-0.0661858j -0.0678302+0.0667873j 0.0564482-0.0384585j -0.0888196+0.0117616j 0.0161288-0.0135636j 0.0766057-0.0122924j 0.040288-0.000396621j -0.0103217+0.0541159j 0.0495583+0.00460457j -0.0323778-0.0498157j -0.0471259-0.0774436j -0.0516911+0.0112645j -0.0477832+0.0680022j 0.0456935+0.0395398j -0.0407588-0.00854222j 0.0186382+0.00425487j -0.0299476-0.00976695j 0.0260387-0.0207053j -0.0357388+0.0172125j 
