0.0709499-0.0486552j 0.0283312+0.120418j -0.121883-0.0487254j -0.00706949+0.0101369j 0.00176124-0.00367968j -0.014254+0.00166778j -0.0939641+0.0478171j 0.000329205-0.00175773j 0.0244285-0.00810658j 0.111782+0.0674315j 0.108585-0.105578j -0.031921-0.02203j -0.0683366-0.281806j 0.00172779+0.0392627j 0.401585-0.0485458j 0.242545+0.0308063j 0.0509585+0.00541624j -0.0191037-0.047745j -0.11631+0.384986j -0.136179+0.286174j 0.0441442-0.0717175j -0.0756508+0.011346j 0.361144+0.32793j -0.0574988-0.0144774j -0.230241+0.198375j 0.0816309+0.0957376j 
-0.00778371+0.00440863j 0.00424844+0.00367638j -0.00226391+0.00265497j 0.0156104+0.00780247j 0.00496876-5.38108e-05j 0.00719092-0.00539703j -0.00864584-0.000795511j 0.0106226-0.0130113j 0.00803842+0.00703037j 0.00532379-0.0068396j 0.000616421-0.00347912j 0.0170112-0.00357687j 0.00706926-0.005814j -0.0223774+0.000225675j -0.00210803+0.00381203j 0.00445677+0.00373238j 0.00490991-0.000325002j 0.00450606+0.00439581j 0.015398-0.0172991j -0.00817777+0.0132819j -0.0112034-0.00361759j 0.00742469+0.0103085j -0.00639391-0.000239656j -0.00481942+0.00946236j -0.0114758+0.00707976j 0.0207328+0.0110272j 
-0.00151738-0.00205967j -0.0030395+0.0038964j -0.000550726-0.00184483j -0.00191987-0.00157747j -0.00151695-0.00202988j 0.00112316+0.00123732j 0.0022408-0.00365156j -0.000944253-0.00129959j 0.000891309-0.00515155j 0.00405381-0.00714684j 0.00242514-0.00295177j -0.000597602+0.00336429j -0.000635143-0.00292515j -0.0159757-0.000575186j -0.00244511+0.00319081j 0.00188011+0.00957238j 0.00593789-0.00079354j -0.00433736+0.000995945j 0.0117497-0.0114049j -0.010955+0.00782472j -0.00900552-0.00372474j 0.00455748+0.0123732j -0.00611147-0.00542215j 0.00251925+0.0028729j -0.00636341+0.00472009j 0.0140785+0.013767j 
0.00346406+0.0013047j 0.00217171-0.00396655j 0.00330039+0.000389063j -0.00166704+0.00356444j 0.00556254-0.00143922j -0.0026556+0.000148678j -0.00149496+0.00305882j -0.00457973+0.00210213j -0.00683364+0.00800063j -0.00825698+0.00387129j -0.00664891+0.00271477j -0.00703899-0.00129974j 0.00204973-0.000334412j -0.0148439-0.00586377j 0.00794457+0.00424345j -0.000822135-0.0129103j -0.00149337+0.0056524j 0.0218941+0.00418743j 0.0080511-0.00225714j 0.0035962+0.00496782j -0.0022684-0.00517346j 0.00038099-0.00623844j -0.00410178+0.00275153j -0.0175485+0.00800723j -0.00488491-0.000875852j 0.00192737+0.000185839j 
-0.0124407+0.00214128j 0.00102639+0.00820211j -0.00566913+0.00774223j -0.00421603+0.00303972j 0.0112945-0.0217345j 0.00529357+0.000502654j -0.00167799-0.0125309j -0.0210671-0.012812j 0.00192014-0.00722874j 0.00888588+0.00201695j 0.00827919-0.00783425j 0.0142171+0.00773378j 0.0072384+0.002129j 0.00322692-0.00747446j 0.00410728+0.0148191j -0.00678201-0.0130037j 0.00241428+0.000729816j 0.00963004-0.00726365j -0.0106555+0.0113795j 0.0150792+0.00283762j -0.000117282+0.00118781j -0.000591878-0.0221912j 0.00463594-0.0109057j 0.00450038-0.0110122j 0.0034621-0.00222144j 0.00124309+0.0054503j 
-0.00153638+0.00449738j 0.0079442+0.000236153j 0.00116833+0.000162429j 0.0228707+0.0173856j -0.00424393+0.0160785j 0.00873025-0.00787204j -0.0153802+0.003957j 0.0324433+0.000414555j 0.00633217+0.0202609j 0.00462708-0.00554523j -0.00417993+0.00109951j 0.0260186-0.00740037j 0.0070195+0.000529664j 0.00750538-0.00201513j -0.00375688+0.000911134j -0.00180579-0.00480747j -0.00155709-0.000537703j 0.000281832-0.00175945j -0.00668819+0.00450096j 0.00724778-0.00279564j 0.00417022+0.00250962j -0.000825366-0.00783632j 0.00537644+0.000441975j 0.00171853-0.000723211j 0.00249146-0.00188456j -0.0039897-0.00678688j 
-0.00105913+0.00312639j 0.00224136-0.00265304j -0.000914175+0.00300789j 0.000741256+0.00140152j 0.000140966-2.31572e-05j -0.000991388-0.000508956j -0.000995346+0.00265355j -0.000145597-0.000297611j -0.000275427+0.000855257j -0.00221282+0.00803977j -0.00113246+0.00214345j -0.000283558-0.000499962j -0.00150894+0.00104637j 0.00497967+0.00980537j -0.00370941-0.01886j 0.00356946+0.0119583j -0.00350538-0.000811903j -0.0133138+0.00332632j 0.00763311-0.00526629j -0.010455-0.00760511j 0.0033305+0.00200174j -0.00480994+0.0181494j -0.00261851+0.012921j -0.00430954+0.00758677j -0.00161801-0.0012425j -0.00379284-0.00908054j 
-0.0148104-0.00887231j -0.00916042-0.00250042j -0.00883612-0.00898316j 0.00918857-0.0210393j -0.0358888+0.00119252j 0.00590506+0.0065191j 0.0081725+0.00257151j 0.0121201+0.0181978j 0.0263072-0.0164357j 0.00417544-0.00443978j 0.0090994+0.0023872j 0.000135697+0.00224085j -0.00242227+0.000520268j 0.00251209+0.00344045j -0.00276225+0.00221317j -0.00217821+0.00265257j 0.00176606-0.00233305j -0.00578412-0.00424644j -0.00434713+0.000250082j -0.00033885-0.00101156j -0.00202734+0.000179244j 0.00031271-0.000865413j 0.000665212-0.00437357j 0.00967624-0.00417502j 0.00322247+0.0004464j 0.000545623+0.00355035j 
0.0148555-0.00326895j -0.00223369-0.00727744j 0.0103522-0.0096018j 0.000197699-0.00391133j -0.0139746+0.012517j -0.00593915+0.00066906j 0.000849529+0.00924814j 0.00779776+0.0203144j -0.00727058+0.00669607j -0.00860004-0.0111435j -0.0111115+0.00390297j -0.0161583-0.00919487j -0.00148426-0.00235313j -0.00830765-0.0121175j 0.0054394+0.0186388j 0.003249-0.0142134j -0.000229066+0.00226351j 0.0195169+0.0073371j -0.00329751+0.00289662j 0.00846511+0.0108498j -0.000901562-0.00317761j 0.00921159-0.0155382j 0.000613325-0.00955874j -0.00324718-0.00563962j -0.00114008+0.00142651j 0.000678529+0.00669569j 
-0.00789355+0.00453035j 0.00437763-0.00509032j -0.00258606+0.00490606j 0.000998489+0.00106392j 0.00128374+0.000380917j 0.00125788-0.0003488j -0.00326952+0.00236264j -0.00132733-0.000548072j -0.00189068+0.00251889j -0.0107026+0.0114814j -0.0051961+0.00278267j -0.000120607-0.000524205j 0.00732932+0.00482399j -0.00348825-0.00345898j 0.00440749-0.00225741j 0.00629694-0.0100865j -0.00896713+0.00498841j 0.0137155+0.0131006j 0.00702473+0.0019715j 0.00295647+0.00354816j 0.00459053+0.00107873j 0.00121586-0.00323375j -0.00195924+0.00819586j -0.0180362+0.00187109j -0.00237742-0.00367446j -0.00253126-0.00783067j 
0.00110878-0.000737127j -0.00147144-0.00129696j 0.000225198-1.182e-05j -0.00386374-0.00456253j 0.00269868-0.000833417j -0.00367953+0.000768609j 0.00405894+0.00156249j -0.00468245-0.00293539j -0.00101784-0.00465577j -0.00310908-0.000470204j -0.000301274-0.00036323j -0.0102368-0.00239558j -0.00126682-0.00262207j -0.0129159-0.00116934j 0.00242317-0.00436025j -0.000947939+0.00803096j 0.00383457-0.000978081j -0.00305969+0.00217416j 0.0177706-0.00558966j -0.00959823-0.000812823j -0.00565357-0.00581346j -0.00425793+0.0123995j -0.00913901-0.00112657j -0.00719888+0.00404731j -0.0101014-0.000260969j 0.0063571+0.0123913j 
0.0252481+0.004205j -0.00173582+0.00569189j 0.0125813-0.00175367j -0.00995465+0.00825172j 0.0117467+0.0127673j -0.00537935-0.00559041j -0.000388245-0.00123278j 0.00400864-0.00185744j -0.0188208+0.00514155j 0.0108868-0.0131525j -0.00196749-0.00298906j -0.00290791-0.00444731j -0.0089618-0.0076398j 0.00706731+0.00633723j -0.00386858-0.000169227j -0.0105887+0.01122j 0.0105606-0.00468647j -0.0140377-0.0198027j -0.0106634-0.0032443j 0.000246986-0.00719678j -0.00335882+0.00117693j -0.00315118+0.00275366j 0.00408979-0.0080893j 0.0219159+0.00311717j 0.00380804+0.00424913j -0.00198185+0.00344352j 
0.00476007-0.000877039j -0.00168064-0.00077485j 0.0042116-0.00163856j -0.00113983-0.00124152j -0.00113837-6.3225e-05j -0.00251887+0.000293686j 0.00157162+0.000866026j -0.00256888+0.00238143j -0.00311608-0.000958288j 0.00236223-0.00811032j -0.00121082-0.00281652j -0.00596542-0.00464503j 0.000784646-0.00192759j -0.00630122-0.0096564j -0.00232578+0.0120275j 0.00205325-0.00193165j 0.00403838-0.000620599j 0.0047997+0.0040279j 0.00333838-0.000753094j -0.00172921+0.00944274j -0.005136-0.00360063j 0.00750848-0.0025444j 0.00160493-0.0095327j 0.00485962-0.00305288j -0.00692541+0.000992955j 0.00280432+0.0167439j 
-0.00526412-0.0024844j 0.00465545-0.000957364j -0.00369598+0.000372632j 0.00236508+0.00143237j 0.000410344-0.00176388j 0.000252324+0.00028586j -0.00303494+0.0005311j -0.000358034-0.000637209j 0.00178376+0.00235179j -0.0104764+0.00465365j -0.00357184+0.00184777j 0.00162213+0.00179687j 0.000349867+0.00537977j 0.00209404+0.000731956j 0.00333443-0.00431875j 0.00641363-0.00203659j -0.00688818-0.000505257j 7.13786e-05+0.0107429j 0.00112351+0.00382597j -0.000215-0.00202033j 0.00424931+0.00115242j -0.00139667+0.000487296j -0.00475129+0.00748159j -0.0134191-0.00425517j 0.00393393-0.00269933j 0.000286148-0.0123962j 
