3.49634e-05+0.00087028j 0.00101702+0.00179227j -0.000746635-0.000546609j 0.00139554+0.00195463j 0.00102978+0.00135483j 0.00206039-0.000758206j 0.00231515-0.000705947j -0.000525826-0.000703154j -0.00073783+0.00275298j 0.00244395+0.00714137j -0.000300966-0.00922212j -0.00706307-0.000720039j -0.000296509+0.00178436j 0.00274103-0.00807692j -0.0103814-0.00153652j 0.000421913-0.00162507j -0.000836679-0.000249388j 0.0135323+0.00178739j 0.00462342+0.00573531j -0.00188559+9.90513e-05j -1.17884e-05-0.00151116j 0.00632504-0.0130469j 0.00453271-0.00464025j -0.00653204-0.00624072j 
-0.000329636-0.00165269j 0.0029281-0.00112755j 0.00192855+0.00289025j 0.00537086+0.00448597j 0.000714734+0.000595927j 0.00848515-0.00746905j 0.00248244-0.00318185j -0.00522484-0.00533657j 0.00353872+0.00595181j -0.0109064+0.00232228j 0.00234795+0.00621563j -0.00699006-0.0186239j -0.000642688-0.00196327j -0.001922+0.00267328j 0.00246057-0.00613115j 0.0166249-0.00629491j 0.000476043+0.000333747j 0.00263547-0.000353152j -0.0122124+0.00517903j 4.45477e-06-0.00136084j 0.00665923+0.00763315j 0.00710982-0.00478636j 0.00431562+0.00898265j -0.00185288-0.00741639j 
-0.000987663-0.000918816j 0.00239771-0.00169226j -0.000459765-0.00775891j 0.00738329-0.00278986j 0.00460042-0.00357806j 0.00025614+0.0021344j 0.000787067+0.00497894j 0.0022955-0.00193265j -0.0135923+0.00855018j 0.00303252-0.00371584j -0.00507115+0.00927137j -0.000990488+0.00147252j 0.00115825-0.00202102j -0.00464991+0.00986144j 0.00114236+0.00200491j -0.000951632+0.00235704j 0.000572248+0.00234153j -0.00266958+0.00319935j -0.00148692+0.000371748j 0.00592662+0.00803869j -0.000734196+0.000560984j 0.0132991-0.0151247j 0.000503334-0.00764691j -0.0209058-0.0114412j 
-0.000189381-0.000500442j 0.00247347+0.00252475j 0.00229729-0.0019846j -0.00473699+0.00480505j 0.000603981-0.00136636j 0.000264457-0.00308721j 0.00015475+2.39924e-05j -0.0059494+0.00560932j 0.00332943-0.00090495j -0.004036+0.015161j 0.00718914-0.0106157j -0.00441644-0.00168189j 0.00196651+0.00564475j 0.00341269+0.00404021j -0.00758962+0.000848442j -0.000294395+0.00476582j -0.00340491-0.00784964j -0.000203367+0.00466759j 0.00788688-0.0110653j 0.000148993-0.00345795j -0.00384048+0.00543037j 0.000822569+0.00564432j -0.0200999-0.00389273j 0.0120536+0.00818091j 
0.000455398+0.00104706j -0.0128236-0.0072935j -0.00846834+0.0145006j -0.00150273+0.000602681j -0.0127198+0.0014483j 7.4131e-05+0.000833345j 0.00219382-0.00147054j 0.0071121+0.000504758j 0.0127046-0.00368402j 0.00453446-0.00394207j -0.00394198+0.00596743j 0.000872645+0.00375482j 0.000433029-0.000221424j 0.00307774-0.0109443j 0.0065388+0.000781616j -4.03816e-05+0.00139589j 0.00184089+0.00683831j 0.00557221-0.00432407j -0.0079706+0.00650309j -0.0013231-0.00169795j -0.00412374-0.0041677j -0.0070168-0.000575659j 0.0107774+0.00932065j 0.000859202-0.000773768j 
0.000347081+0.000615534j -0.0109328-0.00727987j -0.00842034+0.0138149j -0.00434385+0.00049593j -0.0163181+0.00401567j 0.000823657-0.00236927j 0.00438722-0.00398702j 0.00417033+0.000130304j 0.0216702-0.00398305j -0.0040825+0.00149652j 0.00849318-0.0117656j 0.00273008-0.00292981j -0.00265921-0.000751719j 0.0109892-0.00341957j -0.00412101-0.00292031j 0.0032724-0.00385467j -0.00175727-0.00391937j 0.00362596+0.00530143j 0.00326099-6.39334e-05j -0.00261652-0.00697297j 0.0067529+0.0015268j -0.00606583+0.00319604j -0.004153+0.00388962j 0.00919728+0.00967234j 
0.000420046-0.000108014j -0.013093-0.00936626j -0.0109577+0.0137035j -0.0251158+0.00370496j -0.00182825-0.00247133j 0.00291129-0.000892177j -0.00205905+0.00262106j -0.0201111+0.00482834j 0.0142345-0.00147708j -0.000701067+0.000564064j 0.00270156-0.0042619j -0.000341639+0.000328452j 0.00234843-0.00260525j -0.0179643+0.0149241j -0.00812745+0.000810146j 0.00347521-0.00192749j -0.000599482-0.00722987j -0.0123527-0.00672061j 0.00805298-0.00609794j -0.00154477+0.00963506j 0.00238424+0.0107878j 0.0159237-8.62824e-05j -0.00991624-0.0168919j -0.00630708-0.0147717j 
1.47512e-05-0.000129413j 0.00973147+0.0074207j 0.00622326-0.00832628j 0.00394707-0.00329269j -0.0250522+0.00170841j -0.00193542+0.00116761j 0.00402553+0.000951727j 0.0183105-0.00425309j 0.0172171+0.000968949j 2.75234e-05+0.000636861j -0.00123139-0.00170958j -0.000277918-0.000238521j 0.00226178-0.00138412j -0.0139833+0.00954447j -0.00590985+0.00165074j 0.000616409-0.001203j 1.62951e-05-0.00476196j -0.01008-0.00702276j 0.00588381-0.00472827j -0.00242819+0.00814907j 0.00329534+0.00674141j 0.0109145+0.000714811j -0.00531705-0.0133334j -0.00472692-0.0124209j 
0.000981455-0.000799128j 0.00131652-0.00305423j -0.00213033-0.00101989j 0.000586504-0.000508153j -0.00121632-0.00132241j -0.000749665-0.00163407j 0.000377385-0.000840505j -0.000711061+0.0014261j 0.00360956+0.000878371j 0.00361789-0.00815027j 0.00347124-0.00715312j 0.00717328+0.00135633j -0.00160574-0.00498364j 0.00840303-0.0047069j 0.000586723-0.00109291j 0.00530805-0.0051518j -0.000661657-5.75482e-05j 0.00389005+0.00220571j -0.000168828+0.0033527j -0.00172535-0.00658352j 0.00904072+0.00245362j -0.00916179-2.69098e-05j 0.00409247+0.00877977j 0.00345324+0.00786416j 
0.000298262-9.62492e-05j -0.00732332-0.00977549j -0.0089287+0.00585944j -0.0135239+0.00313951j 0.0186482+0.00157327j 0.00380103+0.00044933j -0.0046365-0.000469391j -0.0207047-1.48327e-05j -0.00865064-0.00407071j -0.00485562+0.0142027j -0.00570987+0.0117416j -0.0141628-0.00128929j 0.00034719+0.00926511j 0.000987777-0.00261523j 0.00468069+0.00312063j -0.00803085+0.00663142j -0.000371598+0.00506144j 0.00306557+0.000635496j -0.00656083-0.00111661j 0.0036951+0.00238928j -0.0161759-0.0109699j 0.00122223-0.000366863j -0.00270258+0.00168566j 0.00115197-0.000452212j 
0.00013607+7.0291e-05j -0.00944584-0.0133289j -0.0142193+0.009765j 0.0162047-0.00189501j 0.0166102+0.00484054j -0.0021941-0.00019604j -0.00283067+0.0002531j 0.000491765-0.00259218j -0.0241731-0.00574189j 0.00971746-0.0157161j 0.00648287-0.0156024j 0.0148326+0.00248431j 0.0013606-0.0118916j -0.00642013+0.00458437j -0.00784835-0.00437298j 0.0122042-0.00862776j 6.87583e-05-0.00732977j -0.00264412-0.00100731j 0.00987182+0.00191712j -0.00354157-0.00255785j 0.0195271+0.016043j 0.000671721+0.000535601j 0.00448056-0.00206378j -0.00288461-0.000515113j 
0.000588622-0.00032727j -0.0044616-0.00907084j -0.0116336+0.00553558j 0.0177501+0.0049109j -0.00589718-0.00185152j -0.0004786+0.00112151j 0.00303528+0.00100222j 0.0179993+0.00410245j -0.00697095-0.00137395j -0.008314+0.0122042j 0.00529492+0.000766659j -0.00806099-0.00492409j 0.0009056+0.0056142j -0.0065863+0.00424379j -0.00564199-0.00445754j -0.00231098+0.001692j 0.00214531-0.00525343j -0.00247653-0.00148024j 0.00694902-0.00147746j 0.000142556+0.0011379j -0.00447449+0.00254583j 0.00342705+0.00427341j -0.00491773-0.0116743j 0.00205085+0.00147407j 
0.00103738-0.00077024j -0.00651025-0.0150898j -0.0178503+0.00734264j 0.0147796+0.00486193j -0.00886357-0.00201016j -0.00140671+0.00168358j 0.00368604+0.000309342j 0.0176539+0.00571119j -0.000336797-0.0019017j -0.0045092+0.00105857j -0.0122182+0.00884854j -0.00354587-0.00367723j -0.00223428+0.00372798j 0.00103658+0.000480639j 0.00385198+0.00415958j -0.0083559+0.00281246j -0.0013442+0.00568444j 0.000365947+0.000721252j -0.00701537-0.00213568j 0.00219526+0.00507375j -0.00389206-0.0119499j 0.00294115-0.00339396j 0.00233052+0.00144449j -0.00563472-0.00486352j 
-0.000289098+0.000280556j 0.00252975+0.0028691j 0.00268137-0.00212612j 0.00546057+0.00310905j 0.00467377+0.00510661j 0.000838169+3.74851e-05j -0.00042372+0.000263159j 0.00148007-0.00205598j -0.00973892-0.00620664j -0.00866205+0.00737777j 0.0158697-0.00451586j -0.000737347-0.00382489j -0.000533936+0.00275328j 0.00262822+0.00260947j -0.00454458-0.00716988j 0.00323155+0.00101539j 0.00331286-0.00802807j -0.000283262+0.00330689j 0.0101989+0.000207642j 0.00268672-0.00730698j -0.00131248+0.00739393j -0.00953833+0.00398618j -0.00932792-0.00706917j 0.00476866+0.0189788j 
0.000507239-0.000128486j 0.00281107-0.00190454j -0.00562861-0.00267916j 0.00947006+0.00969862j 0.00265184-0.000567056j -0.0013393+0.0029855j 0.00103965+0.00144415j 0.0101272+0.00844483j -0.0108861-0.00606885j -0.01709+0.00951131j -0.000978349-0.000268212j -0.00511139-0.00939573j -0.00517628+0.00871339j -0.00201122+0.00188325j -0.00475497-0.00260646j -0.0122966+0.00221433j 0.000741731-0.00339222j -0.00124229+0.00216038j 0.00766701-0.00472219j 0.000794465+0.00184901j -0.00612094-0.011008j -0.000437483+0.00666241j -0.00557489-0.0129974j 0.00402124+0.00738683j 
-3.70843e-06-0.000198905j -0.000559192-0.00165534j -0.00111501+0.0015539j 0.00385017-0.00167115j -0.000128178-0.000465609j 0.00115431-0.00134012j 0.000595012-0.000859552j 0.00130951-0.00248825j -0.000618144+0.00313163j 0.00433019+0.00362074j -0.000922055+0.000375251j -0.00290427+0.000294604j 0.00314814-0.000246212j -0.000148724+0.000120632j 0.000278031+0.000800605j 0.00410754+0.00137658j -0.00147564+0.00063718j 0.00112222-0.000211923j -0.00461536-0.000980737j -0.000548493-0.000103521j -0.000244352+0.0038832j 0.00420707-0.000493789j -0.000978498+0.00559447j 0.0021869-0.00546657j 
