0.0385903+0.00952745j 0.0490274+0.0213948j 0.00593251+0.0351203j -0.0307243+0.0454143j -0.00728206+0.0195264j 0.00100832-0.000575513j -0.0909845+0.0343195j -0.0028503-0.000853168j -0.026793+0.0136647j -0.0173072-0.00215987j -0.06608-0.0035696j 0.0141425-0.00502697j 0.000866252+0.0149688j 0.0373005-0.0182785j -0.0543484-0.0174453j -0.0327965+0.00675589j -0.0312565-0.0208843j 0.00831153-0.0175275j 0.00228855-0.0277695j 0.0273503-0.0197782j 0.032617-0.0222037j -0.0110118+0.0180014j 0.0244127+0.00232736j -0.028434-0.0256467j -0.00805682-0.00100933j 0.00547263+0.0103179j 0.0106347+0.0354669j 0.0312312+6.70096e-05j 0.00126537-0.00278483j -0.0160205-0.0261282j 0.0264498-0.0204921j 0.0225821+0.0177777j 0.010595+0.0131098j 0.0190588-0.00129206j -0.00417215+0.0119371j 0.00024866+0.00579365j -0.0174673-0.00514645j -0.0135362+0.00957797j 0.000152556-0.0209085j 0.0184381-0.00113316j 0.00131589-0.00503085j 0.00582667+0.0126856j 0.00437002+0.0164848j -0.0180811+0.00765549j 0.000459578-0.0398086j -0.00606455+0.00101773j -0.0104371+0.00827279j 0.0218617+0.0155182j 0.0203016-0.00559875j -0.00737009-0.00660663j 0.0205675-0.00255788j 0.0149541-0.0322183j -0.00499192+0.0119379j -0.00459542-0.0134337j 0.0312052+0.00396689j -0.0121621-0.00464821j 0.0163825+0.0154533j 0.00285752-0.0313546j 0.0110089+0.029218j 0.0179617+0.0231047j 0.0507008+0.0298886j 0.0206906-0.0435392j 0.00814864-0.0245138j 0.0121036+0.0334812j 0.0147401+0.012371j -0.0105397+0.0352339j -0.00311262-0.00727574j 0.0148693+0.0127456j 0.0105537-0.0035214j -0.00653848-0.00759005j 0.042685+0.000485906j 0.0591675+0.0146945j 0.0263935+0.0133011j -0.00731041+0.0397011j 0.000886362-0.0670928j 0.0312154-0.00557921j 0.0315542-0.0475314j -0.0222751-0.0850442j -0.0507228-0.0349508j 0.00500998-0.0772382j 0.0992288+0.0174204j -0.0177278+0.0559836j -0.0739292-0.0615377j 0.0892339-0.0131011j 0.0202482+0.0187553j 0.0904222-0.0019214j 0.00918197-0.0198757j -0.0683324-0.0345889j 0.0330952+0.0773363j -0.0320902-0.0585977j -0.0709739+0.0248983j -0.070698-0.0454053j 0.00397906-0.0250648j -0.0226307-0.116955j 0.0976098+0.0571227j -0.0401934-0.0847725j -0.254649-0.142727j -0.0731619-0.163843j 
0.0104481-0.0131003j 0.00958562-0.00451241j -0.0081398+0.0176908j 0.00347703+0.0203312j -0.0163841-0.00144709j -0.0196793+0.000412916j 0.0131309+0.0182251j -0.017907+0.0177204j -0.0091693+0.00506656j 0.0286942-0.0115865j 0.00855999-0.0239729j 0.00210491+0.00437371j 0.0183464+0.0378716j 0.00102001-0.0512448j 0.00437168-0.0350665j 0.0214278-0.0376744j -0.0244742-0.0140166j 0.0180186+0.039011j -0.0110003-0.0525018j 0.00147941-0.0124876j 0.00847389+0.0143713j 0.0202771-0.0581293j -0.0104035-0.000284448j 0.0779055+0.0512932j -0.0155433-0.0108435j -0.00506928+0.0198532j -0.0360003+0.00459679j -0.0180798-0.0335523j -0.00199845+0.0227959j 0.0435129+0.0469572j 0.0286344-0.0227282j 0.0414927-0.00526644j 0.0521053-0.0465325j -0.0103216-0.00622436j -0.00396319-0.0273685j 0.0800231+0.00474172j 0.0271833-0.0394455j -0.022879-0.0385441j 0.0475207-0.0343025j 0.110592-0.0581362j 0.0164973-0.00345687j 0.036506+0.0391294j 0.00166153+0.0213235j 0.0412176-0.0168862j -0.057045-0.102309j -0.0567161-0.0524234j 0.00694361-0.0470032j -0.0434089+0.0230064j 0.13846+0.0430494j 0.00141017-0.0106887j 0.0517838+0.0424307j 0.0914138-0.141823j -0.0757817-0.0231624j 0.0451119+0.130475j 0.0658332-0.0862512j 0.0143498-0.115691j 0.113801+0.0176904j 0.00952255-0.0292146j 0.103902+0.113316j 0.0358833-0.0202043j 0.0236648-0.0281322j 0.0659788+0.0780998j 0.0214044-0.0706163j -0.00860971+0.11245j 0.0132237-0.108239j 0.0574114+0.0181252j -0.0169582-0.0255421j -0.0363285+0.125262j 0.0403298-0.047318j -0.0707657-0.0361456j -0.083614+0.00685525j 0.0294905-0.0453747j -0.0883732+0.157374j -0.0280307-0.0251805j 0.0571933-0.0610709j 0.0504749+0.0703624j -0.120475+0.00115495j 0.0691721+0.0449664j -0.0641482-0.0483344j -0.0320754-0.0660089j 0.029639-0.0018735j 0.0950882-0.0272579j -0.00775779+0.0179067j -0.0475528+0.0559052j -0.0107766-0.014467j 0.113714+0.123417j 0.0424869+0.0679225j -0.0186137+0.0272161j 0.0432756-0.0200564j 0.0716796+0.0539913j 0.00787326-0.0269333j -0.0394235-0.0663883j 0.0103314-0.0913785j -0.0467805-0.0159647j 0.026663-0.00589611j -0.0339324-0.0284572j -0.0165745+0.0126142j -0.0342614-0.0327728j 
-0.00420557+0.0174348j -0.00766483+0.0320696j 0.0150437+0.019379j 0.00383948-0.0284759j 0.00978501-0.0102631j 0.0166118+0.022888j -0.0118465-0.000782338j -0.0129166-0.00151789j 0.0259336-0.0370585j -0.0122507+0.0213888j -0.0167358+0.0257389j 0.00569565-0.0127404j -0.0200275-0.0236604j 0.00880599+0.00312389j 0.0104415-0.0148479j -0.0158041+0.0492775j 0.0152348-0.011313j 0.0173952-0.059738j 0.0382557-0.00101247j 0.0663974+0.0191635j -0.00383057+0.00852929j -0.00323828-0.0185829j 0.036513-0.0205207j -0.0213387+0.0149309j -0.0411403+0.021115j 0.0220937+0.0101154j 0.00925701-0.0176158j 0.011599-0.029871j -0.0412094-0.0391886j 0.0415795-0.020934j 0.0223318-0.0190034j 0.0196194+0.0478306j -0.0211425+0.0396203j 0.00760844-0.0596862j -0.0221344-0.0482275j -0.0317315+0.062742j 0.0664298+0.0408433j 0.0272553-0.0124975j 0.0147401-0.0486524j -0.0133221+0.00782696j 0.0637169-0.00648819j 0.0832042-0.0461113j 0.0630924+0.0306416j 0.0319408-0.0760473j -0.0349378-0.0538687j 0.0646542-0.00169368j 0.00327549+0.0384444j -0.0318789+0.00835137j 0.118923+0.0709712j -0.0653494+0.0634486j 0.0910323+0.0420394j 0.00166589-0.104089j -0.0240992-0.0281549j -0.0496887+0.104229j 0.0255518-0.0850475j -0.0389241-0.069998j 0.0581644+0.085575j 0.0122397-0.0203408j -0.0116822-0.00639644j -0.0333658-0.0856561j 0.0112673+0.0168268j 0.0894659+0.0161444j 0.0127394-0.115981j 0.0272793+0.0674813j 0.00930454-0.130969j 0.0735177-0.053934j -0.109981+0.0602693j -0.0801634-0.0340874j -0.0195789-0.113001j -0.115731-0.0639245j 0.051804-0.0265651j -0.0245836-0.0358158j -0.00210198+0.00783571j -0.0535017-0.0257487j 0.072005+0.0493445j -0.0697031-0.053012j 0.0132855-0.11563j -0.02301-0.00860401j -0.0730922-0.0399914j -0.0808389+0.0169239j 0.0270918-0.0092241j 0.0234557-0.0733525j -0.00117132+0.0219181j 0.0664078+0.00162842j 0.0915098-0.0512456j 0.0759424+0.0794591j -0.0193686-0.069294j 0.0975252-0.0105103j 0.0148247+0.0940429j -0.0542542-0.0528724j -0.00400176-0.0493444j -0.0493316+0.0872014j -0.0631756+0.0239203j 0.0445996-0.0349381j 0.0179794-0.00968139j 0.0117257-0.0770316j -0.0488913-0.0400454j -0.00547861-0.02424j 
-0.00621011+0.00946067j 0.0126872-0.0087783j 0.00465289-0.0123355j -0.0159131+0.0379816j 0.0238095+0.00964518j -0.0187775-0.00971793j -0.018792+0.0334865j -0.0104103-0.0315171j 0.00265741+0.0410733j -0.0314899-0.00314089j -0.00410594+0.017967j 0.0438318+0.0387774j 0.0648608-0.00918687j 0.0270328-0.0213867j -0.00201267-0.0174614j -0.00212505+0.0095068j -0.0125697+0.0275837j 0.0500723-0.0152631j -0.0143199+0.0934392j 0.0676589-0.0396413j 0.0197084+0.0332741j -0.0156786-0.0700041j 0.0435291-0.0458856j -0.0122835+0.0177832j 0.00366201-0.0404878j 0.0258236+0.00726064j 0.0608252-0.0647241j 0.0249372+0.0486476j 0.0458348-0.0359432j -0.0178115-0.0326382j -0.00253086-0.0834884j 0.0164523+0.0564919j -0.0102064+0.0299076j 0.00780592+0.00561783j -0.0206486-0.0290636j 0.0415461-0.0406867j 0.0802962-0.0571703j 0.0223043+0.059796j -0.0299152-0.0339578j -0.0399213+0.0757588j -0.0414059+0.0610373j 0.0959582-0.00427832j -0.0859291+0.058576j 0.0222379-0.0308527j -0.00288758+0.00827177j -0.0148758+0.00320346j -0.00736745-0.0432864j -0.0805162-0.0585894j -0.00315982+0.0124707j -0.0355689+0.0267772j 0.0227043-0.0314267j -0.050287-0.0595817j -0.00189794-0.0139458j 0.0138111+0.0642329j 0.0944393-0.0673412j 0.0161401-0.048834j -0.0612106-0.000947188j 0.0402275-0.0739061j 0.00160598-0.0774763j 0.0380199+0.00124749j -0.0417944+0.053302j 0.0354909-0.0839132j 0.0322751-0.0884882j 0.0701279-0.0772336j -0.0791948-0.0285842j -0.0465223-0.0549952j 0.0132523+0.112026j 0.00708757-0.0974464j 0.00271467-0.0964022j 0.0579207-0.0662623j 0.039175+0.0276076j -0.0592938-0.0199376j -0.037227+0.025381j 0.0321667-0.0667042j -0.0120733+0.0884376j -0.100186-0.138718j 0.0608946-0.0127038j -0.105633-0.0202228j -0.0608522-0.0910519j -0.0805072+0.0472278j -0.0310484+0.0733984j -0.0271052-0.0489642j -0.0296471-0.0119153j 0.00216705+0.00784376j 0.124588+0.0349248j 0.0053202+0.0346034j -0.0452611+0.00622079j -0.0511422-0.0508135j 0.0909682+0.00927925j 0.00352217+0.0643002j -0.00174648+0.0281498j -0.0175694-0.0171053j -0.0123783+0.0188032j 0.0466983-0.00820506j 0.00921368+0.0309162j 0.0420616+0.00109742j -0.031232-0.029557j 0.0218395+0.0173247j 
0.00718165+0.000655748j 0.0159087+0.0108015j 0.0126355+0.00583558j 0.0149448-0.00526072j -0.00571295-0.0201262j -0.00450546+0.03124j 0.031033-0.0286477j -0.00649776+0.000723932j 0.0346862-0.0319423j -0.013684+0.00259482j -0.0159748-0.00743578j -0.0269111-0.0335457j 0.00461886-0.00186227j -0.0211582-0.0188088j 0.016071-0.01636j 0.0161873-6.70743e-05j -0.0254725-0.00446806j 0.0553733-0.0236869j -0.0341152-0.0211178j -0.0115853+0.0197397j 0.0283535-0.0250387j -0.0032741-0.00600238j -0.00442334+0.00615907j 0.00736326+0.0469208j 0.0110087-0.0343418j -0.0593566-0.0865712j 0.0213661-0.0200471j -0.0096815-0.00428033j 0.0242662+0.0778823j -0.00305332+0.0521596j 0.0812201+0.00632049j -0.0148288+0.0520393j 0.0777446-0.0462507j -0.00192557-0.00771036j -0.0161569+0.0438481j -0.0611232-0.00435545j -0.0399952+0.0051054j -0.0128041-0.139755j 0.0512633-0.0109142j 0.0129959-0.0490927j -0.078672-0.0119603j -0.122567-0.00377722j -0.0713826-0.133423j 0.0213141-0.0331276j -0.0331107+0.0124025j 0.0520699+0.0268749j -0.0825118-0.0301416j 0.0304137+0.00530948j 0.0252471-0.0309173j 0.139425-0.0657817j -0.0192472-0.0303507j 0.0890259+0.0149257j -0.0059548+0.0543536j -0.000517836-0.105813j 0.0265196+0.0765724j 0.0592648+0.167517j 0.0605093-0.0144026j -0.122499-0.0290383j 0.0319485+0.0447471j 0.00285207+0.0433568j -0.0316035-0.0142322j 0.0528553+0.0313507j -0.0304905+0.0130118j -0.00750153+0.0771295j 0.0920086-0.091958j 0.0312451+0.0151939j 0.0125253-0.118609j -0.0735657+0.0801138j 0.0525424+0.0377842j -0.0592988-0.00434745j 0.0134585+0.118457j -0.0389632+0.0324284j -0.0233778+0.0831426j 0.038386+0.0198077j -0.0641071-0.0668705j 0.0294364+0.0193379j 0.0849552-0.0716058j 0.0801671+0.000115805j -0.00434206+0.00852746j -0.0647492+0.012187j 0.0332772-0.0228883j -0.0349505-0.0254941j -0.0628569+0.00522637j 0.0549559+0.0480956j -0.0167046-0.0408643j 0.0609584-0.00560986j 0.0353872+0.0879077j 0.0522593+0.0203018j 0.0576614-0.0303623j 0.0391849-0.0521752j -0.0465448-0.0537941j -0.00710536+0.0785445j -0.0719001-0.0131874j -0.0190649-0.00560279j -0.0201182-0.0305605j -0.0245864-0.0310152j -0.00331908+0.0238692j -0.0247982-0.0238889j 
0.0244399-0.00947009j 0.00235185-0.0104088j -0.0146686+0.0327489j -0.00762342+0.0206304j -0.0233574-0.00103576j -0.0140519+0.0144176j -0.0158594+0.0311151j -0.0215859+0.0297983j -0.0103256-0.0199041j 0.031692-0.0397499j -0.0317059+0.00638451j 0.0113182+0.0190647j -0.0051637+0.0572724j 0.0298886-0.00928021j -0.0272531-0.0473683j 0.0198523+0.059536j 0.0102372-0.0547543j 0.0171339+0.0627246j 0.0040647-0.0745429j 0.0568903-0.0121238j 0.0295689+0.0194681j -0.0662498+0.0281316j 0.0545274-0.00998125j 0.024982-0.0627425j 0.0368798-0.0116508j 0.0196045-0.0296185j -0.00598881+0.0362287j 0.00210998-0.0473516j -0.0915953-0.0136105j -0.0820251+0.086499j 0.0436161-0.0419924j 0.0202962+0.0307514j -0.0509095-0.0428491j -0.103516+0.0117562j -0.0541477+0.0531208j 0.0140814+0.027542j 0.0389525-0.0451597j -0.0290506+0.0620681j 0.0119646+0.0177692j 0.0217464+0.0533727j 0.00578885+0.00642776j -0.00229529-0.0332512j -0.117848+0.0479897j 0.0313084+0.0758023j -0.0725667+0.0339307j -0.0116086+0.0913258j -0.0508555-0.14435j 0.0950257-0.0524559j -0.0731564-0.0558346j 0.0580357+0.0783581j 0.0132067-0.00210933j 0.0182065-0.0618414j 0.0659951-0.0692589j 0.0148507-0.0108341j -0.108933+0.0514862j -0.102671+0.00680979j 0.0145375-0.0832042j 0.0852024+0.0246635j 0.0305026-0.0569438j -0.0779716+0.0968488j -0.0304839+0.00335401j -0.0693245+0.030156j 0.0643931-0.0176903j 0.0630114-0.0752224j 0.0189004+0.164866j -0.0381692+0.0328258j 0.0663927+0.0294256j 0.00263749-0.104875j -0.0736765+0.0697855j 0.116993-0.0095044j -0.0243083-0.0108293j 0.0238798+0.0149375j 0.0273414-0.0714154j -0.0290689-0.0393394j 0.0608692-0.0161173j -0.0835168-0.0164744j 0.0450531-0.0942622j -0.00972064+0.0414312j -0.0305513-0.0460143j 0.043216+0.0695299j 0.00438765+0.0361796j -0.0352971+0.0091776j 0.068085+0.0719058j 0.0301438+0.0168333j 0.0525817-0.0283802j 0.0407288+0.0118895j -0.00796238-0.0383935j -0.00424481-0.0185816j 0.0207729+0.0743341j -0.0501133+0.0407038j 0.0190463-0.047081j -0.064076+0.0140005j -0.0261399-0.0462184j -0.0152112+0.0213248j 0.0104084+0.0153875j -0.00434221-0.0493108j -0.0249462-0.00172282j -0.0317504-0.0139163j 
-0.0185201-0.00984474j 0.0124414+0.0129733j -0.0107374-0.00314766j 0.00784572-0.0043669j -0.017283-0.0199857j 0.0366458+0.0102452j 0.0143538-0.0307326j 0.0220943+0.00109873j 0.00038371+0.00930145j -0.055354-0.003585j -0.0331168+0.0185146j -0.00279481-0.00512878j 0.0121906+0.012354j -0.0415022-0.00887725j 0.0261201-0.0208795j -0.0218444+0.0342347j -0.0168581+0.0593028j -0.0480225-0.0721599j 0.000530791+0.0407977j -0.00878526+0.00566607j -0.00254182-0.122112j -0.0217443-0.118715j 0.0385926-0.0194071j -0.0399855-0.0030382j -0.0620733-0.00477665j -0.00990736-0.0743137j 0.104426-0.0287097j 0.0822207-0.0326435j 0.0984893-0.0822138j -0.00329528-0.0598619j 0.0576272+0.0492355j 0.0559469+0.00462805j -0.0700517+0.0604175j -0.0214166-0.0221885j 0.0287487+0.0270352j -0.0420366-0.0416913j -0.055133-0.0617692j -0.0780231-0.105109j 0.0677109-0.0021191j 0.0989198-0.0300636j 0.0412509+0.104447j -0.0324457+0.0756097j -0.170196-0.114884j -0.0201397+0.140135j -0.101784-0.0628587j 0.050477+0.0119866j -0.0228785+0.0185704j 0.0721416-0.0506838j -0.0896442-0.0154807j 0.0136217-0.146667j -0.0420351-0.0152683j 0.0180276-0.062059j 0.0727774+0.0282j 0.0190367-0.090011j -0.174556+0.0922228j -0.0783938+0.0912375j -0.143822-0.215573j -0.0117913+0.0938767j 0.073248+0.054545j 0.0223515+0.0364271j 0.0237111+0.0510354j -0.098091-0.0353337j -0.00886478-0.082772j 0.0646997+0.0180648j 0.0224199-0.0324544j -0.0891851-0.0396863j 0.0318539-0.116363j -0.0385884+0.0265509j -0.0105592+0.100264j 0.0832937+0.0375747j 0.0213641-0.00658173j 0.0363296+0.0670536j -0.0201467-0.0683392j -0.0511828+0.00178345j -0.0356477-0.0456837j -0.00277469-0.00620952j 0.0235039-0.098273j -0.119062+0.0794504j -0.0616002-0.0812693j -0.006082+0.0226536j 0.0228993+0.0666544j -0.00160439-0.0132071j -0.00356669-0.0104592j 0.0151811+0.039193j 0.0820779-0.0189157j 0.0703564+0.0522097j 0.0089163-0.0189967j -0.00189048-0.0255647j 0.0508869+0.0278657j 0.000151004-0.0368717j -0.00302387-0.0351762j -0.0396144-0.022084j -0.00628073+0.0298868j -0.00463123-0.0123108j 0.0149992+0.0456888j 0.00515738-0.0307163j -0.0417239-0.0276644j 0.0376406-0.0202025j 
0.0152582-0.018381j -0.0125129+0.0012991j 0.00146923+0.00436796j 0.0200857+0.0143343j 0.00334979+0.00677924j -0.00701075+0.0105507j 0.00316242-0.00893537j 0.0082748+0.00154337j 0.0092153-0.0345566j 0.023825-0.0155983j 0.0297359-0.0302654j -0.02445+0.0204884j -0.0258105-0.0131409j -0.012481-0.00105485j -0.0390955-0.049032j -0.00770837-0.0527938j -0.00516053-0.0353425j -0.0433375+0.0417516j -0.0177739+0.0207202j -0.0279558-0.00110808j -0.0628195+0.0317197j 0.0555418-0.0558435j -0.0297455-0.0169j -0.0113444+0.0150135j -0.0306682+0.00916393j -0.0117097+0.00727338j 0.0180021-0.0171863j 0.0577216-0.0323659j -0.0789294-0.0446787j -0.0203251+0.0405659j -0.0559853-0.0853961j 0.0468785+0.00577343j 0.059567-0.0917453j 0.0363251+0.0324432j -0.0324046-0.133788j -0.00338636-0.0232874j 0.0062542-0.0419282j 0.0186213+0.0747772j 0.0276068-0.00359418j -0.0298681-0.0455339j 0.0586017-0.0751332j 0.0474623+0.059774j 0.0584155-0.000949201j 0.0581279+0.142005j 0.0818771-0.0915277j -0.0430614+0.0236471j -0.0364497-0.111791j 0.225443-0.0372208j 0.000554915-0.176542j 0.130646+0.0540058j -0.192571+0.0707482j 0.0493999-0.145542j 0.0615293-0.0196441j 0.149292+0.0568639j 0.0341591+0.0751237j -0.0620391-0.086095j -0.0109801+0.0415067j -0.0389281-0.0206094j -0.213088-0.0760891j -0.0853218+0.0780636j 0.0543347-0.0886161j -0.130906+0.0878157j -0.136064+0.13325j -0.131258+0.00870924j -0.060499-0.0204029j -0.129199-0.0313177j -0.0111878+0.0315097j 0.031127-0.0038091j 0.0845233+0.00960124j -0.050113-0.0329072j 0.0141317+0.049951j -0.0188642-0.0347603j -0.0360025-0.0165858j 0.0114432-0.0260545j 0.000860632+0.10616j 0.0482753+0.0359424j 0.0304329-0.0275125j -0.0328437+0.0373576j 0.0236713-0.00877592j -0.0859284+0.00460255j 0.0236122+0.00198228j -0.0172172-0.0497356j -0.0544633+0.0143186j 0.013349+0.018561j 0.0189425+0.0754323j -0.0613237-0.0261034j -0.00240806+0.0347327j -0.00716806-0.00467084j 0.0158487-0.0398995j 0.00636083+0.0227436j -0.0306746-0.0143975j 0.0370603+0.00290154j -0.0253+0.0110572j 0.0336188+0.00276347j -0.0177338+0.0118735j 0.0322199+0.0115165j 0.0013224-0.0103946j 0.0250363+0.0320044j 
0.0111127+0.0101427j 0.0059846+0.00339757j 0.00239112+0.0142872j -0.00405596+0.0212876j 0.0248406+0.0382608j -0.0315825-0.00850768j -0.0519397+0.0135575j -0.0105164-0.00720884j 0.00603054+0.00573962j 0.00562147+0.0308065j -0.0190905-0.0110214j -0.0185275+0.0496766j -0.0140727+0.0143617j 0.00383255+0.00759222j -0.0636043-0.00192614j 0.0122513+0.0138839j 0.0226238-0.0382132j -0.00381214+0.0448938j 0.013248+0.000921634j 0.0525998-0.0369496j 0.039533+0.00496922j 0.024734+0.0018845j 0.0239512+0.0350347j -0.050908-0.0319606j 0.0270529+0.00932429j 0.0278122-0.0371437j 0.00603487+0.0700178j 0.00314226-0.0800832j -0.00279403+0.0627095j 0.0228637+0.060535j 0.0509039+0.0127247j -0.0325679-0.0626431j 0.047612-0.0111486j -0.111256-0.0214043j -0.131168-0.0800328j -0.115815+0.0474706j -0.0820472+0.0550981j -0.0492397-0.0834954j -0.0486269-0.0586393j 0.00477994+0.0675498j -0.0187568+0.0282451j -0.0184615-0.0838761j -0.073094-0.000506973j 0.0294905-0.0580812j -0.00554971+0.0883232j 0.0551173+0.0408458j -0.0251808-0.0608669j -0.0824525-0.0212408j 0.113196+0.0884444j 0.022607+0.0203292j -0.0232911-0.025571j -0.0872263+0.0297501j 0.0939852-0.0104925j 0.0596117-0.0828162j -0.0841172+0.0186285j -0.0600641+0.0427076j 0.0326228-0.0817326j 0.00530954+0.141178j 0.063666-0.0426946j -0.0146189-0.00735435j -0.0323255+0.0344244j -0.0427847+0.0707481j -0.0848956-0.0683503j -0.0358739+0.0162866j 0.0258983-0.0598719j 0.0229409+0.0961113j -0.0745724+0.0434292j -0.0382534-0.0492173j 0.0544691-0.0132705j 0.0374603-0.0664851j 0.100741-0.117936j 0.00945683-0.143722j 0.0102822-0.0733138j -0.00252305+0.00844852j 0.00509381-0.0875893j -0.0740287-0.0149357j -0.00176862-0.0403746j -0.0834638-0.0708774j -0.035179+0.0358862j 0.0325815+0.0547805j -0.022181+0.06776j -0.014974+0.0295598j 0.0911996-0.0156874j -0.00893898+0.0618514j -0.00415553+0.026084j -0.0290436-0.0399902j -0.0193034+0.0325165j -0.0606793-0.0194161j 0.0725222-0.0109726j 0.00500346+0.0285936j -0.0417982-0.00466181j 0.0046155+0.047219j -0.0527323+0.00200452j 0.0349843+3.74307e-05j 0.0114454-0.00755635j 0.0159486-0.00549228j -0.0297192-0.00267772j -0.0368277+0.00595849j 
0.00169016+0.00276278j -0.0203083+0.0157216j 0.0179121+0.00331216j 0.0242797-0.0230097j 0.0155031+0.00409098j -0.0227158+0.0245762j 0.0221817-0.039466j 0.00208398-0.0107127j 0.0198045-0.00503765j 0.0335042-0.00476217j 0.0296194-0.0362997j -0.0349917-0.0330214j 0.00408401-0.00519304j 0.00498216+0.00664425j 0.021722+0.00225248j 0.010386-0.0316159j -0.0321755+0.0567056j 0.023101+0.059868j -0.0363403+0.046573j -0.0211184+0.0117888j 0.0031949-0.0631534j -0.0622399+0.0279475j -0.00283693-0.0196386j -0.0131633+0.00329717j -0.00175712-0.0259713j -0.0221424-0.0143496j -0.0217195+0.0109733j 0.0344913-0.0525779j -0.0477894+0.0155212j -0.0872454-0.0390672j -0.021821+0.0260825j 0.0249076-0.117014j 0.0166944-0.0331694j 0.0700513+0.0415624j 0.124216+0.0504049j 0.0376942+0.0579586j 0.0304047-0.126015j -0.0207827+0.022386j -0.0395642+0.109577j 0.0751633-0.0471531j -0.0796203-0.0695401j 0.0786883+0.0991092j -0.0451966-0.0632934j 0.0346538+0.0364962j 0.0528987-0.0920063j -0.201929-0.0532095j -0.0279701+0.0410521j 0.00735569+0.0132919j -0.0597761+0.0185123j -0.0568165+0.070322j -0.0166975-0.0753127j 0.0215821-0.0636005j -0.0395051-0.0207279j -0.113628+0.105817j -0.0653496-0.0171013j -0.047677-0.129236j -0.00891355-0.0462941j 0.10125+0.0162075j 0.182487+0.0549168j -0.136789+0.0980832j -0.0387784-0.00348389j 0.0882154-0.0268135j 0.0825104-0.059006j 0.00900866-0.0454528j 0.0370308+0.109965j 0.0224158+0.149722j 0.0860296-0.00150209j -0.0951974+0.00151096j 0.0751983-0.0225165j 0.0560728-0.0176472j -0.0295609+0.0515733j -0.0627138-0.0239274j 0.0259046+0.0273226j 0.0901194+0.0370631j -0.0457686-0.116763j -0.090133-0.0201205j 0.0358813-0.0829803j 0.0842669-0.0472699j 0.00548382-0.0713261j 0.0142883-0.0114289j -0.0132692-0.0963453j 0.0289104-0.00574377j 0.0420437+0.0471445j -0.0862567-0.0817219j -0.0666844-0.0328074j 0.0270581-0.0148427j -0.0757651+0.00755476j 0.0510897-0.0472963j 0.0467738+0.00851963j -0.011793+0.0266452j -0.0296251-0.0170864j 0.0485397+0.0364869j -0.019425+0.0444396j 0.0298421-0.0659488j 0.0131362-0.0362021j -0.00295521-0.0374386j -0.00544177-0.0131028j -0.0103431-0.0234318j 
-0.00628434-0.0109438j 0.00244351-0.0202518j -0.0115769-0.0291006j -0.000722329+0.019199j 0.00474381-0.0169335j 0.0334069+0.0232778j -0.00661116-0.0170891j 0.0143008-0.0201945j -0.00655516-0.00898414j -0.0340665-0.00787424j 0.0223704-0.00869295j 0.010447-0.00275242j 0.00049304-0.0204441j -0.0747828+0.0107719j 0.0228767+0.00499527j 0.0115601+0.0121693j 0.0053225+0.0143124j -0.0427277+0.0318378j -0.0105033+0.0256252j 0.0350519+0.0154638j 0.0132101-0.0303397j 0.0302737-0.0185472j -0.0514741+0.031512j 0.0314325-0.0239277j 0.0332083-0.0306942j -0.00373449-0.0178263j -0.0436306+0.0456358j 0.00211333+0.0504131j -0.0173475+0.0260203j 0.0791669+0.0152488j -0.00725323-0.125564j -0.0161114+0.0822409j 0.0504544+0.0274672j -0.0687876+0.0415498j 0.00514176-0.036087j 0.0163838-0.0969162j 0.0734125-0.0293445j -0.0214624-0.0129384j -0.0666398-0.123848j -0.0774418+0.10429j -0.116925+0.0880304j -0.0708797-0.123961j -0.0786136+0.0674799j 0.019181-0.0697119j -0.00246423+0.113027j 0.136597+0.00039566j -0.0223843-0.0601139j -0.0789299-0.0431558j -0.0898188+0.0420955j -0.0719284+0.0106536j 0.0483841-0.013649j 0.110437-0.0592035j 0.0022945+0.0202349j -0.0118802+0.00567906j 0.0915918-0.149748j 0.0615701-0.031286j 0.098709+0.0666608j 0.0453215-0.01264j 0.0236935-0.0231811j 0.0126782-0.0249922j 0.017749-0.0176107j -0.0110625-0.0695743j -0.00352345-0.00955628j -0.0606882-0.111982j 0.0110533+0.0651527j 0.0689418+0.0736627j 0.0266596+0.00625632j 0.0120298+0.0277748j -0.0543692-0.0396334j 0.0788596+0.0504771j -0.00511126-0.0555917j 0.0239646-0.0104017j 0.0448123-0.0443396j -0.0394847-0.00164792j -0.0201575+0.0232225j 0.105257-0.00729616j -0.0578909+0.0895407j -0.00301996+0.0279869j 0.0686548-0.0325411j 0.0439234-0.0188175j -0.022253+0.0170688j 0.0490674-0.0693049j -0.000607703-0.00814639j -0.103359-0.00918823j -0.077051-0.030124j -0.0258811-0.0278812j -0.0344607-0.00739552j -0.0512251-0.036883j 0.0216583+0.0115921j 0.0117592+0.0537224j 0.018798-0.0227017j -0.000804717-0.0272219j 0.0129255+0.0226448j -0.0174947+0.00372912j -0.037012+0.000761562j 0.00973374+0.0513885j 0.0205503+0.0156299j 0.0413424+0.0266615j 
