-0.1113+0.226511j -0.218534-0.108639j -0.109334+0.0448498j -0.0276634-0.143787j 0.0394065+0.0518314j -0.00254358+0.0147441j 0.0565866+0.0445207j 0.0333333-0.0362575j 0.0237846-0.0212241j 0.00433065+0.0426245j -0.0456149-0.00996335j -0.0966698-0.0543111j 0.0421498+0.040548j 0.0327942+0.0669114j -0.00119096-0.0151277j -0.0864853+0.05237j 0.000960942+0.0630566j -0.0334387-0.0405233j 0.00895221+0.0371551j -0.0123304-0.0264966j 0.17005-0.0732989j 0.0366306-0.0159463j -0.113392-0.152505j -0.0210257+0.00703314j 0.0260556-0.0723039j 0.0519092+0.165616j 0.16388-0.172775j 0.0639909-0.0527731j -0.166838-0.273189j 0.0751429-0.157903j 0.152876-0.0359167j 0.171201+0.0607988j 0.0495428-0.196672j -0.283505-0.050386j 0.0247892-0.194841j 0.136046-0.18442j 0.03563+0.0200797j 0.0447242-0.0461421j -0.145232-0.063327j 0.0415971-0.016569j -0.0728351+0.0372109j -0.0316576+0.0445047j 0.0145631+0.0172346j -0.0169904+0.00251663j 0.0511555-0.00164647j -0.0968901+0.0123053j -0.0451835+0.0185826j 0.070638-0.0139726j -0.0867101+0.049346j 0.0643772+0.00899868j -0.0735433-0.0263896j 0.0287178+0.0106108j 0.0106055-0.00138302j -0.00781607-0.0108119j -0.037704-0.0215458j 0.015177-0.0516655j 0.0215442-0.015115j -0.0329765+0.0219667j -0.0375252-0.0412908j -0.0220951-0.00939827j -0.0442534-0.0396591j -0.0239635-0.0112822j -0.0251771-0.00367147j 0.00656903-0.00460301j 0.0435533+0.00650028j -0.00677263-0.0234937j -0.000290884+0.00849641j -0.00416939+0.0208627j 0.00601454+0.0129281j -0.00709165+0.021307j 0.00849066+0.0056843j -0.00517692+0.00951569j 0.0212638+0.0433712j -0.00709366-0.0234419j 0.0122172+0.0477538j 0.00329988-0.0242092j -0.00413136-0.01897j 0.00265819-0.0103525j -0.0308398+0.0133024j 0.0023998+0.00156818j 0.0162103+0.0258644j -0.00151979-0.00310155j -0.0171425+0.0345116j 0.0197417+0.00177471j 0.00263116+0.000768667j 0.0110452-0.0191327j -0.00590483-0.0160872j 0.0576169-0.0210129j -0.00410721+0.0171611j 0.0116373-0.0114836j 0.0122881-0.0293643j 0.0109351+0.0121916j -0.0190786+0.0334291j 0.0603219+0.0516669j 0.0607632-0.0480889j 
-0.00393969-0.00272281j 0.00283291+0.00337872j 0.000415222-0.00035643j -0.00567888-0.0020087j 0.00353842+0.000367161j 0.00433718-0.000784056j 0.0042954+0.00331221j 0.00809449+0.00639628j -0.00637431-0.000953082j 0.00152554+0.000266664j -0.00095487-0.00501445j -0.0029423-0.00530376j 0.00292642+0.0024238j -0.00307677-0.00165278j -0.00349374+0.00654633j -0.00161674-0.00119931j -0.00401151+0.000970733j 0.00044377-0.00468011j -0.00490989-0.00309346j 0.00348894+0.00380552j 8.59614e-05+0.00279751j -0.00320123+0.00193656j 0.000586676+0.00472968j -0.00216374+0.00470157j -0.00811477+0.0066457j -0.000672743+0.00533262j 0.00140679+0.00266709j -0.00211521+1.85139e-06j 0.00156902-0.00228514j 0.00133383-0.00115083j 0.00171638-0.00367682j -0.00207023-0.00256355j -0.00345048-0.00286722j 6.79156e-05+0.00268401j -0.00497515+0.000270952j 0.0030971+0.0018506j 0.000350853+0.00364925j -0.00748118+0.00662299j 0.000239747-0.00165522j 0.00316868+0.00465015j -0.000993648+0.00226745j 0.00567582+0.00432267j -0.00814189-0.00665555j -0.00049118-0.00102575j -0.00656748+9.19405e-05j 0.00194031-0.00175106j -0.00100142+0.00122915j 0.0060787-0.0100922j -0.00628128+0.00384517j -0.00541662+0.000959638j -0.0101838-0.00766562j -0.0177819-0.0100276j -0.0133324-0.00883074j 0.0028084+0.00901045j -0.00680882-0.00602011j 0.00283418+0.00518936j -0.00538523+0.0029362j -0.000971987+0.015877j 0.00716154-0.00709313j -0.00952478+0.00331898j -0.00227392+0.00587948j 0.00842946-0.00924934j -0.000441962-0.0040798j -0.0078095+0.00469875j 0.000407633-0.00503303j 0.0024868+0.00506995j -0.000387668+0.00588858j 0.00184633+0.00838364j -0.00426346-0.000311145j 0.00141564+0.00666959j -0.00188872+0.003428j -0.00922907-0.00387238j -0.00196053-0.00501782j 0.00671297-0.00646372j 0.00350989-0.0024038j -0.000527743-0.00443958j 0.00847467-0.00399798j 0.00372767+0.0026584j -0.00647106+0.00388288j 0.00456662-0.000628971j 0.0164968-0.00529347j -0.000872523-0.00476338j 0.00772024+0.00641263j 0.00721088+0.00193809j 0.0066906+0.00342801j -0.000592165+0.00426831j 0.00449129-0.00205254j 0.00292829-0.0012399j -0.0108591-0.00628417j -0.00389843+0.00291592j -0.00260898+0.0156436j 0.0049391-0.0123545j -0.00210422+0.0118379j -0.00351252-0.00121018j -0.000237883+0.00563992j 
0.000733616+0.00424201j -0.000892732+0.00423058j -0.00108986+0.000884491j -0.00424833-0.000666343j 0.00101532-0.00524557j -0.00402263-0.00372772j 0.000844514+0.0018011j -0.00104486-0.00275431j -0.00153075+0.00010995j 0.00200183+0.00220912j 0.00073734+0.00111714j -0.00278642+0.00178371j 0.000642944-0.000629072j 0.00129272+0.000711963j -0.00224709+0.0028142j -0.000822454-0.000651197j -0.00115566+0.00197757j -0.00205248-0.00113314j -0.00537997+0.00536502j -0.00291281+0.00274592j 0.00274366+0.00368774j -0.000834936-0.00687263j -0.00269129-0.00571907j -0.000309237-0.00561909j 0.000317163+0.00165224j 0.00382563+0.000739197j 0.00378775+0.000298791j -0.000812387+0.00183258j 0.000312382-0.000614191j -0.00103167+0.00325785j 0.00525026-0.0011713j -0.00601006-0.00324288j -0.00225629-0.00096478j -0.000326141-0.00270524j 0.00337858+0.00565683j 0.00471598-0.000133033j 0.00600634+0.00490833j -0.00160933+0.0069516j 0.00343159+0.00762782j -0.00489223-0.000492178j 0.00577908-0.00276528j -0.00131682-0.000431647j -0.0113893+0.00197442j 0.00329461+0.00151215j -0.0112977-0.000527521j 0.00586084+0.0039051j 5.89555e-05+0.00618781j -0.00544683-0.00291983j -0.00407903-0.00370354j -0.00609658+0.00651126j -0.00415794+0.00462488j -0.0171029-0.00199146j -0.0182697+0.00415329j 0.00334553+0.00103116j -0.00608824-0.00503068j 0.000672329+0.000584627j -0.00500102+0.00518695j 0.00734265+0.0130026j 0.00708361-0.00624237j -0.0113698+0.00293531j -0.00374461-0.00386952j 0.00525043-0.00882229j 0.000593639-0.0145675j 0.00290594-0.00710876j -0.00555525-0.00571214j -0.00349141+8.11631e-05j 0.00477509+0.00656634j 0.00880757+0.0066886j 0.0011808+0.00189989j -0.00296643+0.00295039j 0.00139857+0.00241712j -0.00526548+0.00268857j -0.000532965-0.000453196j -0.00321082-0.00535811j -9.3635e-05-0.00033348j 0.00279095-0.00769937j 0.0059035-0.0047808j 0.00410886+0.00530052j -0.00201667+0.0111211j -0.000103026+0.00270878j 0.0101036-0.00112125j 0.000429948-0.00370674j 0.0160514-0.0114269j -0.00350972-0.00210736j 0.00211193-0.00149073j 0.00660679+0.00658822j 0.0061279+0.000379318j -0.000702247-0.00532275j -0.0119185-0.00492082j 0.00231336+0.00170327j 0.00547235+0.0114629j -0.00143155-0.0163511j -0.00389194+0.0139475j 0.00427136+0.00711978j 0.00725346+0.00066238j 
0.00127004+0.00109157j -0.00203362+0.000495035j 0.00108748-0.000743092j 0.0021378-0.00179314j 0.00264156-0.00418708j 0.000604656+0.00127307j 0.00150012+0.00257142j 0.00322754+0.00185117j 0.00128589+0.00427003j -0.00158648-0.00185401j -0.000830171+0.00120384j -0.00929473+0.00284659j -0.001541-0.00125519j 0.00188777-7.39259e-05j 0.00322176-0.00114841j -0.00365785+0.00117813j 0.00141021-1.45513e-05j 0.00264364+0.00100324j -0.00238437-0.000276046j 0.00285957-0.00299583j -0.00155157+0.00316688j -0.00370497+0.0028186j 0.000964843+0.00301011j -0.000981271+0.000870466j 0.00148783+0.00143577j -0.00485024-0.000858605j -0.00136703-0.00315336j -0.000757726+0.00119561j -0.000510874-0.00239147j -0.00043193+0.00299129j -0.00308889+0.000145558j -0.00362111-0.000851377j 0.000531393+0.00710539j 0.00256263+0.000293278j -0.00182879-0.00230891j 0.0013281-0.00605258j -0.000141627+0.00857853j 0.00358294+0.00106928j 0.00181169-0.000620175j -0.00252371+0.00225305j -0.00142493+0.00303563j -0.00720321+0.00917462j 0.00323071-0.0212214j -0.0146126+0.000640862j 0.00919427-0.00909323j -0.00353-0.00509873j 0.00291728+0.00189239j 0.00481907+0.00410521j 0.00224674+0.000100213j 0.00219471-0.000741686j 0.000840583-0.000271159j -0.00318453+0.00673855j 0.004972+0.00176978j 0.00383768+0.00456297j -0.00228983-0.00819438j -0.0055865-0.00331077j 0.000578491+0.00996181j 0.000977093+0.00240712j 0.00205179+0.000211782j 0.0047607-0.00258889j -2.06796e-06-0.0114854j -0.0067884+0.0127607j -1.13879e-05+0.00873209j 0.00501339-0.0132789j -0.00168469-0.00134822j 0.00802123+0.0101222j 0.0139762-0.00523022j -0.00266247-0.00209238j -0.000952877+0.0159088j 0.00325927+0.00265554j 0.00523657+9.56961e-05j 0.00383047+0.00153517j -0.00122777-0.00679293j -0.00623305-0.00856507j 0.00392054-0.00821777j -0.0112134+0.00661582j 0.0113149-0.00179697j 0.00394519-0.0103888j -0.00890271+0.00721362j 0.00414122+0.000826973j -0.00551699+0.00458101j 0.00520577-0.00159275j 0.00520755+0.00330571j -0.00810015+0.00868367j 0.000125603-0.00712259j -0.00153508+8.81616e-05j -0.00266383+6.46179e-05j 0.00409463+0.00181682j 0.00311568+0.00314244j -0.00803656-0.0020555j 0.0019306-0.00876757j -0.000720637-0.00345851j -0.00120301-0.00473553j 5.98823e-05-0.000373589j 0.000848591-0.00137602j 
0.00286151-0.00206954j -0.00259893-0.00370581j -0.00266939+0.00446974j 0.00095736+0.000433289j 0.00897987+0.000238499j -0.00148061+0.00459306j 0.000685741-0.000455194j 0.00665019+0.00274651j -4.40182e-06+0.00287818j -0.00263476-0.00533782j 0.00107501+0.00151038j -0.00911779+0.00888523j 0.000346012-0.00414925j -0.000577222-0.0024999j 0.000216083+0.000259648j -0.00553448+0.00387634j 0.00522193+0.00102235j 0.00176414+0.00900565j -0.00150334-0.00366436j 0.00115546-0.00121981j -0.0058064+0.00536206j -0.002391-0.00458437j -0.00623536+0.00704634j 0.000748666+0.000253986j -0.00292726-0.00498909j -0.00808107-0.00510626j -0.00037537-0.00715423j -0.000589474-0.00298763j 0.00294036-0.00659216j -0.00355257+0.00801948j -0.00423928-0.00397447j -0.00675027+0.000765922j 0.000995271-0.00115964j 0.00115844-0.0099559j 0.00213121-0.00130257j 0.00140238+0.00187597j -2.76777e-05-0.00650441j 0.00113284+0.00789436j -0.00141248+0.00616863j -0.000213312+0.00226967j -0.00352318-0.00244861j -0.00366148+0.0128768j -0.00495258+0.00527802j 0.00566883+0.00349754j 0.00856178+0.00875673j -0.0107059-0.00689018j 0.00726098-0.00339627j 0.00443671-0.00233985j 0.000527408-0.00308808j -0.00396766-0.0103213j 0.000699207-0.000309928j -0.00268726+0.00214229j -0.00278854-0.00708542j 0.0063186-0.00283591j 0.00412947+0.00658554j -0.00511588-0.00947333j -0.00264322-0.00912283j 0.0034904+0.00661405j -0.00181229-0.00122475j 0.00646973+0.0074613j -0.00312283-0.000330227j 0.00741485-0.00266611j -0.00208368+0.000440341j 0.00276397+0.000636411j 0.0107387+0.000310632j -0.00129199+0.00277029j -0.005792+0.005076j -0.0101195+0.00248726j -0.00540408-0.00588076j 0.00596065+0.0113842j -0.000731336-0.000328323j -0.00645689-0.0119972j 0.00324646+0.00350949j -0.000564334+0.000173349j -0.00403754-0.00295294j -0.00495861+0.00622408j -0.00268007-0.000225558j -0.00701354+0.000944329j -0.00365201-0.000372438j -0.000223403-0.00671972j -0.00513324+0.00142829j -0.00407358-0.00220305j -0.00204899+0.00102424j -0.00156867-0.00386544j -0.0033028-0.00168138j -0.00502612-0.00138766j -0.00198451-0.000225668j 0.00308885+0.00199148j -0.000234655+0.000896349j 0.00296352-0.000526797j -0.001664-0.00262999j -0.00246168-0.00284729j -0.000612304-0.00191049j 0.00131375-0.00120244j -0.00123061-0.00351996j 
-0.00136092-0.000716541j -0.000593088-0.0012468j 0.000367679+0.00361479j -0.00182169+0.00124238j 0.00380002-0.00448682j -0.00176096+0.00287637j 0.00232304+0.000563468j 0.00472113-0.00146923j 0.00108579+0.00234145j -0.00137509-0.00172301j 0.00157865+0.00167381j -0.00391267+0.00601181j 0.000350839-0.00119128j 0.000240665-0.00147506j -0.0015601-0.000336002j -0.000711233+0.00227657j 0.00349532-0.00295064j 0.00151808-5.44467e-05j 0.00206421-0.0027197j -0.00110455+0.000554404j -0.00390243+0.00187456j -0.0029614-0.000867563j -0.0021371-0.00182445j -0.00279404-0.000663156j 0.000245397-0.00288045j -0.00417318+0.00165408j -0.000429333-0.00122372j -0.000593439-0.000598378j -0.000583207-0.000997968j 0.00107644+0.00303117j -0.000178115-0.00363679j -0.00333482+0.000274869j 0.000238823+0.00242996j 0.000216408-0.000707623j 0.00321921-0.00312307j 0.00274269-0.00446849j 0.00356216-0.00240342j -0.00797266-0.0164515j -0.00206473+0.00318632j -0.00535564+0.00681471j 0.000409197-0.00812954j 8.02445e-05+0.00218402j 0.00169131-0.0026076j -0.00167029-0.00918022j -0.00378882+0.00612089j -0.0043812+0.0041221j -0.00686215-0.00252533j 0.000817067+0.00466182j -0.0052675+0.000531118j 0.00538809-0.00188041j 0.00225854+0.00448341j -0.000276454+0.00107418j -0.00157516-0.00630124j -0.00539086+0.000356671j 0.00408227-0.00391543j -0.00205815+0.000596641j 0.00568067-0.0015488j -0.00421945-0.0133494j 0.00997578+0.00239457j -0.00891979-0.00648695j 0.000822909-8.34598e-05j -0.0075687+0.00326607j -0.00118112-0.00710634j 0.00616895+0.00541468j -0.00254829-0.000700865j 0.0128423-0.00969381j -0.00737083-0.00312194j 0.00334862-0.00230089j 0.00649751-0.011638j 0.00299324-0.00837811j 5.51524e-05+0.00770531j 0.0020116+0.00369152j -0.000658228-0.00663013j 0.00226779+0.0160796j 0.000182434+0.0126913j 0.00234681-0.00827807j -0.0102481-0.00160622j 0.0073076+0.00784549j 0.000625052-0.00915176j -0.0084914+0.00250414j -0.000811041-0.0020324j -0.0125923+0.00193918j 0.00140594+0.00500561j -0.00150519-0.0065447j 0.00173008-0.000183673j 0.00267805-0.000522048j 7.08046e-06+0.00109782j -0.00181727+0.00108709j 0.000749988-0.00186452j -0.00666773-0.00440423j -0.0020514-0.00106986j -0.00250733+0.00024954j -0.00391119-0.00148748j -0.00014823-0.00124792j -0.000608834-0.00149713j 
0.00537792-0.00169897j -0.00298504-0.0035347j -0.00193828+0.00264542j 0.00474942+0.00261743j 0.00247843+0.0110126j 0.000330401+0.00931157j -0.00280967-0.000180424j -0.00400442-0.0023012j 0.00183845+0.00425589j -0.00286857-0.00422599j -0.000873468+0.000564236j -0.00565624-0.00146756j -0.00136003-0.00435717j 0.00315935+0.00178267j 0.00312681-0.00383835j -0.00409532+0.00618289j 0.000963026-0.00272707j 0.000790313+0.00408881j 0.00557655-0.00114433j 0.00460639-0.00657803j -0.00490909+0.00211232j 0.00308591+0.00671126j 0.000442841+0.00569656j -0.0022132+0.00528672j 0.0042162-0.0058307j -0.00332673-0.00455146j -0.000250294-0.00457526j -0.000577518-0.00254074j -0.00422914+0.00455303j 0.0051503+0.00193848j 0.00713637+0.00543589j 0.000701063-0.00159795j 0.00248354-0.00275152j 0.00755171-0.00487804j -0.00130355-0.00392138j 0.00121254-0.00450344j 0.00204033+0.00338522j -0.00130341-0.00376544j -0.00203499+0.00627267j -0.00154323+0.00174644j -0.00441319-0.0102449j 0.000227518-0.00504326j -0.0016611-0.00605943j -0.00385001-0.00118183j -0.00531893+0.000709485j 0.00508762+0.004352j -0.00261115+0.00390432j -0.00204851+0.00265078j 0.003901-0.00813838j 0.00550118+0.00151704j -0.00200921+0.00282391j -0.00184335-0.00119025j -0.00322471+0.00626076j 0.000273873+0.0049436j -0.00155191-0.0036203j 0.00585983+0.00283529j 0.00225088+0.00505879j -0.00154503+0.00107952j 0.00583045-0.000392027j -0.00317126-0.00623966j -0.000137034+0.00680692j -0.00443014+0.000373122j 0.00102282+0.00265596j -0.00443245+0.00612j -0.0024753+0.00200961j 0.000660063-0.00150511j 0.00206583+0.00177407j 0.00458387+0.00518225j 0.00572498-0.000439213j -0.00247937+0.00117031j 0.00670021-0.00424572j -0.00212783+0.00620516j -0.000902917-0.0022423j 0.00276004-0.00159276j 0.00368251+0.00412653j -0.00365492-0.00345165j 0.00113321-0.00234439j 0.00337477-0.000719211j 0.00462198+0.00487618j 0.000107202+0.00214506j 0.00255349+0.00142481j 0.000645803-0.00169227j -0.00129798+0.00035928j 0.00076819-0.00096449j 0.00429149-0.000388757j 0.00225083+0.00160998j 0.00592931-0.00112092j 0.00348901-0.000651929j -0.00187896+0.000495638j -0.00211291+0.00212786j 0.00203523+0.00538012j 0.00541375+0.00159989j -0.00367181-0.00165141j 0.000499292-0.00107105j 0.000252244-0.000720723j 
-0.00386066+0.00334566j -0.00283034+0.0039042j 0.00489182-0.00446023j -0.0056541-0.00519048j -0.00778483+0.00482745j 0.00880685-0.00029814j -0.00217265-0.00138194j 0.00300794-0.00150039j 0.00178045-0.00618675j 0.00505184+0.00120144j -0.00756046+0.000370058j -0.00862909+0.000861759j 0.00424782+0.00238952j 0.00386048-0.00117044j 0.00175705+0.00611123j 0.00182963-0.00851093j 0.00154305-0.000859764j -0.00247664-0.0088462j 0.0083796-0.00442728j 0.00122944+0.0113374j -0.00629915-0.0129467j 0.000547037+0.00579657j 0.000773337+0.00399107j 0.00297772+0.00081728j 0.00395848-0.00117745j -0.00261062+0.00936565j -0.00809154+0.00725607j 0.000951508+0.000269974j -0.000439096+0.00450414j 0.00348149-0.00485109j -0.00190058+0.00197777j 0.00173975+0.00412508j 0.00714056-0.000870296j -0.00149166-0.0014355j 0.00142677+0.000682235j -0.0053762-0.00469905j -0.00142124+0.00373415j -0.00105834+0.00165729j -0.00205767-0.0141814j 0.00099094-0.00127491j -0.00537081+0.00616164j -0.0128099+0.00552437j -0.00225623-0.000625484j -0.000140086-0.00055838j 0.00685927+0.000679672j -0.00806742-0.0023177j 0.00534725-0.00372313j 0.00458003+0.00450311j -0.0144868-0.00778365j 0.00446694+0.00190894j -0.00946872+0.00656328j -0.00352631+0.0047778j -0.0138282-0.00387646j -0.00023556+0.00308394j 0.00166686+0.00277573j 6.95876e-05-0.00397932j 0.00147476+0.0024852j 0.00181938+0.00223797j 0.00221185+0.000956481j -0.00738511+0.000830795j -0.00408368-0.00221248j 0.000840993-0.00667092j -0.00460781-0.00419879j 0.0021462-0.00589515j -0.00490482-0.00221829j 0.000623802-0.00129396j 0.00239382+0.00248288j 0.00469102+0.000407794j 0.00223126+0.00269802j -0.00438053-0.0019554j -0.00361898+0.000770328j -0.00258067+0.00169576j -0.000970822-0.0038052j -0.00448408-0.000875644j 0.000866808-0.0023255j 0.00172962-0.00525047j 0.00609841-0.00382084j 0.00408421-0.00116731j -0.00421651+0.0060423j 0.00280381+0.00282984j 0.00147564+0.00310424j -0.00164914-9.18694e-05j 0.0107091-0.00470993j 0.00394186-0.0023315j -0.00281813+0.00162583j -0.00151397+0.000445026j -0.00436378-0.000477436j -0.00479858-0.00327643j -0.00222613-0.00113651j -0.000974179-0.00139423j 0.00386954+0.0011076j -0.00226298-0.00636222j 0.000659759+0.00848732j 0.00605252+0.00375721j 0.00169062-0.000440518j 
-0.00200708-0.00176327j -0.00114487-0.00528171j -0.00260601+0.000626594j 0.00162802-0.000368706j 0.00311701+0.000259461j 0.00468526+0.000986538j 0.00105173-0.00408501j 0.0066011-0.000412834j -0.00221946+0.0025174j -0.00281529-0.00142272j -0.004784-0.00204588j -0.00442426-0.00359896j 0.000838489+0.00304862j -0.000393867+0.000816191j 0.00347974-0.00122424j -0.00342807+0.00331831j -0.000161943+0.00374976j 0.00169315+0.00271471j -0.00203833+0.00391532j 0.00567835-0.00168884j 0.00461256+0.00245699j -0.00172329+0.00729722j 0.00362973+0.004105j 0.00312682+0.00178739j -0.00146028+0.00686144j -0.00225606-0.00450852j -0.00335504-0.00471044j -0.000810054+0.000711351j 0.000178465-7.44287e-05j -0.000955089-0.00331624j -0.00201519+0.00642746j -0.000527395+0.00026417j 0.000379856+0.00769327j 0.00459925+0.00618356j -0.00265962-0.00144901j -0.00153008-0.00386461j -0.0032595-0.00551252j 0.00179694+0.00345524j -0.0010414+0.00475445j -0.00214599-0.00407193j 0.00137871+0.00432504j -0.00305653+0.011762j 0.00254285+0.00822844j 0.00650886-0.000986771j -0.00141831-0.000144412j -0.00097382-0.00301062j 0.00192785-0.000155415j -0.00297963-0.0085409j 0.00161894+0.00267648j 0.00160095+0.0064367j -0.00375671-0.00519132j -0.00504938-0.00558642j 0.0110111+0.0103548j 4.47939e-05+0.000498332j -0.00979259-0.00242958j 0.000357477+0.00623301j -0.00426548-0.00445182j 0.00310681-0.00220727j -0.00859272-0.00404351j 0.00286508-0.00116188j -0.00745542-0.00835848j -0.00329999-0.00663217j 0.00598988-0.00355511j 0.00240803-0.0131921j -0.00106746-0.00119391j 0.00147018+0.000912805j -0.00521712+0.00290971j -0.00875923+0.00259182j -0.00582424-0.00412336j -0.00285733-0.00605628j -0.00190691-0.00263152j -0.0032802-0.00448765j 0.00669384+0.00390873j -0.00380033-0.00558066j -0.000131475-0.000810264j 0.00400468+0.00331782j 0.00240183+0.00742795j -0.00405406+0.00627211j 0.000828767+0.00415969j -0.000898573+0.00583446j -0.000270422+0.000552669j 0.000219433+0.0014025j 0.00115784-0.00536398j -0.00507258+0.0105841j -0.00246793-0.000690972j -0.00198587-0.00128099j 0.00219335-0.000303149j -0.00302117-0.00151531j -0.00117204-0.000231784j 0.00380503-0.00288461j -0.000494574-0.00202223j -0.00138907-0.00479986j -0.0043872+0.000414377j -0.000659292+0.00125936j 0.00291496+0.00230618j 
-0.0037901+0.00030197j 0.00193302-0.00241073j -0.00158563+0.00362785j -0.00241359-0.000851611j 0.0035986-0.00364615j 0.00527576-0.00231015j 0.00421264-0.00164051j 0.00739499-0.000734876j -0.000926379+0.00344844j -0.00194399+0.000423599j -0.0037572-0.00170925j -0.00197314-0.00455584j 0.00237669+0.00286802j -0.0010097+0.000815669j 0.000728634-0.00122988j -0.00339253+0.0012326j -0.00100101+0.00200855j -0.00116345-0.000124715j -0.00544894+0.00301326j 0.00726168-0.000929261j -1.515e-05+0.0015061j 0.00170599+0.00578627j 0.00361003+0.00550325j 0.00538051+0.00350858j -0.00215763+0.00818602j -2.03174e-06-0.0015943j 4.34894e-06-0.00186546j -0.000880597+0.000286821j -0.000992469-0.00140559j -0.000373049-0.00178553j -0.00202371+0.00648405j -0.001148-0.00154009j -2.20291e-05+0.000393881j 0.000555524-8.95232e-05j -0.00141029+0.00587646j -0.000197435+0.00440607j 0.00581504+0.00244558j -0.00722621-0.0112558j 0.00305915-0.00292936j 0.00718462-0.00881752j 0.00615414+0.0109394j -0.000461708+0.00826001j -0.00174783-0.00697893j -0.00505683-0.00395409j -0.00131811+0.00252591j -0.00211498-0.00462284j 0.0013123+0.00696589j -0.00780176-0.00297278j 0.0026766+0.00566816j 0.00671546+0.00367071j 0.000885288-0.00546604j 0.000211657-0.00623236j 0.00229353+0.00123161j -0.00518696+0.00388146j -0.00287271-0.00285497j -0.00183812-0.00533604j 0.0051257-6.36128e-05j -0.00526139-0.000420822j 0.0100064+0.00909939j -0.00708065-0.00034297j -0.00066142-0.00319587j 0.00381897+0.000532631j -0.00923764+0.00431856j -0.00100605-0.0076283j -0.000965511-0.000546174j 0.00100778-0.00773814j -0.0037195-0.00983759j 0.00726745-0.00124815j 0.00516572-0.0123978j -0.00913498-0.00742093j -0.00547762-0.00651321j 0.00702946+0.0103843j -0.000426978-0.000108469j -0.00411373+0.00067704j 0.000622859+0.00889443j -0.00185175-0.00171661j -0.00805377+0.00105573j 0.00477299+0.00484353j -0.00581926+0.00958889j -0.0018739+0.00408842j -0.00189562-0.00142514j -0.00683577+0.00484116j 0.00197434-0.00235468j 0.00142417+0.00232207j 0.00700363-0.00271771j 0.00489621-0.000240119j -0.00105189-0.00362399j -0.00201027+0.000551174j 0.00172067-0.00137755j -8.63816e-05-0.00324371j 0.00418476-0.00354394j 0.00447018-0.00160006j 0.00165185-0.00205451j 0.00176606+0.000922558j 0.00141074-0.00116838j 
-0.0017839-0.00072647j 0.00132715-0.0039276j -0.000389381-0.00351269j 0.00164954-0.00326017j 0.00273691+0.0058989j -0.00196802+0.000931352j -5.98427e-08-0.000393244j 0.00137601-0.00295407j -0.00462319+0.00436488j -0.000365176-0.00062809j 0.001694-0.00254025j 0.00245763-0.00221846j -0.00269366-0.000824908j -0.00151862+0.000501811j -0.00144084+0.000729947j -0.00018112+0.00189963j -0.00291187+0.000858097j 0.00183053-0.0033138j -0.00266583-0.00386202j -9.55367e-05-0.00146001j 0.000557374-0.00511814j -0.00340992+0.0107895j 0.0023054+0.00792932j -0.00409906+0.000845158j 0.000940912+0.00423759j 0.00183357-0.00358035j 0.000637679+0.0025021j -0.00162679-0.000152452j -0.0015059-0.000606718j 0.00266053+0.00110278j 0.00273199-0.0022957j 0.00418884-0.000950073j -0.00399232+0.00102808j -0.00221183-0.0027225j -0.00338565-3.36246e-05j -0.000643967-0.00190608j 0.00282772-0.00548984j 0.00418557-0.000736162j 0.00195732+0.0020242j -0.00243458-0.00201567j 0.000691482+0.000408211j 0.00196247+0.00633124j 0.00452726+0.00367561j -0.00107695+0.000176644j 0.000366329+0.00507589j 0.00625305+0.00488573j -0.00236829+0.002106j 0.00156809-0.00299864j 0.00766936+0.00381079j 0.00456684+0.00147253j 0.000169198-0.00197165j 0.00915393+0.00977976j -2.50005e-05+0.00360416j 0.000450947-0.00509591j 0.00640641-0.000655736j -0.00311109+0.000184181j 0.00342626-0.00588442j 0.00189043-0.00413702j -0.00305265-0.00157286j 0.00881793+0.0125615j -0.00190715-0.00129253j -0.0112145+0.00747653j -0.00358425-0.000752339j 0.000189497-0.000238995j 0.00511066+0.00434111j -0.00106738-0.0062566j -0.00023844-0.00449417j -0.000820913-0.00423532j 0.00482857-0.0016858j -0.00536659+0.00872481j 0.00123622-0.00196236j 0.00127099+0.00148684j -0.00333794+0.00398004j -0.00470374+0.00093881j -0.0070587+0.00322158j -0.00239868+0.00197504j -0.00192147+0.00177576j -0.00369952-0.00193083j 0.00227667+0.00268671j -0.000969568-0.00271399j -0.00602718-0.00209619j 0.00301107+0.000711319j -0.0079482-0.000932262j -0.00351338-0.000236792j 0.00136236-0.00415198j 0.00386944+0.00452659j -0.00972482-0.00402355j -0.00149477+0.00832313j 0.00273632+0.00057584j 0.00038452+0.00089373j 0.00387776-0.00381219j -0.00822845+0.00392799j 0.00893828-0.000709896j -0.00272411-0.00676469j 0.000487424+0.00418702j 
