-0.14492-0j 0.695261-0j 0.702466-0j -0.00843285-0j 0.116368-0j -0.0104351-0j -0.00608715-0j 0.143998-0j 0.0839991-0j -0.00592558-0j 0.0495496-0j -0.00691317-0j 0.012562-0j -0.00423344-0j -0.00604903-0j 0.0578079-0j 0.0353999-0j -0.0024951-0j 0.0146556-0j 0.0505819-0j 0.00897471-0j 0.020864-0j 0.0128237-0j 0.0052895-0j -0.00456118-0j 0.0359593-0j -0.0051524-0j -0.000465524-0j 0.00908484-0j -0.00420692-0j 0.00107626-0j 0.0406203-0j -0.00425052-0j -0.00368105-0j -0.000525865-0j 0.0331663-0j -0.00303672-0j 0.0102624-0j -0.000429367-0j 0.03351-0j -0.000970245-0j 0.00121576-0j -0.000433816-0j 0.0290205-0j 0.00837923-0j -0.000375696-0j 0.0239407-0j 0.00846606-0j 0.000992666-0j 0.00733182-0j -0.000309933-0j 0.00764918-0j 0.00100295-0j 0.00604845-0j -9.90252e-05-0j 0.000868583-0j 0.00193251-0j 0.000716544-0j 0.000228939-0j 
-0.00691317-0j 0.0331663-0j 0.03351-0j 0.000802417-0j -0.0110729-0j -0.000497791-0j -0.000290378-0j 0.00686921-0j 0.00400704-0j 0.0411964-0j 0.00236368-0j -0.0958699-0j 0.000599249-0j 0.0294321-0j 0.0420546-0j -0.00550063-0j 0.0016887-0j 0.0173466-0j -0.00139454-0j 0.00241293-0j 0.000428124-0j 0.000995282-0j 0.000611733-0j 0.000252327-0j -0.000217584-0j -0.249999-0j -0.000245787-0j -2.22071e-05-0j 0.000433378-0j 0.000400304-0j 5.13412e-05-0j -0.282404-0j 0.000404453-0j -0.000175599-0j -2.50855e-05-0j 0.459941-0j -0.000144862-0j 0.000489552-0j 4.08559e-05-0j 0.464708-0j -4.6284e-05-0j 5.7996e-05-0j 4.12793e-05-0j -0.201759-0j -0.000797315-0j -1.7922e-05-0j -0.166443-0j -0.000805577-0j -9.44559e-05-0j 0.000349753-0j -1.47849e-05-0j -0.0531793-0j -9.54347e-05-0j 0.000288531-0j -4.72384e-06-0j 4.14343e-05-0j 9.21872e-05-0j 3.41816e-05-0j 1.09212e-05-0j 
-0.0586038-0j 0.00303672-0j 0.00280988-0j 0.00174227-0j 0.000251475-0j -0.00421983-0j 0.00486945-0j -0.00060908-0j 0.000702845-0j 0.00122425-0j 0.000216419-0j -0.0027956-0j 1.80349e-05-0j 0.000874648-0j 0.00114454-0j -0.000494197-0j 0.000154617-0j 0.000599825-0j -4.11831e-05-0j 0.000202329-0j 1.28848e-05-0j 0.000106035-0j 1.68607e-05-0j 8.83625e-06-0j -0.184596-0j 0.00015706-0j 0.408143-0j 9.61794e-05-0j 1.96325e-05-0j -0.170259-0j 1.15686e-06-0j -0.000347261-0j -0.157541-0j 0.291591-0j -0.000212653-0j 0.000144862-0j -0.475855-0j -4.34076e-05-0j 8.87093e-05-0j 0.000134041-0j 0.508766-0j -2.55782e-06-0j 8.2083e-05-0j -0.000248095-0j 1.81077e-05-0j -0.000151927-0j 0.000404873-0j 1.67551e-05-0j 1.06701e-06-0j -3.10119e-05-0j 0.000247933-0j -0.000432874-0j 9.87305e-07-0j 5.06091e-05-0j -0.00026508-0j -1.82739e-06-0j -5.41093e-05-0j 2.98217e-06-0j -3.18842e-06-0j 
-0.00423344-0j -0.000429367-0j -0.000433816-0j -0.0950463-0j 7.09243e-05-0j 0.0589633-0j 0.0343952-0j -4.39989e-05-0j -2.5666e-05-0j -0.000173099-0j 0.00591888-0j 0.000402827-0j -2.54999e-06-0j -0.000123668-0j -0.000176706-0j -0.0137741-0j 0.00422865-0j -7.28873e-05-0j 5.93421e-06-0j 0.00604219-0j -1.8218e-06-0j 0.00249228-0j -2.60312e-06-0j -1.07373e-06-0j -0.000133242-0j -2.22071e-05-0j -0.000150513-0j -0.251762-0j 0.000536933-0j 0.000245135-0j -1.6357e-07-0j -2.50855e-05-0j 0.000247676-0j -0.000107532-0j -0.284395-0j 4.08559e-05-0j -8.87093e-05-0j 0.000606531-0j 0.463183-0j 4.12793e-05-0j -2.8343e-05-0j -1.84772e-07-0j 0.467983-0j -1.7922e-05-0j -0.000987834-0j -0.203182-0j -1.47849e-05-0j -0.00099807-0j 3.00932e-07-0j 0.000433326-0j -0.167616-0j -4.72384e-06-0j 3.0405e-07-0j 0.000357476-0j -0.0535542-0j -1.32008e-07-0j 0.000114215-0j -1.08901e-07-0j -3.47944e-08-0j 
0.000121765-0j 0.0403829-0j 0.0402861-0j 0.000497791-0j -0.00686921-0j -8.62717e-06-0j -0.000703305-0j 0.00011905-0j 0.00970519-0j -0.0509779-0j -0.00292491-0j -0.000846546-0j -0.000741533-0j 0.108093-0j -0.0497475-0j -4.85714e-05-0j 0.00620193-0j 0.063174-0j -1.2314e-05-0j -0.00285431-0j 0.00157233-0j 0.00362467-0j -0.000723635-0j 0.000918939-0j 0.000269246-0j 0.309358-0j 4.32916e-06-0j 2.74798e-05-0j -0.000536277-0j -0.000244351-0j -6.35314e-05-0j 0.00497412-0j -0.000243765-0j -9.17948e-06-0j 4.41843e-07-0j -0.280754-0j 0.000345231-0j -8.62271e-06-0j -2.49389e-05-0j -0.280081-0j -0.000225018-0j -1.02151e-06-0j -2.48792e-05-0j -0.010547-0j 0.000486691-0j -9.36877e-07-0j 0.396664-0j 0.000485524-0j 5.7657e-05-0j 1.82834e-05-0j 3.5235e-05-0j -0.258541-0j 5.75188e-05-0j -0.000687623-0j -2.29658e-05-0j 2.16599e-06-0j 0.000448185-0j -8.14609e-05-0j 5.30953e-05-0j 
0.000864146-0j -0.00837923-0j -0.00846606-0j 0.00965047-0j -0.0647726-0j -0.0059868-0j -0.0034923-0j 0.0401826-0j 0.0234398-0j 3.53338e-05-0j 0.0574558-0j -8.22268e-05-0j 0.00713627-0j 2.52437e-05-0j 3.60699e-05-0j -0.133708-0j 0.0410484-0j 1.48781e-05-0j -0.0166071-0j 0.0586528-0j 0.00509839-0j 0.0241931-0j 0.00728494-0j 0.00300488-0j 2.7198e-05-0j -0.000433378-0j 3.07234e-05-0j -0.000536933-0j -0.243913-0j -5.0038e-05-0j 0.000921935-0j -0.000489552-0j -5.05566e-05-0j 2.19499e-05-0j -0.000606531-0j 0.000797315-0j 1.81077e-05-0j -0.275529-0j 0.000987834-0j 0.000805577-0j 5.7855e-06-0j 0.00104144-0j 0.00099807-0j -0.000349753-0j 0.448744-0j -0.000433326-0j -0.000288531-0j 0.453395-0j -0.00169615-0j -0.196848-0j -0.000357476-0j -9.21872e-05-0j -0.00171373-0j -0.162391-0j -0.000114215-0j 0.000744038-0j -0.0518847-0j 0.0006138-0j 0.000196112-0j 
7.45655e-05-0j -0.000522792-0j -0.000521538-0j -0.0589633-0j 4.39989e-05-0j 0.00102189-0j 0.0833064-0j -7.62541e-07-0j -6.21639e-05-0j 0.0002142-0j -0.00732424-0j 3.55703e-06-0j 3.15546e-06-0j -0.000454185-0j 0.000209029-0j -0.000121627-0j 0.0155302-0j -0.000265445-0j 5.23999e-08-0j -0.00714746-0j -6.69078e-06-0j 0.00907652-0j 3.0793e-06-0j -3.91038e-06-0j 0.000164879-0j 2.74798e-05-0j 2.65106e-06-0j 0.311539-0j -0.000664421-0j -0.000149634-0j 2.02408e-07-0j 4.41843e-07-0j -0.000149275-0j -5.62126e-06-0j 0.00500918-0j -2.49389e-05-0j 0.00021141-0j -1.06831e-05-0j -0.282733-0j -2.48792e-05-0j -0.000137795-0j 3.25448e-09-0j -0.282055-0j -9.36877e-07-0j 0.000602986-0j -0.0106214-0j 3.5235e-05-0j 0.000601541-0j -1.83693e-07-0j 2.26523e-05-0j 0.39946-0j -2.29658e-05-0j -1.83252e-07-0j -0.00085193-0j -0.260364-0j -6.90075e-09-0j 0.000555278-0j 2.59531e-07-0j -1.69159e-07-0j 
0.00976729-0j 0.0239407-0j 0.0221524-0j -0.000290378-0j 0.00400704-0j 0.000703305-0j -0.000811575-0j -0.00970519-0j 0.0111993-0j 0.0297371-0j 0.0017062-0j -0.0679051-0j 0.000432561-0j 0.0212452-0j 0.027801-0j -0.00389613-0j 0.00121897-0j 0.0145698-0j -0.000987759-0j 0.00159511-0j 0.000309036-0j 0.000835954-0j 0.000404398-0j 0.000211934-0j -0.00015706-0j -0.180459-0j 0.000347261-0j -1.60299e-05-0j 0.000312828-0j -0.000144862-0j 3.706e-05-0j 0.398996-0j -0.000134041-0j 0.000248095-0j 3.54422e-05-0j -0.166443-0j -0.000404873-0j -0.000691665-0j -1.47849e-05-0j -0.15401-0j 0.000432874-0j -8.19398e-05-0j -1.36805e-05-0j 0.285056-0j 0.000288531-0j 2.53211e-05-0j -0.465191-0j 0.000266979-0j 3.41816e-05-0j -0.000494149-0j -4.13222e-05-0j 0.497364-0j 3.16283e-05-0j 0.000806415-0j 4.418e-05-0j -5.85406e-05-0j -0.000862187-0j 9.55339e-05-0j -0.000102141-0j 
-5.09203e-05-0j 0.000992666-0j 0.00100295-0j 5.91036e-06-0j 0.0235556-0j -3.66657e-06-0j -2.13883e-06-0j -0.0146131-0j -0.00852428-0j -2.08206e-06-0j 7.07449e-05-0j 4.84526e-06-0j 0.0803996-0j -1.4875e-06-0j -2.12544e-06-0j -0.000164634-0j 5.05426e-05-0j -8.76698e-07-0j -0.187102-0j 7.22187e-05-0j 0.0574403-0j 2.97887e-05-0j 0.0820746-0j 0.033854-0j -1.60266e-06-0j 5.13412e-05-0j -1.81039e-06-0j -1.6357e-07-0j -0.000921935-0j 2.94852e-06-0j -0.23608-0j 5.7996e-05-0j 2.97907e-06-0j -1.29341e-06-0j -1.84772e-07-0j -9.44559e-05-0j -1.06701e-06-0j -0.00104144-0j 3.00932e-07-0j -9.54347e-05-0j -3.40914e-07-0j -0.26668-0j 3.0405e-07-0j 4.14343e-05-0j 0.00169615-0j -1.32008e-07-0j 3.41816e-05-0j 0.00171373-0j 0.434332-0j -0.000744038-0j -1.08901e-07-0j 1.09212e-05-0j 0.438833-0j -0.0006138-0j -3.47944e-08-0j -0.190526-0j -0.000196112-0j -0.157176-0j -0.0502184-0j 
0.00598122-0j -0.000309933-0j -0.000286782-0j 0.0343952-0j -2.5666e-05-0j -0.0833064-0j 0.0961311-0j 6.21639e-05-0j -7.17338e-05-0j -0.00012495-0j 0.00427248-0j 0.000285325-0j -1.84068e-06-0j -8.92684e-05-0j -0.000116815-0j -0.00975626-0j 0.0030524-0j -6.12194e-05-0j 4.20323e-06-0j 0.0039943-0j -1.31505e-06-0j 0.00209331-0j -1.72084e-06-0j -9.01846e-07-0j -9.61794e-05-0j -1.60299e-05-0j 0.000212653-0j -0.181731-0j 0.000387579-0j -8.87093e-05-0j -1.18071e-07-0j 3.54422e-05-0j -8.2083e-05-0j 0.000151927-0j 0.401808-0j -1.47849e-05-0j -0.000247933-0j -0.000856939-0j -0.167616-0j -1.36805e-05-0j 0.00026508-0j 2.61056e-07-0j -0.155096-0j 2.53211e-05-0j 0.000357476-0j 0.287066-0j -4.13222e-05-0j 0.000330774-0j -1.08901e-07-0j -0.000612227-0j -0.46847-0j 4.418e-05-0j -1.00766e-07-0j 0.000999108-0j 0.50087-0j 1.86508e-07-0j -0.00106821-0j -3.04367e-07-0j 3.25417e-07-0j 
-1.52206e-05-0j -0.0102024-0j -0.010178-0j 0.0059868-0j -0.0401826-0j -0.000103757-0j -0.00845847-0j 0.000696401-0j 0.0567721-0j -4.37233e-05-0j -0.071098-0j -7.26075e-07-0j -0.00883068-0j 9.27101e-05-0j -4.2668e-05-0j -0.00118066-0j 0.150755-0j 5.41838e-05-0j -0.000146643-0j -0.0693819-0j 0.0187244-0j 0.0881076-0j -0.00861754-0j 0.0109434-0j -3.36558e-05-0j 0.000536277-0j -5.41145e-07-0j 0.000664421-0j 0.301827-0j 3.05438e-05-0j -0.00114084-0j 8.62271e-06-0j 3.04706e-05-0j 1.14744e-06-0j 1.06831e-05-0j -0.000486691-0j -4.31539e-05-0j 0.00485303-0j -0.000602986-0j -0.000485524-0j 2.81272e-05-0j -1.83433e-05-0j -0.000601541-0j -1.82834e-05-0j -0.273919-0j -2.26523e-05-0j 0.000687623-0j -0.273263-0j 0.00103535-0j -0.0102903-0j 0.00085193-0j -0.000448185-0j 0.00103287-0j 0.387007-0j -0.000555278-0j 3.88948e-05-0j -0.252247-0j -0.0014628-0j 0.000953434-0j 
-0.00122091-0j -0.00604845-0j -0.00559665-0j -0.0034923-0j 0.0234398-0j 0.00845847-0j -0.00976061-0j -0.0567721-0j 0.0655119-0j 2.55053e-05-0j 0.0414738-0j -5.82416e-05-0j 0.00515123-0j 1.82218e-05-0j 2.38447e-05-0j -0.0947061-0j 0.0296303-0j 1.24963e-05-0j -0.0117629-0j 0.0387735-0j 0.00368022-0j 0.0203202-0j 0.00481584-0j 0.00252385-0j 1.96325e-05-0j -0.000312828-0j -4.34076e-05-0j -0.000387579-0j -0.176066-0j 1.81077e-05-0j 0.000665488-0j 0.000691665-0j 1.67551e-05-0j -3.10119e-05-0j 0.000856939-0j -0.000288531-0j 5.06091e-05-0j 0.389283-0j -0.000357476-0j -0.000266979-0j -5.41093e-05-0j -0.0014714-0j -0.000330774-0j 0.000494149-0j -0.162391-0j 0.000612227-0j -0.000806415-0j -0.150261-0j 0.0006138-0j 0.278117-0j -0.000999108-0j 0.000862187-0j 0.000567951-0j -0.453866-0j 0.00106821-0j -0.00105122-0j 0.485256-0j 0.00171551-0j -0.00183415-0j 
8.96883e-07-0j 0.00120866-0j 0.00120576-0j 3.66657e-06-0j 0.0146131-0j -6.35451e-08-0j -5.18033e-06-0j -0.000253258-0j -0.0206461-0j 2.57642e-06-0j -8.75423e-05-0j 4.27844e-08-0j -0.0994894-0j -5.463e-06-0j 2.51423e-06-0j -1.45374e-06-0j 0.000185623-0j -3.19281e-06-0j -0.00165213-0j -8.54293e-05-0j 0.210956-0j 0.000108486-0j -0.0970881-0j 0.123292-0j 1.98319e-06-0j -6.35314e-05-0j 3.18873e-08-0j 2.02408e-07-0j 0.00114084-0j -1.79981e-06-0j 0.292134-0j -1.02151e-06-0j -1.7955e-06-0j -6.76133e-08-0j 3.25448e-09-0j 5.7657e-05-0j 2.54287e-06-0j 1.83433e-05-0j -1.83693e-07-0j 5.75188e-05-0j -1.65741e-06-0j 0.00469716-0j -1.83252e-07-0j 2.16599e-06-0j -0.00103535-0j -6.90075e-09-0j -8.14609e-05-0j -0.00103287-0j -0.265122-0j -3.88948e-05-0j 2.59531e-07-0j 5.30953e-05-0j -0.264486-0j 0.0014628-0j -1.69159e-07-0j -0.00995979-0j -0.000953434-0j 0.374578-0j -0.244146-0j 
