-0.582018-0j -0.0102514-0j 0.822306-0j -0.0722966-0j -0.00120057-0j -0.0516512-0j 0.0717018-0j 0.0895931-0j -0.045438-0j -0.00655841-0j -0.000730589-0j -0.000105452-0j -0.0419089-0j 0.0411378-0j -0.00604903-0j -0.000521958-0j 0.00593772-0j 0.0592111-0j -7.53382e-05-0j 0.037974-0j 0.00854638-0j 0.00548108-0j -0.0336554-0j -0.00594948-0j -0.00049579-0j -0.000530205-0j -9.37279e-05-0j -0.0294484-0j -7.81066e-06-0j -0.0196323-0j 0.0289066-0j -0.0052058-0j -0.000489025-0j -0.00347053-0j 0.00511001-0j -0.000433816-0j -0.0121469-0j -0.000289211-0j 0.0392268-0j 0.000425834-0j 0.0206519-0j -8.64482e-05-0j -0.00214728-0j 0.0364938-0j -7.20401e-06-0j 0.00693438-0j 0.00365077-0j -0.00017894-0j 0.0158979-0j 0.000577865-0j 0.000304231-0j 0.00645125-0j 0.000537604-0j 0.00281037-0j 0.000234198-0j 
0.0553812-0j -0.000489025-0j 0.0392268-0j -0.00344879-0j 0.000114238-0j -0.00246394-0j 0.00342042-0j 0.00427389-0j -0.00216755-0j -0.000312858-0j -3.48516e-05-0j -5.03039e-06-0j 0.00398779-0j -0.00391441-0j 0.000575587-0j -2.48992e-05-0j -0.000564997-0j 0.00282457-0j -3.59389e-06-0j 0.00181149-0j 0.000407691-0j 0.000261466-0j 0.233982-0j -0.000283811-0j -2.36509e-05-0j 0.00368614-0j -4.47114e-06-0j 0.204734-0j -3.72595e-07-0j -0.681-0j -0.200967-0j -0.000248334-0j -0.00678166-0j 0.000826024-0j 0.000243765-0j -2.06945e-05-0j 0.0844486-0j 6.88354e-05-0j 0.543986-0j 2.03137e-05-0j -0.143578-0j 8.22587e-06-0j -0.000102433-0j -0.253715-0j 6.85489e-07-0j -0.000659833-0j 0.000174154-0j -8.53605e-06-0j -0.110527-0j -5.49861e-05-0j 1.45128e-05-0j 0.000307746-0j 2.56455e-05-0j 0.000134064-0j 1.1172e-05-0j 
0.000350577-0j 0.000433816-0j 0.00025306-0j 0.0189139-0j -0.0073113-0j -0.00447724-0j -0.00639739-0j -0.00263879-0j 2.73694e-05-0j 0.0541604-0j -9.33106e-05-0j -0.184649-0j 2.52437e-05-0j 2.55053e-05-0j 0.0499539-0j 2.20882e-05-0j 0.0504715-0j 1.82218e-05-0j 0.0437096-0j 5.82196e-06-0j 0.0360586-0j 0.0115209-0j 2.02722e-05-0j -0.000515714-0j -0.18952-0j 2.24372e-05-0j -0.000570791-0j -5.35354e-05-0j -0.20976-0j 1.18254e-05-0j -5.40902e-05-0j 0.00136192-0j 2.06945e-05-0j -0.000300833-0j 0.00137603-0j 0.500491-0j 7.31662e-06-0j -0.110553-0j 1.20718e-05-0j 0.505677-0j 1.28041e-05-0j -0.000526458-0j -0.000186131-0j 7.46905e-06-0j -0.193468-0j -0.000307101-0j -0.00032573-0j -0.0684014-0j 1.94848e-06-0j -0.112857-0j -0.119702-0j -0.000190009-0j -0.0698264-0j -4.95685e-05-0j -0.0182159-0j 
-0.0170021-0j 0.062442-0j -0.0122727-0j -0.00211195-0j -0.00246394-0j -0.00141281-0j 0.00639867-0j -0.000889282-0j -0.00132735-0j -0.000191586-0j -0.0014994-0j -0.000216419-0j 0.00363348-0j -0.00123694-0j 0.000524448-0j -0.00100304-0j -0.000178537-0j 0.00262278-0j -0.000144776-0j -0.00028235-0j 0.000378566-0j -4.07538e-05-0j 0.143284-0j -0.000173798-0j -1.44831e-05-0j 0.158586-0j -0.000192359-0j -0.372099-0j -1.60299e-05-0j 0.0835824-0j 0.126673-0j 0.00045134-0j -0.434115-0j -0.000101382-0j -0.000153649-0j 3.76117e-05-0j 0.65743-0j -8.4485e-06-0j 0.0853237-0j -1.28041e-05-0j 0.0847392-0j 0.000526564-0j -0.000797435-0j -0.15668-0j 4.38803e-05-0j -0.000103494-0j -0.000102785-0j -6.64529e-05-0j 0.0137719-0j -8.62451e-06-0j -8.56543e-06-0j 0.000190047-0j 1.58372e-05-0j -1.67048e-05-0j -1.39206e-06-0j 
0.0242937-0j 0.0287377-0j 0.0160598-0j 0.00301769-0j -0.00342042-0j -0.00639867-0j 0.00302992-0j 0.00606704-0j 0.0018966-0j 0.000273751-0j -0.00208145-0j -0.000300432-0j -0.00172124-0j -0.00176671-0j -0.000248439-0j 0.00441347-0j -0.000255002-0j -0.00113785-0j 0.00063703-0j 0.00426722-0j -0.000164235-0j 0.00061592-0j -0.204734-0j 0.000248334-0j 2.06945e-05-0j 0.220149-0j -0.000267031-0j 0.176269-0j -2.22526e-05-0j -0.119428-0j 0.180926-0j -0.000213807-0j -0.199793-0j 0.000144862-0j -0.000219455-0j -1.78172e-05-0j 0.365907-0j 1.20718e-05-0j -0.111653-0j -1.82879e-05-0j -0.383632-0j 0.00024234-0j -0.00044383-0j 0.354387-0j 2.0195e-05-0j 0.00013543-0j 0.000465329-0j -3.69858e-05-0j -0.360562-0j 1.12858e-05-0j 3.87774e-05-0j -0.000429856-0j -3.58214e-05-0j 0.000437347-0j 3.64456e-05-0j 
-0.00979011-0j 8.64482e-05-0j -0.00693438-0j -0.0288388-0j 0.000955261-0j -0.0206034-0j 0.0286015-0j 0.0357382-0j -0.0368665-0j -0.00528754-0j -0.00059277-0j -8.50174e-05-0j 0.0678258-0j -0.0665779-0j 0.00972786-0j -0.000423495-0j -0.00954887-0j 0.0480414-0j -6.07394e-05-0j 0.0308105-0j 0.00689029-0j 0.00441897-0j 0.000283811-0j 0.228337-0j -0.000601667-0j 4.47114e-06-0j 0.00359721-0j 0.000248334-0j -9.47864e-06-0j -0.000826024-0j -0.000243765-0j 0.199795-0j -8.22587e-06-0j -0.66457-0j -0.196119-0j -0.000526458-0j 0.000102433-0j 0.00175114-0j 0.000659833-0j 0.000516772-0j -0.000174154-0j -0.00661804-0j 0.0824112-0j -0.000307746-0j 1.74385e-05-0j 0.530862-0j -0.140114-0j -0.000217153-0j -0.000134064-0j -0.00139882-0j 0.0003692-0j -0.247594-0j 0.00065241-0j -0.10786-0j 0.000284211-0j 
0.00300557-0j -0.0110383-0j 0.00216953-0j -0.0176601-0j -0.0206034-0j -0.0118139-0j 0.0535056-0j -0.00743617-0j -0.022576-0j -0.00323795-0j -0.0255023-0j -0.00365765-0j 0.0617996-0j -0.0210383-0j 0.00886356-0j -0.0170601-0j -0.00301741-0j 0.0446093-0j -0.00244682-0j -0.00480232-0j 0.00639806-0j -0.000688769-0j 0.000173798-0j 0.139827-0j -0.000368444-0j 0.000192359-0j 0.15476-0j -0.00045134-0j -0.000407793-0j 0.000101382-0j 0.000153649-0j -0.363121-0j -0.000526564-0j 0.0815659-0j 0.123617-0j 0.000956823-0j 0.000797435-0j -0.000214926-0j 0.000103494-0j -0.00032573-0j 0.000102785-0j -0.423642-0j 0.641568-0j -0.000190047-0j 0.00111629-0j 0.0832652-0j 0.0826948-0j -0.00169053-0j 1.67048e-05-0j -0.000219403-0j -0.0002179-0j -0.1529-0j 0.000402892-0j 0.0134397-0j -3.54134e-05-0j 
-0.0100206-0j 0.0364938-0j -0.00841652-0j -0.00124474-0j 0.00427389-0j -0.000889282-0j -0.00606704-0j 0.00739204-0j -0.000782309-0j -0.000112917-0j 0.00260082-0j 0.000375396-0j -0.000721548-0j -0.00348087-0j -0.000104146-0j 0.00185812-0j -0.00050242-0j -0.000606041-0j 0.000268196-0j 0.00311051-0j -8.74744e-05-0j 0.000448963-0j 0.0844486-0j -0.000102433-0j -8.53605e-06-0j -0.275081-0j 0.000333662-0j 0.0738925-0j 2.78051e-05-0j 0.0492617-0j 0.35647-0j -8.96286e-05-0j -0.253715-0j -5.97524e-05-0j -0.000432383-0j -7.46905e-06-0j 0.0304791-0j -4.97936e-06-0j 0.0585141-0j -3.60319e-05-0j 0.254674-0j 0.000307746-0j -3.69699e-05-0j -0.438821-0j 2.56455e-05-0j -7.09752e-05-0j -0.00030891-0j -3.08082e-06-0j 0.262963-0j -5.9146e-06-0j -2.57425e-05-0j 0.000532272-0j 4.4356e-05-0j -0.000318963-0j -2.65802e-05-0j 
0.000815843-0j -7.20401e-06-0j 0.000577865-0j 0.0073113-0j -0.000242181-0j 0.00522345-0j -0.00725115-0j -0.00906048-0j -3.1931e-05-0j -0.0631872-0j -5.13413e-07-0j -0.00101598-0j 5.87456e-05-0j -5.76647e-05-0j 0.11625-0j -3.668e-07-0j -0.114111-0j 4.16098e-05-0j -0.000725848-0j 2.66858e-05-0j 0.0823404-0j 0.0528076-0j -2.36509e-05-0j 0.000601667-0j 0.221107-0j -3.72595e-07-0j 9.47864e-06-0j -2.06945e-05-0j 0.00348331-0j 6.88354e-05-0j 2.03137e-05-0j 0.000526458-0j 6.85489e-07-0j -0.00175114-0j -0.000516772-0j 0.193468-0j -8.53605e-06-0j -0.643526-0j -5.49861e-05-0j -0.189909-0j 1.45128e-05-0j -1.74385e-05-0j 0.000217153-0j 2.56455e-05-0j -0.00640848-0j 0.00139882-0j -0.0003692-0j 0.0798016-0j 1.1172e-05-0j 0.514052-0j -0.135677-0j -0.00065241-0j -0.239754-0j -0.000284211-0j -0.104445-0j 
-0.00429456-0j -0.00508015-0j -0.002839-0j 0.0252339-0j -0.0286015-0j -0.0535056-0j 0.0253361-0j 0.0507325-0j 0.0322582-0j 0.0046266-0j -0.0354021-0j -0.00507752-0j -0.0292754-0j -0.0300489-0j -0.0041988-0j 0.0750661-0j -0.00430973-0j -0.0193531-0j 0.0107663-0j 0.0725785-0j -0.0027757-0j 0.0104095-0j -0.000248334-0j -0.199795-0j 0.000526458-0j 0.000267031-0j 0.214837-0j 0.000213807-0j -0.000566095-0j -0.000144862-0j 0.000219455-0j 0.172016-0j -0.00024234-0j -0.116547-0j 0.176561-0j -0.000453262-0j 0.00044383-0j 0.000307101-0j -0.00013543-0j -0.000465236-0j -0.000465329-0j -0.194972-0j 0.357079-0j 0.000429856-0j 0.000513752-0j -0.108959-0j -0.374376-0j -0.000940901-0j -0.000437347-0j 0.000287106-0j 0.000986479-0j 0.345837-0j -0.000911278-0j -0.351863-0j 0.000927158-0j 
-0.000250464-0j 0.000919857-0j -0.000180795-0j 0.00447724-0j 0.00522345-0j 0.0029951-0j -0.0135649-0j 0.00188524-0j -1.95537e-05-0j -0.0386941-0j -2.20882e-05-0j -0.0437096-0j 5.35262e-05-0j -1.82218e-05-0j 0.105921-0j -1.47761e-05-0j -0.0360586-0j 3.86373e-05-0j -0.02924-0j -4.15941e-06-0j 0.076458-0j -0.00823093-0j -1.44831e-05-0j 0.000368444-0j 0.1354-0j -1.60299e-05-0j 0.000407793-0j 3.76117e-05-0j 0.14986-0j -8.4485e-06-0j -1.28041e-05-0j -0.000956823-0j 4.38803e-05-0j 0.000214926-0j 0.00032573-0j -0.351623-0j -6.64529e-05-0j 0.0789831-0j -8.62451e-06-0j 0.119702-0j -8.56543e-06-0j -0.00111629-0j 0.00169053-0j 1.58372e-05-0j -0.410227-0j 0.000219403-0j 0.0002179-0j 0.621253-0j -1.39206e-06-0j 0.0806286-0j 0.0800762-0j -0.000402892-0j -0.148059-0j 3.54134e-05-0j 0.0130141-0j 
0.00177142-0j -0.00645125-0j 0.00148784-0j -0.0104085-0j 0.0357382-0j -0.00743617-0j -0.0507325-0j 0.0618122-0j -0.0133058-0j -0.00190838-0j 0.0442358-0j 0.00634448-0j -0.0122724-0j -0.059204-0j -0.00176015-0j 0.0316036-0j -0.00849128-0j -0.0103078-0j 0.00453271-0j 0.0529047-0j -0.00147838-0j 0.00758781-0j 0.000102433-0j 0.0824112-0j -0.000217153-0j -0.000333662-0j -0.268444-0j 8.96286e-05-0j 0.000707349-0j 5.97524e-05-0j 0.000432383-0j 0.0721098-0j -0.000307746-0j 0.0480732-0j 0.34787-0j -0.000190009-0j 3.69699e-05-0j -0.000126673-0j 7.09752e-05-0j -0.000916635-0j 0.00030891-0j -0.247594-0j 0.0297438-0j -0.000532272-0j 0.00065241-0j 0.0571024-0j 0.24853-0j -7.83747e-05-0j 0.000318963-0j -0.000150465-0j -0.000654876-0j -0.428234-0j 0.0011284-0j 0.256618-0j -0.000676188-0j 
0.00035788-0j 0.000423346-0j 0.000236583-0j -0.00639739-0j 0.00725115-0j 0.0135649-0j -0.00642331-0j -0.0128619-0j 2.79396e-05-0j 0.0552888-0j -3.06627e-05-0j -0.0606774-0j -2.53562e-05-0j -2.60261e-05-0j -0.0501766-0j 6.50166e-05-0j -0.0515021-0j -1.67622e-05-0j 0.128659-0j 6.2862e-05-0j -0.0331701-0j 0.124396-0j 2.06945e-05-0j -0.000526458-0j -0.193468-0j -2.22526e-05-0j 0.000566095-0j -1.78172e-05-0j 0.208034-0j 1.20718e-05-0j -1.82879e-05-0j 0.000453262-0j 2.0195e-05-0j -0.000307101-0j 0.000465236-0j 0.166569-0j -3.69858e-05-0j -0.112857-0j 1.12858e-05-0j 0.17097-0j 3.87774e-05-0j -0.000513752-0j 0.000940901-0j -3.58214e-05-0j -0.188799-0j -0.000287106-0j -0.000986479-0j 0.345772-0j 3.64456e-05-0j -0.105509-0j -0.362521-0j 0.000911278-0j 0.334886-0j -0.000927158-0j -0.340721-0j 
-0.000147618-0j 0.000537604-0j -0.000123987-0j 0.00263879-0j -0.00906048-0j 0.00188524-0j 0.0128619-0j -0.0156708-0j -1.15245e-05-0j -0.0228055-0j 3.83137e-05-0j 0.0758178-0j -1.06294e-05-0j -5.12781e-05-0j -0.0210342-0j 2.73726e-05-0j -0.101472-0j -8.92782e-06-0j 0.0541668-0j 4.58221e-05-0j -0.017667-0j 0.0906759-0j -8.53605e-06-0j 0.000217153-0j 0.0798016-0j 2.78051e-05-0j -0.000707349-0j -7.46905e-06-0j -0.259944-0j -4.97936e-06-0j -3.60319e-05-0j 0.000190009-0j 2.56455e-05-0j 0.000126673-0j 0.000916635-0j 0.0698264-0j -3.08082e-06-0j 0.0465509-0j -5.9146e-06-0j 0.336854-0j -2.57425e-05-0j -0.00065241-0j 7.83747e-05-0j 4.4356e-05-0j -0.239754-0j 0.000150465-0j 0.000654876-0j 0.0288019-0j -2.65802e-05-0j 0.0552943-0j 0.24066-0j -0.0011284-0j -0.414674-0j 0.000676188-0j 0.248492-0j 
0.0183183-0j 0.0226678-0j 0.0132229-0j 0.00227545-0j 0.00265469-0j 0.00162566-0j 0.00232286-0j 0.000958129-0j -0.00579805-0j -0.000836876-0j 0.00161548-0j 0.000233174-0j 0.00131903-0j 0.0013327-0j 0.000190386-0j 0.00115415-0j 0.000192359-0j 0.000952128-0j 0.000166588-0j 0.000304209-0j 0.000137428-0j 4.39088e-05-0j 0.00105926-0j 0.000187253-0j 1.56044e-05-0j -0.00475319-0j -0.000840253-0j 0.000926855-0j -7.00211e-05-0j 0.000617903-0j 0.00093646-0j 0.000163846-0j 0.00108133-0j 0.000109231-0j 0.000165544-0j 1.36539e-05-0j 0.000382308-0j 9.10257e-06-0j 0.000630776-0j 1.37954e-05-0j 0.000669039-0j 0.000191154-0j 6.75832e-05-0j 0.000390273-0j 1.59295e-05-0j 0.000111507-0j 0.000118271-0j 5.63193e-06-0j 0.000101812-0j 9.29221e-06-0j 9.85588e-06-0j 6.89911e-05-0j 5.74926e-06-0j 1.7998e-05-0j 1.49984e-06-0j 
-0.00305306-0j -0.00377796-0j -0.00220381-0j 0.0179391-0j 0.0209289-0j 0.0128163-0j 0.0183128-0j 0.00755366-0j 0.000966341-0j -0.0133349-0j -0.000269246-0j 0.00371544-0j -0.000219839-0j -0.000222117-0j 0.00303364-0j -0.000192359-0j 0.00306508-0j -0.000158688-0j 0.00265444-0j -5.07016e-05-0j 0.0021898-0j 0.000699652-0j 0.0257295-0j 0.00147626-0j 0.000374266-0j -0.115455-0j -0.00662435-0j 0.0225133-0j -0.00167943-0j 0.0150089-0j 0.0227466-0j 0.00129172-0j 0.0262655-0j 0.00086115-0j 0.00130511-0j 0.000327482-0j 0.00928627-0j 0.000218322-0j 0.0153216-0j 0.000330876-0j 0.016251-0j 0.00150701-0j 0.000532809-0j 0.00947973-0j 0.000382063-0j 0.00087909-0j 0.000932416-0j 0.00013508-0j 0.00247302-0j 0.00022287-0j 0.000236389-0j 0.000543909-0j 0.000137894-0j 0.000141892-0j 3.5973e-05-0j 
