0.989596-0j -0.00150163-0j -0.00857713-0j 0.144225-0j -0.000126353-0j -0.0052491-0j -0.00530349-0j -0.00087485-0j 0.102455-0j -0.000883916-0j 0.103516-0j 0.010402-0j 0.0105098-0j -6.44388e-06-0j -6.51065e-06-0j -0.00383099-0j -0.00474061-0j -0.00276536-0j -0.000618224-0j 0.0480148-0j -0.000765013-0j -7.28583e-05-0j -0.000446257-0j 0.0594153-0j 0.0120668-0j -9.01576e-05-0j 0.0346589-0j 0.000707325-0j 0.0149319-0j -5.25919e-05-0j -3.39409e-07-0j 0.00871027-0j 0.00087527-0j -4.19997e-07-0j 0.000510574-0j -2.44998e-07-0j 
-0.010402-0j 0.0698084-0j 9.01576e-05-0j 0.144113-0j 0.018002-0j -5.30592e-05-0j 5.57471e-05-0j 0.000840638-0j 0.00103564-0j -0.000883224-0j -0.0010881-0j 0.465029-0j -0.488586-0j -0.00177819-0j 0.00186827-0j 4.02691e-05-0j -4.79193e-05-0j 2.90678e-05-0j -0.000617739-0j -0.000504703-0j 0.000735096-0j 0.00338707-0j -0.000445908-0j 0.000600585-0j 0.0120573-0j -0.00403054-0j -0.000364314-0j -0.100775-0j -0.014348-0j 0.00244492-0j 0.000162895-0j 0.00870345-0j 0.11992-0j -0.000193841-0j -0.0727433-0j 0.000117583-0j 
0.0105098-0j -0.0705318-0j 8.7486e-05-0j 0.139842-0j 0.0174685-0j -5.57471e-05-0j 5.62807e-05-0j 0.000883224-0j 0.0010881-0j -0.000891677-0j -0.00109851-0j 0.488586-0j -0.493263-0j -0.00186827-0j 0.00188615-0j -4.06864e-05-0j 4.83538e-05-0j -2.59503e-05-0j 0.000624141-0j 0.000509933-0j -0.000741762-0j -0.00342217-0j 0.000398085-0j -0.000606031-0j -0.0121823-0j 0.00406709-0j 0.000325242-0j 0.101819-0j 0.0144781-0j -0.00218271-0j -0.000164583-0j -0.00777003-0j -0.121008-0j 0.000195599-0j 0.0649418-0j -0.000104973-0j 
-6.44388e-06-0j -0.0253911-0j -5.31259e-06-0j 0.000179489-0j 0.201661-0j 3.12654e-06-0j -3.28493e-06-0j -9.95912e-05-0j 3.19102e-07-0j 0.000104636-0j -3.35267e-07-0j 0.00177819-0j -0.00186827-0j 0.450033-0j -0.472831-0j -2.37288e-06-0j 2.82367e-06-0j -1.71283e-06-0j 7.31842e-05-0j -3.12654e-07-0j -8.70876e-05-0j -0.00123197-0j 5.28272e-05-0j 3.72051e-07-0j 7.46933e-06-0j 0.00146601-0j -2.25686e-07-0j 0.011868-0j -8.88834e-06-0j -0.00088928-0j -0.128721-0j 5.39165e-06-0j -0.0141227-0j 0.153175-0j 0.0085668-0j -0.0929157-0j 
6.51065e-06-0j 0.0256542-0j -5.15516e-06-0j 0.000174171-0j 0.195685-0j 3.28493e-06-0j -3.31637e-06-0j -0.000104636-0j 3.35267e-07-0j 0.000105638-0j -3.38476e-07-0j 0.00186827-0j -0.00188615-0j 0.472831-0j -0.477356-0j 2.39747e-06-0j -2.84928e-06-0j 1.52914e-06-0j -7.39426e-05-0j 3.15894e-07-0j 8.78773e-05-0j 0.00124473-0j -4.71616e-05-0j -3.75425e-07-0j -7.54674e-06-0j -0.00147931-0j 2.01481e-07-0j -0.011991-0j 8.96894e-06-0j 0.000793907-0j 0.130055-0j -4.81341e-06-0j 0.0142508-0j -0.154564-0j -0.00764803-0j 0.0829507-0j 
0.00383099-0j 0.000552956-0j 0.00315842-0j 0.000558335-0j 4.65279e-05-0j 0.00193292-0j 0.00195295-0j 0.000322153-0j 0.000197277-0j 0.000325491-0j 0.000199322-0j 4.02691e-05-0j 4.06864e-05-0j 2.37288e-06-0j 2.39747e-06-0j 0.65762-0j -0.418534-0j -0.244145-0j -0.000442631-0j -0.000361406-0j 0.000281706-0j -5.21645e-05-0j 0.000164329-0j 0.000230012-0j -4.51758e-05-0j 3.31994e-05-0j 0.000134174-0j -5.32402e-06-0j 2.87515e-05-0j 1.93663e-05-0j -2.43007e-07-0j 1.67717e-05-0j 3.3884e-06-0j 1.54659e-07-0j 1.97657e-06-0j 9.02176e-08-0j 
-0.00474061-0j -0.000684248-0j -7.73559e-05-0j -1.36747e-05-0j -1.13956e-06-0j 0.00230013-0j 0.00232098-0j 0.000383354-0j 0.000234756-0j 0.000386831-0j 0.000236885-0j 4.79193e-05-0j 4.83538e-05-0j 2.82367e-06-0j 2.84928e-06-0j 0.418534-0j -0.00985756-0j -0.586288-0j -0.000281706-0j -0.000230012-0j 6.63492e-06-0j -3.31994e-05-0j 0.000394619-0j 5.41739e-06-0j -2.87515e-05-0j 7.81933e-07-0j 0.000322205-0j -3.3884e-06-0j 6.77174e-07-0j 4.65063e-05-0j -1.54659e-07-0j 4.02756e-05-0j 7.98057e-08-0j 3.64261e-09-0j 4.74653e-06-0j 2.16648e-07-0j 
0.00276536-0j 0.000399145-0j -0.00442437-0j -0.000782125-0j -6.51771e-05-0j 0.00139525-0j 0.00124561-0j 0.000232542-0j 0.000142402-0j 0.000207602-0j 0.00012713-0j 2.90678e-05-0j 2.59503e-05-0j 1.71283e-06-0j 1.52914e-06-0j -0.244145-0j 0.586288-0j -0.673547-0j 0.000164329-0j 0.000134174-0j -0.000394619-0j 1.93663e-05-0j 0.000453351-0j -0.000322205-0j 1.67717e-05-0j -4.65063e-05-0j 0.000370159-0j 1.97657e-06-0j -4.02756e-05-0j 5.34279e-05-0j 9.02176e-08-0j 4.62699e-05-0j -4.74653e-06-0j -2.16648e-07-0j 5.45296e-06-0j 2.48893e-07-0j 
-0.000618224-0j 0.00848251-0j -0.000509688-0j 0.00423746-0j 0.00107438-0j 0.059728-0j 0.0603469-0j 0.00244496-0j -3.18355e-05-0j 0.0024703-0j -3.21654e-05-0j 0.000617739-0j 0.000624141-0j 7.31842e-05-0j 7.39426e-05-0j 0.000442631-0j -0.000281706-0j -0.000164329-0j 0.643255-0j 5.83217e-05-0j -0.409391-0j -0.000800219-0j -0.238811-0j -3.71181e-05-0j -0.00034286-0j 0.000509289-0j -2.16522e-05-0j -0.000122938-0j 0.000218209-0j 0.000297085-0j -9.37833e-06-0j 0.000127288-0j 7.8242e-05-0j 5.96871e-06-0j 4.56412e-05-0j 3.48175e-06-0j 
0.0480148-0j -7.28583e-05-0j 0.0596237-0j 0.00699776-0j -6.13059e-06-0j -0.000254684-0j -0.000257323-0j 0.0060815-0j 0.00497105-0j 0.00614452-0j 0.00502256-0j 0.000504703-0j 0.000509933-0j -3.12654e-07-0j -3.15894e-07-0j 0.000361406-0j -0.000230012-0j -0.000134174-0j 5.83217e-05-0j 0.648963-0j -3.71181e-05-0j -0.000984746-0j -2.16522e-05-0j -0.413024-0j -0.00113835-0j 0.000626729-0j -0.240931-0j -6.67273e-05-0j 0.000724489-0j 0.000365592-0j 3.2019e-08-0j 0.000422619-0j 4.24677e-05-0j -2.03781e-08-0j 2.47728e-05-0j -1.18872e-08-0j 
0.000765013-0j -0.0104966-0j 1.24832e-05-0j -0.000103784-0j -2.63137e-05-0j 0.071075-0j 0.0717195-0j 0.00290945-0j -3.78835e-05-0j 0.00293584-0j -3.82271e-05-0j 0.000735096-0j 0.000741762-0j 8.70876e-05-0j 8.78773e-05-0j 0.000281706-0j -6.63492e-06-0j -0.000394619-0j 0.409391-0j 3.71181e-05-0j -0.00964222-0j -0.000509289-0j -0.573481-0j -8.74227e-07-0j -0.000218209-0j 1.19951e-05-0j -5.19956e-05-0j -7.8242e-05-0j 5.13938e-06-0j 0.00071342-0j -5.96871e-06-0j 0.00030567-0j 1.8428e-06-0j 1.40579e-07-0j 0.000109603-0j 8.36106e-06-0j 
7.28583e-05-0j 0.0465097-0j -0.00860595-0j -0.0010094-0j 0.0119938-0j 3.67605e-05-0j 3.71414e-05-0j 0.0834429-0j 3.75185e-06-0j 0.0843076-0j 3.79073e-06-0j 0.00338707-0j 0.00342217-0j 0.00123197-0j 0.00124473-0j -5.21645e-05-0j 3.31994e-05-0j 1.93663e-05-0j 0.000800219-0j 0.000984746-0j -0.000509289-0j 0.628621-0j -0.000297085-0j -0.000626729-0j 8.1672e-05-0j -0.400077-0j -0.000365592-0j -0.0013724-0j -5.19791e-05-0j -0.233378-0j -0.000211013-0j -3.03211e-05-0j 0.000873448-0j 0.000134297-0j 0.000509511-0j 7.83398e-05-0j 
-0.000446257-0j 0.006123-0j 0.000713979-0j -0.00593591-0j -0.00150501-0j 0.0431139-0j 0.0384901-0j 0.00176487-0j -2.29801e-05-0j 0.00157559-0j -2.05155e-05-0j 0.000445908-0j 0.000398085-0j 5.28272e-05-0j 4.71616e-05-0j -0.000164329-0j 0.000394619-0j -0.000453351-0j -0.238811-0j -2.16522e-05-0j 0.573481-0j 0.000297085-0j -0.658834-0j 5.19956e-05-0j 0.000127288-0j -0.00071342-0j -5.97342e-05-0j 4.56412e-05-0j -0.00030567-0j 0.0008196-0j 3.48175e-06-0j 0.000351164-0j -0.000109603-0j -8.36106e-06-0j 0.000125915-0j 9.60546e-06-0j 
-0.0594153-0j 9.01576e-05-0j -0.0014603-0j -0.000171389-0j 1.5015e-07-0j -0.000303068-0j -0.000305817-0j 0.00723685-0j 0.00591544-0j 0.00730248-0j 0.00596908-0j 0.000600585-0j 0.000606031-0j -3.72051e-07-0j -3.75425e-07-0j 0.000230012-0j -5.41739e-06-0j -0.000322205-0j 3.71181e-05-0j 0.413024-0j -8.74227e-07-0j -0.000626729-0j -5.19956e-05-0j -0.00972779-0j -0.000724489-0j 1.47611e-05-0j -0.578571-0j -4.24677e-05-0j 1.70636e-05-0j 0.000877931-0j 2.03781e-08-0j 0.00101488-0j 1.00022e-06-0j -4.79957e-10-0j 5.94894e-05-0j -2.85459e-08-0j 
-0.0120668-0j -0.000865742-0j 5.20198e-05-0j 0.0827089-0j -0.000109654-0j 3.18355e-05-0j 3.21654e-05-0j -0.000249538-0j 0.0587939-0j -0.000252124-0j 0.0594032-0j 0.0120573-0j 0.0121823-0j -7.46933e-06-0j -7.54674e-06-0j -4.51758e-05-0j 2.87515e-05-0j 1.67717e-05-0j 0.00034286-0j 0.00113835-0j -0.000218209-0j 8.1672e-05-0j -0.000127288-0j -0.000724489-0j 0.633195-0j -5.19791e-05-0j -0.000422619-0j -0.00239956-0j -0.402989-0j -3.03211e-05-0j 9.57171e-07-0j -0.235077-0j 0.00152717-0j -6.09179e-07-0j 0.000890847-0j -3.55354e-07-0j 
-9.01576e-05-0j -0.0575528-0j 0.000210776-0j 2.47221e-05-0j -0.000293751-0j 4.37441e-05-0j 4.41408e-05-0j 0.0992952-0j 4.46462e-06-0j 0.100196-0j 4.5051e-06-0j 0.00403054-0j 0.00406709-0j 0.00146601-0j 0.00147931-0j -3.31994e-05-0j 7.81933e-07-0j 4.65063e-05-0j 0.000509289-0j 0.000626729-0j -1.19951e-05-0j 0.400077-0j -0.00071342-0j -1.47611e-05-0j 5.19791e-05-0j -0.00942286-0j -0.000877931-0j -0.000873448-0j -1.22424e-06-0j -0.560435-0j -0.000134297-0j -7.28131e-05-0j 2.0572e-05-0j 3.16304e-06-0j 0.00122354-0j 0.000188125-0j 
0.0346589-0j -5.25919e-05-0j -0.0835219-0j -0.00980257-0j 8.58783e-06-0j -0.000183841-0j -0.000164124-0j 0.00438986-0j 0.00358829-0j 0.00391906-0j 0.00320346-0j 0.000364314-0j 0.000325242-0j -2.25686e-07-0j -2.01481e-07-0j -0.000134174-0j 0.000322205-0j -0.000370159-0j -2.16522e-05-0j -0.240931-0j 5.19956e-05-0j 0.000365592-0j -5.97342e-05-0j 0.578571-0j 0.000422619-0j -0.000877931-0j -0.664681-0j 2.47728e-05-0j -0.00101488-0j 0.0010086-0j -1.18872e-08-0j 0.00116592-0j -5.94894e-05-0j 2.85459e-08-0j 6.83434e-05-0j -3.27945e-08-0j 
0.000707325-0j -0.0145478-0j -6.13059e-06-0j -0.0147507-0j 0.0563287-0j -3.75185e-06-0j -3.79073e-06-0j 8.94757e-05-0j 7.32305e-05-0j 9.04029e-05-0j 7.39893e-05-0j 0.100775-0j 0.101819-0j 0.011868-0j 0.011991-0j 5.32402e-06-0j -3.3884e-06-0j -1.97657e-06-0j -0.000122938-0j -6.67273e-05-0j 7.8242e-05-0j 0.0013724-0j 4.56412e-05-0j 4.24677e-05-0j 0.00239956-0j -0.000873448-0j 2.47728e-05-0j 0.613099-0j -0.00152717-0j -0.000509511-0j -0.00307083-0j -0.000890847-0j -0.390199-0j 0.00195439-0j -0.227616-0j 0.00114006-0j 
0.0149319-0j 0.0010713-0j -1.27407e-06-0j -0.0020257-0j 2.68563e-06-0j 3.78835e-05-0j 3.82271e-05-0j -0.000296945-0j 0.0699634-0j -0.000299638-0j 0.0705979-0j 0.014348-0j 0.0144781-0j -8.88834e-06-0j -8.96894e-06-0j -2.87515e-05-0j 6.77174e-07-0j 4.02756e-05-0j 0.000218209-0j 0.000724489-0j -5.13938e-06-0j 5.19791e-05-0j -0.00030567-0j -1.70636e-05-0j 0.402989-0j -1.22424e-06-0j -0.00101488-0j -0.00152717-0j -0.00949143-0j -7.28131e-05-0j 6.09179e-07-0j -0.564513-0j 3.59688e-05-0j -1.43478e-08-0j 0.00213928-0j -8.53347e-07-0j 
5.25919e-05-0j 0.0335725-0j 0.0120553-0j 0.00141398-0j -0.0168011-0j 2.65351e-05-0j 2.36893e-05-0j 0.0602323-0j 2.70823e-06-0j 0.0537725-0j 2.41778e-06-0j 0.00244492-0j 0.00218271-0j 0.00088928-0j 0.000793907-0j 1.93663e-05-0j -4.65063e-05-0j 5.34279e-05-0j -0.000297085-0j -0.000365592-0j 0.00071342-0j -0.233378-0j -0.0008196-0j 0.000877931-0j -3.03211e-05-0j 0.560435-0j -0.0010086-0j 0.000509511-0j 7.28131e-05-0j -0.643845-0j 7.83398e-05-0j -8.36501e-05-0j -0.00122354-0j -0.000188125-0j 0.00140564-0j 0.000216124-0j 
3.39409e-07-0j 0.00223679-0j 2.79822e-07-0j -1.18298e-05-0j -0.0268367-0j 1.71248e-07-0j 1.73022e-07-0j -6.82567e-06-0j 1.74779e-08-0j -6.89641e-06-0j 1.7659e-08-0j 0.000162895-0j 0.000164583-0j 0.128721-0j 0.130055-0j -2.43007e-07-0j 1.54659e-07-0j 9.02176e-08-0j 9.37833e-06-0j -3.2019e-08-0j -5.96871e-06-0j -0.000211013-0j -3.48175e-06-0j 2.03781e-08-0j 9.57171e-07-0j 0.000134297-0j 1.18872e-08-0j 0.00307083-0j -6.09179e-07-0j 7.83398e-05-0j 0.59304-0j -3.55354e-07-0j -0.00195439-0j -0.377432-0j -0.00114006-0j -0.220169-0j 
-0.00871027-0j -0.000624926-0j -7.28702e-05-0j -0.11586-0j 0.000153605-0j 2.29801e-05-0j 2.05155e-05-0j -0.000180126-0j 0.0424397-0j -0.000160808-0j 0.0378881-0j 0.00870345-0j 0.00777003-0j -5.39165e-06-0j -4.81341e-06-0j 1.67717e-05-0j -4.02756e-05-0j 4.62699e-05-0j -0.000127288-0j -0.000422619-0j 0.00030567-0j -3.03211e-05-0j -0.000351164-0j 0.00101488-0j -0.235077-0j 7.28131e-05-0j -0.00116592-0j 0.000890847-0j 0.564513-0j -8.36501e-05-0j -3.55354e-07-0j -0.64853-0j -0.00213928-0j 8.53347e-07-0j 0.00245767-0j -9.80353e-07-0j 
-0.00087527-0j 0.018002-0j 1.5015e-07-0j 0.000361274-0j -0.0013796-0j -4.46462e-06-0j -4.5051e-06-0j 0.000106474-0j 8.71426e-05-0j 0.00010744-0j 8.79329e-05-0j 0.11992-0j 0.121008-0j 0.0141227-0j 0.0142508-0j 3.3884e-06-0j -7.98057e-08-0j -4.74653e-06-0j -7.8242e-05-0j -4.24677e-05-0j 1.8428e-06-0j 0.000873448-0j 0.000109603-0j 1.00022e-06-0j 0.00152717-0j -2.0572e-05-0j 5.94894e-05-0j 0.390199-0j -3.59688e-05-0j -0.00122354-0j -0.00195439-0j -0.00213928-0j -0.0091902-0j 4.60309e-05-0j -0.546597-0j 0.00273774-0j 
-4.19997e-07-0j -0.00276789-0j -6.85339e-09-0j 2.89736e-07-0j 0.000657284-0j 2.03781e-07-0j 2.05629e-07-0j -8.1224e-06-0j 2.07983e-08-0j -8.19605e-06-0j 2.09869e-08-0j 0.000193841-0j 0.000195599-0j 0.153175-0j 0.154564-0j -1.54659e-07-0j 3.64261e-09-0j 2.16648e-07-0j 5.96871e-06-0j -2.03781e-08-0j -1.40579e-07-0j -0.000134297-0j -8.36106e-06-0j 4.79957e-10-0j 6.09179e-07-0j 3.16304e-06-0j 2.85459e-08-0j 0.00195439-0j -1.43478e-08-0j 0.000188125-0j 0.377432-0j -8.53347e-07-0j -4.60309e-05-0j -0.00888951-0j -0.00273774-0j -0.528713-0j 
0.000510574-0j -0.0105012-0j 8.58783e-06-0j 0.0206631-0j -0.0789061-0j -2.70823e-06-0j -2.41778e-06-0j 6.4587e-05-0j 5.28605e-05-0j 5.76601e-05-0j 4.71914e-05-0j 0.0727433-0j 0.0649418-0j 0.0085668-0j 0.00764803-0j -1.97657e-06-0j 4.74653e-06-0j -5.45296e-06-0j 4.56412e-05-0j 2.47728e-05-0j -0.000109603-0j -0.000509511-0j 0.000125915-0j -5.94894e-05-0j -0.000890847-0j 0.00122354-0j 6.83434e-05-0j -0.227616-0j 0.00213928-0j -0.00140564-0j 0.00114006-0j -0.00245767-0j 0.546597-0j -0.00273774-0j -0.627948-0j 0.0031452-0j 
2.44998e-07-0j 0.0016146-0j -3.91979e-07-0j 1.65714e-05-0j 0.0375933-0j 1.23613e-07-0j 1.10356e-07-0j -4.92703e-06-0j 1.26162e-08-0j -4.39862e-06-0j 1.12632e-08-0j 0.000117583-0j 0.000104973-0j 0.0929157-0j 0.0829507-0j 9.02176e-08-0j -2.16648e-07-0j 2.48893e-07-0j -3.48175e-06-0j 1.18872e-08-0j 8.36106e-06-0j 7.83398e-05-0j -9.60546e-06-0j -2.85459e-08-0j -3.55354e-07-0j -0.000188125-0j 3.27945e-08-0j -0.00114006-0j 8.53347e-07-0j 0.000216124-0j -0.220169-0j -9.80353e-07-0j 0.00273774-0j 0.528713-0j -0.0031452-0j -0.607403-0j 
