0.70996-0j 0.717317-0j 0.0831455-0j 0.102887-0j 0.0600176-0j 0.0505971-0j 0.00730306-0j 0.0590299-0j 0.0361483-0j 0.00852024-0j 0.0516512-0j 0.00521756-0j 0.00745521-0j 0.021305-0j 0.00307512-0j 0.0367194-0j 0.00649114-0j 0.000540929-0j 0.041479-0j 0.0338675-0j 0.00733253-0j 0.0342185-0j 0.000611044-0j 0.0296341-0j 0.00598698-0j 0.0244468-0j 0.00604903-0j 0.000498915-0j 0.00523861-0j 0.00781088-0j 0.000504085-0j 0.000436551-0j 0.00432163-0j 0.00138078-0j 0.000360136-0j 0.000115065-0j 0.0288474-0j 0.00480791-0j 0.00294423-0j 0.0319283-0j 0.000600989-0j 3.54136e-05-0j 0.0252415-0j 0.00532138-0j 0.0168277-0j 0.0255031-0j 0.00325867-0j 0.000665172-0j 0.00420692-0j 0.0294484-0j 3.91957e-05-0j 0.00280461-0j 0.0104116-0j 0.0025762-0j 0.00425052-0j 0.0171783-0j 0.00171747-0j 0.0026029-0j 0.000525865-0j 0.0182203-0j 0.000350577-0j 0.00490807-0j 0.000531314-0j 3.09869e-05-0j 0.0106285-0j 0.00300557-0j 0.00173527-0j 2.06579e-05-0j 0.00286304-0j 3.1308e-05-0j 0.00277271-0j 0.00106263-0j 0.00175325-0j 0.00303672-0j 0.000613509-0j 0.0018596-0j 0.000216908-0j 0.00177142-0j 3.61514e-05-0j 0.00035788-0j 0.000379589-0j 0.00108477-0j 1.27814e-05-0j 0.000462118-0j 2.10883e-05-0j 0.000221427-0j 0.000282988-0j 2.23675e-05-0j 5.77647e-05-0j 1.30477e-05-0j 3.40382e-06-0j 
-0.00728967-0j -0.0072722-0j -0.0410412-0j 0.000711283-0j 0.0579852-0j -0.0507997-0j -0.0072859-0j -0.000843587-0j 0.107715-0j -0.000120991-0j -0.0495736-0j 0.0154489-0j -0.00711004-0j 0.0629532-0j 0.009029-0j 0.000383172-0j 0.308277-0j -0.000812309-0j 6.16095e-06-0j -0.000347742-0j 0.00495673-0j -0.000346909-0j -1.3061e-05-0j -1.30636e-05-0j -0.279772-0j 0.000491308-0j -0.279102-0j 0.000737199-0j -0.0105102-0j -0.000320229-0j 0.000735432-0j 2.76942e-05-0j 0.395277-0j -0.257637-0j -0.00104155-0j 0.000678873-0j 0.000301027-0j -0.00237322-0j -0.00594276-0j 4.74236e-06-0j 0.0576876-0j -7.10303e-05-0j -0.000259173-0j -3.73876e-05-0j 0.000175599-0j -0.000258552-0j -9.36221e-05-0j 0.000908809-0j 0.00204326-0j -4.30386e-06-0j -1.11901e-06-0j -0.00138438-0j -0.000538003-0j 0.00511651-0j 0.00203836-0j -0.00035086-0j -0.00346661-0j 0.00510424-0j -0.049667-0j 0.000548229-0j 0.0336511-0j 3.39306e-05-0j -0.0495479-0j 6.11545e-05-0j 0.000321178-0j 8.49654e-05-0j 0.00424148-0j -4.14343e-05-0j 0.00276609-0j 6.10079e-05-0j -0.000142197-0j 0.0106211-0j 0.00692655-0j -0.0043221-0j -0.000824776-0j -0.0108229-0j -0.103101-0j -0.00253209-0j 1.01554e-06-0j -0.0672375-0j 0.105061-0j -0.00634059-0j 0.000126947-0j 0.00112104-0j 8.27889e-05-0j 0.0615494-0j 0.0028072-0j -0.00012936-0j -0.02725-0j -7.57853e-05-0j 3.35527e-05-0j 
-0.00432163-0j -0.00399882-0j 0.0239407-0j -0.0579852-0j 0.0669118-0j 0.0296332-0j 0.00425011-0j -0.0676678-0j 0.0211709-0j -0.00970519-0j 0.0277038-0j 0.00303642-0j 0.00397339-0j 0.0145188-0j 0.00208235-0j -0.000223517-0j -0.179828-0j 0.000473847-0j 0.000494197-0j -0.000206157-0j 0.397601-0j -0.000190757-0j -0.00104768-0j 0.000353071-0j -0.165861-0j -0.000576186-0j -0.153472-0j 0.000437044-0j 0.28406-0j 0.000616035-0j 0.000404398-0j -0.000748497-0j -0.463565-0j 0.495625-0j 0.00122149-0j -0.00130597-0j -0.000175599-0j 0.00138438-0j 0.00346661-0j 0.000380405-0j -0.0336511-0j 4.14343e-05-0j -0.000153649-0j -0.00299902-0j -0.000102433-0j -0.000142172-0j -0.00750983-0j 0.0728995-0j 0.00121133-0j 0.00035086-0j -8.97606e-05-0j 0.000807554-0j -6.3377e-05-0j 0.00303329-0j 0.00112085-0j -0.000404873-0j 0.00202219-0j 0.00280671-0j -0.0294447-0j -0.000101572-0j -0.0196298-0j -0.00276609-0j -0.0272453-0j 3.6255e-05-0j -7.52806e-05-0j -0.00692655-0j 0.000499649-0j 2.417e-05-0j 0.00319192-0j 3.35469e-05-0j 0.000746611-0j 0.00125117-0j 0.00799286-0j 0.000800773-0j 0.0672375-0j 0.00200521-0j -0.0121453-0j 0.000593494-0j -8.27889e-05-0j -0.0775884-0j -0.019465-0j 0.00148616-0j 1.49544e-05-0j -0.0058861-0j 9.55339e-05-0j -0.0144265-0j -0.0147393-0j 2.39671e-05-0j 0.143078-0j 1.77632e-05-0j -0.000176171-0j 
0.000607473-0j 0.000606017-0j 0.0104049-0j -0.000180327-0j -0.0147006-0j -4.39989e-05-0j -0.087068-0j -7.30651e-07-0j 9.32945e-05-0j -0.00144586-0j -4.29369e-05-0j 0.184617-0j -0.0849665-0j 5.45253e-05-0j 0.107898-0j -3.1931e-05-0j 0.000812309-0j 0.298515-0j -5.13413e-07-0j 2.89785e-05-0j 1.3061e-05-0j 2.8909e-05-0j 0.00479978-0j 1.08863e-06-0j -0.000737199-0j -4.09424e-05-0j -0.000735432-0j -0.270913-0j -2.76942e-05-0j 2.66858e-05-0j -0.270264-0j -0.0101774-0j 0.00104155-0j -0.000678873-0j 0.382761-0j -0.249479-0j -2.50855e-05-0j 0.000601667-0j -2.56028e-06-0j -3.95197e-07-0j -0.00716506-0j 0.080724-0j 2.15977e-05-0j 9.47864e-06-0j -1.46332e-05-0j 2.1546e-05-0j -4.03346e-08-0j -0.000112878-0j -0.000518013-0j 3.58655e-07-0j 0.00127172-0j 0.000350972-0j 4.48336e-05-0j 2.20431e-06-0j -0.000516772-0j 2.92383e-05-0j -1.4935e-06-0j 2.19903e-06-0j 0.00616886-0j -4.56857e-05-0j -0.00417962-0j -8.6022e-06-0j 0.00615407-0j -0.0695004-0j -2.67649e-05-0j 3.66051e-08-0j -0.00107532-0j 0.047089-0j -0.000701269-0j -0.0693339-0j 1.18497e-05-0j 4.57581e-06-0j 2.98412e-06-0j 0.00109575-0j 0.000102441-0j -4.66278e-06-0j 0.0128056-0j 0.000641945-0j -0.00115413-0j 0.00835119-0j -0.013049-0j -2.73168e-06-0j -0.144272-0j -0.000284211-0j -0.0940874-0j -0.00764471-0j 1.20941e-06-0j 0.147014-0j 0.00338457-0j 0.0861279-0j -0.0381318-0j 
0.000360136-0j 0.000333235-0j -0.00606953-0j 0.0147006-0j -0.0169637-0j 2.5666e-05-0j 0.0507897-0j -5.86087e-05-0j 1.83367e-05-0j -0.115979-0j 2.3995e-05-0j 0.0362859-0j 0.0474828-0j 1.25751e-05-0j 0.0248845-0j 1.86264e-05-0j -0.000473847-0j -0.174134-0j -4.11831e-05-0j 1.71797e-05-0j 0.00104768-0j 1.58964e-05-0j 0.385011-0j -2.94226e-05-0j -0.000437044-0j 4.80155e-05-0j -0.000404398-0j -0.160609-0j 0.000748497-0j -5.13363e-05-0j -0.148612-0j 0.275065-0j -0.00122149-0j 0.00130597-0j -0.448886-0j 0.479931-0j 1.46332e-05-0j -0.000350972-0j 1.4935e-06-0j -3.17005e-05-0j 0.00417962-0j -0.047089-0j 1.28041e-05-0j 0.000760323-0j 8.53605e-06-0j 1.18477e-05-0j -3.23541e-06-0j -0.00905444-0j -0.000307101-0j -2.92383e-05-0j 0.10201-0j -0.000204734-0j 5.28141e-06-0j 1.30681e-06-0j -0.000284161-0j 3.37394e-05-0j 8.71207e-07-0j 1.2092e-06-0j 0.00365716-0j 8.46437e-06-0j 0.00243811-0j 0.000701269-0j 0.00338399-0j -0.0412029-0j 6.27338e-06-0j -2.98412e-06-0j -0.000126673-0j -0.0274686-0j -0.000809226-0j -0.0381251-0j -6.22176e-05-0j 5.39032e-07-0j 3.44351e-06-0j -0.000203015-0j -0.00835119-0j 8.63892e-07-0j 0.0015085-0j -0.000150465-0j 0.0940874-0j 0.00963682-0j 0.00241764-0j 6.40274e-07-0j -0.0169953-0j 0.00149226-0j -0.108572-0j 0.00179183-0j -6.35006e-06-0j -0.0272379-0j -0.0177709-0j -0.0201874-0j 0.200213-0j 
0.0252415-0j 0.0255031-0j 0.00295611-0j 0.003658-0j 0.00213383-0j -0.00542925-0j -0.000783645-0j 0.00209872-0j 0.0012852-0j 0.000302924-0j 0.00183638-0j 0.000185502-0j 0.000265058-0j 0.000757467-0j 0.000109331-0j 0.0013055-0j 0.000230783-0j 1.92319e-05-0j -0.00445085-0j 0.00120411-0j -0.000786807-0j 0.00121658-0j -6.55673e-05-0j 0.00105359-0j 0.000212858-0j 0.00086917-0j 0.000215064-0j 1.77382e-05-0j 0.000186251-0j 0.000277704-0j 1.7922e-05-0j 1.55209e-05-0j 0.000153649-0j 4.90916e-05-0j 1.28041e-05-0j 4.09097e-06-0j -0.200907-0j 0.000170938-0j 0.000104678-0j -0.222363-0j 2.13672e-05-0j 1.25908e-06-0j 0.530561-0j 0.000189193-0j -0.117195-0j 0.536059-0j 0.000115857-0j 2.36492e-05-0j -0.000451418-0j -0.205092-0j 1.39354e-06-0j 9.97137e-05-0j -0.072511-0j -0.000276436-0j -0.000456096-0j -0.119637-0j 6.10619e-05-0j -0.000279301-0j -5.64273e-05-0j -0.126894-0j 1.24642e-05-0j 0.000174499-0j -5.7012e-05-0j -3.32501e-06-0j -0.0740216-0j 0.000106858-0j 6.16947e-05-0j 7.34461e-07-0j 0.000101791-0j -3.35946e-06-0j -0.0193104-0j 3.77801e-05-0j 6.2334e-05-0j 0.000107966-0j 2.18124e-05-0j 6.61152e-05-0j 7.71184e-06-0j 6.298e-05-0j 1.28531e-06-0j 1.27239e-05-0j 1.34957e-05-0j 3.85672e-05-0j 4.54424e-07-0j 1.64299e-05-0j 7.49762e-07-0j 7.8725e-06-0j 1.00612e-05-0j 7.95243e-07-0j 2.05374e-06-0j 4.63892e-07-0j 1.21018e-07-0j 
-0.0294484-0j 0.0289066-0j 0.00687929-0j -6.07452e-05-0j 0.00487264-0j -0.00209872-0j -0.000302924-0j 6.95183e-05-0j -0.0014994-0j 1.00341e-05-0j 0.00208145-0j -0.000216419-0j 0.000300432-0j 0.00260082-0j 0.000375396-0j -0.00152309-0j -0.000269246-0j -2.24372e-05-0j -2.44894e-05-0j 0.00280213-0j -4.32916e-06-0j -0.00275057-0j -3.60764e-07-0j -1.74961e-05-0j 0.000495351-0j 0.00198476-0j -0.000486237-0j 4.12793e-05-0j -3.0929e-06-0j 0.00127289-0j -4.05197e-05-0j -2.57742e-07-0j 0.00035086-0j 0.000225018-0j 2.92383e-05-0j 1.87515e-05-0j 0.234391-0j -0.000199427-0j -0.000122124-0j 0.00369259-0j -2.49284e-05-0j -1.46892e-06-0j 0.205092-0j -3.14177e-06-0j -0.68219-0j -0.201318-0j -1.92393e-06-0j -3.92721e-07-0j -0.000174499-0j -0.00679351-0j -2.31413e-08-0j 0.000580429-0j 0.0845962-0j -0.000106858-0j 0.000171288-0j 0.544937-0j 0.000355439-0j 0.000104892-0j -2.18124e-05-0j -0.143829-0j 7.25536e-05-0j 5.78013e-06-0j 2.1411e-05-0j -1.28531e-06-0j -0.254159-0j 3.5396e-06-0j -7.19771e-05-0j 4.27526e-06-0j -0.00046365-0j 1.26166e-06-0j -0.11072-0j -4.40768e-05-0j -0.000283926-0j 0.000122374-0j 7.22517e-07-0j 7.49386e-05-0j -8.99714e-06-0j 0.000216247-0j 4.25747e-08-0j -5.79562e-05-0j 1.52968e-05-0j 0.000132423-0j -5.30162e-07-0j 9.4204e-05-0j -3.4151e-06-0j 2.70308e-05-0j 5.76879e-05-0j 9.01371e-07-0j 1.17755e-05-0j 1.59281e-06-0j 6.93878e-07-0j 
-0.00420692-0j -0.00425052-0j 0.0233052-0j 0.0288388-0j 0.0168226-0j 0.000904876-0j -0.0124867-0j -0.000349786-0j -0.0002142-0j 0.00482684-0j -0.000306063-0j 0.00295583-0j 0.00422349-0j -0.000126245-0j 0.0017421-0j 0.0317107-0j 0.00181943-0j 0.000461269-0j -0.108111-0j 0.0292478-0j -0.006203-0j 0.0295508-0j -0.0015726-0j 0.0255918-0j 0.00167812-0j 0.0211121-0j 0.00169551-0j 0.000425443-0j 0.00146835-0j 0.00674543-0j 0.000429852-0j 0.000372262-0j 0.00121133-0j 0.000387026-0j 0.000307101-0j 9.81202e-05-0j -0.000170938-0j -0.196404-0j -1.74463e-05-0j -0.000189193-0j 0.000340469-0j 4.03345e-05-0j 0.000451418-0j -0.217379-0j -9.97137e-05-0j 0.000456096-0j -1.93095e-05-0j 0.00037683-0j 0.51867-0j -0.000174499-0j 4.46421e-05-0j -0.114569-0j -6.16947e-05-0j 4.60727e-05-0j 0.524045-0j -0.000101791-0j -1.0177e-05-0j 4.65501e-05-0j -0.000899122-0j -0.000107966-0j 0.000198607-0j -0.200496-0j -0.00090844-0j -0.000106517-0j -6.298e-05-0j -1.78097e-05-0j -0.0708859-0j 2.35285e-05-0j -0.116956-0j -0.000107621-0j -1.64299e-05-0j -6.29669e-06-0j -1.0389e-05-0j -0.12405-0j 0.000347562-0j -1.10192e-05-0j 0.000122882-0j -0.0723627-0j 4.11748e-05-0j 0.000202745-0j 0.000215043-0j -6.42787e-06-0j 1.45575e-05-0j -0.0188776-0j 2.40186e-05-0j 0.000125442-0j -1.67687e-06-0j 2.54756e-05-0j 3.27246e-05-0j 1.48608e-05-0j 3.8768e-06-0j 
0.0535217-0j -0.0182203-0j -0.00211195-0j 0.00775636-0j -0.00152448-0j -0.0012852-0j -0.000185502-0j -0.0014994-0j -0.000859747-0j -0.000216419-0j 0.00389383-0j -0.000124094-0j 0.000562025-0j -0.000541161-0j -7.81098e-05-0j -0.000932697-0j -0.000164879-0j -1.37399e-05-0j -0.00105359-0j 0.00255317-0j -0.000186251-0j -0.00086917-0j -1.55209e-05-0j -0.000704812-0j 0.00045134-0j 0.00184297-0j -0.000153649-0j 3.76117e-05-0j -0.000124594-0j -0.000198401-0j -1.28041e-05-0j -1.03829e-05-0j 0.000325795-0j -3.50727e-05-0j 2.71496e-05-0j -2.92273e-06-0j 0.143535-0j -0.000122124-0j -7.47853e-05-0j 0.158864-0j -1.52655e-05-0j -8.99527e-07-0j -0.372749-0j -0.000135166-0j 0.0837285-0j 0.126894-0j -8.27721e-05-0j -1.68958e-05-0j 0.000317147-0j -0.434874-0j -9.95594e-07-0j -7.12389e-05-0j 0.658579-0j 0.000194212-0j -0.000107966-0j 0.0854728-0j -4.36247e-05-0j -6.61152e-05-0j 3.96433e-05-0j 0.0848873-0j -8.90486e-06-0j 0.000370005-0j -1.34957e-05-0j 2.33601e-06-0j -0.156954-0j 0.000226581-0j -0.00056034-0j -5.24724e-07-0j -7.2723e-05-0j -7.95243e-07-0j 0.013796-0j -0.000343137-0j -4.45336e-05-0j -7.22248e-05-0j 4.62506e-05-0j -4.42285e-05-0j -7.00425e-05-0j 0.000133542-0j 2.72534e-06-0j -9.09038e-06-0j -9.0281e-06-0j 8.17773e-05-0j -4.12729e-06-0j -1.17381e-05-0j -5.35656e-07-0j 1.66927e-05-0j -7.18807e-06-0j -5.31986e-07-0j -1.46726e-06-0j 9.83628e-07-0j -8.64591e-08-0j 
-0.0025762-0j -0.0026029-0j -0.000301707-0j -0.000373343-0j -0.000217783-0j -0.107182-0j 7.99805e-05-0j 0.0414322-0j 0.0253719-0j -3.0917e-05-0j 0.0362532-0j -1.89327e-05-0j -2.70524e-05-0j 0.0149537-0j -1.11585e-05-0j -0.000133242-0j 0.00455603-0j -1.96285e-06-0j 0.000454263-0j -0.000122894-0j -0.0155329-0j -0.000124167-0j 6.69193e-06-0j -0.000107532-0j 0.00420217-0j -8.87093e-05-0j 0.00424572-0j -1.81039e-06-0j 0.0036769-0j -2.8343e-05-0j -1.82915e-06-0j -1.58409e-06-0j 0.00303329-0j 0.000969149-0j -1.30681e-06-0j -4.17532e-07-0j -0.000104678-0j -1.74463e-05-0j -0.197788-0j -0.000115857-0j 0.000421824-0j -1.28504e-07-0j 0.000276436-0j -1.93095e-05-0j -6.10619e-05-0j 0.000279301-0j -0.218912-0j 0.000466874-0j 4.60727e-05-0j -0.000106858-0j -1.42228e-07-0j -1.0177e-05-0j -3.77801e-05-0j 0.522326-0j 4.65501e-05-0j -6.2334e-05-0j -0.115377-0j 0.527739-0j -0.00111397-0j -6.61152e-05-0j 0.000246064-0j -1.78097e-05-0j -0.00112551-0j 3.39357e-07-0j -3.85672e-05-0j -0.201909-0j -6.29669e-06-0j -7.49606e-08-0j -1.0389e-05-0j 3.42874e-07-0j -1.00612e-05-0j -0.0713856-0j -0.11778-0j -1.10192e-05-0j 0.000430612-0j -0.124925-0j 0.000152244-0j -6.42787e-06-0j -1.31181e-07-0j 0.000251191-0j 0.000266428-0j -0.0728728-0j -4.63795e-08-0j -1.67687e-06-0j -7.65223e-08-0j 0.000155416-0j -0.0190107-0j -8.11641e-08-0j 4.05441e-05-0j -4.73457e-08-0j -1.23513e-08-0j 
-0.025354-0j -0.0260239-0j 0.00301769-0j 0.00356971-0j 0.0019949-0j 0.00183638-0j 0.000265058-0j -0.00208145-0j -0.00389383-0j -0.000300432-0j 0.00184382-0j -0.000562025-0j 0.000266132-0j 0.00369202-0j 0.000532897-0j 0.0013327-0j 0.000235591-0j 1.96325e-05-0j -0.00146259-0j -0.00120947-0j -0.000258552-0j -0.00124143-0j -2.1546e-05-0j 0.00310125-0j -0.000213807-0j -0.000799545-0j -0.000219455-0j -1.78172e-05-0j 0.000548229-0j 0.00299848-0j -1.82879e-05-0j 4.56857e-05-0j -0.000141341-0j 0.000530061-0j -1.17784e-05-0j 4.41718e-05-0j -0.205092-0j 0.000174499-0j 0.000106858-0j 0.220533-0j 2.18124e-05-0j 1.28531e-06-0j 0.176577-0j -0.000187637-0j -0.119637-0j 0.181242-0j -0.000114904-0j -2.34546e-05-0j -0.000150237-0j -0.200142-0j -1.38208e-06-0j 0.000101791-0j 0.366546-0j -9.20012e-05-0j -0.000154206-0j -0.111848-0j 6.2334e-05-0j -9.44317e-05-0j -1.87797e-05-0j -0.384302-0j 1.27239e-05-0j 0.000170287-0j -1.92758e-05-0j -1.1066e-06-0j 0.355006-0j 0.000104279-0j -0.000311869-0j 7.49762e-07-0j 9.51636e-05-0j -1.13584e-06-0j -0.361192-0j -0.00019098-0j 5.82756e-05-0j 0.000326977-0j 2.12859e-05-0j 0.000200231-0j -3.89836e-05-0j -0.000302051-0j 1.25428e-06-0j 1.18955e-05-0j 4.08721e-05-0j -0.000184967-0j -2.29713e-06-0j 0.000307314-0j 7.00946e-07-0j -3.77563e-05-0j 0.000188191-0j 2.40841e-06-0j 3.84143e-05-0j -2.22481e-06-0j 2.26358e-06-0j 
0.000525865-0j 0.000531314-0j -0.0058879-0j -0.0072859-0j -0.00425011-0j 0.0108827-0j -0.0730433-0j -0.00420679-0j -0.00257612-0j 0.0282354-0j -0.00368094-0j 0.0172906-0j 0.024706-0j -0.00151831-0j 0.0101907-0j 2.7198e-05-0j 0.0442263-0j 0.0054931-0j -9.27261e-05-0j 2.50855e-05-0j -0.150781-0j 2.53455e-05-0j -0.0187276-0j 2.19499e-05-0j 0.0407913-0j 1.81077e-05-0j 0.041214-0j 0.00506646-0j 0.0356924-0j 5.7855e-06-0j 0.00511896-0j 0.00443315-0j 0.0294447-0j 0.00940773-0j 0.00365716-0j 0.00116848-0j 2.13672e-05-0j -0.000340469-0j -0.000421824-0j 2.36492e-05-0j -0.191623-0j 0.000724289-0j -5.64273e-05-0j -0.00037683-0j 1.24642e-05-0j -5.7012e-05-0j -0.000466874-0j -0.212087-0j 0.000899122-0j 2.18124e-05-0j 0.000801641-0j -0.000198607-0j 7.71184e-06-0j 0.00111397-0j 0.00090844-0j 1.27239e-05-0j -0.000246064-0j 0.00112551-0j 0.506043-0j 1.34957e-05-0j -0.11178-0j -0.000347562-0j 0.511287-0j -0.00191272-0j 7.8725e-06-0j -0.000430612-0j -0.000122882-0j 0.000422502-0j -0.000202745-0j -0.00193255-0j 2.05374e-06-0j -0.000152244-0j -0.000251191-0j -0.000215043-0j -0.195615-0j -0.000266428-0j -0.0691603-0j -0.000125442-0j 0.000739378-0j -0.114109-0j -0.12103-0j -0.000155416-0j 0.00026141-0j -3.27246e-05-0j 0.000431304-0j -0.0706011-0j -4.05441e-05-0j 0.000457467-0j -0.018418-0j 0.000266856-0j 6.96158e-05-0j 
0.00490807-0j -0.00481777-0j 0.0542347-0j -0.000478901-0j 0.0384147-0j 0.000349786-0j -0.00482684-0j -1.15864e-05-0j 0.000249899-0j 0.000159885-0j -0.000346909-0j -0.00344846-0j 0.00478713-0j -0.00043347-0j 0.00598163-0j -0.0369958-0j -0.00212267-0j -0.000538147-0j -0.000594849-0j 0.0680638-0j -3.41301e-05-0j -0.0668114-0j -8.65277e-06-0j -0.000424981-0j 0.00390523-0j 0.0482099-0j -0.00383337-0j 0.000990067-0j -2.43837e-05-0j 0.0309186-0j -0.00097185-0j -6.18184e-06-0j 0.00276609-0j 0.00177399-0j 0.000701269-0j 0.000449747-0j 0.000199427-0j 0.229138-0j 2.0354e-05-0j 3.14177e-06-0j -0.000397214-0j -4.70569e-05-0j 0.000174499-0j 0.00360983-0j -0.000580429-0j -0.000171288-0j 3.20656e-07-0j -6.25769e-06-0j 0.200496-0j -5.78013e-06-0j -7.41333e-07-0j -0.666901-0j 7.19771e-05-0j 1.78097e-05-0j -0.196807-0j 0.00046365-0j -5.92398e-05-0j -1.7482e-05-0j -0.000347562-0j -0.000122374-0j 0.00115608-0j -0.00664126-0j 0.000341167-0j -4.11748e-05-0j -0.000216247-0j -5.89933e-07-0j 0.0827003-0j 0.000136958-0j 0.532724-0j 4.04172e-05-0j -9.4204e-05-0j 7.34614e-06-0j 4.73211e-05-0j -0.140605-0j 1.15127e-05-0j -1.24898e-05-0j -0.000143362-0j -0.248463-0j 1.36388e-06-0j -0.000923485-0j 0.000243742-0j -2.20706e-05-0j -1.69837e-05-0j -0.108238-0j -0.000109403-0j 0.000430714-0j -9.61465e-06-0j 2.88755e-05-0j 0.000187633-0j 5.10256e-05-0j 2.22284e-05-0j 
-0.0106285-0j -0.0512737-0j -0.00124474-0j 0.00453315-0j -0.00104548-0j -0.000757467-0j -0.000109331-0j 0.00260082-0j -0.000541161-0j 0.000375396-0j -0.00369202-0j -7.81098e-05-0j -0.000532897-0j 0.00449833-0j 0.000649278-0j -0.000549711-0j -9.71761e-05-0j -8.09801e-06-0j 0.00182754-0j -0.000507016-0j 0.000323066-0j -0.00244593-0j 2.69222e-05-0j 0.00130566-0j -8.96286e-05-0j -0.000425851-0j -0.000432383-0j -7.46905e-06-0j 0.00023081-0j 0.00218568-0j -3.60319e-05-0j 1.92342e-05-0j -7.52806e-05-0j 0.000386378-0j -6.27338e-06-0j 3.21982e-05-0j 0.0845962-0j -7.19771e-05-0j -4.40768e-05-0j -0.275561-0j -8.99714e-06-0j -5.30162e-07-0j 0.0740216-0j 0.000234457-0j 0.0493478-0j 0.357093-0j 0.000143575-0j 2.93071e-05-0j -6.298e-05-0j -0.254159-0j 1.72694e-06-0j -4.19867e-05-0j 0.0305324-0j -3.85672e-05-0j -0.000303826-0j 0.0586164-0j -2.57115e-05-0j -0.000186055-0j -7.8725e-06-0j 0.25512-0j -5.24833e-06-0j 0.000216247-0j -3.79783e-05-0j -4.63892e-07-0j -0.439588-0j 0.000132423-0j -2.59779e-05-0j -3.09261e-07-0j -4.98727e-05-0j -2.23789e-06-0j 0.263422-0j -1.59082e-05-0j -3.05407e-05-0j -0.000217064-0j 2.70308e-05-0j -0.000132924-0j -3.24724e-06-0j 0.000374016-0j 1.59281e-06-0j -6.23409e-06-0j -2.7133e-05-0j 0.000229037-0j -1.91345e-07-0j -0.000224128-0j -3.67347e-07-0j 4.6752e-05-0j -0.00013725-0j -1.59883e-06-0j -2.8016e-05-0j 2.75489e-06-0j -1.65086e-06-0j 
-3.09869e-05-0j -3.1308e-05-0j 0.000697524-0j 0.000863142-0j 0.0005035-0j 6.66504e-06-0j 0.0265634-0j -2.57642e-06-0j -1.57773e-06-0j -0.0102683-0j -2.25437e-06-0j -0.006288-0j -0.00898473-0j -9.29879e-07-0j -0.00370601-0j -1.60266e-06-0j 5.44555e-05-0j 0.0618872-0j 5.46394e-06-0j -1.47818e-06-0j -0.000185655-0j -1.4935e-06-0j -0.210992-0j -1.29341e-06-0j 5.0226e-05-0j -1.06701e-06-0j 5.07465e-05-0j 0.0570805-0j 4.39478e-05-0j -3.40914e-07-0j 0.057672-0j 0.0499454-0j 3.6255e-05-0j 1.15837e-05-0j 0.0412029-0j 0.0131645-0j -1.25908e-06-0j 4.03345e-05-0j -1.28504e-07-0j -1.39354e-06-0j -0.000724289-0j -0.185468-0j 3.32501e-06-0j 4.46421e-05-0j -7.34461e-07-0j 3.35946e-06-0j -1.42228e-07-0j -0.000801641-0j -0.000106517-0j -1.28531e-06-0j -0.205276-0j 2.35285e-05-0j -4.54424e-07-0j 3.39357e-07-0j -0.000107621-0j -7.49762e-07-0j -7.49606e-08-0j 3.42874e-07-0j 0.00191272-0j -7.95243e-07-0j -0.000422502-0j 4.11748e-05-0j 0.00193255-0j 0.489791-0j -4.63892e-07-0j -1.31181e-07-0j 1.45575e-05-0j -0.10819-0j 2.40186e-05-0j 0.494867-0j -1.21018e-07-0j -4.63795e-08-0j -7.65223e-08-0j 2.54756e-05-0j -0.000739378-0j -8.11641e-08-0j -0.00026141-0j 1.48608e-05-0j -0.189332-0j -0.000431304-0j -0.000457467-0j -4.73457e-08-0j -0.0669391-0j 3.8768e-06-0j -0.110444-0j -0.000266856-0j -1.23513e-08-0j -0.117143-0j -6.96158e-05-0j -0.0683336-0j -0.0178265-0j 
