-0.00524564-0j -0.000927306-0j -7.72755e-05-0j -0.00456118-0j -0.000760197-0j -0.000465524-0j -9.50246e-05-0j -5.59938e-06-0j 0.707093-0j 0.714421-0j -0.000462608-0j -0.000467402-0j -0.000377718-0j -0.000381632-0j -5.45189e-05-0j -4.72147e-05-0j -5.50838e-05-0j -4.7704e-05-0j -5.56431e-06-0j -5.62197e-06-0j -2.53975e-07-0j -2.56607e-07-0j -0.00212331-0j -0.00262746-0j -0.00153269-0j 0.0828098-0j 0.102472-0j -0.000265414-0j 0.0597752-0j -0.000176943-0j -3.83092e-05-0j -0.000328433-0j -0.000218955-0j -4.42357e-05-0j -0.000191586-0j -4.74052e-05-0j -1.56397e-05-0j -0.000127724-0j -3.6863e-06-0j -2.7653e-05-0j -3.90992e-06-0j -5.47388e-05-0j -1.93531e-05-0j -3.1931e-05-0j -4.56157e-06-0j -3.25826e-07-0j -1.12893e-05-0j -4.83827e-06-0j -2.66092e-06-0j -1.21428e-08-0j -4.0319e-07-0j -2.82233e-06-0j -1.5026e-08-0j -2.35194e-07-0j -8.76516e-09-0j 
8.67452e-05-0j -0.00146606-0j 0.0175197-0j -0.000210306-0j -1.71071e-05-0j 1.09575e-07-0j 0.000100071-0j 3.63924e-05-0j 4.74052e-05-0j -4.6533e-05-0j 0.143267-0j -0.140631-0j 6.24619e-06-0j -6.13126e-06-0j 0.00403363-0j -7.46459e-05-0j -0.00395941-0j 7.32724e-05-0j 0.00126153-0j -0.00123831-0j 0.000193954-0j -0.000190385-0j 3.51124e-05-0j 6.18452e-07-0j -4.96087e-05-0j -0.000530777-0j -9.34882e-06-0j -0.000859757-0j 0.00074991-0j 2.92604e-06-0j -0.55521-0j -1.51433e-05-0j 5.15377e-08-0j -6.9936e-05-0j 0.00121471-0j -0.00977917-0j 2.58628e-07-0j -4.13406e-06-0j 0.000835749-0j 0.78443-0j 0.000289279-0j -1.23182e-06-0j 4.55533e-09-0j 9.88093e-05-0j 1.47204e-05-0j 0.000148777-0j -3.65403e-07-0j 5.0952e-06-0j -0.00118079-0j 1.39387e-05-0j 2.62047e-06-0j -0.000408709-0j 2.45509e-07-0j -0.000210199-0j -1.96934e-05-0j 
-0.014598-0j 0.0805866-0j -0.000212345-0j 1.2397e-06-0j 0.00142439-0j -2.44737e-05-0j 0.000237571-0j -2.9252e-07-0j 5.47388e-05-0j -5.37316e-05-0j -0.000417844-0j 0.000410156-0j 0.101135-0j -0.0992741-0j 0.0145052-0j 0.00824894-0j -0.0142383-0j -0.00809716-0j 0.00147113-0j -0.00144406-0j -1.16639e-06-0j 1.14493e-06-0j 4.05444e-05-0j 7.14127e-07-0j -5.72832e-05-0j -0.000303239-0j -5.34109e-06-0j -0.000487617-0j 0.000428432-0j -0.000988202-0j -6.9936e-05-0j -8.58862e-06-0j -1.74057e-05-0j -0.560262-0j 0.000688931-0j -1.23182e-06-0j -8.67966e-05-0j 0.00139618-0j 0.00147629-0j 9.88093e-05-0j 0.00138065-0j -0.00986815-0j -1.52879e-06-0j 0.791567-0j 2.60025e-05-0j 0.000115058-0j 0.000122631-0j 2.43181e-05-0j -0.00208578-0j -6.69664e-08-0j 2.02657e-06-0j -0.00195066-0j -1.17951e-09-0j -0.00016256-0j 9.46136e-08-0j 
3.54136e-05-0j -0.0018195-0j 5.21691e-07-0j 4.383e-07-0j 7.30499e-08-0j 0.00251051-0j -2.65392e-06-0j 5.38063e-10-0j 1.93531e-05-0j -1.8997e-05-0j 3.12309e-06-0j -3.06563e-06-0j -0.000741135-0j 0.000727499-0j 3.6806e-07-0j 0.0178886-0j -3.61288e-07-0j -0.0175594-0j -1.0918e-05-0j 1.07171e-05-0j 1.7146e-09-0j -1.68305e-09-0j 1.43346e-05-0j 2.52482e-07-0j -2.02527e-05-0j 2.2665e-06-0j 3.99209e-08-0j -0.000520779-0j -3.20223e-06-0j 1.19455e-06-0j 2.58628e-07-0j -9.17273e-06-0j 2.10402e-08-0j -8.67966e-05-0j 0.000735785-0j 4.55533e-09-0j -0.56415-0j -1.68772e-06-0j 2.48865e-08-0j -3.65403e-07-0j 0.00148138-0j -1.52879e-06-0j -0.00993663-0j 0.000122631-0j 4.38337e-10-0j -6.39317e-07-0j 0.797061-0j 2.60922e-05-0j -3.51609e-08-0j 8.1977e-11-0j -1.12606e-08-0j -0.00209297-0j 1.4439e-12-0j 9.03261e-07-0j -1.15821e-10-0j 
0.0012165-0j 0.000212345-0j 0.0780348-0j -1.03308e-07-0j -0.000361116-0j -1.05438e-08-0j -2.95074e-05-0j 0.00033244-0j -4.56157e-06-0j 4.47764e-06-0j 0.000105933-0j -0.000103984-0j 8.75955e-05-0j -8.59838e-05-0j 0.17334-0j 1.08118e-05-0j -0.170151-0j -1.06128e-05-0j 0.00561898-0j -0.00551559-0j 0.00267639-0j -0.00262714-0j -3.3787e-06-0j -5.95106e-08-0j 4.7736e-06-0j 7.68782e-05-0j 1.35409e-06-0j -4.22337e-07-0j -0.000108618-0j 8.23501e-05-0j -0.000835749-0j -7.43882e-09-0j 1.45047e-06-0j -0.00147629-0j 5.967e-07-0j -1.47204e-05-0j -2.48865e-08-0j -0.000116349-0j -0.542521-0j 0.00118079-0j -8.52983e-05-0j -2.60025e-05-0j -4.38337e-10-0j 0.00208578-0j -0.00955567-0j 0.00135906-0j 3.51609e-08-0j -1.5024e-06-0j 0.766502-0j 0.000257264-0j 2.39377e-05-0j 0.000120514-0j 4.53131e-06-0j -0.00192015-0j -0.000363476-0j 
-8.8534e-06-0j -0.0289424-0j -0.0017881-0j -1.09575e-07-0j 1.74599e-06-0j -0.000207042-0j 0.00197556-0j -3.71428e-06-0j -4.83827e-06-0j 4.74925e-06-0j 7.46459e-05-0j -7.32724e-05-0j 0.00012331-0j -0.000121041-0j -0.000411681-0j 0.141044-0j 0.000404106-0j -0.138448-0j 0.0249046-0j -0.0244464-0j -1.97953e-05-0j 1.94311e-05-0j -3.58365e-06-0j -6.31205e-08-0j 5.06317e-06-0j 5.41722e-05-0j 9.5416e-07-0j 8.66472e-05-0j -7.65373e-05-0j -2.98637e-07-0j -0.000289279-0j 1.52616e-06-0j -5.26004e-09-0j -0.00138065-0j -0.00012242-0j -5.0952e-06-0j -0.00148138-0j 4.21931e-07-0j -8.52983e-05-0j 0.000408709-0j -0.546593-0j -2.43181e-05-0j -2.60922e-05-0j 0.00195066-0j -1.5024e-06-0j 0.0029371-0j 0.00209297-0j -0.0096274-0j 0.000120514-0j -1.42262e-06-0j 5.17325e-05-0j 0.772255-0j -2.50572e-08-0j -0.00414969-0j 2.00995e-06-0j 
7.37783e-07-0j 0.00241195-0j -0.0284898-0j 9.13124e-09-0j -2.9252e-07-0j -1.80266e-07-0j -0.000505391-0j 0.00134508-0j 4.0319e-07-0j -3.95771e-07-0j -1.2506e-05-0j 1.22759e-05-0j -5.11136e-06-0j 5.01731e-06-0j 0.000211728-0j 0.00024689-0j -0.000207832-0j -0.000242347-0j 0.197377-0j -0.193745-0j 0.0223775-0j -0.0219657-0j 2.98637e-07-0j 5.26004e-09-0j -4.21931e-07-0j -9.07592e-06-0j -1.59858e-07-0j -3.59164e-06-0j 1.28229e-05-0j 2.48865e-08-0j 0.000148777-0j -6.32612e-08-0j 4.38337e-10-0j 0.000115058-0j 5.07445e-06-0j 2.62047e-06-0j -6.39317e-07-0j -3.51609e-08-0j -0.00135906-0j -0.000210199-0j -0.0029371-0j 2.02657e-06-0j -1.12606e-08-0j -0.00016256-0j -2.39377e-05-0j -0.529067-0j 9.03261e-07-0j -5.17325e-05-0j 0.00192015-0j 0.00325516-0j -0.0093187-0j 0.00414969-0j 5.73346e-05-0j 0.747493-0j -0.00459905-0j 
-2.74956e-08-0j 1.40381e-06-0j 0.00539299-0j -3.40301e-10-0j 1.63807e-08-0j -3.47318e-11-0j -4.92128e-07-0j -0.000796246-0j -1.5026e-08-0j 1.47495e-08-0j 7.00322e-07-0j -6.87436e-07-0j -1.97985e-09-0j 1.94342e-09-0j -1.98366e-05-0j 7.14763e-08-0j 1.94716e-05-0j -7.01611e-08-0j 0.000388328-0j -0.000381183-0j 0.239157-0j -0.234756-0j -1.11296e-08-0j -1.9603e-10-0j 1.57244e-08-0j 5.08239e-07-0j 8.95185e-09-0j -1.39119e-09-0j -7.18067e-07-0j -9.27463e-10-0j -1.39387e-05-0j -2.45038e-11-0j -1.63358e-11-0j 6.69664e-08-0j 1.96555e-09-0j -2.45509e-07-0j -8.1977e-11-0j 1.31037e-09-0j 0.000257264-0j 1.96934e-05-0j -1.42262e-06-0j 1.17951e-09-0j -1.4439e-12-0j -9.46136e-08-0j 4.53131e-06-0j -0.00325516-0j 1.15821e-10-0j -2.50572e-08-0j -0.000363476-0j -0.511576-0j -5.73346e-05-0j 2.00995e-06-0j -0.00901062-0j 0.00459905-0j 0.722781-0j 
0.0031278-0j 0.000552922-0j 4.60769e-05-0j 0.00271968-0j 0.000453281-0j 0.000277577-0j 5.66601e-05-0j 3.33873e-06-0j -0.00168189-0j 0.00172702-0j -0.000271413-0j 0.000278696-0j -0.000221608-0j 0.000227555-0j -3.19863e-05-0j -2.7701e-05-0j 3.28447e-05-0j 2.84443e-05-0j -3.26459e-06-0j 3.3522e-06-0j -1.49008e-07-0j 1.53006e-07-0j 0.00126606-0j -0.00154154-0j 0.000913891-0j 0.000200182-0j -0.000243739-0j 0.000158258-0j 0.000144499-0j 0.000105505-0j 2.28425e-05-0j -0.000192692-0j -0.000128462-0j 2.63763e-05-0j 0.000114236-0j -2.78128e-05-0j 9.32542e-06-0j 7.61576e-05-0j 2.19802e-06-0j 1.64886e-05-0j 2.33135e-06-0j -3.21154e-05-0j -1.13545e-05-0j 1.90394e-05-0j -2.67628e-06-0j 1.9428e-07-0j 6.73144e-06-0j -2.83863e-06-0j 1.58662e-06-0j 7.24037e-09-0j -2.36552e-07-0j 1.68286e-06-0j -8.81578e-09-0j 1.40238e-07-0j 5.22638e-09-0j 
-0.00316021-0j -0.000558652-0j -4.65543e-05-0j 0.00266964-0j 0.00044494-0j 0.000272469-0j 5.56175e-05-0j 3.27729e-06-0j -0.00172702-0j 0.00174421-0j -0.000278696-0j 0.00028147-0j -0.000227555-0j 0.00022982-0j -3.28447e-05-0j -2.84443e-05-0j 3.31716e-05-0j 2.87275e-05-0j -3.3522e-06-0j 3.38556e-06-0j -1.53006e-07-0j 1.54529e-07-0j -0.00127918-0j 0.00153784-0j -0.000845626-0j -0.000202256-0j 0.000243154-0j -0.000159898-0j -0.000133705-0j -0.000106598-0j -2.30792e-05-0j 0.000192231-0j 0.000128154-0j -2.66496e-05-0j -0.000105703-0j 2.77461e-05-0j -9.42206e-06-0j -7.04689e-05-0j -2.2208e-06-0j -1.5257e-05-0j -2.35551e-06-0j 3.20384e-05-0j 1.13273e-05-0j -1.76172e-05-0j 2.66987e-06-0j -1.96293e-07-0j -6.22863e-06-0j 2.83182e-06-0j -1.4681e-06-0j -7.3154e-09-0j 2.35985e-07-0j -1.55716e-06-0j 8.79465e-09-0j -1.29763e-07-0j -4.83598e-09-0j 
-0.000487632-0j 0.00407757-0j 0.00103376-0j -0.000424005-0j 0.00334275-0j -4.32748e-05-0j 0.000844522-0j 0.000100048-0j 0.00026221-0j -0.000269246-0j -0.00200156-0j 0.00205527-0j 3.45492e-05-0j -3.54763e-05-0j -0.000476758-0j -0.000204283-0j 0.000489552-0j 0.000209765-0j -7.32429e-05-0j 7.52084e-05-0j -5.58726e-06-0j 5.7372e-06-0j 0.0588326-0j -0.0716338-0j 0.0424676-0j 0.00147626-0j -0.00179747-0j -2.46727e-05-0j 0.00106562-0j -1.64485e-05-0j 0.000340469-0j 3.00412e-05-0j 2.00275e-05-0j 0.000194514-0j -1.78097e-05-0j -0.000414551-0j -1.45386e-06-0j -1.18731e-05-0j 4.93138e-05-0j 0.000245764-0j 3.4749e-05-0j -0.000236838-0j 1.77019e-06-0j 0.000140408-0j -6.00439e-05-0j 5.82179e-06-0j -1.04945e-06-0j -4.23099e-05-0j 3.55966e-05-0j 3.26012e-07-0j -7.08853e-06-0j 2.50831e-05-0j -3.96948e-07-0j 4.20239e-06-0j 2.35328e-07-0j 
0.000492685-0j -0.00411982-0j -0.00104447-0j -0.000416204-0j 0.00328125-0j -4.24786e-05-0j 0.000828983-0j 9.82075e-05-0j 0.000269246-0j -0.000271926-0j -0.00205527-0j 0.00207573-0j 3.54763e-05-0j -3.58294e-05-0j -0.000489552-0j -0.000209765-0j 0.000494425-0j 0.000211853-0j -7.52084e-05-0j 7.59569e-05-0j -5.7372e-06-0j 5.7943e-06-0j -0.0594422-0j 0.071462-0j -0.0392954-0j -0.00149155-0j 0.00179316-0j 2.49284e-05-0j -0.00098602-0j 1.66189e-05-0j -0.000343997-0j -2.99692e-05-0j -1.99795e-05-0j -0.00019653-0j 1.64794e-05-0j 0.000413557-0j 1.46892e-06-0j 1.09863e-05-0j -4.98249e-05-0j -0.000227406-0j -3.51091e-05-0j 0.00023627-0j -1.76595e-06-0j -0.00012992-0j 5.98999e-05-0j -5.88212e-06-0j 9.71058e-07-0j 4.22085e-05-0j -3.29376e-05-0j -3.29391e-07-0j 7.07154e-06-0j -2.32095e-05-0j 3.95997e-07-0j -3.88848e-06-0j -2.1775e-07-0j 
-0.000377718-0j 0.00642437-0j -5.56431e-06-0j -0.000328433-0j -5.47388e-05-0j 0.00648381-0j 0.00065833-0j -4.0319e-07-0j -0.0500983-0j 0.0514426-0j 3.27763e-05-0j -3.36558e-05-0j -0.00257485-0j 0.00264394-0j 3.86272e-06-0j -0.000647058-0j -3.96637e-06-0j 0.000664421-0j -3.79311e-05-0j 3.8949e-05-0j 1.79944e-08-0j -1.84772e-08-0j -0.000152891-0j 0.000186159-0j -0.000110363-0j 0.00596281-0j -0.00726024-0j 0.00183879-0j 0.00430418-0j -1.27409e-05-0j -2.7585e-06-0j -0.00223888-0j 1.55132e-05-0j 0.000306464-0j 0.00132731-0j 3.35871e-06-0j 0.000327307-0j -9.1969e-06-0j -2.65436e-07-0j -1.99119e-06-0j 5.44573e-05-0j -0.000373147-0j -0.000398524-0j 0.000221218-0j 3.23192e-07-0j 2.25732e-06-0j 0.000236263-0j -6.63065e-05-0j -1.91602e-07-0j -8.74358e-10-0j -2.74849e-06-0j 3.93093e-05-0j 1.06461e-09-0j 1.62942e-06-0j -6.31145e-10-0j 
0.000381632-0j -0.00649095-0j 5.62197e-06-0j -0.00032239-0j -5.37316e-05-0j 0.00636451-0j 0.000646217-0j -3.95771e-07-0j -0.0514426-0j 0.0519547-0j 3.36558e-05-0j -3.39908e-05-0j -0.00264394-0j 0.00267026-0j 3.96637e-06-0j -0.000664421-0j -4.00585e-06-0j 0.000671034-0j -3.8949e-05-0j 3.93367e-05-0j 1.84772e-08-0j -1.86612e-08-0j 0.000154476-0j -0.000185712-0j 0.000102119-0j -0.0060246-0j 0.00724283-0j -0.00185784-0j -0.00398267-0j 1.2873e-05-0j 2.78708e-06-0j 0.00223352-0j -1.5476e-05-0j -0.00030964-0j -0.00122816-0j -3.35066e-06-0j -0.000330699-0j 8.50992e-06-0j 2.68187e-07-0j 1.84245e-06-0j -5.50216e-05-0j 0.000372253-0j 0.000397569-0j -0.000204693-0j -3.22417e-07-0j -2.28072e-06-0j -0.000218614-0j 6.61475e-05-0j 1.7729e-07-0j 8.83419e-10-0j 2.7419e-06-0j -3.63731e-05-0j -1.06205e-09-0j -1.50771e-06-0j 5.84e-10-0j 
