0.00897562-0.00356879j -0.00470019+0.00986011j 0.00962596-0.00637424j 0.0111824-0.00387173j 0.00238549-0.000474383j 0.000972554-0.00116874j -0.00237712+0.00271721j -0.00982724+0.00200398j 0.0030968-0.00190877j 0.000304846-0.00170029j 0.0116504-0.00340447j -0.0104163+0.00581304j 0.00973287-0.00598559j -0.0138077+0.00466097j -0.0127964+0.00147277j -0.00140543+0.00548722j -0.00029629-0.000528062j 0.00440403-0.00172147j 0.0120015-0.00366903j -0.00648629+0.00279043j -0.010073+0.00298854j 0.00487197-0.0039553j -0.00129325-0.00354323j -0.00336428+0.00246942j -0.00467896-0.0029703j -0.0179448+0.00281754j -0.00525612-0.000744677j 0.00322481+0.00253747j -0.00818243-0.00253683j -0.00476227+0.000368344j 0.0132263-0.000225409j -0.00989108-0.00187807j -0.00302543-0.00478698j 0.002533+0.000244442j -0.00792595+0.00261155j 0.00268319+0.000999462j 0.00667835-0.00495063j -0.00952015-0.00705672j 0.0139481+0.0219831j 0.0187641-0.00018357j 0.012071+0.00168787j 0.00819954+0.00608975j -0.00174775-0.00879717j 0.0033706+0.00595175j 0.00123359-0.0028164j -0.00403853-0.00748418j 0.00334416-0.00011995j -0.000833785-0.00663447j 0.00318589+0.00524859j -0.00167271+0.00123257j -0.00198954-0.00473194j 0.00490076+0.00902536j 0.0020762+0.00313189j 0.00422435+0.00425898j 0.00276595+0.00489559j -0.00432184-0.00950741j 0.000828081+1.30941e-05j 0.00256745-7.51798e-05j 0.000710774-0.00199191j 0.00566319+0.00478391j -0.00353843-0.00431265j -0.0040667-0.0154039j 0.000672842-0.00746782j -0.0048167-0.00694058j 0.00158446+0.00692431j 0.00196479-0.00469148j 0.00297674-0.00131113j -0.000480768+0.00237585j -0.00194712-0.00604885j 0.00196415+0.00838044j 0.00449114+0.00851629j -0.00134192-0.00396458j -0.00205383+0.0103875j -0.00157666+0.00295309j 0.00405547+0.00894525j 0.00155606-4.68793e-05j -0.00258866+0.00877698j 0.00210015-0.00811835j -0.00146946+0.00660215j 0.000534641+0.00617124j -0.00210128-0.00480869j -0.000752905-0.00290143j -0.0031245+0.0124474j -0.00318422+0.00471671j 0.00307534-0.00575744j 0.000715476-0.0058402j 0.00142806+0.00394518j 0.00257434-0.00584885j 0.000528252-0.00731351j -0.00555353+0.00794715j -0.00499024+0.00931915j 0.00232836-0.0157947j 
0.000371912+0.00484069j 0.00264572+0.0017652j -0.00222059-0.00312613j -0.00140476+0.00427447j -0.00570674+0.00274331j -0.000352632+0.00315978j -0.000565155+0.00364537j -0.00749243+0.00371857j 0.00718443+0.000147961j -0.00107548+0.00226581j 0.00480413+0.000959279j 0.00197413+0.0024729j 0.0017068-0.00105438j -0.00346841+0.0018486j -0.00319143+0.00073933j 0.00082038-0.00115336j 0.00180347+0.000453376j -0.00108314-0.00217317j 0.00341729-0.00167999j 0.00539053+0.000350173j 0.00396232-0.000474014j -0.00262426-0.00194514j -0.00414635+0.000564446j 0.00522481+0.00187006j -0.00411609+0.00200421j -0.00147731-0.00119507j -0.0012035+0.00233531j -0.0103873+0.00331787j 0.00904185-0.00151104j -0.00916764-0.00420022j 0.00950886-0.00235786j 0.0126786+0.00371856j -0.00776628+0.00651418j 0.00315525+0.00103678j -0.00208675-0.001747j 0.0170643-0.00357301j 0.0054109+0.000706217j -0.0106976+0.00170761j -0.0165919+0.00360007j 0.0117077-0.00617312j 0.00505868-0.00340727j -0.00517395+0.00299196j 0.00502461-3.61227e-05j 0.00122207+0.000584207j -0.000625378+0.00458541j -0.00348969+0.00220211j -0.00541575+0.00132702j 0.00206387+0.00451319j -0.00524189-0.0018037j -0.00214225+0.00253896j -0.00107251+0.0021911j -0.00402751+0.00593539j 0.000952243+0.000301193j 0.000919219-0.00301604j -0.00162774-0.00363513j 0.00014492-0.00114271j -0.00266757-0.00212323j 0.00439925-0.00411445j 0.000876157+0.00351918j 0.00141374-0.0046313j -0.00124883+0.00785542j 0.00264858+0.00544378j 0.00155165-0.00864325j 0.000408267-0.00354722j 0.000133595+0.00312283j 0.00143879-0.00309551j 0.00345567-0.00287423j -0.00268353+0.00541501j 0.00108416+0.00307624j 0.000100007-0.00019417j 0.00442967+0.00298748j 0.00100622+0.0112015j -0.00522888+0.00323922j 0.00233028+0.00141529j 0.00168981-0.0048166j 0.00452423-0.0126716j -0.00438174-9.74745e-05j -0.00034731+0.0128059j -0.00692152+0.000629184j 0.00552535+0.00635934j 0.00506984+0.00801056j -0.00372962+0.00537025j 0.00107283-0.00989052j 0.00785445+0.000210155j 0.00282735-0.007855j -0.00420822-0.00673433j 0.00285879+0.0055048j -0.00374142-0.0207874j 0.00121673+0.0143233j 0.00665379-0.00614357j 0.011378+0.0204372j -0.00447524+0.00667587j 
-0.000907984-0.00194414j 0.000549564+0.00454759j -0.00388322-0.00274822j -0.00221924-0.00176864j -0.00221924+0.00263173j -0.000383783+0.00105556j -0.00138175-0.00275868j 0.00100863+0.00199353j -0.00105778+0.00154025j -0.00724893-0.00130893j -0.00730257+0.00455243j -0.00609072-0.00147652j 0.0031526+0.000344022j -0.00583198+0.000810843j 0.00109824+0.00202106j -0.00205997+0.00256509j 0.00197385+0.000380702j 0.0061602-0.000768935j 9.49359e-05+0.00148039j -0.0132026+0.00523835j -1.94998e-05+0.000736483j 0.00365073-0.000910128j 0.00214411-0.0007991j -0.00373975-0.000329604j -0.000349784-0.000859657j 0.00262064-0.000770806j -0.00198759+5.33601e-05j -0.00118841-0.000257538j 0.00225175+0.00225686j 0.0191359-0.00432443j 0.00802906+0.00695546j -0.00242608+0.00572106j -0.0112548-0.00210708j 0.0125978-0.00356141j 0.00672192+0.00331815j 0.00427668+0.00207418j 0.00567261-0.00287032j -0.0109657-0.00134419j -0.00788209+0.00769004j -0.0147628+0.00152827j -0.00889264+0.00394698j -0.00450505+0.00327405j 0.00237052-0.00577931j -0.00642934+0.00103243j 0.00173066-0.00144021j -0.00192723-0.00141442j 0.00399602-0.00245754j 0.00348185-0.00517738j -0.00101455-0.00170331j 0.00273331-0.00105746j -0.00024682-0.00363459j -0.00248674-0.00640526j -0.000292091+0.00267086j 0.00240043+0.00310871j -0.000813863-0.00504142j 0.00317104+0.000988677j 0.00097071-0.0074452j 0.00038624+0.00231086j -0.000943598-0.0013623j 0.0026572-0.00113655j -0.00280011-0.000378793j -0.000500728+0.00559173j 0.00393205+0.00136869j 0.00142078+0.00371397j 4.5735e-05+0.00160368j 0.00257199-0.00133666j 0.000482456-0.000920846j -0.00133699+0.00237296j -0.00211157+0.00370857j -0.000517604-0.00562784j -0.000674076-0.000555866j -0.00146129+0.0044348j 0.00150579-0.00904935j -0.00219252+0.0116718j 0.0034418+0.00346537j 0.004954+0.00506262j -0.00136606-0.00361704j -0.00764926+0.0075273j 0.00463005-0.01217j 0.000924134+0.00120453j 0.00543512-0.0147681j 0.00897234+0.0101281j -0.00541785-0.00923751j 0.00417912-0.0098055j 0.00233942+0.00706089j 0.00540984+0.0118156j -0.000175465-0.0107914j -0.00661601-0.0188148j -0.005111+0.00267996j 0.0041136+0.00432366j -0.00494337+0.00570824j -0.00983346-0.0222443j 
-0.00511189+0.00560179j -0.000274418+0.00341712j -0.00211889-0.0020725j -0.00702447+0.0021734j -0.00494517+6.49021e-05j 0.000715612+0.00518853j -0.00700709+0.00133281j -0.00631628-0.000256917j 0.00339226-0.0041766j -0.00176747+0.00499596j 0.00551072+0.00216989j -0.00392451+0.0032339j 0.000447201-0.000398482j -0.00441078+0.00329498j -0.00068303+0.00194302j 0.00203155+0.00214024j -0.00242646+0.00127212j 0.0022586-0.00175229j 0.0029729+0.00063719j 0.00131189+0.00102872j 0.000319562-0.001644j 0.00376186-0.00536174j -0.00330466-0.000152816j -0.000867342-0.00242791j 0.00630721-0.00302416j 0.000446386+0.00474811j -0.00921267+0.00450846j -0.00430044+0.00600237j 0.00291221-0.00485352j -0.00293457-0.0061277j -0.0047645-0.0153309j 0.0095959-0.00432295j 0.00407736+0.00120022j -0.0022014-0.00185271j 0.0100603-0.00276055j -0.000490745+0.0119026j -0.0216385+0.0118553j -0.00193776+0.00645063j 0.000307219+0.00554064j 0.00322812+0.00617362j 0.00357274-0.00102523j 0.0114527+0.00969818j 0.00073845+0.00244509j -0.0132196+0.00275013j -0.00504051+0.00479172j -0.00444074-0.00241451j 0.00728723-0.00243141j -0.000805465+0.00718355j 0.00494686-0.00178797j 0.00557862+0.000615851j 0.00539005-0.00389695j 0.00467612-0.00162203j -0.00316835-0.00328602j -2.11288e-05+0.00253699j 0.0042169-0.007764j 0.000657792+0.000693456j 0.00161388-0.00480436j -0.00246343+0.00104436j -0.00666907+0.00163828j 0.00582037-0.00360985j 0.00631403+0.00176446j -0.00744198+0.00395961j -0.0040442+0.000345555j 0.000588591+0.0030407j 0.00194842+0.000286994j -0.00341833+0.00393413j -0.00529165-0.00569966j 0.00234553-0.000928468j 0.000171391-0.00348635j -0.00162301-0.00532418j -0.0054937+0.00719503j 0.00190716+0.00605179j 0.00910052-0.00840682j -0.000412414+0.00269267j -0.00767843+0.00737675j -0.00366036+0.00038862j 0.0018901+0.00365484j 0.00755135+0.00151462j -0.00519903+0.00221971j -0.00618388+0.00213615j -0.00191862+0.00248881j -0.00197163-0.00742163j 0.00607289-0.00344111j -0.00833262+0.00633285j 0.0111358+0.00737964j -0.00598601-0.0100828j 0.000616894-0.00375965j -0.00163319+0.0151419j -0.00167139-0.0131323j -0.0128895-0.00824295j 0.00752197+0.00939594j -0.00617682-0.00776571j 
-0.00500553+0.00624764j 0.00605352-0.00721126j -0.00362884+0.00230667j -0.00318579+0.00402893j 0.000935172+0.000964279j 0.00800697-0.00169462j 0.00194321+0.00546374j -6.37677e-05+0.00678529j -0.00127849-0.0024676j 0.00759397-0.000731337j 0.00687497-0.00676999j 0.00913672+0.00429431j -0.00225666-0.00104116j 0.00153669+0.00625039j -0.000926945+0.00196717j 0.00051122-0.00358043j -0.00056387+0.00499116j -0.00241406-0.00231636j 0.00265043-0.00595307j 0.00422261+0.00308438j 0.000948735-0.0027049j -0.00671242-0.0022293j 0.00148436+0.00567127j 0.00045337+0.00145872j 0.00830432+0.000296208j -0.00338422+0.00134581j 0.00995719+0.00706114j 0.00538573+0.00474485j 0.00501012-0.00393016j -0.00612919+0.00795954j -0.00248667+0.000543639j 0.00514967-0.0113744j 0.0081136+0.0045403j 0.0110561-0.0140909j -0.00199306+0.0085449j -0.00943912-0.0149988j 0.00535695-0.00311071j 0.0175783+0.00160263j 0.00842638+0.0131269j 0.00516069-0.000301513j -0.0100629-0.0102612j 0.0161062-0.00260202j 0.00609487+0.00433065j -0.00914545+0.00825825j -0.00324628+0.00239827j -0.00338138-0.000437494j 0.000378726-0.000942416j 0.00557867+0.00469901j 0.00125848+5.06064e-05j -0.00269014+0.00260608j -0.00428606+0.00239131j -0.00432909+0.000184849j -0.0033356-0.000783209j 0.0025854-0.00145159j -0.00160109+0.000390887j -0.00109009+2.33793e-05j 0.000768037+0.00263703j 0.00581299-0.00266006j 0.00334244-0.000913038j -0.000855868-0.000232555j -0.00506994+0.00190614j -0.00218434+0.000945922j 0.00581632-0.000322768j 0.000197343-0.000453971j -0.00298995-0.000829947j 0.0035137+0.00392138j 0.00559161+0.00281397j -0.00390679-0.000733786j -0.000394733+0.00357786j 0.00254388+0.00467224j 0.00348778+0.00188299j -0.00183922-0.00158193j -0.00438748-6.25898e-05j -0.00890398-0.00202769j 0.00422719+0.000907054j -0.00550318+0.00345281j -0.00281963-0.0079186j -0.00967877+0.00373165j 0.0123848-0.00412188j -0.00266507-0.00106911j -0.00354548-0.00702569j 0.0151285+0.0024055j -0.0174982+0.00248288j 0.00271933+0.000748939j -0.00276147-0.00602855j 0.00199596+0.0150226j -0.00299454-0.00919365j -0.0112765-0.0105894j -0.0124301-0.00268074j -0.00237618+0.00702943j 0.00935574+0.00359199j 0.00542795+0.00565797j 
0.00199349-0.00385903j 0.00325827-0.00215254j -0.00231708+0.00160797j 0.00708464-0.00614129j 0.00192031-0.00387902j 0.000719363+0.000581704j 0.00753846-0.00489204j 6.11061e-05-0.00440204j 0.00290539-0.00551939j 0.00569119-0.00412315j -0.00297295-0.00139482j 0.00656732-0.00564124j -0.00108685-0.00131574j -0.00319821-0.00147102j -0.00449447-0.00131206j -0.003729+0.00370015j 0.000335699-0.00457392j -0.000970805+0.00220222j -0.00180094-0.000875656j -0.00349393-0.00967769j 0.000769243-0.00229457j 0.000635902+0.00301334j -0.00435101-0.0017491j 0.00793926-0.00230049j 0.000399423+0.0015097j -0.00258446+0.00249762j -0.00642922-0.00562571j -0.00103916+0.00437327j -0.00540191-0.00673475j -0.00651442+0.0169884j -0.0107269-0.00211675j -0.00283011-0.00478188j 0.000733805+0.00175108j 0.0106968+0.0116572j -0.0177361+0.00837457j -0.0134212-0.00774188j -0.00850679+0.0118933j 0.00606176+0.00671116j 0.0025709-0.00300914j -0.0142613-0.0126926j -0.022269-0.00729967j -0.00298945-0.00747121j 0.00510351-0.00211156j 0.00324327+0.00261667j -0.0036002-0.000491476j -0.00497637-0.00175892j -0.00451378-0.00201851j -0.0047118+0.000522486j 0.00362472-0.00243356j 0.00199+0.00222936j 0.00115516+0.0013471j -0.0055432+0.000188672j 0.00138788-0.000176668j -0.00299117-0.00127512j 0.00334134-0.00173292j -0.00213598+0.000601243j 0.000179302-0.000920058j -0.000841009+0.00219521j -0.00691709+0.00119323j 0.00528492+0.00139863j 0.00229069+0.00411402j -0.00384489+0.00103405j 0.000973447-0.00185517j 0.00267689+0.000339536j 0.000198933+0.00128891j -0.00180664+0.000455966j -0.000214302-0.00259647j 0.000381196+0.000209357j 0.00214304-0.00156169j 6.5299e-06-0.00355703j -0.00383077+0.00343642j -0.00182666+0.0074009j 0.000687333-0.00365455j 0.00261136+0.00174778j 0.000409749+0.00203475j 0.00696-0.00159202j -0.00169+0.0045832j 0.00582924+0.00139862j -0.0121304+0.000751497j 0.0010179+0.00278845j 0.00757389+0.00025457j -0.00522888-0.00214832j -0.00126435-0.00399424j 0.00995966+0.000232497j 0.0115107+0.00717454j -0.00815032-0.0139195j 0.0116559-0.00412695j -0.00911179-0.00850057j -0.000613231-0.00373817j -0.0125685-0.0115075j -0.00232255+0.00278595j 0.00415027-0.000882572j 
9.33073e-05+0.00166451j 0.00132527+0.00222002j 0.00440571-0.00518123j -0.00248726-0.00277111j -0.00576563-0.00348028j -1.88488e-05+0.0025269j -0.00170153+0.000729188j -0.00815842+0.00186894j -0.0055881-0.0026258j 0.00516957-0.00124555j 0.000419435-0.00193848j -0.000845503+0.00312897j -0.000825303+0.000824074j -0.00311395+0.00301875j 2.08231e-05-0.000488479j 0.00206081-0.00302645j -0.00427201+0.00332861j 0.00284962-0.00124279j 0.00140304+0.000547237j 0.00229026+0.000716254j -0.00360175-0.00302122j 0.00498553-0.00554063j -0.00609819+0.0079433j -0.0037126+0.000365421j 0.000302946+0.00487762j 0.000581976-0.0036181j -0.00368372+0.0103227j 0.0026593-0.00775882j -0.00552746+0.00888346j 0.00530591+0.00186492j -0.0132882+0.0114385j -0.0210337-0.00431701j -0.00738585-0.00137331j 0.00231225+0.00309934j -0.00324174-0.00526867j 0.0191818-0.00529018j 0.013821+0.021633j 0.000550838-0.0179461j -0.0140994-0.00715038j 0.00360706+0.0072322j -0.0069643+0.00440833j -0.0102964-0.00392173j -0.00396883-0.000137288j -0.00465369+0.00361311j -0.0107208-0.000227527j 0.000347104+0.000906706j -0.000953378-0.00164026j -0.00260373+0.00302078j 0.00359539-0.00329211j 0.00212192+0.00106456j 0.00187018+0.00423795j -0.00136334+0.00394565j -0.00265817-0.00137938j 0.00183787-0.00152384j -0.00288702-0.0015982j -0.00151541-0.00166403j -0.00145541+0.00367803j 0.00421284-0.00379891j 0.00354638-0.00146255j -0.0019616-0.00288081j 0.000478867+0.00366482j -0.00465322+0.00356723j 0.000233307-0.00288089j 0.00166177+0.00102093j 0.000583529-0.00194799j -0.000369484+0.00680084j -0.000293911-0.00321658j 0.00024336-0.00404266j 0.00256728+0.00197247j 0.00194038+0.00371248j 0.00055051+0.00416432j 0.00294276+0.00115875j -0.00875569-0.00298383j 0.00125677-0.00538848j -0.00274455+0.00570168j -0.0172808+0.00122743j -0.00444974-0.00444761j 0.00318244+0.00423412j 0.0059897-0.00157742j -0.0101315-0.00142191j -0.00723503-0.0042505j 0.0022419+0.00145563j -6.43191e-05-0.00107381j 0.0100427+0.00955059j -0.00590442-0.00592638j 0.000254376-0.00393034j -0.000270203+0.00473485j 0.00519003-0.00461812j -0.0162499-0.0175862j -0.00574218-0.00111604j 0.00302321+0.00430974j -0.00169126+0.0019108j 
0.000440644+0.00318496j 0.00248224-0.00733489j 6.63263e-05-0.000183285j -0.00183583+0.00993036j -0.00367294+0.00854997j 0.00457894-0.00473738j 0.00243487+0.00614833j -0.00231894+0.0121191j -0.00734813+0.00622252j 0.000551467-0.00570875j -0.00456262-0.00320207j 0.00385306-0.000908897j -0.000571578-0.000595041j 0.00202805+0.00650692j -0.00272952+0.00398025j -0.00265334-0.0025411j 0.00330059+0.00374797j -0.00164164-0.00263024j -0.00415855-0.00479407j -0.00823266+0.00177222j -0.00483659+0.00291687j -0.00494578+0.00308823j 0.00699665+0.00383262j 0.00132107-0.00306622j -0.000521146-0.0104025j 0.0068093+0.00278251j 0.00583192-0.00140963j 0.00363923+0.00375181j -0.00339751-0.00337036j 0.00531296+0.000146864j -0.0161004+0.00396778j -0.00917985+0.0104294j 0.00229195+0.000857633j -0.000768646+0.00850849j -0.0101383-0.00709578j 0.0026648+0.0111628j 0.0285353+0.00937202j -0.00286975-0.00396848j -0.00178053+0.00168811j 0.0089818+0.000399759j -0.0097412+0.000602868j 0.00612192-0.0122281j 0.00621722+0.00217105j -0.00755241+0.00739186j 0.000839288+0.000550261j -0.00114639+0.00201539j 0.00319686-0.00132345j 0.00185795+0.00252278j 0.00207955+0.000139137j 0.00190339+0.000612519j -0.00118466+0.000466486j -0.000263336-0.0025826j -0.00060895+2.75165e-05j 0.00152072-0.000332462j 0.000489226+0.00101619j 0.000147722+0.000947781j 0.0023589-0.00150924j -0.00291014-0.000312115j -0.00205283-0.00101841j 0.00359451-0.00204765j 0.00319547-0.00343786j -0.000613288-0.00135157j -0.00212126+0.00197049j -0.00534054+0.00106863j 0.000679956-0.000452111j 0.00242837-0.00368081j -0.00411+0.0003905j 0.00787205-0.000326992j 0.00216134+0.00111818j -0.00523511-0.0003475j 0.000465583-0.00218237j -0.000498895-0.0021712j 0.00964834-0.00324127j 0.000387243+0.00189725j -0.0019533-0.00074621j 0.0196464-0.00272958j 0.00499428+0.00204062j 0.000580908-0.00205696j -0.00664649-0.000418711j 0.0110397+0.00290414j 0.0097191+0.00313519j -0.0105891-0.00448323j 0.00074793-0.00441418j 0.00101735-0.00830239j 0.00808576+0.0104171j 0.000749775-0.00387449j 0.00624804+0.00249227j -0.00294181+0.00460198j -0.00766466+0.000922776j 0.00420373+0.00421579j 0.00496959-0.00137398j -0.0018998-0.00238625j 
0.00114086-0.00218709j 0.000170565-0.00531297j 0.00328982+0.000186252j -0.00304473-0.000806645j -0.00440845-0.0021817j 0.00157499-0.00451038j 0.00453926-0.00273905j 0.00064371+0.000362881j -0.00437968+0.000596655j 0.000710043-0.00795666j -0.00454367-0.00440907j 0.00665506-0.00753983j -0.000559069+7.04266e-05j 0.00104536+0.00314326j 0.000412188-0.00202515j -0.00448857-0.00169045j 0.00167884-0.00262762j 0.000439026-0.00169655j -0.00138975-0.000285566j 0.00408966-0.00922245j -0.00458354-0.0049356j -0.00359667+0.000663791j 0.00693129+0.00713165j 0.00110222-0.00474754j 0.00771112-0.0079499j -0.00549923+0.00447562j 0.0073705-0.00917035j -0.00612072+0.000684902j 0.00702829+0.0002622j 0.00775937+0.0064819j 0.0208662-0.00357558j -0.0139923+0.00578634j 0.00217449+0.00628774j -0.018166-0.0024065j 0.0119175-0.004909j -0.0292274+1.29888e-05j -0.0040024-0.00691113j -0.00947115-0.0124227j 0.00392669+0.00524825j 0.00564402+0.00242993j -0.00762214+0.012271j -0.00975869-0.00332064j -0.00321415-0.00100907j -0.00383724+0.000479693j -0.00815807+0.000352666j 0.00166968+0.0038205j -0.00784031+0.0059388j 2.49582e-05+0.000144305j 0.00375584-0.00364792j 0.00156864-9.42652e-05j -0.00118491+0.00529133j -0.0104089+0.00548481j -0.00315323+0.000972749j -0.00070341+0.00184715j -0.00128163-0.000734875j -0.0048547+0.000847764j 0.00233206+0.00194937j 0.00142043-0.00223186j 0.000357309-0.000890111j -4.37408e-05-0.000753096j 1.75552e-05+0.000220885j -0.0057146+0.00279474j -0.0015433+0.00115509j 0.000966406-0.00229212j 0.000479636-0.000655691j 0.00119805+0.00593263j -0.00338553-0.00283856j 0.0061842-0.00237785j 0.00835734-0.000511159j -0.00248709+8.1379e-05j 0.0067436+0.00311561j 0.00122677+0.00219703j -0.00245589-0.00174559j -0.00663504+0.00129971j -0.00329997-0.00373631j 0.0027519-0.00448462j -0.00684562-0.003046j 0.00568803-0.00163935j -0.00634073-0.000702628j 0.00606013+0.00432324j -0.000246122+0.000333261j -0.0133155-0.00413593j 0.00489655-0.0011897j 0.00245518+0.00497315j 4.72627e-05+0.00122755j -0.00496911-0.00521517j -0.00179893+0.00271593j -0.0162536-0.00859491j -0.0059333-0.00340228j -0.00334254+0.00100531j 0.00395643+0.00123019j 0.00583064+0.00107166j 
-0.00165542-0.00297183j 0.00113837+0.00384881j -0.00093613-0.00529456j -0.00239976-0.00327109j -0.00220238+0.0012747j 0.00171294-0.000963582j 0.00140433-0.00193479j -0.00113059+0.00282719j 0.00201554+0.00241317j -0.000136657+0.00222841j 0.00269006+0.00387381j -0.000274108-0.000734083j 0.00280594+0.00217164j 5.90647e-05+0.00180474j -0.00375711-0.00614098j -0.00471962-0.00254806j -0.00132127+0.00174461j 0.00076232-0.00316949j -0.000178423+0.00191734j 0.0012327+0.00360918j -0.0126336-0.00512085j -0.00196789-0.00127406j 0.00226464+0.00397321j 0.00286855+0.011425j -0.00347135-0.00270253j 0.00169844-0.000319799j 0.00150562-0.00441185j 0.000893027-0.00130718j 0.0102053+0.0147424j -0.00687305+0.00782288j 0.00144472-0.00981785j 0.00460151+0.0128444j -0.00515286+0.00975647j 0.0174764-0.00181969j -0.0103871-0.0149676j -0.00648862-0.00798719j 0.00405496-0.0059217j -0.00600143+0.00463011j -0.00372497+0.00411528j -0.00245759-0.0027629j 0.00491817-0.00418016j 0.000837908+0.0104096j -0.00278064+0.0035424j -0.0051052-0.00394861j -0.00270828+0.00235148j 0.00716976-0.00410849j -0.000960736+0.00190447j -0.00143806+0.00225559j -0.00353231+0.00030226j 0.00089074-0.00176362j -0.00119081-0.000576565j 0.00738301-0.00456749j 0.00557299-0.00157428j 0.00453843-0.000856899j -0.00814759+0.00114426j -0.00898434+0.00511073j 0.00490788-0.00322799j -0.010269+0.0021011j 0.00836777-0.00397676j -0.00264171-0.00102817j 0.0012083-0.00348676j -0.0078569+0.00169022j -0.00200505+0.00528742j -0.000238268-0.000460621j 0.0074388-0.00336984j 0.00940546+0.00352217j 0.00054207-0.00230811j 0.014582-0.00533368j 0.00754809-0.000329746j 0.00144035+0.00305147j -0.00191565+0.00211735j 0.00641357-0.00388691j -0.00541314+0.00474231j -0.00925926-0.00260806j -0.0121331+0.000698815j 0.00273885-0.00232932j 0.00933183+0.0016265j -0.0129824-0.00492071j 0.00440511-0.00215333j -0.00985509-0.00143189j -0.0129174-0.00732967j -0.00897116-0.0134301j -0.00613807-0.00702761j -0.0184519-0.00525399j -0.0121558+0.000316672j -0.00687204+0.00171645j 0.0115267+0.0095525j 0.00550715+0.00406459j -0.00586605-0.00287489j 0.000465519+0.000627637j -0.00611764-0.000758025j 0.00109335+0.000223371j 
0.000265662-0.00266483j 0.00260186-0.000593514j -0.000959459-0.00124093j -0.00109617-0.000226783j -0.000884811+0.00115905j 0.00650784+0.000470096j 0.00144693+0.00139669j -0.00143163+0.00191667j -0.00379266+0.00417287j 0.000199354+0.000609265j -0.000803593-0.000105914j 0.00498449+0.00293144j -0.00300888+0.000363523j 0.000766132+0.00206761j 0.0062527+0.00102418j 0.00426792-0.00487291j -0.00173767-0.00120772j 0.00319031-0.00227269j 0.00585222+0.00315215j -0.00806533-0.00136467j 0.00328272-0.00374759j -0.00594418-0.00778389j 0.00372077+0.00752567j -0.0129569-0.00972573j 0.00392467-0.00276028j -0.00153035+0.0014362j -0.00468326+0.00599509j 0.000852539+0.00157983j -0.00411389+0.00190158j -0.00396126-0.00934676j 0.000966539+0.00328525j 0.00532508+0.00984624j 0.00191742+0.00100293j 0.0133223+0.0297288j -0.00404109-0.000686379j 0.002641-0.0199848j 0.0116242-0.00324662j -0.00117101+0.00797674j 0.00250874+0.00613279j -0.00108013-0.004597j 0.0090863-0.00242016j 0.000865889+0.00919249j -0.0085696+0.00257653j -0.00186624-0.00332059j -0.00575927+0.0025637j 0.00293471-0.00152009j -0.00613469+0.00566514j 0.00321402-0.00177534j 0.00724094-0.00105037j -0.00271335-0.002381j 0.00298619-0.000580201j -0.0065159+0.00228557j -0.011287+0.00328165j -0.00188909+0.00357922j 0.00655107+6.74483e-05j -0.00044428-0.0039225j 0.00323037+0.00165709j 0.00148794+0.00132143j -0.00842775+0.00162502j -0.00274736+0.00321394j -0.00206495-0.000593221j -0.0011281+0.00090739j -0.00570727+0.00319355j 0.00352618-0.00259091j -0.00135686-2.35829e-06j -0.00677544+0.00539155j -0.0135131+0.00309233j 0.00217937-0.00159051j 0.00126167-0.00340099j -0.00686231-0.00157055j 0.00960213+0.00219754j -0.00446325-0.000397474j 0.0117307-0.00500384j 8.78509e-05+0.00369612j -0.00683052-0.00845562j -0.00475841+0.00226346j -0.0070035-0.00608549j 0.00650191-0.0023848j 0.00192449-0.00264547j 0.0147145+0.00586347j -0.00178986+0.00437981j 0.00642984+0.0031514j -0.00193869+0.00582192j -0.00416685-0.00132259j 0.000582133+0.000466793j -0.0115502-0.0121525j -0.0094023-0.0048183j -0.000885279-0.00411027j -0.00472465-0.00376j 0.000942012+0.000537635j -0.00714552-0.00665016j 0.00321073+0.00241484j 
