0.122069+0.0809639j 0.122095-0.414095j 0.00768846-0.00313171j -0.00763256+0.0214541j -0.157887-0.0646624j -0.00620931+0.00563858j -0.0177008-0.00255313j 0.00230521-0.000747302j 0.00521324+0.00669236j -0.00373794+0.0224571j -0.0133358-0.00521837j 0.00896587-0.0202125j 0.0534005+0.0200746j 0.041494+0.0267133j -0.00166606+0.0430334j 0.000483054-0.00295561j -0.00042808-0.00229742j 0.0157386-0.00427679j 0.0136857+0.00401597j 0.0234656+0.00443063j -0.00977311-0.0043318j -0.0255798-0.0125704j 0.00607243+0.0145006j 0.00298274+0.0140239j 0.00844186-0.0216317j -0.0102124-0.0250019j 0.00672544-0.0161706j 0.00988962+0.0514226j -0.0225492+0.0125403j 0.00196502-0.0141207j 0.0337834+0.0402009j 0.00432687-0.038691j -0.0281428+0.0171151j 0.0133505-0.04294j -0.0271571+0.0151293j -0.0158777-0.00259756j 
-0.255954+0.0528422j 0.261679+0.046745j 0.0476573-0.144955j -0.0723837-0.00166541j 0.0492583+0.144485j -0.00422051-0.006047j 0.0294899-0.0521242j -0.0599515+0.0404375j -0.121573-0.0341542j -0.0487655+0.0311078j 0.0541349+0.0297994j 0.11714-0.0362214j 0.0558795+0.0401361j -0.0318866-0.0496321j 0.00216565-0.00818358j 0.00329932-0.00291756j 0.0195743+0.00981933j -0.00509768-0.0117843j -0.00250639-0.0487586j 0.05723+0.00303702j 0.0195559+0.0261367j -0.0807298+0.0481028j -0.000544302+0.026445j 0.0209393+0.0762889j -0.00386602-0.0202151j -0.107414+0.000966749j 0.00520898-0.0199727j 0.0185138-0.0772143j 0.00454375+0.028878j -0.0808971-0.043864j -0.0148177+0.0240802j -0.0570021+0.00580309j 0.000615625-0.0495698j 0.00168917-0.0120426j 0.0203616-0.0119088j 0.00394341+0.00320086j 
0.0188335+0.0337165j 0.230603+0.23565j -0.0241512+0.0107229j 0.0920717-0.0024276j -0.0445436+0.216658j -0.0116821-0.00081759j -0.0277861-0.0410185j 0.0147888+0.0467234j -0.040623+0.0815021j 0.0438245+0.0308877j -0.0112907+0.030547j -0.0904777+0.0221974j -0.0139911+0.0475152j 0.104296+0.102335j -0.0293348+0.073427j 0.009396+0.00622208j -0.0186306+0.0178331j 0.00567454+0.0318795j 0.0177929+0.0204861j -0.0657847-0.000841111j 0.0205438-0.0398942j 0.0724015+0.050271j -0.00700345+0.0383685j -0.0292035-0.0798352j 0.0524466-0.0576156j 0.0236209+0.0833895j 0.0603567+0.0137515j -0.0283379+0.00691024j -0.0324579-0.0121975j -0.0404138+0.0770197j -0.0212749-0.00153008j 0.00545501+0.00123692j -0.0561848+0.0111986j 0.000454748+0.0199317j -0.0326964-0.0181954j 0.00403458-0.0125522j 
-0.024402+0.111835j 0.11063-0.0490877j -0.0518198-0.0730154j 0.101876+0.0282957j -0.195071-0.0692705j -0.0455466-0.0804272j 0.054823-0.10837j 0.0735449-0.0669087j -0.00338811+0.0660001j 0.0402902-0.0322176j 0.0671352-0.000559527j -0.00797929+0.0187754j -0.0363702-0.00912275j -0.0351279-0.0411098j 0.00819182-0.0374094j -0.0192975-0.000140939j -0.00629535-0.0284123j -0.0278217-0.0472772j -0.00777675+0.00222434j 0.0315608-0.0261528j -0.0261086+0.06421j 0.00342531-0.00223647j 0.0165265-0.00886841j 0.0191682+0.0115962j 0.023992-0.0165293j 0.0174216+0.00524231j 0.00583838+0.0048035j 0.0830943+0.0131754j -0.0227758-0.0180361j -0.00480421+0.00396026j 0.019993-0.0154773j -0.0339344-0.0496944j 0.0198672+0.0304508j -0.0161591-0.0169077j -0.0006681+0.0335742j -0.00888275+0.00808508j 
-0.0723431-0.222985j -0.0713664-0.0254406j -0.0759837+0.0479226j -0.0694437+0.00418932j -0.0989403-0.0119223j 0.0399644-0.0732137j 0.122538+0.0183905j 0.0836234-0.0271457j 0.0290661-0.0409475j -0.0428232-0.0274575j -0.0373662+0.0102635j 0.00782882+0.098526j -0.0102727+0.0471844j 0.0721903-0.0150262j 0.0117267+0.0262781j 0.0226716-0.0174477j 0.0300449+0.0547284j 0.0750629-0.00264955j 0.055909-0.0599764j 0.00318934+0.0758528j -0.0456228-0.0641446j -0.024491+0.00356999j 0.0287555+0.0461372j -0.0918675+0.036817j -0.0532968-0.0868356j -0.0479747-0.0136128j 0.020874-0.0661746j 0.0267075+0.0209213j -0.00470089+0.0898411j -0.0182381-0.00134443j -0.0227733+0.0220557j -0.0228547-0.0217585j -0.0350558+0.0481856j 0.00914166+0.00437347j -0.0367557+0.0166583j -0.00650383-0.00930651j 
-0.215875-0.294308j -0.126475-0.0606605j 0.093222-0.0805721j -0.0907584+0.116957j -0.0376444-0.084703j -0.0168922+0.0188753j -0.0447748-0.0575658j -0.032401+0.0769737j -0.0885852+0.0442659j -0.0351002+0.117664j -0.0736757+0.0726395j 0.00611052+0.0464272j -0.0491996+0.0201481j 0.0271927-0.00529338j 3.38289e-05-0.0018311j 0.00805645+0.0177622j -0.0306151+0.0103518j -0.0298521+0.0504019j -0.00741109+0.0077507j -0.0433671-0.0883721j 0.0865409-0.0336148j 0.00319628+0.026368j 0.0211355-0.0657765j 0.0655857-0.0621866j 0.000820757-0.0218953j 0.033481-0.00801579j -0.0455759+0.0191941j 0.0360565+0.00686891j -0.0420401+0.0225625j -0.000896892+0.0278311j -0.0222304-0.0122893j -0.02149-0.0166062j -0.0251123+0.0338995j -0.00872975+0.0176684j -0.0245663+0.00699974j 0.000709562-0.00584299j 
0.144089-0.113348j 0.0160156+0.02096j 0.063937-0.038699j -0.131973-0.00368777j -0.200992+0.215486j 0.0655965+0.0176527j 0.00620689+0.0807601j 0.0234204+0.0890707j -0.0200043+0.00249203j -0.065492+0.0387506j -0.0178962-0.0749519j 0.0488979-0.100824j 0.110632+0.00495053j -0.0145682+0.0376527j -0.0141677+0.0380475j -0.00791746-0.0190186j 0.011301-0.0347528j 0.0520672-0.0279409j -0.0107555+0.0445169j 0.0247802-0.000605481j -0.0746504-0.0383365j 0.0150427-0.0431821j 0.00213439-0.0024113j 0.0375049-0.0196564j -0.00815364+0.0136173j 0.0360209-0.0269748j -0.00326623-0.0175624j -0.0135509+0.00330264j -0.00997727-0.0128181j 0.037057-0.0068698j 0.0263586+0.0577597j -0.000425449-0.0113482j 0.0143437-0.00515299j 0.0319893-0.0405312j -0.000396751+0.0187586j -0.0162961-0.00020595j 
-0.116458+0.061503j -0.18036+0.331153j -0.012676+0.0680405j -0.00373529+0.118714j -0.114582-0.0224282j -0.00316127-0.00271389j 0.0170971+0.0241648j -0.0077493-0.05893j 0.00172822-0.0494838j 0.148446+0.032342j 0.0602142+0.121897j 0.0155119-0.0828113j 0.017836+0.00114806j -0.0281998+0.0303085j -0.0192776+0.00100654j -0.00993241+0.0019778j -0.00464585-0.00718728j -0.0165386-0.0295745j 0.0237343-0.0110251j 0.0622181+0.0146708j -0.00600204+0.0577613j 0.00588575-0.0603326j 0.0693479+0.0194745j -0.0137846+0.0528539j 0.0265371-0.0374608j 0.0711957-0.00293964j 0.0107625-0.0633722j 0.00773346-0.00976581j -0.0639575-0.0426328j 0.0117391+0.00890066j -0.0241201+0.00328316j -0.013652-0.0252506j 0.000186929-0.0361474j 0.0136283-0.00220853j 0.0050606-0.0128171j 0.00217382-0.00187833j 
0.184165-0.15456j 0.337263+0.393075j 1.14306e-06-0.0777392j -0.162737-0.0214273j -0.0262288-0.0745828j 0.0185344-0.0237837j 0.0123953-0.0044242j 0.0674382+0.0366366j 0.0175927+0.06667j -0.0509819-0.0452213j 0.0432844-0.0683519j 0.0465739+0.046555j -0.0158737+0.0451849j -0.0436347-0.0396616j -0.0100711-0.0307302j -0.0188979-0.000172166j -0.0300798-0.0100826j -0.00394063-0.0608518j 0.0406053+0.0218983j -0.0480806-0.0181526j -0.0833222+0.0364356j 0.0287524-0.0164307j 0.00918189-0.0185153j -0.037518-0.0927009j -0.0272457+0.0370914j 0.0182646+0.00880179j -0.0374448+0.00498673j -0.00594279-0.0204224j 0.0348601+0.0025238j 0.0104479+0.00417655j -0.0440951-0.0147369j 0.00601553+0.0196994j 0.0252048+0.0095119j 0.00884285+0.0426768j 0.00763999-0.000911779j 0.00847859-0.00508665j 
-0.177248-0.102076j 0.467925-0.203236j -0.0549096+0.0971021j 0.0900411+0.227059j 0.0372529-0.00564804j 0.0115744+0.0570805j -0.0104811+0.0598494j -0.117623-0.00815059j -0.0056515-0.118567j -0.00562318-0.0468489j -0.0149733+0.0322401j -0.0178251+0.0284277j -0.0542746-0.0156525j -0.00827419+0.00117377j -0.00236812-0.0224714j 0.00161927-0.0193521j 0.00505434-0.0171769j 0.0745415-0.0120102j 0.00994286+0.0430099j 0.00795404-0.00504053j -0.0648378-0.0760747j 0.00761918+0.00448911j 0.00381454+0.0314621j 0.0434667-0.0404316j -0.00906697+0.00323602j -0.0210252+0.00797553j 0.0107049-0.0248845j 0.0435586-0.00807883j 0.0122234+0.000921623j -0.00856024-0.0258549j -0.0240166-0.0145245j -0.0103158-0.028416j 0.0237967+0.00914583j 0.00126835+0.0146296j 0.00210947+0.0121026j 0.0010907+0.000118173j 
-0.341976+0.139456j 0.0529079+0.186213j 0.0432176+0.125362j -0.0945851+0.00376195j -0.0223202+0.00539653j 0.0262765+0.0129526j -0.00437916+0.0564791j 0.0158484+0.00713174j 0.0321353-0.0108724j 0.0131208+0.000610376j -0.000644724-0.00960498j 0.00840951-0.0309045j 0.0288406-0.0151556j -0.00981396-0.002357j 0.00523798+0.00242443j 0.0011824-0.000228543j -0.0187317-0.0114597j 0.0259817+0.0144071j 0.0193123+0.0462984j 0.00533165-0.0118123j -0.0024304-0.0332048j -0.00219697-0.0228357j 0.00757087+0.0275737j 0.0298047-0.0298334j 0.00241848+0.00238877j 0.00777811-0.0135855j 0.00597229-0.0293848j -0.0198727+0.0346809j -0.0117301-0.00615526j 0.0176032-0.0181125j 0.0148439-0.00807466j 0.0266645-0.0101747j -0.0145083-0.00713065j -0.00503065-0.00918723j -0.00586434-0.00893284j 0.000180517+0.000603311j 
0.141946+0.405865j 0.119502-0.0962854j 0.155038-0.0711722j 0.0141077+0.0225108j -0.00760947-0.00235622j -0.00343006-0.0429407j 0.0407169-0.0290106j 0.0518437-0.0203333j 0.00631847+0.020355j -0.0142701+0.00455712j -0.00325623-0.0218788j 0.00521308-0.00511977j 0.00175406+0.00156179j -0.0174093+0.00282687j -0.00650609-0.00562171j 0.015595-0.00314695j 0.0289681+0.0162613j 0.0122043+0.0413044j -0.0290637-0.0200913j 0.00363798+0.0406499j 0.0330764-0.0368203j -0.00315922-0.0150355j -0.0223919-0.0138441j -0.0124344+0.0534799j 0.0063945+0.0168577j 0.0104529-0.024651j 0.0077767+0.0229787j -0.00215553+0.0112321j 0.00522999-0.0136298j 0.0252603-0.0123428j -0.011163+0.00566701j 0.0216538-0.00331558j 0.0147765-0.00413735j 0.0163629+0.00449763j 0.00103712-0.00203536j -0.000509952-0.00301485j 
