0.0270513-0.00334997j -0.0163143+0.0169523j -0.00674286+0.0178274j 0.047281-0.00508952j -0.00494649-0.00108219j 0.0153016+0.0080055j -0.0209196+0.0205004j 0.0120892+0.0179274j -0.066104+0.00730087j 0.0264404-0.00648477j 0.011187+0.0073991j -0.000651391-0.000552453j 0.0176727+0.000211038j 0.0124337-0.000906025j 0.0013374-0.00224492j -0.00151199+0.00916741j -0.0273369+0.0124536j -0.0212247+0.0174694j 0.0366008-0.00982148j 0.0247626-0.0130882j 0.0127633-0.01884j -0.0192847+0.0270973j -0.00416679-0.00157679j -0.00353461+0.0129527j 0.00483084+0.00700093j 0.00912781+0.0188547j -0.00548848-0.0024407j -0.00916792-0.00658955j 0.022971-0.0036771j -0.052714+0.000954849j -0.0169049+0.0145231j -0.032335-0.00786168j 0.0263824-0.0252058j 0.00603207+0.00775898j 0.0341013-0.00788289j 0.0130483-0.0150524j 0.0047787-0.00161328j 0.0305652-0.0190685j 0.0256882-0.0126703j -0.0331813+0.00891537j -0.0140279-0.0226594j -0.0298102+0.0148815j 0.000984879-0.0157079j -0.000681541-0.00232177j -0.00384488-0.0227782j 0.0149664-0.0219241j 0.000237964-0.0126192j 0.0363263+0.0230809j 0.0193282-0.0389059j 0.0760157+0.00971211j -0.0182894-0.0126488j 0.056036-0.00699488j -0.000538827-0.00540861j 0.0241755+0.00278328j 0.04643+0.00351755j -0.0261488+0.044766j 0.106396-0.0148831j -0.0582619-0.00251481j 0.000914937+0.00204375j 0.0325177-0.0248931j -0.00560229+0.0393835j -0.000662272-0.0242972j 0.0608452-0.0144848j -0.0347165+0.0406724j 0.0059705+0.0497201j -0.058843-0.0233018j 0.0395281-0.0364747j 0.00646222+0.0251944j 0.0608688+0.0232735j -0.0839962-0.0323813j 0.0647979+0.00481167j -0.0329314+0.087152j -0.134807-2.24913e-05j -0.0350826+0.00157675j -0.047511-0.0341714j 0.0863004-0.0200579j 0.00324592+0.00226601j 0.063526-0.0327408j 0.0502074-0.0220803j -0.0460688+0.0238385j -0.0143949+0.0133624j -0.00718225+0.00810406j -0.0428488-0.0543101j 0.0716481-0.0045785j 0.0312749-0.0106079j -0.000278903+0.02312j -0.00552654-0.0130803j -0.00652404+0.00469665j -0.021632-0.0257734j 0.0208108-0.0287153j 0.0221802-0.00769425j -0.0252805-0.000334262j 0.0483745-0.021349j 0.00840286+0.0396191j 0.0652863+0.0222559j -0.14746-0.0257658j -0.317942+0.0262003j 
-0.0057887+0.000884204j -0.0117146-0.00146489j 0.00396971+0.00233126j 0.0153834+0.00733761j -0.00950431-0.00555902j -0.00355192-0.00447913j 0.00724341+0.0212885j 0.000991053+0.043524j -0.0287716+0.0117723j 0.0102195+0.00180094j 0.0180506+0.0129254j -0.0169001+0.000346496j 0.00735696+0.0199146j 0.0756725+0.000850851j -0.0376311-0.0175344j -0.0382683-0.029938j -0.021072+0.00308963j 0.0203685-0.030993j 0.00460397+0.0530388j -0.020966+0.0144427j 0.0294855-0.0820497j -0.0874515-0.0351118j 0.00273989-0.0430316j -0.0404643+0.0037566j 0.0734256+0.000814929j -0.0506413-0.0709533j 0.00719972+0.0413432j -0.017972+0.0406474j -0.0333728-0.0361363j 0.0332063-0.0360567j -0.00819755+0.0286163j 0.0498297-0.000571792j 0.00577119-0.0274644j 0.0356148+0.00219402j -0.0109063+9.29281e-05j -0.000728894+0.00621546j 0.020263-0.0101604j -0.0362269+0.00867769j -0.0297539+0.0224456j 0.00680268-0.01786j -0.0226912+0.00692481j 0.0591902+0.00753743j 0.00361953+0.0231131j 0.0220208-0.0127674j -0.00486688+0.0309452j -0.0470506+0.0703082j 0.0351558+0.00948492j -0.034897-0.00789347j -0.018424-0.00740635j 0.029976-0.0161092j -0.0207977-0.0548812j 0.00751973-0.00242862j 0.0208569-0.00960365j -0.0169359+0.0251323j 0.0121609+0.0200945j 0.0185337-0.0132171j -0.012534+0.0247845j -0.0255344-0.0161301j 0.0104734-3.14731e-06j -0.0198473+0.0058439j 0.00947437+0.013009j 0.0122088-0.0220995j -0.00672104+0.0227724j -0.0106344+0.00102114j 0.00814749+0.00766352j -3.11483e-05-0.0241455j -0.00126651+0.00151211j 0.0164781+0.0128361j -0.00206641+0.00161384j 0.00198848-0.0296159j 0.00516334+0.0329553j 0.0170369+0.000319221j -0.00217005-0.015765j 0.00645638-0.0172567j -0.00496802-0.0264952j -0.00721288+0.0204301j -0.0126323-0.0171004j 0.0083142+0.012124j -0.0124538-0.00276521j -0.00710348-0.00875293j 0.0267875-0.0321046j -0.00656672+0.0261699j -0.0238739-0.00749947j 0.0148417+0.012451j -0.0450403-0.0172151j 0.0143549+0.00591884j -0.00989094+0.0190777j 0.00174742-0.00777403j -0.0131161-0.00687659j 0.023376+0.0137761j 0.0428223+0.00727885j 0.00806304-0.0116123j 0.0266299+0.00969687j -0.0246094+0.0217229j -0.00936455-0.00487244j 0.00814291-0.018729j 0.00791337-0.0203146j 
-0.0108089-0.00288528j 0.011222-0.00703088j 0.00850874-0.00197178j -0.0175107-0.00528163j 0.00508734-0.0134266j -0.0218523-0.00652798j 0.0119048+0.0258831j 0.00250381+0.0168819j -0.00577175+0.000659338j 0.0339058+0.0113262j 0.0222189+0.00527643j -0.0184962-0.000405405j -0.0170738-0.0200938j -0.0389157-0.00876573j -0.00956499-0.0738121j -0.001381+0.0110255j 0.0144102-0.0137014j -0.0278152-0.00793255j 0.012591-0.00405215j -0.015014+0.0200846j -0.0237626+0.08332j 0.0221938+0.0490972j -0.0446273-0.00018152j 0.0184236+0.037007j -0.0494184-0.0988672j -0.0221997+0.0773134j 0.00738768-0.0122196j -0.00632251-0.0868791j -0.0237014+0.0226999j -0.0452445+0.0256991j 0.0201438-0.0295141j -0.0578624+0.00508826j -0.0205498+0.0016082j -0.0136556+0.00172725j 0.0162574+0.0131888j -0.024138-0.00569207j -0.0223171-0.0120799j -0.0157553+0.00282719j 0.0610357+0.0204872j -0.0125568+0.0232039j 0.00470794-0.00834222j -0.0354887-0.0562721j -0.0142346-0.000348399j -0.00209355-0.0123465j -0.00311454+0.0130389j -0.0441619-0.0159797j -0.0242858-0.0104349j 0.0212161+0.0169722j 0.03706+0.0265239j -0.00384808+0.0151833j 0.0226055+0.0383793j 0.0109325+0.00719373j -0.0197274-0.0220244j -0.0228388-0.0340686j -0.0353195-0.0135762j -0.00648108+0.00545468j -0.0476778-0.00472332j -0.0138332+0.0290106j -0.0136618-0.00999026j -0.00482934+0.00894316j -0.0169188-0.0067523j -0.0176874+0.0079528j 0.0162141+0.00127128j 0.0243096+0.00533758j 0.015925+0.0212106j -0.0148795+0.00459629j 0.00350962+0.00950771j 0.0111552-0.0102965j -0.000292093-0.0101405j -0.020819-0.000288575j 0.00926002-0.0109581j 0.0210323+0.00685126j 0.00378606+0.00676198j 5.38461e-05-0.010688j -0.0117333-0.00820993j -0.0175607+0.00124067j -0.0179652-0.00982811j -0.0145049+0.0208072j -0.00918252-0.00382623j -0.00976753+0.00936425j -0.0113816-0.00504838j 0.0032133-0.0277509j -0.00343676+0.00111062j -0.0150357+0.0200674j -0.0305167+0.0258043j 0.0136223-0.0440353j 0.00788601-0.023601j 0.0169604+0.0137688j 0.0160376+0.00670672j -0.0371161+0.00793782j -0.0159052-0.0115417j -0.00545599-0.0298212j -0.038146+0.0486153j 0.0693987-0.00420843j 0.0261984+0.00152641j -0.0104488+0.00547159j 0.0291972-0.0138148j 
0.00174761-0.011264j 0.00293644-0.00236005j -0.0123375+0.0166916j -0.0146229-0.0144812j 0.0136939+0.0268106j 0.00804329-0.0126705j 0.00358383+0.0113972j -0.00888384+0.0131638j 0.0176698-0.0179791j 0.00868883+0.0121847j -0.0328024-0.0224576j 0.0514644+0.0198016j 0.021305+0.0431267j 0.0261223+0.0339346j -0.00923758-0.0114002j 0.0218872+0.0416218j -0.0291075-0.0343822j 0.0159064+0.0101607j 0.05049+0.0308219j 0.0300648+0.0699342j 0.0242903-0.105072j -0.0523051+0.00208466j 0.0386545+0.00296804j -0.0157589+0.0184825j -0.0284294-0.0202868j -0.00112612-0.000370588j -0.0228921+0.0489465j 0.0735186+0.00131723j 0.00990408+0.0237515j 0.0155856+0.0130925j 0.0155162-0.00964895j 0.037201+0.0311417j -0.0657503-0.00602926j -0.0382836-0.000170896j -0.00372892-0.0338447j -0.030574+0.0233573j -0.0232384-0.0424299j 0.0322362+0.00242388j 0.0189177+0.0535375j 0.000140657+0.0559845j -0.00194704-0.000769414j -0.020051-0.00783792j -0.0420201+0.0211131j 0.00155233-0.0612347j -0.00454834+0.0202134j -0.0407563+0.0126846j -0.00728243+0.00135816j -0.0812458+0.0167044j -0.00203048+0.0251009j 0.0383559+0.00273278j -0.00971845-0.0282121j -0.0475286-0.0092709j -0.0316999-0.00847814j -0.0411693-0.0200353j -0.0669842+0.0198142j 0.0140798+0.0155857j -0.0237382-0.00135795j 0.00428087-0.0318921j 0.00471538-0.0132955j 0.0154484+0.00900411j -0.00830651-0.00240096j -0.0226589-0.0190151j -0.0201375+0.000885585j 0.0481351+0.006025j 0.00373637+0.0342883j 0.00660482-0.0247924j -0.0103964-0.00582209j 0.0082465+0.00843732j -0.0307186+0.0226502j 0.0196193-0.0214686j -0.0160389+0.0184152j -0.00430797+0.0377866j 0.0248286-0.00160985j 0.0172292-0.0184371j 0.00852618-0.0375923j -0.0242289-0.00308469j -0.0272501-0.00275459j 0.00951081+0.0140794j -0.0177224-0.00473218j 0.0119361+0.0187632j 0.00673223-0.0279565j -0.0153788+0.0252587j 0.0369612-0.0178156j -0.0361002+0.00868101j -0.0247983-0.0141818j 0.0143363-0.0490681j 0.00415326-0.00118795j -0.00835617+0.0126758j -0.0190958-0.00972411j -0.0178286-0.00145749j -0.0391792+0.00793886j 0.0407434-0.0537657j -0.00310127-0.0178974j 0.0180807+0.00148554j 0.0190396-0.00498656j 0.0123542-0.0378407j 0.0137151-0.0134828j 
0.00784197+0.0190103j -0.000499203+0.0118774j -0.00680564-0.02533j -0.0160781-0.00620063j -0.0243466-0.0362775j 0.0196948+0.00576882j 0.0338728+0.0167278j 0.0262049+0.000751028j -0.0148444+0.00658226j 0.00221794-0.0183107j -0.0247623-0.02669j -0.0173167+0.0220408j -0.0116019+0.058133j -0.00348219+0.00435251j -0.0477685-0.0194209j 0.0115542+0.0128376j 0.025164+0.03405j -0.0295791+0.0352758j -0.00752073-0.0482069j 0.0033533+0.0140724j -0.000957632-0.0929681j -0.00927233-0.0149925j 0.0262899+0.0646937j 0.016377+0.0333477j 0.0972684+0.0384459j -0.0738819-0.00232883j 0.0301594-0.0223548j 0.11398-0.0555705j -0.00290826+0.0031802j -0.0197007-0.0561805j 0.079612+0.0230032j 0.0158696-0.00771923j -0.0561211+0.000303019j 0.0203397-0.00320958j 0.0299645-0.000301733j -0.0192493+0.0167558j 0.0276155-0.00302108j -0.0141371+0.00656685j -0.0234643+0.00802894j 0.0420177-0.0253619j -0.0570535+0.000997841j -0.00217769+0.000150621j 0.0298015-0.00405186j 0.0299415+0.0106619j 0.0422015-0.0380183j -0.012718-0.00467641j 0.00499236-0.031265j -0.0147172+0.0493842j -0.0331798+0.0302154j 0.0170121+0.0489423j -0.0481511-0.0178459j 0.0107751+0.00893051j -0.00373333+0.00800359j -0.0165317-0.00895793j 0.0341315-0.0348969j 0.0166519-0.000357852j 0.020831-0.0390012j -0.0197865-0.0400928j -0.0189602+0.0139873j 0.00633463-0.00747227j 0.0301451+0.0101428j 0.0144756-0.0399846j -0.000852636+0.0150014j -0.0174295+0.0521881j 0.0359072+0.0200322j -0.00567959-0.0556783j -0.00190076-0.0260563j -0.00514001+0.0523978j 0.0188814-0.00576919j -0.0263541-0.0374778j 0.00150051+0.0136316j 0.0303245+0.0645274j 0.00812358-0.00221182j -0.0162467-0.00063402j -0.0215759-0.0316741j -0.000721163-0.0431514j 0.00941288+0.0107693j -0.012289-0.00808657j -0.00124543-0.0222714j 0.00276477-0.0291517j -0.0255296+0.0343422j 0.0167593+0.00499718j 0.0147279-0.0338935j -0.00698938-0.00572921j 0.0188029-0.0173402j 0.00163361+0.0450622j 0.0095028+0.0060447j -0.013708+0.0183909j -0.0229122-0.0578929j -0.0169837-0.012758j -0.0125092-0.0339475j -0.0322752-0.0254458j 0.0051061+0.00219483j -0.00601813+0.0638232j -0.0121922-0.00528454j -0.00564928-0.0258005j -0.00121652+0.00821794j 
0.00590962+0.000494695j -0.0106333+0.00247136j -0.00645536+0.000465709j -0.00526339-0.0078724j -0.0049254-0.0140546j -0.00376997-0.00313647j 0.00575891+0.00185277j -0.0182458+0.0375207j -0.00389292+0.0149949j 0.0155277+0.00924735j 0.0249942-0.0266878j 0.00843096+0.0177144j -0.0184101+0.00907597j 0.00171626-0.021495j 0.0248721-0.0217434j 0.00937244+0.0164005j 0.00796118+0.00321679j -0.0285553-0.00749291j -0.0511458-0.0989398j -0.0177649+0.0811946j 0.0423011+0.0496697j -0.0130953+0.0102312j 0.0341251+0.0303846j 0.00661614+0.0309405j 0.0459422-0.00402479j -0.0241534-0.0029666j -0.00236166+0.0056117j 0.0141536+0.0576762j -0.0147796+0.0040585j -0.00449218-0.0326798j 0.002545-0.00372912j -0.0173761+0.0108137j 0.0298423-0.0569198j 0.0216616-0.0166819j -0.00779902-0.00192741j 0.00281715-0.0163336j 0.0110404-0.0700958j -0.0114569+0.00777803j -0.0144451-0.00468004j -0.0339066+0.0236134j 0.0124761+0.0169817j 0.00660198+0.0231737j -0.0132885-0.017426j 0.00807406-0.00479645j -0.0268558-0.048353j -0.00795767-0.0370108j -0.0414501-0.0533491j 0.076942+0.0206457j 0.0217909+0.0432962j -0.0291719+0.0262349j 0.0690278-0.0256144j 0.00985065+0.00610393j -0.00432637+0.0224659j 0.0191069-0.0678632j -0.0149122-0.0658969j -0.00640805+0.0715026j -0.0488929-0.0450573j 0.0497112+0.0463623j -0.00178662+0.0107589j -0.00976879-0.0553036j -0.0155896+0.0569264j 0.0123992-0.0302967j -0.00364147-0.0446733j -0.000366144+0.0659263j -0.000714544+0.0474201j 0.0179447+0.0322127j 0.00569811-0.0286553j 0.00276151-0.0182303j -0.0164411+0.00250687j 0.0297375-0.00141581j -0.0299768-0.0296817j -0.00176991+0.0344333j 0.00564293+0.0439451j 0.00271688+0.00821679j 0.00676913-0.0339248j -0.00310818-0.0521195j 0.00391053-0.000798323j 0.0236147+0.0012039j 0.00327683-0.0552791j 0.0103613+0.033262j 0.026571+0.0124774j 0.0168215+0.00842489j -0.0302648-0.0110807j 0.00960198-0.0257585j 0.0210266-0.0168195j 0.00532355-0.0339488j -0.00275604-0.00213661j -0.0131992-0.0216949j -0.00143467-0.0359284j -0.0155096-0.000952523j -0.0106661-0.016628j -0.0325693+0.0108056j 0.0233331-0.0853236j 0.0285117+0.0012687j 0.0204983+0.0534317j 0.00777299-0.021269j 0.0175898+0.0628469j 
-0.0212594+0.00812891j 0.00307121+0.0132236j 0.0128341+0.00225808j -0.0139711+0.0241713j -0.0103966+0.00931831j -0.00238951+0.0192386j 0.0163215-0.0225237j -0.0206135-0.0031299j 0.0125844+0.00893004j -0.0410912+0.0122507j -0.00432836+0.0152098j -0.0190446+0.0173668j 0.0207006+0.0136481j -0.0135793-0.0302991j 0.0617269+0.0597315j -0.00137736-0.0449057j 0.074792+0.0634753j 0.0325353+0.0130882j -0.0831881+0.0192705j 0.0138326-0.0322849j -0.0211885+0.00574732j -0.0437877-0.0143014j 0.151238-0.0745849j -0.0443282-0.024689j 0.0258697+0.023473j -0.0704409-0.0150657j -0.0967336-0.0250716j 0.0558901-0.0220433j -0.0436127-0.0075286j -0.0212854-0.0173639j 0.0602447-0.0244425j 0.0116214-0.0271693j 0.0214019+0.00412406j 0.0380002-0.0418672j -0.0251792+0.0292666j 0.0649866-0.0027954j 0.0215604+0.00640459j 0.00446291-0.0302716j 0.0317224-0.0495592j 0.0348764-0.0662082j 0.042-0.0238635j -0.00926227+0.0376669j 0.0183414-0.024438j -0.0258159+0.0259434j -0.0288531-0.048782j 0.0469802-0.0327473j -0.0219889+0.0254852j 0.0787154-0.0186279j 0.0386738-0.0292717j -0.016782+0.00286668j 0.0182152-0.0253008j -0.000431596+0.0123683j 0.0134824+0.0275692j 0.0376165-0.00299471j 0.0179607-0.0263215j 0.00459279+0.00746688j -0.0201478-0.044187j -0.00750105-0.0481172j 0.0206914-0.0117879j -0.0293463-0.0305559j 0.0115468+0.00283679j -0.0278573-0.00220731j -0.0132393-0.0038409j 0.0507923+0.0147068j 0.00148738-0.00672661j -0.00294263-0.0173235j -0.0140129-0.0159056j 0.00334391-0.00343053j -0.0247948-0.001773j -0.0239508-0.0214745j -0.02434-0.0136972j 0.0149748+0.0228096j 0.0394635+0.00242384j -0.0121569-0.00680883j 0.0117691-0.0213616j -0.0307851-0.00624263j 0.0282987+0.00631511j 0.0176689-0.0202805j -0.0183084+0.00892603j -0.0335929+0.0376108j 0.0122261-0.0144552j 0.0180757+0.0135935j 0.0178313-0.0447056j 0.0275127-0.00938967j 0.0049191-0.0125072j 0.00560999-0.0376231j 0.0250477+0.00165932j 0.0248194+0.00839908j 0.0392534-0.00621093j -0.0135756+0.013494j -0.0105122+0.0161745j 0.0140128-0.045634j -0.0186952-0.0179426j 0.00995639+0.00165827j 0.0206444+0.0199374j -0.00847309-0.0153489j 0.0251292+0.001267j 
-0.00255412+0.00459764j 0.00653272+0.00967964j 0.0207256+0.0258519j 0.0104815+0.0210526j 0.0151364+0.00466001j 0.00615926-0.0133203j 0.00598751-0.0189157j 0.0058316+0.0142484j -0.01553-0.0172552j 0.0171908-0.0197028j 0.003834+0.0184956j 0.0363008-0.0277676j 0.0393462+0.00415376j 0.0336404-0.0284994j 0.057708+0.0747175j 0.0080366+0.0123704j -0.00856694+0.000814146j 0.0233982-0.0109616j 0.0696373-0.00273006j -0.101491-0.103964j 0.0550633+0.105172j 0.020313+0.0157375j -0.11887-0.0813672j -0.0321534-0.00821474j 0.0961316-0.0167035j -0.0799781+0.0773594j -0.0260616+0.0273023j 0.0155667-0.0315042j -0.00266834+0.0238089j -0.0070798+0.0103195j 0.0263448-0.0821986j -0.0143268-0.028151j 0.00203187+0.0129822j 0.033668-0.0151823j -0.00808994+0.00780155j -0.0307741-0.0187937j -0.0320865-0.00314206j 0.00344454+0.0149362j -0.0108327-0.0155726j -0.0456705-0.024186j -0.0574778-0.0470631j -0.0122645+0.0187521j 0.00314539-0.0666965j 0.00603594-0.00612673j 0.0165758-0.0365648j -0.0185407-0.0282819j 0.0214053-0.0455394j -0.0240837+0.0380457j 0.000848017-0.0721227j 0.01097-0.000931748j -0.0160095+0.0330064j 0.0166824+0.00171722j 0.00475831+0.0325369j -0.0147551+0.0477058j -0.0145021+0.0221502j 0.0147531+0.0019803j 0.0339099-0.0671539j 0.0246414-0.0365955j -0.0223525-0.00156561j -0.0105128-0.0153938j 0.00339607+0.0156825j -0.00259707-0.0103846j 0.00108169-0.00172218j -0.00802721+0.0269766j 0.00449909+0.0119345j 0.0232325-0.0597361j 0.0354798-0.0470029j -0.0124813+0.030047j 0.0369131+0.0124258j -0.00536172-0.025959j 0.0245485-0.00462214j -0.0129535+0.0995186j -0.0107324-0.026651j -0.00615883+0.0192414j -0.0132201-0.00173134j 0.0102041-0.0271528j -0.0148126+0.0309163j -0.0152231-0.0430774j 0.00116431-0.0147j -0.00243832+0.0174681j -0.00394893+0.0203425j -0.025943+0.00450475j 0.00648561-0.0594236j -0.017843-0.015683j -0.0245465-0.0253686j -0.00993075+0.0222337j -0.00864202-0.0046517j -0.0124576+0.0167671j 0.00243448-0.0229167j -0.00617391-0.0136221j -0.0158283+0.00641354j -0.0453493+0.0265679j 0.0437904+0.0116812j -0.0048924+0.0431983j 0.00644272+0.00751348j -0.0219445-0.028206j -0.00399761+0.0267889j 
-0.00926427-0.0123033j -0.00337321+0.00428254j 0.000364611-0.00492851j -0.00854293-0.0218988j 0.0132243-0.0205005j -0.00285326+0.0113035j 0.0089457-0.00818918j 0.00191163+0.0076295j 0.0202037+0.0342362j 0.000363525+0.00345321j 3.89781e-07+0.0239704j 0.0310362+0.00986541j -0.0170457-0.00112929j 0.0165858-0.0119459j -0.0226272-0.0115458j -0.028617-0.0201004j -0.00674008+0.0421507j 0.011256-0.00261527j -0.0273149+0.0252238j 0.00950286+0.0157103j 0.0835722-0.0297499j 0.0752175-0.00937849j -0.115094-0.0054457j -0.00855507+0.017932j 0.000453447+0.029703j -0.022439+0.0103974j -0.0163264+0.000796733j -0.0254886-0.0404621j 0.0225414+0.00116958j 0.0154786-0.0158036j 0.0015336-0.0123084j 0.00519791-0.0217427j 0.00292975+0.00378589j -0.0146104+0.0214654j 0.0281582-0.00991982j 0.0182889+0.0209186j -0.0284016+0.0047603j 0.000831725-0.00207798j 0.00603417-0.0453912j -0.0259975+0.00515309j 0.00285681+0.0174816j 0.0174656+0.00648845j -0.00214734+0.0466091j 0.0590029-0.0111836j 0.00949463-0.00539226j -0.0690408-0.0021468j -0.0150923+0.0180617j -0.0796508-0.0265328j -0.0110318+0.046415j -0.0019736-0.0660152j -0.0453483+0.0343528j -0.025641-0.0276932j 0.029183+0.0115107j 0.0072256-0.0573746j -0.0260344-0.0600801j 0.0175101+0.0146298j -0.0419582-0.0981627j -0.0253572+0.0415712j 0.0107202-0.0281521j -0.0218961-0.0551392j 0.0031722-0.0126315j 0.00473395+0.0158776j -0.0158127-0.0312801j 0.0235823+0.0144425j -0.00484671-0.00572008j 0.00941749+0.0548029j -0.0089114+0.0113455j 0.0123646-0.0261053j -0.00550322-0.0518463j 0.0325741+0.0464181j -0.000482305-0.0460828j 0.00959109-0.0311502j 0.0209852+0.0818466j 0.00201302+0.0385189j 0.00571488+0.0217893j -0.00550468-0.0309137j -0.00737453+0.00429666j 0.0139418-0.0199515j -0.0232403-0.00866029j 0.0028741+0.0212553j 0.00527143+0.0113315j -0.0223218+0.00348481j -0.0101031+0.0940439j -0.0133929-0.030197j -0.0474146-0.021056j 0.0184241-0.0245241j -0.0417589+0.0108388j 0.0190064-0.0207499j -0.00776763+0.0279694j -0.0223113-0.00841241j 0.0315536-0.0316601j -0.0439089-0.0220936j -0.0775239+0.00493689j 0.00521671-0.0239078j 0.0249084+0.0713223j 0.029572+0.0458805j 0.0395823+0.0282301j 
0.00686969-0.0197465j 0.00886223-0.00754281j -0.0290911+0.00665382j -0.00616218-0.0141381j 0.0162778+0.0346745j 0.00245801-0.0291478j -0.0267452+0.015979j -0.0141197-0.0116877j 0.0174957+0.00361534j 0.00127717-0.0236064j -0.0350946+0.0225414j -0.00776827+0.031193j -0.0463545-0.0323334j -0.00876146+0.010389j -0.0600484+0.00905594j -0.00567191-0.00872258j -0.0316484-0.02213j -0.0095783+0.00427953j 0.0195411+0.116475j -0.00893689-0.0147333j 0.0084222-0.104227j -0.0116622+0.0577637j -0.00147935-0.0858155j -0.0239999-0.0247249j 0.0119875-0.0363839j -0.0670857+0.0451659j -0.0290214+0.0756233j 0.031945-0.0788735j -0.00669615+0.0160923j 0.00825343+0.0419065j 0.0402531-0.0284577j 0.0301369+0.00287811j -0.0366365+0.0635643j -0.012281+0.00994958j 0.0448812-0.0517865j -0.00410949-0.0157849j 0.0156528+0.0434679j -0.00932002-0.0195851j -0.0138246+0.0161011j 0.0102859+0.0300773j 0.00575618-0.0323439j 0.0227964-0.0142673j 0.0339744-0.0225571j -0.0515521-0.0122068j -0.0309822+0.0631262j 0.0717147+0.0219635j 0.0348569+0.0146535j 0.209336-0.079056j 0.0223083-0.0171298j -0.0802755-0.0776382j 0.0269115-0.0133197j 0.00308202-0.0335741j -0.0332338+0.0134944j -0.00963388-0.00369354j 0.0459997-0.0221368j -0.000690333-0.0100615j -0.0285033-0.0474721j 0.0342816+8.27045e-05j -0.0345859+0.018634j -0.0309547+0.00149322j 0.00664022-0.00651923j 0.0138771+0.00290846j -0.00717105-0.00353144j -0.0373212-0.0039573j 0.0234664-0.00830598j 0.0312696+0.0119957j 0.0137526-0.0216103j -0.00993908-0.00562046j -0.0224883-0.0221716j 0.0190641+0.00912048j -0.0141022-0.00130146j -0.00817829+0.00980772j 0.00507631+0.0434095j 0.0336422+0.00133458j 0.0189161+0.0477649j 0.0326991-0.000818233j 0.00882209+0.00217378j -0.0199304-0.0487176j -0.0191275-0.00789634j 0.0223818-0.0164629j 0.0246143-0.0199834j 0.0305519+0.00945073j -0.0208649+0.0160185j 0.0299143-0.0444195j 0.0893989-0.00615179j -0.0299616+0.0332114j 0.0217011-0.00925831j 0.00186754+0.0297957j 0.0183306+0.00814788j -0.0308454-0.0170115j 0.00134627-0.000828918j -0.023993+0.0297479j -0.0171665+0.00880441j -0.00761154-0.0142897j 0.0320296-0.00470125j 0.0149618+0.0267989j 0.025467+0.0228786j 
-0.0064873+0.00321153j -0.00378333+0.0150349j 0.0186383-0.00799251j 0.00197846-0.0196822j -0.00674476-0.0270259j -0.00553052+0.0109827j 0.0282541+0.0213999j 0.0111974-0.0337142j -0.0102919+0.00974343j -0.014216-0.00866992j -0.0158011-0.0132746j -0.027946-0.0576261j 0.00342996-0.059849j 0.00935653-0.0463387j -0.0427419-0.0425033j 0.0551846+0.102653j -0.0713671-0.0461791j 0.0112659+0.0449929j 0.05391+0.0791538j -0.0132613-0.153155j -0.0542783+0.011648j -0.0139122-0.00758635j 0.0371082-0.0114788j 0.0154561+0.0306268j -0.0400895+0.000537607j 0.0377071-0.0112467j 0.0439799-0.00596048j 0.0271509+0.0323771j 0.00836165-0.0206504j 0.0417552-0.0140033j -0.0131854+0.0549934j 0.0316307+0.064007j -0.00478193+0.00340947j 0.00912549+0.0268207j -0.00827608+0.0354603j 0.0229972-0.0158253j 0.0291763+0.055917j 0.00729382+0.0220669j -0.0115535-0.0422474j 0.0466821+0.0118464j 0.0381295-0.0565131j 0.0469654-0.107593j -0.0129381-0.0644913j -0.0260426-0.0110581j 0.0238045+0.0193348j 0.0418073-0.0535262j 0.00827957+4.32232e-05j 0.0462666+0.0258042j -0.0225468-0.033284j -0.0384995+0.00610221j 0.0261481+0.0406865j 0.00558157-0.021395j 0.00991378-0.0105969j -0.0169319-0.0427042j 0.0612858-0.00448116j -0.0216914-0.0156431j -0.0397675-0.0697402j -0.0254204-0.00552435j 5.38173e-05-0.00468133j 0.00395001-0.015057j 0.0133504+0.0198627j -0.0310258-0.0132942j 0.00765371-0.0247607j 0.01857+0.0233165j 0.00161255+0.0272858j -0.0197396+0.0171139j -0.000497924-0.029912j 0.00592482-0.00546748j -0.0130232-0.0361506j -0.0160061+0.0093671j 0.00779975-0.0401402j 0.00965295+0.0816623j 0.0182802+0.0590576j -0.00348552+0.0158153j 0.0235891+0.0141245j -0.0254649+0.00310743j 0.0139108-0.00236772j -0.0229801-0.0444806j -0.0156829-0.00219798j -0.0180985+0.0271013j 0.00505651+0.025328j 0.0124787+0.027188j -0.0159839+0.00628314j 0.0208263-0.0487336j 0.013511+0.011667j 0.00790835-0.00813491j 0.011415+0.0397114j 0.0167382+0.00315662j 0.0503564-0.0037731j 0.0191649-0.0405384j 0.00581604-0.0337018j -0.0224949-0.0230923j -0.00210383-0.0205249j 0.0105733+0.0290584j 0.00178143+0.0387648j -0.0202347-0.0123055j 0.0193819+0.0338034j 
