-0.715067-0j 0.70191-0j -0.00147502-0j -0.0837436-0j 0.118317-0j -0.000122148-0j 0.00729508-0j -0.000846266-0j 0.0505418-0j 0.00911537-0j -0.0509611-0j -0.0364084-0j -0.0073556-0j -0.00525509-0j 0.0631532-0j -0.00603005-0j -0.000105121-0j -7.51019e-05-0j 0.0059191-0j 0.00851957-0j -6.25849e-06-0j 0.000493258-0j -0.00653784-0j 0.000709965-0j -0.000502504-0j -8.76006e-06-0j 0.00546389-0j -0.0341111-0j -0.000594653-0j -0.00042484-0j 0.0334835-0j 0.048194-0j -0.0369836-0j -0.00054482-0j 0.000455324-0j 0.0309084-0j 
-0.000502504-0j 0.000493258-0j 0.000149167-0j -0.0168929-0j -0.0119654-0j 0.00234744-0j 0.0702847-0j 1.18625e-06-0j 3.55176e-05-0j 0.0878223-0j -3.58123e-05-0j -2.55855e-05-0j -0.0708677-0j -0.0506303-0j 4.43801e-05-0j -0.00121639-0j 1.06308e-05-0j 7.595e-06-0j 0.00119401-0j -0.000861578-0j 0.00279109-0j 0.438788-0j 0.000661167-0j -0.316622-0j -0.447013-0j 0.00390671-0j -0.000552559-0j 4.78152e-05-0j -4.17885e-07-0j -2.98551e-07-0j -4.69354e-05-0j 3.38677e-05-0j -2.59898e-05-0j 0.242972-0j -0.20306-0j 2.17205e-05-0j 
-0.00516862-0j -0.00522218-0j 0.0354313-0j 0.0286328-0j 0.0206682-0j 0.00593025-0j 0.00518897-0j 0.0413477-0j 0.0361792-0j 0.00214034-0j -0.106964-0j 0.0253202-0j -0.0153412-0j 0.00363152-0j 0.0149232-0j -0.198368-0j 0.733246-0j -0.173572-0j -0.200423-0j -0.143189-0j 0.000457361-0j 0.000528115-0j -0.215072-0j 0.000377304-0j 0.000522698-0j -0.0019321-0j -0.0457497-0j -0.000246561-0j 0.000911385-0j -0.00021574-0j -0.000249116-0j -0.000177977-0j -0.000267323-0j 0.000566714-0j 0.00012055-0j -5.68644e-05-0j 
-0.0109594-0j 0.0037309-0j 0.0751279-0j -0.0204563-0j -0.0147661-0j -0.00423678-0j 0.0110026-0j -0.0295402-0j 0.0767138-0j -0.00152913-0j -0.0253202-0j -0.0169382-0j -0.00363152-0j -0.00242935-0j -0.0106616-0j -0.420616-0j 0.173572-0j 0.116113-0j 0.143189-0j -0.303616-0j -0.000305957-0j -0.000377304-0j 0.153655-0j 0.000800028-0j 0.00110832-0j -0.000457361-0j 0.0326852-0j -0.000522803-0j 0.00021574-0j 0.000144322-0j 0.000177977-0j -0.000377379-0j 0.000190985-0j -0.00040488-0j -8.61253e-05-0j 4.06259e-05-0j 
-0.000432638-0j -0.000444068-0j -0.00876585-0j -0.00741031-0j -0.00489873-0j -0.0702847-0j 0.0622604-0j -3.55176e-05-0j 3.14627e-05-0j 0.124669-0j 3.13357e-05-0j -6.64437e-05-0j 0.0620093-0j -0.131483-0j 6.30001e-05-0j 0.000525028-0j 0.000634905-0j -0.00134624-0j 0.000538899-0j 0.00034708-0j -0.494731-0j 0.19804-0j -0.000578521-0j 0.127548-0j 0.192943-0j 0.233321-0j -0.00130163-0j -2.06383e-05-0j -2.49574e-05-0j 5.29193e-05-0j -2.11835e-05-0j -1.36433e-05-0j 2.2741e-05-0j -0.212601-0j -0.478336-0j 5.11656e-05-0j 
0.00217636-0j 0.0104991-0j 0.043908-0j -0.0120565-0j -0.0101264-0j 0.00734902-0j -0.0104324-0j 0.0512398-0j -0.0727379-0j 0.0127107-0j -0.0149232-0j -0.0106616-0j -0.00214034-0j -0.00152913-0j 0.0886234-0j 0.0835272-0j -0.301074-0j -0.215098-0j 0.402949-0j 0.0701559-0j 0.000566781-0j -0.00106177-0j 0.090561-0j -0.000184861-0j -0.000220094-0j 0.000793329-0j -0.360076-0j 0.00010382-0j -0.000374219-0j -0.000267355-0j 0.000500844-0j 8.72001e-05-0j 0.000112562-0j -0.000238628-0j 0.000948798-0j -0.000447555-0j 
-0.0341111-0j 0.0334835-0j -7.03632e-05-0j 0.00796852-0j 0.00564414-0j 1.16228e-05-0j 0.000348-0j 8.05254e-05-0j 0.00241102-0j 0.000434834-0j -0.00243102-0j -0.0017368-0j -0.000350887-0j -0.000250686-0j 0.00301262-0j 0.000573782-0j -5.01462e-06-0j -3.58261e-06-0j -0.000563225-0j 0.000406413-0j -2.98551e-07-0j -4.69354e-05-0j -0.000311877-0j 3.38677e-05-0j 4.78152e-05-0j -4.17885e-07-0j 0.000260646-0j -0.473043-0j 0.0041342-0j 0.00295362-0j 0.464339-0j -0.335059-0j 0.257121-0j -2.59898e-05-0j 2.17205e-05-0j -0.214884-0j 
-0.0293684-0j -0.0301443-0j 0.00413491-0j 0.0034955-0j 0.00231076-0j -0.000348-0j 0.00030827-0j -0.00241102-0j 0.00213576-0j 0.000617273-0j 0.00212714-0j -0.00451035-0j 0.000307026-0j -0.000651013-0j 0.00427659-0j -0.00024766-0j -0.000299489-0j 0.000635032-0j -0.000254202-0j -0.00016372-0j 5.29193e-05-0j -2.11835e-05-0j 0.000272892-0j -1.36433e-05-0j -2.06383e-05-0j -2.49574e-05-0j 0.000613988-0j 0.204178-0j 0.246908-0j -0.52354-0j 0.209572-0j 0.134976-0j -0.224981-0j 2.2741e-05-0j 5.11656e-05-0j -0.50619-0j 
0.000430718-0j 0.000435181-0j -0.00898266-0j -0.00725908-0j -0.00523988-0j 0.0708677-0j 0.0620093-0j 3.58123e-05-0j 3.13357e-05-0j 0.0255775-0j -9.26441e-05-0j 2.19304e-05-0j -0.18333-0j 0.0433974-0j 1.29253e-05-0j -0.000522698-0j 0.0019321-0j -0.000457361-0j -0.000528115-0j -0.000377304-0j -0.168076-0j -0.194077-0j -0.000566714-0j -0.138655-0j -0.192086-0j 0.710028-0j -0.00012055-0j 2.05467e-05-0j -7.59488e-05-0j 1.79784e-05-0j 2.07596e-05-0j 1.48314e-05-0j 2.22769e-05-0j -0.208262-0j -0.0443011-0j 4.7387e-06-0j 
0.0292381-0j 0.0295411-0j 0.00423718-0j 0.00342416-0j 0.00247169-0j 0.000350887-0j 0.000307026-0j 0.00243102-0j 0.00212714-0j 0.000126642-0j -0.00628889-0j 0.00148869-0j -0.000907723-0j 0.000214874-0j 0.0008774-0j 0.000246561-0j -0.000911385-0j 0.00021574-0j 0.000249116-0j 0.000177977-0j 1.79784e-05-0j 2.07596e-05-0j 0.000267323-0j 1.48314e-05-0j 2.05467e-05-0j -7.59488e-05-0j 5.68644e-05-0j -0.203272-0j 0.751374-0j -0.177863-0j -0.205378-0j -0.146729-0j -0.220389-0j 2.22769e-05-0j 4.7387e-06-0j -0.0468808-0j 
0.061996-0j -0.0211052-0j 0.00898445-0j -0.00244634-0j -0.00176586-0j -0.000250686-0j 0.000651013-0j -0.0017368-0j 0.00451035-0j -9.04773e-05-0j -0.00148869-0j -0.000995873-0j -0.000214874-0j -0.000143742-0j -0.000626845-0j 0.000522803-0j -0.00021574-0j -0.000144322-0j -0.000177977-0j 0.000377379-0j -1.20268e-05-0j -1.48314e-05-0j -0.000190985-0j 3.14482e-05-0j 4.35669e-05-0j -1.79784e-05-0j -4.06259e-05-0j -0.431014-0j 0.177863-0j 0.118983-0j 0.146729-0j -0.311123-0j 0.157454-0j -1.59154e-05-0j -3.38549e-06-0j 0.0334932-0j 
0.000913287-0j -0.000310909-0j -0.0190467-0j 0.00518614-0j 0.00374355-0j -0.0506303-0j 0.131483-0j -2.55855e-05-0j 6.64437e-05-0j -0.0182735-0j -2.19304e-05-0j -1.46706e-05-0j -0.0433974-0j -0.0290312-0j -9.2343e-06-0j -0.00110832-0j 0.000457361-0j 0.000305957-0j 0.000377304-0j -0.000800028-0j 0.112436-0j 0.138655-0j 0.00040488-0j -0.294002-0j -0.407297-0j 0.168076-0j 8.61253e-05-0j 4.35669e-05-0j -1.79784e-05-0j -1.20268e-05-0j -1.48314e-05-0j 3.14482e-05-0j -1.59154e-05-0j 0.14879-0j 0.0316502-0j -3.38549e-06-0j 
-0.000181363-0j -0.000874928-0j -0.0111317-0j 0.0030566-0j 0.00256729-0j 0.0878223-0j -0.124669-0j 4.43801e-05-0j -6.30001e-05-0j 0.151896-0j -1.29253e-05-0j -9.2343e-06-0j -0.0255775-0j -0.0182735-0j 7.67589e-05-0j 0.000220094-0j -0.000793329-0j -0.000566781-0j 0.00106177-0j 0.000184861-0j -0.208287-0j 0.39019-0j 0.000238628-0j 0.0679344-0j 0.0808823-0j -0.29154-0j -0.000948798-0j -8.65165e-06-0j 3.11849e-05-0j 2.22796e-05-0j -4.1737e-05-0j -7.26667e-06-0j -9.3802e-06-0j 0.0876933-0j -0.348674-0j 3.72962e-05-0j 
-0.0123114-0j -0.0593921-0j 0.0052509-0j -0.00144182-0j -0.00121101-0j 0.000434834-0j -0.000617273-0j 0.00301262-0j -0.00427659-0j 0.000752081-0j -0.0008774-0j -0.000626845-0j -0.000126642-0j -9.04773e-05-0j 0.00521057-0j -0.00010382-0j 0.000374219-0j 0.000267355-0j -0.000500844-0j -8.72001e-05-0j 2.22796e-05-0j -4.1737e-05-0j -0.000112562-0j -7.26667e-06-0j -8.65165e-06-0j 3.11849e-05-0j 0.000447555-0j 0.0855922-0j -0.308517-0j -0.220415-0j 0.412911-0j 0.0718904-0j 0.0927999-0j -9.3802e-06-0j 3.72962e-05-0j -0.368978-0j 
