-0.168255-0.0599698j 0.0143167-0.0176221j -0.0313432+0.0212805j 0.00440528-0.00415728j -0.0130647+0.00690618j 0.0118981-0.00633623j -0.00755912+0.00359382j 0.0330326-0.00525316j 0.0201697+0.00316555j 0.00180872-0.00067587j -0.00815953+0.00342047j 0.00324664-0.000497996j -0.00349121+0.000121029j 0.00550208-0.00211915j -0.0137286+0.00240252j -0.0109849+0.00127563j -0.00155151-0.00144898j 0.00076728-5.96644e-05j -0.0125782+0.0033196j 0.00290271+0.000889851j -0.0311799-0.0146284j 0.00264174-0.00345175j 0.0177076+0.0173598j 0.00182164+0.00481653j 
0.0937707+0.00825522j 0.00783521+0.00161204j -0.0029037-0.000309455j 0.00184837-0.00566885j -0.00895675+0.00733862j -0.00297427-0.00740269j -0.00244692+0.00831381j -0.00535228-0.00613096j -0.00211008-0.00580014j -0.00166049-0.00189999j -0.00281344+0.00961364j -0.00962371+0.00341778j 0.00160033+0.00149281j 0.0136968-0.0055802j 0.0234375+0.0173611j 0.00367951-0.0208928j 0.00962167+0.000555664j 0.00406059-0.0262988j 0.0207557-0.00820847j -0.00624614-0.000802605j -0.00963674-0.00574572j -0.0092796-0.00282649j 0.00117766+0.00674925j -0.000971654+0.00222877j 
0.176542+0.108401j 0.0189106+0.0156912j 0.0163161-0.00139473j -0.00131414-0.0027877j 0.00205004+0.00764579j -0.00212402+0.00657297j 0.0170471-0.00297018j 0.0358867-0.00163334j 0.0225467+0.00685238j 8.82603e-05-0.000888794j -0.000684107+0.00040924j -0.00229736-0.00615674j -0.00226153+0.00472847j -0.00181119+0.00509999j -0.00249792+0.020306j -0.00591514-0.00838206j -0.0099078+0.00737208j 0.000922232-0.016058j -0.0108697-0.00897846j 0.00583678-0.0010524j 0.0149516+0.0197638j 0.0032272+0.00689886j -0.0052223-0.0160145j -0.000859504-0.00482136j 
0.000195344-0.198327j -0.0121971-0.00362156j -0.0153124+0.010833j 0.00753994+0.0121239j -0.00209509-0.035991j -0.00358055-0.0162895j 0.00140062+0.0116834j 0.00852399-0.0031044j 0.00463154-0.000445248j -0.0012521-0.00508582j -0.0043215+0.00977729j -0.00145667+0.00291192j -0.00747446+0.008922j 0.00370358-0.00326642j -0.00364428+0.00193361j 0.00625443-0.00602636j -0.0174458+0.0106164j 0.008806-0.00470798j 0.00232457-0.00432066j 0.00844682-0.00186833j 0.0131976+0.00356251j 0.000761001+0.00185439j -0.00787833-0.00522062j -0.00153784-0.00209475j 
0.107281-0.140981j 0.0100348-0.0272566j 0.00202577+0.0146124j -0.00656109+0.000344599j 0.00812184+0.00909586j -0.0193651+0.0122976j 0.0307768-0.00412419j 0.0107143+0.00238908j 0.0043267+0.00584925j -6.37808e-05+0.000241782j 0.00177004+0.00441685j 0.00341215+0.0062606j 0.00703942-0.0042744j 0.00281775-0.0116273j 0.000229219-0.0171288j 1.95596e-05-0.00227266j 0.0202419-0.00848569j -0.00303161+0.00415351j -0.000248166-0.00829154j -0.0101347+0.00168298j 0.00236775-0.00231121j 0.000306808+0.0026663j -0.00361139+0.0028693j -0.00100567-7.93042e-05j 
0.0612332-0.185977j 0.0215319+0.00159584j 0.0503391+0.0340996j -0.00314284+0.00286397j 0.00978875-0.00266469j 0.00507602-0.00112286j -0.00341349+0.00337984j -0.0026901+0.00909763j -0.000889283+0.00650285j 0.00297448-0.00249955j -0.00934102+0.00228078j 0.000450518-0.00356962j 0.00519507+0.00015236j 0.00904528+0.00265999j -0.0109524+0.00849874j 0.00281959+0.00434183j 0.01646+0.00670824j 0.00891941+0.00415825j -0.00394372+0.011539j -0.00522213-0.00644987j -0.00994939-0.0111401j 0.00248965-0.00490663j 0.005625+0.00682437j 0.000501613+0.00102908j 
0.0281537-0.140896j -0.00935053+0.0179866j 0.0398111+0.0205016j -0.000382518+0.00358002j 0.0130378-0.00774241j 0.0167663-0.00527795j -0.0155808+0.00220525j 0.00470898+0.00636765j 0.00488683+0.00510443j -0.00309107-0.00318813j 0.00797448+0.0124548j 0.00182105+0.00641963j 0.000908013+0.00615347j -0.00317404-0.0151229j 0.0120549-0.00591139j -0.0176302+0.000212451j -0.0033491+0.00327123j -0.0180659-0.0058025j -0.0108773-0.00308064j 0.00333377-0.000645765j -0.00562569-0.000935324j 0.000559468+0.0022103j 0.00511995+0.00175738j 0.000335856+0.000405994j 
0.204525-0.103325j -0.0203083-0.027426j 0.00457747-0.000858377j 3.59935e-05+0.000999553j 0.00526987+0.00612929j 0.00930344+0.0139522j -0.00650178-0.0202804j -0.00627172-0.00698001j -0.000172229-0.00450233j 0.00326752-0.00441347j -0.0154705+0.0101325j -0.00686292+0.00281441j -0.0145199-0.00554519j 0.0171917-0.00739468j 0.0114938-0.000364233j 0.00068489+0.0107123j -0.0143118-0.0213464j -0.0032428+0.00752986j -0.000820606+0.0165151j 0.00363883+0.00952097j -0.00213613-0.00297909j 0.00176706-0.00596209j 0.00233297+0.00135919j 0.000106551+0.000206491j 
-0.305186+0.0585428j 0.00501681+0.0231218j 0.0127707-0.00274525j -0.000907956-0.00429465j -0.00158537+0.00924555j 0.0101233+0.0123592j -0.000991032-0.0158425j 0.0175568-0.00441012j 0.0121763+0.00118363j -0.00284509+0.000852915j 0.00759679+0.000730737j -0.00453-0.000832078j -0.00223062-0.00580087j -0.00549002-0.00389131j 0.01156+0.00739635j 0.00183749-0.000562677j -0.0048532-0.0176482j -0.00260289-0.00373032j 0.0050024+0.00843749j -0.0012784+0.00762447j 0.00847285-0.0073931j 0.00150218-0.00406637j -0.0102493+0.00254526j -0.0036504-0.000852997j 
0.050245-0.0741818j 0.00921295-0.00353203j 0.0274737-0.0404332j -0.00240053+0.00108779j 0.0107457-0.0119086j -0.00744334-0.0275239j 0.00739603+0.020507j 0.0124429-0.0302593j 0.0140342-0.0195675j -0.000679558-0.000592439j 0.0034484+0.00705912j 0.00861939+0.00584248j -0.00044885-0.00116403j -0.00534825-0.0151992j -0.0189369-0.0118206j 0.0010761-0.0119322j 0.000602248-0.0109157j 0.00955796-0.00435912j -0.00682716-0.0130126j -0.00159157+0.0061291j 0.00966702-0.0131184j 0.00278928+0.00328024j -0.00819543+0.0114699j -0.00421498+0.00365726j 
-0.114463-0.337725j -0.0407943+0.0372301j 0.0118076-0.0222537j 0.000573307-0.0182345j -0.00914659+0.0276947j -0.00507673-0.00170169j 0.000559269+0.00892451j -0.00431849-0.00113242j -0.00136832-0.00574575j 0.00203952+0.00301128j -0.00127051-0.00617297j 0.000582536-0.00701658j -0.000138231-0.000766071j -0.000329253+0.005619j -0.00367531+0.00886751j -0.00361106+0.00284585j -0.000615837+0.000871422j -0.000637014-0.00156837j -0.00582959+0.00311347j 0.00134135-0.000644648j -0.00574469+0.00354496j 0.000513983+0.00166431j 0.00652457-0.00209451j 0.00147764+0.0011009j 
-0.168375+0.0596721j 0.030222+0.0247445j -0.0179932-0.0146939j -0.0205562+0.00328517j 0.0370135+0.00232089j -0.00900168-0.00235313j 0.0136263+0.00547607j -0.0102505-0.00446475j -0.00951454-0.00599958j 0.00736846-0.00785619j -0.0217951+0.0168131j -0.00110949+0.00417764j -0.00693738+0.00471638j 0.0190464-0.0135381j -0.0124416-0.00248671j -0.0025288-0.00121311j -0.00132633+0.00157098j 0.00618463-0.000847143j -0.0127184-0.000473954j 0.00254071-0.000811146j -0.00556492-0.0019873j 0.00528747+0.00116592j 0.00746082+0.00238362j 0.00299233+0.0020356j 
