-0.0197075-0.0487804j 0.000970524+0.00209467j -0.00444805-0.0264875j 0.00161284+0.0480371j -0.00502164-0.0238518j 7.15082e-05-0.0201753j 0.00897328-0.0540976j 0.00118527-0.0372491j -0.000164218-0.0144491j 0.0265076-0.0255168j 0.0272462+0.022276j 0.00903119+0.0353209j -0.0137268-0.0365689j 0.00890368-0.0166188j 0.000413118-0.0198713j -0.0382611+0.0187196j 0.00113699+0.00936445j -0.0254726+0.0133891j 0.00843314+0.0397503j -0.00520173-0.00103803j 0.00617118+0.0130526j 0.00215492-0.0248j -0.00958496-0.0254615j -0.0121722+0.00238463j -0.007722+0.0358828j 0.0200179-0.00817191j 0.0102091+0.0233172j -0.0111003+0.019418j -0.0375066+0.0140355j 0.0153053-0.00711796j 0.0138846+0.00175889j 0.0055532+0.0140733j -0.020674+0.0308682j 0.0142703+0.0220347j -0.0153595+0.00509689j -0.0195893-0.00822764j 0.0223997+0.0233401j -0.0254795+0.0250137j -0.00647541-0.0194242j 0.01073+0.0384889j 0.0217719+0.0174031j 0.0172292-0.00192782j -0.00808425-0.00170433j -0.0083366-0.00498686j 0.0115706-0.0215858j 0.0242472-0.0321706j -0.0241424+0.0149221j 0.0166273+0.0359142j 0.00262098+0.0191416j -0.000573619-0.0592013j -0.018241+0.025214j 0.0244505-0.0180856j 0.0175132+0.00783137j 0.0278735-0.036949j 0.0446274-0.0542917j 0.0286136-0.0279083j -0.0204154+0.0397309j 0.0519932-0.0905157j 0.146764-0.113148j 0.0544537-0.164287j -0.1204+0.0541755j -0.135956+0.129914j -0.105359+0.124757j 0.0228873+0.0115672j 0.0302394-0.0105375j -0.0335127+0.0480118j 0.0382289-0.0691401j 0.00686043+0.00359418j 0.0461655-0.0813958j 0.0378905-0.0275946j -0.122137+0.217802j 0.142197-0.0696243j 
0.00223984-0.0602067j -0.0062801+0.00712154j 0.00804042-0.013948j -0.0133299+0.0161408j 0.0071904-0.016676j 0.015825-0.00947231j 0.0124012-0.0151092j -0.00786531+0.0114194j 0.00448472-0.0753557j 0.00767027-0.00640388j -0.0178661+0.0519362j -0.0353025+0.0505414j 0.000790823-0.0141602j 0.0438715-0.0017405j 0.0102188-0.060948j -0.00682914+0.00405994j 0.00398542-0.0032809j -0.0149172-0.0162444j 0.00684404-0.0123562j -0.0158442-0.00375205j -0.0228243-0.00731339j 0.00892768+0.0381024j -0.0171863-0.00305331j 0.0285411-0.0176236j -0.00525007-0.0192606j 0.0181749+0.00307655j -0.0250997-0.0104921j -0.0128444-0.018944j 0.0195547-0.0144392j 0.00502512+0.0400914j -0.0310181+0.0313177j 0.00082111-0.0138833j -0.0143358+0.00375909j 0.0055676+0.0248016j 0.0541109-0.0587757j 0.0276459-0.0379658j -0.0237558+0.01041j -0.00475386+0.00466906j -0.0309858-0.00966798j -0.064168+0.0546443j 0.0385749+0.0946607j 0.00120352+0.0278779j -0.0275633-0.0569195j -0.0302876+0.00467936j -0.0836527+0.0300834j -0.000891685-0.0982037j 0.00282931-0.00639365j -0.0733581+0.0404362j 0.0431178-0.0889589j 0.00410689-0.0312174j -0.00654284+0.0748736j 0.0235355-0.00985575j -0.0118014-0.00787751j 0.0227256-0.0879892j -0.00765098-0.00373294j -0.0468551-0.00750319j -0.00568532-0.0126022j 0.0258781-0.0567567j 0.00710978+0.01905j 0.129793-0.0823146j -0.0423855-0.0246599j -0.00888505+0.0445829j -0.022961-0.058377j -0.0431897+0.0234886j -0.037951+0.0466918j 0.0263594-0.0288945j -0.0339884-0.0582498j 0.0048795-0.000387247j 0.0167315-0.0335276j 0.00663159-0.0766039j -0.0293126+0.0627682j -0.0118738+0.0351627j 
0.00529528+0.0318415j 0.00729584+0.0381039j -0.00575184-0.0355217j -0.0028754-0.00337345j -0.00467064-0.0251886j 0.00232326+0.0379216j 0.00524669-0.0353719j -0.00784394+0.0454604j -0.00380381+0.0144867j -0.0097898-0.068253j -0.0109391-0.0453035j 0.0225094-0.00581573j 0.000945294+0.0209437j -0.0109072-0.00465794j 0.000340759+0.0653603j 0.00375173-0.0309631j 0.0086555-0.0568316j 0.0134624-0.0275041j -0.0448863+0.0253738j 0.0383456+0.0147776j -0.00502418+0.0308251j 0.0145378-0.00924138j 0.0041363-0.0454629j 0.011607-0.00468648j 0.00481416-0.00113146j -0.0268612-0.0368283j 0.0106839-0.0252442j -0.0488601+0.0102761j 0.00478537-0.00977089j 0.042151+0.0102869j 0.0664048+0.037114j 0.030494+0.00729166j 0.0526343-0.0187374j 0.00143954+0.0036549j 0.00603599+0.00473884j 0.0282642+0.0208619j 0.00213824-0.0286136j 0.00785068+0.0170324j -0.0256172+0.0333977j 0.0339478+0.00969349j -0.0578537-0.0585862j -0.0547041-0.0258191j 0.0270652+0.0320678j 0.0412801+0.0359141j 0.0844814-0.039251j -0.0860603+0.113269j -0.0128033-0.0684281j 0.0465693+0.0463387j -0.1103+0.044076j 0.0408859-0.0556602j -0.000417552-0.0113689j 0.0639503-0.0528495j 0.0237702-0.0292276j -0.083885+0.0886334j 0.0953748-0.0206106j 0.046598+0.0694386j 0.0372455+0.00524419j 0.00512598-0.0199827j -0.0338147+0.0346242j -0.0512565-0.0337035j 0.0149043-0.0625057j 0.0356683-0.0623023j 0.0638614+0.0398723j 0.00510469-0.0361892j 0.0246193+0.0629543j -0.0655747+0.0487529j -0.0146875+0.0551485j -0.0214193+0.0319796j 0.0157589-0.0493282j 0.0179792-0.0110771j 0.00968346-0.0138654j -0.00556495+0.0362098j 
-0.000123868+0.0237012j 0.00194673-0.0441339j -0.0153983-0.00106187j 0.0185083-0.0255398j 0.00768307+0.0176004j 0.0318351-0.0224442j 0.0176555+0.0294291j 0.00117404+0.00774136j -0.00853326+0.000825015j 0.00489383+0.063816j 0.0150386-0.0170062j 0.0309545-0.0449795j -0.0226784-0.0265664j 0.00856252-0.0223186j -0.0114813-0.00749429j -0.0269643-0.00745849j 0.0431473+0.00235084j 0.0112467+0.0086969j 0.0314633-0.0401923j 0.0805079+0.00218459j 0.0209379+0.0141452j 0.0165463+0.00729421j -0.0378722+0.0156571j -0.00356693+0.00151421j 0.00364163+0.0385029j -0.0201954+0.0276171j -0.00464709-0.035205j 0.0466862+0.00173162j -0.00530639+0.0111581j 0.0201151+0.0161198j 0.0236337-0.0102304j 0.0273679+0.017734j -0.00840791+0.0382393j -0.0149145-0.0230735j -0.0421484-0.0252683j -0.054187+0.0660504j -0.0772303-0.0703702j -0.0998161-0.0274753j -0.00647914+0.0780971j 0.0755377+0.00507928j 0.0472134-0.0311017j 0.0402715-0.0172505j -0.0760571-0.0624783j 0.0426984-0.0280042j -0.0226008+0.156116j 0.00957195-0.0484433j -0.0218168-0.025858j -0.000967917+0.0796276j -0.0759237-0.0760901j -0.0653477+0.055798j 0.0315218+0.0813213j 0.0364399-0.068418j -0.088544+0.0178291j 0.00719732-0.084396j -0.00838065-0.0301377j 0.024742+0.0508979j -0.0198275-0.0402216j -0.0110901+0.0510908j 0.0499197-0.0913188j 0.0811026+0.0644931j -0.0526139+0.123435j -0.0840561+0.0466717j -0.0974263-0.0225285j -0.0862421-0.0111529j 0.0487778+0.050504j -0.0705111-0.0570266j -0.0289224-0.0068494j 0.0260373+0.0402249j 0.00450755+0.0103722j -0.0312127-0.0684729j -0.0807345-0.0321583j 0.0285417-0.0985076j 
0.00268088+0.0258868j 0.000749504+0.0265419j 0.00541515+0.018823j 0.0276454-0.0269926j 0.0527311-0.00427123j -0.00836225+0.0159331j -0.0580768+0.0324387j 0.0397446+0.0410847j -0.00318586-0.0234048j 0.0284345-0.0339152j -0.0234838-0.0138845j 0.0139984+0.0197446j -0.0401925+0.0221646j -0.00107084-0.0507014j -0.0367229-0.0198114j 0.023621+0.00857905j 0.0285702-0.00207696j 0.0614818+0.0261026j 0.0750524-0.058064j -0.0353049+0.0148351j 0.0674504-0.0216414j 0.0151407+0.0254123j 0.0195069+0.0379538j -0.0173404+0.0233439j -0.00208796+0.0269956j -0.00883391-0.0184093j -0.0660005-0.0420234j 0.0740044+0.00377586j -0.0822051-0.00572767j -0.0310325-0.0304353j -0.0303866-0.0510447j 0.0263078+0.0521842j 0.0649159-0.0381249j 0.0220557-0.014275j -0.0173612-0.048225j -0.0587762-0.00400422j -0.0702344+0.0888227j -0.0495743+0.0132793j 0.0298057+0.1273j 0.141376-0.00901158j 0.0387546-0.0395573j 0.0898721+0.0529741j -0.0470479+0.00338513j -0.0414042-0.110612j 0.009385+0.133527j 0.111417-0.00359025j -0.0136306-0.0223018j -0.0792999-0.0531235j 0.032062-0.019645j -0.0486297+0.0941506j 0.0345131+0.0671657j -0.102403-0.0515179j 0.028971-0.0455216j 0.069592+0.0516897j 0.048333+0.0379413j -0.0159655+0.0477739j -0.0275719-0.0117667j 0.0297793-0.025236j 0.084409-0.0596051j 0.0655171+0.114588j -0.0303091+0.134243j -0.155781+0.0594997j -0.158398-0.0815629j -0.0175126+0.011068j 0.016725+0.0309677j -0.0110837-0.0117283j 0.0974056+0.0173406j -0.00576786-0.000164069j 0.0428267-0.0258215j -0.0631015-0.0147435j -0.0715569-0.073726j 0.0895054-0.0517215j 
-0.00268848-0.0368395j -0.00970379-0.0188139j -0.0272693-0.0159866j 0.0101562+0.00693193j 0.0155865-0.0187511j -0.0215679-0.0111084j -0.0110715+0.00242402j 0.0602301-0.00872957j -0.00185123-0.0154161j 0.00227715-0.0119459j 0.0052471+0.0220954j 0.0217464+0.0145265j 0.0246053-0.0769314j -0.0360164+0.0182476j 0.00323628+0.00295499j -0.015226-0.0231196j -0.00740564+0.0195409j 0.00921496-0.0319178j 0.017073+0.00270056j -0.0238409+0.00259748j 0.0628275-0.0374924j -0.0140525+0.0101431j 0.0433706+0.00214128j -0.0225647-0.0299175j 0.000332986-0.0520226j -0.0906458-0.00598047j -0.00714107-0.00462962j 0.0215528-0.0372055j 0.00679415-0.0411892j 0.0197962+0.0617364j 0.120729+0.00794317j -0.0627817-0.00164517j 0.02804+0.0237518j 0.0614159-0.00467859j 0.00990551-0.0425884j -0.0238314-0.112997j -0.0418137-0.0692162j 0.00188551+0.0464013j -0.00672457+0.0804997j 0.0869034+0.0888588j -0.0513319+0.0291155j -0.0365267+0.0139127j 0.076524+0.000205553j 0.0516227+0.00891742j -0.0882147-0.0599016j 0.0519172+0.111466j -0.0677322+0.037002j -0.0121307-0.107376j 0.026237-0.0116008j -0.0677136-0.139379j -0.0297066+0.0442457j -0.141172-0.0857024j 0.0809856-0.078164j -0.0051063+0.0906282j -0.032459+0.0164778j -0.0349715-0.00942518j -0.0694996+0.0595238j 0.0141573-0.180378j 0.0325642-0.0650714j -0.00206832-0.129612j 0.155124+0.00680261j 0.055672+0.0270968j -0.0195194-0.0195366j -0.121178-0.0446616j 0.0462397+0.0097681j 0.0283076+0.0294299j 0.0156134-0.0058401j 0.0275821-0.0437868j 0.00758299-0.0939251j -0.104896-0.0685002j -0.0161849+0.0544538j -0.0514839+0.00594828j 
-0.010049-0.0246443j 0.000823414-0.0204553j 0.00709444+0.0121741j 0.00760117-0.0319132j 0.0462703-0.0626498j -0.0211985-0.0465296j 0.0140808-0.0427265j 0.0627121-0.0358776j -0.0283567+0.0400035j -0.0283244+0.0295255j 0.0316732+0.0165457j 0.00933094+0.0483772j -0.0285936-0.0102337j -0.00105588+0.0366731j -0.0534739+0.0543602j 0.0470131+0.00601638j 0.0440967-0.0557586j 0.0292878-0.0210157j 0.0174525+0.0069019j -0.0133707-0.0540318j 0.0409516-0.00011288j 0.0321854+0.0716867j 0.0685409+0.0114587j 0.00445174+0.0433858j -0.0381451+0.0632956j 0.0066472-0.00849222j -0.0750935+0.102505j -0.00205048-0.00582557j 0.0342566-0.0690648j -0.0247555-0.0254433j 0.0367734-0.128172j 0.0267813+0.0140358j -0.0339773+0.0881414j 0.0622535-0.0106426j -0.00117702+0.0318808j -0.0718889-0.0408093j 0.086058+0.0106779j 0.0268219-0.0556054j 0.0409531-0.0367144j 0.0869707-0.0651655j -0.0346849-0.00336677j 0.0374362+0.0224125j 0.0770456-0.0263764j -0.0751192+0.031503j 0.0322333-0.0974728j 0.0207915+0.0441001j 0.0188967+0.131621j -0.226616-0.0476287j -0.0350067+0.0950165j 0.00123672-0.0620415j 0.0975376-0.0693769j -0.0223906+0.0378704j -0.116592-0.00696126j 0.0724282+0.0176148j 0.114914-0.0133291j 0.00548953-0.0442127j 0.0335816+0.0497434j -0.142008-0.0221874j -0.0433032-0.0758277j 0.040885-0.0459406j 0.140781-0.0260572j 0.0716866-0.0286369j -0.0754366+0.0746479j -0.0666713+0.0234902j 0.0143665-0.104169j 0.041834+0.029333j 0.00225724-0.0158189j -0.0781477+0.0461424j -0.0369733-0.0271603j -0.0715916+0.0548573j -0.0114689+0.0613645j -0.0432699-0.0063381j 
-0.0050403-0.0356018j 0.000103499+0.0156997j -0.0424526+0.0376834j 0.0309577+0.0057471j -0.00160166+0.0340672j 0.00231978+0.0278276j -0.015161+0.0175016j 0.0238109-0.00720585j 0.00697711-0.0523042j 0.00626975+0.0610522j 0.0143823+0.0518991j -0.0152473+0.0286577j -0.0295426+0.0361033j -0.0791738+0.0150346j 0.0294488-0.0251333j -0.056796+0.0164876j -0.0122905+0.0122424j 0.0317997+0.00864019j -0.0256779+0.00611781j -0.0186057-0.0127407j 0.0786878-0.0919964j -0.0720752+0.00888281j -0.0176866+0.0263047j -0.000274846-0.0104429j 0.0122924-0.0612298j 0.00511672-0.0081041j -0.0429307+0.00702183j 0.0488786-0.0591081j -0.0829001+0.000246839j -0.03053+0.0477141j 0.018041+0.0552893j 0.0107769-0.0346453j -0.0479032-0.00561312j 0.0031771+0.00886137j -0.0273179+0.0503104j -0.00411278+0.0604829j 0.0947465+0.127404j 0.0908046+0.0298526j -0.00189692-0.000701176j 0.0206457+0.0191337j 0.0338631-0.0530993j -0.102891+0.0177938j -0.0251022+0.147466j -0.045494-0.021905j 0.196459+0.06403j 0.00844514-0.0202565j -0.140346+0.0109359j 0.0731877-0.0256643j 0.0272578-0.0493024j 0.105234+0.0715398j 0.025651-0.0119822j 0.067499+0.050569j -0.0163334+0.0585976j 0.0325762-0.00915725j 0.054152+0.133127j 0.0575763+0.0535062j 0.0744683-0.0375372j 0.00171381+0.0402949j -0.0243896+0.176086j -0.132384+0.0236665j -0.1184-0.0140861j 0.0061095-0.017568j 0.0740503-0.0726529j 0.0716772+0.0615641j 0.110094-0.0191428j 0.00628658-0.0213532j 0.0623445+0.0610344j -0.0850403-0.0403733j -0.0208187+0.0570801j 0.0154938-0.0230371j 0.0754834-0.0558515j 0.0620848+0.0675571j 
-0.0147054+0.0310791j 0.0235469+0.0168412j 0.0127581+0.0263711j 0.0283268-0.0658862j 0.0194716-0.0417568j -0.039924+0.00709505j 0.00999318+0.00922274j 0.000312546+0.0154441j -0.0208798+0.0153541j -0.0455847-0.00140542j 0.0232427-0.0206931j 0.0167816-0.0128299j 0.0096315+0.0191731j 0.0119302-0.00231529j -0.0325413+0.0662281j -0.0706713+0.00126049j 0.046833-0.0877655j -0.00979066-0.0180231j -0.0269665-0.0644005j -0.0361055-0.0142326j 0.00738775-0.0150639j -0.0284714+0.0331628j -0.0220702-0.00295302j -0.0713072+0.0417338j 0.0198762+0.0454225j 0.0153856-0.00411776j -0.0142514+0.0100972j -0.0681501-0.0435987j 0.00431776-0.0253452j 0.033196+0.0145629j 0.00539462-0.0523415j -0.00187392+0.0145159j 0.0144954-0.0204213j -0.0194247+0.0054174j -0.101404+0.00230944j -0.0715315+0.064088j 0.0218841+0.0231377j -0.0230719-0.0244957j 0.0106204+0.0459348j -0.0102258-0.146923j 0.0714711-0.0369825j 0.0185761-0.0503948j -0.0461656-0.0408958j -0.0802365-0.0577561j 0.0575196+0.0344206j 0.0317505-0.0287616j -0.0224839-0.0221175j 0.00574178-0.000205644j 0.00294072+0.00597693j 0.00393663+0.0539019j 0.0323616+0.023285j -0.00848357+0.0032865j 0.0362884+0.000877189j -0.000831932+0.0321954j 0.0444601+0.0175821j -0.00428742+0.02009j 0.011855+0.017128j -0.00783624+0.012694j 0.0427098-0.0444948j 0.00652801+0.14003j -0.108308+0.0420501j -0.0569589+0.0452814j -0.0703533-0.0210646j 0.0384294-0.0265359j 0.0531861+0.0243735j 0.0227448-0.0241046j 0.0286283+0.00719944j -0.0246169+0.00448357j 0.000187069-0.0197741j -0.0139309+0.02353j -0.0129502-0.0636218j 0.0543448-0.0445827j 
-0.0153852-0.0175618j 0.0034992+0.0345987j 0.00581318+0.0194617j 0.00126831+0.0283208j 0.0182682-0.0240339j -0.0026984+0.03741j -0.00719708-0.00191813j 0.0242037-0.0259307j 0.0004651+0.0340567j -0.0127706-0.0102287j -0.0170841+0.0307552j -0.00268028+0.0590031j -0.0322512+0.052988j 0.0768351-0.0240238j 0.00161731-0.0436661j 0.0110446-0.00543346j 0.0347477-0.022724j -0.0215523-0.00493836j 0.0476469+0.0208138j -0.00833314+0.00873011j -0.0227803-0.0288279j 0.0657486-0.0336755j -0.0144003-0.0315839j 0.0271662-0.0382222j -0.00388161+0.0132195j 0.0245658-0.0491604j -0.0654801+0.0581022j -0.0259212-0.0265064j 0.100783+0.000181873j -0.0322525+0.026042j -0.00341204+0.0259507j 0.0116088+0.00979778j 0.0675753-0.0973041j -0.028486+0.0569889j -0.035639-0.00434174j -0.00852611+0.131368j 0.141495+0.0549868j 0.0384141-0.0799966j -0.0135851+0.0178246j -0.0243329-0.0694952j -0.0170718-0.0414117j 0.100255-0.00621854j 0.00308779-0.0327306j -0.0885649-0.073843j 0.116176-0.0664405j 7.94791e-05-0.0741299j 0.0146793-0.057194j 0.0431776+0.00737895j -0.0190468+0.0261302j 0.0329197-0.00574047j 0.0591509+0.0258186j 0.0484904+0.0443819j -0.0176714-0.00494138j 0.0451329-0.00309146j 0.048247-0.0176375j 0.0193222+0.0286636j 0.0192309-0.0149696j -0.0776317+0.07327j 0.0146893+0.119631j -0.0477943+0.139435j -0.0437239-0.0690133j 0.0231093-0.0543197j -0.0272723-0.0513452j 0.0812712-0.0267035j 0.0418762+0.00275352j -0.00148072-0.0150528j 0.00839068-0.0356292j -0.00672688-0.00823508j -0.0276871-0.0311034j -0.0331213+0.0339767j 0.0158771-0.0766856j 0.0496735+0.0557489j 
0.000621251+0.00884531j 0.00699424-0.00738786j 0.0128165-0.0199611j -0.009453+0.0372619j -0.00146999+0.0112138j 0.033677+0.0120504j 0.0214404+0.0137744j 0.0274344-0.0054577j 0.0118309+0.0402247j 0.0189442-0.0244267j 0.00714504+0.0162271j -0.00395471-0.00131916j 0.0252841-0.0497113j -0.0349571-0.0510565j -0.0373887-0.0216191j 0.0590377+0.0193311j -0.0234775+0.0126155j -0.0144224+0.0143132j 0.00698989+0.00540419j 0.0179062+0.0475845j -0.00822352+0.071005j -0.0369345-0.0652281j 0.0718678+0.00226927j -0.0192272-0.0126923j -0.0724973-0.0572064j -0.0230379-0.000877998j 0.00752503+0.00615901j 0.0523071+0.0149627j 0.0312451-0.0356263j -0.0457819-0.0573466j 0.102262+0.0146385j -0.0983861+0.0391894j -0.0309257-0.00616741j 0.00306376+0.104856j -0.0573312+0.00201831j -0.021581-0.0201281j 0.0471174-0.0544669j 0.0249772+0.0579942j -0.0143307+0.0410359j -0.022156+0.0048531j -0.14035+0.0631572j -0.0133692-0.0106688j -0.0236633-0.012733j 0.146727-0.0503065j 0.0952949+0.0158544j -0.0284791-0.153554j -0.0323865-0.00827053j 0.100907-0.132211j -0.0574247-0.0192065j -0.0372165+0.0603849j 0.0954764+0.0383646j 0.006066+0.173572j -0.145793-0.0686787j -0.0115989+0.0343471j -0.0249996+0.0896699j 0.0903718-0.0254057j -0.0494246+0.0991599j -0.058357+0.0314416j -0.0190198-0.0433627j 0.00294418-0.0195266j 0.090091-0.0261418j 0.0785453+0.00224719j 0.0602216+0.0435968j -0.0510077-0.0139667j 0.0568557-0.0113046j -0.0138156-0.0304528j -0.010243-0.018661j 0.0167163-0.0899071j -0.0769469-0.00130021j -0.0117235+0.0742059j -0.00471644+0.0254233j -0.0471054+0.00497882j 
-0.00482136-0.00360878j -0.0142833-0.00302924j -0.000217414+0.0108335j 0.0207908+0.0375813j 0.0166419+0.0354835j 0.0149877+0.0344283j 0.0247568+0.0268484j -0.00782277+0.00822769j 0.0350307+0.0148838j 0.0357633+0.0354585j 0.0238086+0.0401953j -0.0305071+0.00399938j -0.00484173-0.0151612j -0.0269638-0.083565j -0.0222341-0.0563405j -0.0148388+0.029068j 0.0470264+0.0183272j 0.0306059+0.0501368j -0.00624144+0.0507071j -0.000502927+0.0574314j -0.00339338-0.0128574j -0.00583274-0.0243701j 0.000820728+0.033425j -0.0178448-0.0428153j 0.00371184-0.0532927j -0.0308298-0.018045j 0.0207017-0.0564687j 0.0427704+0.0251569j 0.0112502-0.0570562j 0.0662868-0.0840957j -0.0340463-0.034892j 0.00443741-0.0205302j -0.145938-0.0940208j -0.0603321-0.06081j -0.00169592-0.00540843j 0.0532912-0.070993j 0.0848777+0.0817757j -0.0411881+0.0536144j 0.0829228-0.091462j 0.0298662+0.135591j 0.0738475-0.149141j -0.0477611-0.00690974j 0.0572367+0.145546j -0.141152+0.13467j -0.0925267+0.111805j 0.0617225+0.124672j -0.000269578+0.092775j -0.129242-0.0796504j 0.0704825-0.00863007j 0.00583604+0.0515961j -0.0229827-0.0914459j -0.0519989+0.0508256j -0.0318837-0.0475158j 0.0493612+0.0119192j -0.0237684+0.0925929j -0.0154436+0.0452029j 0.0484287-0.0423561j -0.101584+0.00321958j -0.0142101+0.0220543j -0.00811928-0.0327711j -0.00776495+0.0230203j 0.0470578-0.049138j -0.0302591+0.0598343j 0.00439563-0.00995905j -0.00682947-0.00319345j 0.0781924-0.0311483j 0.0131742+0.0728924j -0.0352984-0.0281471j -0.0141812-0.00359239j -0.0321269+0.0186306j 0.0174899-0.00341028j -0.0026894+0.0155061j 
0.0205055+0.023158j 0.0284579+0.0359306j 0.00651094+0.0245135j -0.0211205+0.00545713j 0.0125834-0.00276925j 0.0225468-0.0144483j 0.0235413-0.0238742j 0.0439349-0.0208184j -0.021381+0.0123046j -0.0182973-0.0542032j 0.00424521-0.0361849j -0.034867+0.0219342j 0.0353208+0.0288409j -0.016269+0.00279103j 0.00902532-0.0121245j 0.0493124-0.00570936j -0.00887891-0.00459711j 0.0244283+0.0566717j -0.0119249-0.0175409j 0.0296868-0.063073j 0.00664162+0.0126984j 0.101805-0.0482454j 0.0150185-0.016816j -0.0043171+0.0254443j -0.0164392+0.0313086j 0.0190282-0.0232685j -0.0297804-0.0528183j -0.00260806-0.0378519j 0.00531124-0.0457857j 0.0385059-0.0609654j -0.0402788+0.000603749j -0.0835231+0.0566624j -0.0934452+0.0596355j -0.0808525-0.0417615j -0.0317887+0.0404173j 0.0291056-0.0408024j -0.0424036-0.0287734j -0.0386083+0.0106222j 0.03675-0.0643419j -0.0183417-0.0981015j 0.0370965-0.155185j -0.0611036-0.0350628j -0.0190924-0.073925j -0.00795228+0.0659352j 0.0247899+0.0263861j 0.0103798+0.0962714j 0.0723247-0.0308556j -0.0785638+0.0215225j -0.0268759+0.131479j 0.0178881+0.0214029j 0.0106029-0.058984j -0.0482929-0.0107786j -0.065103+0.0198339j -0.0332592+0.0289775j -0.0372831-0.00533672j -0.00615161-0.0409884j 0.00768233-0.0505462j -0.061848+0.0868423j -0.0618841+0.000710918j 0.00411613+0.0338642j 0.0259979+0.0186515j 0.0379916-0.0315711j 0.0493713+0.034581j 0.00422781+0.0163988j 0.00388244-0.0144399j 0.0266878+0.0180864j 0.0177343+0.057843j -0.0287339+0.0130284j -0.0388587+0.0313812j 0.00974851+0.0664863j 0.00130034-0.0209995j -0.0327854-0.000253335j 
0.0226906+0.0292275j -0.0124681-0.015079j -0.00593191+0.00397909j 0.0117812+0.0293721j 0.0120032+0.0104293j 0.0104613-0.0257522j 0.0279295+0.00807586j -0.0103916-0.0647518j 0.0411748+0.044745j 0.0134273-0.028875j 0.00701188-0.0461597j -0.0151667-0.0360612j -0.027515+0.0601538j -0.034592-0.00995852j -0.00165627+0.0021486j -0.0140515-0.0382705j 0.0167158+0.0210442j 0.0673408-0.0126791j -0.0404526+0.00980552j 0.0214523-0.0206778j 0.014883-0.0587184j -0.0252993-0.073053j -0.052059-0.0490781j -0.0284591-0.0584878j -0.0321452+0.0644587j -0.0271254-0.0289426j 0.00648368+0.0509179j 0.0708306-0.0251553j -0.0319601+0.0372867j -0.0522633-0.000267796j -0.0538437-0.038943j 0.0735828-0.132853j 0.0121649+0.0833055j -0.0722121-0.026728j 0.115975-0.0324696j -0.053753-0.057282j -0.00963232-0.11941j 0.0627289+0.00468693j 0.00874527-0.0523641j 0.125886-0.0622472j 0.166235+0.121338j 0.029086+0.0332125j -0.00233322+0.0322712j 0.0586439+0.0287869j -0.0736905+0.0152999j 0.049523+0.0330019j -0.0913449+0.019588j 0.0583355+0.072961j -0.0358264-0.0603748j 0.0328037-0.0189149j -0.112252-0.0291737j -0.00729517-0.00411084j 0.0415595+0.0991001j 0.00414014-0.0679035j 0.00894043-0.034462j -0.00853269-0.0656622j -0.0317585-0.0404249j 0.038678+0.0113902j 0.0124389-0.0641709j 0.0156659+0.0306574j 0.0247365+0.0333137j -0.0189364+0.043896j -0.093547+0.00220115j -0.0710357-0.00803391j 0.0160865-0.0577803j -0.0428728-0.0104059j 0.000321161-0.0144588j 0.00734107-0.00282233j 0.0307517+0.0387301j 0.00153908-0.017896j -0.046639+0.00313308j -0.0208355-0.0514486j 
-0.0223581-0.0102283j 0.00732613-0.00136837j 0.0105028-0.0125663j 0.00888413+0.00570679j -0.0175989-0.000575085j 0.0177815-0.0241214j -0.00962445-0.00374913j -0.013205+0.0135849j 0.0174667+0.0495262j 0.0255331+0.00744566j -0.0219193+0.0509148j 0.0227999+0.0107235j 0.0288644+0.015388j 0.0129919+0.0263232j -0.0123512+0.0186959j -0.0236741-0.0562451j -0.0251933+0.0135054j -0.0316241+0.00648416j 0.0118612-0.00243127j -0.0206192-0.0662753j -0.0191737+0.0859082j -0.025365+0.0359831j -0.0233405-0.0412886j 0.0146619-0.0232335j 0.0394559+0.092518j -0.0849838-0.0200533j 0.04767+0.0471836j 0.0871818-0.0651891j 0.0391263+0.0162945j -0.0287016+0.0236204j -0.00852625+0.0968311j -0.110001+0.0261245j -0.0297371+0.0749009j -0.0137874-0.0198366j 0.0466843+0.007059j 0.0941262-0.0193284j 0.0848431+0.0271572j -0.0750193-0.126426j -0.0178697+0.0054559j -0.101451-0.102545j 0.115086-0.115731j -0.0418643-0.103521j -0.10104-0.0520225j -0.0819734-0.00542612j -0.0419817+0.057261j -0.00854708+0.0624204j -0.153093-0.0112169j 0.147001-0.0457452j 0.0528037+0.00599224j -0.0951978-0.0677955j 0.0700486+0.0283249j -0.0687911+0.0541648j 0.0313112-0.0830147j -0.0586815+0.102216j -0.0564731+0.0885354j 0.0190376+0.0654583j 0.00211303+0.0642926j -0.0668037-0.0527852j 0.0312752-0.0304653j 0.0471142+0.0355742j -0.0334882-0.0428689j 0.036784-0.0297948j -0.00216876+0.0440438j -0.0217458-0.0419834j 0.0748097-0.00253785j 0.0278857-0.0169407j -0.0204697+0.0282348j 0.0277782-0.0334349j -0.029237-0.0667372j -0.0482085+0.0114922j 0.000423266-0.0067319j 0.0192762+0.0211508j 
