0.233536-0.034708j -0.0354945-0.313024j 0.409787-0.205721j 0.0773545-0.141641j 0.373437+0.372739j 0.173767+0.168261j -0.234704+0.388794j 0.198812+0.056679j 0.0658563+0.0881435j 0.0111024-0.077846j 0.0329803-0.054785j -0.00176089+0.0852527j 0.0737862+0.0352878j -0.0472943-0.0468829j -0.0828439+0.102009j 0.0836886+0.0122229j -0.0280299+0.00891367j 0.0268+0.0295046j 0.0415828+0.034333j 0.0133997+0.026477j -0.0138551+0.00529005j 0.00332666+0.0347372j -0.0298231-1.27258e-05j -0.0147428+0.0239502j 0.00155655-0.0248084j 0.0136346+0.0240785j -0.0132358-0.0264066j -0.00599032+0.0239409j 0.00193938-0.0168182j -0.0365594+0.0411268j 0.0437826+0.0209866j 0.0105527-0.024563j 0.0194196-0.0322409j -0.0361224-0.0187127j 
0.0206218-0.000960158j -0.00817053+0.0212863j 0.0168377+0.0106108j 0.0117519+0.038208j 0.0250249-0.00811408j 0.00818851-0.0176137j -0.00287076-0.00583193j 0.0130713+0.0194158j -0.000463784+0.00450051j -0.00105291+0.00762479j 0.0247376-0.0153248j -0.000212247-0.00614884j -0.00925288+0.00535548j -0.000986242-0.00642897j -0.000376021-0.00664009j 0.00835313+0.00370312j -0.007928-0.00187777j 0.0368381-0.0257171j -0.00794707-0.0240784j -0.0138378+0.00734911j 0.0128126-0.0352916j -0.014247-0.0186809j -0.0146036-0.00218694j 0.0237244-0.00182978j -0.0136155+0.0309302j 0.0168433+0.0173346j 0.00395825+0.0165601j 0.0182904+0.00980417j 0.0148553+0.0046036j 0.00317005-0.00224435j 0.00598193+0.0339997j 0.0134043+0.00884695j -0.00876248+0.014389j -0.00606058+0.0141803j 
0.00961554-0.0107444j -0.00172317-0.013826j 0.0193974+0.0101614j -0.00835121+0.0317519j 0.0266188-0.00145823j -0.0217838-0.0066687j 0.0220797-0.0138818j -0.0304456-0.0181628j 0.0184426+0.0198686j -0.00112718+0.00154472j 0.0300994-0.0183312j -0.00496743+0.00760695j 0.0115985+0.0274249j -0.0129012+0.0108704j 0.000635289-0.0133018j -0.0293187-0.0161682j -0.0283812-0.00511419j -0.0163525-0.0509612j 0.0492156+0.0729416j 0.0165686-0.0351909j 0.0087383-0.0302697j -0.0322739-0.0265788j 0.00779756-0.0320386j -0.000192413-0.00913784j -0.043717+0.0575057j -0.0209877+0.0684087j 0.0446071-0.0387455j 0.0112+0.0376562j 0.0281638-0.0177016j 0.00125537-0.0189737j -0.011836-0.00715533j 0.0442321-0.00328548j 0.0151259-0.00557048j -0.00407123+0.00160739j 
0.00499853-0.0346055j 0.0214843+0.0196539j 0.0222422-0.00517434j -0.013171+0.0276957j -0.0121419+0.00403466j 0.0104929-0.0344309j -0.03053-0.0127206j 0.0159415-0.0292667j -0.00628-0.00725905j 0.0109987+0.00932168j -0.0511477+0.0347551j 0.0104799-0.00479644j -0.00647713-0.0233687j -0.00393322+0.0103856j 0.00075914+0.0153554j 0.00116505-0.000147436j -0.000254113-0.0158791j -0.0367552-0.00903927j -0.00432791-0.0184386j -0.025289+0.00296607j 0.00988716+0.0539092j 0.0598741+0.0474305j -0.00729674+0.0281885j -0.00985668+0.0600562j 0.0063977-0.0320111j 0.0133435-0.0564521j -0.00982503-0.0197944j -0.0490678-0.0164119j -0.0319533-0.00102564j -0.0140286-0.0236039j -0.0109684-0.0296501j -0.0073601+0.00344418j 0.0111139-0.00555539j 0.00440219-0.000829005j 
-0.0150795+0.0148364j 0.0243927-0.0262069j 0.0118349-0.00681368j -0.0253114+0.00230145j -0.0040674-0.0442161j -0.0128767-0.00151856j -0.00159279+0.0144398j -0.0512755-0.0047664j -0.00649253+0.0288026j 0.011505+0.0404873j 0.0145162-0.0294901j 0.0236319+0.02585j 0.0381967+0.00015022j -0.0144012+0.00880202j -0.00414901-0.0110935j -0.0229292-0.0274363j -0.00234179+0.018963j -0.0525864+0.00677193j 0.0603853+0.0559252j 0.0400648-0.0272268j 0.00358103-0.0105511j -0.0113521-0.0181937j -0.00150057-0.0988243j -0.035534-0.0072297j 0.019093+0.0214369j -0.0462321+0.0422178j 0.0317795-0.0053815j 0.00495746-0.000262878j 0.033606+0.00995563j 0.0080472+0.00765548j 0.00173822+0.00557887j 0.00445532-0.00726208j -0.00217496-0.0107247j -0.000165406-0.0121872j 
0.00632758+0.0105442j -0.00551557+0.00719525j 0.000651681+0.00189575j 0.00163688-0.00111041j 0.00386224-0.00327187j 0.0100819-0.0044991j -0.0139847+0.0124086j -0.00833311-0.0195827j -0.0250915+0.0176552j -0.000454941+0.049866j 0.0100131+0.0371897j 0.0273977-0.0105169j -0.00219955-0.0202833j -0.00611375+0.00640028j -0.0223648+0.0144864j 0.00202998-0.0234758j 0.0414552-0.0307798j 0.0194633+0.0255958j 0.00416288-0.0218113j -0.0437511-9.50725e-05j -0.040323-0.0236822j 0.0123321+0.0132371j 0.00151149-0.0530648j 0.00555819-0.00502031j 0.00665855+0.0289491j 0.00597649-0.00386793j 0.00454974-0.0577495j -0.0232542-0.0361133j -0.0374116+0.0319831j 0.026347+0.000749077j -0.0116262+0.025271j 0.0322477+0.0313916j -0.00411008-0.0211727j -0.0136232-0.000686108j 
0.00903455-0.0201604j -0.0147079-0.0107834j -0.00561998+0.0111112j 0.00754949-0.0096523j -0.0115637+0.0160804j 0.00279249-0.00176492j 0.0089229-0.00538075j 0.0292983-0.0121942j 0.0142202+0.002769j 0.0111382-0.0127678j -0.0369598-0.00123366j -0.0202213-0.00298784j -0.0204906+0.054798j 0.000663281+0.0154404j 0.0138461-0.0196293j 0.0201541-0.020499j -0.0147227-0.0208629j 0.0156226+0.00492796j -0.0276215-0.0233723j -0.0550356+0.0136969j -0.00437225+0.0170767j 0.0474053+0.0152297j -0.00454041-0.00283858j 0.00338717-0.0240993j -0.0071517+0.0734005j 0.0283514+0.0657754j -0.00733556-0.0328286j -0.0439272+0.0367206j -0.0420796-0.0058618j -0.00297678-0.00252656j -0.0172418+0.00559194j -0.00463963+0.0410809j -0.00844582-0.0294467j -0.0120921+0.0272997j 
-0.0232871+0.0310894j 0.0266408+0.0202214j -0.0116203-0.000722714j -0.00557754+0.015896j 0.0358274-0.00644226j 0.0150104-0.0120582j 0.00601195-0.00365855j -0.013616+0.0528145j 0.0115524-0.00256386j 0.0314387-0.00689147j 0.012882-0.0015974j -0.013761-0.0437911j 0.043369-0.0231877j 0.0378562+0.00566635j -0.00190951-0.00697498j -0.0292814-0.000803062j -0.00395501+0.0524542j -0.00327148-0.0111473j 0.0216636+0.0040177j -0.00915332-0.00960647j -0.0321601+0.012746j 0.0440055+0.0239638j 0.0207322+0.0160229j -0.00749434-0.0238685j 0.0233566-0.0182933j -0.0420252-0.000870234j 0.0101544-0.0223236j -0.000762469-0.0224391j -0.015799-0.00439207j 0.0211255+0.0187963j -0.019651-0.00646714j 0.0196145+0.0395115j -0.0215561+0.0416233j 0.0168037+0.051111j 
0.0358332+0.0182543j 0.0312409-0.0161797j -0.0225047+0.0245779j 0.00227107-0.00204795j 0.0145927-0.0032754j 0.0101224-0.0249023j 0.0102289+0.0112432j 0.00301489-0.0239721j 0.0294506+0.0421252j -0.00684128+0.00103116j -0.000965115+0.0181071j -0.0228871+0.0149501j -0.0248797-0.00369489j 0.000935966+0.0123713j -0.0102698-0.0393897j -0.00106083-0.030579j 0.00661455-0.0157442j 0.00710184-0.0653752j 0.0587401+0.0254495j 0.0359342+0.0014602j -0.0117488+0.0112071j 0.0038551+0.00175559j 0.0192371+0.0130294j -0.0269892-0.00150972j 0.0042051-0.00710067j -0.010875-0.0215043j -0.0455861-0.0230689j 0.010507+0.0450279j 0.0933116-0.0339687j 0.00162162-0.0214504j -0.0126206-0.00302391j -0.0351927+0.0469265j -0.000180015+0.0369552j 0.0256807-0.0292329j 
0.00730389+0.00470647j 0.00343179-0.00890626j -0.00611524-0.0198638j -0.0138638+0.00108599j 0.0194964-0.00237892j -0.0403181+0.0151863j -0.0052233+0.0340115j -0.00286739+0.0137063j 0.00763458+0.013653j -0.00487785+0.0239377j 0.0275845+0.00890587j -0.00648221+0.000658213j -0.000960608+0.0137829j 0.0068856-0.0061401j 0.00235925-0.0301787j 0.00124506+0.019011j -0.00318483+0.0121059j -0.0238565+0.0388812j -0.0264458+0.0233483j -0.0310664-0.00654292j -0.0208126-0.00845598j -0.0319938-0.0174046j -0.0151078-0.00542257j -0.00262949+0.0221138j -0.0365703+0.0167383j 0.034704+0.0156333j -0.0426001+0.0210279j 0.00467357-0.00894402j 0.04068+0.0186197j -0.0233376+0.0625751j 0.011563-0.0115098j 0.0229738+0.00847705j 0.00862984+0.00627993j -0.0028027+0.00316935j 
0.012026-0.0560268j -0.037532-0.00764433j 0.0119345+0.0189958j 0.0088316-0.0163131j -0.0152685+0.0430086j -0.00398215-0.00191495j 0.00491759-0.0369541j 0.00386115-0.0522744j 0.0155395-0.0232587j -0.0197269-0.0294627j -0.0191979+0.036604j 0.00347242-0.0130453j -0.00062028-0.0121324j -0.0105647+0.012571j -0.0105924+0.0300776j -0.00973941+0.0173262j -0.00452279-0.065621j 0.00806487-0.00700904j 0.0230504+0.0394143j -0.00703241-0.0274902j -0.00438249-0.0147462j -0.0188924-0.0229335j -0.0146666+0.0433911j 0.000470111+0.0450293j -0.0520072+0.00788222j 0.0317818-0.0189484j 0.0411729-0.0516753j -0.0186643-0.00840644j -0.0447032-0.0181245j 0.0150204-0.0316413j -0.029674-0.00110995j 0.0109911-0.0751539j 0.0302125-0.030474j -0.0256499-0.0524462j 
0.00414443-0.00287529j -0.000202091-0.00262667j 0.0038856+0.00549857j 0.00808515-0.0142174j 0.00587056-0.010265j -0.00915774-0.00580013j -0.0023451-0.0086684j 0.0142976-0.00515018j 0.00355288-0.00330637j 0.00744132+0.0226012j -0.00432544+0.00728373j -0.0047125+0.00475537j 0.00989789-0.00558084j 0.00468491-0.00257695j -0.00862053-0.00229814j -0.0104376+0.000165026j -0.0153661+0.00862228j -0.00762716+0.0221335j -0.0135492+0.0197429j 0.0059524+0.00755771j 0.033915-0.00518401j 0.022751+0.0217279j -0.0197263-0.000246895j 0.0257262-0.00912534j -0.0209709+0.0284288j 0.0118172+0.00373618j 0.0207008-0.00968345j 0.0290767-0.0310806j 0.0223857-0.00319732j -0.0178256+0.0196029j -0.0110487-0.00472974j -0.00901443-0.0265407j -0.00835015+0.00104545j 0.00498627-0.0158333j 
-0.0158806+0.031336j 0.0170934+0.017228j 0.00839343-0.00549893j 0.00592517+0.0175724j 0.0144283-0.0175831j 0.0186144-0.00957924j 0.00917749-0.00701797j -0.00113321+0.00153744j -0.0151194-0.0152357j 0.004441+0.00894111j 0.0130122-0.0327058j -0.0140603-0.0164202j 0.00633362+0.0251166j 0.00193584-0.00901627j 0.00811609-0.00446283j -0.0147137+0.006341j 0.0163783-0.00114429j -0.0118353+0.0114768j -0.0148389+0.00968432j -0.00697956-0.00143829j -0.00975172-0.0442101j -0.0272365-0.0155137j 0.00700972-0.0101671j 0.0158095-0.00198891j 0.00274895-0.00641079j -0.00644161+0.00450817j -0.0200018+0.0471884j 0.018496-0.0133504j 0.0243316-0.00279053j -0.0255757+0.0212694j 0.0187789-0.022571j 0.00014292+0.00878471j -0.00659329-0.00625496j 0.0246984-0.00238313j 
0.00676097+0.00899172j -0.00610862+0.00703029j 0.00614535+0.00240906j -0.00716282+0.00269917j 0.0181645+0.00122777j -0.0102785+0.00136773j 0.000989864-0.0129738j 0.00886188-0.0117191j -0.0104151+0.00226326j -0.0031154-0.000483693j 0.00696509+0.00749856j -0.0158545-0.00163873j 0.00225695+0.000806994j 0.0152683+0.021807j -0.0174465-0.000854103j 0.0225738+0.001226j 0.00421877-0.0088708j -0.00826969+0.00705014j 0.000631576-0.0116271j -0.0145792-0.00757454j 0.0274229-0.00825938j 0.0080015-0.0260792j 0.00275287+0.0157087j 0.032876+0.00728888j 0.00491607+0.00746615j 0.00586044-0.0194152j 0.00540544+0.0269695j 0.00552774+0.0121919j 0.00901036-0.0320232j 0.0235597+0.00604581j 0.0121542+0.0400241j -0.00650516+0.0218699j -0.00532454+0.00609708j -0.00727872-0.0168985j 
0.00680749-0.00412467j -0.010998+0.00323655j -0.00404256-0.00717573j 0.00442412+0.0152535j -0.00148766-0.0109165j 0.00681844+0.00256977j -0.0259156+0.0139165j 0.00236148+0.00904672j -0.010708-0.0109291j 0.00518147-0.00984992j 0.00648518-0.0134913j -0.000978057-0.024225j -0.0177594-0.00079929j 0.00366438+0.0338527j -0.0182553-0.0291397j -0.00257341+0.021718j -0.00544835+0.00245708j 0.00833404+0.0142886j -0.0177522-0.0227531j 0.0222576+0.00388174j -0.0176976+0.0112042j 0.0176247-0.0216743j 0.00319398+0.0138447j -0.0359677+0.0490577j -0.0501165+0.0290191j 0.0134932-0.00982229j -0.000148295+0.0146642j 0.0137067+0.0307335j 0.0132224-0.018608j 0.000591108+0.0315266j -0.0112041+0.0365079j -0.0103589+0.00425513j -0.0104349-0.00462424j 0.0143412+0.00471398j 
0.00803402-0.0136895j 0.00502352+0.0120559j 0.0458821+0.0112609j 0.011656-0.00232074j 0.00193393-0.0167346j 0.0154332-0.0136495j 0.0155401-0.00728571j -0.0103885+0.00803409j 0.0128684+0.0034625j 0.013969-0.00370632j 0.00143558+0.01159j 0.022515+0.0110722j -0.0115536+0.00122546j -0.00670645+0.00427164j 0.00185157-0.0232943j 0.0257048+0.0113187j -0.00479028+0.000434801j -0.00451352+0.0034609j -0.00778715-0.00329981j 0.000546226+0.0030928j 0.0138208-0.0120803j -0.010762-0.00652067j -0.0198476+0.00345581j 0.0113576+0.0260231j -0.0171893+0.0120868j 0.0167998-0.000720298j -0.0124133+0.00345968j 0.00138717+0.00169457j 0.00306251+0.017236j 0.00168797+0.0216086j -0.0137823+0.00743609j 0.00888168+0.00211465j 0.00775856+0.00194943j -0.008139-0.00375696j 
0.00213337+0.0107274j -0.00365234-0.0176017j -0.0207657-0.0146973j -0.00279326-0.00715983j 0.00965141+0.00476512j 0.0011059-0.0172067j -0.0198411-0.0237314j 0.00275456+0.00893907j 0.00125082+0.00798362j 0.0048763+0.0229698j 0.00707159-0.00347256j 0.0217056-0.00540293j -0.0141696-0.0016929j -0.00893067-0.0188811j -0.00478109+0.00200085j -0.00457513+0.00872586j -0.00444617-0.00123346j 0.00629265+0.0196106j 0.0044485+0.00931825j -0.00306228+0.00223026j -0.0083888+0.0264541j 0.0268364-0.00571236j -0.00456377+0.0071348j 0.0138618+0.00768252j 0.00361204+0.0200092j 0.0196758-0.0070437j 0.0069104+0.00917068j -0.0118243-0.00815463j 0.00804534+0.0111345j -0.000646849+0.00571865j -0.00909403+0.0147567j -0.00726523-0.00756281j 0.00391201-0.000661223j -0.001398+0.00575024j 
0.0033828-0.00833555j -0.00701061-0.00150475j -0.00130233+0.00659809j -0.00690606-0.00235745j 0.00016423+0.00174701j 0.00460556-0.000233163j -0.0064323-0.00853322j 0.00308872+0.0045931j 0.00430097-0.0119661j -0.00981686-0.0116962j -0.00410785-0.00347165j -0.00929852+0.0126215j -0.0126652-0.0122212j 0.0172454-0.00580999j 3.68511e-05+0.00499992j -0.0166751-0.00886164j -0.00359527+0.00911863j 0.00362884-0.00270085j -0.0108847-0.0103484j 0.0208235+0.00583923j -0.056272-0.0534352j 0.0118061-0.00418992j 0.0205903+0.00669522j -0.0425476+0.0446325j -0.00611746+0.0179866j -0.0182576-0.00608569j -0.0119988+0.0055838j -0.0105406+0.0118311j -0.0260254-0.0131451j 0.00547219-0.0174166j 0.00822365-0.00317714j 0.00890715+0.00156569j -0.0014018-0.00338527j 0.00212467+0.00566147j 
0.00420841-0.00329202j -0.00784274-0.00186235j 0.0052113+0.000363815j 0.00488153+0.0109741j 0.00161043-0.00591504j -0.00316434-0.00308383j -0.00631328+0.00243756j -0.0268564-0.00592735j -0.00695036+0.00422099j -0.00297228-0.0261546j 0.0134574-0.0139023j 0.000746531+0.00717293j -0.0135106+0.000421405j 0.0152467+0.014997j -0.0147354+0.00416922j -0.0192718-0.019399j -0.00309849+0.00429435j -0.0176344-0.00216514j 0.0417157+0.0343444j -0.0098443-0.0136953j 0.00155655+0.0143161j 0.0200621-0.0249353j -0.00906181-0.00873068j -0.0164826+0.0203441j -0.0190044+0.011218j 0.0309808+0.0181603j 0.0112083+0.0195116j -0.00332663+0.0113709j -0.00629852-0.0182088j 0.00709165-0.00946078j -0.00535514+0.0152735j 0.00699336+0.0152889j 0.0014815+0.00966439j -0.00839553-0.00313614j 
-0.0069851+0.00554167j -0.0130775-0.0100812j 0.000401349+0.0203435j 0.00153202+0.000229281j 0.0167254-0.023022j -0.00596315-0.0143649j -0.0172914-0.0012218j -0.0143164+0.0234553j 0.00437929-0.00255245j -0.00048842-0.00939226j 0.0118284-0.0284924j 0.00999548+0.00453176j -0.0149485-0.0140372j -0.00236917-0.0117314j 0.00135492+0.00169903j 0.00624596-0.00184963j -0.000206667+0.0182142j 0.00258645-0.00679608j 0.0117453+0.0300929j 0.0138681-0.0323511j 0.023198-0.00742689j -0.033526+0.00695606j -0.0112223-0.0082176j 0.0290066-0.0268954j -0.0031907-0.0194852j 0.00531569+0.00115208j 0.00559127-0.00687558j 0.0227167-0.0317902j 0.00507857+0.00909937j 0.00357529-0.00223132j 0.0158799-0.00499702j 0.00974833+0.0076646j 0.0119442-0.0149587j 0.0189728+0.00140877j 
0.00732095-0.00154383j 0.00378598+0.00751903j 0.00505466-0.0140251j 0.00792802+0.0115876j 0.000751149+0.00154551j 0.00221983+0.0081034j -0.00345929+0.00937299j -0.00638782-0.00723803j -0.0113762-0.0146112j -0.00303027-0.00900954j 0.015421+0.00441561j -0.00397137+0.0152868j -0.0208864-0.0153612j 0.0271475+0.0103127j -0.0249951-0.00132321j -0.00727107-0.0254469j -0.00239598+0.00629145j -0.0143657+0.0297663j -0.0172452+0.0205572j 0.00659027-0.0101906j 0.0263771+0.0787115j 0.0160424+0.0226071j 0.00362699-0.00566145j -0.0105086-0.0156768j -0.0298874-0.00362389j 0.0336937+0.0163795j -0.015419-0.0209884j 0.00704449-0.014601j 0.0299378+0.00269287j -0.00622557-0.0100653j 0.0244514+0.00487271j -0.00790526+0.0103048j 0.000192951+0.00580705j -0.00434056-0.0020067j 
