-0.205129-0j -0.227036-0j 0.532706-0j -0.119659-0j 0.538226-0j -0.209403-0j -0.074035-0j -0.122152-0j -0.129561-0j -0.0755774-0j -0.0197162-0j -0.0273256-0j -0.0298208-0j -0.0230991-0j -0.0233385-0j 0.062583-0j 0.0774426-0j -0.0173955-0j 0.0451748-0j -0.0150649-0j -0.0215258-0j -0.0107629-0j -0.00887895-0j -0.0108744-0j -0.0049136-0j -0.00108335-0j -0.0180175-0j -0.0026006-0j -0.0194611-0j -0.00280897-0j -0.0148636-0j -0.00214538-0j -0.0150177-0j -0.00216762-0j -0.0132945-0j 0.0631306-0j -0.00191889-0j 0.00911211-0j -0.016451-0j -0.0023745-0j -0.00959644-0j 0.0445712-0j -0.00138513-0j 0.0272942-0j 0.0064333-0j -0.00867046-0j 0.00393958-0j 0.0389998-0j -0.00125147-0j -0.00876031-0j 0.00562914-0j 0.0160866-0j -0.0107291-0j -0.00126444-0j 0.0023219-0j -0.00268229-0j -0.00154862-0j -0.0088511-0j -0.00542017-0j -0.000387155-0j -0.00127755-0j -0.00282797-0j -0.000782334-0j -0.00387235-0j -0.000408182-0j -0.000558926-0j -0.00142864-0j -0.000206206-0j -0.000272785-0j -3.93731e-05-0j 
0.00561554-0j -0.0243226-0j 0.0049136-0j 0.00327573-0j 0.052059-0j -0.0224335-0j 0.00202675-0j -0.0425898-0j 0.0371928-0j -0.0385217-0j 0.0762229-0j -0.0352715-0j 0.150635-0j -0.0298161-0j -0.315898-0j -0.0272182-0j 0.131806-0j 0.0878704-0j 0.250232-0j -0.0194457-0j -0.291363-0j 0.0543671-0j 0.213386-0j 0.178774-0j -0.315471-0j 0.0185623-0j 0.000493239-0j -0.00678484-0j -0.00208488-0j 0.028679-0j 0.000406902-0j -0.0055972-0j 0.00431108-0j -0.0593018-0j 0.000363944-0j 0.000249175-0j -0.00500629-0j -0.00342757-0j -0.00176242-0j 0.0242432-0j -0.00334593-0j -0.00160886-0j 0.0460255-0j 0.000251758-0j 0.0221309-0j 0.000237359-0j -0.00346309-0j 0.0037722-0j -0.00326504-0j 0.0025148-0j -0.0518891-0j -0.00276265-0j -0.00114942-0j -0.0345927-0j 0.0380021-0j 7.34293e-05-0j 0.0158111-0j -0.00308605-0j 0.00155595-0j -0.00101007-0j 0.0424507-0j 0.00385073-0j -0.0214032-0j -0.00197373-0j -0.0529693-0j 0.02715-0j 0.00552311-0j -0.075974-0j -0.00754815-0j 0.10383-0j 
-0.0847549-0j 0.0188012-0j 0.0148636-0j 0.0099091-0j 0.0150177-0j 0.0173409-0j 0.00613094-0j 0.0101155-0j 0.0107291-0j 0.00625867-0j 0.00163273-0j 0.00226287-0j -0.0123213-0j 0.00191287-0j 0.00193269-0j 0.0017462-0j 0.00216082-0j 0.00144054-0j 0.00126048-0j 0.00124755-0j 0.00178258-0j 0.000891291-0j 0.000735278-0j 0.000900528-0j 0.000406902-0j 8.97134e-05-0j -0.142648-0j 0.000215359-0j -0.154077-0j 0.000232614-0j 0.587143-0j -0.000886426-0j 0.593228-0j -0.000895612-0j -0.105255-0j -0.0720629-0j 0.000158906-0j 0.000108795-0j -0.130246-0j 0.000196636-0j -0.0759768-0j -0.118898-0j 0.000114704-0j -0.0728097-0j 0.000179503-0j -0.0686457-0j 0.000109923-0j -0.104036-0j 0.000103636-0j -0.069357-0j 0.000157065-0j -0.0429125-0j -0.0849447-0j 0.00010471-0j 6.47861e-05-0j -0.0212362-0j 0.000128243-0j -0.0700758-0j -0.0429125-0j 3.20608e-05-0j 0.000105795-0j -0.0223896-0j 6.47861e-05-0j -0.0306582-0j 3.38021e-05-0j 4.62854e-05-0j -0.0113108-0j 1.70762e-05-0j -0.00215969-0j 3.26054e-06-0j 
0.0122333-0j -0.00271372-0j -0.00214538-0j -0.00143026-0j -0.00216762-0j -0.00250295-0j -0.000884925-0j -0.00146005-0j -0.00154862-0j -0.000903361-0j -0.000235664-0j 0.0311272-0j -0.169488-0j 0.0263128-0j 0.0265855-0j 0.0240202-0j 0.0297235-0j 0.0198156-0j 0.0173387-0j 0.0171609-0j 0.0245206-0j 0.0122603-0j 0.0101142-0j 0.0123874-0j 0.0055972-0j 0.00123407-0j -0.000215359-0j -0.138184-0j -0.000232614-0j -0.149256-0j 0.000886426-0j 0.56877-0j 0.000895612-0j 0.574664-0j -0.000158906-0j -0.000108795-0j -0.101961-0j -0.0698079-0j -0.000196636-0j -0.12617-0j -0.000114704-0j -0.000179503-0j -0.0735993-0j -0.000109923-0j -0.115177-0j -0.000103636-0j -0.0705313-0j -0.000157065-0j -0.0664976-0j -0.00010471-0j -0.10078-0j -6.47861e-05-0j -0.000128243-0j -0.0671867-0j -0.0415696-0j -3.20608e-05-0j -0.0822865-0j -0.000105795-0j -6.47861e-05-0j -0.0205716-0j -0.0678829-0j -3.38021e-05-0j -0.0415696-0j -4.62854e-05-0j -0.0216889-0j -0.0296988-0j -1.70762e-05-0j -0.0109568-0j -3.26054e-06-0j -0.00209211-0j 
-0.0188012-0j 0.00143331-0j -0.016451-0j -0.0109674-0j 0.0160456-0j -0.000332533-0j -0.00678571-0j 0.0218098-0j 0.0114635-0j 0.0203012-0j 0.00884764-0j -0.00250453-0j -4.73557e-05-0j 0.00841677-0j -0.00820932-0j -0.00193269-0j -4.14362e-05-0j -2.76242e-05-0j 0.00271767-0j -0.00138078-0j 0.00190459-0j -1.70916e-05-0j 0.00238501-0j 0.0019416-0j 0.00176242-0j 0.000583725-0j 0.157882-0j -0.000238359-0j 0.00295461-0j -4.46066e-06-0j 0.130246-0j -0.000196636-0j -0.127036-0j 0.000191789-0j -0.463129-0j 0.0797591-0j 0.000699198-0j -0.000120414-0j -0.00992931-0j 1.49905e-05-0j 0.651231-0j 0.00228001-0j -0.000983182-0j 0.0805856-0j -3.44219e-06-0j 0.0759768-0j -0.000121662-0j -0.111156-0j -0.000114704-0j -0.0741042-0j 0.000167816-0j -0.139195-0j 0.00162892-0j 0.000111877-0j 0.000210146-0j 0.0235041-0j -2.45922e-06-0j -0.151088-0j -0.0458496-0j -3.54848e-05-0j 0.000228102-0j -0.096976-0j 6.92204e-05-0j -0.0994455-0j 0.000146407-0j 0.000150135-0j -0.0612924-0j 9.25347e-05-0j -0.016401-0j 2.47611e-05-0j 
0.00271372-0j -0.00020688-0j 0.0023745-0j 0.001583-0j -0.00231598-0j 4.7997e-05-0j 0.000979433-0j -0.00314797-0j -0.00165461-0j -0.00293022-0j -0.00127705-0j -0.0344515-0j -0.000651409-0j 0.115778-0j -0.112925-0j -0.0265855-0j -0.000569983-0j -0.000379989-0j 0.0373834-0j -0.0189936-0j 0.0261989-0j -0.000235106-0j 0.0328074-0j 0.026708-0j 0.0242432-0j 0.00802952-0j 0.000238359-0j 0.152941-0j 4.46066e-06-0j 0.00286215-0j 0.000196636-0j 0.12617-0j -0.000191789-0j -0.12306-0j -0.000699198-0j 0.000120414-0j -0.448636-0j 0.0772632-0j -1.49905e-05-0j -0.00961859-0j 0.000983182-0j 3.44219e-06-0j 0.630853-0j 0.000121662-0j 0.00220866-0j 0.000114704-0j 0.0780639-0j -0.000167816-0j 0.0735993-0j -0.000111877-0j -0.107678-0j -0.000210146-0j 2.45922e-06-0j -0.0717852-0j -0.134839-0j 3.54848e-05-0j 0.00157794-0j -0.000228102-0j -6.92204e-05-0j 0.0227686-0j -0.14636-0j -0.000146407-0j -0.0444149-0j -0.000150135-0j -0.0939414-0j -0.0963335-0j -9.25347e-05-0j -0.0593743-0j -2.47611e-05-0j -0.0158878-0j 
-0.0148636-0j -0.016451-0j -0.037501-0j -0.00867046-0j 0.0389998-0j 0.0147414-0j 0.0263647-0j -0.0088511-0j 0.0276295-0j 0.00532044-0j -0.00142864-0j -0.00198001-0j -0.00216082-0j 0.00162611-0j -0.00169111-0j 0.00453476-0j -0.00545174-0j -0.00126048-0j 0.00327337-0j 0.00321266-0j 0.00151536-0j 0.00383279-0j -0.000643368-0j 0.00231902-0j 0.000345903-0j -7.84992e-05-0j 0.124817-0j -0.000188439-0j 0.134817-0j -0.000203537-0j -0.100037-0j 0.000151029-0j 0.104036-0j -0.000157065-0j 0.0920978-0j -0.43734-0j -0.000139043-0j 0.000660263-0j -0.110721-0j 0.000167158-0j 0.0664797-0j -0.308769-0j -0.000100366-0j 0.556479-0j 0.000466157-0j -0.0583551-0j -0.000840132-0j 0.262482-0j 8.81002e-05-0j 0.0606874-0j -0.000396276-0j -0.111441-0j -0.218748-0j -9.16214e-05-0j 0.000168245-0j -0.127956-0j 0.00033025-0j -0.0595708-0j -0.184535-0j 0.000193178-0j 8.99356e-05-0j 0.0195909-0j 0.000278598-0j -0.0789503-0j -2.95768e-05-0j 0.000119193-0j -0.0096152-0j 1.45163e-05-0j 0.00188973-0j -2.85297e-06-0j 
-0.0099091-0j -0.0109674-0j -0.00867046-0j -0.0389307-0j -0.00876031-0j 0.049902-0j -0.00357638-0j 0.0291095-0j -0.00625867-0j -0.00365089-0j -0.000952425-0j -0.00132001-0j -0.00144054-0j -0.00111584-0j -0.0011274-0j 0.00502506-0j -0.00126048-0j -0.00565959-0j -0.000735278-0j 0.00359007-0j 0.00512975-0j -0.00051992-0j 0.00211591-0j -0.000525308-0j -0.000237359-0j -5.23328e-05-0j 0.0832111-0j -0.000125626-0j 0.0898783-0j -0.000135692-0j 0.0686457-0j -0.000103636-0j 0.069357-0j -0.00010471-0j -0.302892-0j 0.0420367-0j 0.000457284-0j -6.3464e-05-0j 0.0759768-0j -0.000114704-0j 0.0443198-0j -0.342153-0j -6.69108e-05-0j 0.0424723-0j 0.000516557-0j 0.269694-0j -6.41216e-05-0j 0.0606874-0j -0.000407164-0j 0.272489-0j -9.16214e-05-0j 0.0250323-0j -0.244446-0j -0.000411384-0j -3.77919e-05-0j 0.0123878-0j 0.000369046-0j -0.201657-0j 0.0250323-0j -1.87021e-05-0j 0.000304448-0j -0.0644305-0j -3.77919e-05-0j 0.0178839-0j 9.72725e-05-0j -2.69998e-05-0j 0.00659796-0j -9.96112e-06-0j 0.00125982-0j -1.90198e-06-0j 
0.00214538-0j 0.0023745-0j 0.0054128-0j 0.00125147-0j -0.00562914-0j -0.00212773-0j -0.00380542-0j 0.00127755-0j -0.00398798-0j -0.000767939-0j 0.000206206-0j -0.0272363-0j -0.0297235-0j 0.0223683-0j -0.0232623-0j 0.0623787-0j -0.0749923-0j -0.0173387-0j 0.0450273-0j 0.0441923-0j 0.0208447-0j 0.0527227-0j -0.00884996-0j 0.0318997-0j 0.00475813-0j -0.00107981-0j 0.000188439-0j 0.120911-0j 0.000203537-0j 0.130599-0j -0.000151029-0j -0.0969068-0j 0.000157065-0j 0.10078-0j 0.000139043-0j -0.000660263-0j 0.0892158-0j -0.423654-0j -0.000167158-0j -0.107256-0j 0.000100366-0j -0.000466157-0j 0.0643994-0j 0.000840132-0j -0.299107-0j -8.81002e-05-0j 0.539066-0j 0.000396276-0j -0.056529-0j 9.16214e-05-0j 0.254268-0j -0.000168245-0j -0.00033025-0j 0.0587883-0j -0.107953-0j -0.000193178-0j -0.211903-0j -8.99356e-05-0j -0.000278598-0j -0.123952-0j -0.0577066-0j 2.95768e-05-0j -0.178761-0j -0.000119193-0j 0.0189778-0j -0.0764797-0j -1.45163e-05-0j -0.00931431-0j 2.85297e-06-0j 0.00183059-0j 
0.0150177-0j -0.0160456-0j -0.0389998-0j 0.00876031-0j 0.0393803-0j -0.0147993-0j 0.00542017-0j 0.00802927-0j -0.0094796-0j 0.0261515-0j 0.026238-0j 0.00200053-0j -0.00210756-0j 0.00169111-0j -0.00170761-0j -0.00458176-0j 0.00547317-0j -0.00122941-0j -0.00296943-0j 0.00110292-0j -0.00157498-0j -0.000760657-0j 0.00307232-0j 0.0007148-0j 0.0037722-0j 0.00220488-0j -0.12611-0j 0.000190392-0j 0.131494-0j -0.000198521-0j -0.104036-0j 0.000157065-0j 0.105051-0j -0.000158598-0j -0.0930522-0j 0.441872-0j 0.000140483-0j -0.000667106-0j 0.111156-0j -0.000167816-0j -0.0603071-0j -0.301159-0j 9.10473e-05-0j 0.191041-0j 0.000454667-0j -0.0606874-0j -0.00028842-0j -0.272809-0j 9.16214e-05-0j 0.0612795-0j 0.000411867-0j 0.53217-0j 0.0724946-0j -9.25153e-05-0j -0.000803431-0j -0.0187742-0j -0.000109447-0j -0.0556231-0j 0.0379148-0j 2.83439e-05-0j 8.39757e-05-0j -0.207563-0j -5.72409e-05-0j -0.128103-0j 0.000313364-0j 0.000193401-0j -0.181765-0j 0.000274415-0j -0.0751381-0j 0.000113438-0j 
0.00143026-0j 0.001583-0j 0.00125147-0j 0.00561917-0j 0.00126444-0j -0.00720274-0j 0.000516206-0j -0.0042016-0j 0.000903361-0j 0.000526961-0j 0.000137471-0j -0.0181576-0j -0.0198156-0j -0.0153491-0j -0.0155082-0j 0.069123-0j -0.0173387-0j -0.0778514-0j -0.0101142-0j 0.0493839-0j 0.0705631-0j -0.00715185-0j 0.0291058-0j -0.00722596-0j -0.00326504-0j -0.000719873-0j 0.000125626-0j 0.0806072-0j 0.000135692-0j 0.0870657-0j 0.000103636-0j 0.0664976-0j 0.00010471-0j 0.0671867-0j -0.000457284-0j 6.3464e-05-0j -0.293413-0j 0.0407213-0j 0.000114704-0j 0.0735993-0j 6.69108e-05-0j -0.000516557-0j 0.0429329-0j 6.41216e-05-0j -0.331446-0j 0.000407164-0j 0.0411433-0j 9.16214e-05-0j 0.261255-0j 0.000411384-0j 0.0587883-0j 3.77919e-05-0j -0.000369046-0j 0.263962-0j 0.024249-0j 1.87021e-05-0j -0.236796-0j -0.000304448-0j 3.77919e-05-0j 0.0120001-0j -0.195347-0j -9.72725e-05-0j 0.024249-0j 2.69998e-05-0j -0.0624143-0j 0.0173243-0j 9.96112e-06-0j 0.00639149-0j 1.90198e-06-0j 0.0012204-0j 
