-0.145376-0j 0.697403-0j 0.70463-0j -0.0085127-0j 0.117098-0j -0.0105339-0j 0.144901-0j -0.00614479-0j 0.0845257-0j -0.00600051-0j 0.0500155-0j -0.00700059-0j 0.0126807-0j -0.00428697-0j 0.0583514-0j -0.00612552-0j 0.0357328-0j 0.0147941-0j -0.00252665-0j 0.0090595-0j 0.0510575-0j 0.0210601-0j 0.0129448-0j 0.00533947-0j -0.00463339-0j 0.0364116-0j -0.00523398-0j -0.000472894-0j 0.00919942-0j -0.00427352-0j 0.00108985-0j 0.0411312-0j -0.00431781-0j -0.00053419-0j -0.00373933-0j 0.0335835-0j 0.0103918-0j -0.00308479-0j -0.000436165-0j 0.0339315-0j 0.00123112-0j -0.000985606-0j 0.00848491-0j 0.0293856-0j -0.000440685-0j -0.000381644-0j 0.00857284-0j 0.0242419-0j 0.0010052-0j 0.0074243-0j -0.00031484-0j 0.00774539-0j 0.00101562-0j -0.000100593-0j 0.000879552-0j 0.00612473-0j 0.00195688-0j 0.000725593-0j 0.000231831-0j 
-0.00700059-0j 0.0335835-0j 0.0339315-0j 0.00080617-0j -0.0110894-0j -0.000507263-0j 0.00697774-0j -0.000295903-0j 0.00407035-0j 0.0417146-0j 0.0024085-0j -0.0957088-0j 0.000610638-0j 0.0298024-0j -0.00552599-0j 0.0425837-0j 0.00172072-0j -0.00140103-0j 0.0175649-0j 0.000436261-0j 0.00245868-0j 0.00101415-0j 0.00062336-0j 0.000257123-0j -0.000223122-0j -0.253128-0j -0.000252043-0j -2.27723e-05-0j 0.000442999-0j 0.000404711-0j 5.24818e-05-0j -0.285938-0j 0.000408905-0j -2.5724e-05-0j -0.000180068-0j 0.459138-0j 0.000500421-0j -0.000148549-0j 4.13057e-05-0j 0.463896-0j 5.92846e-05-0j -4.7462e-05-0j -0.000803538-0j -0.204284-0j 4.17337e-05-0j -1.83781e-05-0j -0.000811865-0j -0.168526-0j -9.51947e-05-0j 0.000357518-0j -1.51612e-05-0j -0.0538448-0j -9.61812e-05-0j -4.84407e-06-0j 4.23549e-05-0j 0.000294937-0j 9.42338e-05-0j 3.4941e-05-0j 1.11638e-05-0j 
-0.0590636-0j 0.00308479-0j 0.00279837-0j 0.00177542-0j 0.00025626-0j -0.00427975-0j -0.000617728-0j 0.00492646-0j 0.000711074-0j 0.00125147-0j 0.000221231-0j -0.00284421-0j 1.84359e-05-0j 0.000894096-0j -0.000502791-0j 0.00114704-0j 0.000158055-0j -4.18992e-05-0j 0.000630892-0j 1.31713e-05-0j 0.00020277-0j 0.000111527-0j 1.68975e-05-0j 9.29392e-06-0j -0.186918-0j 0.000161058-0j 0.411319-0j 9.86273e-05-0j 2.01322e-05-0j -0.172401-0j 1.1863e-06-0j -0.000354412-0j -0.156393-0j -0.000217032-0j 0.29386-0j 0.000148549-0j -4.43015e-05-0j -0.47838-0j 9.0967e-05-0j 0.000134756-0j -2.61049e-06-0j 0.506406-0j 1.85686e-05-0j -0.000253204-0j 8.25208e-05-0j -0.000155055-0j 1.68445e-05-0j 0.000412195-0j 1.09416e-06-0j -3.16505e-05-0j 0.000252417-0j -0.000436343-0j 9.92571e-07-0j -0.000267204-0j -1.86502e-06-0j 5.15244e-05-0j -5.45429e-05-0j 3.0361e-06-0j -3.21397e-06-0j 
-0.00428697-0j -0.000436165-0j -0.000440685-0j -0.0948896-0j 7.1256e-05-0j 0.059707-0j -4.48361e-05-0j 0.0348291-0j -2.61544e-05-0j -0.000176948-0j 0.00601239-0j 0.000405985-0j -2.60669e-06-0j -0.000126418-0j -0.0137947-0j -0.000180635-0j 0.00429546-0j 5.98072e-06-0j -7.4508e-05-0j -1.86231e-06-0j 0.00613765-0j 0.00253165-0j -2.661e-06-0j -1.09761e-06-0j -0.000136634-0j -2.27723e-05-0j -0.000154344-0j -0.254912-0j 0.000547132-0j 0.000247834-0j -1.67734e-07-0j -2.5724e-05-0j 0.000250402-0j -0.287954-0j -0.000110269-0j 4.13057e-05-0j 0.000618052-0j -9.0967e-05-0j 0.462374-0j 4.17337e-05-0j -1.89475e-07-0j -2.90644e-05-0j -0.000992421-0j -1.83781e-05-0j 0.467166-0j -0.205724-0j -0.00100271-0j -1.51612e-05-0j 3.04245e-07-0j 0.000441558-0j -0.169714-0j -4.84407e-06-0j 3.07398e-07-0j -0.0542243-0j -1.35368e-07-0j 0.000364266-0j 0.000116385-0j -1.11673e-07-0j -3.56799e-08-0j 
0.000875074-0j -0.00848491-0j -0.00857284-0j 0.00963425-0j -0.0646593-0j -0.00606211-0j 0.0406853-0j -0.00353623-0j 0.0237331-0j 3.61194e-05-0j 0.0581767-0j -8.28713e-05-0j 0.00724877-0j 2.58049e-05-0j -0.133479-0j 3.68719e-05-0j 0.0415634-0j -0.0166314-0j 1.52089e-05-0j 0.00517877-0j 0.0593887-0j 0.0244966-0j 0.00739978-0j 0.00305226-0j 2.78902e-05-0j -0.000442999-0j 3.15053e-05-0j -0.000547132-0j -0.246948-0j -5.05889e-05-0j 0.000939437-0j -0.000500421-0j -5.11132e-05-0j -0.000618052-0j 2.25085e-05-0j 0.000803538-0j -0.278958-0j 1.85686e-05-0j 0.000992421-0j 0.000811865-0j 0.00106121-0j 5.93275e-06-0j 0.44793-0j -0.000357518-0j 0.00100271-0j -0.000441558-0j 0.452572-0j -0.000294937-0j -0.00170401-0j -0.199297-0j -0.000364266-0j -9.42338e-05-0j -0.00172167-0j -0.000116385-0j 0.000758163-0j -0.164412-0j -0.0525304-0j 0.000625452-0j 0.000199835-0j 
0.00015009-0j 0.0403744-0j 0.0405332-0j 0.000507263-0j -0.00697774-0j -1.05659e-05-0j 0.000145341-0j -0.000713291-0j 0.00981179-0j -0.0516192-0j -0.00298037-0j -0.0010434-0j -0.000755627-0j 0.108536-0j -6.02436e-05-0j -0.0494205-0j 0.0062666-0j -1.52738e-05-0j 0.0636999-0j 0.0015888-0j -0.00285342-0j 0.00367788-0j -0.000723441-0j 0.00093247-0j 0.000276099-0j 0.313229-0j 5.40371e-06-0j 2.81792e-05-0j -0.000548183-0j -0.000247405-0j -6.4943e-05-0j 0.00613041-0j -0.000248378-0j 5.51513e-07-0j -1.1362e-05-0j -0.280677-0j -1.07288e-05-0j 0.000347891-0j -2.52507e-05-0j -0.28178-0j -1.27104e-06-0j -0.000229837-0j 0.000491213-0j -0.01289-0j -2.535e-05-0j -1.15963e-06-0j 0.000493144-0j 0.394676-0j 5.81937e-05-0j 2.25587e-05-0j 3.55064e-05-0j -0.260746-0j 5.84225e-05-0j -2.34576e-05-0j 2.67252e-06-0j -0.000690723-0j 0.000456332-0j -8.18295e-05-0j 5.40614e-05-0j 
9.19111e-05-0j -0.000524362-0j -0.000526423-0j -0.059707-0j 4.48361e-05-0j 0.00124365-0j -9.33905e-07-0j 0.0839573-0j -6.30466e-05-0j 0.000218962-0j -0.00743996-0j 4.42599e-06-0j 3.22562e-06-0j -0.000460396-0j -0.000150388-0j 0.000209636-0j 0.0156435-0j 6.5201e-08-0j -0.000270207-0j -6.78227e-06-0j -0.00712306-0j 0.00918117-0j 3.08823e-06-0j -3.98053e-06-0j 0.000169075-0j 2.81792e-05-0j 3.30908e-06-0j 0.315437-0j -0.000677042-0j -0.000151504-0j 2.0756e-07-0j 5.51513e-07-0j -0.0001521-0j 0.00617362-0j -6.95776e-06-0j -2.52507e-05-0j -1.32508e-05-0j 0.000213039-0j -0.282655-0j -2.535e-05-0j 4.06228e-09-0j -0.000140746-0j 0.00060668-0j -1.15963e-06-0j -0.283767-0j -0.0129808-0j 0.000609065-0j 3.55064e-05-0j -1.85989e-07-0j 2.78615e-05-0j 0.397458-0j -2.34576e-05-0j -1.8672e-07-0j -0.262584-0j -8.54146e-09-0j -0.000853087-0j 0.000563599-0j 2.6153e-07-0j -1.72782e-07-0j 
-5.15642e-05-0j 0.0010052-0j 0.00101562-0j 5.938e-06-0j 0.0235165-0j -3.73634e-06-0j -0.0147972-0j -2.17953e-06-0j -0.0086317-0j -2.12836e-06-0j 7.20899e-05-0j 4.88324e-06-0j 0.0814082-0j -1.52057e-06-0j -0.000165401-0j -2.1727e-06-0j 5.15035e-05-0j -0.186781-0j -8.96192e-07-0j 0.0581608-0j 7.35917e-05-0j 3.0355e-05-0j 0.0831042-0j 0.0342787-0j -1.64345e-06-0j 5.24818e-05-0j -1.85647e-06-0j -1.67734e-07-0j -0.000939437-0j 2.98098e-06-0j -0.238999-0j 5.92846e-05-0j 3.01187e-06-0j -1.89475e-07-0j -1.32633e-06-0j -9.51947e-05-0j -0.00106121-0j -1.09416e-06-0j 3.04245e-07-0j -9.61812e-05-0j -0.269978-0j -3.4959e-07-0j 0.00170401-0j 4.23549e-05-0j 3.07398e-07-0j -1.35368e-07-0j 0.00172167-0j 3.4941e-05-0j 0.433511-0j -0.000758163-0j -1.11673e-07-0j 1.11638e-05-0j 0.438004-0j -3.56799e-08-0j -0.192882-0j -0.000625452-0j -0.000199835-0j -0.159119-0j -0.0508394-0j 
0.00984393-0j 0.0242419-0j 0.021991-0j -0.000295903-0j 0.00407035-0j 0.000713291-0j -0.00981179-0j -0.000821077-0j 0.0112945-0j 0.0301112-0j 0.00173855-0j -0.0684335-0j 0.000440782-0j 0.0215125-0j -0.00395118-0j 0.0275984-0j 0.00124208-0j -0.00100176-0j 0.0151796-0j 0.00031491-0j 0.00159347-0j 0.000876436-0j 0.000403999-0j 0.000222207-0j -0.000161058-0j -0.182717-0j 0.000354412-0j -1.64379e-05-0j 0.000319774-0j -0.000148549-0j 3.78834e-05-0j 0.402074-0j -0.000134756-0j 3.6172e-05-0j 0.000253204-0j -0.168526-0j -0.00070367-0j -0.000412195-0j -1.51612e-05-0j -0.152878-0j -8.33634e-05-0j 0.000436343-0j 0.000294937-0j 0.287255-0j -1.37535e-05-0j 2.58425e-05-0j 0.000267552-0j -0.467628-0j 3.4941e-05-0j -0.000502726-0j -4.20695e-05-0j 0.495023-0j 3.16968e-05-0j 4.45341e-05-0j -5.95577e-05-0j 0.000818397-0j -0.000866341-0j 9.6955e-05-0j -0.000102635-0j 
-1.87613e-05-0j -0.0102006-0j -0.0102407-0j 0.00606211-0j -0.0406853-0j -0.00012627-0j 0.000847446-0j -0.00852428-0j 0.0572099-0j -4.46955e-05-0j -0.0719899-0j -9.03451e-07-0j -0.00896989-0j 9.39779e-05-0j -0.00145517-0j -4.27917e-05-0j 0.151368-0j -0.000181313-0j 5.51558e-05-0j 0.0188603-0j -0.0689236-0j 0.0888381-0j -0.00858783-0j 0.0110692-0j -3.45124e-05-0j 0.000548183-0j -6.75463e-07-0j 0.000677042-0j 0.305583-0j 3.09257e-05-0j -0.00116249-0j 1.07288e-05-0j 3.10472e-05-0j 1.32508e-05-0j 1.42025e-06-0j -0.000491213-0j 0.00598076-0j -4.34863e-05-0j -0.00060668-0j -0.000493144-0j -2.27519e-05-0j 2.87296e-05-0j -0.273825-0j -2.25587e-05-0j -0.000609065-0j -2.78615e-05-0j -0.274902-0j 0.000690723-0j 0.00104168-0j -0.0125753-0j 0.000853087-0j -0.000456332-0j 0.00104578-0j -0.000563599-0j 4.78387e-05-0j 0.385041-0j -0.254381-0j -0.00146477-0j 0.000967711-0j 
0.00602815-0j -0.00031484-0j -0.000285608-0j 0.0348291-0j -2.61544e-05-0j -0.0839573-0j 6.30466e-05-0j 0.0966443-0j -7.25737e-05-0j -0.000127728-0j 0.00433998-0j 0.000290286-0j -1.88161e-06-0j -9.12533e-05-0j -0.00986343-0j -0.000117069-0j 0.00310063-0j 4.27632e-06-0j -6.43902e-05-0j -1.34429e-06-0j 0.00397781-0j 0.00218787-0j -1.72459e-06-0j -9.48557e-07-0j -9.86273e-05-0j -1.64379e-05-0j 0.000217032-0j -0.184005-0j 0.000394941-0j -9.0967e-05-0j -1.21076e-07-0j 3.6172e-05-0j -8.25208e-05-0j 0.404908-0j 0.000155055-0j -1.51612e-05-0j -0.000869078-0j -0.000252417-0j -0.169714-0j -1.37535e-05-0j 2.66432e-07-0j 0.000267204-0j 0.000364266-0j 2.58425e-05-0j -0.153956-0j 0.28928-0j 0.000330444-0j -4.20695e-05-0j -1.11673e-07-0j -0.000620899-0j -0.470924-0j 4.45341e-05-0j -1.01304e-07-0j 0.498513-0j 1.90348e-07-0j 0.00101077-0j -0.00106999-0j -3.09871e-07-0j 3.28024e-07-0j 
1.10552e-06-0j 0.00120846-0j 0.00121322-0j 3.73634e-06-0j 0.0147972-0j -7.78254e-08-0j -0.000308215-0j -5.25388e-06-0j -0.0208072-0j 2.63371e-06-0j -8.92066e-05-0j 5.32364e-08-0j -0.100738-0j -5.5377e-06-0j -1.80318e-06-0j 2.52153e-06-0j 0.000187568-0j -0.00203626-0j -3.25009e-06-0j 0.211813-0j -8.5407e-05-0j 0.000110084-0j -0.0964467-0j 0.124314-0j 2.03366e-06-0j -6.4943e-05-0j 3.9802e-08-0j 2.0756e-07-0j 0.00116249-0j -1.82231e-06-0j 0.295747-0j -1.27104e-06-0j -1.82948e-06-0j 4.06228e-09-0j -8.36889e-08-0j 5.81937e-05-0j 2.27519e-05-0j 2.56246e-06-0j -1.85989e-07-0j 5.84225e-05-0j 0.00578824-0j -1.69291e-06-0j -0.00104168-0j 2.67252e-06-0j -1.8672e-07-0j -8.54146e-09-0j -0.00104578-0j -8.18295e-05-0j -0.265011-0j -4.78387e-05-0j 2.6153e-07-0j 5.40614e-05-0j -0.266053-0j -1.72782e-07-0j -0.0121705-0j 0.00146477-0j -0.000967711-0j 0.372647-0j -0.246192-0j 
-0.00123049-0j -0.00612473-0j -0.00555605-0j -0.00353623-0j 0.0237331-0j 0.00852428-0j -0.0572099-0j -0.0098124-0j 0.0658549-0j 2.60724e-05-0j 0.0419941-0j -5.92545e-05-0j 0.00523244-0j 1.8627e-05-0j -0.0954398-0j 2.38967e-05-0j 0.0300021-0j -0.0118917-0j 1.31436e-05-0j 0.00373823-0j 0.0384898-0j 0.0211701-0j 0.0047958-0j 0.00263777-0j 2.01322e-05-0j -0.000319774-0j -4.43015e-05-0j -0.000394941-0j -0.178257-0j 1.85686e-05-0j 0.000678121-0j 0.00070367-0j 1.68445e-05-0j 0.000869078-0j -3.16505e-05-0j -0.000294937-0j 0.392259-0j 5.15244e-05-0j -0.000364266-0j -0.000267552-0j -0.00149222-0j -5.45429e-05-0j -0.164412-0j 0.000502726-0j -0.000330444-0j 0.000620899-0j -0.149146-0j -0.000818397-0j 0.000625452-0j 0.280243-0j -0.00101077-0j 0.000866341-0j 0.000567379-0j 0.00106999-0j -0.0010661-0j -0.456213-0j 0.482939-0j 0.00173552-0j -0.00183719-0j 
