-0.0487919+0.080201j -0.0431538+0.0521028j -0.103551+0.0241406j -0.083209+0.00201138j 0.035097-0.0295712j 0.0481163-0.0450106j -0.0673308+0.00379325j -0.0827894-0.0317256j -0.00699665-0.0189755j -0.0198842+0.0294019j 0.0423591-0.0321256j -0.0259974+0.0378122j -0.0694691-0.0566584j 0.0323492+0.00774634j -0.00704361+0.0102208j -0.00988847-0.00206224j 0.0112555+0.0268584j -0.0257156+0.0330058j 0.0266515-0.00329533j 0.0263373+0.0386496j 0.00855258+0.0196419j 0.041741-0.00896305j -0.0235108-0.00313705j -0.0372417+0.0118713j -0.00305721-0.045847j 0.0101466+0.0138836j -0.0373302-0.00263772j -0.00925734-0.0170237j -0.00243517+0.0163063j 0.00992254+0.0212862j 0.0104385-0.0433906j 0.000162517-0.0277094j 0.0465728+0.0152214j -0.022122+0.00285695j 0.0402267-0.0707512j -0.031433+0.00142739j 0.0298165+0.0130317j -0.0540294+0.0070752j 0.0328845+0.0252245j -0.035596+0.166008j 0.153559+0.155574j 0.201495-0.208492j 0.0180981+0.203574j 0.273138-0.127921j 0.0492562+0.0113001j -0.0301285-0.141035j 0.0338753-0.0140209j -0.0683083+0.0693062j 0.0420191+0.0150891j 0.065544+0.0792268j 0.0237991+0.00760903j 0.0021397-0.0158594j 0.0402942-0.0416828j -0.00740848-0.00338158j -0.0254559-0.0265259j 0.0245335+0.050054j -0.00062229+0.0131593j 0.00997719+0.0236082j 0.00428763-0.00279728j -0.0214846+0.00814573j -0.0186015-0.0147049j -0.00269921-0.00583521j -0.0159815+0.000818816j -0.00750992+0.000350087j -0.00896576-0.0132485j 0.0180765+0.00225831j -0.00916627-0.0112726j -0.00937878-1.2753e-05j 0.00757335+0.013529j 0.014592-0.0129568j 0.000364521-0.0122418j 0.000219287+0.0173572j 0.0173606-0.000764717j 0.00414538+0.0173489j -0.011839-0.00659037j 0.00218719-0.012496j -0.0141368-0.0080776j 4.649e-05+0.00727178j 0.0118218-0.0157073j -0.009482-0.0153979j -0.0126748-0.00370936j -0.00609638+0.00299326j -0.0119782+0.00736719j 0.00421168+0.0146151j -0.000287507+0.00607797j -0.0169611+0.0239529j 0.0233315-0.0119063j 0.00293912+0.0162361j 0.0032728+8.21628e-05j -0.00318498-0.0274584j -0.0467841+0.0479397j -0.0477333-0.0424772j 0.0604821+0.034991j -0.0101325+0.0172552j 0.0767817-0.119743j 0.0479846+0.0556806j 0.0113334+0.00572995j -0.0847725-0.0529507j 
-0.0224787-0.0285101j -0.0389769-0.0131466j -0.0300067-0.0278779j -0.0244568-0.0424564j -0.00451229-0.0408763j -0.037203-0.0412256j -0.0384911-0.0280391j -0.00191649+0.0531146j -0.0677158+0.0156644j 0.0543727+0.0397325j -0.00196534-0.0182225j 0.00824025+0.0281698j -0.0126968+0.0413873j 0.026843-0.0165347j -0.0219209+0.0247117j -0.0111629-0.0444029j -0.0154316-0.0338568j 0.0197979+0.0254547j -0.0449429+0.00103444j 0.0336437-0.0108378j 0.110862+0.0501583j 0.0275531-0.0413149j -0.072149-0.020226j 0.014161+0.00999287j -0.0729595+0.0197701j 0.0635285-0.0784282j 0.111233+0.172038j 0.0612946+0.0683861j 0.0122891-0.0720809j 0.143529-0.0787307j 0.0896687+0.230229j 0.104006+0.0437979j 0.144879-0.0439946j 0.0812977-0.028545j -0.0373242-0.0774533j 0.023221-0.0577693j -0.171508+0.0103551j 0.0265144-0.0147025j 0.0740977-0.0543838j -0.096145+0.139145j 0.0213546-0.151815j 0.105544-0.00370335j 0.0479774-0.168165j 0.143614+0.0320862j -0.0739493+0.100053j 0.0836966+0.148553j 0.0399779-0.0102721j 0.030163-0.026593j -0.00197603-0.0557859j -0.0501018-0.0404514j 0.00481835-0.0326579j -0.0282543-0.00963201j -0.00427766-0.00733165j 0.00356019+0.0239267j 0.0114056+0.0142817j -0.00626277-0.0175326j -0.00971029-0.000402115j -0.00155759-0.000480458j 0.000330544-0.00839246j 0.00347294+0.00464816j 0.00527315+0.00123738j 0.0142993+0.0239472j 0.000266953-0.0025699j 0.00871396+0.0239689j 0.00679018+8.9111e-05j 0.00268837-0.000527742j -0.0156117+0.000139056j 0.0177495+0.00800848j 0.0185474-0.015292j 0.0219435+0.00977917j 0.00957324-0.0101814j 0.000770236-0.00288776j -0.0107705-0.0343953j 0.0138376+0.0119585j -0.000601259-0.0176023j -0.025972-0.0117868j 0.0014545-0.00964415j -0.0275564-0.0109291j -0.0233233+0.0268332j 0.00254082-0.0164792j 0.0162014+0.0110973j -0.015555+0.0143064j -0.00491117-0.0220157j -0.00674732+0.00556272j 0.000267724+0.0103775j -0.0273653-0.0106999j 0.0296377-0.0413435j 0.0125189-0.000475423j -0.0162171-0.00431741j -0.00642034+0.0266599j -0.0124088-0.00685394j 0.00677196+0.00131345j -0.00583987-0.0117093j -0.00219986+0.00658828j 0.0084441+0.00897736j 0.0110719-0.0227953j 0.0278525-0.0487644j 0.0473268+0.0475219j 
0.0576597+0.00783071j -0.0275151-0.0156484j -0.0576107-0.0275642j -0.0322664-0.00693052j -0.0120891+0.00144377j -0.0509196-0.0141586j -0.0015293-0.0719548j 0.0157599+0.0249038j 0.0807221-0.0112609j 0.0613929+0.0454742j -0.0192432+0.00614387j -0.027148+0.0203852j 0.0225046+0.000268775j -0.005818+0.0408019j -0.045439+0.00981188j -0.00961425+0.00525174j 0.0305036-0.124253j 0.0363748-0.00687023j -0.0291596+0.0181466j 0.0579135-0.0322861j 0.089462+0.035258j 0.00775637+0.0126976j 0.0105187-0.0701098j 0.068234+0.0113374j 0.00954557-0.0876493j 0.0129182-0.0696618j 0.108052-0.075967j -0.0368718-0.0471979j 0.0659177+0.14191j -0.166569-0.112246j 0.189486+0.0775727j 0.052079-0.0442688j -0.0533592-0.0721062j -0.0775968-0.0423886j 0.169043+0.0803257j 0.0319868-0.0602281j 0.128987-0.021892j 0.173188-0.10764j -0.074215-0.0106166j 0.136037-0.120315j 0.0348233+0.176739j -0.180928+0.0962538j 0.138604+0.103003j -0.064639+0.146706j -0.0928923-0.0530746j -0.0428315+0.0694812j 0.0217167+0.0556754j 0.0787105-0.00522253j 0.0213691+0.0129255j -0.0274285-0.0357272j -0.0229938+0.0277234j -0.0295527-0.0239833j -0.0369684-0.00241037j -0.00108569-0.000524605j 0.020235-0.00570106j 0.00952429-0.0281908j 0.0106106-0.0183646j 0.0157002-0.0150496j 0.012134-0.000498737j 0.00466188-0.0103865j 0.0173472+0.0114287j 0.00745029+0.00636956j 0.00581717-0.0164342j 0.00263049+0.00709159j 0.0102303+0.0148595j -0.0322467-0.00128599j -0.00480852-0.0112168j 0.000973158-0.00647619j 0.00881346+0.00171889j -0.00733054+0.00372668j -0.0101678-0.000614713j 0.0133963-0.00539788j -0.00313788-0.00500702j 0.00695189+0.0119946j -0.00162683+0.00510314j -0.00601726-0.00958702j 0.00953911-0.00369071j -0.000662829-0.00649538j -0.0203706+0.0166327j -0.000230495+0.004115j 0.0144122-0.00265831j 0.0229032+0.0331521j -0.029001+0.00133886j 0.00404052+0.0129652j 0.00737642-0.0149653j 0.00302507-0.0310639j -0.00319098-0.0106093j -0.00219825-0.00415301j 0.00322587-0.00881231j -0.0208216-0.013755j 0.00734106-0.00894081j 0.00658585-0.0153227j -0.00345979-0.00799547j -0.00823987-0.0163618j -0.0329775+0.00734824j -0.00151611+0.0282492j 0.0388818+0.00915763j 0.00484887+0.0312507j 
0.0238554-0.00158935j -0.00264099+0.0148807j 0.0697671-0.0147771j -0.0561638-0.0377764j 0.0389159+0.00665194j 0.0441251+0.0291365j 0.00280354+0.0338175j -0.0393874-0.0861544j 0.0557529-0.0216006j 0.0268837+0.0283211j 0.0137357+0.010417j 0.0610382+0.0620952j -0.0824877+0.0141668j -0.0183651-0.0488859j 0.0714244-0.0463396j 0.0438201-0.0289669j 0.00464301+0.063916j -0.000256358-0.0993235j -0.0793658+0.0795953j -0.0276725-0.0481075j -0.019383+0.0419152j -0.00809572-0.0506873j -0.0747743-0.0396014j -0.0482665+0.0475823j -0.0141312+0.0281196j 0.056051-0.0198148j -0.0151297+0.00124399j -0.0880461+0.00174809j 0.0781966+0.0220229j -0.105312+0.049747j -0.0135097-0.0630232j -0.0442782-0.240574j -0.125823-0.0593201j -0.102809+0.102328j 0.0804844-0.1014j 0.0238708-0.0521906j -0.0850629-0.0500113j 0.071516-0.0024506j 0.0568585+0.14786j -0.105066+0.140576j 0.0392624-0.124172j -0.0381105-0.0771291j -0.0159756-0.0524873j -0.108858-0.0170129j -0.00775687+0.016334j 0.00445822-0.0796059j -0.0492675-0.0205524j -0.0155974+0.0360017j 0.0237388+0.0316002j 0.0443838+0.0568606j 0.00401006+0.013268j -0.00530495-0.00824962j -0.0202818-0.0179225j -0.0137582-0.025615j -0.0111936+0.00339909j 0.00231602+0.0164352j 0.00222742-0.0060469j -0.0123275+0.00312112j -0.0256766+0.00741569j -0.00222806-0.00828873j 0.00907229-0.00107171j 0.00740562-0.00671198j 0.0138775+0.0143918j -0.0219184-0.000736304j 0.00388501+0.00460954j -0.00582673+0.00344046j 0.0102548-0.00366323j -0.0225378+0.00857667j -0.00845891+0.00897187j -0.0315855+0.0190124j -0.0115803-0.0205633j -0.00670561+0.00292949j 0.00341907+0.00985484j 0.00626471+0.00371082j -0.011947-0.0106362j -0.0149078+0.0146393j -0.0034194+0.00193228j 0.0202318+0.0289487j -0.0116086+0.00318426j 0.00911257-0.0197393j -0.0230768+0.010813j 0.0105819-0.0113619j 0.0206458+0.00982488j 0.0129345+0.0220502j -0.00884528+0.0135721j 0.00583151-0.0108854j -0.00318814-0.00764953j 0.0156117+0.0151767j 0.00797864+0.0150653j 0.0159817+0.00180375j 0.00631789+0.0207474j 0.00724526+0.000419754j -0.00090844+0.00363014j 0.0122396-2.72105e-05j -0.00609083-0.0278543j -0.0356137-0.0116751j -0.0027051+0.0140151j -0.0181091-0.0163784j 
0.0239521-0.00378836j -0.00951239+0.0122103j 0.0829589+0.0235037j -0.042697-0.0215109j -0.00564399+0.0844342j -0.00692163+0.0701919j 0.0283559-0.0206942j 0.014425-0.0796789j 0.0251486+0.0125728j -0.0207307+0.0871857j 0.0358595-0.0177598j 0.0117259+0.0189222j -0.0791413-0.040128j 0.0425389-0.0501867j -0.0371366+0.0381537j -0.0594061+0.0072962j 0.0299044-0.0262076j 0.0908051-0.04918j 0.00695481-0.045075j 0.0725879-0.00119363j 0.0352382+0.0135849j -0.0259602-0.0488675j 0.0445893-0.0745884j 0.083642-0.0537913j 0.0173567-0.0968611j -0.0958207-0.0174329j -0.118618-0.0147362j 0.104416-0.00192742j -0.180306+0.0442132j 0.0143621+0.0321533j 0.0230527-0.110056j -0.0563466+0.272946j 0.0554438+0.131114j -0.0289537-0.0677139j -0.0567541+0.0974589j -0.228812+0.0321324j 0.0262051-0.0259479j -0.0801813+0.0444323j -0.0632409-0.2066j -0.0904868+0.0182772j 0.195041-0.00301473j -0.0398144+0.0367689j 0.0796054-0.061197j -0.076424-0.0180165j -0.0437406-0.0111632j -0.0364718-0.00334254j 0.0134222-0.0175968j 0.0287661-0.0338584j -0.0186434+0.0263451j -0.00254219+0.0482425j 0.0107388-0.00264859j 0.00812963-0.026895j -0.0112754-0.00557492j -0.013976-0.00685105j -0.00927096-0.0155492j 0.0198199+0.00522744j -0.0041713+0.00355507j 0.0195498-0.000327904j 0.0138081-0.00496136j 0.0129985+0.00312708j 0.010336-0.00179723j -0.00518248+0.00258668j -0.0137809-0.00400498j 0.0075835-0.0148429j 0.00196122-0.0232692j -0.00335452+0.0153574j -0.000770344-0.00336499j -0.00529386-0.00143813j 0.000558727-0.0139876j -0.0115783+0.00593897j -0.00279192+0.0223296j 0.00848384-0.0168481j -0.0179534+0.00355103j -0.0113167-0.0188054j 0.0237536-0.00699815j -0.00351035-0.0387976j 0.00101379-0.00250103j 0.0137565+0.0236659j -0.0140065-0.0206639j -0.0216101+0.00674057j -0.0303423-0.0244464j 0.00625709+0.0212812j -0.01369+0.00121758j 0.0173214-0.0199492j -0.0138152+0.0151189j 0.00871985-0.000798315j 0.00237289+0.00622587j -0.00259447+0.0100922j 0.0123991+0.0203418j 0.0118299-0.0243894j 0.0208117-0.00837344j -0.00174769+0.00746707j 0.0282904-0.00523665j -0.0236637-0.02447j -0.0259505+0.0117729j 0.0113123+0.00373087j 0.0026744-0.00230948j -0.00440217-0.00935436j 
-0.0120488-4.7835e-05j 0.00589973-0.00861599j -0.0236093-0.0290559j 0.00510502-0.01199j 0.00343411-0.00165521j -0.0264431-0.0428084j -0.00275721-0.0698231j -0.00994773+0.0238733j -0.0507506+0.000551727j -0.0216023+0.076551j -0.0258822-0.0359045j -0.0152877-0.0181857j -0.0195319-0.0745107j 0.0727028+0.032139j -0.00727068+0.0422328j 0.0199978-0.00196285j 0.00184068+0.00883443j -0.00351178-0.00295576j 0.077398-0.00825412j 0.0105412-0.0104453j -0.0232708-0.0453952j 0.108163-0.0098641j -0.0360865+0.0934135j -0.111631+0.089284j -0.0314659+0.101079j 0.113354-0.00236918j -0.0827802+0.051453j -0.10317-0.112684j 0.0398934+0.0492147j 0.0968099+0.0439271j -0.0833452+0.0951678j 0.0185471-0.039071j -0.0689386+0.204117j -0.0492316+0.0304166j 0.0956839+0.0708595j -0.0374692-0.0725228j -0.152085+0.0512425j 0.0891128+0.246529j -0.249098-0.0328224j -0.187347-0.161143j -0.0221263+0.00572168j -0.0859161-0.0427958j 0.0244758+0.0458696j -0.0698277+0.0247482j 0.00465163+0.0632507j 0.035424+0.0357555j 0.00328392-0.0265192j 0.00615389-0.0119507j -0.0424257+0.00716496j -0.0152446+0.00645778j -0.000708615-0.0170014j 0.0108098-0.0163068j 0.0188217-0.00810939j 0.0211919+0.00591004j -0.00418762-0.0106996j -0.0127222+0.0144528j -0.0045691+0.0179778j 0.000412926+0.0168043j -0.00782795-0.00893113j 0.00162252-0.00311574j -0.0157352-0.00451098j -0.016904+0.00110477j 0.0121943-0.00458405j 0.00774365+0.00401126j -0.0114948-0.0057223j 0.00825843-0.0129234j -0.00335371-0.0102478j -0.0103478+0.000122896j 0.00446257+0.0106444j -0.009129+0.00530072j -0.0105516+0.00337194j -0.00921588-0.00714201j 0.0130799+0.0363986j -0.00601262+0.0239759j 0.00583376+0.000400103j -0.00202499+0.00792146j -0.0288928+0.022508j -0.0190423-0.00555363j -0.0365542-0.0159125j 0.0146728-0.0282262j 0.0015975+0.0154623j -0.00449908-0.00320759j -0.00442051+0.0156634j -0.00544749+0.013256j -0.0241399-0.0193487j 0.0240798-0.0227133j 0.0196849+0.0216297j -0.0249312+0.0176966j 0.0269572-0.0015849j -0.00343235+0.00515161j 0.0115227-0.000453941j 0.0144049-0.0087003j -0.0112078-0.0118069j -0.0180642-0.00192048j -0.00756712-0.00418349j -0.01101+0.00673144j -0.0220481-0.0169361j 0.0139576-0.01512j 
-0.0122309-0.00222741j 0.0168631-0.00433126j -0.0278255-0.0071756j 0.0135299-0.00558826j -0.0144802+0.00451737j -0.0140105-0.0386853j -0.050248+0.0285213j 0.0436926-0.0535784j -0.0336834-0.100817j 0.0197528+0.0156802j -0.000757817-0.0655565j -0.0510902-0.0218719j -0.0530535+0.0574062j 0.0382029-0.0261998j -0.00403835-0.0138806j 0.0102713+0.0634814j 0.014451-0.0423235j -0.00538023-0.034155j 0.00977694+0.0155669j -0.0339296-0.0163368j -0.0453204-0.0591484j -0.112222+0.0269322j 0.0821127+0.00348194j -0.0314126-0.0346444j 0.0215042-0.0960072j -0.0385774-0.0483763j -0.204979-0.0202812j -0.0278008-0.0251252j 0.0560579+0.162023j -0.010376-0.0154709j -0.0456426-0.109154j -0.0478938+0.118033j 0.0748392+0.0960055j 0.0655748+0.0849577j 0.0154251+0.0389808j -0.204693+0.13592j -0.137187+0.202994j 0.233166-0.0538377j 0.113982+0.274613j 0.0472037+0.0483846j -0.0494565+0.0563578j -0.0326017-0.12869j 0.062259-0.0255554j 0.0382296+0.0369393j 0.0563635+0.0573093j -0.00514568-0.0316578j -0.0243695+0.0101294j 0.00141563+0.0239198j 0.00451997-0.0147353j -0.000404349+0.0279964j 0.00391106+0.0278114j 0.00577727-0.0170319j 0.0141419+0.00765348j -0.000405901+0.0216217j -0.0289762-0.00108349j -0.00401662-0.00173617j -0.00282606+0.00577097j 0.0138011-0.000219856j -0.0015623+0.00166234j 0.000473932-0.00281634j 0.00282031-0.0114486j 0.0131948-0.00786517j 0.00342281+0.0219474j -0.00738772-0.00885321j -0.00442418+0.000318131j -0.0182082-0.00647025j -0.00853677+0.0147003j 0.0150403+0.00181076j -0.00150391-0.0230866j -0.0103623-0.00793598j -0.00848678-0.00680853j -0.00373977-0.00793127j 0.00826402+0.0111753j 0.00565964+0.00269436j 0.0112146-0.00705154j 0.018896-0.013811j -0.014686+0.0166415j 0.00555458+0.00269472j -0.000712702+0.00197418j -0.0137393-0.00247798j 0.00551498-0.00567623j -0.0128436+0.00315797j 0.00614386+0.0178499j 0.00265583-0.0101305j 0.00889131+0.025336j -0.0145976-0.0271603j 0.00776265-0.0228802j 0.0408888-0.00129701j -0.00461459-0.0166513j -0.0106083+0.00538278j 0.00761861+0.0164979j -0.00190916-0.0193852j -0.0108832+0.00367409j 0.0102025-0.00650731j -0.00342748+0.000878318j 0.00563148-0.00558996j -0.0110724-0.00243142j -0.0094159-0.00545362j 
0.0042661-0.00522951j 0.00267316+0.0158499j 0.0110948+0.0472191j -0.0235601-0.0186235j -0.0620382+0.0603714j 0.0119309+0.0474752j -0.00922337-0.0208013j 0.0271804-0.0573423j 0.0166896-0.0317746j -0.0142972-0.00329742j -0.0366294+0.0207067j -0.0398927+0.0152343j -0.0232915+0.0473987j -0.0840872+0.0218248j -0.0299546+0.029572j -0.139867-0.00262813j -0.0345646-0.0415209j 0.0321251+0.110991j 0.261683+0.00629309j 0.00563423-0.11063j 0.0590932-0.00156991j -0.094211-0.0169873j -0.00585208+0.096129j 0.00306746+0.0348386j 0.0683878+0.0609687j 0.0688269+0.0551677j 0.0474218-0.114928j 0.00258984+0.0423499j 0.218774+0.117077j -0.0653292-0.0134527j -0.186703+0.177885j -0.126913-0.147494j 0.0857598+0.0302196j 0.00727531+0.0283241j -0.132066-0.0459178j -0.0414136-0.0841499j -0.0489097+0.123719j -0.0427436+0.0246548j 0.0783502-0.0810305j -0.0255075+0.137552j 0.0490272-0.0256466j 0.0697764+0.0440143j 0.0320726-0.0502063j 0.0240397-0.0128667j -0.0185967-0.016929j -0.0566486-0.0231342j 0.026687-0.0188845j -0.00618844-0.00784945j 0.0248686+0.0331025j -0.0087908+0.0379568j 0.0091057+0.0198013j 0.00245006-0.00364989j -0.00739377+0.00494493j -0.00218944-0.0184018j 0.00639386+0.00182129j 0.0173342-0.00357778j 0.0128971+0.000783983j 0.00782016-0.00248491j 0.00650362+0.00169136j -0.0530347-0.00124925j -0.00695047+0.0145658j -0.00964018-0.00276857j -0.0195329-0.00427972j 0.0230971-0.0162401j -0.00707152-0.00702247j -0.00460425+0.00353608j -0.00852517+0.00857981j -0.0117146-0.00595961j -0.00360805+0.00392724j -0.0136841-0.0192402j -0.0233627-0.000797615j 0.00450204-0.0296426j 0.00603267-0.00962962j 0.0147272+0.016954j -0.00735052+0.0289873j 0.0254955-0.00501158j 0.0253105+0.0098951j 0.0190089+0.00956474j -0.0132979-0.00370092j -0.00833376+0.00871522j -8.46626e-06+0.0302003j 0.00992605-0.00585192j -0.0119267-0.0122155j 0.0183063+0.0317491j 0.0140857-0.0108754j 0.000882513-0.00464187j -0.00718949-0.00468374j -0.00137052+0.00182635j 0.00234907-0.00732394j -0.00155331-0.00476968j -0.000105322-0.00710533j 0.000598592-0.00151944j -0.00503219-0.00158451j -0.00989725+0.0110355j 0.00903367+0.00677347j 0.0161452-0.00871834j 0.00666719+0.00514926j -0.0151008-0.00922815j 
-0.00214699-0.0155511j -0.052235-0.00555417j -0.0272435-0.024113j -0.0274657-0.0116468j 0.0355532+0.0329708j 0.00722498-0.0532933j -0.0137214-0.0255625j -0.0187954+0.00753734j 0.0342471+0.0282467j 0.0252254+0.00387281j 0.039553+0.0493058j 0.0252975+0.042574j 0.005089-0.0337151j 0.042849+0.0066083j 0.027323+0.00450312j 0.0161443-0.00541972j 0.00413731+0.0836071j -0.00653448+0.182821j 0.0660946-0.103041j 0.0124183+0.0130207j 0.0248062-0.0588261j -0.0693289-0.0971894j 0.0737206-0.0130757j 0.0348041+0.0638186j 0.00507873+0.108544j 0.0204561+0.102233j 0.0526659+0.049641j -0.0882109+0.0385251j 0.0182845-0.218857j -0.0661482-0.0139181j 0.122103+0.193899j 0.0329851-0.0423739j -0.0185848+0.00340943j -0.0341011+0.0886968j 0.121024-0.160065j 0.0399793-0.000180672j 0.0856583+0.0169696j 0.0820864+0.0596231j -0.115646+0.0172433j -0.016947-0.194502j -0.0223671-0.0437156j -0.0185055-0.0241834j -0.0279362-0.0389957j 0.0185372-0.0166865j -0.0305087+0.0405839j 0.0625645+0.0599596j 0.0142738-0.0495792j -0.00391206-0.00422921j -0.0112908-0.00551095j -0.00958221-0.0085775j -0.00444412-0.0332039j -0.00303754+0.0090084j -0.0102226+0.00513212j -0.00226364-0.013477j 0.00650229+0.00238826j -0.0236167+0.00787127j 0.00387415+0.00829589j -0.0160228+0.0188073j -0.00395056-0.00328208j -0.0111106+0.0190086j -0.00657768+0.0158138j 0.0067002+0.00538809j -0.013595+0.00959039j 0.0193447+0.0110511j -0.0089671-0.00896775j -0.0251289-0.00332964j -0.0118204+0.00358152j 0.00405702+0.0185238j -0.0260072-0.000815747j -0.0154031-0.00924753j -0.00446217-0.0076747j -0.00584224+0.00431029j -0.0146103+0.00601923j 0.0182032-0.00234778j 0.0198521+0.00906974j 0.0125672-0.00343309j 0.00608939-0.0106314j 0.00544871+0.0262966j 0.00234691+0.0097494j -0.0297772+0.0360586j -0.00250669-0.00944082j -0.0176483-0.00689122j 0.00557056-0.00596796j 0.00970303-0.0307878j -0.0168739+0.00325517j -0.00685054-0.017158j 0.00559634-0.00219497j 0.00513004+0.00824284j -0.00364821-0.0129353j -0.00593473+0.00557854j -0.00811723-0.00261649j 0.0030023+0.00913473j 0.00413005-0.0093075j -0.00879564-0.00734263j 0.0100649-0.00116351j -0.00687196-0.0200111j 0.00577523-0.0166817j 0.0228801+0.0140422j 
0.0139203+0.0111214j -0.0152582+0.00525649j 0.0489525+0.0430569j -0.0184527+0.0302566j -0.00989802+0.10037j -0.00982003-0.0377584j 0.0525149+0.0428556j 4.04534e-05+0.0190406j 0.00728223+0.039042j -0.0264644+0.0310739j 0.00540555+0.0473648j -0.0970979-0.15996j 0.0598264+0.025757j -0.0318187-0.0388971j 0.0606198-0.00385303j -0.000119714-0.100582j -0.0163715+0.0454308j -0.067334-0.0268357j -0.0486902+0.0146367j -0.157622+0.143876j 0.0257977-0.0166063j 0.0668948+0.0605976j -0.0639788-0.0817518j -0.0591297+0.0851553j 0.182434+0.0518345j -0.0625067+0.00280624j 0.139094-0.17586j 0.0156421+0.0681806j -0.137751+0.0370481j 0.159058+0.0026424j -0.147136-0.0789616j -0.0260751-0.0286911j -0.0582457-0.020855j 0.0508248+0.018279j -0.0436077+0.114174j 0.154379+0.0153116j 7.45674e-05+0.00291232j 0.205865+0.20722j -0.0410801+0.0872216j 0.0286169+0.00824951j 0.0238953-0.146858j 0.11622+0.128412j 0.014234-0.0429582j 0.0225357+0.0328555j -0.0434532-0.0614484j -0.0120851-0.0103952j 0.0323717-0.0564444j -0.00135721+0.0203577j -0.0106932+0.0224384j -0.00829207-0.0251142j 0.0110302-0.0309202j 0.00409876-0.00758166j 0.0114176+0.0394731j 0.00357254+0.00388849j 0.00271125+0.00986474j 0.00139824-0.0086347j 0.0042124+0.0014642j -0.0039289+0.0119819j -0.00657454+0.00103909j -0.00244107-0.0129952j 0.00444468+0.00963018j 0.0128398-0.00628691j -0.0104891+0.00543472j 0.0161906-0.0176285j -0.00125026-0.0116612j 0.000264858+0.00281391j -0.0251316-0.0101819j -0.00730314-0.0202599j 0.0123222-0.0154747j 0.00245292-0.0168722j 0.0172743+0.00817713j -0.0240665-0.0259211j 0.00773617-0.00472151j -0.0341685-0.020521j -0.0202221+0.013419j -0.00390479+0.0199302j 0.0177469+0.00422041j 0.0264342-0.00761227j 0.0124894+0.00783925j -0.00073512+0.0107205j -0.006373-0.00618299j -0.00994148-0.00137648j -0.0312257-0.0154474j -0.0183268-0.0102412j -0.000146434+0.00135121j 0.0101052-0.0175502j 0.0223001-0.0150973j 0.0223089+0.0130504j 0.000684216-0.0130689j -0.00145842+0.00655868j -0.0068806+0.00308505j 0.00834411+0.00945085j -0.00740673-0.0139933j -0.0132027+0.00423079j 0.0223949+0.0306379j 0.0239373-0.0193539j 0.00559632+0.0202705j -0.00868061-0.00576679j 
0.0220525+0.00108721j 0.0448847-0.0105006j -0.0488545-0.0294109j 0.0718882+0.017939j 0.00388397-0.0334647j -0.0170215-0.0343248j -0.0188458-0.03693j 0.00319245-0.0185096j -0.091279-0.0862669j 0.0393492+0.0517185j -0.0408108+0.00367429j 0.109137-0.049848j 0.0307552-0.0457937j -0.0258475+0.00105596j -0.0112662-0.101684j -0.0393032+0.0354865j 0.0766829-0.0276081j 0.0503921-0.0842983j 0.0546702-0.0075832j -0.0677617+0.0279972j 0.00236154-0.0466541j -0.0381971+0.0555787j 0.069244-0.14073j -0.00674559-0.0519589j -0.0575915+0.0197891j 0.0478662+0.0343964j -0.243071-0.0314773j 0.0541878+0.0244293j 0.0657227-0.0434917j 0.0137521+0.0392735j 0.0617362+0.0409262j 0.0195483-0.0231195j -0.0582578-0.096944j -0.0219125+0.00242786j -0.207238+0.0986751j 0.14403-0.171605j -0.221992-0.00163364j 0.033396+0.0879792j 0.0305316-0.041276j -0.0961252+0.0287031j -0.0374724+0.036633j -0.00166012-0.0199562j 0.0839081+0.0918921j -0.0245993+0.0451989j 0.0349006+0.0436647j -0.0196913-0.00840084j -0.0458903+0.0245746j 0.00338901+0.0147232j 0.0169721-0.00411921j 0.0171433-0.00479372j 0.0188131+0.0269982j -0.0146658-0.0249599j -0.0041229+0.0203512j -0.00557824+0.0106548j 0.014753-0.00158703j -0.0250318+0.00702532j 0.000476423-0.0104266j -0.00337076+0.00929811j -0.0144637+0.0184651j 0.0131726-0.00551476j -0.0122935-0.00493114j 0.00189171-0.000362232j 0.0191991-0.00145778j -0.00279623-0.00198733j -0.0164369+0.011847j -0.0121982+0.0144671j -0.00201009-0.00736847j -0.0117845+0.0224506j 0.00705013+0.010829j 0.00194287+0.0098248j 0.0213484-0.000833451j 0.00684015+0.0149785j -0.00471425-0.0204489j 0.0146657+0.000207409j 0.00240201+0.0135579j 0.0286656+0.00525638j -0.0106584-0.0271239j 0.0161143+0.0222319j 0.0149517-0.0087019j 0.00497637+0.0279523j 0.00499764-0.00503283j -0.00160522-0.00161648j -0.00789701-0.00169215j -0.00795857-0.0131165j -0.0101967-0.0210137j 0.00812834+0.00993546j 0.00608962+0.0093154j -0.0014292+0.0193947j 0.00778679-0.00193868j -0.0173256+0.0117921j -0.00472631+0.0034503j 0.00470633-0.0114143j -0.0195475-0.000981821j 0.000308998+0.00571932j -0.00810349-0.00226214j -0.00439959+0.0115546j -0.0058186+0.000961626j -0.0119035-0.00490454j 
