0.0117031-0.00862552j -0.00815755-0.00732293j 0.0395605-0.00908187j -0.0213325+0.00969567j -0.0129104+0.0160942j -0.015081+0.00844711j 0.0504464+0.0144335j -0.0139405+0.0241686j 0.000957989+0.00277293j -0.00420616-3.63264e-05j -0.00553127+0.00318688j -0.00387123+0.003939j -0.00106892+0.0107874j -0.00426298-0.00704758j -0.0103858+0.00515797j 0.00942694-0.00296916j -0.00209826-0.00446219j 0.00663025+0.00185514j -0.00592-0.00856343j 0.00636827-0.0176832j 0.000996403+0.00231254j -0.0179587-0.00322242j 0.00786818+0.00278733j 0.00237918-0.00556646j -0.00607876+0.0185631j 0.000592366-0.00220248j 0.00484037+0.0102695j -0.0080293-0.0164019j -0.0208671+0.00484379j 0.00412934-0.0157694j 0.00262194-0.00531956j -0.00468413-0.010038j -0.0152341+0.0166092j -0.0120481-0.0121727j 
0.00901049+0.00765458j 0.00343305+0.00427425j -0.00144183+0.00794696j 0.00595921+0.0121016j 0.0103989-0.0144195j -0.0349893-0.0369215j 0.00207695-0.0111472j 0.0111786-0.0333211j -0.0270902-0.0326256j -0.00792331+0.0072388j -0.0089174-0.0187575j -0.00551433-0.0180253j -0.00444374-0.0118908j -0.00959196-0.00169023j -0.00336175+0.0032767j 0.0047071-0.0157255j -0.00133633-0.00914183j -0.00496797-0.0159242j 0.0122098+0.00358007j 0.00802972+0.0143205j -0.00732464-0.00771078j 0.00612985-0.0141232j 0.00975567+0.00417437j 0.00435114+0.0184505j 0.00713652-0.0052354j 0.00532073+0.00739195j -0.00515757+0.00283696j -0.0126001-0.00344403j -0.000344864-0.0131712j -0.000673088+0.00496168j -0.0161418+0.00908652j 0.00251772-0.00703018j -0.0071284+0.00167024j 0.00143042-0.0153624j 
-0.00463691-0.00376553j -0.0312377-0.0148916j 0.0282679+0.0278786j -0.0132425-0.0105249j 0.0325765+0.0320617j 0.00599872-0.00310988j 0.00961692+0.00675629j -0.0419541-0.0293225j 0.0003528-0.00191164j 0.00807344+0.00162382j 0.00991789-0.0106789j 0.0267949+0.0149101j -0.015476-0.000464217j 0.0103141+0.0165573j 0.00334602+0.00184086j -0.0051594+0.000169331j 0.00843047-0.000629559j -0.000643207-0.00619648j -0.0150689-0.0126608j -0.0324301-0.00526799j 0.0131467-0.00491268j -0.0165429-0.00356008j -0.00977066+0.0028519j 0.00973779+0.00108163j 0.00139366-0.0182456j -0.000157547-0.00773926j -0.00564538+0.00226135j 0.0181659+0.000873262j 0.000892985-0.0158984j -0.0138476-0.00313987j 0.00995015+0.0157141j 0.00265386+0.0131226j -0.00158775+0.0163621j -0.0124412-0.00314096j 
-0.0168647-0.0160731j -0.00907778-0.0150344j -0.00123013+0.00131368j -0.0211973-0.0167645j 0.0409466+0.0329686j 0.0338007-0.0174268j 0.0269057+0.00795063j 0.0120685-0.0082687j -0.0168233+0.0146289j -0.0133967-0.0143636j -0.0160401-0.00385714j 0.0257884+0.0110436j -0.00673396-0.0113475j -0.0158764+0.0114937j -0.00119879-0.00535191j 0.00343-0.00989817j -0.0122969-0.00480056j 0.00738694-0.00457161j 0.0179742-0.00956737j 0.0169485-0.00375542j 0.00165359-0.0128624j 0.0234313-0.0150472j 0.0144605+0.00195679j -0.0266473+0.00198331j 0.00363423-0.0300139j 0.0169502-0.00750213j -0.00352832+0.00554945j -0.0177627+0.0042695j -0.00733683+0.00285077j -0.00621874+0.000918072j -0.0228826-0.00904675j -5.1879e-05+0.0175861j 0.00105296+0.00577858j -0.00236755+0.00288784j 
-0.00383747+0.00817715j -0.0133675-0.0128113j 0.0147374+0.0309829j 0.00776174+0.0310037j 0.0227748-0.00816978j 0.0115407+0.0308516j 0.0139834+0.014096j -0.00506339+0.00111979j 0.00115431-0.0315136j 0.00393666+0.037168j -0.00738808+0.0144467j 0.00624487+0.00881073j -0.0144974+0.00559442j 0.00836627+0.00179921j -0.00267934+0.0261995j -0.00562286+0.0153174j 0.00570929+0.00364942j 0.00253234+0.0126836j -0.00877904+0.000414925j 0.0192502+0.00257839j -0.0051319+0.0190128j 0.00835644-0.00415572j 0.0279906+0.0183071j -0.0157317-0.0167335j -0.00705042+0.00112735j -0.00847778-0.00094757j 0.00326056+0.0146473j -0.00352192-0.0159051j 0.0144485-0.0111413j -0.00860032-0.00517383j -0.0108839-0.00072272j 0.00552309+0.00857538j 0.00696802+0.00223285j -0.00420568-0.000510609j 
0.00714474-0.0005539j -0.0053713+0.000731658j 0.0272943-0.00210087j -0.00367318-0.00642876j -0.019843-0.00982044j -0.0492248+0.00747994j -0.0317546-0.0109496j -0.060588-0.00080145j 0.00217558+0.0149925j 0.00600695-0.00131154j 0.0111724+0.0119059j -0.0107484-0.00115821j 0.00666839+0.00391358j -0.000941727-0.00123671j 0.0049681-0.00463445j 0.00894331+0.00901454j -0.00976901+0.00426867j -0.000875161+0.00928104j 0.00179849-0.0052722j 0.009327+0.0107304j -0.00342375-0.00779823j 0.00722648-0.0156517j 0.0201089+0.00819411j -0.0159582-0.00123207j 0.00114029-0.0199715j 0.0121386-0.0159439j 0.00123602+0.0159121j -0.0105267-0.00363308j -0.000529274+0.00863835j -0.00824026+0.00217132j 7.3587e-05-0.00589928j -0.00986068+0.0184424j 0.00525469-0.0116744j -0.00969294+0.0104392j 
0.00971712-0.00613677j -0.0056386-0.0006015j 0.0196434+0.0117378j 0.00199942+0.00603322j 0.0104215+0.00233923j 0.00973327+0.00459611j 0.00102723+0.00308014j -0.00317726-0.00299093j 0.00958072-0.00389108j 0.00806262-0.00153133j -0.00164656+0.000137651j -0.00567186+0.0126204j 0.00811639-0.0110372j -0.0165122+0.00871057j 0.0410553+0.00260771j 0.020022-0.0044144j -0.0340784-0.00769375j 0.00251817+0.0116244j -0.00258719+0.00432647j -0.0176162-0.0048961j -0.0204439+0.0104949j -0.000496829-0.0146974j -0.0281641+0.00398304j 0.0314446+0.00103713j -0.00662445+0.0045103j -0.0304163-0.00336318j -0.0015698+0.00167979j 0.00164565+0.00161545j -0.00728367+0.00243312j 0.0232687+0.0104433j -0.0134651-0.0073402j -0.0103172+0.00200956j 0.00181788-0.00323226j -0.0032559-0.00378256j 
-0.027713-0.00948134j 0.0015799-0.0141206j -0.0179003-0.00942309j -0.0607086+0.00366632j 0.0455847+0.00698924j -0.0144308+0.0103044j -0.00434399+0.0136798j -0.00317888-0.00585488j 0.013362-0.00937031j -0.0311779+0.0113912j -0.00535355-0.0123705j 0.0275749+0.00375206j 0.0090022-0.00725794j -0.00243872-0.012817j -0.0146183+0.0042634j -0.00331348-0.000146214j -0.0145172-0.00168055j 0.00225689-0.0075968j 0.00229148+0.0202041j -0.0034255-0.018066j -0.0166161+0.0169162j -0.0105285-0.00236488j -0.0223666-0.0131784j 0.00525025+0.00058259j -0.0175917+0.00264665j 0.00880479+0.0201726j -0.00841701-0.00527096j 0.0177556-0.00180075j 0.00165445-0.0188331j 0.00253841+0.00207999j -0.00898728+0.000496576j 0.00431753+0.00394748j 0.0031907+0.00182072j 0.00154828+0.0029169j 
-0.00644045+0.00682194j -0.0093679-0.00182969j 0.00769197+0.0131108j 0.00867814-0.0184869j 0.00955072-0.0209564j 0.00617801-0.0347791j 0.0130392-0.0343425j 0.00454478-0.0403788j 0.00420837+0.0250864j 0.00551949+0.0121234j 0.00685428+0.0260952j 0.0168804+0.00230068j 0.010084+0.0177313j 0.0101121+0.00550931j -0.000338343+0.017787j 0.00748706+0.0188673j -0.00761561+0.0119114j 0.00914402+0.00540339j -0.0101935+0.00200211j 0.00320161-0.0211655j -0.0146803+0.00636593j -0.0134295+0.00850513j -0.0087912+0.0156117j 0.000665723-0.0154875j -0.0246524+0.00334896j -0.0133077+0.0115984j 0.00711072+0.0123216j 0.00879884-0.00891785j 0.00707856+0.000609322j -0.00359594-0.0112028j 0.00417676-0.00532321j 0.0134639+0.000766404j 0.000664581-0.00282257j 0.00300295-0.000707182j 
0.0147682+0.00454089j -0.00495958+0.00786228j 0.027447-0.0262518j 0.0471285-0.00361027j -0.025728-0.00559934j 0.0158569+0.0149055j 0.00508993+0.00786039j -0.0190366+0.0255304j -0.049276-0.0121301j 0.0112585-0.00517075j 0.00926207-0.0114298j -0.00333823-0.0127438j 0.0239964-0.00764318j -0.0106447-0.0252373j -0.0146403+0.00145569j 0.00974405-0.000799988j -0.0240139+0.00606626j 0.00552859-0.00894738j -0.00820543+0.0089957j -0.000698248+0.00573051j -0.0176636+0.00311286j -0.012835-0.00434379j -0.0314462-0.00720357j -2.77995e-05+0.0116748j -0.0180608-0.00298944j 0.0203387+0.00667406j -0.0117369-0.00699309j 0.00175951+0.00361281j -0.00488562-0.00482295j -0.0120537+0.00370897j -0.00194711+0.00209693j -0.00294774-0.00379808j 0.00262839-0.00597192j -0.00209598+0.00170118j 
-0.0354085+0.00964451j -0.0412144+0.0124881j 0.0290883-0.031729j 0.0104086+0.014875j 0.0476468-0.0389237j -0.00721434-0.00847439j 0.0376498-0.00689325j -0.0734132+0.0013951j 0.0105485+0.0114964j 0.0116816-0.0104395j -0.0101352-0.0147959j 0.00891558-0.00141539j -0.0443726+0.00233579j 0.000154471-0.0111329j -0.0134258-0.00120249j -0.0089659-0.00281798j 0.00435789-0.00489175j -0.00402186-0.00939736j 0.00536735+0.022695j -0.0102332-0.00770005j 0.0127398+0.00646017j -0.00300581-0.0022159j 0.00662653-0.0150548j -0.00098243+0.00626168j 0.00126812+0.0168894j -0.00355772+0.0164071j 0.000586486-0.00874683j -0.00111399+0.00520548j -0.00291772-0.0019346j -0.00567521-9.2483e-05j 0.00590912-0.0104949j 0.012151-0.0107546j 0.0163471-0.0198385j 0.00125923+0.000612461j 
0.0203039-0.0129127j -0.00315821+0.0314671j 0.00103719-0.021604j -0.000373978-0.0720934j -0.000944218+0.0282976j -0.00492595+0.00234737j -0.00537241-0.019564j 0.00114565+0.0547724j 0.00199354-0.019982j 0.0013339-0.0182139j 0.000240601-0.000585662j -0.0108505+0.0278442j -0.00698198+0.0114299j 0.00568234-0.00383498j 0.00413637+0.0113607j -0.00413971+0.003476j 0.00659938+0.00250623j -0.0116693+0.00476927j -0.0155603+0.0169361j 0.00413615+0.0122398j -0.00428717+0.0124213j 0.00309096-0.00389107j 0.0105973+0.00910223j 0.00314255-0.000935703j -0.00115562+0.00744646j -0.013263+0.016043j -0.00161948+0.00145413j -0.000103268-0.00440887j 0.0103802-0.0187755j 0.00405708+0.0104992j -0.00309185+0.0107605j -0.00284268-0.000515716j 0.00588396-0.00014713j 2.7951e-05+0.00666656j 
-0.0143838+0.0626502j 0.00519767+0.0187943j 0.0133671-0.0216415j -0.0352764+0.0236968j 0.0460568-0.0693404j 0.00499922+0.003843j 0.00256124-0.0353607j -0.000671347+0.0592914j -0.0275067+0.00419973j -0.00697725-0.0173587j 0.0175226+0.00281736j 0.0217504-0.0161785j 0.00144833+0.0144181j -0.00389058+0.00466277j -0.00660363+0.0268319j 0.00223341+0.00542584j -0.00236262+0.00565682j -2.91015e-05-0.0103628j -0.0124729-0.0165712j 0.00442233+0.0120297j -0.00152047-0.010673j 0.00190249+0.00501778j -0.00379653+0.0197502j -0.00294138+0.00215728j -0.007141-0.00423615j 0.00223673-0.0129548j 0.000120776-0.00230215j -0.00636656-0.000715403j -0.0133468+0.0141012j 0.00290897-0.00486763j 0.00290939+0.0040143j 0.000558302-0.0158592j 0.00146316-0.00920104j 0.00853124-0.00439224j 
-0.0516316-0.0275298j 0.0229981+0.0317899j 0.0437825+0.0253925j -0.0139122-0.019187j 0.054898+0.0512229j -0.000524962+0.00185399j 0.0116847+0.011545j -0.0190558-0.0146188j -0.017997-0.0139388j -0.00565667+0.00223599j 0.0137521+0.0124687j 0.0144205+0.0103355j -0.00175449+0.000604714j 0.00939934+0.00404476j -0.0161559-0.00253652j -0.00936889+0.00300091j -0.00258156+0.00189992j 0.0170006+0.0113117j -0.0020732-0.00212632j 0.00973444+0.0251847j 0.00566911+0.00573398j -0.0145713-0.00827934j -0.00425429+0.00313987j -0.00373458+0.000779538j -0.00219885+0.0164819j 0.00710856-0.00518353j -0.00794829-0.00593979j 0.00996233+0.0096897j -0.00757226+0.00595966j -0.00534427+0.00630728j -0.00447888-0.010197j 0.0115857-0.00255032j 0.00515662-0.0063277j 0.00261219-0.00190456j 
