0.0171553-0.00133435j -0.00739997-0.0205013j 0.0151807+0.0317838j 0.037061+0.00492054j 0.00109551-0.0222668j -0.039219-0.00280118j 0.00996172+0.0378967j -0.0141927-0.0224991j 0.0590228-0.0108784j 0.0390822+0.0084341j -0.0466496-0.00835943j -0.0223134+0.00114433j 0.0642085-0.00539724j 0.00226363-0.0249454j -0.0378287+0.00361805j -0.0563547+0.0472748j -0.0192622+0.0418719j 0.0361316+0.0254924j 0.0279423+0.0392872j 0.00026484+0.137266j 0.0823158+0.0131307j 0.0953719-0.0102457j 0.040501+0.0369375j -0.00643859+0.0554978j 0.0574478-0.0314679j 0.0158466+0.000496307j 0.027144-0.013052j 0.00970136+0.016333j -0.0234807-0.0184805j -0.00283413-0.00657142j -0.00426782+0.0187096j -0.00807773+0.00156641j 0.000604602-0.0117172j 0.0119287+0.0124708j 0.0263039+0.0122486j 0.000975159+0.011935j 0.0117575-0.00164472j 0.00545086-0.00819251j -0.026156-0.00512433j -0.0128194-0.0044911j -0.00659427-0.00795411j -0.0143617+0.0108271j 0.0262135-0.0074676j -0.0195966-0.00653724j -0.00431487+0.0222795j 0.00852226-0.0212793j -0.00662681+0.00578231j 0.00141589+0.0279867j -0.00554586-0.00251834j 0.00103628-0.0242677j -0.0152435+0.00170498j 0.0330513+0.0182218j 0.00357108+0.0283918j 0.0184212+0.0122895j -9.0348e-05-0.0219733j -0.0058924-0.0202257j -0.0156013+0.00811461j -0.00983555+0.00628121j -0.0110935-0.0155098j 0.00460759-0.018629j 0.025815-0.0258349j -0.00404289+0.0053834j 0.0241215-0.00184532j 0.0143598-0.00758473j -0.00757298-0.0170746j 0.0328145+0.0106631j -0.0137609-0.0115662j 0.0325094+0.0214879j -0.0150961+0.00143128j 0.00868045-0.00395696j 0.00376781-0.0220074j 0.00861857-0.00241628j -0.0108255-0.00013804j 0.00175355+0.00149808j -0.00814665-0.00121722j 0.0181896-0.00460473j -0.010235-0.00387783j 0.00602512-0.00755565j 0.0019676-0.00157415j -0.00262877+0.0167715j 0.00958714-0.00740342j 0.00959913-0.00183409j 0.00212878+0.01011j -0.015423+0.00364379j -0.00513878+0.00480398j 0.00121164+0.00503445j -0.0106531-0.0104433j -0.0018414+0.00563516j -0.0286746-0.00904958j 0.0378914+0.00833473j 0.00941898-0.0261299j 0.00467525-0.00689223j 0.0166004+0.0164747j -0.0474789+0.062297j -0.067682-0.050622j 
-0.00216115-0.0062533j 0.00342331-0.000610824j -0.013772+0.00458092j 0.00148525-0.0152019j -0.00644778-0.000888656j 0.00240939+0.0135365j -0.0143005+0.019032j -0.0168226+0.0103995j -0.000554532-0.00107345j 0.00405639+0.0240048j 0.00843731+0.0222727j 0.00733159-0.0270755j -0.0535525+0.0263937j -0.00298469-0.0186327j -0.0305013-0.00612014j 0.0112953-0.0299124j 0.0137723+0.0215225j 0.0313904-0.0257984j -0.0436069+0.00277169j -0.0220802-0.0155562j 0.028075-0.0160537j 0.0124464-0.00993302j -0.0201006-0.0159774j -0.00471013+0.0118383j -0.00685145-0.00170343j -0.00403812-0.00252802j -0.00894011+0.0061358j -0.00141761+0.014327j -0.0033403-0.00189361j -0.0007671-0.00245944j 0.00174944+0.00369801j 0.00612881+0.0235085j 0.00256715+0.00476305j -0.00106753+0.00375881j -0.00900604+0.0129517j -0.0101458-0.00138977j -0.0036099-0.00394415j -0.00739215+0.0104666j -0.0113431+0.0177425j -0.00553252+0.0218263j 0.00393529-0.00340561j 0.00379011-0.0171127j 0.000565911-0.0122162j -0.00272598+0.00717182j -0.00517818+0.00528737j 0.00699938-0.0108156j -0.00769204-0.00211025j 0.00318531-0.0149367j -0.00671019-0.00206502j -0.00278912+0.00163618j -0.000787101-0.00783059j -0.00778591-0.00496168j -0.00365263+0.00300199j 0.00382733+0.00220771j 0.00648719+0.00702244j 0.0150829-0.00100521j 0.00259536+0.00343993j 0.00243772+0.00278039j -0.00152538-0.0021408j 0.000275671-0.00112373j 0.00381928-0.00102132j -0.000695089-0.000351652j -0.0174577+0.00423423j -0.000937734-9.99598e-05j -0.00649013+0.0046513j -0.0052264+0.0118284j 0.00542548+0.0067648j -0.000439981-0.00253113j -0.00250965+0.00825695j -0.00555358-0.00777893j 0.0022537+0.000972205j 0.0054822-0.00192617j 0.00495728-0.00596857j -0.00287938+0.00358425j 0.00226145-0.000933802j -0.00423854-0.00477789j 0.00427233-0.00847223j 0.00754406+0.00362624j 0.00923589-0.00219715j -0.0144408-0.000591864j 0.00594409+0.0150523j -0.00389319+0.00416968j 0.00769813+0.00392173j -0.00343558+0.00279286j 0.00220526+0.00102107j -0.0038629+0.0020918j -0.0130575+0.00550713j -0.00202302+0.000206096j -0.0134347+0.00464885j -0.00177857-0.0050616j 0.00228478+0.00122952j 0.0117996-0.000625353j 0.00079263+0.00677871j -0.00680282-0.0004463j -0.0015022+0.00325871j 
-0.00658003+0.00355126j -0.0052867+0.00610845j 0.00629236+0.00732532j -0.00605305-0.0109742j -0.0160053+0.0113373j -0.00467716+0.0189098j 0.0134342-0.00767007j -0.033325-0.00385789j -0.0316884-0.0206032j 0.00239594+0.0127546j 0.00208328-0.0024276j -0.0330443+0.00353216j 0.0173148-0.0105746j 0.0274856+0.000164762j 0.0077512+0.0322446j 0.00517373-0.0309273j 0.0102924-0.0167943j -0.0394236-0.00954866j -0.0603548+0.0139328j -0.0182843-0.00205402j 0.00248563-0.00291363j 0.00191986-0.0238175j -0.020866-0.017546j 0.0167448-0.0185919j -0.0138423-0.00655951j 0.00125653+0.0053501j 0.0144205+0.00136727j -0.00400041+0.0052368j 0.0145611+0.00833454j 0.0139951-0.00505765j 0.00605126-0.00252881j 0.0109073-0.00225227j 0.00417873+0.000800591j -0.000164231+0.0201106j -0.000168249+0.00255284j 0.000920971-0.0144756j -0.00665771+0.0142288j -0.00422699+0.0127597j 0.00301899+0.00849033j 0.00935012-0.0295276j -0.00811909+0.00153127j -0.000377038-0.00777967j -0.00696759-0.00128282j 0.00357419-0.0108355j 0.0140144+0.000135892j 0.00423516-0.00482549j 3.82297e-05+0.00124971j 0.00990891-0.000621342j 0.00701663-0.00704974j -0.0092511-0.00289166j -0.00813576-0.00121373j 0.000104764-0.0171313j 0.000985064+0.00446568j 0.0028544-0.0016706j -0.00178392-0.00743969j 0.00377272-0.00470027j 0.00458451-0.00141173j -0.00177733+0.00842617j -1.73974e-05-0.0117756j -0.000918816-0.0115179j 0.00106768+0.00391535j -0.00151906-0.000746906j 0.005468+0.00527637j -0.00752071+0.00790809j -0.00591349-0.000199834j 0.00432934-0.00489431j -0.00495107-0.00690633j 0.00327113+0.00698295j 0.00115915-0.00198515j 0.0054873+0.0043659j 0.00387318+0.00584969j -0.0111561+0.00266781j -0.00978532+0.00699169j 0.00305567-0.00406241j 0.00221085+0.0121323j 0.000807908+0.0105608j -0.00446125-0.0039476j 0.00322627+0.00353445j -0.00656766+0.00220261j 0.00218588+0.00327052j 0.000128325-0.0039099j -0.00992157+0.00440495j 0.000670574-0.000505646j 0.00768752+0.000643125j 0.00748612-0.00660013j -0.00691162+0.00225041j 0.00982993+0.00116208j 0.00453236-0.00806667j -0.00599834+0.0103648j -0.00457925-0.0117245j -0.00390239+0.00472592j 0.0211397-0.000847591j 0.00794356+0.00313554j 0.00353212-0.00546791j 0.00259571+0.000379331j 
-0.00421522-0.00083687j 0.0010106+0.00185666j 0.0106728-0.00649272j 0.013758+0.00796624j -0.0167626-0.00619569j 0.000960409-0.0117629j -0.0151489-0.0273646j 0.00316598-0.00148253j 0.0075672+0.0116519j 0.0152036-0.000658846j 0.0201357+0.00811545j -0.0429731+0.00386947j 0.012295-0.0152645j -0.0266577+0.0274067j 0.0170827-0.0289443j -0.0419335+0.0414832j 0.0248932+0.0430414j -0.0341351+0.0329104j -0.0107088-0.0228212j -0.0597173-0.0632111j 0.00891297-0.0321873j -0.00747055-0.01406j -0.0428002-0.0106805j -0.00608612+0.0142978j -0.00564123-0.0100456j 0.00216952+0.00524153j -0.000388722-0.0191235j 0.00119513-0.00215645j 0.0012533-0.0118142j 0.00343857+0.00257314j -0.00569206+0.000588073j 0.00442753+7.93808e-05j 0.00366778-0.00287086j 0.00637613+0.00314998j 0.00464239-0.000964162j -0.00268446-0.010427j 0.00117382+0.0121171j 0.00633968+0.00193696j -0.00694416+0.007079j 0.00340797-0.0175457j 0.00642509-0.00226891j -0.0103933-0.0102133j 0.0119713+6.24198e-05j 0.010487-0.0156179j -0.0040683-0.000487003j 0.00816217+0.00643202j -0.00423661-0.000670737j -0.00175827-0.00558562j -0.00521708-0.00771874j 0.0101993+0.00279645j -0.00571631-0.0007942j -0.00354936-0.012607j 0.00590342-0.00131964j -0.00324629+0.00247365j 0.00923806+0.0109176j 0.0170866+0.00880135j -0.00516793+0.000377832j -0.0159009-0.0119473j 0.000695363+0.00558854j 0.013296+0.00849018j 0.0260365+0.0132018j 0.000488723-0.00180241j 0.00281268+0.000419613j 0.0164736-0.00116719j 0.00574302+0.00360922j -0.00277395-0.000578851j -0.00282055+0.00378533j -0.0111969-0.00553879j -0.000320512-0.0162277j -0.00580319+0.00639309j 0.0103452+0.0134515j -0.00315302+0.00680523j 0.0137036-0.00786614j -0.00308477+0.00276395j -0.00751231-0.0117923j 0.000707698+0.00549098j -0.0050515-0.00979003j -0.00710861-0.00688796j 0.00726423+0.0054765j -0.0153325-0.00254944j 0.00585008+0.0153907j 0.000717325+0.00729425j 0.00410298+0.0154174j 0.00254408-0.00213242j -0.00321396-0.000918337j -0.00911772+0.00860725j 0.00228716+0.00286438j -0.0103371+0.000568832j 0.000804812-0.00498351j -0.00137822-0.00515148j 0.00820491-0.00685299j 0.0161007-0.00661973j 0.00989661+0.0189464j -0.0227141-0.0046951j -0.0109267+0.00796802j 
-0.00141643-0.0042984j 0.0101338+0.00416894j -0.0141948+0.00907934j 0.00417688+0.00123687j -0.00623553-0.00710582j 0.0125784+0.0103089j 0.0067111-0.0130076j -0.0254909-0.0147252j -0.00296935-0.0246173j 0.00385777+0.00897829j 0.0103809-0.00792218j 0.0151953-0.0151202j 0.0368999+0.0288858j -0.0180653+0.045273j -0.0235446+0.0552747j -0.0582068-0.0160345j -0.0570707-0.0189647j -0.0230473-0.0250464j -0.0281613-0.0244965j -0.044043-0.0140472j -0.0345464+0.00540462j 0.0191831-0.00187941j -0.0249354-0.0200385j -0.0225092-0.0269556j 0.0114454-0.0154041j -0.00571269-0.0108493j 0.0121757-0.00206619j -0.0174896+0.00362636j 0.0156293-0.00866907j 0.0102907+0.00533608j -0.0123858+0.010063j 0.0130737-0.0213025j 0.00544163-0.00946713j 0.00381409+0.0164963j -0.00350036+0.00441336j -0.00123517-0.00250795j -0.0160654+0.0053912j -0.0066281-0.0123897j -0.00794898-0.00922858j 0.00530624-0.00933076j -0.00889739+0.0220884j -0.003324-0.00355285j 0.00748723-0.00308686j -0.00569115+0.00586734j 0.00181182-0.0111464j 0.00528454+0.0127954j -0.0108362+0.0142824j 0.00224849-0.00892535j -0.00079332+0.00305227j -0.00340879-0.00577984j -0.00640262-0.000213483j -0.00455269-0.00742577j -0.00194175+0.00142564j 0.00810569+0.00437671j -0.00162966+0.00753236j 0.00827003-0.0040335j 0.00371103-0.00901476j 0.00188047+0.00724381j 0.0063878-0.00828117j 0.0035184+0.00654987j 0.000871667+0.00125958j 0.00312483-0.0147252j -0.00397698+0.00744893j 0.0073963+1.49986e-05j -0.00416369-0.00539338j -0.00272597+0.0129289j 0.00862808-0.00295345j -0.00426657+0.000599915j -0.00949573-0.0113401j 0.00876356-0.0062908j 0.00394411+0.00861019j -0.0154413-0.0101601j -0.0052519+0.00103569j 0.000727718-0.00560903j -0.00984813+0.00179318j 0.0155251-0.00106239j 0.00902717+0.00473735j 0.0175622+0.00358479j 0.00709352-0.00311255j -0.00830848-0.00180204j 0.0176616+0.00652781j 0.0068405+0.00674761j -0.0116201+0.00358959j -0.00103832+0.001948j -0.00987557+0.00206974j -0.00400985-0.00630835j -0.00357712+0.0117649j 0.0115281-0.0184273j -0.00385076+0.000426118j -0.0060312-0.00661689j 0.0127352+0.00876047j 0.00355157+0.00785504j -0.0014801-0.001743j -0.0119729-0.0106319j 1.61789e-05-0.00356014j 
0.00323282-0.00209166j -0.00172235+0.00444894j -0.00217013-0.0117079j 0.0217178+0.00184972j 0.000776625-0.000668353j -0.0166566+0.00562603j -0.00842341-0.0115434j 0.00573309-0.028779j 0.0148803+0.0101108j -0.0414625+0.0105507j 0.00850153+0.0350867j 0.00142558-0.0140079j 0.0123468-0.00331256j -0.0220093-0.0408974j -0.00188887-0.0112582j -0.00914472-0.00549549j 0.0300291-0.00278473j 0.019759+0.0260555j -0.00154546-0.017087j 0.000839479+0.00614741j 0.0224305+0.0104517j -0.0137408+0.0102673j -0.0010599-0.0058401j 0.00729474-0.00894451j 0.00548993+0.00151995j 0.0094549+0.0249345j -0.00209905+0.0101001j 0.00355637-0.0103658j -0.0110471+0.0305169j -0.0152926-0.0228015j -0.00668115+0.00699528j 0.00349362-0.0138369j 0.00382277-0.00645817j 0.00594682-0.00646284j 0.00398019-0.00132756j -0.00943826-0.00770241j -0.00399377-0.00515235j -0.00558417+0.0173657j -0.014195+0.019111j -0.00181929+0.000846326j 0.00772533-0.000404693j 0.000962213+0.0136361j 0.00451893+0.00981313j -0.00979025-0.00538683j -0.0126563-0.00585785j 0.0037326+0.0142109j 0.00479356-0.0146495j -0.00170748+0.00626848j 0.00150351+0.00707888j 0.00690914-0.00573799j -0.00140866-0.0130839j 0.00330735+0.00255838j -0.00266125+0.00102389j 0.014056-0.000723768j 0.00207718+0.0127165j 0.00884851+0.00627757j 0.00591207-0.00351486j -0.00295845-0.00408033j 0.00745447+0.000157435j -0.000399997-0.000853136j -0.0001783+0.00370219j -0.00835846-0.015511j -0.00266129+0.00648499j -0.00289831-0.000206955j 0.00199668-0.0067804j 0.00503749-0.00269925j -7.74401e-05-0.00579433j -0.00179939-0.0041732j -0.00884203-0.00431719j 0.00040304+0.0087582j 0.00343856+0.000320477j -0.00855058+0.00825603j 0.00338447-0.00553621j 0.000181637-0.00279916j -0.0110883+0.00890265j 0.00274278-0.00430498j -0.00417514-0.00106745j -0.00220292+0.00510691j 0.00372073-0.00273982j -0.00325741+0.00217794j 0.00598501+0.0125249j -0.00796004+0.00209016j -0.00114347+0.0130651j 0.00872862-0.000380972j -0.00423597+0.00613683j -0.00459589-0.00295051j -0.0118874-0.0011615j -0.00510834+0.00387131j -0.00750918-0.00426259j 0.00663303+0.00448608j 0.000507032-0.00198901j -0.0036595+0.0009903j 0.000338268-0.00177877j -0.00237648-0.00321062j -0.00853247+0.00387159j 
-0.00237-0.00473807j 0.00375507-0.00734212j -0.0127861-0.0119458j 0.00243429-0.0114852j -0.0179929-0.00906115j -0.012909-0.0114386j -0.0281929+0.025855j 0.0472802-0.0366056j -0.00150561-0.0165787j -0.0241219-0.0410689j 0.00500597-0.00273779j 0.00590587+0.0191485j -0.0296151+0.00361754j -0.00169889-0.00485132j -0.0237563-0.0177771j 0.0208826+0.0468584j 0.0340039-0.0153988j 0.000883017+0.000709447j -0.0126598-0.0460711j -0.0814105-0.00309329j -0.0319141-0.0966062j -0.0389144-0.0294167j -0.027424+0.0130922j 0.00747031+0.0383913j -0.0171321-0.0345515j 0.0058774+0.0160616j -0.00904194-0.0099106j -0.00631633+0.000562834j 0.0105846+0.00358743j -0.000898895+0.00229721j -0.0013771+0.02089j 0.00676917-0.0156653j 0.0107107-0.00943486j -0.00617206+0.0110432j -0.01229-0.00818524j 0.00392427+0.00275534j -0.0119153-0.0172874j -0.00389868-0.00481951j -0.00107935+0.00470229j 0.00320388-0.00287393j 0.00299365-0.00508727j 0.00249233-0.0139272j -0.00429487-0.00214578j 0.00040321-0.00723145j 0.000689966+0.0129741j 0.00300345+0.0256473j 0.00638563-0.00320987j -0.00361996-0.018014j 0.0055819-0.00404138j 0.00468827+0.00381645j -0.000898535+0.00902423j -0.0136803-0.0247055j -0.00913623+0.0120264j -0.00454985-0.00417699j 0.0123097-0.00142783j 0.00742077+0.00471022j -0.000967524+0.00124779j 0.00158692-0.00536838j -0.00209628-9.59727e-05j 0.00251055-0.00721583j 0.00153961+0.00194847j -0.00853516+0.0106899j -0.0124501-0.00511217j 0.00070058-0.00455069j -0.00395132+0.00337071j -0.013727-0.00216472j 0.0012863-0.0010488j -0.00815663-0.00708051j 0.00385126+0.00316889j 0.00393848-0.0101214j -0.0110577-0.00689347j -0.00478333+0.00703086j 0.00658905+0.0178852j -0.00164022+0.000361699j 0.00647532-0.00621144j -0.00664855-0.0024708j 0.00788846+0.00321911j -0.00638794-0.0175139j -0.00382715-0.00410064j 0.00198603-0.000383163j 0.0143085+0.000582758j -0.0138052-0.014091j -0.00245496+0.00390165j -0.00970156-0.00532931j 0.00126233-0.00524829j -0.00702497+0.00743273j -0.0126523+0.00410494j 0.000196093-0.0107884j 0.000132882+0.00440817j -0.0143642-0.0178954j 0.00146881+2.11118e-05j 0.0192006-0.00278587j 0.00280674+0.0219528j -0.0136687+0.00714703j 0.0139542+0.00801168j 
-0.0079479+0.00169542j -0.00525498-0.000790876j 0.00354098-0.00338972j -0.00425802-0.00858319j -0.00607824+0.00218189j -0.0159456-0.00776382j -0.0232531-0.0327384j 0.00833473-0.0135722j -0.0341235-0.017252j -0.0449113+0.000378777j 0.031167+0.024238j -0.0257439+0.00445401j -0.0187557+0.00684932j -0.0212173+0.0144834j 0.0115398-0.00178427j 0.0314549+0.0164246j 0.037894+0.0303036j 0.0156107+0.035894j -0.00337078+0.0180224j 0.0327542+0.0233331j 0.0167858-0.0143697j -0.0382598+0.0121936j -0.00514038+0.0027484j 0.0337736+0.00180252j -0.0114835+0.0311962j -0.00249384+0.0057258j -0.022019+0.0106822j 0.00197803+0.000506668j -0.00976563-0.0173639j -0.0176497+0.00153838j 0.00411509+0.00487797j 0.00603403-0.00011653j -0.00644901+0.0112098j -0.00247676-0.00181211j 0.00265489+0.00708087j -0.00487719+0.0163083j 0.00109749-0.0099424j -0.00113017-0.00877897j 0.0115539+0.00526737j -0.000690736+0.0123608j 0.0136531-0.0217172j 0.00185932+0.00304719j -0.00808039-0.00144452j -0.00208754+0.00934064j -0.00231112-0.00253856j -0.00222413-0.00806753j 0.00632315-0.00228341j 0.00838783+0.010595j 0.0112663+0.0051812j -0.00132403-0.000888732j 0.00865224-0.00042166j -0.00661899+0.00166228j 0.00602596-0.0184198j -0.00871299+0.0071964j -0.00656336-0.00427266j 0.00372042+0.00963667j 0.00995166+0.00280894j -0.00454057+0.00352211j 0.0098371+0.00439031j 0.00307242+0.000486833j -0.0132906-0.0111155j -0.00308837+0.000543689j -0.00580485-0.019441j -0.00132297+0.00224334j -0.00231613-0.00236914j -0.0173848-0.0119481j -0.00330282+0.00231648j -0.00230739-0.00846878j -0.00152065+0.00597661j 0.00270848+0.00363391j -0.0109518-0.00517243j -0.00335194-0.00113306j 0.0066862+0.000674316j -0.00247636-0.0023096j 0.00575618+0.0030264j 0.00051327-0.0132808j 0.00180395-0.000657704j -0.0137254-0.00852122j -0.000573963-0.000461708j 0.00244584-0.00166333j -0.012487-0.000831109j -0.00144201-0.00841964j 0.00707745+0.0066557j 0.0108795-0.0131583j 0.010006-0.00230707j 0.000502195+0.0057995j 0.000196457-0.0121817j -0.000831259+0.0136015j -0.00203169-0.00193245j -0.00129512+0.00606526j -0.011939-0.00153577j 0.00540037-0.000435773j 0.00070731-0.00167225j 0.0116225+0.00508429j 0.0117523+0.00696351j 
-0.00445266+0.0149535j -0.0187449-0.0175088j 0.0310108+0.0160254j 0.0224582+0.0109483j -0.0118554+0.0263704j -0.0234997-0.0250211j 0.0201216+0.00342635j -0.0271454-0.0175308j 0.00542659+0.0213047j -0.0046028-0.0222863j -0.0423924-0.0102869j -0.0392476+0.022556j 0.0032224+0.0384587j -0.0159954+0.0214413j 0.0126771-0.0227631j 0.0311377-0.011765j -0.031052-0.0120351j 0.0168259+0.0145881j -0.022536+0.0103013j 0.0371126+0.0182394j 0.0436729+0.0238373j 0.0439255+0.00812935j 0.0101341+0.03005j 0.0263573-0.0146269j 0.00219373+0.0326082j 0.00561285+0.0243131j 0.0125308+0.00299993j 0.00174894+0.00107075j -0.0153083-0.0123296j 0.00242808-0.0166879j 0.00531781+0.0052196j -0.00381674-0.0174982j -0.0116281-0.00768119j -0.00800047+0.00214287j 0.0208778-0.005786j 0.00960602-0.010734j 6.73794e-05-0.00159549j 0.00839188-0.00408292j 0.00456105-0.00144584j -0.00339373+0.00597689j -0.00572162-0.00319089j -0.00706029-0.0132495j -0.00757183+0.00575313j -0.00895456+0.00662216j -0.00212978+0.00280591j -0.0095293-0.00976059j -0.00240133-0.000240848j 0.00662176+0.0102408j 0.0075948-0.000549054j -0.0194972-0.00346629j -0.00792511-0.00672957j 0.0166688+0.00455681j 0.00870486+0.00440625j 0.00471438+0.0116154j 0.00234967-0.0120742j -0.00788244-0.0198304j -0.000796745-0.0116097j -0.000678647+0.00560986j -0.00579795-0.0183607j -0.00819791-0.0127995j 0.00195518-0.00560914j -0.00455411+0.00275641j 0.00520801+0.00218942j 0.00238333+0.00363332j -0.0140339-0.00452711j 0.00496845+0.013087j -0.00487483-0.000570944j 0.0124006+0.0146146j 0.00700251-0.00123591j 0.0031416-0.00138286j -0.000976032-0.00318624j 0.0111438+0.000737724j -0.00744019-0.00529965j -0.00490642+0.00429838j 0.00285039-0.00603744j -0.00800788+0.00705825j -0.0036716+0.00345425j -0.0105646+0.00641377j -0.00162966+0.00937643j 0.00622363+0.0127911j -0.0168087-0.00684149j 0.0141137+0.0181333j 0.0103905-0.0099326j -0.00895327-0.00516997j -0.000273529-0.010836j -0.0127054-0.00669165j 0.00869578+0.00667293j 0.00435677-0.0032395j 0.00305271+0.00228665j 0.0112386+0.0110832j -0.00461835-0.00687251j -0.00742722-0.00105651j 0.00668981+0.00778037j 0.00270924+0.0141118j -0.0124741-0.0161939j 
0.0136275+0.0164921j -0.00677518+0.0168461j 0.00860399-0.0191061j 0.00675347+0.0291005j 0.020149+0.0123069j -0.0109434+0.00548031j 0.0197503-0.0487446j 0.0388973+0.00709181j 0.0385168+0.00956837j -0.00417599-0.0511718j -0.0286381+0.0399771j 0.0213613-0.00096271j 0.00486362-0.00948917j -0.0034051-0.00724718j -0.0259075-0.0148402j -0.00603901+0.00380907j 0.0185868+0.00221277j -0.0171606+0.0324495j 0.0369625-0.0166872j 0.0107096-0.0279035j 0.0392913+0.065134j 0.0146994+0.00198931j 0.0409003-0.0352515j -0.00937114-0.0326597j 0.0161363+0.0406985j 0.000153295+0.00697836j 0.000268767-0.000753563j 0.00527308-0.00756137j -0.0149179-0.00228927j -0.0150452-0.0104053j -0.0167619-0.0159622j -0.00476646-0.000247289j 0.00167291-0.00110095j 0.0114142-0.0134241j 0.00294147+0.00122014j -0.0059549-0.0034998j 0.014468+0.00540246j -4.88695e-05-0.0122614j -0.0060944+0.00108529j 0.00248211-0.0130537j 0.00546924-0.00204883j -0.00243698+0.0113977j 0.00797331+0.0170479j -0.00824216-0.00193611j -0.00413408-0.00191071j 0.0138172-0.00307421j 0.0112186-0.00488718j -0.00434017+0.0264772j -0.00148166+0.00633053j 0.00857171+0.000174761j -0.00538441-0.00548136j 0.0167851+0.00127631j -0.00808339-0.0129991j 0.0053973-0.00794414j -0.00656133+0.0167337j -0.00221387+0.00339724j -0.014275-0.0141719j 0.00332326-0.00331337j -0.011489-0.00820009j -0.00502099+0.00601627j 0.00581503+0.0212368j -0.0134254+0.00489028j 0.00619901+0.00526482j -0.00403623+0.0043061j -0.0123483+0.00400383j 0.00611632+0.00182535j -0.00677589+0.00143686j -0.000565283+0.00170198j -0.00381012+0.0038777j 0.000885115+0.000638027j 0.00370054+0.00131784j 0.00215677-0.00130341j 0.00838091-0.00876144j -0.00321398-0.0033949j -0.0110175+0.0104875j 0.0118957-0.00618966j -0.00340935-0.00237703j 0.00416779+0.0101703j 0.0101437+0.00149014j -0.00800363-0.000526728j 0.00800888+0.00437306j 0.00670064-0.00259623j -0.00829245+0.0114166j 0.0109585-0.000696983j -5.80264e-07+0.01374j 0.00145539-0.000469026j -0.00381923-0.0107975j -0.0106341+0.0130815j 0.000478677-0.00879105j 0.0123646+0.0116181j -0.00033199+0.00674487j -0.0117895+0.00256313j -0.00440422-0.014335j 0.00788148-0.0149504j -0.013849-0.00135294j 
0.00724586+0.0154309j 0.00279121+0.00427001j -0.0138835-0.0142054j -0.0108122-0.00745473j 0.00937531+0.0141161j 0.00600775+0.00132206j -0.00845496-0.0311828j 0.00681243+0.0326264j 0.0161047+0.0155032j 0.0155338-0.0105155j 0.0156916-0.0155583j 0.0337808+0.0241143j 0.00107878-0.0151102j 0.0132757+0.00995476j -0.0062178-0.0327891j -0.0236436+0.0152336j 0.0178453-0.0078055j -0.00945488-0.00906486j 0.000805352+0.0097288j -0.00371436-0.00728176j 0.0160168+0.0145833j 0.0107437-0.0133638j 0.0117176+0.0115216j -0.0212816-0.0270797j 0.015777+0.00120777j -0.00299449+0.0320711j -0.00214681-0.00904132j -0.000506733-0.0206166j 0.00277964-0.00510741j 0.000894001-0.013013j -0.00466641+0.00722112j 0.00654088-0.0205948j -0.00025985-0.0210951j -0.000734401+0.00244745j -0.0112811-0.00888406j -0.0114704-0.000720459j 0.00528704+0.000186146j -0.00446849-0.00887892j -0.00495903-0.000925776j 0.00264281-0.000738286j 0.00766186-0.00462501j 0.00156474+0.00679372j -0.00439571+0.00727584j -0.000607939+0.00599702j 0.000212359-0.0109563j 0.00450213+0.00529936j -0.00676831-0.00963609j -0.00249594+0.011714j -0.00328401-0.00910231j 0.00770064-0.000395775j -0.00154122-0.0076366j -0.000786617-0.00442427j -0.00573945+0.000252409j -0.0079072+0.00896368j -0.00114437+0.00793552j 0.000680561+0.00529023j -0.00150568+0.00441042j 0.00936598+0.00550041j -0.00597734+0.00690255j -0.00452161-0.00181812j 0.0052315+0.00314052j 0.0122014+0.00140647j 0.00216491+0.000698978j -0.00854499+0.00184041j 0.00400756+0.00809898j -0.00170974+0.00182544j 9.33071e-05+0.0032468j 0.00207221+0.0035396j 0.00548619-0.0013954j -0.00160465-0.00506565j -0.00221894+0.00235634j 0.00422459-0.00456151j 0.00826575-0.00468883j 0.000267148-0.0015029j -0.00231793+0.00262261j 0.0116371+0.000238995j 0.00234612+0.000376264j 0.00560428+9.54102e-05j 0.00627619-0.00325347j -0.00333995-0.00403161j 0.00505542-0.00375121j 0.00581078-0.00517385j -0.0136632+0.00217566j 0.00393234-0.00367674j 0.00771385+0.00497221j -0.000585478+0.00811546j -0.00236947-0.00560603j -0.00654776+0.00129675j -0.00199518-0.000777528j -0.000898661+0.00457828j 0.00413672+0.00899533j 0.0030543-0.0020326j -0.0103826-0.00366103j -0.00245584-0.00246683j 0.00282094-0.00777033j 
