0.00430188+0.00811126j 0.0115494-0.00410649j -0.0203557-0.00605929j -0.0283622+0.0380792j 0.0125995+0.0139215j -0.000594187-0.00377947j -0.019886-0.00817629j -0.0175456-0.0104208j -0.000544909-0.0280685j -0.0104707+0.0127025j -0.00112547+0.0281943j 0.0163812-0.0133262j -0.00957231+0.0104558j -0.00745826-0.0240595j 0.00743365+0.00342908j 0.0164741+0.0139458j 0.00315989-0.0105475j -0.00012384+0.00170355j 0.00035269+0.0061003j 0.00473907-0.00589671j 0.00269327+0.00442946j -0.00473489-0.00425647j -0.00244202+0.0120356j -0.00979241-0.00734559j -0.00829887-0.00654982j -0.0101166-0.00294518j -0.00112313+0.00692144j -0.00604916+0.00895851j -0.00305264+0.00240719j -0.00293428+0.000629793j 0.000817493-0.00328848j -0.00929324+0.0157148j 0.0110281-0.0127473j -0.0202152-0.00310745j 
0.0056657-0.00870554j -7.27762e-05+0.0156147j -0.00644003+0.0092501j 0.0139323-0.0137279j -0.00959669+0.00262267j -0.00476553-0.0158235j 0.0404277-0.0140081j -0.0143934-0.0122952j 0.00695762-0.0114854j -0.025239+0.00159887j 0.00740377+0.00596277j -0.0136458-0.0146577j -0.00557602-0.0189011j -0.000700411-0.00388594j 0.00223428-0.00819193j -0.0218123+0.00985842j -0.00400566+0.0143069j 0.00126256-0.00982639j -0.0113092+0.00700949j 0.00488503-0.00590107j -0.0121046-0.00488549j -0.00192858-4.71304e-05j -0.00176292+0.0012721j -0.00265555-0.0131193j 0.00373361-0.00442956j -0.0136644-0.0148442j -0.0165133-0.00300099j -0.0106519+8.84703e-05j 0.0146905+0.00628844j -0.0091865-0.00726745j 0.00277387-3.19867e-05j 0.000152358+0.00764887j -0.0174121+0.00166253j 0.0063358-0.00229962j 
-0.0168016-0.00899471j 0.00972559-0.00300932j 0.0244872+0.00372976j -0.045695-0.00731385j 0.0115817-0.0177106j -0.0178933+0.00879079j -0.00990835+0.0203697j -0.00905292+0.00154516j 0.00187558+0.00181508j 0.00754831-0.00710043j 0.00722418-0.000741745j 0.0131814-0.00317488j -0.0352643-0.00957142j -0.0204033+0.0185692j -0.00816471-0.00305166j 0.00351832-0.0129381j -0.00694662-0.00982252j -0.0102267-0.000185411j 0.00366008+0.0123097j 0.0117411+0.0141826j 0.0141192-0.014054j 0.00684529+0.00121763j 0.0126501+0.00012196j -0.00186363+0.0127724j -0.00600646+2.62683e-05j -0.00439886-0.000296499j -0.00491745-0.00482974j -0.0115228-0.00340297j 0.00251344-0.000969377j -0.00550543+0.000483304j -0.00803431-0.000627883j 0.0069359-0.00219201j 0.00853395-0.000704377j 0.00088534+0.0147026j 
-0.0164291-0.0120986j 0.00727042-0.00109141j 0.000772384+0.015237j -0.0229876-0.0315699j 0.0158738-0.000726967j -0.00935814+0.0133497j -0.0230568-0.0478541j 0.00293653+0.0256881j 0.0161994+0.0117782j 0.00175834+0.00789073j 0.00625486-0.0148196j 0.00612273-0.00909539j 0.0045331-0.0125399j -0.00115009-0.00808786j 0.00520887+0.00394315j 0.0037844+0.00761859j -0.00845832+0.00360693j -0.0145911-0.00329732j 0.00834475+0.0055701j 0.00932552+0.000835522j 0.0126719+0.00323047j -0.00237336+0.00325244j -0.000473668-0.00195619j -0.00207093-0.0194789j 0.0034252+0.00765826j -0.00185571+0.00593568j 0.00712459-0.00191984j -0.00535552-0.00547375j -0.00448387+0.0060801j 0.000670253-0.00528929j 0.00122563+0.00244383j 0.00687274-0.0022879j 0.0130796-0.00379978j -0.00367874-0.00748455j 
0.00334895-0.00124645j -0.000759749-0.00764518j 0.0121984+0.0020255j -0.0145417-0.000559422j 0.00818051-0.0161805j 0.00217785+0.0259515j 0.0130225+0.00384388j 0.000169393+0.0229792j -0.00937099+0.0264707j 0.0144718-0.0106962j -0.0223705-0.00739495j 0.0100325-0.0158499j -0.00409397+0.00411903j -0.0123303+0.013709j -0.000201099+0.00844835j 0.00608109-0.00180327j 0.00500681+0.0254686j -0.00635151+0.0084692j 0.00118026+0.000984888j -0.0116336-0.014994j -0.0087555-0.00749417j -0.00514073-0.0125915j -0.00422706-0.00387049j -0.0130296+0.00373663j 0.00820842+0.00775762j -0.00731268-0.00636487j -0.00588746-0.00787968j -0.00441516-0.00228859j 0.00395289+0.00523075j -0.00385775-0.00948815j 0.00867956+0.0116164j -0.00055452-0.0045508j -0.00226569-0.00642599j 0.00232266+0.0152729j 
0.01723-0.00284334j -0.00854784+0.00403395j -0.0109309+0.00693943j 0.0172028-0.00698294j 0.0130686-0.0147298j -0.00654916-0.0300756j 0.0100175+0.0105766j 0.00292144-0.0233728j 0.0278856+0.0175028j -0.00699843-0.00717177j 0.00157179-0.00752375j 0.00996636-0.00570319j 0.0206002+0.018236j -0.00800223+0.00653804j 0.00560268-0.00673179j 0.0102282+0.00645713j 0.00818333+0.00432496j -0.00252501-0.00228923j 0.00872249+0.0211343j 0.00509513+0.0301788j -0.00684004-0.000745552j -0.00261523+0.00764096j -0.0102325-0.00400587j -0.00309396-0.00543394j 0.00861582+0.00983304j 0.0031459-0.00565308j 0.00928551+0.00499822j -0.00558628-0.00589206j 0.00160395+0.00700173j -0.00262181-0.00321109j -0.0076739-0.00271518j -0.0010791+0.00310817j -0.000671832+0.00222961j 0.00233413+0.00798446j 
0.00842058+0.0127848j -0.0177833-0.00371487j -0.0181816-0.00699822j 0.0231473+0.018625j 0.0238759-0.00037439j 0.00549444-0.0317472j -0.0042061-0.0110262j 0.00704088-0.00882087j -0.0082075+0.0341896j -0.000168952-0.00691301j 0.0177572+0.00702742j -0.0116974+0.0136487j -0.0217067+0.00462788j 0.00035672-0.00551308j 0.00515629+0.00797819j -0.00850488+0.0053177j -0.0151859-0.00189185j 0.00765818-0.000216909j 0.00170982+0.00493797j 0.0150847-0.0127782j -0.00208228+0.0042649j 0.00190315-0.0134213j 0.000469888-0.0010268j -0.0033833-0.000175114j -0.00553823+0.0003566j 0.00224913+0.00685938j -0.00312129+0.00241929j -0.00581222+0.00814998j -0.00766434-0.00832219j -0.00521722+0.00478265j -0.00881071+0.00216961j -0.00299735+0.00408601j 0.000649325+0.000794444j -0.00609173-0.00176882j 
-0.00571561-0.00331753j 0.0110993+0.013732j 0.00718379+0.00472636j -0.0180783-0.0198711j 0.00873227-0.00321941j 0.0403692-0.0131322j -0.00901341+0.00416009j 0.0304302-0.0114584j -0.00618325+0.0159735j 0.00623043-0.00908884j -0.00894887-0.000822626j 0.0199233+0.00146233j -0.00126687-0.00629957j -0.00228251+0.00209904j -0.000662784+0.00111244j 0.0083449-0.00300452j 0.0128644-0.00684398j -0.00567593+0.00367954j -0.0204235+0.00263129j 0.0095265-0.0144206j -0.00857508+0.00802526j 0.00526151-0.000905401j 0.00192646+0.00234209j 0.00321284-0.00523966j 0.0106916-0.00376453j -0.00815293+0.00360912j 0.00304364-0.00359356j 0.00674098-0.000520077j 0.00762156-0.00667489j 0.000834159+0.00127897j 0.0081852+0.00128445j -0.0040806+0.0100883j 0.00250547-0.00337793j 0.000120346+0.00773977j 
0.0171596-0.0134787j 0.00527798+0.0120632j -0.0116471+0.0177661j 0.0172509-0.0231361j 0.0249417+0.0142187j -0.0222762+0.000997639j 0.0128882+0.0145964j -0.0207493-0.002019j -0.022053-0.00186185j 0.00460929-0.00333786j 0.00890149-0.00953072j 0.0182697+0.00709429j -0.0116837-0.0025121j -0.00343488+0.00539893j -0.000825452-0.00232544j 0.00790976+0.00165621j 0.00426244-0.0116482j -0.00957062+0.00633269j 0.00505367-0.00251844j -0.00305223+0.000193848j 0.00521343-0.00639771j -0.0029945+0.00670652j 0.00254787-0.00339949j -0.00483856-8.65834e-05j -0.00483238-0.00096133j 0.00028533+0.0130516j -0.00448517+0.00512113j -0.00421857+0.00693892j -0.00256527+0.000146089j -0.0089533+0.0062138j -0.00376744-0.0040207j 0.00381997+0.000121162j 0.00676093-0.0134439j -0.00162506+0.000282998j 
0.0113287-0.00637552j -0.00508523-0.0118917j 0.00189637-0.00274501j 0.0125159-0.00255301j -0.002909+0.0252751j 0.00711413-0.00863098j 0.00371282+0.0275393j 0.00948881-0.00352519j 0.0164826+0.00717501j -0.00877402-0.0111757j 0.000481306+0.0218651j 0.000196977-0.00917644j 0.0168102-0.0213639j -0.0101437-0.00408142j 0.00810998+0.00330581j 0.00193639-0.0137161j 0.00161445-0.00601501j -0.00349369+0.00230624j 0.0201183-0.00104483j 0.0028889-0.0160094j 0.0105091+0.00595442j -0.00312229-0.00112111j -0.00448826+0.00382374j -0.00218486-0.00521194j 0.0101292+0.00202218j -0.00204735+0.00308571j 0.00742997-0.00480943j 0.00127952-0.00304269j -0.0016787-0.00255556j 0.00158417-0.00696559j 0.00308924+0.00805355j 0.0111728-0.00804592j -0.00982162-0.00155547j 0.00649677-0.00149308j 
0.00686831+0.000447681j 0.0325881+0.00368815j 0.00895723+0.00433811j 0.000686994-0.0109676j 0.0331874+0.014138j -0.0171951-0.010846j -0.0464404-0.00360543j -0.00687666-0.0082096j -0.0252565-0.0114595j 0.0132446+0.00764174j 0.0171735+0.0101179j 0.0130717-0.00546994j -0.000216558-0.00932243j -0.0099853+0.00861599j -0.0110836-0.0103439j 0.0289861+0.0220823j 0.000998082+0.0113853j 0.0103186+0.000599638j -0.00980698-0.000525098j 0.000272344-0.00493686j 0.013573+0.00393571j 0.0178548+0.000517194j 0.0166088-0.00112185j -0.00454205-0.00956663j -0.00872917+0.00328012j 0.00495774+0.00203265j 0.0111735-0.00501035j 0.0174305-0.0102518j 0.0019564-0.00263205j 0.000857281-0.0117447j -0.0123058+0.00438736j 0.00256532-0.00872399j 0.00598812+0.00797342j -0.00626143-0.00165084j 
0.00777966-0.0116421j 0.00754515-0.00311154j -0.031373+0.0374549j -0.0169894+0.0235096j 0.00476618-0.01875j 0.0147026-0.0111003j -0.00546651-0.0103701j 0.0178364-0.00703412j 0.0107444-0.0124454j -0.0039736+0.0108735j 0.00962528-0.0125602j 0.00591358-0.0125511j 0.00317804-0.000748714j -0.00643109+0.0119615j -3.35853e-05-0.00884123j 0.0020833-0.00126252j 0.00285351+0.00373515j -0.00317142+0.00259179j -0.00914656+0.000361197j -0.00128295-0.00339228j 0.00143997-0.00065394j -0.00294862+0.0106471j 0.00460214-0.00201322j -0.00476346+0.00671352j -0.0036881-0.00016329j 0.0167891-0.0217036j -0.0107762+0.00816471j -0.00800224+0.0123269j -0.00361701+0.00811903j -0.00891053+0.0148384j -0.00478823+0.00539398j -0.00971646+0.0116249j 0.0055382+0.000893139j -0.00198312+0.00371945j 
-0.021034-0.034217j 0.00403625+0.0174533j 0.0250758+0.0336177j -0.0232653-0.053105j 0.00790166-0.0092518j -0.0113468+0.0120302j -0.00054826+0.0113465j -0.0109211+0.00227754j -0.00827536+0.00120563j -0.00106654-0.00773908j 0.00111379-0.00781648j -0.00718305+0.0133707j -0.0081628-0.00764633j 0.0148771+0.0107654j -0.00510215-0.00792012j 0.00337589+0.00972384j -0.000263509+0.00531921j 0.00948152-0.0147555j 0.00528893+0.00784434j 0.00424079-0.00494236j 0.00436405+0.00668203j -0.00383833+0.00242778j 0.00542588+0.00671663j -0.00155041+0.00975352j 0.00672145+0.00128736j 0.011625-0.0168717j 0.0110376+0.00165457j 0.00398856+0.00686688j -0.00516671+0.00820903j -0.00665028+0.00971348j 0.00342777+0.00566346j 0.00178996+0.0184544j -0.0064535-0.00344288j 0.00306237+0.0120229j 
-0.0134564-0.0073091j -0.00176087-0.00912265j 0.0406407+0.0124218j 0.0285998-0.00985704j -7.92291e-05+0.00496101j -0.00724714-0.0100869j -0.0179982+0.0013544j 0.00678588-0.0124538j 0.000326996-0.00702288j 0.00836069+0.00720291j -0.000640406-0.00629964j -0.000697228-0.0125324j -0.00872949-0.0042634j -0.00617514-0.00123782j 0.000247016-0.000653835j -0.000533889-0.00610556j -0.00372314-0.00335907j -0.00563923+0.00708937j -0.00559303-0.00272281j 0.000230233+0.00379315j 0.0034056-0.00492368j 0.0010246-0.00434018j -0.00661352-0.00633972j -0.00888891-0.00631482j 0.0303318+0.0207525j 0.00559063+0.00530361j 0.0280713+0.0193585j 0.00942427+0.0042979j 0.000436694-0.00358313j 0.000870087-0.0018639j 0.0234981+0.0122075j -0.0108223-0.00887349j 0.00236593+0.000863296j -0.00875888-0.00512048j 
0.00718652-0.0127643j 0.0184987-0.00445531j -0.0274221+0.00902962j -0.0336334-0.0560522j 0.0221676+0.0103486j -0.00421361+0.000631886j -0.026181+0.0229004j -0.00505125-0.00649941j -0.00922228-0.00976484j -0.00182674+0.000480338j 0.000301138-0.0140085j -0.00812875+0.00354319j 0.00820616+0.00119313j -0.0125546-0.0164964j -0.000153096+0.000812813j 0.00647668-0.0131286j -0.0073307-0.00192261j -0.00404261+0.00125345j -0.00923438+0.0045914j -0.00338688-0.00217661j -0.00987756-0.00791286j -0.00221251-0.0064091j -0.0126478-0.00506891j -0.0112172-0.00634245j 0.000228514+0.00425383j 0.000129471+0.00771935j -0.0041511+0.00334641j -0.0026024-0.00526416j 0.00488322-0.00585985j -0.000659819-0.00266748j -0.00156041+0.00634034j -0.000502966-0.00544929j -0.00524373-0.00362997j -0.0089484-0.00234205j 
0.0131254+0.00796415j 0.00503432+0.00411436j -0.0157608-0.00511545j -0.012354+0.0165389j 0.0154645+0.024615j -0.0023573+0.0051059j 0.00642595-0.010529j -0.00205266+0.0223989j -0.0026907+0.0190013j -0.00714579-0.00614298j 0.0106089+0.0229228j 0.00484998+0.0211381j -0.00287352-0.0161114j -0.010785-0.00876085j 0.00736483+0.00703217j -0.0016607+0.0021208j -0.00344069-0.00537412j 0.00723293+0.000607795j -0.00213619-0.00481898j 0.00376628+0.00228064j 0.00533614+0.00291143j -0.0132772+0.00381315j 0.0016691+0.00484244j -0.00724454+0.00074188j 0.0233398+0.0127186j 0.00545919-0.00758546j 0.0176766+0.0138073j 0.00245207+0.0111953j -0.000388198+0.00606749j -0.00863866+0.00576439j 0.0133046+0.00159055j -0.00158114+0.00457684j -0.00844601-0.000969952j -0.000805586+0.000741547j 
0.00576871+0.00958913j 0.00568305+0.0148711j 0.0131797+0.0139176j 0.00664564+0.0174132j 0.0254366-0.00303932j -0.0121387-0.011808j -0.0253281-0.0231052j 0.00370882-0.00862355j 0.0005861-0.017169j 0.00203655+0.016576j 0.00529057-0.00501742j -0.000588058+0.0189987j -0.00719512-0.000312444j -0.00870158-0.00766193j 0.0074822-0.00358385j -0.00402867+0.000543988j -0.00900908-0.00345755j 0.0089546+0.00351837j -0.00240758+0.00442769j -0.000283061+0.00301289j -0.00303575-0.00467482j -0.000696468+0.00646231j -0.00681063+0.00425967j 9.43929e-05-0.000851952j 0.0136878-0.0228207j -0.0314455-0.00055395j 0.0164267-0.015026j 0.0139428-0.00186255j 0.0142214+0.00172271j 0.01403+0.0029851j 0.0102583-0.0199954j 0.0157799+0.00444416j -0.00465013+0.003635j 0.00227067-0.00215327j 
0.000423246-0.00134022j 0.00963934+0.0019037j 0.0361567+0.0395049j 0.0250556+0.0097538j -0.00543204+0.00495033j -0.00577089-0.000588077j -0.0240568-0.00506966j 0.00250383+0.00899847j -0.00734732+0.00843239j 0.00551616+0.00301961j -0.00909837-0.00568292j 0.00199011+0.017503j 0.01121-0.00504793j -0.00598872-0.0175135j -0.00164104+0.0058592j 0.00695853-0.00431928j 0.00314845-0.00234582j -0.00161223-0.000417504j -0.00161087+0.00118636j 0.00235225-0.00347751j -0.000452969-0.00236191j -0.00356533+0.00356354j -0.00388861-0.00124058j -0.00546836+0.000662004j -0.0258708-0.00368544j 0.0161252-0.00856107j -0.0349832+0.000998232j -0.0183483+0.00535188j 0.000507932+0.00497554j -0.0123869+0.00997189j -0.0214137+0.00143434j 0.00064356+0.00677334j -0.00978334-0.00288649j -0.00303021+0.00128973j 
0.022985-0.0198782j 0.00605436+0.0267526j -0.0048277-0.000922689j 0.0164942-0.0267403j -0.00327106+0.0161743j -0.00974709-0.011967j -0.0330917-0.0241129j -0.00338222-0.0102172j -0.00580389-0.019848j 0.0109391+0.0103106j 0.000255579+0.0208522j 0.0046339+0.00996084j 0.0141727-0.0031j -0.016648+0.0115013j 0.00903679-0.00774118j -0.0162816+0.010412j -0.00405124+0.00772362j 0.0103694-0.00020591j -0.000150406-0.00125356j 0.00691722+0.0011379j -0.00718406+0.00945894j -0.0184355+0.000396297j -0.00413461+0.0156858j 0.00331476-0.00307064j -0.00402813+0.00339751j -0.00111903+0.0119516j -0.00901075+0.011667j -0.00782408+0.00799948j -0.00408431-0.00345847j -0.00627511-0.0091785j 0.00237252+0.00263795j -0.00901964+0.000511344j 0.0134175+0.00648424j 0.00134751-0.00297275j 
-0.03976+0.00545974j 0.00155226-0.0265682j 0.0387151+0.00121074j -0.0562578+0.0355971j 0.01632+0.00772629j -0.000641541-0.0107353j 0.0162301+0.0137507j -0.0111842-0.00387976j -0.0225699-0.000250703j -0.00573056+0.00600594j 0.0101469+0.00465902j -0.0172644-0.00160049j 0.0152744+0.0070025j -0.0116451+0.00890997j -0.00853159+0.00336213j -0.00735319-0.00171244j 0.00589002+0.00977074j -0.0115217+0.0110538j 0.00319014+0.00197064j -0.00590852-0.00229175j -0.00694769-0.000271023j -0.00609171+0.0113559j -0.00207268-0.000436497j 0.0107598-0.00414196j -0.00420812-0.000377177j -0.00169109+0.000927389j -0.00177952+0.0045121j 0.000757132+0.000988741j -0.00281065-0.00224996j -0.00292921+0.00127016j 0.00709644-0.00101247j -0.000325003-0.00426606j -0.000745552+0.00142967j 0.00233513-0.00424431j 
