0.0106231-0.0130006j 0.0212651+0.00329987j -0.000639588-0.000887089j 0.00845139+0.0190767j 0.00884491-0.0112934j -0.023776+0.00844857j 0.0283382+0.043654j -0.00399264+0.00143435j 0.0231423-0.0478162j -0.00252336-0.00271975j -0.0477555+0.00523099j 0.0115629+0.0209925j -0.0139041+0.00288327j 0.0214797-0.00406577j 0.0123686+0.039141j 0.0130728+0.0467001j 0.021147+0.00595831j -0.0307216+0.0188936j -0.00512247+0.00796031j -0.0261753+0.0156818j -0.0430681+0.0291613j -0.0449651+0.0398565j 0.0202789-0.0258956j -0.00225321+0.00106796j 0.010397+0.00258717j 0.0195602+0.0115535j 0.00597425+0.0166387j -0.0181941-0.0127472j -0.0808439-0.0528987j -0.0214228-0.0107443j 0.0154727-0.0306706j -0.0234638+0.0563559j 0.00546164+0.0369537j 0.0296581+0.00340838j 
-0.0105916-0.00999718j 0.00180653+0.00509811j -0.00224481+0.0173452j -0.00559563-0.004104j 0.000848369-0.00678459j -0.00252212+0.016132j 0.0105681+0.00586421j -0.0203419+0.00614978j 0.00638317+0.00557335j 0.0211009+0.0171568j 0.00599458+0.000508825j 0.00567918+0.00164587j -0.00390926-0.00314193j 0.00727064-0.0104857j 0.00376774+0.00598827j 0.00677608+0.00909323j 0.00524547+0.00591735j -0.00332402-0.000740309j 0.00738023+0.010224j -0.00796054-0.00363848j -0.001864-0.00327448j -0.00639553+0.00209729j 0.00506932+0.00323971j 0.000459377-0.0200221j -0.00258489-0.00761915j -0.00203452-0.00481372j 0.0113706-0.00339671j 0.0124332-0.000602067j 0.00403035+0.000750485j 0.0153127-0.00714267j -0.00581584+0.00388262j -0.000870524-0.00232271j 0.00293763-0.00115678j -0.000302037-0.00233236j 
-0.00336206+0.00176564j -0.00145854+0.000753064j 0.00162312-0.00174039j -0.000547993-0.000932448j 0.00169359+0.0002459j 0.00445145-0.0139985j 0.00108598+0.00274234j -0.0187042+0.00173132j 0.00570067-0.0100293j -0.000265329+0.00670889j 0.00358629-0.000534058j 0.00877109-0.0174665j 0.00974968-0.00158357j 0.012589-0.0108214j -0.00676385-0.00558145j 0.00200342+0.00132886j 0.0227269+0.0160643j -0.00384116+0.00906125j -0.0174826-0.00685006j 0.00389577+0.00921564j 0.00375454-0.00575121j 0.0103849-0.00638935j 0.0149559-0.0147511j -0.00401177+0.00243332j 0.000806382-0.00145846j 0.000796365-0.011243j -0.000310407+0.00213856j -0.000548885+0.00256207j 0.00151187-0.00460739j 0.00222419-0.00171568j 0.013946-0.002485j 0.00600297-0.0158925j 0.00800653+0.0163761j -0.00638205-0.0131382j 
-0.00385455-0.012387j -0.0165792+0.00502014j 0.0141469-0.0422851j 0.00548045-0.0107574j 0.0263389-0.0014933j -0.000955705-0.0104617j 0.000174231-0.00179645j -0.000874835+0.00273625j -0.000892349-0.00347069j -0.00198707-0.0012154j -0.00123293-0.00136732j 0.00242931-0.00482033j 0.00457492-0.000704857j 0.000528304-0.0015964j -0.00232788-0.00289333j -0.000864403-0.00134909j 0.00669527+0.00251535j -3.31188e-05+0.00253556j 0.00100468+0.00199088j -0.00128359-0.000337189j 0.000355118+0.000176261j 0.000908712-0.000486359j 0.00190227-0.00249929j 0.00204446-0.00364311j 7.77962e-05-0.00218998j -0.00063222-0.00198214j 0.00175027+0.000680252j 0.000500661-0.000289894j -0.00194249-0.00253664j 0.000617485-0.000713567j -0.000575531+0.00162398j 0.00146605+0.00131311j 0.000764005+0.00219499j 1.1631e-05-0.00284654j 
0.00289207-0.00602135j -0.00146035-0.00109003j -0.000279127-0.00879829j 0.00246388-0.00129308j 0.00159265+0.00142983j 0.000484139+0.0181005j 0.00775773+0.00302954j -0.0131745+0.00692292j 0.00347765+0.00713141j 0.0212821+0.0122522j 0.00569601-0.000324234j 0.00412812+0.00474764j -0.011718+0.00480949j -0.0106912+0.0160059j 0.00802167+0.0132071j -0.00978037-0.0134079j 0.00583244+0.00834108j -0.000935956-0.00673569j -0.00974962-0.00620463j -0.000255477+0.00320716j 0.000355927+0.00192378j 0.00161308-0.011016j -0.00358669-0.027424j -0.00288822+0.000565364j 0.0057759+0.00736184j 0.00258495+0.00840414j -0.0282785+0.00427927j -0.018088+0.00670577j -0.0011921+0.00463941j 0.0143128-0.00392448j -0.00273874-0.00276842j 0.0029327+0.0024333j -0.00386994-0.00415769j 0.00401964+0.00219404j 
0.00135412-0.00242909j -0.00198097+0.000529984j 0.000731692-0.00605723j 0.00151452-0.000751588j 0.00336322-0.000974012j 0.000907023+0.00442045j -0.00288201-0.00091657j 0.0172993-0.0104166j -0.00399445+0.00695785j -0.00718009-0.00839776j -0.0041013+0.0025311j -0.00604112+0.00864612j 0.00212322-0.00651459j -0.00760414+0.00880576j 0.0023456+0.00483527j -0.00461255+0.000293885j 0.0180522+0.00223458j -0.00344668+0.00245039j 0.0262777+0.00821733j -0.0231088-0.00162215j -0.00185904+0.00811863j -0.0071681+0.00923097j 0.00453154-0.00253442j 0.00375158-0.0308558j -0.000545334-0.00702086j -0.000594948+0.00285841j 0.00207408-0.00600416j 0.00734756-0.00359231j -0.00119646-0.00699075j 0.0101133-0.00904356j -0.00966503+0.012157j 0.0128322-0.000351598j -0.00467494-0.0171578j -0.00756673-0.0164333j 
0.0330893+0.00828317j 0.000353829-0.01209j -0.0230631-0.0242978j 0.0148301+0.00851299j -0.0114939+0.0174339j 0.00927802+0.00802467j 0.00146801+0.00319651j 0.00158105+0.000866234j 0.000392821+0.000586069j 0.00231246-0.00200568j 0.00139743+0.000708654j -0.000870116+0.00393258j -0.00555005+0.00664109j 0.00358593-0.00515256j 0.00612566+0.00693874j 0.00519079+0.00411578j 0.000347871+0.000951556j -0.0027526-0.000787739j -0.00383144+0.00104313j -0.000583751+0.0016015j -0.000771297-0.00278485j -0.00169138-0.0003763j 0.0005498+0.000136597j -0.00506189-0.00175162j -0.00105723-0.000224458j -0.000584234-0.00144618j 0.000970762-0.0011889j 0.00293353-0.000310797j 0.00332988+0.00268585j 0.00640998-0.00463383j 0.000773022-0.00257286j -0.00257503-0.00338425j 0.00231431+0.00135567j 0.000880795+0.00102699j 
-0.00292338-0.0013131j 0.000280421-0.00017995j 0.00119624+0.00120272j -0.00064822-0.000263949j -0.000563214-0.00111649j 0.00829268+0.0046979j 0.00106712-0.00142674j 0.000491925+0.00252005j 0.00353616+0.00824917j 0.0157867+0.00364431j 0.00101404+0.000473483j 0.000300886+0.00700083j -0.00031735-0.021958j -0.00591079+0.0268946j -0.00940796-0.00154289j -0.0171926-0.00671685j -0.00231419-0.00369717j -0.00149108+0.00325296j -0.00142257-0.0014174j -0.000589937+0.00162318j 0.00128497+0.0109929j 0.00224219+0.00342726j -0.00443316-0.00221297j 0.0166326+0.0135992j 0.0090457+0.00454489j 0.00609404+0.00568925j -0.0102188+0.00933126j -0.0105197+0.00841356j -0.00782645-0.00907599j -0.0232884+0.0140524j 0.00177033-0.000884534j 0.0108703+6.74739e-05j -0.00614967-0.00809006j -0.0115864-0.0125018j 
0.000825738-0.00382182j -0.00400105+0.00202291j -0.00683789-0.0160456j 0.00279732-0.00330796j 0.00566676-0.00039278j 0.00459577-0.00192174j 0.00759523+0.000302808j -0.0189234+0.0196276j 0.00592626-0.00520074j 0.0211201+0.00817276j 0.00450222-0.00281108j 0.00622458-0.00731615j -0.00442153-0.00268232j -0.00224218-0.00088087j -0.00465415-0.00406526j 0.0058467+0.00269931j -0.0229097-0.00483197j 0.000847398-0.00378764j 0.0162385+3.00847e-05j -0.0043659-0.00419408j -0.00131494+0.00320426j -0.00158857+0.0118238j 0.00331498+0.0232827j 0.00131379-0.00195523j -0.00355708-0.000321306j 0.00058061+0.00274429j 0.0117671-0.00942987j 0.006634-0.00734011j 0.00118918-0.0017329j -0.0121971+0.00612588j -0.00293301+0.00452236j -0.00130622+0.0063945j -0.00497204-0.00642908j -0.00201813+0.00746809j 
0.00566035-0.00443495j -0.000285815-0.00536166j -0.0079026+0.00177336j 0.00390898+0.000880504j -0.00351653+0.00747853j 0.019179+0.0101421j 0.00219748-0.00464929j 0.00915121-0.00196614j 0.00603308+0.0123729j 0.0152324-0.0034734j 0.00167625-0.00101942j 0.000184317+0.014193j 0.00127063-0.0306732j 0.00554995-0.01222j -0.0159257-0.00642095j 0.00760706+0.00348964j 0.00885527-0.000250052j 0.00393252+0.00903281j -0.00286482+0.00116298j 0.00705935-0.00057601j 0.000223677-0.00393251j 0.00733472-0.00189453j 0.0114398+0.000345167j 0.00254045+0.00197226j -0.00482136-0.0024397j -0.00645581-0.0081839j 0.0113402-0.00673847j 0.00600177-0.00557409j -0.00141994-0.00395249j -0.00668067+0.00417739j 0.00729117-0.0030615j -0.00353768-0.00400545j 0.00832232+0.00966401j -0.00457826-0.0116958j 
0.000349577-0.00091136j -0.000787609-0.000562516j 0.00137101-0.00116614j 0.000513647-4.52273e-05j 0.000533802+0.000811313j 0.00224024+0.00176427j -0.000413927+0.000859226j -0.000842528-0.00644721j 0.000360206+0.00216061j -0.00309943+0.00141719j -0.000352735+0.00113202j 0.000218778+0.00179225j 0.00303771-0.00169091j 0.00104026-0.000916744j 0.00278405+0.000530204j -0.00344819+0.000389279j 0.0210115-0.00344817j 0.000119881+0.0026817j -0.00339858+0.00366877j -0.000717958+0.00285706j -0.000398051-0.00162225j -0.00282503-0.00578318j -0.00676608-0.0153557j -0.00524313-0.00638119j 0.00112507-0.00251441j -0.000988341-0.00200635j -0.00388165+0.00641715j 0.000435375+0.00399324j 0.000679218-0.00105499j 0.00692563-0.0128541j 0.000327954-0.00104009j -0.000199331-0.00698799j 0.00394476-3.45347e-05j -0.00515788-0.00701032j 
0.00226646-0.000900005j 0.00112225-0.000391596j -0.000664822-0.00023577j 0.000585285+0.000422508j -0.00128206-9.99205e-05j -0.00397715+0.00922971j 0.00338715+0.000495936j 0.000281314+0.00202737j -0.00289041-0.000287414j -0.00208042+0.00176065j 0.00107844-0.000827911j -0.00207754-0.000702256j 0.00482014+0.0167677j 0.000280603+0.00276958j 0.011729-0.0021278j 0.000555625+0.000230447j -0.00929583+0.00464605j -0.00311514-0.00725658j 3.22434e-06-0.00227816j 6.76409e-05-0.00130876j -0.00094053-0.000663335j -0.0042575+0.00121046j -0.00568972+0.00435378j -0.00502771+0.00218884j 0.00172815+0.00198651j 0.00470949+0.00382296j -0.00534286+0.00438909j -0.00117863+0.00286704j 0.00773933+0.00478424j 0.00611352-0.00761292j -0.00386845+0.00369279j -0.000344486+0.00334813j -0.00646298-0.00119195j 0.0116039+0.00697684j 
