0.226809+0.0483292j 0.0483153-0.22737j -0.272052-0.0834388j -0.0844777+0.282364j 0.161262+0.08844j 0.112405-0.191943j 0.0457332-0.0955408j 0.145299-0.0324903j -0.183054-0.027708j -0.0719595-0.0710226j -0.0376684-0.0904362j -0.00994005-0.0545164j -0.0480954+0.0153266j -0.0687706-0.0488721j 0.0708994+0.0506682j 0.0466836+0.0529653j -0.057145+0.0522922j -0.0307662+0.00788377j -0.00749884-0.0239567j -0.0190258-0.121558j 0.062282+0.00152831j -0.0282323+0.0191164j 0.00922328+0.0238855j 0.058583+0.0652028j 0.0271432+0.0837166j 0.0214391-0.0192426j 0.00081174-0.0124006j -0.0194478-0.0724343j -0.0387738-0.0471383j -0.0265226-0.0206739j 0.00812679+0.0249613j 0.0311977-0.0223438j 0.0184316-0.00735325j 0.038686-0.0161027j -0.0626369-0.0179116j -0.0454742-0.0412517j 0.032297+0.0269068j 0.0464546+0.0206438j 0.0190661-0.0301398j 0.0078401+0.0126753j -0.0308343+0.0615799j 0.0210269-0.130657j 0.0027704-0.0348436j 0.0320465-0.0784799j -0.016202+0.0112496j 0.0199526-0.0467394j 0.000351988-0.00305241j 0.00580954-0.0228453j -0.00614638+0.00126157j -0.0148663-0.0282413j -0.00969772+0.0089026j 0.00284057-0.0035776j -0.0184524+0.0326965j -0.0292249-0.0277686j -0.00708379+0.120013j 0.0260384-0.0259145j -0.0115626+0.0905252j 0.0833402-0.0480821j -0.0780572+0.0349157j -0.0292695-0.0135702j -0.0758586+0.031412j 0.0553367-0.0270256j -0.0537344+0.0415762j -0.111372+0.0230554j 0.0466065-0.0429981j -0.0999009+0.0264183j 0.0999514+0.0395734j 0.0740083+0.0119784j 0.117377+0.13138j 0.0212222-0.17036j -0.0539363+0.070508j 0.0993276-0.0879634j 0.152338+0.0650417j 0.0136161-0.226121j -0.215601-0.011353j -0.0228613-0.186233j 0.186024-0.022862j 
0.00329781-0.0024224j -0.00259233-0.00297515j -3.96213e-06+0.000845768j 0.00177586-0.000266004j -0.00239695+0.0035743j 0.00104634+0.000395949j 0.00126119-0.00438828j 0.00112676-0.000842672j -0.000511217-0.00235664j -0.00184631-0.00819395j 0.00701904+0.00407089j -0.00134611+0.00263708j 0.00501871-0.00396778j 0.00177158+0.000444988j -0.00368106-0.000473436j -6.59179e-05-0.0029202j -0.00474641+0.00166422j -0.00166603-0.000134446j 0.00170024-0.000461439j 0.00264252-0.00314647j 0.00144468+0.00598802j -0.00118193-0.00115617j -0.004433+0.00128461j 0.00164815-0.00192832j -0.00350739-0.0078428j -0.00204217+0.000288084j 0.00203872-0.00495633j -0.00189918+0.000575303j 0.00126765+0.000102738j 0.000515759+0.00102417j 0.00329292-2.97149e-05j 0.00606956-0.00179019j 0.00224729+0.000679314j -0.00122554-0.00147023j -0.0024926+0.000209319j 0.00216903-0.00196882j -0.000202467+0.00101198j -0.00578464-0.000256166j -0.00599818+0.00224457j 0.00202668-0.00113376j 0.000684109-0.00396596j -0.000121211+0.00239019j -0.00139643+2.03539e-05j 0.00205816-0.000331945j 0.00121883-0.00341001j -0.00483649+0.00205493j -0.00211244-0.003307j -0.00295056+0.00282205j 0.00575171+0.00463825j -0.00143305-0.0022199j -0.000668296-0.00312826j -0.000707442-0.0012294j -0.0027731+0.000388233j -0.00188764+0.000285178j -0.000145881-0.00385286j 0.00134182-0.000777385j 0.00126127+0.00317897j -7.27889e-05-0.00525715j 0.00283596+0.000848958j 0.00621274-0.00423258j -0.000299951-0.00152312j 0.00264722-0.00277873j -0.00257171+0.00033547j 2.29865e-05+0.00153569j 0.00692995+0.000221391j -0.00318346-0.0123928j -0.00753541-0.00218567j 0.00157025+0.000942877j 0.00319325+0.00201482j 0.00337782-0.000766331j -0.000358449-0.00329875j -0.00251674+0.000481066j -0.00128479-0.00132276j -0.00572814+0.000809718j 0.00035264+0.00547455j -0.000675201-0.00128584j 0.00137104-0.000713744j 
-0.00391501+0.00118612j 0.000492606+0.00401142j -0.00636189+0.00154309j 0.00224316+0.0059274j -0.00782505+0.00364534j 0.00122727+0.00547635j -0.000831804-0.000495082j 0.00202308+0.00030709j -0.000891839+0.00435871j 0.00031894-0.00597323j 0.00458276+4.62058e-05j 0.000798168+0.00327151j 0.00142068+0.000408039j -0.00326469-0.000531531j -0.00026988+0.000703577j -0.00377055-0.00186379j 0.00448538-0.00547111j 0.00305292+0.00477859j -0.00044239-0.00123127j -0.000237795+0.00492176j -0.00321846-0.00348093j 0.000935792-0.00210359j 0.00118076+0.00230019j 0.00115827+0.00208259j 0.00255761+0.00134771j -0.00502461-0.000406893j 0.00309841-0.00499051j -0.000905831-0.00212789j 0.00139257-0.00240941j -0.00518493+0.00100678j -0.00194199-0.00261195j 0.000148772-0.00174353j -0.00148929-0.00293058j -0.0025176-0.000243541j 0.0054857+0.00364233j -0.00328619-0.00138186j -0.00174647-0.00331909j -0.00326105-0.00128826j -0.000433453-0.00390952j -0.0028904+0.00293492j -0.0023975+0.00236589j 0.000445117+0.000132552j 0.000655248-0.000401294j 0.000964418-0.000802303j -0.000274208+0.00253149j -0.000244498+0.000720346j 0.000923828+0.0027603j -0.000458856+0.00280453j 0.00442096+0.00477094j -0.0027644+0.00423166j -0.00151609+0.00244664j 0.00409603-0.00313502j 0.00338097-0.00366989j 0.000464811-0.000721113j 0.00178322-0.00211748j 0.0027533-0.000327609j 0.00339012-0.00142017j 0.00470098-0.00121296j -0.00259958+0.00585856j 0.000800707-0.000593381j 0.0059623+0.000588357j -0.00105132+0.00048487j -0.00488359-0.0048118j 0.000830845+0.00127191j -0.00136884-0.000598988j -0.00529784-0.000747577j 0.00313113+0.0051053j -0.004318+0.00619124j -0.00594684-0.00651732j -0.00333456+0.00262253j 0.000753753+0.00010351j -0.000840879+0.00267053j -0.00220138+0.000281868j -0.000511361-0.00871029j -0.00918706+0.000544305j 0.000805155+0.0014371j -0.00128158+0.00101328j 
0.000535307+0.00182086j 0.00167995-0.000524317j 0.00257993+0.000347331j 0.000814585-0.00261499j 0.000198939-0.00390567j -0.00459356-0.00180428j 0.00169345+8.51987e-05j -0.00317498+0.000341809j -0.00620484+0.00375553j -0.000382137-0.00308526j 0.00342449-0.00114789j -0.000383455-0.00287526j -0.00570902-0.00667001j -0.00221546+0.00259606j 0.000123758+0.00552318j -0.00117805+0.00199133j 0.00423496+0.00279569j -0.00174764-0.00534228j -0.000460562+0.00224468j 3.44147e-05-0.000854004j 0.001353-0.00396682j 0.00126566+0.000874852j -0.00194373+0.00234485j -0.000837378-0.000497283j 0.000638492+0.00324867j 0.00276866-0.000789801j -0.00517313+0.000698077j 0.000622548-0.00119651j -0.00188723+0.000558343j 0.00695075-0.00235571j -0.00366544-0.00160375j 0.00225581-0.00305984j -0.00168594-0.000519791j 0.00266637+0.00273535j 0.00137266+0.00124921j 0.0012673+0.00078836j 0.000897162-0.00213286j 0.00210093-0.000323957j -0.000793765+0.00115573j -0.000160955-0.000437146j -0.000244288-0.00149391j 0.00225142-0.00174528j 0.000809989+0.00294121j 0.00104412+0.00187854j 0.00124087+0.00229469j 0.00296204-0.000712156j -0.000790894-0.00222j -0.000577431-0.00470818j 0.00139018-0.00214564j -0.00339291+0.00323161j 0.000192269+0.00106788j 0.0013073+0.000731246j -0.000970974+0.00169902j -0.00193823+0.00175254j -0.000754223-0.00251492j -0.000304314+0.00312915j 0.00109668+0.00298616j -0.000720605-4.75937e-05j -0.000817426-0.00212309j -0.00580699-0.00292273j -0.00289136+0.00217343j 0.00245353-0.00142999j 0.00280509+0.00125589j 0.00267829-0.00471326j 0.00272014-0.00109184j -0.00331175+0.000249421j -4.39921e-05+0.00323453j 0.000572284+0.00226845j -0.00266236-0.000576375j 0.000166375+0.00500988j 0.00936989+0.000979611j 0.00160219-0.00819825j 0.00256503+0.00158953j 0.000632881+0.00249316j 0.00227281-0.000652591j -0.000276829-0.000699417j 0.00070995-0.000250215j 
-0.000909625-0.00175102j -0.00208028+0.00101719j -0.000570163+0.00367774j 0.00449498+5.72482e-05j 0.00436693-0.00416974j -0.00628158-0.00382902j 0.00105884+0.000338299j -0.0019156+0.00269236j 0.00119609+0.00171073j 0.00124509+0.00409699j 0.00245423+0.00123338j -0.00392863+0.000840974j 0.00049865-0.00414414j -0.00630043+0.00312362j -0.00164643+0.00596144j -0.00395746+0.00263286j 0.00489765+0.0107308j -0.000179469-0.000711577j 0.00317814+0.00314471j 8.97229e-05+0.00234173j 0.0055383-0.00298844j -0.000603864+0.000416291j -0.00301037-0.00279119j 0.00610957+0.00118645j 0.00246898+0.00151909j 0.00616133-0.00716058j 0.000796198-0.00497214j 0.00200662+0.00128078j 0.000906213-0.00587929j 0.00475904-0.000418645j 0.00350642-0.00244916j -0.00125516-0.00110418j -0.00242469+0.00329317j -0.00252011+0.0022047j -0.000530084-3.40671e-06j 0.00260321-0.000922741j 0.00470745+0.003297j 0.00327477+0.00352622j 0.00200597-0.00287787j -0.00350703+0.00183445j 0.00278815-0.000814245j 0.0040406-0.00653932j 3.19591e-05+0.00176745j 0.00282767-0.00210367j -0.0044603-0.00165661j 0.0035611-0.000369597j -0.00133083-0.0023042j 0.00141285-0.00118982j -0.00110533-0.000440857j -0.00289994-0.00176936j -0.00339921+0.00171004j 0.00211732+0.00302141j -0.00438909-0.00159726j -0.00334687-0.00295306j -0.00806904-0.0049868j -0.000676773+0.00500681j -0.00846686+0.000304297j -0.000564819+0.00229345j 0.003337-0.00797993j 0.00114101+0.000468055j 0.000656784+0.00189718j 0.00268151-0.00121718j 0.00414234+0.0033243j -0.00147037+0.00336996j 0.0060542+0.00154765j -0.00503421-0.00743312j -0.000966916+0.00142191j 0.00164041+0.00317315j 0.000740035+0.00259478j 0.0010871+0.00389568j 0.0051439+0.00370962j 0.00539572-0.00199858j -0.00217226+0.00411172j 0.00134814-6.30201e-06j -0.000691175-0.00141572j 0.00137889+0.0011193j -0.0010527+0.00146783j 
0.00273246-0.000421597j -0.000527343-0.00285952j -0.00186456+2.33655e-05j 4.15577e-06+0.00212858j -0.000310566-0.0028761j -0.002193+0.000286374j 0.00409244+0.000686821j 0.00126243+0.00430051j 0.00347194-0.00275763j 0.00405537+0.00156014j -0.00383303+0.000860636j -0.00307592-0.00190438j 2.51563e-05+0.00686607j 0.00154849-7.98774e-05j 0.00299688+8.17551e-05j 0.00210874+0.000557392j -0.00713409+0.00299381j -0.00204687+0.0020826j -0.0019284+0.00369917j 0.00127405-0.00555687j 7.58164e-05+0.00225433j -0.00389301-0.00146933j 0.000451629-0.00128006j 0.00135352-0.00283128j -0.00343519+0.00191834j 0.00542471-0.0011936j 0.00122957-0.00110342j 0.00301919-0.00025424j 0.00336336+0.00205963j 0.000401911-0.00101722j 0.00324233+0.00330508j 0.000449349+0.00611357j 0.000855964+0.0027063j 0.00598744+0.00356586j -0.00246385-0.00375418j 0.00355532+0.00281677j 0.00373703+0.0022251j 0.00354397+0.00195067j -0.000270738+0.00266485j -0.00154713-0.00156301j 0.00201483-0.00253001j 7.79886e-05+0.00194571j 0.000489514-0.00261438j -0.00210503+0.00113433j -0.00120581-0.00451269j -0.00148207-0.00517416j 0.00319669-0.00450194j -0.00165145-0.000262956j -0.00300021-0.00314417j 0.000171301-0.00145807j 0.00355479+0.0004417j -0.00170399+0.00232207j -0.0023953+0.0022092j 0.0055075-0.0044206j -0.00275658+0.00296087j 0.00293429+0.00299283j -0.00570713+0.00171083j -0.000338292+0.00272637j 0.00221702-0.000606143j 0.000364161+0.00161084j 0.000790563+0.00281593j 0.00271561+0.00197154j 0.000416612+0.00074314j 0.000759179+0.00105901j 0.00163601+0.00583333j 0.00766434-0.00462946j -0.00124065-0.00862478j 0.00150868-0.0045889j 0.00735973+0.00167702j 0.00143565+0.0019476j 0.00334992-0.00145606j -0.00317045-0.000480678j -0.00360387-0.00327447j -0.000754114+3.55868e-05j -0.0005072+7.29481e-05j 0.000733248+0.0028522j -0.0028921+0.000758866j 
-0.00414218+0.00197976j 0.00176945+0.00396241j 0.00119111+0.00104845j 0.00190861-0.000666076j -0.00282505+0.00156733j -0.000754351+0.000199046j -0.00394397-0.00263858j -0.000822292-0.0044727j -0.00725586+0.00285099j -0.00444232-0.00564845j 0.00437206-0.00190717j 0.00241337-0.00149539j -0.00254534-0.00304362j -0.000945778-0.00660217j 0.00033141+0.00322464j -0.00494583-0.000520417j -0.00176282+1.52773e-05j 0.00183112-0.00156595j -0.00065827+0.000130734j -0.000150292-0.00182161j 0.00543716-0.00425848j 0.000711625+0.00342524j 0.000187264+0.00283067j -0.00618006-0.0040177j -0.00735217+0.00444874j -0.00166977+0.00316872j -0.00717632-0.000256389j -0.00103043+0.00143286j -0.00379771+0.001747j 0.00142741+0.00167076j -0.00199657-0.00535121j -0.000864925-0.0026097j 6.56781e-05-0.0052165j 0.00274132+0.00187779j 0.00391683+0.00381361j -0.00086897-0.00132461j -5.80071e-05-0.00336509j -2.48753e-05+0.00179087j 0.0011197+0.00533103j 0.00163359+0.000137143j -0.0032637-0.000615863j 0.00230083+0.00235934j -0.00230407+0.00080475j 0.00176222+0.00136983j -0.00189032+0.00427574j 0.000581247+0.00573654j -0.000239804+0.000429049j 0.00226083+0.00334496j 0.00332433-0.00732525j -0.00329569+0.00712399j 0.00131113+0.000844545j 0.000341602-0.000580597j 0.00342915+0.000871471j -0.000574231+0.00282421j 0.00411358-0.0029765j 0.00093109-0.00139097j 0.00382488+0.00218601j -0.00118276-0.0026336j -0.00397616+0.00282687j -0.00529104-0.00442675j -0.00114145-0.000401879j -0.00134666-0.000638168j -0.00353763+0.000260479j 0.00373911-0.00113771j -0.00342655-0.00281135j -0.00976391+0.0016417j 0.00216582+0.00969893j 0.000278909+0.00378537j -0.000955618-0.000572998j -0.00533+0.000841953j 0.0014483+0.00524114j -0.000250817-0.000581294j -0.00166908-0.00470292j -0.00134034+0.00242219j 0.00219038+0.000277482j 0.00252618+0.00104323j -0.00109765+0.00256581j 
-0.00218976+0.0024578j 0.00243615+0.00214781j 0.003963-0.00482259j -0.00471881-0.00410095j 0.000382757+0.00130735j 0.0011566-0.00359743j 0.00554985-0.00156968j -0.00122863+0.00269808j -0.00255842-0.00150622j -0.0043451-0.00505745j 0.00212914+0.00577916j -0.00386397-0.00471879j 0.00280625-0.000101184j 0.00576291-0.000135157j -0.00475983-0.00328866j 0.00313319-0.0071447j -0.0041499-0.00611542j 0.000855353-0.00542494j -0.00614289-0.00127315j 8.97641e-06-0.00544623j -0.00180283-0.0037198j 0.0050646+0.00332841j -0.000742765-0.00153609j -0.00980313-0.00256945j -0.00122354+0.000654769j -0.00408834+0.00471104j 4.41766e-05+0.00588091j -0.00350147-0.000312271j -0.00363782+0.00379435j 0.00124408+0.0042372j -0.00714974+0.0050668j -0.00290773+0.000667439j 0.0049722-0.00571349j 0.0016328+0.000133652j -0.0017774+0.00590108j -0.000431336+0.0020192j -0.00650564-0.00222151j 0.00114811-0.00693488j 0.000516251+0.0011005j 0.000924513-0.0029756j 0.000609017-0.000397105j 6.38779e-05+0.00629255j -0.00173221+0.0036267j -0.00698192+0.00564207j 0.00360447+0.00153065j -0.00503614+0.00486785j 0.00454108+0.00409126j -0.00386475+0.000128387j -0.000249067-0.00327165j -0.0004108+0.000242626j 0.00663239-0.00445122j -0.00151489+0.00463796j 0.00379708+0.00250366j -0.000913661+0.00918531j 0.016472+0.00326439j -0.00386565-0.00411852j 0.00344843+0.00315864j -0.000112906-0.00842256j -0.00467964+0.00622023j -0.0014589+0.00537781j -0.00487007-9.55421e-05j -0.00110758+0.00136217j 0.00302923+0.00178021j 0.0001681-0.000910808j 0.000227046+0.00114369j 0.00409122+0.000763722j -0.000162146-0.00315247j 0.000322506-0.00135679j 0.000672656+0.000592251j 0.00114159+0.00112423j 0.00196161+0.000437089j 0.0022931-0.00151715j 0.000275746+0.00251531j 0.000529194+0.00246606j 0.00246563-0.00035504j -0.000507641+0.00136068j -0.00135985-0.000498615j 
-0.00342232+0.00121377j 0.00111929+0.00324559j 0.004627-0.00168868j -0.00105626-0.00413037j -0.00153258-0.000649797j -0.00215079-0.00318388j 0.00292518-0.00348365j -0.0019258-0.000219379j 0.00242066+0.00340653j -0.00367865-0.00184304j -0.000607187+0.0105467j -0.00686997-0.0016493j 0.00585359+0.00476204j 0.00198412-0.000706511j -0.00154005-0.00529066j 0.000205544-0.00317093j 0.00170634-0.0055506j 0.00123194-0.00480858j 0.00307725-0.000946116j 0.00293136+0.00419943j 0.00349372-0.00464168j 0.00397933+0.00541389j -0.00167379-0.00774025j -0.000672505-0.00176445j 0.00727824-0.00476808j -0.00286339-0.00382472j 0.00220226+0.0045994j -0.00708441+0.00110671j -0.0108363-0.00438645j -0.00434632+0.00211461j -0.00182986+0.0028486j -0.00769668-0.00155822j 0.00284187-0.000596375j -0.00272134-0.00413078j -0.000956401+0.00554674j 0.00083307+0.000445858j -0.00483168-0.000223574j 0.0014472-0.00805076j 0.00246195-0.00524584j 0.00192813+0.00464425j 0.00409225+0.000714739j -0.000222231-0.00271411j -0.00216239+0.00321712j 0.000668703-0.000251453j 0.000293986+0.0032078j -0.00411013+0.00232391j 0.000708477+0.00587369j -0.00457256+0.00153846j -0.00268072-0.00233864j 0.0010604-0.00053497j 0.00377788-0.00141137j 0.00231873+0.00153508j 0.00151812-0.000483933j -0.00901956+0.00551748j 0.0120737+0.00393714j -0.00357658-0.00355332j -0.00449666+0.00236315j 0.00598394-0.00609069j -0.00545848-0.00112502j 0.00154642+0.0111826j -0.00174375-0.00333096j -0.000574521+0.000304529j 0.0024729+0.0012445j -0.00920809+0.00139565j 8.63298e-05+0.00194159j 0.00349915-0.00347416j 0.00331666+0.00109868j 0.0015035+0.00440771j -0.00315619+0.00977488j 0.00292663-0.00209226j -0.00261823+0.00165623j 0.00355968-0.000676178j 0.00294097+0.00198325j 0.00329372-0.00117205j -0.000574696-0.00348925j 0.00234923-0.00135684j 0.00132489+0.00236816j 
0.00303511+0.00243442j 0.0025942-0.00338399j 0.000785098+0.000926313j 0.000447538+0.000320223j -0.00218666-0.00278673j 0.000782362+0.000693001j -0.0014991+0.00219018j -0.00125062-0.00553694j -0.00769117-0.000748877j 0.00568801-0.00261946j -0.000365617-0.000335617j 0.00615611-0.000113063j -0.000549027-0.00555167j -0.00168059-0.000548304j -0.000873498-1.5572e-05j 0.000480575+0.00223621j 0.00260943-0.00152557j 0.000204254-0.00363442j 0.00156159+0.000317245j 0.000770536+0.00533597j -0.00229864+0.00219997j -0.000130432-0.00210339j -0.0011617+0.00145658j 0.0029492+0.00311521j 0.00342883-0.00106484j 0.00158981+0.00298354j -0.000705961+2.47698e-05j 0.00151697-0.00228315j -0.000260422+0.00177874j 0.00243436-0.000919452j -0.000435211-0.00290266j 0.00763005-0.000287519j -0.00380016+0.000524565j -0.0019522-0.00121924j 0.00180143-0.00246243j -0.000995808+0.000677348j 0.000999002-0.00185709j -0.00322787-0.00114797j -0.00285292-0.00223006j 0.00191434-0.000438574j 0.000160726-0.000259093j -0.00107517+0.000384404j 0.000718228+0.00126488j 0.00203947-8.92766e-06j 0.00437875+0.00291749j 0.00259433-0.00369882j -0.000868948-0.00320029j 0.00163247-0.0067616j 0.000490539+0.00771793j -0.0011246-0.00135262j -0.00297301+0.00128j 0.00120475-0.00432113j -0.000504853-0.00125953j -0.00174045-0.00321827j -0.00114773-0.00212857j -0.000552132+0.00131299j 0.00461142-0.00117321j 0.0025894+0.00445664j 0.00184589-0.000820739j -0.00081214-0.0070217j -0.00239334-0.000629496j 0.00323162+0.00154452j -0.00164356-0.00224611j 0.00311426-0.00566504j -0.00158344-4.90258e-05j 0.00689298+0.00155838j -0.00272451-0.000126783j -0.00430594+0.000991773j -0.00615692-0.0034876j -0.00323622+0.000585077j 0.00179013+0.00176193j 0.000488818-0.00525469j 0.00636104-0.00107936j -0.00190414-0.000303905j 0.000756471+0.00197055j -0.000717704-0.0048807j 0.00480429-0.000716323j 
-0.00109249+0.00044208j 0.00032589+0.00112174j 0.0021893+0.00102933j 0.00148579-0.00240698j 0.00430606-0.00264138j -0.00325839-0.00476861j 0.00146767+0.00054555j -0.00271376+0.000739092j -0.00438773+0.000454397j -0.000651169-0.000371415j 0.00317526+0.000154181j -0.000723665-0.00236722j -0.00188213-0.00729465j -0.00263054+0.00208385j -0.00264296+0.00520083j -0.0012605+0.000341316j 0.00291353+0.00538717j 0.00044154-0.00425144j -0.000828081+0.00117655j -0.000233169-0.00195324j 0.00386755-0.00361875j 0.00135262+0.00204517j -0.00247121-0.000298262j -0.000692172-0.000845815j -0.0011899+0.00298746j 0.00241926-0.00140493j -0.00355601-0.0014287j 0.000908135+0.000139554j -0.00115556-0.00149184j 0.00682091+0.000924545j -0.00231862-0.00240854j 0.000108331-0.00217942j 0.000207039-0.00106041j 9.45735e-05+0.00358324j -0.000766638+0.00231055j 0.000842416+0.00046769j 0.0017963-0.000516556j 0.00323436+0.00149128j 0.000253535+0.000727878j -0.00104662-0.000996982j 0.000797459-0.0009823j 0.00309291-0.00164837j -0.000500483+0.00298233j -0.000770257+0.00128647j -0.00179024+0.00124733j 0.0027235+0.00200382j 3.5254e-05-0.00065702j 0.00134761-0.00279407j 0.00183501-0.0027064j -0.00394637+0.000233638j -0.000544871+0.000599104j 0.000170498+0.00343181j -0.00165635+0.00119427j -0.00277122+0.00218364j -0.000598156-0.001926j -0.00209443+0.00239102j -0.00201862+0.00252604j -0.00197143-0.00161592j -0.00029035-0.0036654j -0.00328837-0.00286424j -0.00309119+0.00118091j 0.00173783-0.0011305j 0.0036936+0.00334541j 0.00302472-0.000761446j 0.00386014-0.000374229j -0.00536837-0.00132338j -0.000530448+0.00282426j 0.00124197+0.00188549j -8.6019e-05-8.73382e-05j -0.000361566+0.00371955j 0.00646603+0.00449981j 0.00584948-0.00442006j -0.000298579+0.00418622j 0.00046195+0.00315577j 0.00269217-0.000396366j -0.000107303+0.00030329j -0.000289532-7.32073e-05j 
0.000865176-0.00286327j -0.00282193-0.000641078j -0.000894911+0.00157688j 0.00151843+4.26261e-05j 0.00358985-0.00192222j -0.00177514-0.00108511j 0.00216667+0.000881275j 0.00104236+0.0039978j 0.00371725-0.00270575j 0.000866299+0.00336094j -0.00217203-0.00150607j -0.00279443-0.000496895j -0.00117695+0.0026726j -0.000346207+0.00343424j 0.00217104+0.00160991j 0.00193519+0.00183445j 0.00107953+0.00622256j -0.000273292+0.00310363j 0.00119333+0.000654012j -0.000576804-0.00375172j 0.00202884-0.000240088j -0.00285619+0.00018072j -0.000277689-0.00079149j 0.00171546-0.00252754j -0.00174938+0.00230557j 0.00304248-0.00484696j -7.26549e-05-0.00182412j 0.00278488-0.000429213j 0.00276863-0.0024938j 0.000547382-0.00200986j 0.00224814+1.51357e-06j -0.000645436+0.00123952j 0.00154669+0.0036752j 0.00204851+0.00140633j -0.0037871-0.00246584j 0.00193819-0.000913579j 0.00454458+0.00123465j 0.00495759+0.00269768j 0.00183049+0.00105896j -0.00241318-0.00048736j 0.000698011-0.000866593j -0.000453349-0.00263803j -5.55405e-05-0.000922149j -0.00226046-0.00191543j -0.00343209-0.00279779j -0.000644093-0.00246558j -0.00140449-0.00148936j 6.75238e-05-3.0325e-05j -0.00244001-0.001869j -0.000141038-0.00182327j 0.000404465+0.000880346j -0.00114227+0.00299609j -0.00303831+0.00249561j 0.00017003-0.00278473j -0.00739174+0.00391404j 0.00226278+0.00124848j -0.00571833+0.00198598j -0.000446728+0.00254889j 0.00059426-0.00488668j -0.000388073+0.00051507j 0.000441248+0.00130373j 0.000756276-0.00153948j 0.00218084+0.00243678j -1.23001e-05+0.00224173j 0.00408647+0.00043281j -0.00208924-0.00228853j -0.00158162-0.00285022j 0.0022307-0.00275825j 0.00505651+0.000833701j 0.00271986+0.000392589j 0.000910207-0.00118925j 0.000862166+0.00106367j -0.00265658+0.00229765j 0.00132893+0.00128851j 0.000748016-0.0010821j 0.000322207+0.00177847j -0.00173233+0.000293161j 
-0.000511482-0.00128642j -0.0010675+0.000336938j -0.000345199-0.00176452j -0.0019828+0.00048265j 0.000957386-0.00117495j 4.2404e-05+0.000232055j -0.00177259-0.000767051j 0.00134285-0.000827628j 0.000469418-0.00414944j 0.00142341+0.00327152j -0.000951925+0.00181919j -0.000109154+0.00210981j 0.00416008+0.000708972j 0.000327427-0.00288947j -0.00107732-0.00203033j 0.000579409-0.000898663j -0.00102847+0.00347595j 0.000191608+0.00145186j 0.000681148-0.00128917j -0.00217307-0.00124669j 0.0015161+0.000331914j 0.000696815+0.00105909j -0.000691872-0.00119439j -0.00212974+0.00025382j -0.00258495+0.000411099j -0.00056201+0.000296699j 0.00225312+0.000353631j 0.00147082+0.00157682j 0.000473783+0.000972662j -0.000548172+0.00123029j 0.00268658-0.0011003j 0.000324867+0.00315641j 0.00218154-0.000723388j -0.0013181-0.00155232j -0.00217779+0.000795277j -0.000344936-0.00155643j 0.0016793+0.00130545j -5.03843e-05-1.17057e-05j 0.00198469-0.000481674j 0.000390233-0.00144374j -0.000289492-0.000638675j -0.0006203+0.000833121j -0.00128579+0.000187553j -0.000887953+2.55064e-05j -0.00205563-0.000414184j -0.000302689+0.0022469j -0.000270525+0.000875361j 0.00207207+0.00179108j -0.00357457+0.00132247j 0.000169663-0.00337169j -0.00143125-0.00231611j 0.000115826+0.0021262j 0.00081537+0.000831135j 0.00125691+0.000387324j 0.000874549-8.25532e-05j -0.00182346-0.00075939j -0.00031271+0.000883451j -0.00156408+0.00123231j -0.000648233-0.000921787j 0.00368227-0.000569358j -0.00138199+0.000285739j -0.00114847+0.000553348j 0.00175834-0.0004686j 0.00103207+0.00313485j -0.000389341-0.000294552j 0.000451626-0.00051822j -0.00259317-0.000667422j -0.00125757-0.00365112j 0.00521474-0.00183322j -0.00221811-0.00401531j -0.00409716+0.00248777j 0.000786164+0.00234117j -0.000382177-0.000766741j 0.0024044+0.000592204j 0.000771385-0.00254042j 0.000256644-0.000301311j 0.000206913+0.000227037j 
