-0.193465+1.55431e-15j 0.274383-0.0390992j -0.125857+0.839112j 0.58872-0.651079j -0.440576+0.465546j 1.27125-0.880016j -0.19503+0.301607j 1.58765-1.31088j -1.52672+1.27683j 0.300033-0.290591j -2.64705+2.12687j 1.20687-1.33921j 1.41171-1.15018j 2.35357-1.89128j 0.805127-0.644085j 4.83185-4.23297j -3.06497+2.69119j -0.290342+0.36328j 1.20559-1.15305j 0.848951-0.628415j 0.930852-0.829505j 5.32589-4.71305j -0.190373-0.201279j 4.15602-3.78269j 0.27341+0.0582719j -5.36081+0.0462518j -1.74416-1.54458j 0.17591-0.261805j -4.33346+3.83826j -0.00520584-0.0541712j 5.86288-5.21934j 1.02053-0.922156j -1.37385+0.982912j -1.58488+1.52157j 0.241932-0.265951j -3.29439+3.67094j 5.08433-5.60833j -0.61831+0.793849j 2.1043-2.94629j 1.32905-1.67465j 1.16542-1.54645j 2.11993-2.48579j -0.0656255-0.427281j 1.66293-1.7571j 1.29995-1.34657j 0.654767-1.2029j -1.53935+1.28953j 0.111987+0.980165j 0.774704-1.50093j 1.54781-0.104275j -1.49096-0.770895j 1.04097-2.36109j 
1.20687+1.33921j -9.2184-0.683688j 17.2547-3.36648j -21.9757-3.53137j 21.0295+2.70518j -54.8948-1.56005j 7.43246+5.45425j -69.4392-0.78677j 70.4242+6.45117j -15.215-1.64267j 112.347-7.06183j -55.4645+4.54037e-12j -63.1067+3.6618j -102.341+2.78557j -37.4631+0.673514j -216.241+13.3212j 139.607-8.82163j 12.7552+0.176615j -57.2+5.52665j -44.7035+0.233541j -41.553+3.69303j -237.94+21.1763j 4.5259+2.25586j -180.632+21.4381j -8.72997-0.669251j 147.816+93.7181j 22.4117+71.5104j -7.84352+3.13763j 180.379-23.5536j -4.10969+4.59511j -237.276+37.2388j -41.3072+7.3046j 45.418-11.0994j 57.0089-7.98364j -12.5138+2.66224j 139.697-25.8859j -216.377+39.3274j 36.867-9.18531j -102.419+23.4761j -63.1133+12.0516j -54.8664+12.8501j -112.63+20.5325j -16.1134+4.94807j -71.0693+23.7382j -70.0508+17.7173j -6.94243+7.87593j 53.7583-14.7788j 21.0785-7.63601j -21.3244+8.98062j -17.2149+0.0214523j 9.11059-3.06411j -1.16542+1.54645j 
1.41171+1.15018j -10.5521-1.27543j 19.1901-2.39751j -24.7464-5.64006j 24.0593+4.61594j -62.7204-5.52778j 8.4054+6.7872j -79.5519-6.24102j 80.5413+12.2845j -18.0348-3.01621j 128.694+0.0808319j -63.1067-3.6618j -72.4092-3.31379e-12j -116.916-4.20673j -42.3824-2.39364j -246.742+0.0288122j 158.982+0.305102j 14.784+0.719143j -65.0814+1.75494j -51.1371-3.58301j -47.1245+0.829012j -271.76+7.15294j 5.05482+3.134j -206.955+10.6787j -10.3815-0.81837j 159.936+117.397j 20.3608+82.9682j -10.635+2.6376j 206.318-14.7978j -4.90686+3.14052j -272.066+24.6268j -47.8407+4.75393j 50.4745-7.90702j 65.1286-6.40226j -15.1431+2.29488j 158.788-18.4122j -246.559+29.739j 42.8293-7.48819j -116.961+17.1859j -72.0118+8.5314j -63.1133+12.0516j -129.061+15.7747j -17.3278+5.31688j -80.0317+22.6198j -78.8782+13.2164j -8.37474+7.9134j 62.0862-13.7221j 24.3193-8.14949j -24.2175+9.03242j -18.9202-0.402287j 10.3455-2.83867j -1.32905+1.67465j 
2.35357+1.89128j -16.7328-1.37604j 31.246-4.92165j -39.5312-7.84433j 39.1411+5.79359j -100.875-5.74054j 13.5487+10.39j -128.24-5.04766j 129.619+14.6796j -28.351-3.57027j 207.211-7.36106j -102.341-2.78557j -116.916+4.20673j -188.574+2.13163e-14j -68.9466-1.07786j -398.506+15.0702j 257.301-9.25384j 23.5797+0.0698296j -105.325+7.55007j -82.0541-1.4756j -75.8718+4.70904j -437.63+28.0773j 9.1549+3.91067j -333.109+30.2897j -17.2546-2.71289j 266.257+179.049j 37.0271+133.615j -16.307+6.24559j 333.385-34.4971j -8.85407+6.4024j -438.67+57.0603j -75.7505+9.77188j 82.6385-18.3016j 103.871-13.4665j -23.8418+4.78857j 255.533-41.6644j -398.859+63.4691j 69.2979-14.0942j -188.692+36.7411j -116.961+17.1859j -102.419+23.4761j -207.882+32.8438j -28.9363+9.35486j -129.12+40.9978j -127.829+29.3893j -13.2444+14.0254j 101.916-25.0659j 38.3407-14.2606j -40.2333+16.0355j -30.4805+0.0691653j 16.9059-5.13965j -2.1043+2.94629j 
0.805127+0.644085j -6.2092-0.307126j 11.1456-2.09898j -14.9175-2.75282j 14.2253+1.84041j -37.0355-1.40347j 5.08719+3.76839j -47.2142-1.53885j 47.2111+4.66584j -10.0617-0.771168j 75.7648-3.32428j -37.4631-0.673514j -42.3824+2.39364j -68.9466+1.07786j -25.1174-2.3519e-12j -145.875+7.77063j 93.5042-5.24006j 8.86658+0.105066j -38.3166+3.42113j -29.7579+0.332857j -27.6195+1.9929j -159.438+13.4161j 2.95943+1.94879j -121.793+12.1046j -5.62606-0.796475j 97.5268+63.8766j 14.9964+48.6636j -7.0371+2.73091j 120.958-14.4212j -2.14973+1.51566j -158.778+22.8844j -27.9398+3.79328j 29.9493-6.57359j 38.5207-3.63618j -8.71385+2.58674j 93.5181-16.6535j -145.1+24.8904j 24.9068-5.90428j -69.2979+14.0942j -42.8293+7.48819j -36.867+9.18531j -75.6977+11.6007j -12.0806+2.3472j -46.615+16.2556j -46.6502+12.5382j -5.04104+5.53597j 36.8076-10.3814j 14.1833-6.08626j -13.6782+6.03275j -11.6583-0.312285j 5.92674-2.41147j -0.61831+0.793849j 
4.83185+4.23297j -36.0074-4.58937j 65.936-8.46111j -84.1145-19.345j 82.5356+15.923j -214.082-19.1143j 28.8119+23.1577j -270.921-20.8521j 274.633+41.9842j -59.9528-9.56869j 438.545+0.0307148j -216.241-13.3212j -246.742-0.0288122j -398.506-15.0702j -145.875-7.77063j -842.089+3.02691e-11j 542.644+0.220866j 51.4116+2.92195j -221.875+6.87614j -174.3-10.1363j -161.548+4.191j -925.552+24.5619j 17.9106+9.61059j -704.628+37.3905j -33.7622-6.2839j 546.302+399.26j 69.5363+284.314j -34.7772+10.3696j 706.092-45.7988j -19.5549+11.3101j -925.699+87.1288j -162.902+16.137j 174.611-32.2157j 220.569-19.4618j -51.5473+9.44989j 541.845-65.0863j -840.726+101.694j 145.1-24.8904j -398.859+63.4691j -246.559+29.739j -216.377+39.3274j -437.723+51.9334j -59.4499+16.6245j -274.102+74.5648j -270.702+53.9449j -28.9273+28.2012j 213.682-45.7143j 83.1902-26.1761j -83.8446+29.5636j -65.2354-0.760313j 35.7416-9.51256j -5.08433+5.60833j 
-3.06497-2.69119j 23.2286+3.02157j -42.6401+5.63025j 54.1156+12.8001j -53.2004-10.3725j 138.48+12.7487j -18.5046-15.1091j 174.396+13.6886j -177.279-27.2635j 38.4137+6.46304j -282.593-0.379847j 139.607+8.82163j 158.982-0.305102j 257.301+9.25384j 93.5042+5.24006j 542.644-0.220866j -350.534+5.39302e-12j -32.95-1.64112j 142.622-4.51332j 112.978+6.13725j 104.235-1.64091j 596.858-14.9072j -11.2146-6.04121j 455.908-23.5082j 21.8054+5.50657j -352.382-257.589j -44.0394-183.64j 22.2544-6.34158j -453.999+30.1728j 12.3368-7.71953j 596.524-55.56j 104.43-10.5518j -111.874+20.5334j -143.279+12.8866j 33.3703-5.59852j -350.829+42.8265j 541.845-65.0863j -93.5181+16.6535j 255.533-41.6644j 158.788-18.4122j 139.697-25.8859j 282.602-34.7887j 38.5805-10.5371j 175.893-48.6719j 174.263-34.2551j 18.0038-17.908j -138.099+29.2244j -53.3191+16.8956j 53.2505-18.9089j 42.7702+0.310482j -23.3251+6.33499j 3.29439-3.67094j 
-0.290342-0.36328j 2.24123+0.0568501j -4.05619+0.848847j 4.896+1.05917j -5.35863-1.08718j 13.1071+0.136123j -1.94096-1.14817j 16.5965+0.242324j -17.0621-1.29127j 3.37081-0.00148476j -26.7585+1.52883j 12.7552-0.176615j 14.784-0.719143j 23.5797-0.0698296j 8.86658-0.105066j 51.4116-2.92195j -32.95+1.64112j -2.57375+1.18133e-12j 13.4031-0.823825j 10.6988+0.0233736j 8.99725-0.329336j 56.1545-5.04452j -0.775222-0.697386j 42.1968-5.367j 1.57866+0.751042j -35.027-24.2799j -4.35144-17.7494j 1.98547-0.596306j -42.7927+5.54196j 0.49931-0.792519j 55.236-8.2532j 10.9173-0.859888j -9.65135+2.87048j -13.307+1.3323j 2.77876-0.449452j -33.3703+5.59852j 51.5473-9.44989j -8.71385+2.58674j 23.8418-4.78857j 15.1431-2.29488j 12.5138-2.66224j 27.4766-5.82528j 3.48542-0.820863j 16.7756-6.33608j 16.0145-4.63447j 1.89167-1.57865j -13.7019+2.77663j -5.48495+2.10123j 5.31232-2.13425j 3.94438-0.310308j -1.88761+1.08031j 0.241932-0.265951j 
1.20559+1.15305j -9.56447-1.73792j 17.4901-1.56737j -22.3099-5.57946j 21.7136+4.91491j -56.3641-6.48325j 7.51535+6.39889j -71.5814-7.50676j 72.1228+13.5007j -15.8113-3.24632j 115.653+2.91743j -57.2-5.52665j -65.0814-1.75494j -105.325-7.55007j -38.3166-3.42113j -221.875-6.87614j 142.622+4.51332j 13.4031+0.823825j -57.7954+8.10663e-12j -45.974-4.22682j -41.886-0.648997j -244.807-0.617055j 4.83078+2.40383j -185.801+4.18995j -9.32783-1.72616j 139.919+109.998j 16.6447+77.0939j -8.26259+2.79623j 185.152-6.17382j -4.55782+2.76461j -243.889+15.6392j -42.7433+3.16476j 46.0633-6.80154j 58.9123-2.84231j -13.307+1.3323j 143.279-12.8866j -220.569+19.4618j 38.5207-3.63618j -103.871+13.4665j -65.1286+6.40226j -57.0089+7.98364j -115.95+9.10496j -15.7971+4.30658j -72.0691+18.1341j -71.8692+11.6117j -8.3308+7.06251j 57.0399-10.1161j 21.7016-6.15655j -22.0742+7.70202j -17.1889-0.939511j 9.36562-1.85897j -1.58488+1.52157j 
0.848951+0.628415j -7.47691-0.873548j 13.9772-2.8162j -17.6147-3.19982j 17.3904+2.3806j -44.3826-1.63172j 6.30239+5.24907j -55.7483-1.03066j 56.2893+5.37076j -11.925-0.858414j 90.4245-5.67692j -44.7035-0.233541j -51.1371+3.58301j -82.0541+1.4756j -29.7579-0.332857j -174.3+10.1363j 112.978-6.13725j 10.6988-0.0233736j -45.974+4.22682j -35.8693-1.00187e-12j -34.183+2.86707j -192.057+16.1987j 4.84015+2.58353j -145.674+16.4134j -6.37126-0.789271j 117.658+76.4682j 18.0024+57.9022j -7.48838+2.6283j 146.049-19.0785j -3.86255+3.25832j -192.334+29.43j -33.7329+5.09534j 34.4675-9.89048j 46.0633-6.80154j -9.65135+2.87048j 111.874-20.5334j -174.611+32.2157j 29.9493-6.57359j -82.6385+18.3016j -50.4745+7.90702j -45.418+11.0994j -90.584+16.7564j -11.681+4.33838j -57.9811+19.344j -55.5982+14.7636j -6.32142+6.74357j 43.9568-12.2139j 16.6934-6.60224j -16.4894+7.57301j -13.4571+0.467826j 7.28584-1.98253j -1.37385+0.982912j 
0.930852+0.829505j -6.91354-1.22099j 12.7756-1.36913j -16.1449-4.25091j 15.7684+3.55145j -41.0139-4.53471j 5.68909+4.555j -51.8085-5.25954j 52.4856+8.97465j -11.8088-1.97765j 83.796+1.96234j -41.553-3.69303j -47.1245-0.829012j -75.8718-4.70904j -27.6195-1.9929j -161.548-4.191j 104.235+1.64091j 8.99725+0.329336j -41.886+0.648997j -34.183-2.86707j -30.1436+1.199e-11j -177.595+1.07295j 3.90458+2.66081j -135.228+4.23806j -6.93458-0.739985j 103.227+79.1117j 12.2975+54.627j -6.70845+2.02957j 136.07-4.70356j -3.44136+2.30502j -176.801+13.4355j -29.7205+3.45672j 33.7329-5.09534j 42.7433-3.16476j -10.9173+0.859888j 104.43-10.5518j -162.902+16.137j 27.9398-3.79328j -75.7505+9.77188j -47.8407+4.75393j -41.3072+7.3046j -84.2943+8.90718j -11.2803+3.21289j -53.045+13.5014j -52.8191+9.33481j -5.9827+4.97848j 41.8095-7.81305j 15.8439-4.60595j -16.1173+5.44934j -12.5031-0.503484j 6.85746-1.62046j -1.02053+0.922156j 
5.32589+4.71305j -39.8698-6.26728j 72.382-7.84897j -92.4436-23.8497j 91.0567+20.1362j -235.873-27.7651j 32.3794+26.4129j -298.714-30.4176j 302.604+53.8114j -65.4943-11.759j 482.915+12.7303j -237.94-21.1763j -271.76-7.15294j -437.63-28.0773j -159.438-13.4161j -925.552-24.5619j 596.858+14.9072j 56.1545+5.04452j -244.807+0.617055j -192.057-16.1987j -177.595-1.07295j -1019.73+3.20952e-11j 20.2266+10.2064j -776.383+20.1797j -37.3913-8.46509j 588.635+453.357j 68.0474+313.568j -37.2296+10.8626j 776.61-31.4915j -19.8762+12.572j -1018.22+68.588j -176.801+13.4355j 192.334-29.43j 243.889-15.6392j -55.236+8.2532j 596.524-55.56j -925.699+87.1288j 158.778-22.8844j -438.67+57.0603j -272.066+24.6268j -237.276+37.2388j -482.859+45.2034j -66.5068+16.7436j -301.282+74.9728j -297.63+50.5284j -32.2371+29.2381j 234.893-42.3108j 90.8593-25.4436j -91.7016+30.0575j -72.7225-2.39367j 39.1849-9.44918j -5.86288+5.21934j 
-0.190373+0.201279j 0.669833-0.730986j -1.13591+0.830695j 1.67496-0.0610131j -2.08173+0.7993j 4.74245-1.63252j -0.888159-0.212278j 5.9412-2.32573j -6.15635+2.1909j 1.42067-0.950494j -9.95703+4.65427j 4.5259-2.25586j 5.05482-3.134j 9.1549-3.91067j 2.95943-1.94879j 17.9106-9.61059j -11.2146+6.04121j -0.775222+0.697386j 4.83078-2.40383j 4.84015-2.58353j 3.90458-2.66081j 20.2266-10.2064j -0.265897+1.1699e-13j 15.1014-8.38116j 1.29977-1.00418j -17.3561-3.71197j -3.42096-6.05852j 0.292351-1.07299j -15.5429+8.28355j 1.15476+0.197886j 19.8762-12.572j 3.44136-2.30502j -3.86255+3.25832j -4.55782+2.76461j 0.49931-0.792519j -12.3368+7.71953j 19.5549-11.3101j -2.14973+1.51566j 8.85407-6.4024j 4.90686-3.14052j 4.10969-4.59511j 9.83351-5.30978j 1.21717-1.17957j 5.90361-4.75339j 6.07121-4.26211j 0.25975-0.818858j -5.1191+3.90485j -1.81384+1.53951j 1.95356-1.58593j 1.33963-0.917389j -0.890568+0.83452j -0.00520584-0.0541712j 
