0.112184-0.0170158j -0.160689-0.0240915j 0.0448322+0.0271016j 0.196348-0.0687612j -0.150958-0.0466138j 0.0898245+0.0434013j 0.0133069+0.0169456j 0.179056-0.0106102j -0.0886389+0.00139012j 0.114172+0.031047j -0.059509-0.0258197j 0.0402414+0.0474971j 0.0208632+0.0107334j -0.116967-0.0159158j 0.0547854-0.0198811j 0.0118368-0.0253305j 0.0369884+0.0545537j -0.107747-0.0337147j -0.115202-0.0924742j -0.0955632+0.0101841j 0.0634045+0.0285744j 0.0525013-0.013437j -0.0306766+0.0513862j 0.130888+0.0325944j 0.0845918+0.0325842j 0.123341+0.0307409j -0.0753226-0.028044j -0.0152123-0.0117187j -0.00484065+0.0128024j 0.0151552-0.00915185j 0.0535849-0.0199353j 0.0188366-0.0260406j -0.0938141+0.0164007j 0.015057+0.0447129j -0.0487186+0.0924294j -0.197722-0.0694448j 
0.0286319+0.0321583j 0.0420401+0.0158256j 0.0115777-0.000491428j 0.0482992-0.0677711j -0.0208809+0.00916388j 0.330368-0.00332219j -0.258664-0.00255978j 0.197622+0.00900783j -0.0453711+0.00495378j -0.0810623-0.021818j 0.0616318+0.0249677j -0.0757694+0.0405004j 0.0719856-1.58433e-05j -0.0312188-0.0332778j -0.0546001+0.0411174j 0.00880553+0.0829025j 0.123063+0.086788j 0.0115585-0.0431848j -0.0434294+0.00620374j 0.0786448-0.048748j -0.0115495+0.0399508j -0.0358605+0.00349708j 0.0266028-0.0235984j 0.0443269-0.0155817j 0.0756492-0.0290545j 0.0281111-0.0179399j -0.0552272-0.0177542j 0.00908736+0.0321068j -0.0378907-0.0211431j -0.000166081-0.0332581j 0.00229787-0.0171579j -0.0454824+0.00898857j -0.0192325-0.00142854j -0.0150923+0.00752245j 0.0390165-0.0253583j -0.0455415+0.0132441j 
0.0108055-0.0332538j 0.133227+0.0517685j 0.00173536+0.0328425j -0.0345876+0.00655137j 0.133207+0.0659086j 0.215066+0.101633j -0.342385-0.181719j -0.129926-0.0426874j 0.0873656+0.0641029j -0.207866-0.0940986j -0.0284809-0.0174901j -0.177808-0.0247381j 0.0706008+0.0339193j 0.0396837-0.0182736j -0.0556101-0.0367758j 0.0697278-0.0897684j 0.167879-0.0127668j -0.0680919-0.00253313j 0.0209793+0.0423794j 0.0612647+0.0503359j -0.0806848-0.0415458j -0.0139381-0.0494352j -0.0224634+0.0337295j -0.0602356+0.0178749j -0.0139219-0.00355439j -0.0588706-0.00787254j 0.0153067+0.0255464j -0.0165466+0.000666348j -0.025444+0.0104267j -0.0442688-0.014582j -0.00887313-0.0268898j -0.0465147+0.0119117j 0.0177333+0.00700045j -0.0564964-0.0328969j 0.0016114-0.00767055j 0.0898882+0.00644586j 
-0.117113-0.00740593j 0.0620524+0.0175677j -0.00325368+0.00326491j -0.0318004+0.0447338j -0.0320468-0.0233382j -0.150647+0.0236811j -0.0776753+0.00650306j -0.148124-0.0181972j 0.149358-0.0313191j 0.0025966+0.042308j -0.021075+0.0650922j -0.0967241+0.0140436j -0.0847524-0.00730667j 0.103766+0.0915827j -0.00737447-0.0389556j 0.0788397-0.0456424j -0.0165633-0.0581403j 0.0300489-0.0411587j -0.0488381+0.0258211j 0.0603177+0.0743857j 0.00869994-0.0252454j -0.00370976-0.0474315j -0.011843+0.0774556j -0.00592374+0.0267312j -0.0345502+0.0005738j -0.0413442-0.0090697j 0.034722-0.0322316j -0.0143107-0.00420596j 0.0140774+0.00498408j 0.0206175-0.00249959j 0.000414696+0.00115091j -0.0326348-0.021355j 0.0155512+0.00888561j -0.00466482-0.0063277j 0.0370071+0.00674821j 0.0788075-0.0141557j 
0.0207794-0.096627j 0.00457373-0.0216704j 0.0687482+0.0979427j 0.17975-0.0246905j 0.10417-0.253034j 0.0208817-0.0324645j 0.0746174-0.234098j -0.129732+0.247011j -0.0817708+0.180094j -0.0121242-0.0287467j 0.0266298+0.0774411j 0.138002-0.0743386j 0.0539248-0.145575j -0.070334+0.12264j -0.0576229-0.031849j -0.165821+0.0064358j -0.0942684-0.0247269j 0.0401869+0.0429709j 0.0128681+0.0786886j 0.0442841+0.0424393j -0.0212158-0.036045j -0.0298531+0.00542368j 0.0826043-0.0080591j -0.000660094+0.0670204j -0.0162088+0.0489796j -0.024535-0.00467389j 0.0135295+0.00513075j -0.0127046-0.000915905j 0.00193202-0.0324991j -0.00927923+0.0152785j 0.0104675+0.0546245j 0.0354544-0.0392664j 0.0506298-0.014011j 0.0381565+0.000427561j 0.0255788-0.025419j 0.062263+0.00943408j 
0.1118-0.012207j -0.0065335+0.0297368j 0.000429733+0.051264j -0.124758+0.0541512j -0.0227121+0.0141156j 0.464877-0.0159116j 0.0306768+0.0141864j 0.456563+0.00190016j -0.241412+0.0219636j -0.205687-0.0425448j 0.0651208-0.0398083j -0.0863445-0.0393927j 0.124773-0.0288782j -0.00164064-0.032282j 0.101038+0.0232181j -0.0177846+0.0358776j -0.139299+0.00395056j 0.0670974+0.0685372j 0.0781954+0.0144207j -0.0762593-0.0342749j 0.0107009+0.0316658j -0.0204373+0.0256573j 0.000926826-0.0333009j -0.0426816-0.0110955j 0.0297608-0.0301977j 0.00988307-0.0192155j 0.00886192-0.0141555j 0.00381522-0.0131265j -0.0217634+0.0238744j -0.00852578+0.0162921j -0.0434849+0.010771j 0.0196722+0.0147533j -0.0187067-0.0127656j 0.0521777-0.00468782j -0.0503333+0.0158486j 0.0254509+0.013854j 
0.0463239-0.00333724j 0.112546+0.0130578j 0.077267+0.025617j 0.00778617-0.0465956j 0.293981-0.0308829j 0.161328+0.0124522j -0.102171+0.000735687j -0.332705-0.00195724j -0.0826207-0.0119669j -0.0737847+0.0200315j -0.175437-0.0399105j 0.0835412+0.00912847j 0.17749-0.00390209j -0.0929921-0.106828j -0.0299682-0.0202832j 0.0461635+0.0228904j 0.140571+0.0783612j -0.0591099+0.0145859j -0.0897678-0.0993673j 0.013663+0.00882276j -0.0154679+0.0662141j -0.0252963+0.0159679j 0.00808816-0.000836934j -0.0238245+0.0490996j 0.00888163+0.0424456j 0.0257284+0.00501659j 0.00320894-0.00382677j 0.028046-0.000677505j -0.00348628+0.00145474j -0.0125429+0.0145294j -0.00765215+0.0324094j 0.023366+0.000940638j -0.0653553-0.0287499j -0.0560413+0.00877615j 0.0235261+0.0468681j -0.0397187-0.0589609j 
-0.0424447-0.0391586j -0.011643-0.0137606j -0.0734057+0.0927922j -0.122071+0.000187127j -0.062979-0.00621576j -0.172339+6.96666e-05j 0.277858+0.0197153j 0.0651985+0.00238674j 0.0225698+0.019157j 0.0136388-0.0388881j 0.129366+0.0166925j -0.0430591+0.0847195j -0.0464955+0.0479399j -0.0174683+0.0143682j 0.0257209+0.0222431j 0.0458228+0.106649j 0.0398057+0.0826776j 0.0488771-0.0324045j -0.0993657-0.0869173j -0.0473624-0.0412954j 0.123228+0.0422219j -0.0199102-0.0227601j 0.0311184+0.0533541j -0.0547565+0.00201324j 0.00821823+0.0194658j -0.0153487+0.0276479j -0.0325224-0.00964947j 0.0202555-0.0173703j 0.00707618-0.0143261j 0.0457131-0.00646604j -0.00756784+0.033691j 0.0139237-0.00826102j -0.0847846-0.0304983j 0.0402738-0.00880498j 0.0418564+0.0502858j 0.02396-0.0586462j 
0.0734808+0.0124595j 0.0104144+0.0304274j 0.0915624+0.0246275j -0.0208175-0.0603801j 0.0649039+0.0849594j 0.0564107+0.0236892j 0.00502921+0.0809313j -0.142265-0.102003j -0.143088-0.0171316j 0.024947+0.0654193j -0.0479732-0.151012j 0.110649-0.190969j 0.0644123+0.0418937j 0.227787+0.122967j -0.142773+0.103123j -0.103669+0.173885j -0.00637563+0.170384j -0.0451553-0.00142665j -0.0808927-0.237586j 0.162368-0.0446341j -0.0423901+0.119616j -0.0223793+0.0724134j 0.0938237-0.136169j 0.0998557+0.0102613j 0.0299428+0.0187416j -0.0107273+0.00358377j 0.00439842+0.00885356j -0.0112305+0.0522502j 0.025527+0.0096199j -0.0107843+0.0541324j -0.0136526+0.00470244j -0.0558537-0.0181881j -0.0325985-0.0864288j -0.0337553-0.0138349j 0.039009+0.0227426j -0.0374077+0.00277803j 
0.0856217+0.0250039j -2.18791e-05-0.0178571j 0.0904548-0.0659001j 0.0032779+0.118358j 0.0170587+0.0203985j 0.0828101+0.0105939j -0.0319859-0.0329537j 0.0636471-0.0226861j -0.0925509-0.0331261j 0.0165712+0.0862508j -0.044386+0.151766j -0.0640415-0.0258958j 0.0369284-0.0139724j 0.195556+0.155317j 0.0912165-0.124972j 0.160901-0.245741j -0.0436478-0.0874798j -0.000505164+0.0706862j 0.0618475+0.00284149j -0.0160242+0.229851j -0.0181009-0.0919908j 0.0342628-0.0495231j -0.0460121+0.0681114j 0.0252323+0.0422906j -0.0240784+0.0149929j -0.0578882-0.00939149j 0.0293273+0.00678855j 0.0115955-0.0333974j -0.00252824+0.036603j 0.0459038-0.0315942j -0.0475937-0.0633294j -0.0418181-0.0406496j 0.0360155+0.0146296j -0.00340139-0.0162804j -0.0424582+0.0417195j 0.0163688+0.0286929j 
-0.0270753+0.0642658j 0.0591472-0.0268247j -0.000759154-0.0316098j -0.0250883-0.016914j 0.0365342-0.0555788j 0.0200418+0.0192995j -0.0978329+0.0765j 0.00790765-0.0495703j -0.0214529-0.0614366j -0.14742+0.0223195j 0.109921+0.129224j 0.160778+0.035547j -0.0146199-0.0233102j -0.0118814+0.160337j 0.0227747-0.00741007j 0.109564-0.0362061j 0.0140704-0.0325016j -0.0155435-0.201349j 0.110498-0.0889265j -0.00802075+0.0730564j -0.0336918-0.0128959j -0.0271874-0.0317477j 0.083391+0.0404468j -0.0520379+0.0488221j -0.042043+0.0359762j -0.0726813-0.0321344j 0.025744-0.0118355j -0.0493903+0.00372231j -0.0426882+0.0115165j -0.0591129-0.0230374j -0.0413173-0.00856791j -0.0381339-0.0682902j 0.0419117+0.0115358j 0.0432406-0.0259098j 0.0303281+0.0313259j 0.0476642-0.00775133j 
-0.0670334-0.0320663j 0.0485708-0.0696854j 0.0169986+0.00329613j 0.0581768+0.00538406j 0.0709569-0.0734785j 0.0902414+0.0440832j -0.0176972+0.0218797j -0.0635906-0.084019j 0.0474339-0.0589784j -0.106031+0.0452944j -0.116849+0.124988j 0.126995+0.0423445j 0.0633554+0.0549161j 0.0246835+0.111392j -0.0527339+0.162522j -0.085627+0.362669j 0.028042-0.116121j 0.0323025-0.210847j -0.107463-0.0479162j -0.0300867-0.0138152j 0.0926869+0.0392867j -0.0658426-0.0252701j 0.0919982+0.0194381j 0.0246214+0.0120303j 0.0255664-0.0152072j 0.0036814-0.0395219j 0.00164103-0.0355314j 0.0292346+0.0336633j -0.0103363-0.0143914j 0.0218527+0.0679632j 0.0110825+0.00409628j 0.0251025-0.0660187j 0.0015249-0.0325115j 0.0412948+0.0491769j 0.0600988-0.00931655j 0.00964798-0.0145794j 
0.0668706+0.0850817j -0.0164098+0.0625706j -0.0040547-0.0480038j 0.0125437-0.00710112j 0.094253+0.0492907j -0.0325049-0.0303462j 0.178371+0.00113824j 0.0512096+0.00430999j -0.263594-0.0110533j 0.0872628-0.0789179j 0.115748+0.0184733j 0.158999-0.00747515j 0.0288359-0.0612711j -0.0654331-0.0360596j -0.0886072+0.0232746j 0.017679+0.0710756j 0.153952+0.170601j 0.0474362-0.0477115j -0.16864-0.0281864j 0.0719574-0.0607919j 0.0445362+0.041712j -0.00253513+0.0171539j 0.0503944-0.0199499j 0.036042-0.0346799j 0.0364579+0.0167516j 0.0494814-0.0369019j -0.0577323+0.0104936j 0.0266443+0.0275866j -0.0564752-0.0648083j -0.0189983-0.00165817j -0.0102945-0.0197573j -0.0277003-0.00833723j -0.035199-0.0548212j -0.0197393-0.0338678j 0.042041-0.0336622j -0.000792193+0.0184161j 
-0.116021-0.0031692j -0.0185821+0.00726001j -0.113361-0.0476811j -0.0398314-0.000964015j -0.151998+0.0404089j -0.104956-0.0202767j -0.20963+0.0116127j -0.0928871+0.0263529j 0.27374+0.0506616j 0.00828304-0.0522155j -0.00817678-0.14996j 0.111657-0.0491729j -0.0941725-0.00998804j -0.128592-0.0534818j -0.0553729+0.00614292j 0.0250856-0.0106478j 0.0493057+0.122509j -0.0993712+0.0951788j 0.0654536-0.0129456j 0.0293638-0.102284j -0.0130541+0.0498049j -0.0146415+0.0739213j 0.0656375-0.104177j 0.0424792-0.0307056j 0.0190249+0.00640096j 0.0475997+0.00472822j -0.0325362+0.00601255j -0.0170494+0.0162879j -0.0213047+0.0096315j -0.00626936+0.032504j 0.0512369+0.00107346j -0.000721453+0.0310871j 0.00887696-0.0406362j -0.000636294+0.034305j -0.0148377-0.00310466j -0.0597012+0.00965644j 
0.0177713-0.0230574j -0.0363546+0.00264442j -0.060505-0.0794715j 0.0274417+0.0283966j 0.0280278+0.0891855j -0.0034829-0.0158448j 0.1177+0.0231895j 0.0595478+0.0664659j -0.0478805+0.090399j -0.0601798+0.0596803j -0.0452116-0.0972146j 0.234015-0.231273j 0.0220636-0.00723154j -0.0853381-0.193335j 0.0174744-0.0846487j -0.0267481-0.317863j -0.0160114+0.0440905j 0.000688116+0.137702j 0.117311-0.0159037j -0.134286+0.0536996j 0.0168583-0.0642736j 0.0147303+0.0563583j 0.012427-0.135831j 0.014789-0.00945088j 0.0191613+0.00719629j 0.0400509-0.00039195j -0.0067294+0.00802969j -0.0172244-0.00349987j -0.00512957+0.0500399j -0.0274483+0.024473j 0.0806438+0.0562729j 0.0711749+0.0434123j -0.0067281+0.00555991j 0.00528504-0.0715178j -0.00999906-0.0341387j -0.0236218-0.0229441j 
-0.0256685+0.0108509j 0.0123074+0.105418j -0.032768-0.0400433j 0.00934914+0.0306078j -0.019132-0.0571399j -0.0167697+0.0789042j -0.0125476+0.0161921j -0.0153896-0.0414802j -0.136313+0.0123935j -0.0532401+0.0660386j -0.109583+0.0614734j -0.0467578-0.019954j -0.146797-0.129473j -0.064201-0.180034j -0.195237+0.21305j -0.180175-0.0530998j -0.0778458-0.142733j 0.0487044-0.0355596j -0.00146665+0.149235j 0.0880918+0.00785504j 0.00678098-0.0469233j -0.00533402+0.0218762j 0.0493889-0.0182833j -0.0203015-0.0624464j 0.0239775-0.0396736j 0.0136537-0.00810367j -0.010894+0.00459288j -0.00472356-0.0165376j 0.00132573+0.00213279j -0.00714747-0.0106227j -0.0110351-0.00566181j 0.00888772+0.0229514j 0.00761314+0.0184095j -0.00882029+0.0257395j 0.00773094-0.0590335j 0.014527+0.012674j 
0.0040798-0.0135414j -0.0422661-0.115027j 0.0443038-0.00858632j -0.00414376-0.00937977j 0.0457896+0.0294178j -0.00440865-0.068359j 0.0224845-0.0370799j 0.0151132+0.0181471j 0.123627-0.025744j 0.00841202-0.0805698j 0.081377-0.0679388j 0.00874973-0.0658093j 0.150908+0.0607721j 0.0273643-0.0301207j -0.0575858-0.0753411j -0.215591+0.0735476j -0.0197442-0.120123j 0.037933-0.0219815j 0.0293171+0.154906j 0.0344828-0.100214j -0.101266-0.0616535j -0.0258143+0.0324101j 0.00774361-0.0670309j 0.0227981-0.0560248j 0.00223817-0.0345015j -0.00169222-0.0354923j -0.00658254+0.0102802j -0.0053143-0.0103594j 0.0211621+0.0137426j 0.000904113-0.00358212j -0.0128998-0.00281591j 0.0239752+0.0294921j 0.0154344+0.016225j -0.00313404+0.026211j -0.0229967-0.0641333j 0.000989678+0.0110426j 
-0.0629581-0.00825452j 0.0230601-0.0368079j -0.0145922-0.00488744j 0.0302676-0.0605619j 0.0163751-0.0388885j 0.00220693+0.0372091j 0.00511622+0.0431092j 0.0505639-0.133836j 0.0581701-0.042476j -0.0609702-0.0216526j 0.0276005+0.406877j 0.0662536-0.239487j 0.0267753+0.0834829j -0.036874-0.506596j 0.0378386+0.00306625j 0.0238311-0.0101864j -0.00156585-0.0157609j 0.0548642-0.211777j 0.0010201-0.1219j -0.0452069+0.0835132j 0.0451092-0.0765808j -0.0614673-0.0637372j 0.0687292+0.0177591j -0.084362-0.139645j -0.0478148+0.00289628j 0.0231235-0.0371023j -0.0149194-0.0812292j 0.00203075-0.0167454j -0.00502767-0.00872082j -0.00914479-0.0263233j -0.0149628-0.060167j 0.0192814-0.00155999j 8.61704e-05+0.00984104j 0.0251831+0.0303386j 0.0245427+0.0184714j 0.0265937-0.00803449j 
0.0309443+0.154836j -0.0395174-0.03637j -0.0318845-0.0656792j 0.0250853+0.0154072j -0.0283405+0.0770475j -0.00160587-0.216496j 0.0885697+0.116081j -0.0450064+0.0792528j 0.00206653-0.0681498j -0.201064-0.0386679j -0.113775+0.228406j -0.140725-0.0962174j -0.112409-0.0280424j -0.0111896+0.209733j -0.104726-0.118508j -0.182017+0.044994j 0.0218265+0.206641j -0.107256+0.0572478j -0.0459161-0.0291778j -0.100598+0.0467216j 0.040859-0.0254218j 0.0689496+0.0154639j -0.0558803+0.012242j -0.0779466+0.00723489j 0.044595-0.0377294j -0.0156573-0.0933567j -0.0439613+0.038196j 0.0129783-0.0300873j 0.00362264-0.0604j -0.000902113-0.0454883j -0.0139885-0.106099j 0.015432-0.0611289j -0.0410216-0.0185663j -0.0150536-0.0804222j -0.00392476-0.020893j 0.00769846+0.0507479j 
