0.0184417+0.0563232j -0.00980857+0.0205527j 0.0216537+0.0155327j -0.0134021+0.0479941j -0.0159816-0.0461262j -0.00374955-0.0022748j 0.061314-0.0500439j -0.00427855-0.0303503j 0.00171556+0.0249493j 0.0322097-0.0557606j 0.06045+0.0102395j 0.0290691-0.0249751j 0.0129796-0.0233417j -0.00150511-0.000164118j -0.0466935+0.0567163j 0.0142693+0.0179742j 0.0173226-0.00526728j 0.0179531+0.00448045j -0.0116863-0.00799906j 0.0323316-0.0246533j 0.0191387-0.0213635j 0.00102527-0.017499j 0.00591348+0.0056279j 0.0147018-0.0177799j -0.00307252-0.012414j -0.0264275+0.0198967j 0.0269386-0.0155522j 0.0319825+0.00814903j 0.0337672-0.0259098j 0.0035244-0.00172558j -0.00609759-0.00595362j -0.00530088+0.00112335j -0.00735805-0.0150997j 0.00296923-0.0133554j -0.00549192-0.00555487j -0.0332091-0.00573075j 0.00176259-0.00830666j -0.0042733+0.00199605j 0.0126361+0.00394554j -0.0169419+0.00361223j -0.0111733-0.0254961j 0.0334936-0.0436926j -0.0168143+0.0596278j 0.0188769+0.00581041j -0.0123922-0.0258042j -0.0386205-0.0124927j -0.0377366+0.0295578j 0.0220291-0.0161496j 0.0312326-0.0582655j 0.00689763-0.0550774j 0.0225151+0.0238403j -0.0133652-0.0403912j -0.0281946+0.0303586j 0.00112309-0.0680005j 0.0145793-0.0695172j -0.0431538+0.0683577j -0.0693141+0.0556944j -0.05243+0.0472283j -0.0409405+0.0739429j -0.107122+0.0774685j -0.00017471-0.00588904j -0.0477079+0.0622636j 0.0131511-0.0200719j 0.0555839-0.0151262j 0.0449012-0.00732433j -0.0752998+0.0734713j -0.00184685+0.105427j -0.079313+0.061428j 0.108831+0.0243456j 0.0903634-0.0956985j -0.11272+0.0986123j 0.153179-0.166271j -0.00394961-0.0835543j 0.0916756+0.00457066j 0.0334315+0.00335629j 0.116612-0.0735305j 0.068824-0.0672854j 0.0297544-0.0469385j 0.0328174-0.00430706j -0.0296671-0.00459832j 0.0526117-0.0700572j -0.0395215+0.0190081j 0.0218519-0.0308668j -0.04011+0.0203843j 0.0174478-0.00287381j 0.0307973-0.0411998j -0.0186114+0.0497833j 0.0160805-0.019238j -0.00491842+0.149109j 0.134275-0.0595645j -0.0777122+0.126709j -0.0828408+0.0538502j 
0.0366897-0.0180304j -0.0294258+0.0227241j 0.0576112+0.00288005j 0.0322258+0.0115445j 0.00671094+0.0529457j -0.0104675-0.0297877j -0.0359272+0.00556287j -0.0205567+0.0649685j 0.0373199-0.0638024j 0.076667-0.0324632j -0.00161071+0.022737j 0.0254788-0.00404691j -0.00231704+0.00179569j 0.0253759-0.0228697j -0.0403405-0.00221958j 0.0639934-0.0102316j 0.0179118-0.0187852j -0.0055721+0.0224382j 0.0103483-0.020296j 0.037567+0.0205306j -0.0101282+0.0143924j -0.0299461-0.0452698j 0.0435469-0.0507518j 0.13134+0.0166124j -0.00524097-0.0703008j 0.0906637+0.0188913j -0.000124966-0.033913j -0.0427405+0.0437297j -0.0612289+0.0101107j 0.0131019-0.0682617j 0.0660045-0.0285513j 0.0125724-0.0146483j 0.0221858+0.0380929j -0.0341312+0.0559483j -0.020718-0.0358627j 0.107435+0.00215876j -0.00769275-0.070214j 0.0391865+0.0329419j 0.125122-0.0572283j -0.107135+0.0253349j 0.0164383-0.0443335j -0.0226378-0.069642j 0.0854341+0.0102148j 0.102985-0.0164292j -0.0119678-0.138361j -0.0128673-0.0448496j 0.0727652-0.145908j -0.0690123+0.0918222j 0.0198299-0.101441j 0.0476176-0.0143469j -0.00849778+0.0262328j -0.0294444+0.0333259j 0.0257972+0.0111235j -0.0324581+0.0319992j 0.0557288+0.0356771j -0.0148513+0.00939313j -0.0034926-0.00618198j -0.058011+0.0296465j 0.0711693-0.0192809j 0.0844955-0.0236967j 0.0286754+0.0245147j -0.00623555-0.00676675j 0.00867754-0.0173395j 0.00557385+0.0398089j -0.0369906+0.0144977j 0.00761021-0.0212335j 0.0986131+0.0402315j -0.017612-0.0517386j 0.0828331+0.0801774j -0.0529258+0.00870786j 0.0165603-0.029397j -0.0391568+0.047686j -0.0981114-0.0472731j 0.0439586+0.0911186j -0.00247518+0.0417213j -0.00297967+0.0676132j -0.0189772-0.0063579j -0.0127831-0.0191511j -0.01168+0.0468545j -0.0866914-0.0497039j 0.00579833-0.0108055j -0.0544366+0.0141685j -0.0868722+0.0474482j -0.00964066-0.0314776j -0.00150669+0.0252149j -0.0199339+0.0244897j 0.0185781-0.0215243j 0.00686938+0.0273962j -0.000915831+0.0370146j -0.0474886+0.00851735j 0.0669791+0.0045333j -0.0355938-0.0545192j 
0.0117241-0.0227989j 0.0341957-0.0250811j -0.043055+0.0280704j -0.030488+0.0211857j -0.0525187+0.00616761j 0.0226194-0.00788271j 0.0139191+0.0285379j -0.0268813-0.0195183j 0.0217141-0.0457397j -0.0414178+0.0462432j -0.0411782-0.00887256j -0.043875+0.020492j 0.0208635+0.0613008j 0.114525+0.0111923j 0.0281491-0.0528208j -0.0205949+0.0431484j 0.0685346+0.0242113j 0.00558535+0.062141j -0.0236989-0.00834013j 0.0338063+1.57847e-05j -0.0169061-0.0445628j 0.0409137+0.0402651j 0.00226679+0.0553916j -0.00128063+0.0882148j 0.0565384+0.0192999j -0.0510513+0.0113479j 0.0856644-0.0291917j -0.0143151-0.0659713j -0.0295376-0.0143604j -0.031851+0.0578649j 0.0629236+0.00294921j 0.0124195-0.0549058j -0.02974+0.0321093j -0.0721685+0.0688758j 0.144272-0.0190403j 0.00965236-0.0494449j 0.0897789+0.0533005j -0.156726-0.0172504j 0.0117753-0.0273645j -0.0262127-0.0460664j 0.0480617-0.0180122j 0.0161975-0.0271252j -0.000348549-0.0120199j -0.0547619+0.0738827j 0.118882+0.0968502j 0.000963982-0.00750581j 0.108675+0.128635j -0.0605174-0.0600808j 0.0384395+0.0470517j -0.121118-0.0264253j 0.0487393+0.0940324j -0.165932-0.072768j -0.0762358+0.0323772j -0.0370783-0.144067j 0.0348889-0.0341403j 0.00323492+0.015361j -0.00473796+0.00812265j -0.00619341+0.0567151j 0.0261845+0.07958j 0.0980011+0.0650749j 0.0529436+0.0327454j 0.0334035+0.0412302j -0.0172411-0.0208692j 0.0104987-0.00655715j -0.0377613-0.0173175j 0.00646898+0.0185909j -0.0662077-0.00454706j -0.0680513+0.0230039j -0.0565039-0.0570442j 0.0597941+0.00601613j -0.106166-0.0255544j 0.077042-0.0228136j 0.0217583+0.0237242j -0.0305374-0.0735716j 0.028651-0.0140938j 0.0233434-0.0272147j 0.0529255+0.0308785j 0.0334283+0.0813867j 0.0105904+0.00841362j 0.0522389-0.0280946j 0.064121+0.0304077j -0.0455747+0.0090442j 0.00986989-0.00421972j 0.0035918+0.035548j 0.00803944+0.0164488j -0.0364802-0.00896506j -0.011578+0.0373509j -0.0604768+0.0166691j 0.0230343+0.0137469j -0.00467207+0.00123362j -0.0505469-0.0210716j -0.0290264+0.0235758j 
0.00131522+0.0376918j -0.0237595+0.0332236j -0.0216474-0.0322054j 0.0428143-0.0241106j 0.0364627-0.00610725j 0.0367838+0.016049j -0.0154629+0.00378285j 0.0195849+0.0126996j -0.0208489+0.026678j 0.0099001-0.0629114j -0.0429184+0.0154292j -0.0106905-0.0351744j 0.0129233-0.00371432j -0.0239437+0.0450868j 0.00218874-0.0703378j 0.0315327-0.0303403j -0.0557381-0.0352492j 0.000529887-0.0242382j -0.0287448-0.0295877j -0.0122894-0.00605627j -0.0477425-0.0819546j 0.0172559-0.0303662j 0.0545795-0.0251058j 0.0773669+0.0798549j -0.0248583-0.0344462j 0.0197727-0.0169442j -0.0442431-0.0153513j -0.0050536-0.00149323j -0.0275599-0.0195064j -0.0488285-0.0267727j -0.0477617+0.0850108j -0.0693293-0.0571032j -0.010493+0.0146187j -0.0602796+0.101507j -0.0326739+0.0217675j 0.0481469+0.0240667j 0.0281218+0.113654j -0.00583019+0.0379047j -0.036775-0.0598981j 0.0723156-0.0932214j -0.000220616+0.00819396j -0.136942-0.100865j 0.00265307-0.108345j -0.0113734-0.00877468j -0.0110919-0.0541204j -0.0772665-0.0330512j -0.00314555-0.0686047j 0.0500492-0.000909728j -0.0726565-0.0907578j -0.00913998-0.044487j 0.00816387+0.103301j -0.119856+0.0385356j 0.0432216-0.0220561j 0.0333869-0.151189j 0.149634-0.0470147j 0.00969986+0.0442558j 0.0610323-0.0150257j 0.0190197+0.0478491j 0.0141921+0.0887477j 0.185724+0.0496228j 0.0414297+0.0812733j 0.00638056+0.0354996j -0.0136685-0.0717051j -0.0560982+0.0261342j -0.0759345+0.00858674j 0.0111796-0.0334178j -0.0198447+0.0328564j 0.0241819-0.0214223j -0.0641491+0.0197294j -0.0457189-0.00604828j -0.00372459-0.0211615j -0.0143219+0.0309345j -0.0381713+0.0141771j -0.0147768+0.0286589j -0.0189578+0.057408j -0.025003+0.0200132j -0.0312371-0.0251691j -0.0488042+0.00687092j -0.00518178+0.0572852j 0.00521583-0.0318337j -0.0548291+0.00255233j 0.0288712-0.011345j 0.0182361+0.0441829j -0.0282461+0.0208545j 0.0449745+0.0193441j -0.0319711+0.00222277j 0.0231376-0.0456413j 0.0118241+0.0361983j -0.0757418+0.0580436j -0.0689566-0.0593155j 0.0515181-0.0157273j 0.00181752-0.0478447j 
0.00639245-0.0029352j 0.00649642-0.00978617j -0.00149697+0.0235977j -0.0194447+0.016134j -0.0352973+0.0195277j -0.0207596-0.0209864j 0.0108806-0.0350672j -0.0102768+0.0304977j -0.000231526-0.0212332j 0.00170301+0.0226543j 0.00586758+0.00415795j -0.0673099-0.0454703j 0.0191683-0.0484339j -0.0020731+0.026606j 0.00124041-0.0083699j -0.023558+0.0218149j 0.013399-0.0353262j 0.000519974+0.128692j 0.00736049+0.0447563j 0.00290181-0.0268962j 0.017904+0.03024j 0.00213379+0.0581265j 0.100103-0.0525338j 0.0243841-0.00514177j -0.0844394-0.0254567j 0.0299412+0.0345497j -0.0120438-0.049237j -0.046471-0.00123947j -0.0247601-0.0109348j -0.0781642+0.0224675j -0.0247961+0.0663787j -0.0394772-0.0963948j -0.0204431+0.051797j -0.0480693+0.0547702j -0.0841659-0.0235116j -0.00548083-0.0744932j -0.020272-0.141422j -0.127728+0.110836j -0.0213087-0.0339961j 0.0488008-0.11487j 0.106467-0.00479329j -0.0955544+0.0912958j -0.0971599+0.00929945j -0.0770482+0.0678708j -0.0736745-0.102106j -0.00057568+0.0702852j -0.183112-0.0273328j 0.0534139-0.0290057j -0.047674-0.0308836j 0.0495264-0.030727j 0.0125799-0.00641772j 0.0376687+0.068898j -0.0631083-0.00942147j 0.012664+0.0536894j 0.0567728-0.0484104j 0.00926123-0.0117644j -0.0266073-0.00398225j -6.42621e-05-0.030806j -0.0153534-0.014805j -0.0128007-0.0337852j 0.0204294-0.0120252j -0.0225953-0.0288296j -0.0176307-0.0167903j 0.015255+0.0100948j 0.00251816+0.0355942j -0.0586372+0.0260303j 0.0294979+0.0255168j -0.0147283-0.0403559j 0.0527735+0.0623606j -0.0033557+0.0211193j -0.00441308-0.00674711j 0.0107499+0.0502447j -0.0806286+0.0313122j 0.0521708+0.0239207j -0.021925+0.0104465j 0.0176638+0.0193839j -0.0225152+0.0403999j -0.0551398-0.00904526j -0.00503914+0.0509355j 0.013124-0.0853068j -0.0293594+0.0134452j 0.012494-0.0164136j 0.0262934-0.0292214j -0.0364332+0.0110158j 0.0140244-0.0136494j 0.0365003+0.0228567j -0.0476204+0.0475266j -0.0171763-0.0299619j 0.0102229+0.00594593j 0.0165702+0.016178j 0.0447345-0.0105984j -0.0215802-0.0398462j 
-0.00545494-0.00686007j -0.00395612+0.0320366j -0.0172889+0.00130044j -0.00678014-0.00445186j -0.0541816+0.0192432j -0.0207718-0.0459916j 0.00774115+0.0136765j -0.0490593+0.00275962j -0.06186+0.00631155j 0.028499-0.025543j -0.044978+0.000947753j -0.0325852-0.0391632j -0.0425704+0.060815j 0.0105033-0.0630014j -0.0291823-0.0272849j 0.0105417-0.0403033j -0.0226949-0.0379055j -0.0071222-0.0146132j -0.0380459+0.00823144j 0.0676276+0.00667323j -0.0156817+0.00965694j 0.0287019-0.0915219j 0.0108908+0.0739585j 0.0117245-0.00927373j -0.0105828-0.0810027j 0.0593284-0.00623492j 0.0897321-0.0948096j 0.0505135-0.011847j 0.00022531-0.0660511j -0.0151771-0.0421587j -0.0906915-0.00208927j 0.0679722+0.0982189j -0.0228994-0.0594915j -0.0790624-0.0137525j 0.0270585+0.0259454j -0.110223-0.027791j 0.0641484-0.0646644j -0.0515289-0.0817894j -0.0900743+0.00166411j 0.104664+0.0831501j -0.0754716-0.0135547j 0.0669985-0.129512j 0.0798899-0.0265996j -0.0843038-0.0402948j 0.141438-0.0649507j 0.00804023-0.109671j -0.000373937-0.0813448j -0.0549476+0.0509914j 0.0309075-0.059568j 0.0400344-0.0489923j 0.0699317-0.0814974j -0.092177-0.00591111j 0.0076453+0.0155144j -0.0462779+0.0823221j -0.000116763+0.0034149j 0.0170792-0.0430988j 0.0222257-0.0746425j 0.0190362+0.0171879j -0.00578354-0.114782j 0.00800188-0.0376923j 0.0137705+0.013164j 0.00540007-0.0101995j 0.0132893+0.00875531j 0.0442291-0.00603362j -0.0152523+0.0138555j -0.0408768-0.00468258j -0.00639967-0.0675907j 0.00974612-0.0165194j 0.00958955-0.0443382j 0.0596978+0.0078304j -0.060351-0.00154792j 0.00651225+0.0262833j -0.0336693+0.0125603j 0.0432444-0.0529763j 0.0159651-0.0103908j 0.0244719+0.00977191j 0.0194576+0.00502725j 0.0264198+0.00994861j 0.0146721-0.0185643j 0.00439625+0.0332838j 0.0128904-0.0544017j 0.0206483-0.00952345j -0.00552108+0.0354946j -0.0102295-0.00153515j 0.0483915+0.0239039j 0.0082015+0.0496224j -0.0111318+0.0300838j -0.0168183-0.00703398j -0.00363581-0.013179j 0.00529736+0.0238689j -0.0183139-0.0307301j -0.0391313+0.0287653j 
-0.00488654-0.00234546j -0.026106+0.00910331j -0.00815939+0.0110291j 0.0151867-0.00815187j -0.0158445+0.00883529j 0.0544376-0.00784069j -0.0155413-0.0317545j -0.0124237+0.0343721j -0.044196-0.0150523j 0.0172779-0.0399101j -0.00705245-0.000174577j -0.0166181+0.00410225j -0.0236488-0.0605978j 0.051156-0.00664583j -0.0325599-0.0083761j 0.0444462+0.0017692j 0.00385776+0.00754816j 0.00948345+0.0194743j -0.0795143+0.00173079j -0.00158816-0.0340702j -0.043271+0.0379969j 0.0135268+0.0126801j -0.0112177-0.103592j 0.0186253-6.71491e-05j 0.036038+0.0459261j 0.0156027+0.0382087j 0.0969754-0.0130786j -0.0405336-0.00319424j 0.0562208+0.0249014j -0.00482007-0.0660487j 0.0311861+0.0809775j -0.0925446-0.134008j 0.188039-0.0470785j 0.118517-0.0222702j -0.0284969+0.112941j 0.00102073-0.0437631j 0.0513547+0.0357123j 0.0470786+0.0582106j 0.0101729-0.0746563j 0.0240501+0.0232668j 0.0508692-0.133099j 0.0806021+0.133658j -0.0555201+0.0669625j 0.0251665+0.00611266j -0.0389953+0.0321102j 0.0502225+0.133019j 0.0974905-0.0326811j -0.00100009-0.0629251j 0.0280301+0.0254205j -0.0393347+0.053549j -0.0141251+0.0269723j 0.0178869+0.0179378j 0.0157543-0.0312573j 0.0294076-0.0339605j 0.0942138+0.0128381j -0.0152807+0.0589317j 0.0422888+0.0633876j -0.028859+0.00445982j 0.0356918+0.0731336j 0.0804788+0.023706j -0.00865192-0.0252755j -0.0187809+0.0434645j 0.0048534-0.0143288j -0.0533105+0.00861871j -0.0262286-0.0119732j -0.00426702+0.0488001j 0.000131693+0.0542113j 0.00797162-0.00440403j -0.0453743-0.00451911j -0.0458752-0.0376996j 0.0163402+0.0206847j -0.0239662-0.0470054j -0.00460949-0.000456677j -0.0378421+0.0584362j -0.0165054+0.00841294j -0.0205655-0.0325746j 0.00880401+0.00156303j 0.00508028+0.00102936j 0.00516318+0.0298411j -0.0306621-0.00108268j 0.0237933+0.00276854j 0.0309608+0.0416938j -0.00970046-0.0229897j 0.00521635+0.00690578j -0.0362881+0.0134605j -0.0302994+0.00588359j -0.0259059-0.0116133j -0.0181631-0.0212385j -0.0456687+0.0377653j -0.0390051-0.0312003j 0.0109594+0.0267204j 0.0283038-0.00365382j 
-0.0092344+0.0131212j 0.0071417-0.0133818j 0.0280621-0.0139877j -0.0127063+0.00739584j 0.019383+0.0178657j 0.0429778+0.0551424j -0.0102964-0.015182j 0.060717+0.0471188j -0.0373047-0.0321209j -0.0376403+0.0240977j 0.0510093+0.0533816j 0.0346409-0.0639263j 0.0388594-0.0461169j -0.0742597+0.0171207j 0.00931743+0.00144398j -0.00211836-0.0386325j -0.02631-0.0123068j -0.0979862-0.00515217j -0.0168144+0.00142437j 0.0155189-0.013128j 0.0263798-0.0346153j -0.0349546+0.0144045j -0.0990031-0.0372274j -0.0913738-0.0288133j 0.0239404-0.0258607j -0.0320409-0.131901j -0.0719241+0.0415656j 0.0999656+0.0304013j -0.0610997-0.0949227j -0.00617037+0.061889j -0.0294137+0.0560547j -0.0498204-0.0240273j 0.0570209+0.0343436j -0.0819915+0.0143801j -0.0880303+0.0568646j -0.0129162+0.113654j -0.0267027-0.0843741j -0.0602107+0.01643j -0.0166729+0.105253j -0.00483472-0.00619232j -0.0461613+0.00797017j 0.00995594-0.11218j 0.0602669-0.128694j -0.0318305-0.0250925j -0.128027+0.0239087j -0.0498285-0.137721j -0.0805722+0.00283758j 0.0717207-0.116651j -0.00104323-0.0176737j -0.0246086-0.0408332j -0.0365823+0.062689j -0.100608-0.0971811j 0.00425513-0.049432j 0.0752449-0.0758198j 0.0752176-0.0760687j -0.0155694+0.0203368j 0.0480445-0.0240113j 0.0201113+0.0170228j -0.0263008+0.00983609j -0.00382435+0.0234698j -0.0384498+0.0297408j 0.0203769+0.00745656j 0.0153102-0.0333871j -0.0184045+0.0295058j -0.016757+0.0488369j 0.0205533-0.031862j -0.0332313-2.49937e-05j -0.0252282-0.0276191j 0.00153041+0.0254733j -0.00946667+0.0138277j 0.00844097+0.00636126j 0.00477192+0.0490087j -0.0412981-0.00669804j 0.0112793+0.00842178j -0.009818+0.0128732j -0.00934531+0.0256607j -0.0137901+0.0163974j -0.0230984-0.0183832j -0.00817091+0.0144922j -0.00646917-0.0161123j 0.00999642-0.00979504j 0.032579-0.00323856j 0.0228902-0.00774979j -0.0160519+0.0380016j 0.0240963+0.0482751j -0.0292706+0.0515046j -0.0349927-0.041549j -0.00523734-0.0223372j -0.0169292+0.0172027j 0.0323516-0.0191922j 0.018243-0.0113473j -0.00906692-0.0205401j 
-0.0142931-0.000386058j -0.00579482-0.0057502j -0.0362538+0.0132634j -0.00202609+0.0383309j -0.0103453-0.00878246j 0.0310162+0.00433821j -0.037523-0.0430329j 0.0228556-0.0121263j -0.0155895-0.0214037j 0.0231449-0.000959378j 0.013182-0.0205122j -0.00852062-0.0211447j -0.0299495-0.0746568j -0.0386834-0.00763471j 0.0620356+0.0103108j 0.00872544+0.0260526j -0.0610627-0.0228601j -0.0887339+0.00243972j -0.0528811+0.0275557j -0.0241411-0.0492564j -0.0216812+0.0415424j -0.0358326+0.0216718j 0.029487-0.113341j -0.0783142-0.0918816j -0.0548833+0.0629677j -0.0479909-0.019077j -0.0559659+0.0870948j -0.0434783+0.0488427j -0.00528363+0.00977891j 0.0197172+0.0374087j 0.107834-0.0409352j -0.0965675-0.0108642j 0.0400183-0.0551959j 0.0655404-0.0424804j 0.0485756-0.0256715j 0.103069+0.0614269j 0.0179409+0.0227685j 0.0788104+0.1387j 0.0965392+0.109156j -0.0311592+0.0601105j 0.0819332-0.056615j -0.0476986-0.113623j -0.145775-0.00645439j -0.0136887-0.0156815j 0.0321734-0.0542624j -0.0910792-0.0655718j 0.0166953+0.0616526j -0.0664753-0.0538289j 0.0323462-0.155709j 0.0461306-0.113403j 0.0544052-0.0506239j -0.0825478-0.0607656j -0.0302124+0.00921246j -0.0990498+0.11261j -0.0837373-0.00872343j 0.00895143+0.0122202j 0.00853484+0.00696999j 0.0468175-0.00450798j 0.0417521-0.037138j -0.0236201+0.0380472j 0.00249408+0.00161281j 0.00797729-0.00603618j -0.0270734-0.0206768j -0.0171395-0.0118504j 0.0207016+0.0349973j -0.00117343+0.027188j 0.0249643-0.0180123j 0.0311463-0.0107171j 0.0235483+0.0103922j -0.0416936+0.0292439j 0.115191-0.0341471j -0.0359967+0.0391483j 0.00895716+0.00152j -0.0263756+0.0301593j -0.0520195+0.0102416j -0.0408096+0.0170478j -0.0226087-0.0134441j -0.0198438-0.0364108j 0.0119343+0.00852154j 0.0103111-0.00409072j -0.0230655-0.0126868j -0.0286939-0.0128156j -0.019443-0.0107712j 0.0501878+0.0229227j 0.0319037-0.0151121j 0.0030493+0.052431j -0.0315966+0.0201242j -0.0100961-0.0154727j 0.0394375-0.00759558j -0.00159649+0.00539232j 0.0323146+0.01023j 0.0386716-0.0352254j 
0.0217256-0.0211921j 0.00227877-0.00540868j -0.0232417+0.0345398j 0.010235-0.00064036j -0.0273919+0.017329j 0.00503605-0.0161175j 0.0297562+0.00242646j -0.0148094-0.00145202j -0.00959986-0.0615932j -0.0187048+0.00346655j 0.0450658-0.00234574j -0.0843572+0.0209539j -0.0478924+0.0502616j 0.048963+0.0320978j 0.0593571-0.0532708j -0.000625903+0.0114712j -0.0372752+0.0529122j 0.0446443-0.0221351j -0.0126574-0.026952j -0.00713398+0.0318539j 0.0218855-0.0107531j 0.0232954+0.043365j 0.0494288-0.0186841j -0.0127736+0.060614j -0.0519672-0.0615652j -0.0869286+0.0894644j 0.0469684+0.0491019j 0.0311654+0.00285448j 0.0481188-0.0589772j 0.0277582+0.0211455j -0.0485909-0.0260522j 0.0385842-0.00019142j 0.0786388+0.0700709j -0.107379+0.182281j -0.0260251-0.0104907j 0.0151819-0.0970994j -0.150227+0.0454576j -0.0378724+0.0663658j 0.070659-0.137602j 0.0262913+0.0237964j 0.0902072+0.0315266j 0.0323543-0.0411536j 0.0727171-0.0302068j -0.0534039+0.00942145j -0.00384464-0.0937349j -0.089837-0.038136j -0.02349+0.0588918j 0.027476+0.0884754j -0.078749-0.0279492j -0.0866709-0.0740462j 0.0562308-0.0536654j -0.0667588+0.174667j 0.00494003+0.0815951j -0.0462839+0.0190644j -0.164073-0.0205536j 0.0361423-0.0658389j -0.0319699-0.0434648j 0.0507734-0.0241258j -0.0238301-0.0555674j -0.0133561-0.0860132j 0.0500043-0.0627525j 0.0220614-0.0308041j -0.0264667+0.0066417j 0.012597+0.00794604j 0.0163485+0.0478181j 0.00271328-0.0135916j -0.0210868+0.0575822j 0.0150903+0.0316362j 0.030837+0.0335115j 0.0471619-1.95041e-05j 0.00387479+0.00612489j 0.00835278+0.00458337j 0.0271998-0.0503734j 0.00495732+0.00682752j 0.00217209-0.000311798j 0.00564421+0.00769938j -0.0021832+0.0143237j 0.0204817+0.00980927j -0.00320993+0.00753087j -0.0326293-0.0176081j -0.0225423+0.00252166j -0.00735829-0.00943195j 0.0256009-0.00301285j -0.00851965+0.0171837j 0.0200278-0.00831482j 0.00701438-0.00405287j 0.0296136+0.0267464j -0.0185456+0.0481902j 0.060206+0.000547113j -0.0168093+0.03947j -0.00765333+0.00753068j -0.00171432-0.0106904j 
-0.00632405+0.0141573j -0.00844711+0.00929004j -0.0203365-0.0176873j -0.0241576+0.0216016j 0.0315548+0.0328137j -0.0285164-0.0265122j -0.00397234-0.0169727j 0.0013024+0.0526736j 0.0175767+0.0224851j -0.0297821-0.0212919j -0.0381152+0.0969856j 0.0697805+0.0165601j 0.0544923+0.00750886j 0.0382829-0.031937j -0.00286157+0.0967533j -0.0558908-0.0116965j 0.0652872-0.0249461j -0.00418791+0.0264555j -0.00774132+0.087416j -0.0236754-0.0281593j -0.0515517-0.0547471j 0.0355983-0.00599516j 0.0557939-0.0237435j 0.115665-0.0210885j -0.0645016-0.0154034j -0.0946703+0.0439661j 0.0185852+0.0122406j -0.042502+0.00135413j -0.102818-0.0557933j -0.080454-0.00710692j 0.115891+0.0336622j 0.0866936+0.0339201j -0.0574457+0.0494237j -0.0405731+0.100433j 0.066851+0.143292j 0.110899-0.00244739j -0.019398-0.040352j -0.143396+0.121553j -0.00292739-0.0591163j 0.0012359-0.0746125j 0.0168495+0.118483j 0.0222181+0.0192709j 0.0485872-0.0792779j 0.0152263+0.0953409j 0.0718843-0.0426642j -0.0811861+0.000609102j -0.00680756+0.0682355j -0.0807288+0.15547j 0.0357016+0.0718983j -0.0241425+0.0259101j -0.0622459+0.0414184j -0.0341727-0.0440984j -0.0193855-0.00859431j 0.010396+0.0173887j 0.00989475+0.0792778j -0.0301714-0.00457435j -0.0487205+0.0527643j -0.0759995+0.000837887j -0.0213611+0.0248427j -0.0045206+0.0668037j -0.0125632+0.000538537j -0.00061063+0.00651675j 0.0431956+0.00302238j 0.015067-0.0110995j -0.0258392-0.041735j 0.0280385+0.0124974j 0.0527902-0.0455295j -0.063801-0.0288208j 0.0564145-0.0569765j -0.0647939+0.0117576j 0.0114162+0.0245004j -0.0153322+0.0422847j -0.0831104+0.0694246j -0.0187959-0.0322584j 0.0338096-0.00139817j -0.0126485-0.0139183j -0.0166743+0.033625j -0.00324988-0.00410425j 0.00304901+0.00617507j 0.0179334-0.00152985j -0.00699923-0.00218213j -0.0184708-0.00308006j -0.0408443+0.0183775j -0.0144303-0.0453776j -0.045284-0.00365406j -0.00544-0.0420189j -7.39806e-05-0.0169226j -0.0108716-0.0174601j 0.00649752-0.0220153j 0.0260436-0.00396556j 0.032322-0.0425015j -0.0154681+0.0011557j 
