-0.016385-0.06494j -0.0049655-0.0126327j 0.000734416-0.0342175j 0.0143272-0.0370376j -0.00302483-0.0431981j 0.0170757-0.0276285j 0.0311266-0.0423843j 0.0119012-0.0400495j 0.0137786+0.0427133j 0.0285003-0.066512j -0.0293716-0.015601j -0.0129164+0.0140559j -0.0105281+0.0261202j -0.00545128-0.0288283j 0.0402653-0.0232119j 0.0130938-0.0177153j 0.0266454+0.00914551j -0.016639+0.0392998j -0.00290936-0.00516792j -0.0112369+0.0332891j 0.0100061-0.00422905j -0.00786029+0.0106827j -0.0444459-0.00327892j 0.046718-0.0429235j 0.0264725-0.00583674j 0.00321758-0.00353846j -0.00766648+0.0131068j -0.0139582+0.0380821j 0.0394046-0.0509798j -0.0514675+0.0131554j -0.0291229+0.0107131j 0.0273665+0.0002774j -0.00862859-0.020054j -0.0400247+0.0122102j 0.0138819-0.0126455j 0.011274-0.0647606j -0.00654209+0.0589404j 0.0232011-0.072892j -0.0184162+0.0392043j 0.00762978-0.000846474j -0.0325596+0.0616739j -0.000911805-0.0307965j 0.0316035-0.055393j 0.0180734-0.0129785j 0.0274847-0.0199139j 0.0507284-0.0395882j -0.0743023-0.0058283j -0.0674811+0.0764642j -0.0641883-0.0222165j -0.099673+0.0845166j 0.120182-0.0472351j 0.045882-0.0657951j -0.0070862+0.060375j -0.228128+0.227033j 0.115453+0.0695752j -0.0418944+0.0228767j -0.175522+0.079044j 0.12833-0.116578j -0.00131225-0.0732226j -0.0349783-0.0238214j 0.018237+0.00395152j -0.0152621-0.01268j 0.0547276-0.0733832j 0.0579361-0.0657435j 0.0350447-0.0188517j -0.0428323+0.157718j 0.139292-0.0626884j -0.0966464+0.152042j 0.130408-0.0560402j 
-0.0103779+0.0201148j 0.0286726-0.00674264j -0.0103499-0.013844j -0.0222142-0.0266129j -0.00227474+0.0329243j 0.0525305-0.0196743j -0.0215431+0.00308657j -0.0240713+0.00652247j 0.00221994-0.024074j -0.0201497+0.080515j 0.0136886-0.0247441j 0.0229555+0.0886163j 0.00865633+0.00799206j -0.0274171+0.0147769j -0.0144791+0.00569984j 0.0538003-0.0162911j 0.0367347+0.0693487j -0.0201896-0.0442162j 0.0239025+0.0754316j 0.0338656+0.0402218j -0.0285077-0.00345293j -0.0863148+0.0946855j 0.0167953+0.0373863j 0.0225234-0.0150893j -0.0132916-0.00948831j -0.00390815-0.0803551j -0.0496014+0.0163544j -0.0876678-0.0725557j -0.101333+0.032013j -0.00983614-0.0669758j 0.0713749-0.0794981j -0.0258027+0.0308066j -0.0455456-0.042864j -0.00498397-0.0530582j -0.0537108+0.025108j 0.115156-0.0190664j 0.138218+0.053826j 0.121339+0.0944032j -0.0861539-0.0257888j -0.083552+0.0762871j -0.11751-0.157102j 0.0839625+0.0791518j -0.0596139-0.0217052j -0.00324829+0.0654663j -0.0351573-0.0799499j 0.021107-0.0738384j -0.0569732+0.0954224j 0.0230304+0.00280434j 0.0229129+0.0356745j -0.0964977-0.00798698j -0.00235929-0.131098j -0.0193326-0.0723478j 0.0426532-0.0378243j -0.112402-0.149549j 0.110323-0.119871j -0.0322057+0.00444702j -0.0861179-0.132711j 0.17494+0.0604443j 0.0363261+0.0812216j -0.0661344+0.0715846j -0.0385742-0.0733778j -0.0105876+0.00322606j -0.00109199+0.0259945j 0.00882762-0.0169293j 0.0259772-0.00082531j -0.0237402-0.0623966j 0.0548162-0.022566j -0.0406522-0.0911549j 0.0820677-0.000789136j 
-0.00285789-0.00863318j 0.0296642-0.00936271j 0.014668+0.00365602j -0.0192039+0.0207395j 0.0274846-0.0177202j 0.0097514-0.0177548j 0.0146013-0.00555887j 0.00595068-0.0229405j -0.00348268+0.0602319j -0.0662487+0.0359002j -0.0359935-0.00123512j 0.0399628+0.0219216j -0.0221101+0.00693979j 0.0335904+0.0292788j -0.0638306+0.00934366j 0.0283969+0.0227988j 0.00694957-0.00257478j -0.0145662+0.0121239j -0.0383371+0.00164759j -0.101813+0.0323564j -0.0037389+0.010878j 0.0304398-0.0473301j 0.0175155+0.0363541j 0.0229207-0.0888859j -0.00813618-0.00113453j 0.0238303+0.0572425j 0.0555459-0.0530132j 0.0400318-0.0549599j -0.0402076-0.0430379j -0.0781386+0.010489j -0.00329932+0.0924442j 0.00296181-0.0142261j -0.00767739-0.0799411j 0.0754576-0.00309058j -0.0437145+0.0100529j 0.032014+0.0217752j 0.00777101-0.0615026j -0.027719+0.00296647j 0.0209871-0.00283457j -0.0417067-0.0638959j 0.0128458-0.00105477j -0.070721+0.0830189j -0.0278487+0.0194996j 0.0524981-0.0666251j -0.0606923+0.100293j 0.085147-0.0564354j -0.0247033+0.00843912j -0.0265509+0.0281102j 0.0957154+0.031677j 0.0350471+0.00486282j -0.0363088-0.0556672j -0.000648588+0.0238549j -0.0723279-0.00392598j -0.0558307-0.0220624j -0.0497825-0.0830219j -0.0326038+0.00254549j 0.0191376-0.00273055j -0.0265739+0.0539019j 0.0747719+0.0285425j -0.00682647+0.030651j 0.0578523-0.00654647j -0.0204373-0.00741602j 0.000915016+0.0103411j 0.00334098+0.0102637j -0.0186494+0.0138918j -0.0416061-0.00172994j -0.00988062-0.0359562j -0.0308669-0.0307961j -0.0134403-0.0223433j 
0.0233131-0.0153532j -0.00981613+0.00283934j -0.0415534+0.0179946j -0.00172731-0.00226961j 0.0181101+0.000647444j 0.0117775-0.0384319j -0.0199617-0.0621878j 0.070676+0.0555627j -0.0255306+0.0114203j -0.00539484-0.0210839j 0.0218394+0.0407578j -0.0252411-0.0120263j 0.0852475-0.0334699j -0.00273524-0.044129j -0.00176203-0.137321j 0.023517-0.112681j -0.0629968-0.013381j 0.0395994+0.0583952j 0.109238+0.0065286j 0.0445521+0.00165053j 0.0370204+0.0721699j 0.00829252-0.0254172j 0.0466579-0.107256j 0.00387797+0.11981j -0.208834+0.00133275j -0.00508537-0.0573812j -0.0716203-0.00718651j -0.032765-0.10948j 0.0280125-0.0236475j -0.0631144+0.0582801j 0.0178413-0.166813j -0.0400077+0.0470685j -0.0761435+0.0124528j 0.116954+0.13194j -0.00489173+0.0318251j 0.100694+0.0613014j -0.0780997-0.0590626j -0.0698752+0.0927535j 0.0220952-0.0569817j -0.0233399-0.0763477j -0.0636513+0.127507j 0.116253-0.0192097j -0.0641017+0.108106j -0.0134006-0.131526j 0.00546666-0.0245067j 0.0925229-0.0784487j -0.00307732+0.13391j 0.0399771-0.0732694j -0.0974767-0.143783j -0.01019-0.082642j 0.0394966+0.0491531j -0.00307931+0.0709405j 0.0413034-0.0104865j 0.0798547+0.000324351j 0.106645+0.0494311j -0.00890689-0.0400901j 0.0991242-0.0216565j -0.0232442-0.0226344j -0.0171777-0.0213408j -0.0326246-0.0477366j -0.0184017-0.0325818j 0.0336091+0.0686852j -0.0167247+0.067829j 0.0723718-0.00290067j 0.0391231-0.0257621j -0.0195671+0.0150644j 0.0133793+0.0161648j 0.0663487+0.0121544j -0.00028364+0.0308427j 
0.0064614+0.0123185j 0.0160414-0.023047j 0.0460235-0.0288644j 0.0462174-0.012965j -0.0471268+0.0145279j -0.00117062+0.0133132j 0.0274765-0.0065461j 0.000824009+0.0205369j -0.0140238-0.0039372j -0.00632579+0.013348j -0.00369908-0.0108657j 0.0154336+0.00743795j -0.0627304+0.0151459j -0.0161971-0.0584749j 0.01826-0.0567608j -0.0231028-0.00941788j 0.0184255+0.0475041j 0.0195369-0.0433418j 0.0502361+0.106862j -0.0417412+0.0579426j -0.0640736+0.0385113j -0.0170924+0.00622838j 0.0161658-0.0455035j -0.0563269-0.0443951j 0.0549939-0.113466j 0.034509-0.0779436j 0.0645096+0.0133042j 0.10272-0.0370345j 0.00384153+0.0374849j -0.0189463+0.00502103j 0.0316111+0.0776669j 0.0347474+0.00322799j 0.0352304+0.0991381j 0.107249-0.0562564j -0.100176-0.0759634j 0.0948869-0.0153697j -0.0251095+0.0109711j 0.0586163-0.000712136j 0.0765449-0.049878j -0.181273-0.0455388j 0.0907066-0.0482849j -0.0218871+0.0361212j -0.0225751-0.015485j 0.00476882-0.082615j 0.0426144+0.0287262j 0.0978062-0.0551427j -0.0784655-0.0472239j -0.0582169+0.0706931j 0.0605918+0.0523244j -0.0342636+0.0110764j 0.0435165+0.0122781j 0.0936423-0.0424579j -0.0149669-0.0434198j -0.084837-0.00948514j -0.00458809-0.0621706j -0.00239117+0.00396089j 0.0393761+0.0689103j 0.0106191+0.0230312j 0.0832788-0.0100838j 0.0031389+0.0372778j 0.0603105-0.0404456j 0.00934504-0.01065j 0.0418839+0.0125609j 0.0606381-0.0647962j -0.063442-0.0333152j 0.0179202-0.00669249j 0.0398701+0.0233164j -0.0359557-0.0117859j 0.00029025-0.0342553j 
0.0184635-0.00540878j -0.00135459-0.0164998j -0.0057688+0.00511068j 0.0262127-0.0159576j 0.0167066-0.0213842j -0.0778204-0.00647947j 0.051715-0.0171791j 0.0424659+0.012119j 0.0151911-0.0481j -0.0994054-0.00148149j 0.0152202-0.0412195j -0.0969177+0.0343167j -0.09991-0.0508593j -0.0153452-0.0410696j -0.0277209-0.0228531j -0.0054512+0.0447503j 0.068119+0.0755686j -0.101968-0.00595714j 0.00957919+0.111321j -0.0245876+0.0607299j 0.156508+0.0475187j 0.0168836+0.0406397j -0.175289-0.000982595j 0.0595655-0.0666807j 0.0333134-0.0559347j 0.0959211+0.0317265j -0.0406187-0.0158774j 0.0530165+0.0175482j 0.0154267-0.0528232j 0.128645+0.0886429j 0.0232841-0.0346103j 0.0418371-0.0233035j 0.108609+0.00654194j 0.0541684-0.0523685j -0.00103041+0.0648673j -0.0230551-0.171117j -0.0666914-0.0105531j 0.100135+0.075279j 0.0689889-0.0718034j 0.0264417-0.00153422j 0.182858-0.0187407j -0.0308292+0.0287488j 0.176711-0.0943753j -0.0783916-0.0797446j -0.0717774+0.00752683j 0.0274488-0.0163215j -0.00126197-0.138263j -0.0366914+0.115384j 0.053081-0.0126908j -0.00697379+0.0468594j 0.0474474-0.00556521j 0.00651803-0.0615825j -0.0189273-0.0105492j 0.0239168+0.0488046j -0.0589905-0.00400765j 0.00158952+0.00524642j 0.0476512+0.0760743j -0.0197153-0.010349j 0.0191084-0.0504197j 0.0235833+0.00966094j 0.0134738-0.0569952j 0.0818978+0.00623465j -0.0108254-0.0246963j -0.0104217+0.0209712j -0.0533258-0.0704086j -0.00975823+0.0346408j 0.0266744+0.0046337j -0.0016045+0.0352079j -0.0409392-0.0165479j 
9.29678e-05+0.00325773j -0.00455449-0.0195612j -0.0212789+0.023924j -0.0110925-0.0363208j 0.0140121-0.0320751j -0.0215255-0.0302807j -0.00532878+0.0295781j -0.027023-0.0424178j 0.0722883-0.0221304j 0.0166341-0.00818111j -0.00517195+0.0764364j 0.0228905+0.0273388j 0.0221064+0.121j 0.054203-0.0981406j -0.0400247-0.0425186j -0.0186159+0.0452117j -0.0907375+0.069048j -0.0527976+0.00686427j -0.0488861-0.0224633j 0.0909538+0.0193018j 0.097951-0.0834856j 0.00614568-0.0296271j 0.010446-0.114264j -0.0223182+0.121976j 0.00202648-0.00359559j -0.0850053+0.036047j -0.00750866-0.00965322j -0.127144-0.204542j 0.0704449+0.0120135j 0.00596831+0.0681239j 0.103596+0.00928373j -0.0476584-0.0612482j 0.0589102-0.0111013j 0.0409442-0.00753509j -0.00747067-0.0318578j -0.0199496-0.0590704j -0.17006+0.166181j -0.052853+0.051693j 0.0841822-0.103666j 0.0592603-0.0128757j 0.051885-0.102182j 0.0152161-0.0170782j 0.100532-0.153936j -0.0858498+0.00109161j 0.0546047-0.0720039j 0.0298576-0.0526301j 0.0114845+0.0426894j -0.00341814+0.0209713j 0.0103618-0.0370048j 0.0045043+0.047857j -0.00419827-0.0823989j 0.0676953-0.0457159j 0.00376644+0.0314511j -0.0112383-0.0128824j -0.00943187+0.0204883j 0.0281776-0.0728718j 0.0238421-0.0369054j 0.0220054+0.037994j -0.0388561-0.00542199j -0.00540825-0.0196934j 0.0185203-0.0120021j 0.0204707+0.000122268j 0.0289333-0.0261122j 0.00429505-0.0156495j 0.0134891-0.0133563j -0.0230571+0.00949971j -0.0142514-0.0309221j 0.0123077+0.00451797j -0.0166444+0.0318211j 
-0.0080341-0.0128377j 0.000520224+0.0276458j 0.0243832-0.0360199j -0.019416+0.0190483j -0.0405419+0.009358j -0.00645997+0.015106j -0.0175754-0.0166007j -0.0231158+0.00476211j -0.0300935+0.0597588j -0.00222901-0.0770024j 0.0146713+0.0259346j 0.0482253-0.0351838j 0.0581056-0.00927422j -0.0457283+0.0106858j 0.0984019+0.0125426j -0.034519+0.00468604j 0.0163131-0.0747249j 0.0652024-0.0679597j -0.0325654-0.0273676j 0.00875999+0.0497082j -0.0394211+0.0481238j -0.0501056-0.0434715j 0.0178175-0.0390262j 0.00798778+0.0578952j -0.0620678+0.0353183j -0.0491094-0.0164237j -0.0520435-0.0399658j -0.0307966-0.0461735j 0.0466599+0.0128875j 0.0558532+0.094526j 0.0898853-0.0293418j -0.135547+0.0661684j 0.100717+0.0499079j -0.00253902-0.0237292j -0.0649015+0.0761554j -0.0628182+0.0472977j 0.00811839+0.101953j -0.0732617+0.067503j 0.0440907-0.0286629j 0.0548198+0.0256087j -0.0258497-0.0393935j 0.00533544-0.0183947j 0.0475677-0.0921438j 0.0179867+0.0605088j 0.0725396-0.104308j 0.0268452-0.0407199j -0.0111879+0.106129j 0.0677189-0.017027j 0.085398-0.0370747j 0.0962778-0.0109143j -0.0561606-0.0139851j -0.014861-0.0519849j -0.0213601-0.00151578j 0.00413214+0.0210695j -0.0245925-0.0392541j 0.00465094-0.0414651j 0.00188036-0.0257167j -0.00469393-0.0226496j 0.0112917+0.0233341j -0.00792934-0.00882561j 0.0354962-0.0272341j -0.0258265-0.0234592j -0.0230731-0.00793912j 0.00451621-0.0214247j -0.0140541+0.00362934j -0.0180551+0.0179158j -0.0563668-0.01687j -0.00515526-0.00750539j -0.00499801+0.000105891j 
0.0100119-0.0423957j 0.0101808+0.0161149j -0.0141927+0.0309328j -0.00733131+0.00298991j 0.0272501-0.0372837j -0.00874575-0.0306932j 0.0140294+0.0357938j 0.0331907+0.00429126j -0.0302143+0.0337098j 0.00015019-0.0421973j 0.0523837+0.00915139j 0.0445532+0.0816975j 0.0194551-0.0399441j 0.0508335-0.0619233j 0.0814196+0.0361552j -0.00795274+0.0313281j 0.0204618+0.0672129j -0.0333196+0.0323399j 0.000576052+0.0981451j 0.00870131-0.0415137j -0.116062-0.158624j 0.00880556+0.0321322j 0.0190197-0.0477871j 0.0807551-0.0217419j -0.0497025-0.063091j -0.0642662+0.0707101j -0.058633+0.0729931j -0.0764922+0.0622661j -0.0761972+0.0271761j -0.0408215-0.0814721j 0.0503779+0.0214189j 0.0915585+0.0619575j 0.0779969-0.00474831j 0.162098-0.0249686j 0.0440074-0.0541588j 0.13047-0.00853943j 0.0497534+0.0359749j -0.0750465+0.0098439j 0.087535+0.0102125j 0.0450315-0.10627j -0.0322749+0.00649677j -0.03837-0.0285169j -0.0324331-0.0533491j 0.113024+0.0032881j -0.0779299+0.0209137j 0.0673885+0.0365205j 0.0191801-0.0396159j 0.0213706-0.023198j 0.11391+0.04504j 0.057235+0.0151511j -0.0623383-0.0169146j -0.0422116+0.0398997j 0.0237821-0.00460573j 0.0358192-0.00931577j 0.0168414+0.00297389j -0.0335089+0.00475873j 0.0302015+0.0102109j -0.072569-0.0344485j 0.0462938+0.0142891j -0.0287165+0.0456789j 0.0334433+0.02576j -0.0559308-0.0295884j -0.0373354+0.0250008j 0.00906725+0.0271351j 0.00365465-0.0222604j -0.0673377+0.0276402j -0.0378188-0.0198254j 0.018899-0.00369064j -0.00161989-0.000765637j 
0.00175894+0.0205147j 0.00528926-0.0165778j -0.0118908+0.0226189j 0.0151074-0.0161895j 0.0169346+0.0424482j 0.0518155+0.0373056j -0.0197186+0.0287756j -0.0181412+0.0311461j 0.0155167+0.00459454j 0.0332684+0.0150521j -0.0195357+0.0220061j -0.030248-0.0598136j -0.0415983+0.113308j 0.0580366+0.0506537j -0.00692552-0.171462j 0.036629+0.0796038j -0.0907443-0.0125178j -0.0196459+0.0287251j -0.0657187-0.0148746j -0.019931+0.0322322j 0.0883187+0.0675465j -0.0184147-0.0176805j 0.0872868-0.0318711j -0.00346647-0.0233368j 0.0518547+0.0163429j -0.0459532+0.0992229j -0.0825621-0.0021926j 0.0100065-0.0924159j 0.00729579-0.0819509j -0.0706836+0.0244272j -0.0179753-0.10441j 0.00755958-0.0969987j 0.0224061-0.263138j 0.0381398+0.0617769j 0.0793936+0.1111j 0.00422232+0.0524799j -0.0464679+0.024996j 0.0265349-0.0103268j 0.00595601-0.027839j 0.115771-0.0696731j -0.00327398-0.0251973j -0.0144572+0.0519566j 0.0430337-0.160646j 0.0359729+0.00997602j -0.125411-0.00997324j 0.0282968+0.0579704j 0.0355032+0.00124042j -0.0962832+0.0488514j -0.0281006-0.0685836j -0.0551897-0.0264907j 0.00754162-0.0413405j -0.0231076-0.0319324j 0.0228438-0.0506638j -0.0291111+0.0141621j 0.0350295-0.0662707j 0.014354-0.0328774j -0.0739602-0.00247464j 0.00804537+0.0539238j 0.00470475+0.0461603j -0.0463849-0.0389594j -0.0238626+0.00426189j 0.0448963-0.0147377j -0.00906636-0.0198328j -0.00193443+0.0240481j 0.000877799-0.0126892j -0.0325494+0.0103883j 0.0213203-0.0134326j -0.00982947-0.0215976j 0.0289697-0.023294j 
0.0299267-0.0016093j 0.031586-0.0316035j 0.0355771-0.000194674j -0.0337278-0.00352132j 0.029809-0.0414923j 0.0193068-0.03953j 0.0424005+0.0305339j 0.0184761-0.0506999j -0.0552033+0.0423314j -0.0474676+0.0300673j 0.0141137-0.0171626j 0.0338362+0.0344779j 0.0379688+0.0757511j 0.0582471-0.0580886j -0.101632+0.0184334j 0.0620527+0.00335562j 0.0306007-0.00421327j -0.0128804+0.0443932j 0.0442015-0.00185084j -0.00822023-0.00370437j -0.0265101-0.0326735j 0.0560741+0.0315561j -0.0504293+0.00852558j -0.00404202+0.125167j -0.0287196+0.0390876j 0.0448068+0.018558j 0.0453341+0.0250383j 0.000685005-0.141246j 0.0642834+0.0341275j -0.0471459+0.063673j -0.0510944-0.074897j -0.0160449-0.13909j 0.0372753-0.0675243j -0.0736461+0.0161274j 0.123655-0.090329j -0.060983-0.0586058j -0.0504815-0.0663488j 0.00552302+0.0366018j -0.121498-0.0430526j 0.0478409+0.0606285j -0.0992749-0.0337305j 0.0274992-0.0580047j -0.0303293+0.035507j -0.00590012-0.0292128j 0.0351083-0.00204768j 0.0207976+0.137216j -0.0653898-0.0944655j 0.0239515-0.0229699j -0.0588596+0.0651178j -0.0858226-0.00818295j 0.0738623-0.0321263j -0.0187964+0.0939837j -0.0424847-0.0496809j 0.05157-0.0532109j -0.104694-0.0253581j 0.0625258+0.0332557j 0.0955171+0.0558328j -0.0126776+0.0479606j -0.0358097-0.00331091j 0.0261727-0.0314755j -0.0748191+0.010767j 0.0104465+0.0174686j -0.0330788+0.0254164j 0.0249529+0.0393042j 0.0152569-0.0358848j 0.00681119-0.0532554j 0.0667112+0.0107834j -0.00897503-0.00733104j -0.0382618-0.00925382j 
-0.00795975+0.0436406j 0.0350188-0.00730806j -0.00702001-0.0161413j 0.0165059-0.0250128j -0.0245051-0.00779414j -0.0726456+0.0136751j -0.00477415-0.00797874j 0.0387491-0.0813661j -0.000199745-0.0676538j -0.0398256+0.0505671j -0.0685152-0.00144268j 0.00027287-0.0164951j 0.075578+0.00962669j 0.0716013-0.023186j 0.0636789-0.0329571j -0.0939893+0.0104987j -0.038362-0.0716499j 0.0837263+0.0340735j -0.0903663-0.133194j -0.108923-0.0437476j 0.0256324-0.0582481j -0.0176837+0.0641084j -0.0250746+0.0831174j 0.144739+0.0898692j -0.060475+0.0424069j 0.10716+0.0293946j -0.139985+0.0923997j -0.0661491+0.0235094j 0.0409551-0.100035j -0.0691049+0.114911j -0.00563362-0.110514j 0.0539695-0.0291671j -0.0661615-0.185593j 0.00697665-0.108433j 0.00460096-0.0283082j -0.0560734-0.0970281j -0.0153656+0.0176764j -0.107252-0.052293j -0.0682605-0.08981j -0.052566+0.0138454j -0.04528+0.0425425j -0.0358596-0.130133j -0.0388659+0.0692678j 0.0223825-0.0917451j 0.0664582+0.0246658j -0.0399173-0.0658492j 0.0558543+0.017292j -0.0193236-0.0335802j -0.109149+0.0254182j 0.0228103-0.00584105j 0.0628125+0.00711317j 0.0309152+0.0704988j -0.042022+0.00743846j -0.0477919-0.0243993j -0.0501494-0.00395348j -0.0258469+0.0199526j -0.0119104-0.0181595j 0.0210253-0.00227784j 0.0234524-0.0143312j 0.0317055+0.0146919j -0.0158753-0.0339526j -0.0550998-0.0239344j 0.034967+0.120599j 0.0627183-0.0367023j 0.0023134+0.00410753j 0.0354842+0.000422609j 0.024124+0.0119513j -0.0412714-0.00184271j 0.0030776-0.0051048j 
-0.018438-0.0127918j -0.00806785-0.00701282j -0.01497+0.00345682j -0.0491273-0.03548j 0.0269011+0.0630752j -0.0143787-0.0430331j -0.0481938+0.0347214j 0.00623995+0.00108573j -0.04223+0.0234092j -0.0415434-0.003213j -0.0340187-0.0247554j -0.0163416+0.0187336j 0.0336012-0.0242102j 0.0147339+0.0240147j -0.0517935-0.0524755j -0.104202+0.0184828j 0.0404632+0.0464588j 0.0400296-0.0663077j -0.127197-0.0661519j 0.0126796-0.027811j 0.0512546+0.0434708j 0.0462046+0.111341j -0.0382966-0.0790846j 0.095266-0.0469163j -0.0595049+0.00927557j -0.0915367+0.057705j -0.0205264+0.088282j -0.0411362+0.00270679j -0.135425+0.0159846j 0.0575527+0.0288867j -0.0288629-0.0384068j -0.0181169-0.136901j -0.0475405-0.212846j 0.0639016-0.0980668j -0.0259943-0.0019597j -0.030717-0.181529j 0.0817956+0.0215441j -0.194323-0.0767802j 0.0875499+0.1317j 0.0748687+0.126421j 0.128811+0.0509095j -0.138034+0.0373834j 0.121666+0.0738726j -0.00914023+0.00420743j 0.0287751+0.126113j 0.0124953-0.0878973j 0.00603038+0.0833954j 0.0699177+0.0333868j 0.113842-0.0515846j 0.0922228+0.0524982j -0.0454055-0.0743214j -0.0598678-0.0554999j -0.0220065-0.0194655j 0.028857-0.0449808j -0.00943141-0.0115919j 0.00962358+0.0230471j -0.0402042-0.160516j -0.0609272+0.0584538j -0.0297828-0.0336804j 0.0219288+0.0582537j 0.0544612+0.0257606j -0.0369979-0.00743796j 0.0303871+0.0209454j -0.0516659-0.024423j -0.0289994+0.0362258j -0.000279438+0.0454286j -0.0409437-0.0551416j 0.025973-0.0405254j 0.00582406+0.0387585j 
0.00658572-0.0110815j 0.00271067-0.00317986j -0.00417316+0.0195893j -0.0475239-0.0104259j 0.0222669-0.00346826j -0.0645123-0.0529149j 0.0201471-0.0481155j -0.0535206+0.00346661j -0.0382942-0.00410424j -0.0717899-0.00710111j -0.0229662-0.0617131j -0.0563741-0.00964557j 0.0120946+0.0367708j 0.0308453+0.103342j 0.0360812-0.0603762j -0.0456927-0.0731447j 0.0225256-0.00512076j -0.0184666+0.0808986j -0.139777-0.074122j 0.023652-0.0360405j 0.049859+0.0148874j 0.0715896+0.0884008j -0.00185117+0.0383446j 0.0559221-0.000439357j 0.0876519+0.0393075j 0.0177647+0.0374728j -0.0318908-0.0111348j 0.055682+0.0446849j 0.0853096+0.00302928j 0.158815-0.0656023j -0.00892355-0.0240338j -0.0170668+0.0679026j 0.0299519-0.0980387j -0.0688494+0.0215986j -0.00914805-0.00843192j -0.0478461-0.0130471j 0.0575191-0.0405855j 0.082419-0.0442774j 0.0666117+0.0251687j 0.110331-0.115291j -0.0812454+0.0234365j 0.0290908-0.0707949j -0.104228-0.176489j 0.111051+0.0218414j -0.0493589-0.0835838j 0.0293075+0.04542j 0.0675935-0.0347889j -0.0344684-0.0121493j -0.0453225+0.0147234j 0.0171985+0.0746651j -0.0474029-0.0639977j -0.0276183+0.0115093j 4.06959e-05-0.0068659j 0.0255407-0.036807j -0.0150797-0.0338464j 0.00504548-0.0554157j -0.0112472+0.00153897j -0.0120408+0.00280165j -0.00910795+0.0428318j 0.0251994+0.00527787j -0.00640107+0.000703242j 0.0152931-0.0158223j -0.052266+0.0146505j 0.0226291+0.0534586j 0.0111431-0.0444109j -0.0181353+0.0144298j -0.0280991-0.0403734j 0.00237284-0.0120432j 0.000486445-0.00171214j 
-0.000958741+0.00284464j -0.00352271+0.0127167j -0.0154871+0.0159752j 0.0133749-0.0263684j -0.0145473+0.0281773j 0.0169986-0.0298385j 0.0294591+0.0252118j -0.0222738+0.00997941j 0.0110437-0.0135335j 0.00116472-0.0860068j -0.031349+0.00656795j -0.043119-0.0700067j 0.105659+0.0341924j 0.108364-0.0240097j 0.012265-0.0675357j -0.113906+0.00225347j 0.00555439+0.0281116j -0.0794303+0.0391739j -0.148672+0.032267j -0.0837857-0.0133321j 0.065361+0.0113438j -0.0975536+0.0244706j -0.052314-0.0436783j 0.0450865+0.0574249j 0.204657-0.194513j -0.038657+0.0992646j 0.0484235-0.0692579j -0.114743+0.0661791j -0.0608929+0.0914818j -0.0731154-0.026617j 0.0571276+0.040916j -0.0430685-0.129068j 0.0356314-0.0935977j 0.0427275+0.0446337j -0.0651928-0.0888272j 0.134999-0.0129697j 0.106316+0.036289j -0.0893861-0.0362159j 0.0247465+0.060097j 0.00789726+0.0533083j 0.00796674+0.0209423j 0.0134354+0.0794345j 0.0689008+0.0790281j 0.0919182+0.0149979j 0.119843+0.0122658j -0.0373169+0.0820054j 0.00695445+0.0217425j 0.0734694-0.046546j -0.0091963-0.0534136j -0.012514-0.0650863j 0.0247516+0.0778429j -0.0529796+0.000621374j 0.0365186+0.0114394j 0.0290545+0.0195215j 0.0304513+0.011976j 0.0239387-0.00542998j -0.0161049+0.0499821j 0.0325071+0.00993668j 0.00393139+0.0169888j -0.0547072+0.0591427j 0.0627944+0.00710323j -0.0294199+0.00171322j -0.0336659-0.0175488j -0.0485224+0.0220646j 0.0491899+0.0223152j 0.0159369+0.000409423j -0.00861671+0.0386155j -0.00081837+0.00596838j 0.00749026-0.0068141j 
