-0.138238+0.0838969j 0.00386006-0.105536j 0.218075-0.0243019j 0.171956-0.102223j -0.0875258+0.057721j 0.199268-0.0606138j -0.144843+0.0730803j -0.0716976+0.0717583j 0.012438-0.10597j 0.0179797+0.0319624j 0.101758+0.0865813j -0.0482207+0.0132632j 0.142021-0.062428j 0.0219431-0.187336j -0.191375+0.0609771j -0.132347+0.088655j -0.17506+0.00842948j -0.075511+0.135654j 
-0.0492683+0.0176535j -0.0210521-0.0101236j 0.0154475-0.0043321j -0.039132-0.0168176j -0.00930729+0.0649576j -0.0185275+0.00423614j 0.0349602+0.0170808j 0.000465716-0.0166079j -0.00525682+0.0168656j 0.0243602-0.0271356j 0.0160197+0.0139547j 0.0236475-0.0119042j -0.0650826+0.0213642j -0.00922611-0.0150487j -0.000103027+0.0193036j 0.0220876-0.00397354j -0.00562064+0.00141291j -0.004832-0.0217548j 
0.0586433-0.0166093j 0.0117537+0.00189703j 0.0398726+0.0324849j 0.016179-0.000260885j 0.00943789-0.0233667j -0.00285666+0.00750021j -0.0336003-0.00296264j 9.25124e-05+0.0164475j -0.0499905-0.00529144j -0.0288539-0.0055455j -0.0395071+0.0177328j 0.0406358+0.0298675j 0.0609449+0.00912575j 0.0120412-0.0350792j -0.0221737-0.0133496j -0.0126444-0.00753757j 0.0113766-0.0162737j 0.00410485+0.0192126j 
-0.0192087+0.0909733j -0.0595171+0.0321082j 0.0362548-0.0192661j -0.00834907-0.016365j 0.00644308+0.00351997j 0.0209702-0.0127279j -0.0127105+0.00804402j -0.0247712-0.00692889j 0.02763-0.0258255j -0.0440888+0.066709j 0.0601121+0.0110947j -0.0273448-0.0572144j 0.0698965+0.0274214j -0.0144975-0.0464033j -0.0940128+0.00845088j -0.00286782+0.00563274j -0.0235502-0.00481358j 0.00931669+0.0304294j 
0.0223135+0.00972426j -0.0293239-0.00762874j 0.00298475+0.000771528j -0.0212939+0.00147662j 0.0253463-0.0153993j -0.0115954-0.00995337j 0.00525972-0.00592703j -0.00961357+0.00808964j 0.00446868-0.0197104j 0.0327894+0.0216057j -0.0125274-0.0808387j -0.0473508-0.0343489j 0.0365565-0.0349522j -0.0214705+0.0353854j 0.038062-0.0231771j -0.0210349+0.015028j -0.00597402-0.000725633j 0.00417135-0.002905j 
0.0345826+0.0456537j 0.00772319+0.0193982j 0.0365077-0.00726177j 0.0148314+0.00143642j -0.0225085+0.013328j -0.00706223-0.0029978j -0.0534339-0.0112139j 0.0321106+0.012242j -0.0426895+0.00438463j -0.0716443-0.00890937j 0.00372858-0.00387737j -0.0126215+0.0217731j 0.022917+0.0279751j -0.0232239+0.00599511j 0.0136482+0.016195j -0.0208857-0.0131367j 0.0231351+0.010657j 0.00100602+0.0310215j 
0.0407585-0.0445923j 0.0768657-0.0659446j 0.0262834+0.042892j 0.0380043+0.0141416j 0.0245216+0.0172645j -0.0323611+0.0449231j 0.00617074-0.037344j 0.0357431+0.018042j -0.0621212+0.066577j -0.0118038-0.0558215j -0.0727078+0.00688205j 0.0807732+0.0602739j -0.0151352+0.0260924j -0.0333724-0.00493159j 0.0558797+0.0308157j 0.00732163-0.0452551j 0.0797034-0.00954822j 0.00331834+0.00799121j 
-0.0743029+0.0331114j -0.0323455-0.0199212j 0.0466917-0.0506993j 0.018885+0.0288986j -0.0053171-0.0286946j 0.0180118+0.0111544j 0.000192886-0.0407144j 0.00160645-0.000436885j 0.0329435+0.00924332j 0.014564+0.0704476j -0.0272522-0.00390054j -0.048953+0.0133015j -0.00510192-0.0117681j 0.0123384-0.00432464j -0.0506946-0.019708j -0.022988+0.00669126j -0.00278648+0.00180838j 0.00953741+0.0136223j 
0.0146453-0.0460766j 0.0640263+0.00703362j -0.0266517-0.0178168j 0.0492344+0.00741027j -0.0137832+0.00256937j -0.00281073+0.00986474j -0.0418333+0.0236364j 0.0124629-0.00709457j 0.0142199-0.00680378j 0.0280374-0.0170679j -0.0411368+0.0147762j 0.0315803+0.0206564j 0.0340195-0.00107659j -0.00365095-0.0024296j 0.0220046-0.0179935j -0.0151576-0.0220441j 0.0117005+0.00362423j -0.00106873+0.0144945j 
-0.096747+0.0474848j 0.0309867-0.143379j -0.0177433-0.0256313j 0.0284667-0.0376056j 0.00384013-0.0284212j 0.0344379-0.0109731j 0.10126-0.104022j -0.0452314+0.0529421j 0.0579237+0.0890543j 0.0126814+0.0657133j -0.0438691-0.00298728j 0.00863245+0.0414745j 0.0206793-0.0517396j -0.0161935-0.0174803j -0.0502173+0.0283777j 0.000696882+0.0530401j 0.0239419+0.0749854j -0.0193635-0.0106695j 
0.0786167-0.0848745j -0.00672479-0.0430272j -0.0248863-0.0292528j -0.00878445-0.0301874j -0.0324206-0.00335702j -0.0246279-0.0208303j -0.0826087+0.0860696j 0.0334506-0.0147565j -0.021904+0.0857924j 0.00356529+0.0630905j -0.0158412-0.00561029j 0.0690943-0.0183033j -0.00931256-0.108117j -0.0394102-0.0124864j 0.0140708+0.0153362j 0.063962+0.0455021j 0.0120278+0.0321258j -0.0562968-0.0361563j 
-0.0638105-0.0267518j -0.102153+0.0219918j -0.048653-0.0123926j -0.062277-0.0161677j -0.00664629+0.0127426j 0.00900879-0.0144701j 0.0785853+0.0633942j -0.0394772-0.0368602j 0.105704+0.0191807j 0.0860002+0.0371736j 0.0425087+0.0235327j -0.0356718-0.0816487j -0.1027+0.00108856j -0.0146798+0.0363774j -0.0265046+0.0409956j 0.0629342-0.00495587j -0.0465417-0.0260034j -0.0251717-0.0189389j 
