-0.204717-0.00609404j 0.735213-0.01238j -0.609098-0.0122509j 0.00674982+0.115754j 0.0334625+0.072539j -0.0250517+0.08108j 0.0708066-0.0594425j -0.0866231-0.0643656j 0.0496211-0.048445j 0.137986+0.0194561j 0.038187+0.0332083j 0.0149646-0.0170919j -0.0173299+0.02878j 0.00159015+0.0527183j -0.0125599+0.0272589j -0.0149344-0.00694514j -0.0305722+0.012412j 0.052519-0.0217616j -0.0201732+0.0275512j -0.00352283+0.000821345j -0.00439072+0.00645183j -0.0202477-0.00156867j 0.072949+0.00850061j 0.0207476+0.00319995j 0.0259928-0.001759j -0.0244397+0.000417147j 0.0164317-0.0363864j -0.00314547-0.012166j -0.0173297+0.0345714j 0.0197514+0.00913817j -3.02075e-05+0.0206122j 0.00244561+0.032549j -0.00291325-0.0197228j 0.000460737-0.0100251j -0.0183967+0.0547493j -0.0171615+0.0610575j 0.0175484+0.00546798j 0.0323435+0.00958624j 0.0266444-0.0565535j -0.0389724+0.033936j 
0.0289695+0.0158081j -0.036971-0.0382329j 0.00593963-0.0225554j 0.116322-0.0389465j 0.0200456-0.0182659j -0.0105003-0.04449j -0.014281+0.0634472j -0.023545+0.0222729j 0.161349+0.0599172j -0.0488507-0.0192954j -0.0191937-0.0910987j 0.0720442+0.00976534j -0.0358265+0.0313713j -0.0252006-0.23852j -0.0800756+0.0624595j -0.0952523-0.000368736j -0.00469865-0.0670333j -0.0553185-0.0485652j 0.0940165+0.0418114j -0.000188183+0.0570525j -0.0101077+0.114439j 0.0293987-0.0194721j 0.0162408-0.0137038j -0.103481-0.0151969j 0.00268342-0.0349683j 0.149044+0.0581624j 0.171032+0.00170498j 0.0180833-0.0516159j 0.0362436+0.150315j -0.0061616-0.00555468j 0.110232-0.185536j 0.02773+0.0352237j -0.149954-0.19468j -0.0548982-0.0215664j -0.166838+0.300303j -0.125805+0.164736j 0.189996-0.0127301j 0.00221562+0.251458j 0.141269-0.215486j -0.0783134-0.0174855j 
-0.00833873+0.0176693j 0.0124304-0.00186123j 0.0273869-0.00442213j -0.0653268+0.00374926j -0.0325855+0.012723j -0.0202023+0.0259102j -0.083447-0.00835122j -0.0420668+0.0375116j 0.0465731+0.0457777j 0.0279675-0.0500454j 0.0707291-0.0576531j 0.0757348+0.013837j -0.0719504-0.0907399j 0.0597797-0.0535303j -0.059409-0.0213193j -0.00327713-0.123701j 0.00602037-0.0739158j 0.0397225+0.0200685j -0.105764+0.0272257j -0.00209918+0.0228787j -0.168993-0.101766j -0.0357523+0.0806872j -0.090896+0.118452j 0.0919881+0.0267482j 0.109098+0.0654599j 0.0275367+0.0441175j -0.0205264+0.024699j -0.0349756+0.0916233j 0.246065+0.0571663j -0.150411-0.121251j -0.146884-0.0589468j -0.0145934-0.00685954j 0.107539+0.183358j 0.00266464-0.177697j -0.130179-0.00173242j -0.026866-0.0150328j -0.0616132+0.109825j -0.033924-0.0728179j -0.149013+0.00572451j -0.194131+0.108111j 
0.0150857+0.0171555j 0.0761985-0.0283936j -0.00914649-0.0250952j 0.0660022-0.00276552j -0.0461404-0.0141707j -0.0211068-0.0249607j -0.014282-0.0681928j 0.0516912-0.0125242j -0.05499-0.0816985j 0.00982762+0.0484341j -0.0245329+0.028635j -0.0799985-0.0257916j 0.0667607-0.034618j -0.0586281+0.075097j 0.0334442+0.000755104j -0.0122627+0.0113423j -0.00736666-0.00474184j 0.0175038-0.0568974j 0.0786361+0.0217398j -0.040134+0.0265655j 0.0345879+0.023348j 0.0745398-0.0504019j 0.100241+0.0503153j 0.177682-0.00929317j 0.107444+0.0418617j 0.034327+0.0611519j 0.0757219+0.110589j -0.12716+0.229122j 0.00921917+0.0739745j -0.079592-0.00523964j 0.242066-0.374791j -0.157241-0.0983036j 0.00428303+0.111599j -0.231116-0.0389164j 0.177472+0.134664j -0.137773-0.0709617j -0.0326786+0.0173028j -0.0462864+0.165031j 0.0719619-0.0311432j 0.117621-0.0918253j 
-0.0111239+0.033134j 0.0257287+0.0132256j -0.0313511+0.00116458j -0.0390473+0.00149862j 0.00684916+0.0137832j 0.0205109+0.0140043j -0.0269571+0.0189702j -0.0407751+0.00380602j 0.0415148+0.0360693j 0.0177754-0.0290546j 0.0282706-0.0383468j 0.0556788+0.00577709j -0.0241307+0.000427086j 0.0426279-0.0568921j -0.0445154-0.0697774j -0.00539773-0.0350375j -0.0137409-0.00377579j -0.00165534-0.00116814j -0.0559783-0.00250176j 0.0151152-0.0149536j -0.0832903-0.0286535j -0.0469395+0.0310534j -0.057695+0.00172804j -0.0783057-0.00393408j -0.0871396-0.0707239j -0.0414058+0.158965j -0.0640297+0.176517j 0.0547778-0.133696j 0.175252+0.0397125j -0.109917-0.0707296j -0.241139+0.169195j -0.380904-0.17046j -0.265099+0.178927j -0.246833+0.0584507j -0.0771455+0.114579j -0.00792907-0.0898601j -0.144455+0.18259j -0.0304377+0.0686168j -0.059375-0.070375j -0.0510114+0.015063j 
-0.0217147+0.00768167j 0.00821871+0.0056602j -0.0295753+0.0137372j 0.0678949+0.0707099j 0.0166201+0.0217426j -0.0306394+0.0580113j 0.0195266+0.0489117j 0.00717668-0.00337614j 0.116603+0.0910682j 0.0512713+0.00960834j -0.0635467-0.0670677j -0.0350317+0.0856537j -0.0786088+0.105817j 0.0803873-0.0860853j -0.00812004+0.0418196j -0.0150024-0.00294483j 0.0401728-0.01591j -0.0154568+0.0204013j -0.03939-0.124253j 0.144806+0.0630956j 0.0725493+0.0628531j 0.00299578-0.00102169j -0.0523695-0.00947318j 0.00286855-0.147152j -0.0493639+0.199436j -0.0409499+0.082266j -0.0735915-0.0309086j -0.070381+0.0509111j 0.12393-0.397125j 0.203987-0.316599j 0.00642368-0.0692139j -0.145136-0.0631488j 0.0679561-0.0504867j 0.0848482-0.0684294j 0.0441941-0.0383717j 0.0420771+0.0523929j 0.00562464+0.0244392j 0.0179302-0.0205954j -0.00292798-0.00617202j -0.0244138+0.0217824j 
0.00454642+0.00257523j -0.00169788+0.0103557j 0.0485475+0.0167255j -0.0387908+0.0199215j -0.00991263-0.0085332j -0.0977965-0.0477683j -0.0631351-0.0860183j -0.051346+0.0198792j 0.037755+0.0521399j 0.0402845-0.0134746j 0.0254188+0.0124441j -0.00547082+0.0246933j 0.0596868-0.024937j 0.0560212-0.00151263j -0.0754964-0.0595558j -0.0966237-0.0343386j 0.0197994-0.0178195j 0.0723969-0.000670914j -0.145009-0.030304j 0.200375+0.0189054j -0.0143622-0.0574459j 0.168092-0.134493j 0.167862+0.0521757j -0.220791-0.0173945j -0.0800482-0.260967j 0.0310422-0.0157745j -0.000328145+0.0036059j -0.50402-0.0242177j -0.0547104-0.0974651j 0.123015+0.0311358j 0.0157297-0.183898j -0.0991841-5.74362e-05j 0.106448-0.0440835j 0.0221909-0.262537j 0.216822-0.0669111j -0.159189+0.0668083j -0.039319+0.0375224j -0.0938118-0.0016801j -0.0883048+0.0143858j -0.0722263+0.0277687j 
0.020701+0.0304477j -0.0038615-0.0120008j 0.019558-0.0114112j 0.0325694-0.0212936j -0.0251268-0.0347097j -0.0113106-0.0192552j 0.00663816-0.0173055j 0.0407366-0.0154371j -0.0480012-0.0509502j -0.0212228+0.00785122j 0.0573409-0.0198503j 0.078347-0.0150797j 0.00844917-0.053484j -0.0443061-0.0640023j 0.00702743+0.0544118j -0.0120392+0.0353173j -0.0555535-0.0270898j -0.0673985-0.0548243j -0.0625876-0.0327063j -0.0187701-0.0757675j -0.11697-0.0259882j 0.0475101-0.00169477j -0.125383+0.181252j 0.129345-0.0376758j -0.0547741+0.00626069j 0.132844+0.0300571j -0.0570852+0.0480949j 0.0158291+0.0659242j 0.350194+0.171248j -0.221336-0.220966j 0.0313114-0.260085j 0.0574369+0.115079j 0.0997679+0.00636682j 0.0874777-0.0425373j -0.107886+0.0167707j 0.0112079-0.0984828j 0.105937-0.13985j -0.0456108+0.073754j -0.0403143+0.110139j 0.0107299-0.0373098j 
0.0285608-0.0179893j -0.026307-0.04422j -0.00477349-0.0158213j -0.00921081+0.023736j 0.00424292+0.0418216j 0.0126988-0.00212365j -0.0241895+0.054846j -0.0293016-0.0598436j 0.0750763+0.0119921j 0.113254+0.110823j -0.0851685-0.152427j -0.0840344+0.116996j 0.000529768-0.0267406j -0.0192409-0.0550096j 0.0347354+0.000196364j -0.0114995+0.0540171j 0.0322781-0.0295028j 0.15924+0.099117j 0.0112862+0.0417923j -0.0666738-0.0481313j 0.113581-0.0463441j 0.0533326+0.413962j 0.279686-0.216129j 0.0588474+0.152395j 0.161865+0.0835762j -0.0787173-0.108863j 0.157401+0.0850223j 0.0279117+0.0761678j 0.106308+0.0250292j -0.0669974-0.11057j 0.027191-0.113126j 0.00642079-0.0446642j 0.0680742+0.0602883j 0.0253797-0.00555215j -0.0305249-0.00778954j 0.00370175-0.00810657j -0.000572517-0.0113501j -0.0210192+0.011707j -0.0472431+0.0263666j -0.0146107-0.000119072j 
-0.0303829-0.0270503j 0.0205906+0.0578332j 0.0721959+0.0443369j -0.0447786+0.015386j 0.00690277+0.00344076j 0.0323288+0.142384j -0.0513962-0.0300526j -0.0401959+0.0182703j 0.0119713+0.0390407j -0.0293641-0.0721532j 0.012502+0.0642802j 0.0190558-0.0273948j -0.0269699+0.0129007j 0.00533178+0.0159311j 0.0231496+0.0395356j 0.0112728-0.0728208j -0.00364996+0.0121266j 0.000824711+0.0231887j 0.120392+0.0033849j -0.0602323+0.139552j 0.062983+0.146826j -0.0702071-0.11653j -0.144918-0.00513861j 0.139984-0.00388279j 0.275304+0.367137j -0.0545021+0.0673188j 0.00202634-0.0956964j 0.0652222+0.244424j -0.0709192-0.168294j 0.083263-0.0460094j 0.111234-0.107587j 0.0629556-0.0902762j 0.110667+0.175514j -0.0531308-0.0280361j 0.0594786+0.0183886j -0.0512916+0.0258896j -0.0812391+0.0883885j -0.0154982-0.064324j -0.0193596-0.0338587j 0.00104194+0.0454494j 
-0.00104611-0.0304254j 0.093011+0.0867444j 0.173067+0.133254j -0.112734+0.00473574j 0.0147788+0.102028j -0.00698723+0.0120766j -0.128428-0.0561263j -0.19856-0.0517944j 0.0136608+0.163887j 0.0617968+0.0358354j -0.0126428-0.0395605j -0.0321961+0.0230149j 0.0251403-0.0492013j -0.0645308-0.00377554j 0.0596276+0.0249561j -0.12044-0.00456011j -0.0493552+0.0168146j 0.0601956+0.014594j 0.0910113+0.0349512j -0.124934+0.0122075j 0.0901727+0.19531j 0.101001-0.00587599j -0.0225727-0.147322j -0.303254+0.182822j 0.240032+0.0513053j -0.0184536-0.0487673j 0.0607327-0.0157517j -0.0495994-0.0737741j -0.0816854+0.181387j -0.0744413+0.110466j -0.106687+0.00334801j 0.161396-0.00424661j -0.0457034+0.0987128j -0.0132406+0.0681987j -0.0116935-0.0345689j -0.127282+0.0356035j -0.0443741+0.0154607j -0.160133+0.00624608j -0.1347+0.0442021j -0.0101972+0.0278912j 
0.0147545+0.0287121j 0.107151-0.0155153j 0.0985635+0.0265579j 0.144481+0.251216j 0.00502115+0.0357398j -0.0193585-0.0978875j -0.0215368+0.148576j -0.0758846-0.0921977j -0.0892523-0.111139j -0.114877+0.134809j -0.0142656-0.025061j -0.00890777+0.0436699j 0.0422555+0.059264j -0.00186926-0.012308j 0.00674181-0.0535621j -0.0633071-0.00107221j -0.100213-0.141107j -0.20013+0.0612408j -0.109679-0.336919j -0.228688-0.378447j -0.05821-0.10974j 0.201476+0.0109677j -0.0404176-0.0306441j 0.131012-0.0102008j -0.0207359-0.0686034j 0.159944-0.112411j -0.120195+0.165043j 0.00533796+0.0851962j -0.0411137+0.0348666j 0.0372791+0.114135j 0.0223184+0.0376745j 0.0865052-0.0555381j 0.0798922+0.0794809j -0.0641424-0.0186504j 0.0684711-0.0096477j -0.0533499+0.010482j -0.0572916+0.0554456j 0.0235755-0.073022j 0.0281405-0.0263103j -0.00860247+0.0180515j 
0.0340048-0.00470306j -0.140999-0.0944114j -0.0902402-0.139099j -0.0167351-0.100944j -0.0357654-0.0618734j 0.00231701-0.0527181j 0.0259901-0.00453921j 0.0703019+0.0792251j 0.0335844-0.106591j 0.0620926+0.0501629j 0.00477307-0.0692779j -0.0578725+0.0118991j 0.0436543-0.0629212j 0.010723+0.0639162j 0.00175132-0.0744789j 0.0197937-0.00930241j 0.0750804+0.0119638j 0.13786-0.0385766j 0.0209705+0.177135j 0.0550925+0.0737979j -5.62383e-05-0.173348j -0.110553+0.196046j 0.242647-0.00462085j 0.172411+0.0859606j 0.00877267-0.129121j -0.0801729-0.0805652j 0.136876+0.01865j -0.0225797+0.0833154j -0.0687954+0.0761681j -0.0904693+0.12273j 0.0460898+0.0386627j -0.0320638+0.00492566j 0.0628361+0.0501182j -0.0317644-0.118328j 0.015333+0.0071683j 0.0443792-0.0372668j -0.0520407+0.0284223j 0.0801359-0.0881512j -0.0145993-0.0487731j -0.0740143+0.0213133j 
-0.0108639-0.000372112j 0.026933-0.0231039j -0.00116076-0.0515075j -0.0261601-0.127278j -0.00354081-0.0679387j -0.0106759+0.0185561j 0.0205237-0.0660364j -0.0393797+0.113958j -0.0311013-0.0230296j 0.0184021-0.0494969j 0.032657+0.0813401j 0.0492041-0.064756j 0.0342909-0.0457035j -0.0443212+0.0663013j 0.00522639-0.00475506j -0.0259143-0.0469847j -0.0570901+0.0324283j -0.0545281-0.0916791j 0.0634211+0.0967733j 0.0151833+0.114311j -0.0924812+0.0279062j -0.0852112-0.264213j -0.155256+0.179749j 0.0466791-0.00783802j 0.0364978-0.0509053j 0.0317778+0.0567537j -0.0348739-0.081653j -0.0355845+0.0541424j -0.0872928+0.148109j -0.107595+0.1545j 0.0138061-0.00531005j 0.0720441+0.0681678j 0.0220681+0.092881j -0.0600081-0.0757442j 0.014972+0.00520564j -0.0345585-0.0634988j -0.0427888+0.00523601j -0.0120431-0.0691193j -0.0513837-0.00440612j -0.0285667+0.0233815j 
