0.413586-0j -0.00123336-0j 6.07115e-07-0j -8.79057e-11-0j 4.42039e-15-0j -6.85776e-19-0j -0.000100499-0j 4.08879e-08-0j -4.58572e-12-0j 1.64823e-16-0j 1.18039e-20-0j 1.09114e-09-0j -1.09738e-13-0j 2.79253e-18-0j -1.1812e-15-0j -4.13409e-20-0j -6.52629e-06-0j 1.63672e-09-0j -1.16395e-13-0j 2.42896e-18-0j 4.9295e-11-0j -3.06882e-15-0j 3.75499e-20-0j -3.00188e-17-0j 8.84734e-13-0j -3.18398e-17-0j -2.85423e-19-0j -3.4046e-07-0j 5.39999e-11-0j -2.3771e-15-0j -4.80337e-20-0j 1.29224e-12-0j -4.6505e-17-0j -2.94784e-19-0j 2.5553e-14-0j -4.42176e-19-0j 2.73814e-16-0j -1.43656e-08-0j 1.44477e-12-0j -3.67654e-17-0j 2.69353e-14-0j -4.66095e-19-0j 3.95216e-16-0j 3.88101e-18-0j -4.90597e-10-0j 3.05417e-14-0j -3.73707e-19-0j 4.22504e-16-0j 4.01723e-18-0j -1.345e-11-0j 4.84039e-16-0j 4.3391e-18-0j 
3.13472e-18-0j 6.66604e-14-0j 5.77223e-10-0j 1.90059e-06-0j 0.00154572-0j -0.0152587-0j -4.12122e-13-0j -5.72985e-09-0j -2.74269e-05-0j -0.0336763-0j 0.126301-0j -2.23092e-10-0j -1.48054e-06-0j -0.00156854-0j -1.98838e-08-0j 6.0852e-07-0j -3.89481e-14-0j -4.46507e-10-0j -1.56921e-06-0j -0.00090166-0j 1.85063e-09-0j 7.9116e-06-0j -0.00012822-0j 1.05837e-07-0j 7.487e-11-0j 1.49785e-07-0j 6.11764e-09-0j 6.00253e-13-0j 5.42564e-09-0j 1.22832e-05-0j -0.000107967-0j -1.88454e-08-0j -3.77022e-05-0j 1.26732e-08-0j -8.28811e-10-0j 2.53647e-08-0j 2.79282e-09-0j -8.49704e-12-0j -5.639e-08-0j -5.97421e-05-0j 1.50558e-07-0j -4.60764e-06-0j 4.03109e-09-0j 4.82692e-10-0j 1.06874e-10-0j 4.56896e-07-0j -7.40472e-06-0j -7.42657e-07-0j 4.99633e-10-0j -1.1382e-09-0j -2.27708e-06-0j -9.30024e-08-0j 
-3.10024e-07-0j 3.14997e-06-0j -8.24423e-06-0j -4.13572e-07-0j 2.55893e-10-0j -2.27963e-14-0j 0.0066987-0j -0.00895129-0j 3.03536e-05-0j -8.27872e-09-0j 3.16361e-13-0j 0.304914-0j -0.000377325-0j 5.31483e-08-0j -3.0762e-05-0j 2.35107e-09-0j 8.86228e-05-0j 7.7003e-06-0j -6.73799e-09-0j 7.74924e-13-0j -0.000326291-0j 1.54141e-07-0j -8.33018e-12-0j -5.71327e-07-0j 5.12166e-08-0j -1.02023e-11-0j 6.33191e-11-0j -0.000215625-0j 1.03404e-06-0j -3.45412e-10-0j 1.52415e-14-0j -2.58581e-05-0j 5.15094e-09-0j -1.12371e-08-0j 3.71307e-09-0j -2.83781e-13-0j 8.77375e-11-0j -6.75861e-05-0j 8.36363e-08-0j -1.17807e-11-0j -1.35291e-06-0j 1.034e-10-0j 1.26638e-10-0j 2.49076e-12-0j -9.39442e-06-0j 4.43796e-09-0j -2.39838e-13-0j -4.6797e-08-0j 2.57819e-12-0j -7.78612e-07-0j 1.551e-10-0j -9.62599e-10-0j 
-6.56633e-11-0j -1.61436e-07-0j 2.88811e-06-0j -1.22474e-05-0j -6.8584e-07-0j 2.57679e-10-0j 5.02709e-06-0j 0.00491747-0j -0.0130712-0j 3.35421e-05-0j -4.29556e-09-0j -0.0261223-0j 0.25118-0j -0.000239681-0j -0.000360566-0j -7.9288e-06-0j 1.34918e-07-0j 7.55713e-05-0j 9.00993e-06-0j -5.24956e-09-0j -0.000610623-0j -0.000206969-0j 5.6431e-08-0j -1.11967e-05-0j 2.97621e-07-0j 2.29046e-08-0j 1.86406e-09-0j -1.03404e-06-0j -0.000221678-0j 9.31632e-07-0j -1.551e-10-0j -0.000150263-0j -1.1564e-05-0j -3.3081e-07-0j 4.35213e-08-0j 9.57029e-10-0j 1.71946e-09-0j 5.79016e-06-0j -5.56756e-05-0j 5.31267e-08-0j -1.58576e-05-0j -3.48708e-07-0j 2.48182e-09-0j 7.33261e-11-0j -1.75808e-05-0j -5.95894e-06-0j 1.62473e-09-0j -9.17116e-07-0j 7.58998e-11-0j -4.52454e-06-0j -3.48203e-07-0j -2.83381e-08-0j 
-3.6155e-15-0j -3.06712e-11-0j -6.57119e-08-0j 1.89895e-06-0j -1.36139e-05-0j -7.78609e-07-0j 6.66796e-10-0j 3.2996e-06-0j 0.00311906-0j -0.016519-0j 1.95345e-05-0j -1.76269e-05-0j -0.028995-0j 0.179168-0j -0.000772807-0j -0.000209686-0j 2.6915e-11-0j 1.02434e-07-0j 5.90536e-05-0j 7.90585e-06-0j -1.27754e-06-0j -0.000891073-0j -8.47359e-05-0j -7.33856e-05-0j -1.71033e-08-0j 3.01553e-07-0j 2.45415e-08-0j -3.45412e-10-0j -9.31632e-07-0j -0.00022774-0j 4.692e-07-0j 8.63511e-06-0j -0.000152248-0j -4.35532e-06-0j 9.32801e-08-0j 2.53097e-08-0j 1.12697e-08-0j 3.90711e-09-0j 6.42692e-06-0j -3.97137e-05-0j -3.3988e-05-0j -9.22197e-06-0j 1.62664e-08-0j 9.65383e-10-0j -3.67822e-08-0j -2.56553e-05-0j -2.43967e-06-0j -6.01096e-06-0j 9.99267e-10-0j 2.60011e-07-0j -4.58431e-06-0j -3.73089e-07-0j 
-4.33589e-20-0j -8.44886e-16-0j -6.26067e-12-0j -1.42967e-08-0j 6.96406e-07-0j -1.02956e-05-0j 1.57309e-14-0j 2.18711e-10-0j 1.04614e-06-0j 0.00127694-0j -0.0196696-0j -1.16873e-09-0j -9.7107e-06-0j -0.0207722-0j -5.26104e-07-0j -0.00138232-0j 8.4733e-16-0j 1.02023e-11-0j 3.98448e-08-0j 3.43905e-05-0j -1.41586e-10-0j -9.11241e-07-0j -0.00112539-0j 2.81135e-06-0j -3.81319e-12-0j -1.73535e-08-0j 1.07701e-07-0j -1.52415e-14-0j -1.551e-10-0j -4.692e-07-0j -0.00023381-0j 1.9252e-09-0j 8.7614e-06-0j -1.91135e-05-0j 6.35023e-11-0j 1.6685e-07-0j -4.31733e-10-0j 2.59055e-13-0j 2.15244e-09-0j 4.60429e-06-0j -2.3138e-08-0j -6.07944e-05-0j -6.23152e-10-0j 4.23662e-09-0j -4.07647e-12-0j -2.6236e-08-0j -3.24018e-05-0j 2.30275e-07-0j 4.38532e-09-0j 5.79694e-11-0j 2.63814e-07-0j -1.63731e-06-0j 
1.02101e-12-0j -2.9253e-11-0j 3.91906e-10-0j -2.23622e-09-0j 2.59396e-09-0j -2.39776e-12-0j -1.88219e-07-0j 2.692e-06-0j -1.10615e-05-0j -5.19022e-07-0j 1.00213e-10-0j 0.0049749-0j -0.0115415-0j 1.68685e-05-0j 0.220069-0j -8.49821e-05-0j -4.21286e-09-0j 4.16361e-08-0j -6.83021e-08-0j 8.15081e-11-0j 0.000118908-0j 9.66366e-06-0j -2.63873e-09-0j -0.00018133-0j 5.19176e-07-0j -1.0731e-09-0j 2.00574e-08-0j 4.31896e-08-0j -2.50976e-07-0j -1.44228e-08-0j 3.21556e-12-0j -0.00039356-0j 8.13465e-07-0j -7.15364e-06-0j 1.55041e-07-0j -5.98705e-11-0j 9.22842e-09-0j -3.65443e-07-0j 8.4781e-07-0j -1.23911e-09-0j -8.48186e-05-0j 3.27536e-08-0j 1.33201e-08-0j 5.25488e-10-0j 2.28015e-06-0j 1.85309e-07-0j -5.05998e-11-0j -7.39044e-06-0j 5.43932e-10-0j -7.89269e-06-0j 1.63137e-08-0j -3.0492e-07-0j 
4.49296e-17-0j 2.37306e-13-0j -1.19499e-11-0j 2.57604e-10-0j -2.47287e-09-0j 5.9988e-09-0j -1.77893e-11-0j -6.14301e-08-0j 1.70999e-06-0j -1.37464e-05-0j -6.0852e-07-0j 1.65793e-06-0j 0.00273279-0j -0.0168369-0j -0.0168618-0j 0.128169-0j -5.58239e-13-0j -1.58953e-09-0j 3.24862e-08-0j -1.22211e-07-0j 7.98825e-08-0j 8.48208e-05-0j 7.99416e-06-0j -0.00078654-0j 1.0731e-09-0j 5.33222e-07-0j 2.64068e-07-0j 8.60337e-12-0j 1.93148e-08-0j -2.54292e-07-0j -1.46337e-08-0j -8.13465e-07-0j -0.000404208-0j -9.4182e-05-0j -1.18793e-08-0j 9.02964e-08-0j 4.00293e-08-0j -1.21787e-10-0j -2.00744e-07-0j 1.2368e-06-0j 6.49884e-06-0j -4.93988e-05-0j 5.77773e-08-0j 6.91837e-09-0j 1.53181e-09-0j 1.62651e-06-0j 1.53295e-07-0j -3.20568e-05-0j 7.1612e-09-0j -1.63137e-08-0j -8.10623e-06-0j -4.01445e-06-0j 
-2.19719e-19-0j 1.2386e-17-0j -3.99435e-16-0j 8.03296e-15-0j -9.65442e-14-0j 5.68437e-13-0j 1.59662e-13-0j -6.42185e-12-0j 1.33681e-10-0j -1.43703e-09-0j 5.46157e-09-0j -3.58108e-08-0j 8.60783e-07-0j -8.01346e-06-0j 0.00184309-0j -0.0140096-0j 4.2938e-15-0j -1.49566e-13-0j 2.54213e-12-0j -1.93231e-11-0j -1.43703e-09-0j 2.67561e-08-0j -1.4381e-07-0j 8.61421e-05-0j -1.93231e-11-0j 2.54401e-10-0j 1.09312e-06-0j -7.72353e-14-0j 2.27375e-12-0j -2.99353e-11-0j 1.31372e-10-0j 1.95399e-08-0j -2.57255e-07-0j -0.000585654-0j 3.21794e-10-0j -2.44601e-09-0j -2.18778e-09-0j 1.31275e-12-0j -3.15545e-11-0j 2.93757e-10-0j -2.3484e-07-0j 1.78506e-06-0j -3.15779e-09-0j 2.14688e-08-0j -2.06573e-11-0j 3.84618e-10-0j -2.06726e-09-0j 2.33719e-06-0j 2.22224e-08-0j 2.93757e-10-0j -3.86749e-09-0j -1.6618e-05-0j 
-0.000758582-0j 0.00225125-0j 0.000140861-0j -1.47154e-07-0j 2.68373e-11-0j -1.13435e-15-0j -0.00432522-0j 2.90686e-05-0j -1.54254e-08-0j 1.67058e-12-0j -3.41317e-17-0j 1.82657e-06-0j -6.66244e-10-0j 4.45259e-14-0j -1.19721e-11-0j 4.89206e-16-0j 0.348436-0j -0.000630472-0j 1.6261e-07-0j -8.87322e-12-0j -3.81565e-05-0j 7.15748e-09-0j -2.06808e-13-0j 1.1014e-10-0j -2.47742e-06-0j 2.3415e-10-0j 3.15079e-12-0j -0.000242045-0j 1.81644e-07-0j -2.40934e-11-0j 5.68406e-16-0j 7.84547e-09-0j -7.41505e-13-0j -7.05543e-15-0j -5.95979e-08-0j 2.4353e-12-0j 4.36586e-12-0j -2.40479e-05-0j 8.77151e-09-0j -5.86211e-13-0j 2.73006e-10-0j -1.11556e-14-0j -1.45006e-09-0j 9.28891e-14-0j -1.65026e-06-0j 3.0956e-10-0j -8.94439e-15-0j 6.73667e-12-0j -2.2125e-11-0j -8.16583e-08-0j 7.71783e-12-0j 1.03853e-13-0j 
-4.65037e-07-0j -0.00054127-0j 0.00284563-0j 0.000214437-0j -1.77036e-07-0j 1.97226e-11-0j -2.90686e-05-0j -0.00444975-0j 3.03097e-05-0j -1.24181e-08-0j 6.3318e-13-0j 7.7003e-06-0j 1.09159e-06-0j -3.08857e-10-0j -2.57455e-10-0j -2.25407e-12-0j -0.0305896-0j 0.304476-0j -0.000535176-0j 9.24582e-08-0j -0.000325819-0j -1.76322e-05-0j 1.91409e-09-0j 3.32011e-09-0j -3.54333e-05-0j -8.0857e-07-0j 1.2673e-10-0j -0.000323438-0j -0.000177683-0j 1.19225e-07-0j -7.9027e-12-0j 1.1221e-07-0j 2.56057e-09-0j -2.83781e-13-0j -1.28163e-06-0j -1.12209e-08-0j 1.31606e-10-0j -0.000101379-0j -1.43715e-05-0j 4.06629e-09-0j 5.87087e-09-0j 5.14007e-11-0j -4.37113e-08-0j 3.73615e-12-0j -1.40916e-05-0j -7.6259e-07-0j 8.27843e-11-0j 2.03073e-10-0j -8.89904e-10-0j -1.16792e-06-0j -2.66513e-08-0j 4.17714e-12-0j 
-6.96464e-11-0j -3.43951e-07-0j -0.00034938-0j 0.00298487-0j 0.000251271-0j -1.26002e-07-0j -1.54254e-08-0j -3.03097e-05-0j -0.00457448-0j 2.36491e-05-0j -4.55283e-09-0j -4.66472e-07-0j 9.00993e-06-0j 4.88154e-07-0j -2.13381e-09-0j -9.4254e-11-0j -3.29295e-05-0j -0.0370504-0j 0.250809-0j -0.000294403-0j -0.000431151-0j -0.00029355-0j -4.54446e-06-0j 4.60091e-08-0j -0.000145596-0j -2.25077e-05-0j 2.63809e-09-0j -1.09677e-06-0j -0.000472302-0j -0.000112701-0j 3.78001e-08-0j 4.61073e-07-0j 7.1277e-08-0j -5.90737e-12-0j -1.06222e-05-0j -4.69203e-07-0j 1.82376e-09-0j 6.14139e-06-0j -0.000118621-0j -6.42684e-06-0j 4.86583e-08-0j 2.14932e-09-0j -6.05738e-07-0j 7.77741e-11-0j -1.86472e-05-0j -1.2696e-05-0j -1.96547e-07-0j 2.81412e-09-0j -1.85248e-08-0j -4.799e-06-0j -7.41874e-07-0j 8.69541e-11-0j 
-3.13112e-15-0j -3.99008e-11-0j -1.72224e-07-0j -0.000186737-0j 0.00270512-0j 0.000232743-0j -1.67058e-12-0j -1.24181e-08-0j -2.36491e-05-0j -0.0046994-0j 1.12292e-05-0j -2.57007e-10-0j -6.35057e-07-0j 7.90585e-06-0j -3.73419e-09-0j -1.522e-09-0j -5.36367e-09-0j -3.06642e-05-0j -0.035615-0j 0.178897-0j -7.3652e-07-0j -0.000771691-0j -0.000147841-0j 2.46217e-07-0j 6.83159e-06-0j -0.000180936-0j 2.83586e-08-0j -2.99135e-10-0j -1.21198e-06-0j -0.000596881-0j -4.61397e-05-0j -2.16342e-08-0j 5.72985e-07-0j -6.35023e-11-0j -1.85891e-05-0j -7.57662e-06-0j 9.75982e-09-0j 3.38366e-09-0j 8.36091e-06-0j -0.000104085-0j 8.51527e-08-0j 3.4707e-08-0j -3.2416e-06-0j 8.36046e-10-0j -3.18544e-08-0j -3.33755e-05-0j -6.39411e-06-0j 1.50597e-08-0j -1.99136e-07-0j 2.25176e-07-0j -5.96382e-06-0j 9.34728e-10-0j 
-3.25192e-20-0j -8.45497e-16-0j -9.41827e-12-0j -4.34584e-08-0j -5.90438e-05-0j 0.00176909-0j -3.41317e-17-0j -6.3318e-13-0j -4.55283e-09-0j -1.12292e-05-0j -0.00482447-0j -1.47575e-14-0j -1.63607e-10-0j -5.26104e-07-0j -2.20155e-12-0j -7.71824e-09-0j -1.46235e-13-0j -2.34937e-09-0j -1.3793e-05-0j -0.0240554-0j -7.06905e-11-0j -6.07054e-07-0j -0.00112703-0j -8.16868e-09-0j 1.31905e-09-0j 8.00961e-06-0j 1.07779e-07-0j -1.14311e-14-0j -1.55212e-10-0j -7.05843e-07-0j -0.000710724-0j -4.17714e-12-0j -2.53647e-08-0j -2.41346e-10-0j -1.09594e-08-0j -3.84219e-05-0j -3.23799e-10-0j 1.94291e-13-0j 2.15399e-09-0j 6.92648e-06-0j 5.0203e-11-0j 1.76003e-07-0j 1.07546e-07-0j 3.17747e-09-0j -3.05735e-12-0j -2.6255e-08-0j -4.87439e-05-0j -4.99633e-10-0j -7.56833e-07-0j 4.3477e-11-0j 2.64004e-07-0j 3.55251e-09-0j 
